time,Dallas,pts.away,score,pts.home,Indiana
9:07.0,Defensive rebound by D. Nowitzki,,59-56,,
8:53.0,W. Matthews misses 3-pt shot from 25 ft,,59-56,,
8:53.0,,,59-56,,Defensive rebound by Team
8:53.0,Loose ball foul by H. Barnes (drawn by D. Collison),,59-56,,
8:41.0,,,59-56,,Turnover by M. Turner (bad pass)
8:27.0,D. Smith misses 2-pt shot from 1 ft (block by M. Turner),,59-56,,
8:24.0,,,59-56,,Defensive rebound by D. Collison
8:14.0,,,59-58,2,L. Stephenson makes 2-pt shot from 1 ft
7:50.0,H. Barnes misses 2-pt shot from 9 ft,,59-58,,
7:46.0,Offensive rebound by M. Kleber,,59-58,,
7:46.0,M. Kleber misses 2-pt shot at rim,,59-58,,
7:45.0,,,59-58,,Defensive rebound by L. Stephenson
7:44.0,,,59-58,,Turnover by T. Young (traveling)
7:30.0,M. Kleber makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,62-58,,
7:08.0,,,62-58,,M. Turner misses 3-pt shot from 28 ft
7:05.0,Defensive rebound by W. Matthews,,62-58,,
6:54.0,Turnover by H. Barnes (bad pass),,62-58,,
6:54.0,,,62-58,,Indiana full timeout
6:54.0,Y. Ferrell enters the game for D. Nowitzki,,62-58,,
6:32.0,,,62-58,,L. Stephenson misses 3-pt shot from 35 ft
6:27.0,Defensive rebound by D. Smith,,62-58,,
6:18.0,M. Kleber misses 3-pt shot from 23 ft,,62-58,,
6:15.0,,,62-58,,Defensive rebound by L. Stephenson
6:01.0,,,62-60,2,D. Collison makes 2-pt shot from 18 ft (assist by T. Young)
5:35.0,Y. Ferrell misses 2-pt shot from 4 ft,,62-60,,
5:31.0,Offensive rebound by M. Kleber,,62-60,,
5:31.0,M. Kleber misses 2-pt shot at rim,,62-60,,
5:30.0,,,62-60,,Defensive rebound by M. Turner
5:14.0,,,62-62,2,D. Collison makes 2-pt shot from 7 ft (assist by T. Young)
5:14.0,,,62-62,,Shooting foul by D. Smith (drawn by D. Collison)
5:14.0,,,62-63,1,D. Collison makes free throw 1 of 1
4:51.0,W. Matthews makes 2-pt shot from 5 ft,2,64-63,,
4:43.0,,,64-66,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Collison)
4:18.0,Turnover by H. Barnes (lost ball; steal by L. Stephenson),,64-66,,
4:06.0,,,64-68,2,M. Turner makes 2-pt shot from 19 ft (assist by D. Collison)
4:04.0,Dallas full timeout,,64-68,,
4:04.0,D. Harris enters the game for D. Smith,,64-68,,
4:04.0,J. Barea enters the game for Y. Ferrell,,64-68,,
3:43.0,M. Kleber makes 2-pt shot from 19 ft (assist by W. Matthews),2,66-68,,
3:21.0,,,66-71,3,M. Turner makes 3-pt shot from 26 ft (assist by D. Collison)
2:55.0,M. Kleber misses 2-pt shot at rim,,66-71,,
2:53.0,,,66-71,,Defensive rebound by L. Stephenson
2:46.0,,,66-71,,Personal foul by D. Collison (drawn by D. Harris)
2:46.0,,,66-71,,Turnover by D. Collison (turnover)
2:46.0,,,66-71,,C. Joseph enters the game for T. Young
2:46.0,,,66-71,,D. Sabonis enters the game for B. Bogdanovic
2:46.0,Y. Ferrell enters the game for W. Matthews,,66-71,,
2:46.0,D. Nowitzki enters the game for H. Barnes,,66-71,,
2:46.0,D. Powell enters the game for M. Kleber,,66-71,,
2:35.0,D. Nowitzki misses 2-pt shot from 10 ft,,66-71,,
2:31.0,,,66-71,,Defensive rebound by L. Stephenson
2:13.0,,,66-71,,M. Turner misses 2-pt shot from 15 ft
2:13.0,,,66-71,,Offensive rebound by Team
2:13.0,Loose ball foul by D. Harris (drawn by D. Sabonis),,66-71,,
2:13.0,,,66-71,,J. Young enters the game for D. Collison
2:05.0,,,66-73,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
1:43.0,D. Harris misses 3-pt shot from 27 ft,,66-73,,
