time,Oklahoma City,pts.away,score,pts.home,LA Clippers
9:10.0,,,37-42,,J. Evans misses 2-pt shot from 2 ft (block by J. Grant)
9:10.0,,,37-42,,Offensive rebound by Team
9:08.0,,,37-42,,W. Johnson misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by P. Patterson,,37-42,,
8:54.0,J. Grant misses 2-pt shot from 2 ft,,37-42,,
8:51.0,,,37-42,,Defensive rebound by L. Williams
8:48.0,,,37-44,2,S. Dekker makes 2-pt shot from 1 ft
8:33.0,Turnover by R. Felton (lost ball; steal by J. Evans),,37-44,,
8:29.0,,,37-46,2,J. Evans makes 2-pt shot from 2 ft (assist by S. Dekker)
8:29.0,Oklahoma City full timeout,,37-46,,
8:29.0,R. Westbrook enters the game for P. George,,37-46,,
8:18.0,P. Patterson misses 3-pt shot from 24 ft,,37-46,,
8:15.0,,,37-46,,Defensive rebound by J. Evans
8:09.0,,,37-46,,L. Williams misses 2-pt shot at rim
8:06.0,,,37-46,,Offensive rebound by S. Dekker
8:00.0,,,37-48,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
7:35.0,T. Ferguson misses 3-pt shot from 26 ft,,37-48,,
7:31.0,,,37-48,,Defensive rebound by J. Evans
7:25.0,,,37-48,,M. Harrell misses 2-pt shot from 1 ft
7:17.0,,,37-48,,Offensive rebound by M. Harrell
7:17.0,,,37-50,2,M. Harrell makes 2-pt shot at rim
7:09.0,Turnover by R. Westbrook (out of bounds lost ball),,37-50,,
7:09.0,C. Anthony enters the game for P. Patterson,,37-50,,
6:55.0,,,37-50,,M. Harrell misses 2-pt shot from 1 ft (block by J. Grant)
6:52.0,Defensive rebound by R. Felton,,37-50,,
6:52.0,R. Westbrook makes 2-pt shot from 1 ft,2,39-50,,
6:52.0,Shooting foul by J. Evans (drawn by R. Westbrook),,39-50,,
6:52.0,R. Westbrook makes free throw 1 of 1,1,40-50,,
6:30.0,,,40-53,3,L. Williams makes 3-pt shot from 28 ft
6:21.0,,,40-53,,Def 3 sec tech foul by M. Harrell
6:21.0,R. Westbrook makes technical free throw,1,41-53,,
6:21.0,,,41-53,,D. Jordan enters the game for J. Evans
6:21.0,,,41-53,,M. Teodosic enters the game for M. Harrell
6:21.0,,,41-53,,B. Griffin enters the game for S. Dekker
6:21.0,S. Adams enters the game for J. Grant,,41-53,,
6:12.0,Turnover by R. Westbrook (bad pass; steal by W. Johnson),,41-53,,
6:05.0,,,41-53,,L. Williams misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by T. Ferguson,,41-53,,
6:01.0,,,41-53,,Personal foul by M. Teodosic (drawn by R. Westbrook)
6:01.0,P. George enters the game for R. Felton,,41-53,,
5:56.0,T. Ferguson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,44-53,,
5:49.0,,,44-53,,Turnover by W. Johnson (out of bounds lost ball)
5:49.0,,,44-53,,LA Clippers full timeout
5:43.0,Turnover by R. Westbrook (out of bounds lost ball),,44-53,,
5:33.0,,,44-53,,Turnover by M. Teodosic (lost ball; steal by R. Westbrook)
5:29.0,R. Westbrook makes 2-pt shot at rim (assist by T. Ferguson),2,46-53,,
5:09.0,,,46-53,,Turnover by B. Griffin (offensive goaltending)
5:09.0,,,46-53,,C. Williams enters the game for L. Williams
4:53.0,C. Anthony misses 3-pt shot from 23 ft,,46-53,,
4:49.0,,,46-53,,Defensive rebound by D. Jordan
4:41.0,,,46-53,,D. Jordan misses 2-pt shot from 2 ft
4:36.0,Defensive rebound by R. Westbrook,,46-53,,
4:32.0,C. Anthony makes 2-pt shot from 19 ft (assist by R. Westbrook),2,48-53,,
4:08.0,,,48-55,2,B. Griffin makes 2-pt shot from 4 ft (assist by M. Teodosic)
3:51.0,P. George misses 3-pt shot from 25 ft,,48-55,,
3:46.0,,,48-55,,Defensive rebound by W. Johnson
3:38.0,,,48-55,,B. Griffin misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by R. Westbrook,,48-55,,
3:30.0,C. Anthony misses 3-pt shot from 23 ft,,48-55,,
3:21.0,Offensive rebound by S. Adams,,48-55,,
3:21.0,S. Adams makes 2-pt shot at rim,2,50-55,,
3:07.0,Personal foul by C. Anthony (drawn by D. Jordan),,50-55,,
3:01.0,,,50-55,,M. Teodosic misses 3-pt shot from 24 ft
2:53.0,,,50-55,,Offensive rebound by B. Griffin
2:53.0,,,50-57,2,B. Griffin makes 2-pt shot at rim
2:47.0,P. George makes 3-pt shot from 25 ft (assist by S. Adams),3,53-57,,
2:37.0,,,53-57,,C. Williams misses 3-pt shot from 22 ft
2:34.0,Defensive rebound by C. Anthony,,53-57,,
2:26.0,P. George makes 3-pt shot from 25 ft (assist by T. Ferguson),3,56-57,,
2:18.0,Technical foul by S. Adams,,56-57,,
2:18.0,,,56-58,1,B. Griffin makes technical free throw
2:18.0,,,56-58,,L. Williams enters the game for M. Teodosic
2:01.0,,,56-58,,B. Griffin misses 2-pt shot from 3 ft
1:58.0,Defensive rebound by R. Westbrook,,56-58,,
1:54.0,C. Anthony misses 3-pt shot from 25 ft,,56-58,,
1:53.0,Offensive rebound by R. Westbrook,,56-58,,
1:53.0,R. Westbrook misses 2-pt shot at rim,,56-58,,
1:53.0,,,56-58,,Defensive rebound by D. Jordan
1:53.0,Personal foul by R. Westbrook (drawn by D. Jordan),,56-58,,
1:39.0,,,56-60,2,C. Williams makes 2-pt shot at rim (assist by L. Williams)
1:24.0,C. Anthony makes 2-pt shot from 18 ft (assist by R. Westbrook),2,58-60,,
1:14.0,,,58-60,,L. Williams misses 2-pt shot at rim
1:09.0,,,58-60,,Offensive rebound by D. Jordan
1:09.0,,,58-62,2,D. Jordan makes 2-pt shot at rim
1:01.0,T. Ferguson makes 3-pt shot from 22 ft (assist by C. Anthony),3,61-62,,
0:37.0,,,61-64,2,C. Williams makes 2-pt shot from 16 ft (assist by L. Williams)
0:32.0,R. Westbrook makes 3-pt shot from 29 ft,3,64-64,,
0:28.0,,,64-64,,B. Griffin misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by C. Anthony,,64-64,,
0:03.0,T. Ferguson misses 3-pt shot from 26 ft,,64-64,,
0:03.0,,,64-64,,Defensive rebound by D. Jordan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,64-64,,J. Evans misses 2-pt shot from 1 ft (block by P. George)
11:36.0,,,64-64,,Offensive rebound by Team
11:32.0,,,64-66,2,C. Williams makes 2-pt shot from 13 ft (assist by J. Evans)
11:18.0,P. George misses 3-pt shot from 26 ft,,64-66,,
11:12.0,,,64-66,,Defensive rebound by B. Griffin
11:01.0,,,64-66,,Turnover by D. Jordan (turnover)
10:45.0,C. Anthony makes 2-pt shot from 9 ft,2,66-66,,
10:25.0,,,66-66,,D. Jordan misses 2-pt shot from 3 ft
10:22.0,,,66-66,,Offensive rebound by B. Griffin
10:18.0,,,66-68,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Williams)
10:18.0,Oklahoma City full timeout,,66-68,,
10:09.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,68-68,,
10:09.0,Shooting foul by W. Johnson (drawn by P. George),,68-68,,
10:09.0,P. George makes free throw 1 of 1,1,69-68,,
9:57.0,,,69-71,3,W. Johnson makes 3-pt shot from 22 ft (assist by J. Evans)
9:44.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,72-71,,
9:23.0,,,72-71,,Turnover by D. Jordan (turnover)
9:13.0,Shooting foul by W. Johnson (drawn by S. Adams),,72-71,,
9:13.0,S. Adams makes free throw 1 of 2,1,73-71,,
9:13.0,S. Adams makes free throw 2 of 2,1,74-71,,
9:03.0,,,74-71,,J. Evans misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by P. George,,74-71,,
8:55.0,T. Ferguson misses 3-pt shot from 23 ft,,74-71,,
8:51.0,,,74-71,,Defensive rebound by D. Jordan
8:39.0,,,74-71,,C. Williams misses 2-pt shot from 12 ft
8:35.0,Defensive rebound by P. George,,74-71,,
8:32.0,C. Anthony makes 3-pt shot from 24 ft (assist by P. George),3,77-71,,
8:30.0,,,77-71,,LA Clippers full timeout
8:21.0,,,77-71,,B. Griffin misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by R. Westbrook,,77-71,,
8:04.0,S. Adams makes 2-pt shot from 4 ft,2,79-71,,
7:51.0,,,79-74,3,W. Johnson makes 3-pt shot from 22 ft (assist by B. Griffin)
7:31.0,T. Ferguson makes 3-pt shot from 23 ft (assist by C. Anthony),3,82-74,,
7:15.0,Def 3 sec tech foul by S. Adams,,82-74,,
7:15.0,,,82-75,1,B. Griffin makes technical free throw
7:15.0,,,82-75,,L. Williams enters the game for C. Williams
7:15.0,,,82-75,,S. Thornwell enters the game for J. Evans
7:11.0,,,82-75,,L. Williams misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by P. George,,82-75,,
7:02.0,S. Adams misses 2-pt shot from 5 ft,,82-75,,
7:00.0,,,82-75,,Defensive rebound by D. Jordan
6:51.0,,,82-75,,B. Griffin misses 2-pt shot from 6 ft
6:51.0,,,82-75,,Offensive rebound by Team
6:51.0,Loose ball foul by S. Adams (drawn by B. Griffin),,82-75,,
6:45.0,,,82-75,,Shooting foul by C. Anthony (drawn by B. Griffin)
6:45.0,,,82-75,,B. Griffin misses free throw 1 of 2
6:45.0,,,82-75,,Offensive rebound by Team
6:45.0,,,82-76,1,B. Griffin makes free throw 2 of 2
6:30.0,Turnover by R. Westbrook (lost ball; steal by W. Johnson),,82-76,,
6:26.0,,,82-76,,S. Thornwell misses 3-pt shot from 22 ft
6:25.0,Defensive rebound by Team,,82-76,,
6:25.0,,,82-76,,Loose ball foul by D. Jordan (drawn by S. Adams)
6:08.0,Shooting foul by W. Johnson (drawn by C. Anthony),,82-76,,
6:08.0,C. Anthony misses free throw 1 of 2,,82-76,,
6:08.0,Offensive rebound by Team,,82-76,,
6:08.0,,,82-76,,S. Dekker enters the game for W. Johnson
6:08.0,C. Anthony misses free throw 2 of 2,,82-76,,
6:04.0,,,82-76,,Defensive rebound by D. Jordan
5:54.0,,,82-76,,L. Williams misses 3-pt shot from 28 ft
5:49.0,,,82-76,,Offensive rebound by S. Thornwell
5:41.0,,,82-78,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
5:27.0,P. George makes 2-pt shot at rim (assist by R. Westbrook),2,84-78,,
5:23.0,,,84-80,2,S. Dekker makes 2-pt shot from 1 ft (assist by B. Griffin)
5:08.0,R. Westbrook misses 2-pt shot from 20 ft,,84-80,,
5:04.0,Offensive rebound by S. Adams,,84-80,,
5:04.0,S. Adams misses 2-pt shot at rim,,84-80,,
5:04.0,Offensive rebound by Team,,84-80,,
5:04.0,Turnover by S. Adams (turnover),,84-80,,
5:04.0,J. Huestis enters the game for P. George,,84-80,,
4:44.0,,,84-80,,S. Thornwell misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by J. Huestis,,84-80,,
4:34.0,R. Westbrook makes 2-pt shot from 18 ft,2,86-80,,
4:10.0,,,86-80,,Shooting foul by T. Ferguson (drawn by B. Griffin)
4:10.0,,,86-81,1,B. Griffin makes free throw 1 of 2
4:10.0,,,86-81,,B. Griffin misses free throw 2 of 2
4:07.0,Defensive rebound by R. Westbrook,,86-81,,
3:58.0,T. Ferguson makes 2-pt shot from 20 ft (assist by R. Westbrook),2,88-81,,
3:47.0,,,88-83,2,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams)
3:35.0,Turnover by S. Adams (bad pass),,88-83,,
3:29.0,,,88-85,2,L. Williams makes 2-pt shot at rim
3:18.0,R. Westbrook misses 2-pt shot from 10 ft,,88-85,,
3:15.0,,,88-85,,Defensive rebound by B. Griffin
3:09.0,,,88-85,,L. Williams misses 2-pt shot from 2 ft (block by S. Adams)
3:09.0,,,88-85,,Offensive rebound by L. Williams
3:09.0,,,88-85,,Shooting foul by C. Anthony (drawn by L. Williams)
3:09.0,,,88-86,1,L. Williams makes free throw 1 of 2
3:09.0,J. Grant enters the game for C. Anthony,,88-86,,
3:09.0,R. Felton enters the game for T. Ferguson,,88-86,,
3:09.0,,,88-87,1,L. Williams makes free throw 2 of 2
2:53.0,R. Westbrook misses 2-pt shot from 17 ft,,88-87,,
2:50.0,,,88-87,,Defensive rebound by B. Griffin
2:45.0,,,88-87,,Turnover by L. Williams (bad pass; steal by R. Felton)
2:35.0,R. Felton misses 2-pt shot from 15 ft,,88-87,,
2:31.0,,,88-87,,Defensive rebound by B. Griffin
2:26.0,,,88-87,,L. Williams misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by R. Westbrook,,88-87,,
2:15.0,Turnover by R. Westbrook (bad pass; steal by D. Jordan),,88-87,,
2:15.0,Personal take foul by S. Adams (drawn by D. Jordan),,88-87,,
2:15.0,,,88-88,1,D. Jordan makes free throw 1 of 2
2:15.0,,,88-88,,C. Williams enters the game for B. Griffin
2:15.0,P. Patterson enters the game for S. Adams,,88-88,,
2:15.0,,,88-89,1,D. Jordan makes free throw 2 of 2
2:03.0,R. Felton makes 3-pt shot from 23 ft (assist by R. Westbrook),3,91-89,,
1:48.0,,,91-89,,L. Williams misses 3-pt shot from 30 ft
1:45.0,,,91-89,,Offensive rebound by C. Williams
1:38.0,,,91-89,,S. Thornwell misses 2-pt shot from 2 ft
1:34.0,,,91-89,,Offensive rebound by D. Jordan
1:33.0,,,91-89,,C. Williams misses 3-pt shot from 24 ft
1:33.0,,,91-89,,Offensive rebound by Team
1:33.0,Loose ball foul by J. Grant (drawn by D. Jordan),,91-89,,
1:33.0,,,91-90,1,D. Jordan makes free throw 1 of 2
1:33.0,,,91-91,1,D. Jordan makes free throw 2 of 2
1:22.0,R. Westbrook makes 3-pt shot from 27 ft,3,94-91,,
1:00.0,,,94-91,,L. Williams misses 2-pt shot from 6 ft
0:54.0,,,94-91,,Offensive rebound by D. Jordan
0:54.0,,,94-93,2,D. Jordan makes 2-pt shot at rim
0:47.0,R. Felton misses 3-pt shot from 24 ft,,94-93,,
0:44.0,,,94-93,,Defensive rebound by D. Jordan
0:39.0,,,94-95,2,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams)
0:29.0,R. Westbrook misses 2-pt shot from 1 ft,,94-95,,
0:25.0,,,94-95,,Defensive rebound by S. Thornwell
0:03.0,,,94-97,2,S. Dekker makes 2-pt shot from 11 ft
0:01.0,R. Felton misses 3-pt shot from 38 ft,,94-97,,
0:00.0,Offensive rebound by Team,,94-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Ferguson misses 2-pt shot from 3 ft,,94-97,,
11:41.0,,,94-97,,Defensive rebound by M. Harrell
11:35.0,,,94-97,,L. Williams misses 2-pt shot from 4 ft (block by J. Huestis)
11:34.0,Defensive rebound by J. Grant,,94-97,,
11:26.0,J. Grant makes 2-pt shot from 3 ft (assist by R. Felton),2,96-97,,
11:26.0,Shooting foul by M. Harrell (drawn by J. Grant),,96-97,,
11:26.0,J. Grant misses free throw 1 of 1,,96-97,,
11:26.0,,,96-97,,Defensive rebound by M. Harrell
11:07.0,,,96-97,,J. Evans misses 2-pt shot from 5 ft (block by J. Grant)
11:06.0,,,96-97,,Offensive rebound by S. Dekker
11:03.0,,,96-97,,S. Dekker misses 2-pt shot from 17 ft
11:02.0,Defensive rebound by J. Grant,,96-97,,
10:51.0,J. Grant makes 2-pt shot from 6 ft (assist by R. Felton),2,100-97,,
10:28.0,,,100-97,,M. Harrell misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by J. Grant,,100-97,,
10:19.0,R. Felton makes 2-pt shot from 6 ft,2,100-97,,
9:56.0,,,100-97,,Turnover by L. Williams (bad pass; steal by P. Patterson)
9:51.0,P. Patterson makes 2-pt shot from 1 ft,2,102-97,,
9:51.0,,,102-97,,LA Clippers full timeout
9:36.0,,,102-97,,L. Williams misses 3-pt shot from 31 ft
9:32.0,Defensive rebound by J. Grant,,102-97,,
9:22.0,T. Ferguson misses 3-pt shot from 24 ft,,102-97,,
9:18.0,Offensive rebound by R. Felton,,102-97,,
9:07.0,R. Felton makes 2-pt shot from 1 ft,2,104-97,,
8:52.0,Personal foul by R. Felton (drawn by J. Evans),,104-97,,
8:52.0,P. George enters the game for J. Huestis,,104-97,,
8:52.0,,,104-97,,B. Griffin enters the game for M. Harrell
8:43.0,,,104-97,,B. Griffin misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by P. George,,104-97,,
8:35.0,P. George makes 2-pt shot from 20 ft,2,106-97,,
8:33.0,,,106-97,,LA Clippers full timeout
8:33.0,,,106-97,,W. Johnson enters the game for S. Dekker
8:33.0,,,106-97,,D. Jordan enters the game for J. Evans
8:24.0,,,106-97,,D. Jordan misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by P. Patterson,,106-97,,
8:06.0,P. George misses 3-pt shot from 25 ft,,106-97,,
8:03.0,,,106-97,,Defensive rebound by B. Griffin
7:57.0,,,106-100,3,L. Williams makes 3-pt shot from 23 ft (assist by B. Griffin)
7:36.0,Turnover by P. George (bad pass; steal by C. Williams),,106-100,,
7:31.0,Personal foul by T. Ferguson (drawn by L. Williams),,106-100,,
7:31.0,R. Westbrook enters the game for J. Grant,,106-100,,
7:31.0,S. Adams enters the game for T. Ferguson,,106-100,,
7:25.0,,,106-100,,C. Williams misses 2-pt shot from 15 ft
7:21.0,Defensive rebound by S. Adams,,106-100,,
7:16.0,R. Westbrook misses 2-pt shot from 19 ft,,106-100,,
7:10.0,,,106-100,,Defensive rebound by D. Jordan
7:02.0,,,106-100,,L. Williams misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by R. Felton,,106-100,,
7:01.0,Oklahoma City full timeout,,106-100,,
6:49.0,P. George makes 2-pt shot at rim (assist by R. Westbrook),2,108-100,,
6:32.0,Personal foul by P. George (drawn by B. Griffin),,108-100,,
6:20.0,,,108-100,,Turnover by L. Williams (bad pass; steal by S. Adams)
6:18.0,Turnover by P. George (bad pass),,108-100,,
6:18.0,C. Anthony enters the game for P. Patterson,,108-100,,
6:05.0,,,108-100,,W. Johnson misses 2-pt shot from 21 ft
6:00.0,Defensive rebound by C. Anthony,,108-100,,
5:49.0,R. Westbrook makes 2-pt shot from 16 ft,2,110-100,,
5:40.0,Personal foul by P. George (drawn by L. Williams),,110-100,,
