time,Golden State,pts.away,score,pts.home,Washington
2:00.0,,,25-19,,Turnover by I. Mahinmi (out of bounds lost ball)
1:48.0,K. Durant makes 3-pt shot from 23 ft (assist by Z. Pachulia),3,28-19,,
1:33.0,,,28-19,,B. Beal misses 2-pt shot from 7 ft (block by A. Iguodala)
1:30.0,Defensive rebound by A. Iguodala,,28-19,,
1:30.0,Shooting foul by K. Oubre (drawn by K. Durant),,28-19,,
1:30.0,K. Durant makes free throw 1 of 2,1,29-19,,
1:30.0,,,29-19,,J. Meeks enters the game for B. Beal
1:30.0,K. Durant makes free throw 2 of 2,1,30-19,,
1:12.0,,,30-21,2,M. Morris makes 2-pt shot from 2 ft
0:58.0,K. Durant misses 3-pt shot from 26 ft,,30-21,,
0:54.0,,,30-21,,Defensive rebound by J. Meeks
0:48.0,,,30-21,,Turnover by T. Satoransky (lost ball; steal by N. Young)
0:45.0,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry),2,32-21,,
0:45.0,,,32-21,,Washington full timeout
0:45.0,D. Green enters the game for K. Durant,,32-21,,
0:32.0,,,32-21,,K. Oubre misses 2-pt shot from 2 ft (block by A. Iguodala)
0:29.0,Defensive rebound by D. Green,,32-21,,
0:12.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala),3,35-21,,
0:04.0,Personal take foul by A. Iguodala (drawn by T. Satoransky),,35-21,,
0:04.0,S. Livingston enters the game for S. Curry,,35-21,,
0:04.0,,,35-21,,Technical foul by K. Oubre
0:04.0,S. Curry makes technical free throw,1,36-21,,
0:04.0,S. Curry misses technical free throw,,36-21,,
0:04.0,,,36-21,,Defensive rebound by Team
0:04.0,J. Bell enters the game for Z. Pachulia,,36-21,,
0:00.0,,,36-21,,K. Oubre misses 2-pt shot from 18 ft
0:00.0,,,36-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. West misses 2-pt shot from 19 ft,,36-21,,
11:39.0,,,36-21,,Defensive rebound by J. Meeks
11:23.0,Def 3 sec tech foul by D. West,,36-21,,
11:23.0,,,36-22,1,J. Meeks makes technical free throw
11:18.0,,,36-24,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by J. Meeks)
10:52.0,S. Livingston makes 2-pt shot from 14 ft,2,38-24,,
10:35.0,,,38-24,,J. Meeks misses 3-pt shot from 24 ft (block by D. West)
10:31.0,,,38-24,,Offensive rebound by J. Meeks
10:27.0,,,38-26,2,M. Scott makes 2-pt shot from 9 ft (assist by J. Meeks)
10:09.0,Shooting foul by J. Meeks (drawn by A. Iguodala),,38-26,,
10:09.0,A. Iguodala makes free throw 1 of 2,1,39-26,,
10:09.0,A. Iguodala makes free throw 2 of 2,1,40-26,,
9:58.0,,,40-26,,K. Oubre misses 2-pt shot from 4 ft
9:56.0,Defensive rebound by K. Thompson,,40-26,,
9:48.0,S. Livingston misses 2-pt shot from 17 ft,,40-26,,
9:45.0,,,40-26,,Defensive rebound by I. Mahinmi
9:39.0,,,40-26,,T. Frazier misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by S. Livingston,,40-26,,
9:29.0,,,40-26,,Personal foul by T. Frazier (drawn by K. Thompson)
9:24.0,S. Livingston makes 2-pt shot from 2 ft (assist by D. Green),2,42-26,,
9:24.0,,,42-26,,Washington full timeout
8:59.0,,,42-28,2,I. Mahinmi makes 2-pt shot from 4 ft (assist by K. Oubre)
8:34.0,Turnover by D. West (bad pass; steal by J. Meeks),,42-28,,
8:29.0,,,42-30,2,J. Meeks makes 2-pt shot from 1 ft (assist by T. Frazier)
8:11.0,D. West misses 2-pt shot from 2 ft (block by J. Meeks),,42-30,,
8:08.0,,,42-30,,Defensive rebound by M. Scott
8:08.0,,,42-30,,Shooting foul by A. Iguodala (drawn by K. Oubre)
8:08.0,,,42-31,1,K. Oubre makes free throw 1 of 2
8:08.0,,,42-32,1,K. Oubre makes free throw 2 of 2
7:49.0,A. Iguodala misses 3-pt shot from 25 ft,,42-32,,
7:45.0,,,42-32,,Defensive rebound by K. Oubre
7:32.0,,,42-32,,K. Oubre misses 3-pt shot from 23 ft
7:27.0,,,42-32,,Offensive rebound by T. Frazier
7:24.0,,,42-32,,M. Scott misses 3-pt shot from 26 ft
7:20.0,,,42-32,,Offensive rebound by T. Frazier
7:19.0,,,42-34,2,M. Scott makes 2-pt shot at rim (assist by T. Frazier)
7:18.0,Golden State full timeout,,42-34,,
7:18.0,K. Durant enters the game for A. Iguodala,,42-34,,
7:18.0,J. Bell enters the game for D. Green,,42-34,,
7:04.0,K. Thompson misses 3-pt shot from 26 ft,,42-34,,
7:00.0,,,42-34,,Defensive rebound by I. Mahinmi
6:47.0,,,42-36,2,J. Meeks makes 2-pt shot from 2 ft (assist by T. Frazier)
6:27.0,Turnover by K. Durant (traveling),,42-36,,
6:07.0,,,42-36,,T. Frazier misses 2-pt shot from 20 ft
6:02.0,,,42-36,,Offensive rebound by M. Scott
6:02.0,,,42-36,,M. Scott misses 2-pt shot at rim
6:01.0,Defensive rebound by K. Thompson,,42-36,,
5:56.0,K. Thompson misses 2-pt shot from 20 ft,,42-36,,
5:54.0,,,42-36,,Defensive rebound by J. Meeks
5:44.0,,,42-36,,M. Scott misses 2-pt shot from 9 ft
5:43.0,Defensive rebound by K. Durant,,42-36,,
5:42.0,,,42-36,,Personal foul by M. Scott (drawn by K. Durant)
5:42.0,,,42-36,,B. Beal enters the game for T. Frazier
5:42.0,,,42-36,,O. Porter enters the game for J. Meeks
5:42.0,,,42-36,,T. Satoransky enters the game for I. Mahinmi
5:42.0,,,42-36,,M. Morris enters the game for M. Scott
5:42.0,S. Curry enters the game for K. Thompson,,42-36,,
5:31.0,K. Durant makes 2-pt shot from 18 ft,2,44-36,,
5:16.0,,,44-36,,M. Morris misses 2-pt shot from 13 ft
5:12.0,Defensive rebound by J. Bell,,44-36,,
5:08.0,K. Durant misses 3-pt shot from 29 ft,,44-36,,
5:04.0,Offensive rebound by D. West,,44-36,,
5:04.0,D. West makes 2-pt shot from 2 ft,2,46-36,,
4:51.0,,,46-36,,O. Porter misses 2-pt shot from 12 ft
4:48.0,,,46-36,,Offensive rebound by M. Morris
4:47.0,,,46-36,,B. Beal misses 3-pt shot from 24 ft
4:47.0,,,46-36,,Offensive rebound by O. Porter
4:43.0,,,46-38,2,O. Porter makes 2-pt shot at rim
4:43.0,Golden State full timeout,,46-38,,
4:43.0,D. Green enters the game for D. West,,46-38,,
4:29.0,S. Livingston makes 2-pt shot from 2 ft (assist by J. Bell),2,48-38,,
4:16.0,,,48-38,,Shooting foul by J. Bell (drawn by M. Morris)
4:16.0,,,48-39,1,M. Morris makes free throw 1 of 2
4:16.0,A. Iguodala enters the game for S. Livingston,,48-39,,
4:16.0,,,48-40,1,M. Morris makes free throw 2 of 2
4:06.0,,,48-40,,Personal foul by M. Morris (drawn by S. Curry)
4:00.0,J. Bell makes 2-pt shot from 2 ft (assist by D. Green),2,50-40,,
3:52.0,,,50-40,,Turnover by B. Beal (out of bounds lost ball)
3:42.0,S. Curry misses 2-pt shot from 4 ft,,50-40,,
3:39.0,Offensive rebound by A. Iguodala,,50-40,,
3:36.0,S. Curry misses 3-pt shot from 27 ft,,50-40,,
3:32.0,,,50-40,,Defensive rebound by B. Beal
3:28.0,,,50-43,3,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal)
3:10.0,K. Thompson enters the game for J. Bell,,50-43,,
3:06.0,Shooting foul by K. Oubre (drawn by A. Iguodala),,50-43,,
3:06.0,A. Iguodala makes free throw 1 of 2,1,51-43,,
3:06.0,A. Iguodala makes free throw 2 of 2,1,52-43,,
2:57.0,,,52-43,,B. Beal misses 2-pt shot from 18 ft
2:54.0,,,52-43,,Offensive rebound by O. Porter
2:54.0,,,52-43,,Shooting foul by S. Curry (drawn by O. Porter)
2:54.0,,,52-44,1,O. Porter makes free throw 1 of 2
2:54.0,,,52-45,1,O. Porter makes free throw 2 of 2
2:42.0,K. Durant misses 2-pt shot from 19 ft,,52-45,,
2:39.0,,,52-45,,Defensive rebound by M. Morris
2:33.0,,,52-48,3,M. Morris makes 3-pt shot from 25 ft (assist by O. Porter)
2:17.0,Turnover by S. Curry (bad pass; steal by O. Porter),,52-48,,
2:13.0,,,52-51,3,O. Porter makes 3-pt shot from 23 ft (assist by T. Satoransky)
1:57.0,S. Curry misses 2-pt shot from 20 ft,,52-51,,
1:54.0,,,52-51,,Defensive rebound by O. Porter
1:48.0,,,52-51,,M. Morris misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by S. Curry,,52-51,,
1:40.0,Turnover by S. Curry (bad pass),,52-51,,
1:22.0,,,52-53,2,T. Satoransky makes 2-pt shot from 1 ft (assist by K. Oubre)
1:15.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,54-53,,
0:48.0,,,54-53,,O. Porter misses 2-pt shot from 12 ft
0:45.0,Defensive rebound by A. Iguodala,,54-53,,
0:40.0,A. Iguodala makes 2-pt shot from 1 ft,2,56-53,,
0:29.0,,,56-56,3,T. Satoransky makes 3-pt shot from 23 ft (assist by B. Beal)
0:12.0,,,56-56,,Personal foul by T. Satoransky (drawn by S. Curry)
0:12.0,S. Curry makes free throw 1 of 2,1,57-56,,
0:12.0,S. Livingston enters the game for A. Iguodala,,57-56,,
0:12.0,S. Curry makes free throw 2 of 2,1,58-56,,
0:03.0,Personal foul by S. Curry (drawn by T. Satoransky),,58-56,,
0:03.0,A. Iguodala enters the game for S. Curry,,58-56,,
0:00.0,,,58-56,,B. Beal misses 3-pt shot from 26 ft
0:00.0,,,58-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Durant makes 3-pt shot from 23 ft (assist by D. Green),3,61-56,,
11:23.0,,,61-56,,M. Morris misses 2-pt shot from 11 ft
11:21.0,Defensive rebound by J. McGee,,61-56,,
11:15.0,D. Green makes 2-pt shot from 2 ft (assist by K. Durant),2,63-56,,
11:08.0,,,63-58,2,T. Satoransky makes 2-pt shot from 3 ft (assist by M. Morris)
10:52.0,Turnover by S. Curry (out of bounds lost ball),,63-58,,
10:38.0,Personal foul by J. McGee (drawn by M. Gortat),,63-58,,
10:33.0,,,63-58,,B. Beal misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by J. McGee,,63-58,,
10:13.0,S. Curry misses 2-pt shot from 20 ft,,63-58,,
10:13.0,,,63-58,,Defensive rebound by M. Morris
10:03.0,,,63-58,,Turnover by B. Beal (lost ball; steal by S. Curry)
9:56.0,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant),3,66-58,,
9:30.0,,,66-58,,T. Satoransky misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by J. McGee,,66-58,,
9:16.0,K. Durant makes 2-pt shot from 19 ft,2,68-58,,
9:16.0,,,68-58,,Washington full timeout
9:01.0,,,68-58,,O. Porter misses 2-pt shot from 15 ft
8:58.0,Defensive rebound by Team,,68-58,,
8:58.0,,,68-58,,Loose ball foul by B. Beal (drawn by S. Curry)
8:48.0,D. Green makes 2-pt shot at rim,2,70-58,,
8:31.0,,,70-60,2,M. Gortat makes 2-pt shot from 13 ft
8:15.0,,,70-60,,Shooting block foul by B. Beal (drawn by S. Curry)
8:15.0,S. Curry makes free throw 1 of 2,1,71-60,,
8:15.0,S. Curry makes free throw 2 of 2,1,72-60,,
7:51.0,,,72-60,,M. Morris misses 2-pt shot from 19 ft
7:47.0,,,72-60,,Offensive rebound by M. Gortat
7:41.0,,,72-60,,M. Gortat misses 2-pt shot from 5 ft (block by J. McGee)
7:40.0,Defensive rebound by K. Durant,,72-60,,
7:37.0,,,72-60,,Personal take foul by O. Porter (drawn by K. Durant)
7:25.0,J. McGee misses 2-pt shot from 7 ft,,72-60,,
7:22.0,,,72-60,,Defensive rebound by M. Morris
7:16.0,,,72-60,,B. Beal misses 2-pt shot from 9 ft
7:13.0,Defensive rebound by K. Durant,,72-60,,
7:04.0,Turnover by J. McGee (traveling),,72-60,,
6:55.0,,,72-60,,Turnover by T. Satoransky (bad pass)
6:43.0,J. McGee misses 2-pt shot from 3 ft,,72-60,,
6:40.0,,,72-60,,Defensive rebound by B. Beal
6:26.0,,,72-60,,Turnover by O. Porter (lost ball; steal by J. McGee)
6:21.0,D. Green makes 2-pt shot from 3 ft (assist by K. Durant),2,74-60,,
6:20.0,,,74-60,,Washington full timeout
6:20.0,,,74-60,,K. Oubre enters the game for M. Gortat
6:20.0,Z. Pachulia enters the game for J. McGee,,74-60,,
5:58.0,,,74-60,,K. Oubre misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by D. Green,,74-60,,
5:52.0,Shooting foul by M. Morris (drawn by Z. Pachulia),,74-60,,
5:52.0,Z. Pachulia makes free throw 1 of 2,1,75-60,,
5:52.0,Z. Pachulia misses free throw 2 of 2,,75-60,,
5:49.0,,,75-60,,Defensive rebound by O. Porter
5:31.0,,,75-60,,O. Porter misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by S. Curry,,75-60,,
5:28.0,Turnover by S. Curry (traveling),,75-60,,
5:19.0,,,75-63,3,B. Beal makes 3-pt shot from 26 ft (assist by T. Satoransky)
5:00.0,,,75-63,,Violation by K. Oubre (kicked ball)
5:00.0,A. Iguodala enters the game for D. Green,,75-63,,
5:00.0,J. Bell enters the game for Z. Pachulia,,75-63,,
4:47.0,K. Durant misses 3-pt shot from 27 ft,,75-63,,
4:45.0,,,75-63,,Defensive rebound by O. Porter
4:41.0,,,75-65,2,O. Porter makes 2-pt shot from 6 ft (assist by M. Morris)
4:41.0,,,75-65,,Shooting foul by A. Iguodala (drawn by O. Porter)
4:41.0,,,75-66,1,O. Porter makes free throw 1 of 1
4:28.0,K. Thompson misses 3-pt shot from 25 ft,,75-66,,
4:26.0,,,75-66,,Defensive rebound by O. Porter
4:20.0,,,75-66,,B. Beal misses 3-pt shot from 26 ft
4:16.0,,,75-66,,Offensive rebound by M. Morris
4:03.0,,,75-66,,K. Oubre misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by K. Durant,,75-66,,
3:54.0,S. Curry misses 3-pt shot from 24 ft,,75-66,,
3:51.0,,,75-66,,Defensive rebound by K. Oubre
3:39.0,,,75-68,2,M. Morris makes 2-pt shot from 18 ft
3:25.0,S. Curry makes 2-pt shot at rim,2,77-68,,
3:03.0,,,77-68,,K. Oubre misses 2-pt shot from 2 ft
3:01.0,,,77-68,,Offensive rebound by T. Satoransky
3:00.0,,,77-68,,T. Satoransky misses 2-pt shot from 3 ft (block by A. Iguodala)
2:58.0,Defensive rebound by S. Curry,,77-68,,
2:56.0,S. Curry misses 3-pt shot from 26 ft,,77-68,,
2:53.0,,,77-68,,Defensive rebound by O. Porter
2:35.0,,,77-70,2,B. Beal makes 2-pt shot from 22 ft (assist by K. Oubre)
2:33.0,Golden State full timeout,,77-70,,
2:33.0,,,77-70,,M. Scott enters the game for M. Morris
2:33.0,N. Young enters the game for K. Thompson,,77-70,,
2:33.0,D. Green enters the game for J. Bell,,77-70,,
2:33.0,,,77-70,,I. Mahinmi enters the game for O. Porter
2:19.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,79-70,,
2:16.0,,,79-70,,Turnover by I. Mahinmi (bad pass; steal by S. Curry)
2:11.0,S. Curry makes 3-pt shot from 23 ft,3,82-70,,
1:45.0,,,82-70,,M. Scott misses 3-pt shot from 30 ft
1:45.0,,,82-70,,Offensive rebound by Team
1:45.0,,,82-70,,Turnover by Team (shot clock)
1:36.0,Offensive foul by K. Durant (drawn by T. Satoransky),,82-70,,
1:36.0,Turnover by K. Durant (offensive foul),,82-70,,
1:23.0,Personal foul by N. Young (drawn by B. Beal),,82-70,,
1:23.0,S. Livingston enters the game for S. Curry,,82-70,,
1:08.0,,,82-70,,B. Beal misses 2-pt shot from 20 ft
1:06.0,Defensive rebound by A. Iguodala,,82-70,,
0:53.0,K. Durant makes 2-pt shot from 19 ft,2,84-70,,
0:37.0,,,84-70,,Turnover by K. Oubre (lost ball; steal by N. Young)
0:36.0,,,84-70,,Personal foul by K. Oubre (drawn by D. Green)
0:36.0,D. Green misses free throw 1 of 2,,84-70,,
0:36.0,Offensive rebound by Team,,84-70,,
0:36.0,D. Green makes free throw 2 of 2,1,85-70,,
0:29.0,,,85-70,,Turnover by B. Beal (lost ball; steal by A. Iguodala)
0:22.0,N. Young misses 3-pt shot from 25 ft,,85-70,,
0:17.0,,,85-70,,Defensive rebound by T. Satoransky
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,85-70,,T. Frazier misses 2-pt shot from 20 ft
11:35.0,,,85-70,,Offensive rebound by I. Mahinmi
11:33.0,,,85-70,,Shooting foul by S. Livingston (drawn by K. Oubre)
11:33.0,,,85-71,1,K. Oubre makes free throw 1 of 2
11:33.0,,,85-72,1,K. Oubre makes free throw 2 of 2
11:11.0,K. Thompson misses 2-pt shot from 16 ft,,85-72,,
11:08.0,,,85-72,,Defensive rebound by J. Meeks
10:48.0,,,85-72,,Shooting foul by D. West (drawn by M. Scott)
10:48.0,,,85-73,1,M. Scott makes free throw 1 of 2
10:48.0,,,85-74,1,M. Scott makes free throw 2 of 2
10:37.0,Turnover by D. Green (bad pass; steal by I. Mahinmi),,85-74,,
10:22.0,,,85-74,,Offensive foul by I. Mahinmi (drawn by D. Green)
10:22.0,,,85-74,,Turnover by I. Mahinmi (offensive foul)
10:06.0,A. Iguodala makes 2-pt shot from 2 ft (assist by D. West),2,87-74,,
9:47.0,,,87-74,,Turnover by K. Oubre (bad pass; steal by D. Green)
9:43.0,D. West misses 2-pt shot from 1 ft (block by I. Mahinmi),,87-74,,
9:41.0,Offensive rebound by K. Thompson,,87-74,,
9:39.0,K. Thompson makes 2-pt shot from 15 ft,2,89-74,,
9:16.0,,,89-74,,J. Meeks misses 2-pt shot from 5 ft (block by D. Green)
9:10.0,,,89-74,,Offensive rebound by J. Meeks
9:10.0,,,89-76,2,J. Meeks makes 2-pt shot from 2 ft
9:04.0,S. Livingston misses 2-pt shot from 17 ft,,89-76,,
9:03.0,,,89-76,,Defensive rebound by M. Scott
9:03.0,Personal foul by D. Green (drawn by T. Frazier),,89-76,,
9:03.0,,,89-76,,O. Porter enters the game for I. Mahinmi
9:03.0,,,89-76,,M. Morris enters the game for M. Scott
8:44.0,,,89-76,,K. Oubre misses 2-pt shot from 4 ft
8:44.0,,,89-76,,Offensive rebound by K. Oubre
8:44.0,,,89-78,2,K. Oubre makes 2-pt shot from 4 ft
8:44.0,,,89-78,,Shooting foul by S. Livingston (drawn by K. Oubre)
8:44.0,,,89-78,,K. Oubre misses free throw 1 of 1
8:41.0,Defensive rebound by A. Iguodala,,89-78,,
8:30.0,,,89-78,,Personal foul by J. Meeks (drawn by K. Thompson)
8:26.0,,,89-78,,Personal foul by T. Frazier (drawn by D. Green)
8:20.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,92-78,,
8:19.0,,,92-78,,Washington full timeout
8:19.0,,,92-78,,B. Beal enters the game for T. Frazier
8:04.0,,,92-78,,Shooting foul by D. Green (drawn by O. Porter)
8:04.0,,,92-79,1,O. Porter makes free throw 1 of 2
8:04.0,,,92-80,1,O. Porter makes free throw 2 of 2
7:51.0,Turnover by D. West (out of bounds lost ball),,92-80,,
7:35.0,,,92-82,2,O. Porter makes 2-pt shot from 12 ft (assist by B. Beal)
7:18.0,A. Iguodala makes 2-pt shot from 18 ft,2,94-82,,
7:06.0,,,94-85,3,B. Beal makes 3-pt shot from 25 ft
6:56.0,,,94-85,,Personal foul by M. Morris (drawn by D. West)
6:56.0,K. Durant enters the game for K. Thompson,,94-85,,
6:56.0,S. Curry enters the game for D. Green,,94-85,,
6:41.0,K. Durant misses 2-pt shot from 20 ft,,94-85,,
6:36.0,,,94-85,,Defensive rebound by M. Morris
6:23.0,,,94-85,,Turnover by M. Morris (out of bounds lost ball)
6:05.0,Shooting foul by B. Beal (drawn by S. Curry),,94-85,,
6:05.0,S. Curry makes free throw 1 of 2,1,95-85,,
6:05.0,S. Curry makes free throw 2 of 2,1,96-85,,
5:50.0,,,96-85,,Shooting foul by S. Livingston (drawn by K. Oubre)
5:50.0,,,96-85,,K. Oubre misses free throw 1 of 2
5:50.0,,,96-85,,Offensive rebound by Team
5:50.0,,,96-86,1,K. Oubre makes free throw 2 of 2
5:33.0,Shooting foul by K. Oubre (drawn by K. Durant),,96-86,,
5:33.0,K. Durant makes free throw 1 of 2,1,97-86,,
5:33.0,K. Durant misses free throw 2 of 2,,97-86,,
5:30.0,,,97-86,,Defensive rebound by M. Morris
5:15.0,,,97-86,,Turnover by B. Beal (out of bounds lost ball)
5:03.0,Turnover by S. Curry (bad pass; steal by J. Meeks),,97-86,,
4:58.0,,,97-86,,J. Meeks misses 3-pt shot from 27 ft
4:54.0,Defensive rebound by A. Iguodala,,97-86,,
4:35.0,Golden State full timeout,,97-86,,
4:35.0,D. Green enters the game for D. West,,97-86,,
4:35.0,K. Thompson enters the game for S. Livingston,,97-86,,
4:32.0,K. Durant misses 2-pt shot from 13 ft,,97-86,,
4:30.0,,,97-86,,Defensive rebound by J. Meeks
4:08.0,,,97-86,,M. Morris misses 2-pt shot from 16 ft
4:07.0,,,97-86,,Offensive rebound by Team
4:07.0,,,97-86,,Turnover by Team (shot clock)
3:47.0,Turnover by D. Green (bad pass; steal by B. Beal),,97-86,,
3:42.0,,,97-86,,Shooting foul by K. Durant (drawn by J. Meeks)
3:42.0,,,97-87,1,J. Meeks makes free throw 1 of 2
3:42.0,,,97-87,,J. Meeks misses free throw 2 of 2
3:40.0,Defensive rebound by D. Green,,97-87,,
3:31.0,Offensive foul by K. Durant (drawn by K. Oubre),,97-87,,
3:31.0,Turnover by K. Durant (offensive foul),,97-87,,
3:31.0,,,97-87,,T. Satoransky enters the game for J. Meeks
3:17.0,,,97-89,2,M. Morris makes 2-pt shot from 2 ft
3:05.0,S. Curry misses 3-pt shot from 26 ft,,97-89,,
3:01.0,,,97-89,,Defensive rebound by O. Porter
