time,Milwaukee,pts.away,score,pts.home,Boston
3:35.0,,,17-19,,Defensive rebound by J. Brown
3:30.0,,,17-19,,J. Brown misses 2-pt shot from 1 ft
3:30.0,,,17-19,,Offensive rebound by Team
3:30.0,Personal foul by G. Monroe (drawn by J. Brown),,17-19,,
3:30.0,,,17-19,,A. Baynes enters the game for A. Horford
3:30.0,,,17-19,,T. Rozier enters the game for J. Brown
3:30.0,J. Henson enters the game for G. Monroe,,17-19,,
3:23.0,,,17-19,,K. Irving misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by J. Henson,,17-19,,
3:05.0,M. Brogdon misses 2-pt shot from 19 ft,,17-19,,
3:02.0,,,17-19,,Defensive rebound by K. Irving
2:48.0,,,17-21,2,T. Rozier makes 2-pt shot from 2 ft
2:41.0,K. Middleton makes 2-pt shot from 1 ft,2,19-21,,
2:15.0,Milwaukee full timeout,,19-21,,
2:15.0,,,19-21,,M. Smart enters the game for K. Irving
2:14.0,,,19-21,,A. Nader misses 2-pt shot from 13 ft
2:14.0,,,19-21,,Offensive rebound by Team
2:14.0,,,19-21,,Turnover by Team (shot clock)
1:54.0,K. Middleton misses 2-pt shot from 14 ft,,19-21,,
1:52.0,,,19-21,,Defensive rebound by M. Smart
1:39.0,,,19-21,,J. Tatum misses 2-pt shot from 19 ft
1:36.0,Defensive rebound by M. Brogdon,,19-21,,
1:34.0,Shooting foul by A. Nader (drawn by J. Henson),,19-21,,
1:34.0,J. Henson makes free throw 1 of 2,1,20-21,,
1:34.0,J. Henson misses free throw 2 of 2,,20-21,,
1:32.0,,,20-21,,Defensive rebound by J. Tatum
1:19.0,,,20-21,,M. Smart misses 2-pt shot from 3 ft
1:17.0,Defensive rebound by K. Middleton,,20-21,,
1:08.0,M. Brogdon makes 2-pt shot from 1 ft,2,22-21,,
0:58.0,,,22-23,2,A. Baynes makes 2-pt shot from 9 ft (assist by T. Rozier)
0:50.0,M. Dellavedova misses 3-pt shot from 27 ft,,22-23,,
0:47.0,Offensive rebound by K. Middleton,,22-23,,
0:47.0,K. Middleton makes 2-pt shot from 10 ft,2,24-23,,
0:26.0,Violation by M. Dellavedova (kicked ball),,24-23,,
0:26.0,,,24-23,,A. Horford enters the game for J. Tatum
0:16.0,,,24-26,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Horford)
0:01.0,K. Middleton misses 2-pt shot from 4 ft,,24-26,,
0:01.0,,,24-26,,Defensive rebound by T. Rozier
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by M. Dellavedova (bad pass; steal by M. Smart),,24-26,,
11:41.0,,,24-28,2,A. Nader makes 2-pt shot at rim (assist by A. Horford)
11:27.0,M. Dellavedova misses 2-pt shot from 8 ft,,24-28,,
11:27.0,,,24-28,,Defensive rebound by T. Rozier
11:21.0,,,24-28,,T. Rozier misses 2-pt shot from 2 ft
11:21.0,Defensive rebound by M. Teletovic,,24-28,,
11:16.0,,,24-28,,Personal foul by M. Smart (drawn by G. Antetokounmpo)
11:11.0,M. Dellavedova makes 2-pt shot from 12 ft (assist by J. Henson),2,26-28,,
10:50.0,,,26-28,,A. Horford misses 2-pt shot from 10 ft
10:50.0,Defensive rebound by Team,,26-28,,
10:50.0,,,26-28,,Loose ball foul by A. Baynes (drawn by J. Henson)
10:36.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,28-28,,
10:29.0,Personal foul by M. Dellavedova (drawn by M. Smart),,28-28,,
10:29.0,,,28-28,,Technical foul by M. Smart
10:29.0,M. Dellavedova makes technical free throw,1,29-28,,
10:20.0,,,33-33,,M. Smart misses 2-pt shot from 3 ft
10:18.0,,,33-33,,Offensive rebound by M. Smart
10:18.0,,,33-33,,Shooting foul by M. Dellavedova (drawn by M. Smart)
10:18.0,,,33-33,,M. Smart misses free throw 1 of 2
10:18.0,,,33-33,,Offensive rebound by Team
10:18.0,,,33-33,,J. Brown enters the game for A. Baynes
10:18.0,,,33-33,,M. Smart misses free throw 2 of 2
10:18.0,,,33-33,,D. Theis enters the game for A. Nader
10:14.0,,,33-33,,Offensive rebound by D. Theis
10:12.0,,,29-30,2,D. Theis makes 2-pt shot from 1 ft
9:56.0,J. Henson makes 2-pt shot from 2 ft (assist by M. Teletovic),2,31-30,,
9:47.0,Def 3 sec tech foul by M. Dellavedova,,31-30,,
9:47.0,,,31-31,1,A. Horford makes technical free throw
9:35.0,Violation by J. Henson (def goaltending),,31-31,,
9:35.0,,,31-33,2,A. Horford makes 2-pt shot at rim (assist by T. Rozier)
9:24.0,,,31-33,,Personal foul by J. Brown (drawn by G. Antetokounmpo)
9:16.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,33-33,,
9:09.0,Personal foul by J. Henson (drawn by D. Theis),,33-33,,
8:58.0,,,33-35,2,J. Brown makes 2-pt shot at rim (assist by T. Rozier)
8:44.0,Turnover by J. Henson (bad pass; steal by A. Horford),,33-35,,
8:36.0,,,33-35,,D. Theis misses 2-pt shot from 3 ft (block by J. Henson)
8:36.0,,,33-35,,Offensive rebound by Team
8:36.0,,,33-35,,K. Irving enters the game for M. Smart
8:36.0,M. Brogdon enters the game for R. Vaughn,,33-35,,
8:33.0,,,33-37,2,T. Rozier makes 2-pt shot from 7 ft (assist by J. Brown)
8:19.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,33-37,,
8:17.0,,,33-37,,Defensive rebound by T. Rozier
8:12.0,,,33-39,2,J. Brown makes 2-pt shot at rim (assist by T. Rozier)
8:12.0,Milwaukee full timeout,,33-39,,
8:12.0,,,33-39,,J. Tatum enters the game for A. Horford
8:12.0,G. Monroe enters the game for M. Dellavedova,,33-39,,
8:12.0,K. Middleton enters the game for J. Henson,,33-39,,
7:53.0,G. Monroe makes 2-pt shot from 2 ft,2,35-39,,
7:28.0,,,35-39,,A. Baynes enters the game for D. Theis
7:27.0,,,35-39,,Turnover by Team (shot clock)
7:20.0,,,35-39,,Personal foul by A. Baynes (drawn by G. Monroe)
7:11.0,Jump ball: A. Baynes vs. G. Monroe (M. Teletovic gains possession),,,,Jump ball: A. Baynes vs. G. Monroe (M. Teletovic gains possession)
7:05.0,M. Brogdon makes 2-pt shot from 21 ft,2,37-39,,
6:43.0,,,37-39,,J. Tatum misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by G. Antetokounmpo,,37-39,,
6:39.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,39-39,,
6:39.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,39-39,,
6:39.0,G. Antetokounmpo makes free throw 1 of 1,1,40-39,,
6:27.0,,,40-39,,K. Irving misses 2-pt shot from 3 ft
6:25.0,Defensive rebound by G. Monroe,,40-39,,
6:18.0,M. Brogdon misses 3-pt shot from 27 ft,,40-39,,
6:14.0,,,40-39,,Defensive rebound by T. Rozier
6:03.0,,,40-42,3,T. Rozier makes 3-pt shot from 23 ft (assist by J. Brown)
5:38.0,G. Monroe misses 2-pt shot from 8 ft,,40-42,,
5:36.0,,,40-42,,Defensive rebound by T. Rozier
5:32.0,,,40-42,,T. Rozier misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by G. Antetokounmpo,,40-42,,
5:20.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Rozier),,40-42,,
5:16.0,,,40-42,,Shooting foul by K. Middleton (drawn by J. Tatum)
5:16.0,,,40-42,,J. Tatum misses free throw 1 of 2
5:16.0,,,40-42,,Offensive rebound by Team
5:16.0,T. Snell enters the game for M. Teletovic,,40-42,,
5:16.0,,,40-43,1,J. Tatum makes free throw 2 of 2
5:03.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,43-43,,
4:47.0,,,43-43,,A. Baynes misses 2-pt shot from 1 ft
4:45.0,Defensive rebound by G. Monroe,,43-43,,
4:39.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,45-43,,
4:28.0,,,45-45,2,K. Irving makes 2-pt shot from 5 ft
4:06.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,47-45,,
3:54.0,,,47-45,,Shooting foul by T. Snell (drawn by K. Irving)
3:54.0,,,47-46,1,K. Irving makes free throw 1 of 2
3:54.0,,,47-46,,A. Horford enters the game for T. Rozier
3:54.0,,,47-46,,M. Smart enters the game for A. Baynes
3:54.0,T. Maker enters the game for G. Monroe,,47-46,,
3:54.0,,,47-46,,K. Irving misses free throw 2 of 2
3:52.0,Defensive rebound by G. Antetokounmpo,,47-46,,
3:47.0,,,47-46,,Personal foul by J. Brown (drawn by M. Brogdon)
3:47.0,M. Brogdon makes free throw 1 of 2,1,48-46,,
3:47.0,,,48-46,,D. Theis enters the game for J. Brown
3:47.0,M. Brogdon makes free throw 2 of 2,1,49-46,,
3:32.0,,,49-46,,M. Smart misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by T. Snell,,49-46,,
3:21.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,51-46,,
3:21.0,Shooting foul by D. Theis (drawn by G. Antetokounmpo),,51-46,,
3:21.0,G. Antetokounmpo makes free throw 1 of 1,1,52-46,,
3:15.0,,,52-46,,Boston full timeout
2:59.0,,,52-46,,Turnover by D. Theis (lost ball; steal by G. Antetokounmpo)
2:53.0,K. Middleton misses 3-pt shot from 26 ft,,52-46,,
2:50.0,,,52-46,,Defensive rebound by J. Tatum
2:41.0,Personal foul by M. Brogdon (drawn by D. Theis),,52-46,,
2:41.0,,,52-47,1,D. Theis makes free throw 1 of 2
2:41.0,,,52-48,1,D. Theis makes free throw 2 of 2
2:33.0,M. Brogdon makes 3-pt shot from 27 ft,3,55-48,,
2:06.0,,,55-48,,M. Smart misses 2-pt shot from 12 ft
2:06.0,,,55-48,,Offensive rebound by D. Theis
2:01.0,,,55-50,2,D. Theis makes 2-pt shot at rim
1:53.0,,,55-50,,T. Rozier enters the game for J. Tatum
1:52.0,Shooting foul by T. Rozier (drawn by G. Antetokounmpo),,55-50,,
1:52.0,G. Antetokounmpo misses free throw 1 of 2,,55-50,,
1:52.0,Offensive rebound by Team,,55-50,,
1:52.0,,,55-50,,J. Tatum enters the game for D. Theis
1:52.0,G. Antetokounmpo makes free throw 2 of 2,1,56-50,,
1:31.0,,,56-50,,Offensive charge foul by M. Smart (drawn by K. Middleton)
1:31.0,,,56-50,,Turnover by M. Smart (offensive foul)
1:25.0,Offensive foul by T. Maker (drawn by T. Rozier),,56-50,,
1:25.0,Turnover by T. Maker (offensive foul),,56-50,,
1:00.0,,,56-50,,T. Rozier misses 2-pt shot from 2 ft
0:56.0,,,56-50,,Offensive rebound by M. Smart
0:56.0,,,56-50,,M. Smart misses 2-pt shot at rim
0:55.0,Defensive rebound by G. Antetokounmpo,,56-50,,
0:55.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Horford),,56-50,,
0:55.0,,,56-50,,Defensive rebound by K. Irving
0:48.0,,,56-53,3,K. Irving makes 3-pt shot from 26 ft (assist by M. Smart)
0:33.0,K. Middleton makes 2-pt shot from 9 ft,2,58-53,,
0:19.0,,,58-53,,A. Horford misses 2-pt shot from 14 ft
0:15.0,Defensive rebound by G. Antetokounmpo,,58-53,,
0:00.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,58-53,,
0:00.0,Offensive rebound by Team,,58-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,60-53,,
11:20.0,,,60-55,2,A. Horford makes 2-pt shot from 13 ft (assist by K. Irving)
11:04.0,T. Maker makes 2-pt shot from 8 ft (assist by K. Middleton),2,62-55,,
10:52.0,,,62-55,,K. Irving misses 2-pt shot from 5 ft
10:50.0,,,62-55,,Offensive rebound by K. Irving
10:49.0,,,62-55,,Turnover by J. Tatum (step out of bounds)
10:29.0,T. Snell misses 3-pt shot from 26 ft,,62-55,,
10:26.0,Offensive rebound by T. Maker,,62-55,,
10:12.0,,,62-57,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving)
10:01.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Horford),,62-57,,
9:55.0,,,62-59,2,M. Smart makes 2-pt shot at rim (assist by J. Brown)
9:39.0,M. Brogdon misses 3-pt shot from 25 ft,,62-59,,
9:36.0,,,62-59,,Defensive rebound by A. Horford
9:25.0,,,62-62,3,J. Brown makes 3-pt shot from 23 ft (assist by J. Tatum)
8:59.0,G. Antetokounmpo misses 2-pt shot at rim,,62-62,,
8:53.0,Offensive rebound by G. Antetokounmpo,,62-62,,
8:53.0,G. Antetokounmpo makes 2-pt shot at rim,2,64-62,,
8:49.0,,,64-62,,Turnover by A. Horford (bad pass)
8:41.0,,,64-62,,Personal foul by J. Brown (drawn by K. Middleton)
8:41.0,,,64-62,,S. Ojeleye enters the game for J. Brown
8:36.0,K. Middleton misses 2-pt shot from 19 ft,,64-62,,
8:34.0,,,64-62,,Defensive rebound by S. Ojeleye
8:14.0,,,64-62,,J. Tatum misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by T. Maker,,64-62,,
7:58.0,T. Maker misses 2-pt shot from 2 ft,,64-62,,
7:58.0,,,64-62,,Defensive rebound by J. Tatum
7:37.0,,,64-65,3,M. Smart makes 3-pt shot from 27 ft
7:27.0,Offensive charge foul by K. Middleton (drawn by M. Smart),,64-65,,
7:27.0,Turnover by K. Middleton (offensive foul),,64-65,,
7:09.0,,,64-65,,K. Irving misses 3-pt shot from 22 ft
7:07.0,Defensive rebound by K. Middleton,,64-65,,
7:02.0,Turnover by K. Middleton (lost ball; steal by M. Smart),,64-65,,
7:00.0,,,64-65,,Shooting foul by T. Snell (drawn by J. Tatum)
7:00.0,G. Monroe enters the game for T. Maker,,64-65,,
7:00.0,,,64-66,1,J. Tatum makes free throw 1 of 2
7:00.0,,,64-66,,J. Tatum misses free throw 2 of 2
7:00.0,,,64-66,,Offensive rebound by M. Smart
6:51.0,,,64-66,,S. Ojeleye misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by K. Middleton,,64-66,,
6:25.0,Turnover by K. Middleton (bad pass; steal by A. Horford),,64-66,,
6:18.0,,,64-69,3,K. Irving makes 3-pt shot from 28 ft (assist by M. Smart)
6:16.0,Milwaukee full timeout,,64-69,,
6:16.0,M. Teletovic enters the game for G. Antetokounmpo,,64-69,,
6:04.0,T. Snell makes 2-pt shot at rim (assist by M. Brogdon),2,66-69,,
5:50.0,,,66-69,,Turnover by M. Smart (bad pass)
5:41.0,M. Teletovic misses 3-pt shot from 25 ft,,66-69,,
5:38.0,,,66-69,,Defensive rebound by J. Tatum
5:20.0,,,66-69,,K. Irving misses 2-pt shot from 5 ft
5:16.0,,,66-69,,Offensive rebound by Team
5:06.0,,,66-69,,Turnover by S. Ojeleye (traveling)
4:49.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,68-69,,
4:28.0,,,68-72,3,S. Ojeleye makes 3-pt shot from 24 ft
4:11.0,Turnover by M. Brogdon (bad pass; steal by M. Smart),,68-72,,
4:05.0,,,68-72,,K. Irving misses 2-pt shot from 21 ft
3:57.0,Defensive rebound by T. Snell,,68-72,,
3:56.0,M. Teletovic misses 3-pt shot from 26 ft,,68-72,,
3:56.0,,,68-72,,Defensive rebound by Team
3:56.0,Loose ball foul by G. Monroe (drawn by M. Smart),,68-72,,
3:56.0,,,68-72,,T. Rozier enters the game for K. Irving
3:56.0,M. Dellavedova enters the game for M. Brogdon,,68-72,,
3:33.0,,,68-72,,A. Horford misses 2-pt shot from 12 ft
3:30.0,Defensive rebound by G. Monroe,,68-72,,
3:21.0,,,68-72,,Personal foul by T. Rozier (drawn by M. Teletovic)
3:21.0,,,68-72,,A. Nader enters the game for S. Ojeleye
3:17.0,Shooting foul by A. Horford (drawn by M. Dellavedova),,68-72,,
3:17.0,M. Dellavedova makes free throw 1 of 2,1,69-72,,
3:17.0,M. Dellavedova makes free throw 2 of 2,1,70-72,,
2:55.0,,,70-72,,M. Smart misses 2-pt shot from 13 ft
2:53.0,Defensive rebound by M. Teletovic,,70-72,,
2:47.0,M. Dellavedova misses 3-pt shot from 25 ft,,70-72,,
2:45.0,,,70-72,,Defensive rebound by J. Tatum
2:45.0,,,70-72,,Boston full timeout
2:45.0,,,70-72,,A. Baynes enters the game for J. Tatum
2:45.0,,,70-72,,J. Brown enters the game for M. Smart
2:45.0,,,70-72,,K. Irving enters the game for A. Horford
2:33.0,,,70-74,2,A. Nader makes 2-pt shot from 1 ft (assist by T. Rozier)
2:22.0,Shooting foul by A. Baynes (drawn by G. Monroe),,70-74,,
2:22.0,G. Monroe misses free throw 1 of 2,,70-74,,
2:22.0,Offensive rebound by Team,,70-74,,
2:22.0,G. Monroe misses free throw 2 of 2,,70-74,,
2:20.0,,,70-74,,Defensive rebound by A. Baynes
1:57.0,,,70-74,,K. Irving misses 2-pt shot from 8 ft
1:57.0,G. Antetokounmpo enters the game for M. Teletovic,,70-74,,
1:56.0,,,70-74,,Defensive rebound by Team
1:56.0,,,70-74,,Turnover by Team (shot clock)
1:49.0,M. Dellavedova misses 2-pt shot from 5 ft,,70-74,,
1:48.0,Offensive rebound by G. Monroe,,70-74,,
1:48.0,Shooting foul by A. Baynes (drawn by G. Monroe),,70-74,,
1:48.0,G. Monroe makes free throw 1 of 2,1,71-74,,
1:48.0,G. Monroe makes free throw 2 of 2,1,72-74,,
1:26.0,,,72-77,3,J. Brown makes 3-pt shot from 28 ft (assist by A. Nader)
1:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,74-77,,
0:46.0,,,74-79,2,J. Brown makes 2-pt shot from 2 ft (assist by K. Irving)
0:46.0,,,74-79,,Shooting foul by T. Snell (drawn by J. Brown)
0:46.0,,,74-79,,S. Ojeleye enters the game for A. Nader
0:46.0,M. Brogdon enters the game for K. Middleton,,74-79,,
0:46.0,,,74-80,1,J. Brown makes free throw 1 of 1
0:34.0,M. Brogdon makes 2-pt shot from 1 ft,2,76-80,,
0:26.0,,,76-80,,K. Irving misses 2-pt shot from 15 ft
0:23.0,Defensive rebound by G. Monroe,,76-80,,
0:02.0,T. Snell misses 3-pt shot from 22 ft,,76-80,,
0:02.0,,,76-80,,Defensive rebound by T. Rozier
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,76-80,,T. Rozier misses 3-pt shot from 27 ft
11:33.0,Defensive rebound by K. Middleton,,76-80,,
11:21.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,78-80,,
11:11.0,,,78-80,,K. Irving misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by Team,,78-80,,
11:00.0,Turnover by M. Brogdon (bad pass; steal by K. Irving),,78-80,,
10:54.0,,,78-82,2,T. Rozier makes 2-pt shot from 2 ft
10:28.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,80-82,,
10:09.0,,,80-82,,K. Irving misses 2-pt shot from 18 ft
10:08.0,,,80-82,,Offensive rebound by A. Baynes
10:08.0,Personal foul by G. Antetokounmpo (drawn by A. Baynes),,80-82,,
10:08.0,J. Henson enters the game for G. Monroe,,80-82,,
9:53.0,,,80-82,,K. Irving misses 2-pt shot from 4 ft (block by J. Henson)
9:53.0,,,80-82,,Offensive rebound by Team
9:47.0,,,80-84,2,K. Irving makes 2-pt shot from 1 ft
9:23.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,80-84,,
9:20.0,,,80-84,,Defensive rebound by T. Rozier
9:13.0,,,80-86,2,A. Baynes makes 2-pt shot from 20 ft (assist by T. Rozier)
8:58.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,82-86,,
8:41.0,Personal foul by G. Antetokounmpo (drawn by A. Baynes),,82-86,,
8:41.0,,,82-86,,M. Smart enters the game for K. Irving
8:31.0,,,82-86,,J. Brown misses 2-pt shot from 4 ft
8:29.0,Defensive rebound by J. Henson,,82-86,,
8:20.0,K. Middleton misses 2-pt shot from 13 ft,,82-86,,
8:16.0,,,82-86,,Defensive rebound by M. Smart
8:11.0,,,82-86,,T. Rozier misses 2-pt shot from 15 ft
8:08.0,Defensive rebound by J. Henson,,82-86,,
7:56.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,84-86,,
7:33.0,,,84-86,,Shooting foul by J. Henson (drawn by M. Smart)
7:33.0,,,84-87,1,M. Smart makes free throw 1 of 2
7:33.0,,,84-87,,A. Horford enters the game for J. Brown
7:33.0,,,84-87,,J. Tatum enters the game for A. Baynes
7:33.0,,,84-87,,M. Smart misses free throw 2 of 2
7:30.0,Defensive rebound by J. Henson,,84-87,,
7:24.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,86-87,,
7:24.0,,,86-87,,Boston full timeout
7:12.0,,,86-89,2,A. Horford makes 2-pt shot from 8 ft (assist by M. Smart)
6:48.0,M. Dellavedova misses 2-pt shot from 6 ft,,86-89,,
6:48.0,,,86-89,,Defensive rebound by A. Horford
6:42.0,Personal foul by M. Brogdon (drawn by M. Smart),,86-89,,
6:31.0,,,86-89,,Turnover by M. Smart (bad pass; steal by K. Middleton)
6:27.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,88-89,,
6:27.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,88-89,,
6:27.0,,,88-89,,K. Irving enters the game for T. Rozier
6:27.0,,,88-89,,J. Brown enters the game for S. Ojeleye
6:27.0,G. Antetokounmpo makes free throw 1 of 1,1,89-89,,
6:17.0,,,89-89,,A. Horford misses 3-pt shot from 27 ft
6:14.0,Defensive rebound by K. Middleton,,89-89,,
6:11.0,Shooting foul by M. Smart (drawn by M. Brogdon),,89-89,,
6:11.0,M. Brogdon makes free throw 1 of 2,1,90-89,,
6:11.0,M. Brogdon makes free throw 2 of 2,1,91-89,,
5:53.0,,,91-89,,Turnover by K. Irving (bad pass; steal by G. Antetokounmpo)
5:40.0,K. Middleton misses 2-pt shot from 12 ft,,91-89,,
5:37.0,,,91-89,,Defensive rebound by M. Smart
5:31.0,,,91-89,,K. Irving misses 2-pt shot from 5 ft (block by J. Henson)
5:29.0,Defensive rebound by K. Middleton,,91-89,,
5:29.0,,,91-89,,Personal foul by K. Irving (drawn by K. Middleton)
5:06.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,91-89,,
5:02.0,,,91-89,,Defensive rebound by J. Brown
4:48.0,,,91-89,,Shooting foul by K. Middleton (drawn by J. Brown)
