time,Cleveland,pts.away,score,pts.home,Boston
8:49.0,,,24-36,2,M. Smart makes 2-pt shot from 7 ft
8:34.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,27-36,,
8:19.0,,,27-39,3,D. Theis makes 3-pt shot from 23 ft (assist by T. Rozier)
7:59.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,30-39,,
7:32.0,,,30-42,3,D. Theis makes 3-pt shot from 23 ft (assist by A. Horford)
7:04.0,L. James makes 2-pt shot from 3 ft,2,32-42,,
7:01.0,,,32-42,,Boston full timeout
7:01.0,,,32-42,,K. Irving enters the game for T. Rozier
7:01.0,,,32-42,,M. Morris enters the game for M. Smart
7:01.0,J. Green enters the game for T. Thompson,,32-42,,
6:40.0,,,32-42,,Turnover by K. Irving (bad pass; steal by D. Wade)
6:34.0,K. Korver makes 3-pt shot from 22 ft (assist by L. James),3,35-42,,
6:18.0,,,35-42,,J. Brown enters the game for D. Theis
6:11.0,,,35-42,,K. Irving misses 2-pt shot from 8 ft
6:09.0,Defensive rebound by L. James,,35-42,,
6:03.0,L. James makes 2-pt shot from 4 ft,2,37-42,,
5:39.0,,,37-42,,A. Horford misses 2-pt shot from 6 ft (block by K. Love)
5:39.0,Defensive rebound by Team,,37-42,,
5:20.0,K. Love misses 3-pt shot from 27 ft,,37-42,,
5:18.0,Offensive rebound by D. Wade,,37-42,,
5:17.0,K. Korver misses 3-pt shot from 25 ft,,37-42,,
5:16.0,,,37-42,,Defensive rebound by Team
5:16.0,,,37-42,,M. Smart enters the game for J. Tatum
4:56.0,,,37-42,,M. Morris misses 2-pt shot from 8 ft (block by L. James)
4:55.0,,,37-42,,Offensive rebound by M. Morris
4:55.0,Personal foul by L. James (drawn by M. Morris),,37-42,,
4:51.0,,,37-45,3,M. Smart makes 3-pt shot from 25 ft (assist by J. Brown)
4:27.0,D. Wade misses 2-pt shot from 15 ft,,37-45,,
4:24.0,,,37-45,,Defensive rebound by J. Brown
4:11.0,,,37-45,,Turnover by M. Morris (bad pass)
4:11.0,J. Smith enters the game for D. Wade,,37-45,,
4:00.0,J. Green makes 2-pt shot from 4 ft,2,39-45,,
4:00.0,Shooting foul by J. Brown (drawn by J. Green),,39-45,,
4:00.0,J. Green makes free throw 1 of 1,1,40-45,,
3:38.0,,,40-45,,M. Smart misses 2-pt shot from 22 ft
3:35.0,,,40-45,,Offensive rebound by A. Horford
3:35.0,,,40-45,,M. Morris misses 2-pt shot from 1 ft (block by J. Green)
3:34.0,,,40-45,,Offensive rebound by Team
3:31.0,,,40-47,2,K. Irving makes 2-pt shot from 17 ft (assist by M. Smart)
3:10.0,,,40-47,,Personal foul by K. Irving (drawn by L. James)
3:00.0,Turnover by J. Green (lost ball; steal by K. Irving),,40-47,,
2:50.0,,,40-47,,K. Irving misses 3-pt shot from 27 ft
2:46.0,Defensive rebound by K. Korver,,40-47,,
2:41.0,Turnover by K. Love (bad pass; steal by A. Horford),,40-47,,
2:31.0,,,40-47,,K. Irving misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by L. James,,40-47,,
2:19.0,J. Smith misses 3-pt shot from 26 ft,,40-47,,
2:17.0,,,40-47,,Defensive rebound by K. Irving
2:07.0,,,40-49,2,A. Horford makes 2-pt shot from 4 ft (assist by K. Irving)
1:42.0,L. James makes 2-pt shot from 21 ft,2,42-49,,
1:24.0,,,42-51,2,A. Horford makes 2-pt shot at rim (assist by K. Irving)
1:08.0,Shooting foul by M. Morris (drawn by L. James),,42-51,,
1:08.0,Cleveland full timeout,,42-51,,
1:08.0,,,42-51,,J. Tatum enters the game for M. Morris
1:08.0,T. Thompson enters the game for K. Love,,42-51,,
1:08.0,L. James makes free throw 1 of 2,1,43-51,,
1:08.0,L. James makes free throw 2 of 2,1,44-51,,
0:53.0,,,44-53,2,J. Tatum makes 2-pt shot at rim (assist by K. Irving)
0:41.0,Turnover by L. James (bad pass),,44-53,,
0:34.0,,,44-53,,J. Tatum misses 3-pt shot from 25 ft
