time,Detroit,pts.away,score,pts.home,Orlando
4:02.0,,,19-22,,A. Afflalo enters the game for B. Biyombo
4:02.0,L. Galloway enters the game for I. Smith,,19-22,,
3:46.0,T. Harris misses 2-pt shot from 9 ft,,19-22,,
3:41.0,Offensive rebound by A. Drummond,,19-22,,
3:40.0,A. Drummond makes 2-pt shot from 6 ft,2,21-22,,
3:32.0,,,21-22,,Shooting foul by L. Galloway (drawn by E. Payton)
3:32.0,,,21-23,1,E. Payton makes free throw 1 of 2
3:32.0,Violation by A. Drummond (def goaltending),,21-23,,
3:32.0,,,21-24,1,E. Payton makes free throw 2 of 2
3:22.0,,,21-24,,Personal foul by M. Speights (drawn by A. Drummond)
3:10.0,T. Harris makes 2-pt shot from 12 ft (assist by R. Bullock),2,23-24,,
2:45.0,,,23-24,,M. Speights misses 3-pt shot from 27 ft
2:42.0,Defensive rebound by S. Johnson,,23-24,,
2:35.0,A. Drummond makes 2-pt shot from 9 ft (assist by L. Galloway),2,25-24,,
2:25.0,,,25-24,,M. Speights misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by S. Johnson,,25-24,,
2:14.0,L. Galloway misses 2-pt shot from 16 ft,,25-24,,
2:14.0,,,25-24,,Defensive rebound by E. Payton
2:07.0,,,25-26,2,E. Payton makes 2-pt shot from 1 ft
1:45.0,Turnover by S. Johnson (bad pass; steal by E. Payton),,25-26,,
1:39.0,,,25-26,,A. Afflalo misses 3-pt shot from 25 ft
1:36.0,,,25-26,,Offensive rebound by E. Payton
1:30.0,,,25-28,2,M. Hezonja makes 2-pt shot from 1 ft
1:10.0,L. Galloway makes 3-pt shot from 25 ft (assist by T. Harris),3,28-28,,
0:56.0,,,28-28,,M. Speights misses 2-pt shot from 15 ft
0:53.0,Defensive rebound by A. Drummond,,28-28,,
0:43.0,Turnover by A. Drummond (bad pass; steal by J. Simmons),,28-28,,
0:37.0,,,28-28,,M. Hezonja misses 3-pt shot from 23 ft
0:34.0,,,28-28,,Offensive rebound by M. Speights
0:30.0,,,28-31,3,A. Afflalo makes 3-pt shot from 25 ft (assist by E. Payton)
0:19.0,L. Galloway misses 3-pt shot from 25 ft,,28-31,,
0:15.0,,,28-31,,Defensive rebound by E. Payton
0:00.0,,,28-33,2,J. Simmons makes 2-pt shot from 17 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,28-33,,A. Afflalo misses 2-pt shot from 19 ft
11:32.0,,,28-33,,Offensive rebound by M. Speights
11:31.0,,,28-33,,M. Speights misses 2-pt shot from 2 ft
11:31.0,Defensive rebound by E. Moreland,,28-33,,
11:15.0,E. Moreland misses 2-pt shot from 9 ft,,28-33,,
11:13.0,,,28-33,,Defensive rebound by W. Iwundu
11:06.0,,,28-33,,M. Speights misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by S. Johnson,,28-33,,
10:57.0,L. Galloway misses 2-pt shot from 20 ft,,28-33,,
10:53.0,,,28-33,,Defensive rebound by A. Afflalo
10:41.0,,,28-33,,D. Augustin misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by L. Kennard,,28-33,,
10:34.0,L. Kennard makes 3-pt shot from 25 ft (assist by A. Tolliver),3,31-33,,
10:21.0,,,31-33,,Shooting foul by E. Moreland (drawn by M. Speights)
10:21.0,,,31-34,1,M. Speights makes free throw 1 of 2
10:21.0,,,31-35,1,M. Speights makes free throw 2 of 2
9:57.0,L. Kennard misses 3-pt shot from 25 ft,,31-35,,
9:54.0,,,31-35,,Defensive rebound by M. Hezonja
9:47.0,,,31-37,2,M. Hezonja makes 2-pt shot from 7 ft
9:39.0,Detroit full timeout,,31-37,,
9:25.0,S. Johnson misses 3-pt shot from 25 ft,,31-37,,
9:22.0,,,31-37,,Defensive rebound by M. Speights
9:02.0,,,31-37,,D. Augustin misses 3-pt shot from 22 ft
9:02.0,Defensive rebound by A. Tolliver,,31-37,,
8:43.0,Shooting foul by M. Speights (drawn by A. Tolliver),,31-37,,
8:43.0,A. Tolliver makes free throw 1 of 2,1,32-37,,
8:43.0,A. Tolliver misses free throw 2 of 2,,32-37,,
8:40.0,,,32-37,,Defensive rebound by M. Hezonja
8:29.0,,,32-39,2,M. Speights makes 2-pt shot from 3 ft (assist by D. Augustin)
8:09.0,L. Kennard makes 3-pt shot from 25 ft (assist by A. Tolliver),3,35-39,,
7:57.0,,,35-39,,Shooting foul by S. Johnson (drawn by A. Afflalo)
7:57.0,,,35-40,1,A. Afflalo makes free throw 1 of 2
7:57.0,I. Smith enters the game for L. Galloway,,35-40,,
7:57.0,,,35-41,1,A. Afflalo makes free throw 2 of 2
7:47.0,,,35-41,,Personal foul by W. Iwundu (drawn by L. Kennard)
7:47.0,,,35-41,,E. Fournier enters the game for A. Afflalo
7:41.0,I. Smith misses 2-pt shot from 18 ft,,35-41,,
7:38.0,,,35-41,,Defensive rebound by E. Fournier
7:34.0,,,35-41,,Turnover by D. Augustin (bad pass)
7:21.0,Turnover by L. Kennard (lost ball; steal by M. Hezonja),,35-41,,
7:16.0,,,35-41,,Turnover by M. Hezonja (bad pass; steal by I. Smith)
7:13.0,Shooting foul by M. Speights (drawn by S. Johnson),,35-41,,
7:13.0,S. Johnson misses free throw 2 of 2,,35-41,,
7:13.0,Offensive rebound by Team,,35-41,,
7:13.0,S. Johnson makes free throw 1 of 2,1,36-41,,
7:13.0,,,36-41,,B. Biyombo enters the game for M. Speights
7:13.0,,,36-41,,A. Gordon enters the game for M. Hezonja
7:11.0,R. Bullock enters the game for S. Johnson,,36-41,,
6:58.0,Turnover by I. Smith (lost ball; steal by D. Augustin),,36-41,,
6:54.0,,,36-41,,Offensive charge foul by A. Gordon (drawn by E. Moreland)
6:54.0,,,36-41,,Turnover by A. Gordon (offensive foul)
6:42.0,Turnover by R. Bullock (step out of bounds),,36-41,,
6:28.0,,,36-41,,E. Fournier misses 2-pt shot from 2 ft (block by E. Moreland)
6:24.0,Defensive rebound by R. Bullock,,36-41,,
6:22.0,R. Bullock misses 3-pt shot from 24 ft,,36-41,,
6:22.0,,,36-41,,Defensive rebound by B. Biyombo
6:09.0,,,36-43,2,D. Augustin makes 2-pt shot from 1 ft
5:45.0,I. Smith misses 2-pt shot from 19 ft,,36-43,,
5:45.0,,,36-43,,Defensive rebound by A. Gordon
5:38.0,,,36-43,,Turnover by A. Gordon (step out of bounds)
5:38.0,A. Drummond enters the game for L. Kennard,,36-43,,
5:38.0,T. Harris enters the game for E. Moreland,,36-43,,
5:24.0,T. Harris misses 2-pt shot from 2 ft,,36-43,,
5:19.0,Offensive rebound by A. Drummond,,36-43,,
5:19.0,A. Drummond misses 2-pt shot from 5 ft,,36-43,,
5:17.0,,,36-43,,Defensive rebound by B. Biyombo
5:10.0,,,36-46,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
5:06.0,Detroit full timeout,,36-46,,
5:06.0,,,36-46,,J. Simmons enters the game for D. Augustin
5:06.0,,,36-46,,E. Payton enters the game for W. Iwundu
4:53.0,R. Bullock makes 2-pt shot from 16 ft (assist by A. Drummond),2,38-46,,
4:31.0,,,38-46,,E. Payton misses 2-pt shot from 6 ft (block by A. Drummond)
4:29.0,Defensive rebound by R. Bullock,,38-46,,
4:24.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Bullock),2,40-46,,
4:07.0,,,40-46,,E. Fournier misses 2-pt shot from 8 ft
3:59.0,,,40-46,,Offensive rebound by A. Gordon
3:59.0,,,40-46,,A. Gordon misses 2-pt shot at rim
3:58.0,Defensive rebound by I. Smith,,40-46,,
3:57.0,I. Smith makes 2-pt shot from 3 ft,2,42-46,,
3:41.0,,,42-46,,J. Simmons misses 2-pt shot from 8 ft
3:38.0,Defensive rebound by A. Drummond,,42-46,,
3:30.0,I. Smith makes 2-pt shot from 16 ft,2,44-46,,
3:30.0,,,44-46,,Orlando full timeout
3:10.0,,,44-46,,E. Fournier misses 2-pt shot from 9 ft
3:08.0,Defensive rebound by Team,,44-46,,
2:59.0,T. Harris misses 2-pt shot from 16 ft (block by A. Gordon),,44-46,,
2:57.0,,,44-46,,Defensive rebound by J. Simmons
2:52.0,,,44-46,,E. Fournier misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by A. Tolliver,,44-46,,
2:44.0,I. Smith makes 2-pt shot from 14 ft,2,46-46,,
2:33.0,Personal foul by I. Smith (drawn by E. Payton),,46-46,,
2:19.0,,,46-46,,Turnover by A. Gordon (bad pass)
2:05.0,I. Smith makes 2-pt shot from 2 ft,2,48-46,,
2:03.0,,,48-46,,Orlando full timeout
1:50.0,,,48-46,,Turnover by A. Gordon (bad pass; steal by A. Drummond)
1:46.0,A. Drummond makes 2-pt shot from 1 ft,2,50-46,,
1:33.0,,,50-46,,Turnover by J. Simmons (traveling)
1:25.0,T. Harris misses 3-pt shot from 25 ft,,50-46,,
1:21.0,,,50-46,,Defensive rebound by B. Biyombo
1:09.0,,,50-48,2,B. Biyombo makes 2-pt shot from 5 ft (assist by E. Fournier)
0:54.0,A. Drummond misses 2-pt shot from 2 ft,,50-48,,
0:50.0,Offensive rebound by A. Drummond,,50-48,,
0:50.0,A. Drummond misses 2-pt shot at rim,,50-48,,
0:48.0,,,50-48,,Defensive rebound by E. Fournier
0:46.0,,,50-48,,Turnover by E. Fournier (out of bounds lost ball)
0:31.0,I. Smith misses 2-pt shot from 17 ft,,50-48,,
0:27.0,,,50-48,,Defensive rebound by B. Biyombo
0:06.0,,,50-50,2,E. Fournier makes 2-pt shot from 20 ft
0:00.0,I. Smith misses 2-pt shot from 9 ft,,50-50,,
0:00.0,Offensive rebound by Team,,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-52,2,A. Gordon makes 2-pt shot from 15 ft
11:13.0,Turnover by L. Kennard (bad pass; steal by J. Simmons),,50-52,,
11:08.0,,,50-52,,J. Simmons misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by I. Smith,,50-52,,
10:59.0,R. Bullock makes 3-pt shot from 23 ft (assist by I. Smith),3,53-52,,
10:42.0,,,53-52,,B. Biyombo misses 2-pt shot from 9 ft
10:37.0,Defensive rebound by I. Smith,,53-52,,
10:33.0,I. Smith misses 2-pt shot from 2 ft,,53-52,,
10:33.0,,,53-52,,Defensive rebound by Team
10:33.0,Loose ball foul by A. Drummond (drawn by B. Biyombo),,53-52,,
10:16.0,,,53-52,,E. Payton misses 2-pt shot from 8 ft (block by I. Smith)
10:16.0,,,53-52,,Offensive rebound by Team
10:08.0,,,53-54,2,A. Gordon makes 2-pt shot from 3 ft
9:54.0,L. Kennard misses 2-pt shot from 9 ft,,53-54,,
9:51.0,,,53-54,,Defensive rebound by B. Biyombo
9:42.0,,,53-57,3,E. Fournier makes 3-pt shot from 24 ft (assist by J. Simmons)
9:24.0,T. Harris makes 2-pt shot from 13 ft,2,55-57,,
9:11.0,,,55-57,,Turnover by E. Fournier (bad pass; steal by T. Harris)
9:02.0,I. Smith misses 2-pt shot from 6 ft,,55-57,,
8:59.0,,,55-57,,Defensive rebound by B. Biyombo
8:48.0,,,55-59,2,B. Biyombo makes 2-pt shot from 13 ft (assist by A. Gordon)
8:21.0,Turnover by Team (shot clock),,55-59,,
8:08.0,,,55-59,,J. Simmons misses 2-pt shot from 11 ft
8:04.0,Defensive rebound by A. Drummond,,55-59,,
7:56.0,T. Harris misses 3-pt shot from 24 ft,,55-59,,
7:53.0,,,55-59,,Defensive rebound by A. Gordon
7:44.0,,,55-59,,A. Gordon misses 2-pt shot from 10 ft
7:41.0,,,55-59,,Offensive rebound by B. Biyombo
7:37.0,,,55-62,3,E. Payton makes 3-pt shot from 26 ft (assist by E. Fournier)
7:36.0,Detroit full timeout,,55-62,,
7:36.0,S. Johnson enters the game for L. Kennard,,55-62,,
7:17.0,R. Bullock makes 2-pt shot from 2 ft (assist by A. Drummond),2,57-62,,
7:04.0,,,57-62,,Offensive foul by E. Fournier (drawn by R. Bullock)
7:04.0,,,57-62,,Turnover by E. Fournier (offensive foul)
6:54.0,I. Smith makes 2-pt shot from 19 ft (assist by A. Drummond),2,59-62,,
6:42.0,,,59-62,,E. Fournier misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by A. Drummond,,59-62,,
6:31.0,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson),2,61-62,,
6:30.0,,,61-62,,Orlando full timeout
6:18.0,Personal foul by T. Harris (drawn by A. Gordon),,61-62,,
6:11.0,,,61-62,,E. Fournier misses 2-pt shot from 13 ft
6:07.0,Defensive rebound by A. Drummond,,61-62,,
6:04.0,I. Smith makes 2-pt shot from 2 ft,2,63-62,,
6:04.0,,,63-62,,Violation by B. Biyombo (def goaltending)
5:42.0,,,63-62,,Turnover by A. Gordon (bad pass)
5:26.0,T. Harris misses 2-pt shot from 12 ft,,63-62,,
5:23.0,,,63-62,,Defensive rebound by E. Payton
5:20.0,,,63-62,,Turnover by E. Payton (bad pass; steal by R. Bullock)
5:13.0,S. Johnson misses 2-pt shot from 8 ft,,63-62,,
5:12.0,Offensive rebound by A. Drummond,,63-62,,
5:12.0,A. Drummond makes 2-pt shot at rim,2,65-62,,
4:51.0,,,65-62,,J. Simmons misses 2-pt shot from 15 ft
4:51.0,Defensive rebound by I. Smith,,65-62,,
4:44.0,I. Smith makes 2-pt shot from 13 ft,2,67-62,,
4:23.0,,,67-62,,E. Payton misses 2-pt shot from 13 ft
4:23.0,Defensive rebound by R. Bullock,,67-62,,
4:14.0,S. Johnson misses 3-pt shot from 25 ft,,67-62,,
4:09.0,,,67-62,,Defensive rebound by A. Gordon
3:57.0,,,67-64,2,E. Payton makes 2-pt shot from 3 ft (assist by E. Fournier)
3:41.0,Turnover by A. Drummond (bad pass; steal by E. Fournier),,67-64,,
3:37.0,,,67-66,2,J. Simmons makes 2-pt shot from 2 ft
3:14.0,I. Smith makes 2-pt shot from 2 ft,2,69-66,,
3:08.0,,,69-66,,Shooting foul by A. Drummond (drawn by E. Payton)
3:08.0,,,69-67,1,E. Payton makes free throw 1 of 2
3:08.0,,,69-67,,M. Hezonja enters the game for A. Gordon
3:08.0,,,69-67,,M. Speights enters the game for B. Biyombo
3:08.0,E. Moreland enters the game for A. Drummond,,69-67,,
3:08.0,L. Galloway enters the game for I. Smith,,69-67,,
3:08.0,,,69-68,1,E. Payton makes free throw 2 of 2
2:46.0,T. Harris makes 2-pt shot from 11 ft,2,71-68,,
2:31.0,,,71-70,2,M. Speights makes 2-pt shot from 8 ft
2:11.0,R. Bullock misses 3-pt shot from 26 ft,,71-70,,
2:05.0,,,71-70,,Defensive rebound by E. Payton
2:02.0,,,71-70,,Shooting foul by S. Johnson (drawn by M. Speights)
2:02.0,,,71-71,1,M. Speights makes free throw 1 of 2
2:02.0,,,71-71,,A. Afflalo enters the game for E. Payton
2:02.0,,,71-71,,D. Augustin enters the game for E. Fournier
2:02.0,A. Tolliver enters the game for T. Harris,,71-71,,
2:02.0,,,71-72,1,M. Speights makes free throw 2 of 2
1:38.0,L. Galloway misses 2-pt shot from 2 ft,,71-72,,
1:34.0,Offensive rebound by E. Moreland,,71-72,,
1:34.0,E. Moreland misses 2-pt shot at rim,,71-72,,
1:33.0,,,71-72,,Defensive rebound by M. Speights
1:25.0,,,71-75,3,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons)
1:03.0,L. Galloway misses 3-pt shot from 23 ft,,71-75,,
1:03.0,Offensive rebound by Team,,71-75,,
1:03.0,,,71-75,,Loose ball foul by A. Afflalo (drawn by E. Moreland)
0:56.0,L. Galloway misses 2-pt shot from 19 ft,,71-75,,
0:53.0,,,71-75,,Defensive rebound by A. Afflalo
0:42.0,,,71-77,2,M. Speights makes 2-pt shot from 13 ft
0:23.0,S. Johnson misses 2-pt shot from 7 ft,,71-77,,
0:19.0,,,71-77,,Defensive rebound by M. Speights
0:03.0,,,71-77,,Turnover by M. Hezonja (bad pass; steal by S. Johnson)
0:01.0,Shooting foul by J. Simmons (drawn by S. Johnson),,71-77,,
0:01.0,S. Johnson makes free throw 1 of 2,1,72-77,,
0:01.0,S. Johnson makes free throw 2 of 2,1,73-77,,
0:00.0,,,73-77,,M. Speights misses 3-pt shot from 26 ft
0:00.0,,,73-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by L. Galloway (bad pass),,73-77,,
11:25.0,,,73-80,3,M. Speights makes 3-pt shot from 27 ft (assist by E. Payton)
11:06.0,A. Drummond misses 2-pt shot from 3 ft,,73-80,,
11:03.0,,,73-80,,Defensive rebound by M. Hezonja
10:58.0,,,73-80,,M. Speights misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by L. Kennard,,73-80,,
10:46.0,S. Johnson misses 2-pt shot from 18 ft,,73-80,,
10:46.0,Offensive rebound by Team,,73-80,,
10:46.0,,,73-80,,Personal foul by M. Speights (drawn by A. Drummond)
10:36.0,S. Johnson misses 3-pt shot from 23 ft,,73-80,,
10:36.0,Offensive rebound by A. Drummond,,73-80,,
10:33.0,A. Drummond misses 2-pt shot at rim,,73-80,,
10:33.0,,,73-80,,Defensive rebound by E. Payton
10:33.0,Personal foul by A. Drummond (drawn by E. Payton),,73-80,,
10:13.0,,,73-83,3,D. Augustin makes 3-pt shot from 25 ft (assist by M. Speights)
9:54.0,L. Kennard misses 2-pt shot from 8 ft,,73-83,,
9:51.0,,,73-83,,Defensive rebound by E. Payton
9:47.0,,,73-86,3,A. Afflalo makes 3-pt shot from 23 ft (assist by E. Payton)
9:45.0,Detroit full timeout,,73-86,,
9:45.0,I. Smith enters the game for L. Galloway,,73-86,,
9:45.0,T. Harris enters the game for L. Kennard,,73-86,,
9:24.0,Jump ball: M. Speights vs. A. Drummond (A. Tolliver gains possession),,,,Jump ball: M. Speights vs. A. Drummond (A. Tolliver gains possession)
9:22.0,S. Johnson makes 2-pt shot from 13 ft (assist by I. Smith),2,75-86,,
8:59.0,,,75-86,,M. Speights misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by S. Johnson,,75-86,,
8:49.0,A. Drummond misses 2-pt shot from 7 ft (block by M. Speights),,75-86,,
8:49.0,Offensive rebound by A. Drummond,,75-86,,
8:49.0,Turnover by A. Drummond (bad pass),,75-86,,
8:49.0,,,75-86,,B. Biyombo enters the game for M. Speights
8:30.0,,,75-86,,M. Hezonja misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by T. Harris,,75-86,,
8:24.0,,,75-86,,Personal foul by M. Hezonja (drawn by I. Smith)
8:10.0,T. Harris makes 3-pt shot from 22 ft (assist by I. Smith),3,78-86,,
8:09.0,,,78-86,,Orlando full timeout
8:09.0,,,78-86,,E. Fournier enters the game for A. Afflalo
7:56.0,,,78-88,2,E. Payton makes 2-pt shot from 2 ft
7:39.0,Shooting foul by M. Hezonja (drawn by T. Harris),,78-88,,
7:39.0,T. Harris makes free throw 1 of 2,1,79-88,,
7:39.0,,,79-88,,A. Gordon enters the game for M. Hezonja
7:39.0,,,79-88,,J. Simmons enters the game for D. Augustin
7:39.0,T. Harris makes free throw 2 of 2,1,80-88,,
7:30.0,,,80-91,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
7:10.0,A. Tolliver misses 2-pt shot from 12 ft,,80-91,,
7:06.0,,,80-91,,Defensive rebound by B. Biyombo
6:49.0,,,80-91,,Turnover by J. Simmons (bad pass)
6:49.0,R. Bullock enters the game for S. Johnson,,80-91,,
6:28.0,A. Drummond misses 2-pt shot from 5 ft,,80-91,,
6:26.0,,,80-91,,Defensive rebound by A. Gordon
6:21.0,,,80-91,,Offensive charge foul by B. Biyombo (drawn by R. Bullock)
6:21.0,,,80-91,,Turnover by B. Biyombo (offensive foul)
6:04.0,T. Harris makes 2-pt shot from 10 ft,2,82-91,,
5:38.0,,,82-93,2,E. Payton makes 2-pt shot from 2 ft
5:17.0,I. Smith misses 2-pt shot from 18 ft,,82-93,,
5:14.0,,,82-93,,Defensive rebound by A. Gordon
5:05.0,,,82-93,,J. Simmons misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by I. Smith,,82-93,,
4:54.0,A. Drummond misses 2-pt shot from 2 ft,,82-93,,
4:52.0,,,82-93,,Defensive rebound by B. Biyombo
4:49.0,,,82-95,2,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier)
4:49.0,Detroit full timeout,,82-95,,
4:34.0,Shooting foul by A. Gordon (drawn by T. Harris),,82-95,,
4:34.0,T. Harris makes free throw 1 of 2,1,83-95,,
4:34.0,T. Harris misses free throw 2 of 2,,83-95,,
4:33.0,,,83-95,,Defensive rebound by Team
4:33.0,Loose ball foul by A. Tolliver (drawn by A. Gordon),,83-95,,
4:22.0,,,83-97,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
4:02.0,Turnover by T. Harris (out of bounds lost ball),,83-97,,
3:47.0,,,83-97,,E. Fournier misses 2-pt shot from 9 ft
3:45.0,Defensive rebound by A. Drummond,,83-97,,
3:34.0,I. Smith makes 2-pt shot from 4 ft,2,85-97,,
3:18.0,,,85-97,,B. Biyombo misses 2-pt shot from 4 ft (block by A. Drummond)
3:14.0,Defensive rebound by I. Smith,,85-97,,
3:09.0,A. Tolliver misses 3-pt shot from 25 ft,,85-97,,
3:04.0,,,85-97,,Defensive rebound by B. Biyombo
2:59.0,,,85-97,,J. Simmons misses 2-pt shot from 1 ft
2:59.0,,,85-97,,Offensive rebound by J. Simmons
2:55.0,,,85-100,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Simmons)
2:40.0,Turnover by A. Tolliver (lost ball; steal by E. Fournier),,85-100,,
2:30.0,,,85-100,,J. Simmons misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by A. Drummond,,85-100,,
2:19.0,I. Smith misses 2-pt shot from 2 ft (block by B. Biyombo),,85-100,,
2:15.0,,,85-100,,Defensive rebound by J. Simmons
2:12.0,,,85-100,,Shooting foul by R. Bullock (drawn by E. Payton)
2:12.0,,,85-101,1,E. Payton makes free throw 1 of 2
2:12.0,L. Galloway enters the game for I. Smith,,85-101,,
2:12.0,D. Buycks enters the game for A. Tolliver,,85-101,,
2:12.0,,,85-102,1,E. Payton makes free throw 2 of 2
1:59.0,L. Galloway misses 3-pt shot from 27 ft,,85-102,,
1:55.0,,,85-102,,Defensive rebound by J. Simmons
1:37.0,,,85-102,,E. Payton misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by A. Drummond,,85-102,,
1:24.0,D. Buycks misses 2-pt shot from 3 ft,,85-102,,
