time,Phoenix,pts.away,score,pts.home,Utah
6:27.0,T. Warren misses 2-pt shot from 19 ft,,32-32,,
6:25.0,,,32-32,,Defensive rebound by R. Gobert
6:17.0,,,32-32,,R. Neto misses 2-pt shot from 3 ft (block by E. Payton)
6:17.0,,,32-32,,Offensive rebound by Team
6:07.0,,,32-34,2,D. Mitchell makes 2-pt shot from 15 ft
5:46.0,D. Booker misses 2-pt shot from 16 ft,,32-34,,
5:44.0,,,32-34,,Defensive rebound by J. Ingles
5:36.0,,,32-34,,Shooting foul by T. Warren (drawn by J. Ingles)
5:36.0,,,32-35,1,J. Ingles makes free throw 1 of 2
5:36.0,,,32-35,,R. O'Neale enters the game for R. Neto
5:36.0,J. Jackson enters the game for T. Warren,,32-35,,
5:36.0,,,32-36,1,J. Ingles makes free throw 2 of 2
5:23.0,E. Payton misses 2-pt shot from 10 ft,,32-36,,
5:22.0,Offensive rebound by Team,,32-36,,
5:22.0,,,32-36,,Loose ball foul by R. Gobert (drawn by A. Len)
5:22.0,M. Chriss enters the game for J. Dudley,,32-36,,
5:13.0,J. Jackson makes 2-pt shot from 8 ft,2,34-36,,
4:56.0,,,34-36,,J. Crowder misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by D. Booker,,34-36,,
4:44.0,J. Jackson makes 2-pt shot from 2 ft,2,36-36,,
4:42.0,,,36-36,,Utah full timeout
4:31.0,,,36-36,,J. Ingles misses 2-pt shot from 13 ft (block by A. Len)
4:27.0,,,36-36,,Offensive rebound by J. Ingles
4:23.0,,,36-36,,J. Ingles misses 2-pt shot from 5 ft
4:21.0,Defensive rebound by A. Len,,36-36,,
4:19.0,Turnover by E. Payton (bad pass; steal by J. Ingles),,36-36,,
4:14.0,,,36-39,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell)
3:50.0,E. Payton misses 2-pt shot from 18 ft,,36-39,,
3:49.0,,,36-39,,Defensive rebound by J. Crowder
3:44.0,,,36-42,3,R. O'Neale makes 3-pt shot from 24 ft (assist by J. Crowder)
3:42.0,Phoenix full timeout,,36-42,,
3:42.0,,,36-42,,D. Favors enters the game for J. Crowder
3:32.0,D. Booker misses 2-pt shot from 22 ft,,36-42,,
3:30.0,,,36-42,,Defensive rebound by D. Favors
3:13.0,,,36-42,,Turnover by R. O'Neale (traveling)
3:13.0,D. Bender enters the game for A. Len,,36-42,,
2:54.0,M. Chriss makes 3-pt shot from 25 ft (assist by J. Jackson),3,39-42,,
2:34.0,,,39-42,,D. Favors misses 3-pt shot from 22 ft
2:32.0,Defensive rebound by D. Booker,,39-42,,
2:25.0,D. Booker misses 3-pt shot from 24 ft,,39-42,,
2:21.0,,,39-42,,Defensive rebound by D. Favors
2:17.0,,,39-44,2,R. O'Neale makes 2-pt shot from 1 ft (assist by D. Mitchell)
2:01.0,E. Payton misses 2-pt shot from 7 ft,,39-44,,
2:01.0,,,39-44,,Defensive rebound by R. Gobert
1:46.0,,,39-44,,Shooting foul by M. Chriss (drawn by R. Gobert)
1:46.0,,,39-45,1,R. Gobert makes free throw 1 of 2
1:46.0,,,39-46,1,R. Gobert makes free throw 2 of 2
1:37.0,D. Bender misses 3-pt shot from 25 ft,,39-46,,
1:35.0,,,39-46,,Defensive rebound by R. Gobert
1:22.0,,,39-46,,Turnover by D. Mitchell (bad pass; steal by E. Payton)
1:16.0,,,39-46,,Personal foul by J. Ingles (drawn by D. Booker)
1:15.0,Turnover by E. Payton (step out of bounds),,39-46,,
1:01.0,,,39-48,2,R. O'Neale makes 2-pt shot from 1 ft (assist by D. Mitchell)
0:46.0,D. Booker misses 2-pt shot from 12 ft,,39-48,,
0:43.0,,,39-48,,Defensive rebound by D. Favors
0:36.0,,,39-48,,D. Mitchell misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by E. Payton,,39-48,,
0:21.0,E. Payton makes 2-pt shot from 3 ft,2,41-48,,
0:00.0,,,41-50,2,R. O'Neale makes 2-pt shot from 10 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Booker makes 3-pt shot from 23 ft (assist by E. Payton),3,44-50,,
11:19.0,,,44-50,,R. Gobert misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by D. Bender,,44-50,,
11:06.0,T. Warren misses 2-pt shot from 19 ft,,44-50,,
11:02.0,,,44-50,,Defensive rebound by R. O'Neale
10:53.0,,,44-50,,R. O'Neale misses 2-pt shot from 2 ft
10:49.0,,,44-50,,Offensive rebound by R. Gobert
10:48.0,,,44-52,2,R. Gobert makes 2-pt shot from 1 ft
10:35.0,D. Booker misses 2-pt shot from 14 ft (block by R. O'Neale),,44-52,,
10:33.0,,,44-52,,Defensive rebound by R. Gobert
10:24.0,,,44-52,,Turnover by D. Mitchell (traveling)
10:06.0,Turnover by E. Payton (bad pass),,44-52,,
9:54.0,Personal foul by D. Booker (drawn by R. O'Neale),,44-52,,
9:47.0,,,44-52,,J. Ingles misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by A. Len,,44-52,,
9:39.0,D. Booker makes 3-pt shot from 26 ft,3,47-52,,
9:21.0,,,47-54,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
9:10.0,D. Bender makes 3-pt shot from 24 ft (assist by E. Payton),3,50-54,,
8:40.0,,,50-54,,D. Mitchell misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by E. Payton,,50-54,,
8:33.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Payton),3,53-54,,
8:31.0,,,53-54,,Utah full timeout
8:20.0,Personal foul by T. Warren (drawn by J. Ingles),,53-54,,
8:20.0,J. Jackson enters the game for T. Warren,,53-54,,
8:13.0,,,53-54,,J. Ingles misses 3-pt shot from 23 ft
8:10.0,,,53-54,,Offensive rebound by D. Favors
7:59.0,,,53-54,,R. Gobert misses 2-pt shot from 7 ft
7:59.0,Defensive rebound by D. Booker,,53-54,,
7:48.0,A. Len makes 2-pt shot from 3 ft,2,55-54,,
7:32.0,,,55-54,,D. Mitchell misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by E. Payton,,55-54,,
7:24.0,D. Bender misses 3-pt shot from 24 ft,,55-54,,
7:22.0,,,55-54,,Defensive rebound by R. O'Neale
7:03.0,,,55-56,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Favors)
6:50.0,Offensive foul by D. Bender (drawn by R. O'Neale),,55-56,,
6:50.0,Turnover by D. Bender (offensive foul),,55-56,,
6:36.0,,,55-59,3,R. O'Neale makes 3-pt shot from 23 ft (assist by D. Mitchell)
6:18.0,A. Len misses 2-pt shot from 7 ft (block by J. Ingles),,55-59,,
6:18.0,Offensive rebound by Team,,55-59,,
6:15.0,D. Booker makes 3-pt shot from 22 ft (assist by E. Payton),2,58-59,,
6:03.0,Personal foul by D. Booker (drawn by R. O'Neale),,58-59,,
5:57.0,,,58-59,,J. Ingles misses 2-pt shot from 9 ft
5:57.0,,,58-59,,Offensive rebound by Team
5:57.0,Loose ball foul by D. Bender (drawn by D. Favors),,58-59,,
5:57.0,T. Ulis enters the game for E. Payton,,58-59,,
5:52.0,,,58-59,,J. Ingles misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by A. Len,,58-59,,
5:40.0,A. Len makes 2-pt shot from 7 ft (assist by D. Booker),2,60-59,,
5:20.0,,,60-62,3,D. Mitchell makes 3-pt shot from 25 ft
4:52.0,J. Jackson misses 2-pt shot from 14 ft,,60-62,,
4:50.0,,,60-62,,Defensive rebound by R. Gobert
4:32.0,Personal foul by J. Jackson (drawn by R. O'Neale),,60-62,,
4:32.0,,,60-63,1,R. O'Neale makes free throw 1 of 2
4:32.0,,,60-63,,J. Jerebko enters the game for D. Favors
4:32.0,,,60-64,1,R. O'Neale makes free throw 2 of 2
4:27.0,,,60-64,,J. Crowder enters the game for R. O'Neale
4:27.0,M. Chriss enters the game for D. Booker,,60-64,,
4:27.0,T. Daniels enters the game for D. Bender,,60-64,,
4:22.0,T. Daniels misses 3-pt shot from 28 ft,,60-64,,
4:19.0,Offensive rebound by Team,,60-64,,
4:08.0,A. Len misses 2-pt shot from 16 ft,,60-64,,
4:05.0,,,60-64,,Defensive rebound by D. Mitchell
4:01.0,,,60-66,2,D. Mitchell makes 2-pt shot at rim
3:51.0,T. Ulis makes 2-pt shot from 17 ft,2,62-66,,
3:38.0,,,62-66,,J. Jerebko misses 3-pt shot from 23 ft
3:36.0,Defensive rebound by A. Len,,62-66,,
3:18.0,J. Jackson misses 2-pt shot from 8 ft,,62-66,,
3:15.0,,,62-66,,Defensive rebound by J. Crowder
3:13.0,,,62-66,,Shooting foul by M. Chriss (drawn by J. Jerebko)
3:13.0,,,62-67,1,J. Jerebko makes free throw 1 of 2
3:13.0,Phoenix full timeout,,62-67,,
3:13.0,,,62-67,,A. Burks enters the game for J. Ingles
3:13.0,,,62-68,1,J. Jerebko makes free throw 2 of 2
2:59.0,Turnover by T. Ulis (bad pass; steal by A. Burks),,62-68,,
2:53.0,,,62-70,2,D. Mitchell makes 2-pt shot from 13 ft
2:37.0,T. Ulis misses 2-pt shot from 11 ft,,62-70,,
2:34.0,,,62-70,,Defensive rebound by R. Gobert
2:27.0,,,62-70,,D. Mitchell misses 2-pt shot from 4 ft
2:25.0,Defensive rebound by J. Jackson,,62-70,,
2:23.0,J. Jackson makes 2-pt shot from 6 ft,2,64-70,,
2:23.0,Shooting foul by J. Jerebko (drawn by J. Jackson),,64-70,,
2:23.0,,,64-70,,D. Favors enters the game for R. Gobert
2:23.0,,,64-70,,R. Neto enters the game for D. Mitchell
2:23.0,E. Payton enters the game for T. Ulis,,64-70,,
2:23.0,J. Jackson misses free throw 1 of 1,,64-70,,
2:21.0,,,64-70,,Defensive rebound by J. Jerebko
2:01.0,,,64-70,,J. Jerebko misses 2-pt shot from 3 ft (block by A. Len)
2:00.0,Defensive rebound by E. Payton,,64-70,,
1:42.0,T. Daniels misses 3-pt shot from 23 ft,,64-70,,
1:38.0,,,64-70,,Defensive rebound by A. Burks
1:31.0,,,64-70,,Turnover by A. Burks (lost ball; steal by A. Len)
1:25.0,E. Payton makes 2-pt shot from 1 ft (assist by J. Jackson),2,66-70,,
1:05.0,,,66-72,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Crowder)
0:50.0,Shooting foul by D. Favors (drawn by E. Payton),,66-72,,
0:50.0,E. Payton makes free throw 1 of 2,1,67-72,,
0:50.0,D. Bender enters the game for A. Len,,67-72,,
0:50.0,E. Payton makes free throw 2 of 2,1,68-72,,
0:39.0,,,68-72,,R. Neto misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by T. Daniels,,68-72,,
0:23.0,J. Jackson makes 3-pt shot from 26 ft (assist by E. Payton),3,71-72,,
0:03.0,,,71-72,,J. Jerebko misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by E. Payton,,71-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,71-72,,R. Neto misses 3-pt shot from 23 ft
11:42.0,Defensive rebound by J. Jackson,,71-72,,
11:28.0,T. Daniels misses 2-pt shot from 7 ft,,71-72,,
11:21.0,Offensive rebound by M. Chriss,,71-72,,
11:21.0,M. Chriss makes 2-pt shot at rim,2,73-72,,
11:10.0,,,73-74,2,J. Crowder makes 2-pt shot from 2 ft (assist by R. Neto)
10:56.0,J. Jackson makes 2-pt shot from 2 ft (assist by E. Payton),2,75-74,,
10:39.0,,,75-76,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
10:39.0,,,75-76,,Shooting foul by D. Bender (drawn by D. Favors)
10:39.0,A. Len enters the game for M. Chriss,,75-76,,
10:39.0,,,75-77,1,D. Favors makes free throw 1 of 1
10:27.0,Shooting foul by J. Crowder (drawn by A. Len),,75-77,,
10:27.0,A. Len makes free throw 1 of 2,1,76-77,,
10:27.0,,,76-77,,R. Gobert enters the game for D. Favors
10:27.0,A. Len makes free throw 2 of 2,1,77-77,,
10:07.0,,,77-77,,Shooting foul by D. Bender (drawn by J. Crowder)
10:07.0,,,77-78,1,J. Crowder makes free throw 1 of 3
10:07.0,,,77-79,1,J. Crowder makes free throw 2 of 3
10:07.0,J. Dudley enters the game for D. Bender,,77-79,,
10:07.0,,,77-80,1,J. Crowder makes free throw 3 of 3
9:57.0,E. Payton misses 2-pt shot from 16 ft,,77-80,,
9:53.0,,,77-80,,Defensive rebound by J. Crowder
9:47.0,,,77-82,2,J. Crowder makes 2-pt shot from 2 ft
9:47.0,,,77-82,,Shooting foul by A. Len (drawn by J. Crowder)
9:47.0,,,77-82,,D. Mitchell enters the game for R. Neto
9:47.0,D. Booker enters the game for T. Daniels,,77-82,,
9:47.0,,,77-83,1,J. Crowder makes free throw 1 of 1
9:34.0,,,77-83,,Personal foul by R. Gobert (drawn by A. Len)
9:34.0,T. Warren enters the game for J. Jackson,,77-83,,
9:25.0,T. Warren misses 2-pt shot from 7 ft,,77-83,,
9:23.0,,,77-83,,Defensive rebound by R. Gobert
9:06.0,Personal foul by T. Warren (drawn by R. O'Neale),,77-83,,
8:58.0,,,77-85,2,D. Mitchell makes 2-pt shot from 9 ft
8:56.0,Phoenix full timeout,,77-85,,
8:56.0,J. Jackson enters the game for J. Dudley,,77-85,,
8:47.0,Shooting foul by J. Ingles (drawn by D. Booker),,77-85,,
8:47.0,D. Booker misses free throw 1 of 3,,77-85,,
8:47.0,Offensive rebound by Team,,77-85,,
8:47.0,D. Booker makes free throw 2 of 3,1,78-85,,
8:47.0,D. Booker misses free throw 3 of 3,,78-85,,
8:43.0,,,78-85,,Defensive rebound by R. O'Neale
8:25.0,,,78-85,,D. Mitchell misses 2-pt shot from 20 ft
8:23.0,,,78-85,,Offensive rebound by D. Mitchell
8:21.0,,,78-85,,D. Mitchell misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by E. Payton,,78-85,,
8:15.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Payton),2,80-85,,
7:59.0,,,80-85,,J. Ingles misses 2-pt shot from 2 ft
7:58.0,,,80-85,,Offensive rebound by R. Gobert
7:58.0,,,80-85,,R. Gobert misses 2-pt shot from 1 ft
7:58.0,Defensive rebound by E. Payton,,80-85,,
7:57.0,,,80-85,,Personal foul by R. O'Neale (drawn by E. Payton)
7:57.0,,,80-85,,D. Favors enters the game for J. Crowder
7:45.0,D. Booker misses 3-pt shot from 24 ft,,80-85,,
7:43.0,,,80-85,,Defensive rebound by R. Gobert
7:32.0,,,80-88,3,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Ingles)
7:20.0,A. Len makes 2-pt shot from 2 ft (assist by E. Payton),2,82-88,,
7:04.0,,,82-88,,D. Mitchell misses 3-pt shot from 26 ft
7:01.0,Defensive rebound by E. Payton,,82-88,,
6:57.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Payton),2,84-88,,
6:39.0,,,84-88,,D. Mitchell misses 2-pt shot from 8 ft
6:36.0,,,84-88,,Offensive rebound by D. Mitchell
6:34.0,,,84-90,2,D. Favors makes 2-pt shot from 1 ft (assist by R. O'Neale)
6:34.0,,,84-90,,Shooting foul by A. Len (drawn by D. Favors)
6:34.0,,,84-91,1,D. Favors makes free throw 1 of 1
6:15.0,J. Jackson misses 2-pt shot from 18 ft,,84-91,,
6:14.0,,,84-91,,Defensive rebound by R. Gobert
5:56.0,,,84-91,,R. O'Neale misses 2-pt shot from 8 ft
5:55.0,Defensive rebound by Team,,84-91,,
5:55.0,,,84-91,,Loose ball foul by R. Gobert (drawn by A. Len)
5:55.0,A. Len makes free throw 1 of 2,1,85-91,,
5:55.0,A. Len makes free throw 2 of 2,1,86-91,,
5:34.0,,,86-91,,D. Mitchell misses 2-pt shot from 3 ft
5:30.0,Defensive rebound by J. Jackson,,86-91,,
5:28.0,E. Payton makes 2-pt shot from 3 ft,2,88-91,,
5:07.0,,,88-91,,D. Mitchell misses 2-pt shot from 17 ft
5:06.0,,,88-91,,Offensive rebound by J. Ingles
5:00.0,,,88-93,2,R. O'Neale makes 2-pt shot from 2 ft (assist by J. Ingles)
4:41.0,D. Booker makes 2-pt shot from 9 ft (assist by E. Payton),2,90-93,,
4:17.0,,,90-93,,J. Ingles misses 3-pt shot from 28 ft
4:13.0,,,90-93,,Offensive rebound by D. Favors
4:09.0,,,90-93,,D. Mitchell misses 3-pt shot from 26 ft
4:06.0,,,90-93,,Offensive rebound by D. Favors
4:06.0,,,90-93,,Shooting foul by J. Jackson (drawn by D. Favors)
4:06.0,,,90-93,,D. Favors misses free throw 1 of 2
4:06.0,,,90-93,,Offensive rebound by Team
4:06.0,,,90-94,1,D. Favors makes free throw 2 of 2
