time,Chicago,pts.away,score,pts.home,Toronto
5:53.0,K. Felder makes 2-pt shot from 18 ft (assist by K. Dunn),2,39-47,,
5:29.0,,,39-47,,Turnover by N. Powell (bad pass)
5:29.0,R. Lopez enters the game for C. Felicio,,39-47,,
5:11.0,Turnover by K. Felder (bad pass; steal by O. Anunoby),,39-47,,
5:06.0,,,39-49,2,K. Lowry makes 2-pt shot from 1 ft (assist by O. Anunoby)
4:52.0,Turnover by K. Dunn (bad pass; steal by N. Powell),,39-49,,
4:47.0,,,39-49,,O. Anunoby misses 2-pt shot from 1 ft
4:45.0,Defensive rebound by K. Dunn,,39-49,,
4:38.0,R. Lopez makes 2-pt shot from 2 ft,2,41-49,,
4:30.0,,,41-49,,Toronto full timeout
4:30.0,,,41-49,,J. Valanciunas enters the game for O. Anunoby
4:30.0,,,41-49,,S. Ibaka enters the game for J. Poeltl
4:30.0,,,41-49,,D. DeRozan enters the game for D. Wright
4:30.0,J. Grant enters the game for K. Felder,,41-49,,
4:30.0,J. Holiday enters the game for K. Dunn,,41-49,,
4:26.0,,,41-49,,Shooting foul by P. Zipser (drawn by J. Valanciunas)
4:26.0,,,41-50,1,J. Valanciunas makes free throw 1 of 2
4:26.0,,,41-51,1,J. Valanciunas makes free throw 2 of 2
4:17.0,,,41-51,,Personal block foul by K. Lowry (drawn by J. Grant)
4:11.0,,,41-51,,Personal foul by N. Powell (drawn by P. Zipser)
3:57.0,Turnover by Team (shot clock),,41-51,,
3:56.0,P. Zipser misses 3-pt shot from 25 ft,,41-51,,
3:56.0,Offensive rebound by Team,,41-51,,
3:39.0,,,41-53,2,S. Ibaka makes 2-pt shot from 15 ft (assist by N. Powell)
3:18.0,J. Holiday misses 3-pt shot from 24 ft,,41-53,,
3:16.0,,,41-53,,Defensive rebound by J. Valanciunas
3:14.0,Violation by J. Grant (kicked ball),,41-53,,
3:14.0,D. Valentine enters the game for P. Zipser,,41-53,,
3:02.0,,,41-55,2,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry)
3:01.0,Chicago full timeout,,41-55,,
2:51.0,D. Valentine misses 3-pt shot from 23 ft,,41-55,,
2:47.0,Offensive rebound by R. Lopez,,41-55,,
2:45.0,L. Markkanen misses 3-pt shot from 25 ft,,41-55,,
2:44.0,,,41-55,,Defensive rebound by J. Valanciunas
2:39.0,,,41-58,3,K. Lowry makes 3-pt shot from 26 ft
2:22.0,D. Valentine makes 2-pt shot from 13 ft,2,43-58,,
2:05.0,,,43-60,2,N. Powell makes 2-pt shot from 2 ft
1:49.0,D. Valentine misses 2-pt shot from 3 ft,,43-60,,
1:47.0,,,43-60,,Defensive rebound by D. DeRozan
1:35.0,,,43-62,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry)
1:27.0,,,43-62,,Personal foul by S. Ibaka (drawn by L. Markkanen)
1:11.0,D. Valentine makes 2-pt shot from 18 ft,2,45-62,,
0:59.0,,,45-64,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
0:59.0,,,45-64,,Shooting foul by J. Grant (drawn by J. Valanciunas)
0:59.0,,,45-65,1,J. Valanciunas makes free throw 1 of 1
0:42.0,J. Grant misses 2-pt shot from 3 ft,,45-65,,
0:40.0,,,45-65,,Defensive rebound by J. Valanciunas
0:26.0,,,45-65,,D. DeRozan misses 2-pt shot from 14 ft
0:23.0,Defensive rebound by Team,,45-65,,
0:00.0,J. Grant misses 3-pt shot from 23 ft,,45-65,,
0:00.0,Offensive rebound by Team,,45-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,45-67,2,N. Powell makes 2-pt shot from 1 ft
11:18.0,P. Zipser misses 2-pt shot from 17 ft,,45-67,,
11:12.0,Offensive rebound by R. Lopez,,45-67,,
11:12.0,R. Lopez makes 2-pt shot at rim,2,47-67,,
10:59.0,,,47-67,,Turnover by K. Lowry (bad pass; steal by J. Grant)
10:55.0,L. Markkanen makes 2-pt shot at rim (assist by J. Holiday),2,49-67,,
10:33.0,,,49-67,,Turnover by J. Valanciunas (step out of bounds)
10:12.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant),2,51-67,,
9:58.0,,,51-67,,N. Powell misses 3-pt shot from 23 ft
9:57.0,,,51-67,,Offensive rebound by Team
9:57.0,Loose ball foul by J. Grant (drawn by J. Valanciunas),,51-67,,
9:52.0,,,51-69,2,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry)
9:34.0,R. Lopez misses 2-pt shot from 8 ft,,51-69,,
9:34.0,,,51-69,,Defensive rebound by Team
9:34.0,Loose ball foul by R. Lopez (drawn by J. Valanciunas),,51-69,,
9:22.0,,,51-69,,Shooting foul by R. Lopez (drawn by J. Valanciunas)
9:22.0,,,51-70,1,J. Valanciunas makes free throw 1 of 2
9:22.0,,,51-71,1,J. Valanciunas makes free throw 2 of 2
9:15.0,,,51-71,,Personal foul by D. DeRozan (drawn by J. Grant)
9:02.0,P. Zipser misses 3-pt shot from 25 ft,,51-71,,
8:58.0,,,51-71,,Defensive rebound by D. DeRozan
8:48.0,,,51-74,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan)
8:34.0,P. Zipser makes 2-pt shot from 1 ft (assist by R. Lopez),2,53-74,,
8:11.0,,,53-76,2,J. Valanciunas makes 2-pt shot from 9 ft (assist by N. Powell)
8:01.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,55-76,,
7:45.0,,,55-76,,N. Powell misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by P. Zipser,,55-76,,
7:26.0,J. Holiday makes 3-pt shot from 24 ft (assist by L. Markkanen),3,58-76,,
7:11.0,,,58-76,,Offensive charge foul by J. Valanciunas (drawn by J. Grant)
7:11.0,,,58-76,,Turnover by J. Valanciunas (offensive foul)
7:05.0,Shooting foul by S. Ibaka (drawn by J. Holiday),,58-76,,
7:05.0,J. Holiday makes free throw 1 of 3,1,59-76,,
7:05.0,J. Holiday makes free throw 2 of 3,1,60-76,,
7:05.0,J. Holiday makes free throw 3 of 3,1,61-76,,
6:56.0,,,61-78,2,D. DeRozan makes 2-pt shot from 5 ft (assist by K. Lowry)
6:46.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,63-78,,
6:40.0,,,63-78,,Shooting foul by J. Grant (drawn by K. Lowry)
6:40.0,,,63-78,,Toronto full timeout
6:40.0,,,63-79,1,K. Lowry makes free throw 1 of 2
6:40.0,,,63-80,1,K. Lowry makes free throw 2 of 2
6:25.0,Turnover by J. Grant (bad pass),,63-80,,
6:16.0,,,63-83,3,S. Ibaka makes 3-pt shot from 21 ft (assist by D. DeRozan)
5:52.0,J. Grant makes 2-pt shot from 3 ft,2,65-83,,
5:52.0,Shooting foul by J. Valanciunas (drawn by J. Grant),,65-83,,
5:52.0,J. Grant makes free throw 1 of 1,1,66-83,,
5:29.0,,,66-83,,K. Lowry misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by J. Holiday,,66-83,,
5:24.0,Offensive charge foul by P. Zipser (drawn by K. Lowry),,66-83,,
5:24.0,Turnover by P. Zipser (offensive foul),,66-83,,
5:08.0,,,66-83,,Turnover by D. DeRozan (lost ball; steal by J. Grant)
4:46.0,J. Grant misses 2-pt shot from 2 ft,,66-83,,
4:45.0,,,66-83,,Defensive rebound by J. Valanciunas
4:38.0,,,66-83,,N. Powell misses 2-pt shot from 3 ft
4:37.0,,,66-83,,Offensive rebound by K. Lowry
4:37.0,,,66-85,2,K. Lowry makes 2-pt shot at rim
4:16.0,R. Lopez makes 2-pt shot from 20 ft (assist by P. Zipser),2,68-85,,
4:02.0,,,68-87,2,D. DeRozan makes 2-pt shot from 6 ft
3:41.0,Shooting foul by K. Lowry (drawn by J. Grant),,68-87,,
3:41.0,J. Grant makes free throw 1 of 2,1,69-87,,
3:41.0,,,69-87,,L. Nogueira enters the game for J. Valanciunas
3:41.0,,,69-87,,C. Miles enters the game for N. Powell
3:41.0,D. Valentine enters the game for L. Markkanen,,69-87,,
3:41.0,B. Portis enters the game for P. Zipser,,69-87,,
3:41.0,J. Grant makes free throw 2 of 2,1,70-87,,
3:20.0,,,70-87,,Shooting foul by R. Lopez (drawn by S. Ibaka)
3:20.0,,,70-87,,S. Ibaka misses free throw 1 of 2
3:20.0,,,70-87,,Offensive rebound by Team
3:20.0,K. Dunn enters the game for J. Grant,,70-87,,
3:20.0,C. Felicio enters the game for R. Lopez,,70-87,,
3:20.0,,,70-87,,S. Ibaka misses free throw 2 of 2
3:18.0,Defensive rebound by B. Portis,,70-87,,
2:55.0,J. Holiday makes 3-pt shot from 25 ft (assist by B. Portis),3,73-87,,
2:36.0,,,73-89,2,S. Ibaka makes 2-pt shot from 3 ft (assist by D. DeRozan)
2:21.0,J. Holiday misses 2-pt shot from 1 ft,,73-89,,
2:19.0,,,73-89,,Defensive rebound by S. Ibaka
2:15.0,,,73-89,,Offensive charge foul by L. Nogueira (drawn by K. Dunn)
2:15.0,,,73-89,,Turnover by L. Nogueira (offensive foul)
2:15.0,Chicago full timeout,,73-89,,
2:15.0,,,73-89,,P. Siakam enters the game for K. Lowry
2:15.0,,,73-89,,D. Wright enters the game for S. Ibaka
2:02.0,D. Valentine makes 3-pt shot from 26 ft (assist by K. Dunn),3,76-89,,
1:39.0,,,76-92,3,D. DeRozan makes 3-pt shot from 24 ft
1:19.0,Turnover by J. Holiday (traveling),,76-92,,
1:14.0,Violation by K. Dunn (kicked ball),,76-92,,
1:14.0,K. Felder enters the game for J. Holiday,,76-92,,
1:05.0,,,76-95,3,D. DeRozan makes 3-pt shot from 25 ft
0:53.0,Shooting foul by L. Nogueira (drawn by K. Felder),,76-95,,
0:53.0,K. Felder makes free throw 1 of 2,1,77-95,,
0:53.0,K. Felder makes free throw 2 of 2,1,78-95,,
0:41.0,,,78-95,,D. DeRozan misses 2-pt shot from 9 ft
0:39.0,Defensive rebound by B. Portis,,78-95,,
0:25.0,D. Valentine makes 3-pt shot from 24 ft (assist by K. Felder),3,81-95,,
0:02.0,,,81-98,3,C. Miles makes 3-pt shot from 24 ft (assist by L. Nogueira)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Valentine misses 3-pt shot from 26 ft,,81-98,,
11:45.0,,,81-98,,Defensive rebound by F. VanVleet
11:34.0,,,81-98,,Turnover by D. Wright (lost ball; steal by D. Valentine)
11:25.0,,,81-98,,Personal foul by C. Miles (drawn by B. Portis)
11:19.0,D. Valentine misses 2-pt shot from 2 ft,,81-98,,
11:19.0,,,81-98,,Defensive rebound by Team
11:01.0,,,81-98,,C. Miles misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by C. Felicio,,81-98,,
10:38.0,B. Portis misses 2-pt shot from 13 ft,,81-98,,
10:35.0,,,81-98,,Defensive rebound by C. Miles
10:33.0,,,81-100,2,P. Siakam makes 2-pt shot from 2 ft (assist by F. VanVleet)
10:33.0,,,81-100,,Shooting foul by D. Valentine (drawn by P. Siakam)
10:33.0,,,81-100,,P. Siakam misses free throw 1 of 1
10:31.0,Defensive rebound by B. Portis,,81-100,,
10:18.0,K. Dunn misses 3-pt shot from 25 ft,,81-100,,
10:14.0,Offensive rebound by B. Portis,,81-100,,
10:13.0,B. Portis makes 2-pt shot from 11 ft,2,83-100,,
10:03.0,,,83-100,,J. Poeltl enters the game for P. Siakam
10:03.0,,,83-100,,O. Anunoby enters the game for L. Nogueira
9:46.0,,,83-102,2,J. Poeltl makes 2-pt shot from 6 ft
9:35.0,Turnover by K. Dunn (lost ball; steal by O. Anunoby),,83-102,,
9:31.0,Jump ball: O. Anunoby vs. K. Dunn (C. Felicio gains possession),,,,Jump ball: O. Anunoby vs. K. Dunn (C. Felicio gains possession)
9:31.0,,,83-102,,Turnover by O. Anunoby (turnover; steal by K. Dunn)
9:24.0,B. Portis makes 3-pt shot from 25 ft (assist by K. Felder),3,86-102,,
9:12.0,,,86-102,,Turnover by O. Anunoby (lost ball; steal by K. Dunn)
9:07.0,K. Dunn makes 2-pt shot at rim,2,88-102,,
8:47.0,,,88-102,,D. Wright misses 2-pt shot from 6 ft
8:44.0,Defensive rebound by B. Portis,,88-102,,
8:37.0,B. Portis misses 2-pt shot from 10 ft,,88-102,,
8:34.0,,,88-102,,Defensive rebound by J. Poeltl
8:28.0,,,88-105,3,O. Anunoby makes 3-pt shot from 25 ft (assist by F. VanVleet)
8:10.0,Turnover by K. Felder (bad pass; steal by D. Wright),,88-105,,
8:06.0,,,88-105,,Shooting foul by D. Valentine (drawn by O. Anunoby)
8:06.0,,,88-105,,O. Anunoby misses free throw 1 of 2
8:06.0,,,88-105,,Offensive rebound by Team
8:06.0,,,88-106,1,O. Anunoby makes free throw 2 of 2
7:48.0,K. Dunn misses 2-pt shot from 5 ft,,88-106,,
7:47.0,Offensive rebound by Team,,88-106,,
7:43.0,B. Portis makes 3-pt shot from 25 ft (assist by D. Valentine),3,91-106,,
7:27.0,,,91-106,,F. VanVleet misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by C. Felicio,,91-106,,
7:20.0,B. Portis makes 2-pt shot from 1 ft,2,93-106,,
7:20.0,,,93-106,,Toronto full timeout
7:20.0,,,93-106,,D. DeRozan enters the game for C. Miles
7:20.0,,,93-106,,S. Ibaka enters the game for F. VanVleet
7:20.0,,,93-106,,K. Lowry enters the game for D. Wright
7:06.0,Personal foul by K. Dunn (drawn by D. DeRozan),,93-106,,
7:02.0,,,93-106,,D. DeRozan misses 2-pt shot from 10 ft
7:01.0,,,93-106,,Offensive rebound by J. Poeltl
6:56.0,,,93-108,2,J. Poeltl makes 2-pt shot at rim
6:48.0,Offensive charge foul by C. Felicio (drawn by D. DeRozan),,93-108,,
6:48.0,Turnover by C. Felicio (offensive foul),,93-108,,
6:30.0,,,93-108,,J. Poeltl misses 2-pt shot from 4 ft
6:27.0,Defensive rebound by B. Portis,,93-108,,
6:13.0,B. Portis makes 2-pt shot from 21 ft,2,95-108,,
5:51.0,,,95-108,,J. Poeltl misses 2-pt shot from 2 ft
5:49.0,,,95-108,,Offensive rebound by J. Poeltl
5:45.0,,,95-108,,S. Ibaka misses 3-pt shot from 26 ft
5:45.0,,,95-108,,Offensive rebound by Team
5:45.0,,,95-108,,Turnover by Team (shot clock)
5:45.0,L. Markkanen enters the game for C. Felicio,,95-108,,
5:36.0,B. Portis misses 3-pt shot from 26 ft,,95-108,,
5:33.0,,,95-108,,Defensive rebound by O. Anunoby
5:19.0,,,95-108,,S. Ibaka misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by K. Dunn,,95-108,,
5:13.0,K. Felder misses 3-pt shot from 26 ft,,95-108,,
5:09.0,Offensive rebound by B. Portis,,95-108,,
5:07.0,K. Dunn makes 3-pt shot from 26 ft (assist by D. Valentine),3,98-108,,
4:52.0,,,98-108,,K. Lowry misses 3-pt shot from 27 ft
4:52.0,,,98-108,,Offensive rebound by Team
4:52.0,Personal foul by B. Portis (drawn by J. Poeltl),,98-108,,
4:52.0,,,98-108,,N. Powell enters the game for O. Anunoby
4:52.0,,,98-108,,J. Valanciunas enters the game for J. Poeltl
4:52.0,J. Holiday enters the game for K. Felder,,98-108,,
4:47.0,,,98-108,,Shooting foul by K. Dunn (drawn by J. Valanciunas)
4:47.0,,,98-109,1,J. Valanciunas makes free throw 1 of 2
4:47.0,,,98-109,,J. Valanciunas misses free throw 2 of 2
4:45.0,Defensive rebound by B. Portis,,98-109,,
4:35.0,J. Holiday makes 2-pt shot from 14 ft (assist by B. Portis),2,100-109,,
4:35.0,Shooting foul by N. Powell (drawn by J. Holiday),,100-109,,
4:35.0,J. Holiday makes free throw 1 of 1,1,101-109,,
4:19.0,,,101-109,,D. DeRozan misses 2-pt shot from 11 ft
4:17.0,Defensive rebound by Team,,101-109,,
4:05.0,Jump ball: S. Ibaka vs. L. Markkanen (B. Portis gains possession),,,,Jump ball: S. Ibaka vs. L. Markkanen (B. Portis gains possession)
4:03.0,Shooting foul by S. Ibaka (drawn by L. Markkanen),,101-109,,
4:03.0,L. Markkanen makes free throw 1 of 2,1,102-109,,
4:03.0,L. Markkanen makes free throw 2 of 2,1,103-109,,
3:46.0,,,103-111,2,D. DeRozan makes 2-pt shot from 4 ft
3:33.0,D. Valentine makes 2-pt shot from 12 ft (assist by B. Portis),2,105-111,,
3:16.0,,,105-111,,D. DeRozan misses 2-pt shot from 14 ft
3:16.0,Defensive rebound by K. Dunn,,105-111,,
3:01.0,D. Valentine misses 3-pt shot from 24 ft,,105-111,,
2:57.0,,,105-111,,Defensive rebound by J. Valanciunas
2:50.0,,,105-113,2,K. Lowry makes 2-pt shot from 4 ft
