time,San Antonio,pts.away,score,pts.home,Washington
3:32.0,L. Aldridge makes 2-pt shot from 3 ft (assist by T. Parker),2,20-18,,
3:14.0,,,20-18,,Turnover by B. Beal (bad pass; steal by T. Parker)
3:09.0,M. Ginobili misses 3-pt shot from 25 ft,,20-18,,
3:06.0,,,20-18,,Defensive rebound by K. Oubre
2:56.0,,,20-18,,R. Sessions misses 2-pt shot from 3 ft
2:53.0,Defensive rebound by P. Gasol,,20-18,,
2:50.0,San Antonio full timeout,,20-18,,
2:50.0,,,20-18,,M. Scott enters the game for M. Morris
2:37.0,T. Parker misses 2-pt shot from 18 ft,,20-18,,
2:34.0,,,20-18,,Defensive rebound by M. Scott
2:17.0,,,20-20,2,I. Mahinmi makes 2-pt shot from 11 ft (assist by B. Beal)
1:58.0,R. Gay misses 2-pt shot from 15 ft,,20-20,,
1:55.0,,,20-20,,Defensive rebound by K. Oubre
1:45.0,,,20-20,,M. Scott misses 2-pt shot from 21 ft
1:41.0,Defensive rebound by T. Parker,,20-20,,
1:34.0,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol),2,22-20,,
1:18.0,,,22-20,,Offensive foul by I. Mahinmi (drawn by M. Ginobili)
1:18.0,,,22-20,,Turnover by I. Mahinmi (offensive foul)
1:18.0,,,22-20,,J. Meeks enters the game for B. Beal
1:18.0,D. Green enters the game for L. Aldridge,,22-20,,
1:06.0,P. Gasol misses 2-pt shot from 20 ft,,22-20,,
1:03.0,,,22-20,,Defensive rebound by J. Meeks
0:53.0,,,22-20,,Turnover by M. Scott (bad pass)
0:41.0,M. Ginobili misses 2-pt shot from 1 ft,,22-20,,
0:39.0,Offensive rebound by R. Gay,,22-20,,
0:39.0,R. Gay makes 2-pt shot from 1 ft,2,24-20,,
0:39.0,Shooting foul by M. Scott (drawn by R. Gay),,24-20,,
0:39.0,R. Gay misses free throw 1 of 1,,24-20,,
0:39.0,Offensive rebound by R. Gay,,24-20,,
0:18.0,D. Green misses 3-pt shot from 25 ft,,24-20,,
0:10.0,,,24-20,,Defensive rebound by R. Sessions
0:01.0,,,24-20,,Shooting foul by M. Ginobili (drawn by R. Sessions)
0:01.0,,,24-21,1,R. Sessions makes free throw 1 of 2
0:01.0,,,24-21,,R. Sessions misses free throw 2 of 2
0:01.0,,,24-21,,Offensive rebound by I. Mahinmi
0:01.0,,,24-21,,I. Mahinmi misses 2-pt shot from 3 ft
0:01.0,,,24-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,,,24-21,,Personal foul by K. Oubre (drawn by P. Gasol)
11:45.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Green),2,26-21,,
11:36.0,,,26-21,,Turnover by R. Sessions (bad pass; steal by R. Gay)
11:32.0,R. Gay makes 2-pt shot from 1 ft,2,28-21,,
11:10.0,,,28-21,,J. Meeks misses 2-pt shot from 12 ft
11:09.0,,,28-21,,Offensive rebound by M. Scott
11:08.0,,,28-23,2,M. Scott makes 2-pt shot from 2 ft
10:59.0,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili),2,30-23,,
10:59.0,Shooting foul by R. Sessions (drawn by P. Gasol),,30-23,,
10:59.0,P. Gasol makes free throw 1 of 1,1,31-23,,
10:47.0,,,31-26,3,J. Meeks makes 3-pt shot from 26 ft (assist by M. Scott)
10:23.0,T. Parker misses 2-pt shot from 15 ft,,31-26,,
10:21.0,Offensive rebound by Team,,31-26,,
10:17.0,Jump ball: R. Sessions vs. R. Gay (D. Green gains possession),,,,Jump ball: R. Sessions vs. R. Gay (D. Green gains possession)
10:09.0,T. Parker misses 2-pt shot from 3 ft,,31-26,,
10:05.0,,,31-26,,Defensive rebound by M. Scott
10:03.0,,,31-29,3,M. Scott makes 3-pt shot from 28 ft (assist by R. Sessions)
10:01.0,San Antonio full timeout,,31-29,,
10:01.0,D. Murray enters the game for T. Parker,,31-29,,
10:01.0,P. Mills enters the game for M. Ginobili,,31-29,,
9:49.0,D. Murray misses 2-pt shot from 9 ft,,31-29,,
9:49.0,Offensive rebound by P. Gasol,,31-29,,
9:49.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,31-29,,
9:49.0,P. Gasol makes free throw 1 of 2,1,32-29,,
9:49.0,K. Anderson enters the game for R. Gay,,32-29,,
9:49.0,P. Gasol misses free throw 2 of 2,,32-29,,
9:46.0,,,32-29,,Defensive rebound by K. Oubre
9:33.0,,,32-29,,M. Scott misses 2-pt shot from 13 ft
9:30.0,,,32-29,,Offensive rebound by K. Oubre
9:29.0,,,32-29,,K. Oubre misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by P. Mills,,32-29,,
9:14.0,K. Anderson misses 2-pt shot from 10 ft,,32-29,,
9:11.0,,,32-29,,Defensive rebound by M. Scott
9:08.0,,,32-31,2,J. Meeks makes 2-pt shot from 8 ft (assist by R. Sessions)
9:08.0,,,32-31,,Shooting foul by D. Murray (drawn by J. Meeks)
9:08.0,,,32-32,1,J. Meeks makes free throw 1 of 1
8:51.0,P. Mills misses 3-pt shot from 23 ft,,32-32,,
8:48.0,,,32-32,,Defensive rebound by I. Mahinmi
8:42.0,,,32-34,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Scott)
8:42.0,San Antonio full timeout,,32-34,,
8:42.0,T. Parker enters the game for D. Murray,,32-34,,
8:42.0,B. Forbes enters the game for P. Mills,,32-34,,
8:42.0,L. Aldridge enters the game for D. Green,,32-34,,
8:42.0,M. Ginobili enters the game for K. Anderson,,32-34,,
8:29.0,M. Ginobili misses 2-pt shot from 1 ft,,32-34,,
8:27.0,,,32-34,,Defensive rebound by K. Oubre
8:22.0,,,32-36,2,K. Oubre makes 2-pt shot from 2 ft
8:22.0,,,32-36,,Shooting foul by T. Parker (drawn by K. Oubre)
8:22.0,,,32-37,1,K. Oubre makes free throw 1 of 1
8:14.0,Offensive foul by L. Aldridge (drawn by K. Oubre),,32-37,,
8:14.0,Turnover by L. Aldridge (offensive foul),,32-37,,
7:59.0,,,32-39,2,M. Scott makes 2-pt shot from 17 ft (assist by K. Oubre)
7:41.0,,,32-39,,Personal foul by K. Oubre (drawn by P. Gasol)
7:41.0,R. Gay enters the game for P. Gasol,,32-39,,
7:36.0,Shooting foul by R. Sessions (drawn by T. Parker),,32-39,,
7:36.0,T. Parker misses free throw 1 of 2,,32-39,,
7:36.0,Offensive rebound by Team,,32-39,,
7:36.0,T. Parker misses free throw 2 of 2,,32-39,,
7:34.0,,,32-39,,Defensive rebound by K. Oubre
7:11.0,,,32-39,,J. Meeks misses 2-pt shot from 19 ft
7:07.0,,,32-39,,Offensive rebound by I. Mahinmi
7:03.0,,,32-39,,R. Sessions misses 2-pt shot from 21 ft
6:59.0,Defensive rebound by B. Forbes,,32-39,,
6:50.0,R. Gay misses 2-pt shot from 2 ft,,32-39,,
6:49.0,Offensive rebound by L. Aldridge,,32-39,,
6:49.0,Shooting foul by I. Mahinmi (drawn by L. Aldridge),,32-39,,
6:49.0,L. Aldridge makes free throw 1 of 2,1,33-39,,
6:49.0,,,33-39,,B. Beal enters the game for J. Meeks
6:49.0,,,33-39,,M. Morris enters the game for I. Mahinmi
6:49.0,P. Mills enters the game for T. Parker,,33-39,,
6:49.0,D. Murray enters the game for B. Forbes,,33-39,,
6:49.0,L. Aldridge makes free throw 2 of 2,1,34-39,,
6:33.0,,,34-39,,M. Scott misses 2-pt shot from 2 ft (block by L. Aldridge)
6:33.0,,,34-39,,Offensive rebound by Team
6:33.0,,,34-39,,O. Porter enters the game for M. Scott
6:30.0,,,34-39,,B. Beal misses 2-pt shot from 5 ft (block by D. Murray)
6:30.0,,,34-39,,Offensive rebound by Team
6:28.0,,,34-42,3,O. Porter makes 3-pt shot from 26 ft (assist by K. Oubre)
6:05.0,R. Gay makes 2-pt shot from 2 ft (assist by P. Mills),2,36-42,,
5:49.0,,,36-44,2,M. Morris makes 2-pt shot from 16 ft (assist by O. Porter)
5:24.0,Shooting foul by M. Morris (drawn by M. Ginobili),,36-44,,
5:24.0,M. Ginobili misses free throw 1 of 2,,36-44,,
5:24.0,Offensive rebound by Team,,36-44,,
5:24.0,M. Ginobili misses free throw 2 of 2,,36-44,,
5:22.0,,,36-44,,Defensive rebound by O. Porter
5:09.0,,,36-44,,K. Oubre misses 3-pt shot from 26 ft
5:04.0,Defensive rebound by P. Mills,,36-44,,
4:50.0,L. Aldridge makes 2-pt shot at rim (assist by R. Gay),2,38-44,,
4:50.0,,,38-44,,Washington full timeout
4:50.0,D. Green enters the game for M. Ginobili,,38-44,,
4:28.0,,,38-46,2,K. Oubre makes 2-pt shot from 4 ft (assist by O. Porter)
4:07.0,P. Mills misses 3-pt shot from 25 ft,,38-46,,
4:00.0,,,38-46,,Defensive rebound by M. Morris
3:56.0,,,38-49,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Sessions)
3:38.0,,,38-49,,Personal foul by M. Morris (drawn by L. Aldridge)
3:38.0,L. Aldridge makes free throw 1 of 2,1,39-49,,
3:38.0,,,39-49,,M. Gortat enters the game for M. Morris
3:38.0,L. Aldridge makes free throw 2 of 2,1,40-49,,
3:20.0,,,40-52,3,R. Sessions makes 3-pt shot from 23 ft (assist by B. Beal)
3:04.0,L. Aldridge misses 2-pt shot from 10 ft,,40-52,,
3:01.0,,,40-52,,Defensive rebound by O. Porter
2:53.0,,,40-52,,K. Oubre misses 3-pt shot from 27 ft
2:49.0,Defensive rebound by D. Green,,40-52,,
2:42.0,D. Green misses 3-pt shot from 26 ft,,40-52,,
2:39.0,,,40-52,,Defensive rebound by Team
2:25.0,,,40-52,,B. Beal misses 3-pt shot from 28 ft
2:21.0,Defensive rebound by R. Gay,,40-52,,
2:13.0,R. Gay misses 2-pt shot from 6 ft,,40-52,,
2:10.0,,,40-52,,Defensive rebound by R. Sessions
1:56.0,,,40-52,,M. Gortat misses 2-pt shot from 8 ft
1:54.0,,,40-52,,Offensive rebound by K. Oubre
1:53.0,,,40-54,2,K. Oubre makes 2-pt shot from 5 ft
1:53.0,,,40-54,,Shooting foul by R. Gay (drawn by K. Oubre)
1:53.0,P. Gasol enters the game for L. Aldridge,,40-54,,
1:53.0,,,40-55,1,K. Oubre makes free throw 1 of 1
1:43.0,P. Mills misses 3-pt shot from 25 ft,,40-55,,
1:43.0,Offensive rebound by P. Gasol,,40-55,,
1:32.0,D. Murray makes 2-pt shot from 10 ft,2,42-55,,
1:06.0,,,42-55,,R. Sessions misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by D. Murray,,42-55,,
0:49.0,R. Gay misses 3-pt shot from 23 ft,,42-55,,
0:45.0,,,42-55,,Defensive rebound by M. Gortat
0:36.0,,,42-55,,Shooting foul by D. Murray (drawn by M. Gortat)
0:36.0,,,42-56,1,M. Gortat makes free throw 1 of 2
0:36.0,,,42-56,,M. Gortat misses free throw 2 of 2
0:35.0,Defensive rebound by R. Gay,,42-56,,
0:29.0,P. Mills makes 3-pt shot from 25 ft,3,45-56,,
0:05.0,,,45-59,3,B. Beal makes 3-pt shot from 26 ft (assist by R. Sessions)
0:01.0,D. Murray misses 2-pt shot from 16 ft,,45-59,,
0:01.0,Offensive rebound by Team,,45-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Murray),2,47-59,,
11:23.0,,,47-59,,O. Porter misses 2-pt shot from 1 ft
11:21.0,,,47-59,,Offensive rebound by M. Gortat
11:20.0,,,47-61,2,M. Gortat makes 2-pt shot from 7 ft
11:10.0,D. Murray misses 2-pt shot from 3 ft (block by O. Porter),,47-61,,
11:07.0,,,47-61,,Defensive rebound by B. Beal
11:05.0,,,47-61,,Turnover by B. Beal (bad pass)
10:48.0,P. Gasol makes 2-pt shot from 6 ft (assist by P. Mills),2,49-61,,
10:22.0,,,49-61,,T. Satoransky misses 2-pt shot from 12 ft
10:19.0,,,49-61,,Offensive rebound by T. Satoransky
10:15.0,,,49-61,,Turnover by M. Morris (bad pass; steal by P. Mills)
10:09.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Mills),2,51-61,,
9:51.0,,,51-63,2,M. Gortat makes 2-pt shot from 18 ft
9:38.0,Turnover by D. Murray (bad pass; steal by B. Beal),,51-63,,
9:33.0,,,51-65,2,B. Beal makes 2-pt shot from 3 ft (assist by T. Satoransky)
9:14.0,Turnover by D. Green (out of bounds lost ball),,51-65,,
9:07.0,,,51-67,2,M. Morris makes 2-pt shot from 5 ft (assist by T. Satoransky)
8:43.0,P. Gasol misses 3-pt shot from 26 ft,,51-67,,
8:40.0,,,51-67,,Defensive rebound by M. Morris
8:36.0,,,51-67,,T. Satoransky misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by D. Murray,,51-67,,
8:29.0,P. Mills makes 3-pt shot from 24 ft (assist by D. Murray),3,54-67,,
8:27.0,,,54-67,,Washington full timeout
8:15.0,,,54-67,,M. Gortat misses 2-pt shot from 10 ft
8:12.0,,,54-67,,Offensive rebound by M. Gortat
8:09.0,,,54-69,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
7:50.0,P. Gasol misses 2-pt shot from 10 ft (block by M. Gortat),,54-69,,
7:47.0,,,54-69,,Defensive rebound by T. Satoransky
7:41.0,,,54-69,,Offensive foul by M. Morris (drawn by P. Mills)
7:41.0,,,54-69,,Turnover by M. Morris (offensive foul)
7:41.0,,,54-69,,M. Scott enters the game for M. Morris
7:41.0,R. Gay enters the game for K. Anderson,,54-69,,
7:23.0,P. Gasol misses 2-pt shot from 11 ft,,54-69,,
7:20.0,,,54-69,,Defensive rebound by B. Beal
7:18.0,,,54-71,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
7:13.0,San Antonio full timeout,,54-71,,
7:13.0,D. Bertans enters the game for R. Gay,,54-71,,
6:55.0,D. Bertans misses 2-pt shot from 18 ft,,54-71,,
6:51.0,Offensive rebound by P. Gasol,,54-71,,
6:51.0,P. Gasol misses 2-pt shot from 5 ft (block by B. Beal),,54-71,,
6:47.0,,,54-71,,Defensive rebound by T. Satoransky
6:47.0,,,54-71,,Turnover by T. Satoransky (bad pass; steal by P. Mills)
6:44.0,D. Green makes 3-pt shot from 26 ft (assist by P. Mills),3,57-71,,
6:19.0,,,57-74,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
5:53.0,D. Bertans misses 2-pt shot from 4 ft (block by O. Porter),,57-74,,
5:49.0,,,57-74,,Defensive rebound by T. Satoransky
5:41.0,,,57-76,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
5:41.0,,,57-76,,Shooting foul by D. Green (drawn by M. Gortat)
5:41.0,,,57-77,1,M. Gortat makes free throw 1 of 1
5:28.0,D. Murray makes 2-pt shot from 19 ft (assist by P. Mills),2,59-77,,
5:12.0,,,59-77,,M. Scott misses 3-pt shot from 27 ft
5:09.0,Defensive rebound by P. Gasol,,59-77,,
4:54.0,D. Bertans misses 3-pt shot from 26 ft,,59-77,,
4:51.0,,,59-77,,Defensive rebound by M. Gortat
4:44.0,,,59-79,2,B. Beal makes 2-pt shot from 3 ft
4:31.0,P. Gasol misses 2-pt shot from 13 ft,,59-79,,
4:28.0,,,59-79,,Defensive rebound by M. Scott
4:10.0,,,59-79,,M. Scott misses 3-pt shot from 22 ft
4:08.0,Defensive rebound by Team,,59-79,,
4:08.0,B. Forbes enters the game for D. Green,,59-79,,
4:08.0,J. Lauvergne enters the game for P. Gasol,,59-79,,
3:57.0,P. Mills makes 2-pt shot from 9 ft,2,61-79,,
3:31.0,,,61-79,,Turnover by B. Beal (bad pass)
3:31.0,,,61-79,,K. Oubre enters the game for O. Porter
3:31.0,T. Parker enters the game for D. Murray,,61-79,,
3:16.0,,,61-79,,Personal foul by B. Beal (drawn by P. Mills)
3:07.0,D. Bertans makes 2-pt shot from 3 ft,2,63-79,,
2:55.0,Personal foul by P. Mills (drawn by B. Beal),,63-79,,
2:48.0,,,63-82,3,T. Satoransky makes 3-pt shot from 26 ft (assist by K. Oubre)
2:33.0,B. Forbes misses 2-pt shot from 6 ft,,63-82,,
2:31.0,,,63-82,,Defensive rebound by M. Gortat
2:16.0,,,63-82,,Turnover by T. Satoransky (offensive goaltending)
2:16.0,B. Paul enters the game for P. Mills,,63-82,,
2:06.0,D. Bertans misses 3-pt shot from 25 ft,,63-82,,
2:03.0,,,63-82,,Defensive rebound by T. Satoransky
1:52.0,Personal foul by B. Paul (drawn by K. Oubre),,63-82,,
1:52.0,,,63-82,,J. Meeks enters the game for B. Beal
1:37.0,,,63-84,2,K. Oubre makes 2-pt shot from 7 ft (assist by J. Meeks)
1:21.0,B. Forbes misses 2-pt shot from 4 ft,,63-84,,
1:21.0,Offensive rebound by J. Lauvergne,,63-84,,
1:17.0,J. Lauvergne misses 2-pt shot at rim,,63-84,,
1:16.0,,,63-84,,Defensive rebound by T. Satoransky
1:13.0,,,63-86,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Scott)
0:53.0,B. Forbes makes 3-pt shot from 26 ft (assist by T. Parker),3,66-86,,
0:36.0,,,66-88,2,M. Scott makes 2-pt shot from 15 ft
0:27.0,J. Lauvergne misses 2-pt shot from 4 ft,,66-88,,
0:25.0,,,66-88,,Defensive rebound by M. Gortat
0:06.0,,,66-88,,J. Meeks misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by J. Lauvergne,,66-88,,
0:00.0,B. Paul misses 3-pt shot from 31 ft,,66-88,,
0:00.0,Offensive rebound by Team,,66-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:55.0,,,66-88,,Turnover by T. Satoransky (bad pass; steal by D. Bertans)
11:46.0,B. Forbes misses 2-pt shot from 9 ft,,66-88,,
11:43.0,,,66-88,,Defensive rebound by K. Oubre
11:35.0,,,66-90,2,J. Meeks makes 2-pt shot from 20 ft (assist by M. Scott)
11:20.0,J. Lauvergne misses 2-pt shot from 10 ft (block by I. Mahinmi),,66-90,,
11:17.0,,,66-90,,Defensive rebound by M. Scott
11:15.0,,,66-90,,J. Meeks misses 2-pt shot from 8 ft
11:11.0,Defensive rebound by T. Parker,,66-90,,
11:06.0,Turnover by B. Paul (bad pass; steal by I. Mahinmi),,66-90,,
10:54.0,,,66-90,,Offensive foul by M. Scott (drawn by D. Bertans)
10:54.0,,,66-90,,Turnover by M. Scott (offensive foul)
10:43.0,B. Paul makes 2-pt shot from 10 ft (assist by B. Forbes),2,68-90,,
10:26.0,,,68-90,,M. Scott misses 2-pt shot from 9 ft
10:24.0,Defensive rebound by D. Bertans,,68-90,,
10:13.0,Shooting foul by T. Satoransky (drawn by B. Paul),,68-90,,
10:13.0,B. Paul misses free throw 1 of 2,,68-90,,
10:13.0,Offensive rebound by Team,,68-90,,
10:13.0,B. Paul misses free throw 2 of 2,,68-90,,
10:10.0,,,68-90,,Defensive rebound by I. Mahinmi
9:57.0,,,68-90,,I. Mahinmi misses 2-pt shot from 1 ft (block by D. Bertans)
9:52.0,Defensive rebound by B. Paul,,68-90,,
9:52.0,B. Paul misses 2-pt shot from 3 ft (block by T. Satoransky),,68-90,,
9:52.0,,,68-90,,Defensive rebound by M. Scott
9:49.0,Personal foul by B. Paul (drawn by M. Scott),,68-90,,
9:35.0,,,68-92,2,M. Scott makes 2-pt shot from 20 ft (assist by J. Meeks)
9:21.0,,,68-92,,Personal foul by M. Scott (drawn by J. Lauvergne)
9:14.0,D. Bertans misses 3-pt shot from 26 ft,,68-92,,
9:10.0,Offensive rebound by Team,,68-92,,
9:01.0,T. Parker makes 2-pt shot from 19 ft,2,70-92,,
8:45.0,,,70-95,3,J. Meeks makes 3-pt shot from 26 ft (assist by I. Mahinmi)
8:21.0,T. Parker makes 3-pt shot from 24 ft (assist by B. Forbes),3,73-95,,
8:04.0,,,73-95,,M. Scott misses 2-pt shot from 11 ft
8:02.0,,,73-95,,Offensive rebound by I. Mahinmi
8:01.0,,,73-97,2,I. Mahinmi makes 2-pt shot from 7 ft
7:49.0,Shooting foul by T. Satoransky (drawn by T. Parker),,73-97,,
7:49.0,T. Parker makes free throw 1 of 2,1,74-97,,
7:49.0,,,74-97,,R. Sessions enters the game for T. Satoransky
7:49.0,T. Parker makes free throw 2 of 2,1,75-97,,
7:41.0,Personal foul by D. Bertans (drawn by I. Mahinmi),,75-97,,
7:28.0,,,75-99,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by R. Sessions)
7:18.0,,,75-99,,Personal foul by R. Sessions (drawn by T. Parker)
7:07.0,J. Lauvergne makes 2-pt shot from 8 ft (assist by T. Parker),2,77-99,,
6:55.0,,,77-99,,K. Oubre misses 3-pt shot from 28 ft
6:53.0,Defensive rebound by J. Lauvergne,,77-99,,
6:45.0,T. Parker misses 2-pt shot from 21 ft (block by K. Oubre),,77-99,,
6:40.0,,,77-99,,Defensive rebound by J. Meeks
6:37.0,,,77-99,,Shooting foul by D. Bertans (drawn by K. Oubre)
6:37.0,,,77-99,,Washington full timeout
6:37.0,K. Anderson enters the game for T. Parker,,77-99,,
6:37.0,,,77-100,1,K. Oubre makes free throw 1 of 2
6:37.0,,,77-101,1,K. Oubre makes free throw 2 of 2
6:30.0,,,77-101,,Personal foul by K. Oubre (drawn by B. Forbes)
6:30.0,B. Forbes misses free throw 1 of 2,,77-101,,
6:30.0,Offensive rebound by Team,,77-101,,
6:30.0,,,77-101,,J. Smith enters the game for M. Scott
6:30.0,B. Forbes makes free throw 2 of 2,1,78-101,,
6:09.0,,,78-101,,J. Smith misses 2-pt shot from 17 ft
6:05.0,Defensive rebound by B. Forbes,,78-101,,
5:59.0,Shooting foul by I. Mahinmi (drawn by B. Forbes),,78-101,,
5:59.0,B. Forbes misses free throw 1 of 2,,78-101,,
5:59.0,Offensive rebound by Team,,78-101,,
5:59.0,B. Forbes makes free throw 2 of 2,1,79-101,,
5:40.0,,,79-103,2,R. Sessions makes 2-pt shot from 2 ft (assist by I. Mahinmi)
5:26.0,B. Forbes misses 2-pt shot from 5 ft,,79-103,,
5:22.0,Offensive rebound by K. Anderson,,79-103,,
5:22.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by K. Anderson),2,81-103,,
5:06.0,,,81-103,,Technical foul by K. Oubre
5:06.0,B. Forbes makes technical free throw,1,82-103,,
5:06.0,Jump ball: J. Smith vs. J. Lauvergne (D. Bertans gains possession),,,,Jump ball: J. Smith vs. J. Lauvergne (D. Bertans gains possession)
5:06.0,,,82-103,,Turnover by R. Sessions (bad pass)
4:59.0,D. Bertans makes 3-pt shot from 27 ft (assist by B. Forbes),3,85-103,,
4:45.0,,,85-103,,Shooting foul by J. Lauvergne (drawn by J. Smith)
4:45.0,,,85-104,1,J. Smith makes free throw 1 of 2
4:45.0,,,85-105,1,J. Smith makes free throw 2 of 2
4:39.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by B. Forbes),2,87-105,,
4:24.0,,,87-107,2,J. Smith makes 2-pt shot from 11 ft (assist by R. Sessions)
4:19.0,Shooting foul by K. Oubre (drawn by K. Anderson),,87-107,,
4:19.0,K. Anderson misses free throw 1 of 2,,87-107,,
4:19.0,Offensive rebound by Team,,87-107,,
