time,Utah,pts.away,score,pts.home,Washington
7:11.0,R. Rubio makes 2-pt shot from 14 ft (assist by J. Johnson),2,11-10,,
6:46.0,,,11-10,,O. Porter misses 2-pt shot from 10 ft
6:43.0,Defensive rebound by E. Udoh,,11-10,,
6:23.0,J. Ingles misses 2-pt shot from 21 ft,,11-10,,
6:20.0,,,11-10,,Defensive rebound by M. Morris
6:13.0,,,11-12,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
5:57.0,E. Udoh misses 2-pt shot from 12 ft,,11-12,,
5:55.0,,,11-12,,Defensive rebound by M. Gortat
5:52.0,,,11-15,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
5:29.0,R. Rubio makes 2-pt shot from 17 ft,2,13-15,,
5:07.0,,,13-17,2,O. Porter makes 2-pt shot from 2 ft (assist by M. Morris)
4:52.0,R. Rubio makes 2-pt shot from 15 ft,2,15-17,,
4:30.0,,,15-19,2,O. Porter makes 2-pt shot from 3 ft (assist by B. Beal)
4:14.0,J. Johnson misses 3-pt shot from 27 ft,,15-19,,
4:14.0,,,15-19,,Defensive rebound by B. Beal
4:06.0,,,15-22,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:41.0,R. Rubio makes 3-pt shot from 22 ft,3,18-22,,
3:25.0,,,18-24,2,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall)
3:01.0,J. Johnson misses 2-pt shot from 14 ft,,18-24,,
3:00.0,,,18-24,,Defensive rebound by M. Morris
2:53.0,,,18-27,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
2:36.0,R. Rubio misses 2-pt shot from 15 ft,,18-27,,
2:33.0,,,18-27,,Defensive rebound by M. Gortat
2:24.0,,,18-27,,Washington full timeout
2:24.0,,,18-27,,K. Oubre enters the game for B. Beal
2:24.0,,,18-27,,J. Meeks enters the game for M. Morris
2:24.0,R. Hood enters the game for E. Udoh,,18-27,,
2:24.0,J. Jerebko enters the game for D. Mitchell,,18-27,,
2:17.0,,,18-27,,O. Porter misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by R. Hood,,18-27,,
1:52.0,J. Ingles makes 2-pt shot from 20 ft (assist by R. Hood),2,20-27,,
1:35.0,,,20-30,3,J. Wall makes 3-pt shot from 26 ft
1:16.0,R. Hood misses 3-pt shot from 26 ft,,20-30,,
1:13.0,,,20-30,,Defensive rebound by K. Oubre
1:05.0,,,20-32,2,J. Wall makes 2-pt shot from 1 ft
0:51.0,J. Johnson makes 2-pt shot from 6 ft,2,22-32,,
0:42.0,,,22-32,,J. Wall misses 2-pt shot from 19 ft
0:39.0,Defensive rebound by R. Hood,,22-32,,
0:32.0,R. Rubio makes 3-pt shot from 23 ft (assist by J. Johnson),3,25-32,,
0:07.0,,,25-32,,M. Gortat misses 2-pt shot from 14 ft
0:04.0,Defensive rebound by R. Hood,,25-32,,
0:00.0,R. Hood misses 3-pt shot from 25 ft,,25-32,,
0:00.0,Offensive rebound by Team,,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,R. Hood makes 2-pt shot from 17 ft (assist by J. Jerebko),2,27-32,,
11:27.0,,,27-32,,Turnover by T. Satoransky (bad pass; steal by J. Jerebko)
11:18.0,D. Mitchell makes 2-pt shot from 1 ft,2,29-32,,
11:02.0,,,29-35,3,K. Oubre makes 3-pt shot from 27 ft (assist by T. Satoransky)
10:42.0,Shooting foul by I. Mahinmi (drawn by J. Jerebko),,29-35,,
10:42.0,J. Jerebko makes free throw 1 of 2,1,30-35,,
10:42.0,J. Jerebko misses free throw 2 of 2,,30-35,,
10:38.0,,,30-35,,Defensive rebound by I. Mahinmi
10:28.0,,,30-35,,J. Meeks misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by J. Jerebko,,30-35,,
10:18.0,Turnover by R. Hood (lost ball; steal by T. Satoransky),,30-35,,
10:15.0,Personal take foul by A. Burks (drawn by T. Satoransky),,30-35,,
10:14.0,Personal foul by D. Mitchell (drawn by J. Meeks),,30-35,,
10:14.0,R. Rubio enters the game for D. Mitchell,,30-35,,
10:03.0,,,30-35,,Turnover by I. Mahinmi (bad pass; steal by A. Burks)
9:54.0,A. Burks misses 3-pt shot from 26 ft,,30-35,,
9:51.0,,,30-35,,Defensive rebound by I. Mahinmi
9:46.0,,,30-35,,J. Meeks misses 3-pt shot from 26 ft
9:43.0,,,30-35,,Offensive rebound by I. Mahinmi
9:40.0,,,30-35,,K. Oubre misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by R. Hood,,30-35,,
9:29.0,J. Johnson makes 3-pt shot from 22 ft (assist by R. Hood),3,33-35,,
9:28.0,,,33-35,,Washington full timeout
9:28.0,,,33-35,,B. Beal enters the game for I. Mahinmi
9:28.0,T. Sefolosha enters the game for J. Johnson,,33-35,,
9:08.0,,,33-37,2,M. Scott makes 2-pt shot from 3 ft (assist by B. Beal)
8:58.0,,,33-37,,Personal foul by K. Oubre (drawn by T. Sefolosha)
8:48.0,R. Hood misses 2-pt shot from 9 ft,,33-37,,
8:46.0,,,33-37,,Defensive rebound by K. Oubre
8:28.0,,,33-37,,B. Beal misses 2-pt shot from 13 ft
8:26.0,Defensive rebound by R. Hood,,33-37,,
8:13.0,A. Burks misses 2-pt shot from 8 ft,,33-37,,
8:11.0,,,33-37,,Defensive rebound by T. Satoransky
8:07.0,,,33-39,2,T. Satoransky makes 2-pt shot from 3 ft
7:46.0,R. Rubio misses 2-pt shot from 16 ft,,33-39,,
7:43.0,,,33-39,,Defensive rebound by B. Beal
7:37.0,,,33-41,2,B. Beal makes 2-pt shot from 2 ft
7:12.0,Turnover by J. Jerebko (step out of bounds),,33-41,,
7:12.0,E. Udoh enters the game for J. Jerebko,,33-41,,
7:12.0,R. O'Neale enters the game for A. Burks,,33-41,,
7:03.0,,,33-43,2,B. Beal makes 2-pt shot from 18 ft (assist by T. Satoransky)
6:38.0,R. Hood makes 3-pt shot from 25 ft,3,36-43,,
6:20.0,,,36-43,,Turnover by K. Oubre (out of bounds lost ball)
6:20.0,,,36-43,,J. Wall enters the game for T. Satoransky
6:20.0,J. Ingles enters the game for R. Hood,,36-43,,
6:05.0,R. Rubio misses 3-pt shot from 25 ft,,36-43,,
6:02.0,,,36-43,,Defensive rebound by K. Oubre
5:56.0,,,36-43,,Turnover by J. Wall (bad pass; steal by R. O'Neale)
5:51.0,R. O'Neale makes 2-pt shot from 1 ft,2,38-43,,
5:38.0,,,38-43,,Shooting foul by E. Udoh (drawn by B. Beal)
5:38.0,,,38-44,1,B. Beal makes free throw 1 of 2
5:38.0,,,38-44,,M. Morris enters the game for M. Scott
5:38.0,,,38-45,1,B. Beal makes free throw 2 of 2
5:27.0,R. O'Neale makes 2-pt shot from 1 ft (assist by R. Rubio),2,40-45,,
5:10.0,,,40-45,,Turnover by J. Wall (bad pass; steal by T. Sefolosha)
5:07.0,T. Sefolosha makes 2-pt shot from 1 ft,2,42-45,,
4:51.0,,,42-45,,B. Beal misses 2-pt shot from 5 ft
4:50.0,,,42-45,,Offensive rebound by Team
4:50.0,,,42-45,,O. Porter enters the game for J. Meeks
4:43.0,,,42-45,,J. Wall misses 3-pt shot from 27 ft
4:39.0,Defensive rebound by E. Udoh,,42-45,,
4:26.0,E. Udoh misses 2-pt shot from 2 ft,,42-45,,
4:26.0,Offensive rebound by E. Udoh,,42-45,,
4:26.0,E. Udoh misses 2-pt shot from 2 ft,,42-45,,
4:26.0,,,42-45,,Defensive rebound by O. Porter
4:13.0,,,42-47,2,B. Beal makes 2-pt shot from 13 ft
3:52.0,,,42-47,,Personal foul by O. Porter (drawn by R. O'Neale)
3:52.0,R. Hood enters the game for T. Sefolosha,,42-47,,
3:52.0,J. Johnson enters the game for R. O'Neale,,42-47,,
3:37.0,J. Johnson misses 2-pt shot from 20 ft,,42-47,,
3:37.0,,,42-47,,Defensive rebound by Team
3:37.0,Turnover by Team (shot clock),,42-47,,
3:27.0,,,42-47,,Offensive foul by M. Morris (drawn by E. Udoh)
3:27.0,,,42-47,,Turnover by M. Morris (offensive foul)
3:27.0,Utah full timeout,,42-47,,
3:10.0,R. Rubio misses 3-pt shot from 27 ft,,42-47,,
3:08.0,,,42-47,,Defensive rebound by O. Porter
2:54.0,,,42-47,,J. Wall misses 2-pt shot from 17 ft
2:54.0,Defensive rebound by J. Ingles,,42-47,,
2:45.0,R. Hood makes 2-pt shot from 8 ft (assist by J. Ingles),2,44-47,,
2:20.0,,,44-47,,Shooting foul by E. Udoh (drawn by B. Beal)
2:20.0,,,44-48,1,B. Beal makes free throw 1 of 2
2:20.0,,,44-48,,M. Gortat enters the game for K. Oubre
2:20.0,,,44-48,,B. Beal misses free throw 2 of 2
2:18.0,Defensive rebound by E. Udoh,,44-48,,
2:00.0,J. Johnson misses 2-pt shot from 12 ft,,44-48,,
1:58.0,,,44-48,,Defensive rebound by M. Morris
1:52.0,,,44-48,,J. Wall misses 2-pt shot from 2 ft
1:52.0,,,44-48,,Offensive rebound by Team
1:44.0,,,44-48,,J. Wall misses 2-pt shot from 16 ft
1:40.0,Defensive rebound by R. Hood,,44-48,,
1:34.0,R. Rubio misses 2-pt shot from 16 ft,,44-48,,
1:34.0,,,44-48,,Defensive rebound by M. Gortat
1:13.0,,,44-48,,M. Morris misses 3-pt shot from 24 ft
1:11.0,,,44-48,,Offensive rebound by O. Porter
1:11.0,,,44-48,,Turnover by O. Porter (step out of bounds)
0:51.0,R. Hood misses 2-pt shot from 14 ft,,44-48,,
0:49.0,,,44-48,,Defensive rebound by M. Gortat
0:45.0,,,44-50,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Gortat)
0:35.0,R. Hood misses 3-pt shot from 24 ft,,44-50,,
0:35.0,,,44-50,,Defensive rebound by M. Gortat
0:22.0,,,44-50,,J. Wall misses 3-pt shot from 25 ft
0:19.0,,,44-50,,Offensive rebound by M. Morris
0:18.0,,,44-50,,M. Gortat misses 2-pt shot from 10 ft
0:18.0,Defensive rebound by J. Johnson,,44-50,,
0:02.0,R. Hood misses 3-pt shot from 26 ft,,44-50,,
0:02.0,Offensive rebound by E. Udoh,,44-50,,
0:00.0,E. Udoh makes 2-pt shot at rim,2,46-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,46-50,,B. Beal misses technical free throw
11:47.0,J. Jerebko makes 2-pt shot at rim (assist by E. Udoh),2,48-50,,
11:23.0,,,48-52,2,J. Wall makes 2-pt shot at rim (assist by M. Morris)
11:02.0,E. Udoh makes 2-pt shot from 10 ft,2,50-52,,
10:45.0,,,50-54,2,M. Morris makes 2-pt shot from 10 ft (assist by O. Porter)
10:33.0,R. Rubio misses 2-pt shot from 17 ft,,50-54,,
10:30.0,,,50-54,,Defensive rebound by J. Wall
10:12.0,,,50-56,2,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall)
9:58.0,R. Rubio makes 2-pt shot from 15 ft,2,52-56,,
9:40.0,,,52-56,,B. Beal misses 3-pt shot from 25 ft
9:38.0,,,52-56,,Offensive rebound by J. Wall
9:32.0,,,52-56,,J. Wall misses 2-pt shot from 9 ft
9:29.0,,,52-56,,Offensive rebound by O. Porter
9:29.0,Personal foul by J. Jerebko (drawn by O. Porter),,52-56,,
9:28.0,,,52-56,,Offensive foul by M. Morris (drawn by J. Jerebko)
9:28.0,,,52-56,,Turnover by M. Morris (offensive foul)
9:28.0,J. Johnson enters the game for J. Jerebko,,52-56,,
9:10.0,Turnover by J. Johnson (bad pass; steal by J. Wall),,52-56,,
9:06.0,,,52-58,2,J. Wall makes 2-pt shot at rim
8:58.0,Turnover by R. Rubio (lost ball; steal by O. Porter),,52-58,,
8:53.0,,,52-60,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
8:52.0,Utah full timeout,,52-60,,
8:42.0,D. Mitchell misses 3-pt shot from 27 ft,,52-60,,
8:36.0,Offensive rebound by D. Mitchell,,52-60,,
8:29.0,J. Ingles misses 2-pt shot at rim,,52-60,,
8:24.0,Offensive rebound by E. Udoh,,52-60,,
8:24.0,E. Udoh makes 2-pt shot at rim,2,54-60,,
8:10.0,,,54-63,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
7:56.0,J. Johnson makes 3-pt shot from 28 ft (assist by D. Mitchell),3,57-63,,
7:32.0,,,57-66,3,M. Morris makes 3-pt shot from 22 ft (assist by B. Beal)
7:17.0,D. Mitchell makes 3-pt shot from 26 ft (assist by J. Johnson),3,60-66,,
7:05.0,,,60-66,,Turnover by B. Beal (lost ball; steal by E. Udoh)
6:59.0,E. Udoh makes 2-pt shot from 2 ft (assist by R. Rubio),2,62-66,,
6:59.0,Shooting foul by O. Porter (drawn by E. Udoh),,62-66,,
6:59.0,E. Udoh makes free throw 1 of 1,1,63-66,,
6:48.0,,,63-66,,Turnover by J. Wall (bad pass; steal by J. Johnson)
6:38.0,J. Johnson makes 2-pt shot from 14 ft,2,65-66,,
6:25.0,,,65-66,,Offensive foul by M. Morris (drawn by D. Mitchell)
6:25.0,,,65-66,,Turnover by M. Morris (offensive foul)
6:02.0,D. Mitchell misses 2-pt shot from 20 ft,,65-66,,
5:58.0,,,65-66,,Defensive rebound by O. Porter
5:47.0,,,65-68,2,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall)
5:24.0,R. Rubio misses 2-pt shot from 19 ft,,65-68,,
5:22.0,Offensive rebound by Team,,65-68,,
5:22.0,R. Hood enters the game for R. Rubio,,65-68,,
5:16.0,D. Mitchell makes 2-pt shot from 2 ft,2,67-68,,
5:03.0,,,67-70,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:42.0,R. Hood misses 2-pt shot from 17 ft,,67-70,,
4:40.0,,,67-70,,Defensive rebound by M. Morris
4:39.0,Personal foul by J. Ingles (drawn by J. Wall),,67-70,,
4:30.0,,,67-72,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
4:19.0,D. Mitchell misses 2-pt shot from 4 ft,,67-72,,
4:17.0,Offensive rebound by E. Udoh,,67-72,,
4:17.0,E. Udoh makes 2-pt shot from 3 ft,2,69-72,,
4:17.0,Shooting foul by M. Gortat (drawn by E. Udoh),,69-72,,
4:17.0,,,69-72,,K. Oubre enters the game for M. Morris
4:17.0,R. O'Neale enters the game for J. Ingles,,69-72,,
4:17.0,E. Udoh makes free throw 1 of 1,1,70-72,,
4:06.0,,,70-72,,J. Wall misses 2-pt shot from 1 ft
4:04.0,Defensive rebound by R. O'Neale,,70-72,,
4:00.0,R. O'Neale makes 2-pt shot at rim,2,72-72,,
3:58.0,,,72-72,,Washington full timeout
3:40.0,,,72-74,2,J. Wall makes 2-pt shot from 16 ft
3:23.0,D. Mitchell makes 2-pt shot from 2 ft (assist by R. O'Neale),2,74-74,,
3:04.0,,,74-74,,Turnover by B. Beal (bad pass; steal by E. Udoh)
2:48.0,Turnover by R. Hood (lost ball; steal by O. Porter),,74-74,,
2:46.0,,,74-74,,Shooting foul by D. Mitchell (drawn by J. Wall)
2:46.0,,,74-74,,J. Wall misses free throw 1 of 2
2:46.0,,,74-74,,Offensive rebound by Team
2:46.0,,,74-74,,J. Smith enters the game for M. Gortat
2:46.0,J. Jerebko enters the game for E. Udoh,,74-74,,
2:46.0,,,74-74,,J. Wall misses free throw 2 of 2
2:42.0,Defensive rebound by J. Johnson,,74-74,,
2:29.0,R. Hood misses 2-pt shot from 7 ft,,74-74,,
2:27.0,,,74-74,,Defensive rebound by B. Beal
2:21.0,Technical foul by R. Hood,,74-74,,
2:21.0,,,74-75,1,B. Beal makes technical free throw
2:21.0,,,74-75,,M. Scott enters the game for O. Porter
2:21.0,R. Rubio enters the game for R. Hood,,74-75,,
2:21.0,J. Ingles enters the game for D. Mitchell,,74-75,,
2:12.0,,,74-75,,Turnover by B. Beal (lost ball; steal by R. Rubio)
2:12.0,,,74-75,,Personal foul by B. Beal (drawn by R. Rubio)
1:59.0,R. Rubio makes 2-pt shot from 2 ft,2,76-75,,
1:50.0,,,76-75,,Turnover by J. Wall (bad pass)
1:50.0,,,76-75,,J. Meeks enters the game for B. Beal
1:39.0,J. Johnson makes 3-pt shot from 26 ft (assist by R. Rubio),3,79-75,,
1:25.0,,,79-75,,Turnover by K. Oubre (lost ball; steal by J. Johnson)
1:17.0,J. Jerebko makes 2-pt shot at rim (assist by J. Ingles),2,81-75,,
0:57.0,,,81-75,,Turnover by M. Scott (lost ball; steal by R. Rubio)
0:52.0,J. Jerebko misses 2-pt shot from 2 ft (block by J. Wall),,81-75,,
0:51.0,Offensive rebound by R. Rubio,,81-75,,
0:51.0,R. Rubio makes 2-pt shot from 2 ft,2,83-75,,
0:42.0,,,83-75,,J. Wall misses 2-pt shot from 13 ft
0:42.0,,,83-75,,Offensive rebound by J. Meeks
0:38.0,,,83-75,,J. Meeks misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by R. O'Neale,,83-75,,
0:31.0,J. Ingles misses 3-pt shot from 26 ft,,83-75,,
0:31.0,Offensive rebound by R. O'Neale,,83-75,,
0:06.0,J. Jerebko misses 3-pt shot from 24 ft,,83-75,,
0:03.0,,,83-75,,Defensive rebound by J. Wall
0:03.0,Personal foul by R. O'Neale (drawn by J. Wall),,83-75,,
0:00.0,,,83-77,2,J. Wall makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-77,,J. Smith misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by J. Ingles,,83-77,,
11:39.0,J. Jerebko makes 2-pt shot from 1 ft (assist by J. Johnson),2,85-77,,
11:25.0,,,85-79,2,J. Wall makes 2-pt shot from 2 ft
11:11.0,J. Ingles misses 3-pt shot from 22 ft,,85-79,,
11:07.0,,,85-79,,Defensive rebound by J. Meeks
11:03.0,,,85-79,,J. Wall misses 2-pt shot from 5 ft
11:00.0,Defensive rebound by R. O'Neale,,85-79,,
10:47.0,J. Ingles misses 3-pt shot from 26 ft,,85-79,,
10:43.0,,,85-79,,Defensive rebound by M. Scott
10:38.0,,,85-79,,J. Meeks misses 3-pt shot from 22 ft
10:35.0,Defensive rebound by J. Ingles,,85-79,,
10:30.0,R. O'Neale makes 3-pt shot from 23 ft (assist by J. Ingles),3,88-79,,
10:28.0,,,88-79,,Washington full timeout
10:28.0,,,88-79,,B. Beal enters the game for K. Oubre
10:28.0,,,88-79,,O. Porter enters the game for J. Smith
10:21.0,,,88-79,,Shooting foul by J. Jerebko (drawn by J. Wall)
10:21.0,,,88-80,1,J. Wall makes free throw 1 of 2
10:21.0,,,88-81,1,J. Wall makes free throw 2 of 2
10:06.0,R. Rubio misses 2-pt shot from 3 ft,,88-81,,
10:05.0,Offensive rebound by J. Jerebko,,88-81,,
10:01.0,Turnover by J. Ingles (bad pass; steal by O. Porter),,88-81,,
9:58.0,Personal foul by R. Rubio (drawn by J. Wall),,88-81,,
9:58.0,D. Mitchell enters the game for J. Ingles,,88-81,,
9:58.0,,,88-81,,Offensive foul by O. Porter (drawn by J. Johnson)
9:58.0,,,88-81,,Turnover by O. Porter (offensive foul)
9:41.0,Shooting foul by B. Beal (drawn by J. Jerebko),,88-81,,
9:41.0,J. Jerebko makes free throw 1 of 2,1,89-81,,
9:41.0,J. Jerebko makes free throw 2 of 2,1,90-81,,
9:24.0,,,90-81,,B. Beal misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by J. Jerebko,,90-81,,
9:13.0,Shooting foul by M. Scott (drawn by R. O'Neale),,90-81,,
9:13.0,R. O'Neale misses free throw 1 of 2,,90-81,,
9:13.0,Offensive rebound by Team,,90-81,,
9:13.0,T. Sefolosha enters the game for J. Johnson,,90-81,,
9:13.0,R. O'Neale makes free throw 2 of 2,1,91-81,,
9:07.0,Personal foul by R. Rubio (drawn by J. Wall),,91-81,,
8:57.0,,,91-83,2,B. Beal makes 2-pt shot from 17 ft
8:31.0,D. Mitchell misses 2-pt shot from 7 ft,,91-83,,
8:29.0,,,91-83,,Defensive rebound by M. Scott
8:29.0,Personal foul by R. Rubio (drawn by J. Wall),,91-83,,
8:16.0,,,91-83,,B. Beal misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by D. Mitchell,,91-83,,
8:10.0,J. Jerebko misses 2-pt shot from 1 ft,,91-83,,
8:08.0,Offensive rebound by J. Jerebko,,91-83,,
7:52.0,Turnover by R. Rubio (out of bounds lost ball),,91-83,,
7:52.0,J. Ingles enters the game for R. Rubio,,91-83,,
7:44.0,,,91-85,2,J. Wall makes 2-pt shot at rim
7:34.0,Utah full timeout,,91-85,,
7:34.0,,,91-85,,M. Morris enters the game for M. Scott
7:34.0,E. Udoh enters the game for J. Jerebko,,91-85,,
7:20.0,J. Ingles misses 2-pt shot from 12 ft,,91-85,,
7:18.0,,,91-85,,Defensive rebound by M. Morris
6:58.0,,,91-85,,O. Porter misses 3-pt shot from 28 ft
6:54.0,Defensive rebound by D. Mitchell,,91-85,,
6:50.0,Turnover by D. Mitchell (bad pass; steal by M. Morris),,91-85,,
6:46.0,Personal foul by T. Sefolosha (drawn by O. Porter),,91-85,,
6:46.0,,,91-86,1,O. Porter makes free throw 1 of 2
6:46.0,,,91-86,,K. Oubre enters the game for J. Meeks
6:46.0,,,91-87,1,O. Porter makes free throw 2 of 2
6:31.0,J. Ingles misses 3-pt shot from 23 ft,,91-87,,
6:28.0,,,91-87,,Defensive rebound by O. Porter
6:24.0,,,91-87,,B. Beal misses 3-pt shot from 25 ft
6:18.0,,,91-87,,Offensive rebound by K. Oubre
6:18.0,,,91-89,2,K. Oubre makes 2-pt shot at rim
6:05.0,J. Ingles makes 2-pt shot from 1 ft (assist by E. Udoh),2,93-89,,
6:05.0,Shooting foul by K. Oubre (drawn by J. Ingles),,93-89,,
6:05.0,J. Johnson enters the game for T. Sefolosha,,93-89,,
6:05.0,R. Rubio enters the game for R. O'Neale,,93-89,,
6:05.0,J. Ingles makes free throw 1 of 1,1,94-89,,
5:56.0,,,94-89,,Turnover by J. Wall (bad pass; steal by E. Udoh)
5:36.0,Turnover by J. Johnson (lost ball; steal by J. Wall),,94-89,,
5:32.0,,,94-89,,Shooting foul by E. Udoh (drawn by K. Oubre)
5:32.0,,,94-90,1,K. Oubre makes free throw 1 of 2
5:32.0,,,94-91,1,K. Oubre makes free throw 2 of 2
5:19.0,D. Mitchell makes 2-pt shot from 7 ft (assist by J. Ingles),2,96-91,,
5:03.0,,,96-91,,O. Porter misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by J. Johnson,,96-91,,
4:53.0,D. Mitchell misses 3-pt shot from 23 ft,,96-91,,
4:49.0,,,96-91,,Defensive rebound by B. Beal
4:30.0,,,96-91,,Turnover by J. Wall (bad pass; steal by R. Rubio)
4:26.0,Utah full timeout,,96-91,,
4:21.0,D. Mitchell misses 2-pt shot from 10 ft,,96-91,,
4:15.0,Offensive rebound by E. Udoh,,96-91,,
4:06.0,D. Mitchell misses 3-pt shot from 32 ft,,96-91,,
4:06.0,,,96-91,,Defensive rebound by K. Oubre
3:46.0,,,96-91,,Turnover by B. Beal (bad pass; steal by J. Johnson)
3:41.0,D. Mitchell makes 2-pt shot from 2 ft,2,98-91,,
3:34.0,Shooting block foul by R. Rubio (drawn by J. Wall),,98-91,,
3:34.0,,,98-92,1,J. Wall makes free throw 1 of 2
3:34.0,,,98-92,,M. Gortat enters the game for M. Morris
3:34.0,,,98-93,1,J. Wall makes free throw 2 of 2
3:14.0,Turnover by R. Rubio (out of bounds lost ball),,98-93,,
3:06.0,,,98-93,,J. Wall misses 2-pt shot from 1 ft (block by E. Udoh)
3:06.0,,,98-93,,Offensive rebound by Team
2:58.0,,,98-96,3,J. Wall makes 3-pt shot from 27 ft (assist by M. Gortat)
2:39.0,Turnover by D. Mitchell (lost ball; steal by J. Wall),,98-96,,
2:31.0,,,98-99,3,K. Oubre makes 3-pt shot from 22 ft (assist by B. Beal)
2:13.0,Utah full timeout,,98-99,,
2:04.0,D. Mitchell misses 3-pt shot from 29 ft,,98-99,,
2:00.0,,,98-99,,Defensive rebound by K. Oubre
1:45.0,,,98-99,,B. Beal misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by D. Mitchell,,98-99,,
1:39.0,R. Rubio makes 3-pt shot from 24 ft (assist by D. Mitchell),3,101-99,,
1:26.0,,,101-99,,B. Beal misses 2-pt shot at rim
1:22.0,,,101-99,,Offensive rebound by M. Gortat
1:22.0,,,101-99,,M. Gortat misses 2-pt shot at rim
1:22.0,,,101-99,,Offensive rebound by J. Wall
1:22.0,,,101-102,3,J. Wall makes 3-pt shot from 26 ft
1:09.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,104-102,,
1:08.0,,,104-102,,Washington full timeout
0:57.0,,,104-102,,J. Wall misses 3-pt shot from 25 ft (block by D. Mitchell)
0:51.0,Defensive rebound by J. Ingles,,104-102,,
0:42.0,,,104-102,,Personal foul by K. Oubre (drawn by D. Mitchell)
0:37.0,D. Mitchell misses 3-pt shot from 27 ft,,104-102,,
0:33.0,,,104-102,,Defensive rebound by J. Wall
