time,Utah,pts.away,score,pts.home,New Orleans
6:56.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,17-8,,
6:48.0,,,17-8,,J. Holiday misses 2-pt shot from 10 ft (block by J. Ingles)
6:48.0,,,17-8,,Offensive rebound by Team
6:48.0,,,17-8,,New Orleans full timeout
6:36.0,,,17-8,,Turnover by N. Mirotic (bad pass; steal by J. Ingles)
6:33.0,Shooting foul by J. Holiday (drawn by R. Rubio),,17-8,,
6:33.0,R. Rubio misses free throw 1 of 2,,17-8,,
6:33.0,Offensive rebound by Team,,17-8,,
6:33.0,R. Rubio makes free throw 2 of 2,1,18-8,,
6:23.0,,,18-8,,Turnover by E. Moore (out of bounds lost ball)
6:03.0,D. Favors makes 2-pt shot from 5 ft (assist by R. Rubio),2,20-8,,
5:39.0,,,20-8,,R. Rondo misses 2-pt shot from 1 ft
5:38.0,Defensive rebound by R. Rubio,,20-8,,
5:33.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio),3,23-8,,
5:30.0,,,23-8,,New Orleans full timeout
5:30.0,,,23-8,,D. Miller enters the game for J. Holiday
5:30.0,J. Jerebko enters the game for D. Favors,,23-8,,
5:14.0,,,23-10,2,A. Davis makes 2-pt shot from 9 ft
4:52.0,R. Rubio misses 2-pt shot from 17 ft,,23-10,,
4:49.0,,,23-10,,Defensive rebound by N. Mirotic
4:36.0,,,23-12,2,A. Davis makes 2-pt shot from 15 ft (assist by D. Miller)
4:22.0,Turnover by R. Rubio (bad pass; steal by A. Davis),,23-12,,
4:17.0,,,23-14,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
3:55.0,Turnover by R. Rubio (bad pass; steal by N. Mirotic),,23-14,,
3:47.0,,,23-16,2,A. Davis makes 2-pt shot from 18 ft (assist by N. Mirotic)
3:30.0,R. Rubio misses 2-pt shot from 2 ft,,23-16,,
3:30.0,,,23-16,,Defensive rebound by A. Davis
3:29.0,Loose ball foul by R. Gobert (drawn by A. Davis),,23-16,,
3:29.0,R. Hood enters the game for J. Ingles,,23-16,,
3:29.0,R. O'Neale enters the game for D. Mitchell,,23-16,,
3:14.0,,,23-18,2,A. Davis makes 2-pt shot from 16 ft (assist by D. Miller)
3:14.0,Utah full timeout,,23-18,,
3:14.0,,,23-18,,C. Diallo enters the game for N. Mirotic
3:05.0,R. Rubio misses 2-pt shot from 17 ft,,23-18,,
3:00.0,,,23-18,,Defensive rebound by C. Diallo
2:48.0,,,23-18,,A. Davis misses 2-pt shot from 11 ft
2:44.0,Defensive rebound by R. O'Neale,,23-18,,
2:37.0,R. O'Neale makes 2-pt shot from 2 ft,2,25-18,,
2:25.0,,,25-18,,A. Davis misses 2-pt shot from 13 ft
2:22.0,Defensive rebound by R. Gobert,,25-18,,
2:08.0,J. Jerebko misses 2-pt shot from 20 ft,,25-18,,
2:06.0,Offensive rebound by R. Gobert,,25-18,,
2:05.0,Turnover by R. Gobert (lost ball; steal by D. Miller),,25-18,,
1:54.0,,,25-20,2,C. Diallo makes 2-pt shot from 10 ft (assist by D. Miller)
1:39.0,Shooting foul by R. Rondo (drawn by R. Rubio),,25-20,,
1:39.0,R. Rubio makes free throw 1 of 2,1,26-20,,
1:39.0,,,26-20,,E. Okafor enters the game for A. Davis
1:39.0,J. Johnson enters the game for J. Jerebko,,26-20,,
1:39.0,D. Favors enters the game for R. Gobert,,26-20,,
1:39.0,R. Rubio makes free throw 2 of 2,1,27-20,,
1:39.0,,,27-20,,J. Holiday enters the game for R. Rondo
1:31.0,R. Neto enters the game for R. Rubio,,27-20,,
1:21.0,,,27-20,,E. Moore misses 2-pt shot from 2 ft
1:21.0,,,27-20,,Offensive rebound by E. Okafor
1:13.0,,,27-20,,E. Okafor misses 2-pt shot at rim
1:13.0,,,27-20,,Offensive rebound by D. Miller
1:09.0,,,27-22,2,J. Holiday makes 2-pt shot from 7 ft
0:56.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,29-22,,
0:42.0,,,29-22,,C. Diallo misses 2-pt shot from 14 ft
0:38.0,Defensive rebound by D. Favors,,29-22,,
0:33.0,R. Hood makes 3-pt shot from 26 ft,3,32-22,,
0:17.0,,,32-22,,Shooting foul by D. Favors (drawn by E. Okafor)
0:17.0,,,32-22,,E. Okafor misses free throw 1 of 2
0:17.0,,,32-22,,Offensive rebound by Team
0:17.0,,,32-22,,I. Clark enters the game for E. Moore
0:17.0,,,32-23,1,E. Okafor makes free throw 2 of 2
0:01.0,R. Hood makes 2-pt shot from 23 ft,2,37-23,,
0:00.0,,,37-23,,J. Holiday misses 3-pt shot from 69 ft
0:00.0,,,37-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors),3,35-23,,
11:37.0,,,37-25,2,D. Miller makes 2-pt shot from 16 ft (assist by I. Clark)
11:25.0,R. Hood makes 2-pt shot from 17 ft,2,39-25,,
11:12.0,,,39-27,2,C. Diallo makes 2-pt shot from 2 ft (assist by D. Miller)
10:58.0,Turnover by D. Favors (bad pass; steal by C. Diallo),,39-27,,
10:54.0,Personal foul by R. O'Neale (drawn by J. Holiday),,39-27,,
10:46.0,,,39-27,,Turnover by J. Holiday (bad pass; steal by R. Hood)
10:30.0,R. O'Neale misses 2-pt shot from 1 ft,,39-27,,
10:28.0,Offensive rebound by R. O'Neale,,39-27,,
10:26.0,R. O'Neale makes 2-pt shot at rim,2,41-27,,
10:14.0,,,41-29,2,C. Diallo makes 2-pt shot from 1 ft (assist by I. Clark)
9:55.0,R. Neto makes 3-pt shot from 23 ft (assist by R. O'Neale),3,44-29,,
9:34.0,,,44-31,2,J. Holiday makes 2-pt shot from 2 ft
9:08.0,R. Hood misses 2-pt shot from 22 ft,,44-31,,
9:08.0,Offensive rebound by Team,,44-31,,
9:08.0,Turnover by Team (shot clock),,44-31,,
8:41.0,,,44-34,3,J. Holiday makes 3-pt shot from 27 ft
8:39.0,R. Hood makes 2-pt shot from 19 ft,2,46-34,,
8:27.0,,,46-34,,J. Holiday misses 2-pt shot from 11 ft
8:27.0,Defensive rebound by J. Johnson,,46-34,,
8:03.0,R. O'Neale makes 3-pt shot from 26 ft,3,49-34,,
7:49.0,,,49-34,,A. Davis enters the game for C. Diallo
7:49.0,,,49-34,,N. Mirotic enters the game for E. Okafor
7:49.0,R. Gobert enters the game for D. Favors,,49-34,,
7:49.0,R. Rubio enters the game for R. Neto,,49-34,,
7:36.0,,,49-36,2,I. Clark makes 2-pt shot from 7 ft
7:12.0,R. Rubio makes 3-pt shot from 25 ft (assist by R. O'Neale),3,52-36,,
7:00.0,,,52-36,,I. Clark misses 2-pt shot from 2 ft (block by R. Gobert)
6:57.0,Defensive rebound by J. Johnson,,52-36,,
6:51.0,Turnover by J. Johnson (bad pass; steal by J. Holiday),,52-36,,
6:46.0,,,52-38,2,I. Clark makes 2-pt shot from 1 ft (assist by J. Holiday)
6:46.0,Utah full timeout,,52-38,,
6:46.0,J. Jerebko enters the game for R. Hood,,52-38,,
6:46.0,D. Mitchell enters the game for J. Johnson,,52-38,,
6:33.0,D. Mitchell misses 2-pt shot from 5 ft,,52-38,,
6:30.0,,,52-38,,Defensive rebound by J. Holiday
6:21.0,,,52-38,,Shooting foul by J. Jerebko (drawn by N. Mirotic)
6:21.0,,,52-38,,N. Mirotic misses free throw 1 of 2
6:21.0,,,52-38,,Offensive rebound by Team
6:21.0,,,52-38,,R. Rondo enters the game for I. Clark
6:21.0,,,52-38,,E. Moore enters the game for J. Holiday
6:21.0,J. Ingles enters the game for R. O'Neale,,52-38,,
6:21.0,,,52-39,1,N. Mirotic makes free throw 2 of 2
6:05.0,R. Rubio makes 2-pt shot from 7 ft,2,54-39,,
5:51.0,,,54-41,2,E. Moore makes 2-pt shot from 3 ft
5:37.0,D. Mitchell misses 2-pt shot from 10 ft (block by E. Moore),,54-41,,
5:33.0,,,54-41,,Defensive rebound by A. Davis
5:28.0,,,54-43,2,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo)
5:28.0,,,54-43,,Shooting foul by J. Jerebko (drawn by A. Davis)
5:28.0,,,54-44,1,A. Davis makes free throw 1 of 1
5:17.0,J. Ingles misses 2-pt shot from 1 ft,,54-44,,
5:17.0,,,54-44,,Defensive rebound by Team
5:16.0,Loose ball foul by R. Gobert,,54-44,,
5:16.0,Technical foul by R. Gobert,,54-44,,
5:16.0,,,54-45,1,A. Davis makes technical free throw
4:59.0,,,54-45,,Shooting foul by R. Rubio (drawn by E. Moore)
4:59.0,,,54-46,1,E. Moore makes free throw 1 of 2
4:59.0,,,54-47,1,E. Moore makes free throw 2 of 2
4:44.0,R. Rubio misses 2-pt shot from 11 ft,,54-47,,
4:41.0,,,54-47,,Defensive rebound by A. Davis
4:40.0,,,54-47,,Turnover by A. Davis (bad pass; steal by J. Jerebko)
4:30.0,J. Ingles makes 2-pt shot from 6 ft,2,56-47,,
4:15.0,,,56-49,2,R. Rondo makes 2-pt shot from 1 ft
4:00.0,J. Ingles makes 2-pt shot from 9 ft,2,58-49,,
3:45.0,,,58-49,,N. Mirotic misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by R. Gobert,,58-49,,
3:34.0,Shooting foul by A. Davis (drawn by R. Gobert),,58-49,,
3:34.0,R. Gobert makes free throw 1 of 2,1,59-49,,
3:34.0,D. Favors enters the game for J. Jerebko,,59-49,,
3:34.0,R. Gobert makes free throw 2 of 2,1,60-49,,
3:24.0,,,60-49,,D. Miller misses 2-pt shot from 15 ft
3:21.0,,,60-49,,Offensive rebound by A. Davis
3:19.0,,,60-49,,N. Mirotic misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by R. Gobert,,60-49,,
3:12.0,,,60-49,,Personal foul by E. Moore (drawn by R. Rubio)
3:12.0,,,60-49,,J. Holiday enters the game for D. Miller
3:03.0,R. Rubio misses 2-pt shot from 19 ft,,60-49,,
2:59.0,,,60-49,,Defensive rebound by A. Davis
2:46.0,,,60-49,,New Orleans full timeout
2:46.0,R. Hood enters the game for D. Mitchell,,60-49,,
2:37.0,,,60-52,3,R. Rondo makes 3-pt shot from 22 ft (assist by J. Holiday)
2:09.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,62-52,,
1:48.0,,,62-55,3,R. Rondo makes 3-pt shot from 24 ft (assist by N. Mirotic)
1:26.0,J. Ingles misses 2-pt shot from 2 ft,,62-55,,
1:26.0,,,62-55,,Defensive rebound by A. Davis
1:14.0,,,62-58,3,R. Rondo makes 3-pt shot from 23 ft (assist by A. Davis)
0:56.0,R. Rubio makes 2-pt shot from 1 ft,2,64-58,,
0:44.0,,,64-58,,E. Moore misses 2-pt shot from 9 ft
0:44.0,Defensive rebound by R. Gobert,,64-58,,
0:43.0,,,64-58,,Personal foul by N. Mirotic (drawn by R. Gobert)
0:37.0,R. Rubio misses 2-pt shot from 19 ft,,64-58,,
0:37.0,,,64-58,,Defensive rebound by J. Holiday
0:28.0,,,64-61,3,J. Holiday makes 3-pt shot from 25 ft
0:11.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio),3,67-61,,
0:03.0,,,67-64,3,R. Rondo makes 3-pt shot from 24 ft
0:00.0,R. Hood makes 3-pt shot from 30 ft,3,70-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Mitchell misses 2-pt shot from 10 ft,,70-64,,
11:40.0,,,70-64,,Defensive rebound by J. Holiday
11:32.0,,,70-64,,N. Mirotic misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by J. Ingles,,70-64,,
11:20.0,R. Gobert misses 2-pt shot from 1 ft,,70-64,,
11:17.0,Offensive rebound by D. Favors,,70-64,,
11:16.0,R. Rubio misses 3-pt shot from 25 ft,,70-64,,
11:16.0,,,70-64,,Defensive rebound by N. Mirotic
11:07.0,,,70-64,,A. Davis misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by R. Rubio,,70-64,,
10:56.0,Turnover by D. Favors (bad pass),,70-64,,
10:43.0,,,70-64,,R. Rondo misses 3-pt shot from 22 ft
10:39.0,Defensive rebound by R. Gobert,,70-64,,
10:20.0,D. Mitchell misses 3-pt shot from 26 ft,,70-64,,
10:17.0,Offensive rebound by D. Favors,,70-64,,
10:14.0,D. Favors makes 2-pt shot from 2 ft,2,72-64,,
10:00.0,,,72-64,,N. Mirotic misses 2-pt shot from 3 ft
9:57.0,,,72-64,,Offensive rebound by A. Davis
9:49.0,,,72-66,2,J. Holiday makes 2-pt shot from 1 ft
9:36.0,R. Rubio makes 2-pt shot from 10 ft,2,74-66,,
9:22.0,,,74-66,,A. Davis misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by D. Favors,,74-66,,
9:10.0,Shooting foul by J. Holiday (drawn by D. Favors),,74-66,,
9:10.0,D. Favors misses free throw 1 of 2,,74-66,,
9:10.0,Offensive rebound by Team,,74-66,,
9:10.0,D. Favors makes free throw 2 of 2,1,75-66,,
9:04.0,,,75-66,,Turnover by A. Davis (out of bounds lost ball)
8:50.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio),2,77-66,,
8:44.0,Personal foul by R. Gobert (drawn by E. Moore),,77-66,,
8:39.0,,,77-66,,A. Davis misses 2-pt shot from 8 ft
8:35.0,Defensive rebound by D. Favors,,77-66,,
8:28.0,D. Favors misses 2-pt shot from 14 ft,,77-66,,
8:25.0,,,77-66,,Defensive rebound by A. Davis
8:22.0,,,77-66,,Shooting foul by J. Ingles (drawn by R. Rondo)
8:22.0,,,77-66,,R. Rondo misses free throw 1 of 2
8:22.0,,,77-66,,Offensive rebound by Team
8:22.0,,,77-66,,R. Rondo misses free throw 2 of 2
8:18.0,Defensive rebound by D. Favors,,77-66,,
8:04.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,79-66,,
7:58.0,,,79-66,,Turnover by R. Rondo (bad pass)
7:38.0,D. Favors makes 3-pt shot from 23 ft (assist by D. Mitchell),3,82-66,,
7:33.0,,,82-66,,New Orleans full timeout
7:33.0,R. Hood enters the game for D. Mitchell,,82-66,,
7:19.0,,,82-66,,A. Davis misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by R. Rubio,,82-66,,
7:13.0,R. Hood makes 2-pt shot from 1 ft (assist by R. Rubio),2,84-66,,
6:59.0,,,84-68,2,J. Holiday makes 2-pt shot from 9 ft (assist by R. Rondo)
6:41.0,J. Ingles misses 2-pt shot at rim,,84-68,,
6:41.0,,,84-68,,Defensive rebound by Team
6:41.0,Loose ball foul by R. Gobert (drawn by A. Davis),,84-68,,
6:41.0,E. Udoh enters the game for R. Gobert,,84-68,,
6:26.0,,,84-71,3,E. Moore makes 3-pt shot from 22 ft (assist by R. Rondo)
6:09.0,D. Favors misses 2-pt shot from 17 ft,,84-71,,
6:06.0,,,84-71,,Defensive rebound by A. Davis
5:58.0,,,84-71,,J. Holiday misses 2-pt shot from 1 ft
5:55.0,Defensive rebound by E. Udoh,,84-71,,
5:54.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,86-71,,
5:35.0,,,86-73,2,J. Holiday makes 2-pt shot from 3 ft
5:17.0,,,86-73,,D. Miller enters the game for J. Holiday
5:13.0,R. Rubio makes 2-pt shot from 20 ft (assist by E. Udoh),2,88-73,,
5:01.0,,,88-73,,R. Rondo misses 2-pt shot from 1 ft
5:01.0,,,88-73,,Offensive rebound by Team
5:01.0,Loose ball foul by R. Rubio (drawn by A. Davis),,88-73,,
5:01.0,J. Johnson enters the game for D. Favors,,88-73,,
4:58.0,,,88-73,,Shooting foul by E. Udoh (drawn by A. Davis)
4:58.0,,,88-73,,A. Davis misses free throw 1 of 2
4:58.0,,,88-73,,Offensive rebound by Team
4:58.0,,,88-73,,D. Liggins enters the game for N. Mirotic
4:58.0,,,88-74,1,A. Davis makes free throw 2 of 2
4:44.0,Shooting foul by R. Rondo (drawn by R. Hood),,88-74,,
4:44.0,R. Hood makes free throw 1 of 2,1,89-74,,
4:44.0,R. Hood makes free throw 2 of 2,1,90-74,,
4:39.0,,,90-74,,Turnover by R. Rondo (bad pass)
4:20.0,J. Johnson misses 2-pt shot from 6 ft,,90-74,,
4:17.0,Offensive rebound by J. Johnson,,90-74,,
4:16.0,R. Rubio misses 3-pt shot from 25 ft,,90-74,,
4:16.0,,,90-74,,Defensive rebound by R. Rondo
4:09.0,,,90-74,,R. Rondo misses 2-pt shot from 2 ft (block by E. Udoh)
4:09.0,,,90-74,,Offensive rebound by Team
4:01.0,,,90-74,,D. Miller misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by R. Hood,,90-74,,
3:54.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Hood),3,93-74,,
3:39.0,,,93-76,2,E. Moore makes 2-pt shot from 10 ft (assist by R. Rondo)
3:23.0,R. Hood makes 2-pt shot from 19 ft,2,95-76,,
3:12.0,,,95-76,,E. Moore misses 2-pt shot from 7 ft
3:09.0,Defensive rebound by E. Udoh,,95-76,,
3:06.0,J. Ingles misses 3-pt shot from 24 ft,,95-76,,
3:06.0,,,95-76,,Defensive rebound by A. Davis
2:56.0,,,95-76,,A. Davis misses 2-pt shot from 2 ft (block by E. Udoh)
2:56.0,,,95-76,,J. Holiday enters the game for R. Rondo
2:56.0,,,95-76,,I. Clark enters the game for E. Moore
2:56.0,R. O'Neale enters the game for J. Ingles,,95-76,,
2:56.0,Jump ball: A. Davis vs. E. Udoh (D. Miller gains possession),,,,Jump ball: A. Davis vs. E. Udoh (D. Miller gains possession)
2:54.0,Utah full timeout,,95-76,,
2:54.0,,,95-76,,Defensive rebound by Team
2:47.0,,,95-76,,Offensive foul by A. Davis (drawn by R. O'Neale)
2:47.0,,,95-76,,Turnover by A. Davis (offensive foul)
2:37.0,Turnover by R. Hood (traveling),,95-76,,
2:23.0,,,95-78,2,J. Holiday makes 2-pt shot from 1 ft
2:23.0,,,95-78,,Shooting foul by R. Rubio (drawn by J. Holiday)
2:23.0,D. Mitchell enters the game for R. Rubio,,95-78,,
2:23.0,,,95-78,,J. Holiday misses free throw 1 of 1
2:20.0,Defensive rebound by E. Udoh,,95-78,,
2:10.0,E. Udoh misses 2-pt shot from 1 ft,,95-78,,
2:08.0,,,95-78,,Defensive rebound by A. Davis
2:05.0,,,95-80,2,J. Holiday makes 2-pt shot from 15 ft
1:40.0,R. O'Neale makes 2-pt shot from 13 ft,2,97-80,,
1:26.0,,,97-80,,J. Holiday misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by R. O'Neale,,97-80,,
1:18.0,J. Johnson misses 3-pt shot from 24 ft,,97-80,,
1:12.0,Offensive rebound by E. Udoh,,97-80,,
1:01.0,J. Johnson makes 2-pt shot at rim (assist by R. Hood),2,99-80,,
0:49.0,,,99-82,2,I. Clark makes 2-pt shot from 21 ft (assist by A. Davis)
0:36.0,Turnover by D. Mitchell (bad pass; steal by D. Liggins),,99-82,,
0:31.0,,,99-84,2,D. Liggins makes 2-pt shot from 1 ft
0:14.0,R. Hood misses 2-pt shot from 11 ft,,99-84,,
0:11.0,,,99-84,,Defensive rebound by I. Clark
0:00.0,,,99-86,2,J. Holiday makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,99-88,2,J. Holiday makes 2-pt shot from 1 ft
11:30.0,J. Johnson misses 2-pt shot from 12 ft,,99-88,,
11:27.0,,,99-88,,Defensive rebound by I. Clark
11:19.0,,,99-88,,N. Mirotic misses 2-pt shot at rim
11:15.0,Defensive rebound by R. Hood,,99-88,,
11:04.0,Shooting foul by I. Clark (drawn by R. Gobert),,99-88,,
11:04.0,R. Gobert makes free throw 1 of 2,1,100-88,,
11:04.0,R. Gobert makes free throw 2 of 2,1,101-88,,
10:52.0,,,101-88,,I. Clark misses 2-pt shot from 4 ft
10:48.0,Defensive rebound by R. O'Neale,,101-88,,
10:46.0,Turnover by R. O'Neale (bad pass; steal by J. Holiday),,101-88,,
10:42.0,,,101-88,,I. Clark misses 3-pt shot from 23 ft
10:38.0,,,101-88,,Offensive rebound by D. Liggins
10:37.0,,,101-90,2,D. Liggins makes 2-pt shot at rim
10:18.0,R. Hood makes 2-pt shot from 14 ft (assist by R. Neto),2,103-90,,
10:05.0,,,103-92,2,I. Clark makes 2-pt shot from 5 ft
9:41.0,R. Hood makes 2-pt shot at rim,2,105-92,,
9:30.0,,,105-94,2,J. Holiday makes 2-pt shot from 1 ft
9:08.0,R. Neto makes 3-pt shot from 26 ft (assist by R. O'Neale),3,108-94,,
8:52.0,,,108-96,2,I. Clark makes 2-pt shot from 12 ft
8:41.0,R. Neto misses 2-pt shot from 2 ft (block by C. Diallo),,108-96,,
8:41.0,,,108-96,,Defensive rebound by N. Mirotic
8:29.0,,,108-96,,C. Diallo misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by R. O'Neale,,108-96,,
8:16.0,,,108-96,,Personal block foul by C. Diallo (drawn by R. Neto)
8:16.0,J. Ingles enters the game for R. Hood,,108-96,,
8:09.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,110-96,,
7:52.0,,,110-96,,J. Holiday misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by R. Gobert,,110-96,,
7:41.0,,,110-96,,Personal foul by I. Clark (drawn by R. Neto)
7:41.0,,,110-96,,A. Davis enters the game for C. Diallo
7:41.0,R. Rubio enters the game for R. Neto,,110-96,,
7:41.0,D. Favors enters the game for J. Johnson,,110-96,,
7:33.0,Turnover by J. Ingles (lost ball; steal by D. Liggins),,110-96,,
7:32.0,Personal foul by R. Rubio (drawn by D. Liggins),,110-96,,
7:14.0,,,110-96,,Turnover by J. Holiday (lost ball; steal by J. Ingles)
7:09.0,,,110-96,,Personal foul by D. Liggins (drawn by R. Rubio)
7:09.0,Utah full timeout,,110-96,,
7:09.0,,,110-96,,R. Rondo enters the game for J. Holiday
7:01.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,112-96,,
6:43.0,,,112-96,,A. Davis misses 2-pt shot from 2 ft
6:41.0,Defensive rebound by R. O'Neale,,112-96,,
6:33.0,,,112-96,,Personal foul by R. Rondo (drawn by D. Favors)
6:33.0,D. Favors makes free throw 1 of 2,1,113-96,,
6:33.0,,,113-96,,E. Moore enters the game for D. Liggins
6:33.0,R. Hood enters the game for R. O'Neale,,113-96,,
6:33.0,D. Favors makes free throw 2 of 2,1,114-96,,
6:21.0,,,114-96,,Turnover by A. Davis (lost ball; steal by R. Gobert)
6:14.0,R. Rubio makes 2-pt shot from 2 ft,2,116-96,,
6:02.0,,,116-98,2,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis)
5:43.0,R. Rubio makes 2-pt shot at rim,2,118-98,,
5:15.0,,,118-101,3,E. Moore makes 3-pt shot from 22 ft (assist by R. Rondo)
4:56.0,R. Rubio misses 2-pt shot from 2 ft (block by A. Davis),,118-101,,
4:53.0,,,118-101,,Defensive rebound by E. Moore
4:53.0,Personal foul by J. Ingles (drawn by R. Rondo),,118-101,,
4:52.0,,,118-101,,E. Moore misses 3-pt shot from 26 ft
4:48.0,Defensive rebound by R. Hood,,118-101,,
4:36.0,,,118-101,,J. Holiday enters the game for I. Clark
4:30.0,R. Rubio misses 2-pt shot from 1 ft (block by A. Davis),,118-101,,
4:30.0,Offensive rebound by R. Gobert,,118-101,,
4:26.0,R. Gobert makes 2-pt shot at rim,2,120-101,,
4:20.0,,,120-103,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
3:51.0,Turnover by Team (shot clock),,120-103,,
3:51.0,,,120-103,,New Orleans full timeout
3:42.0,,,120-103,,A. Davis misses 2-pt shot from 8 ft
3:39.0,Defensive rebound by J. Ingles,,120-103,,
3:19.0,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio),3,123-103,,
3:05.0,,,123-103,,Turnover by A. Davis (bad pass)
3:05.0,,,123-103,,I. Clark enters the game for A. Davis
3:05.0,,,123-103,,C. Diallo enters the game for E. Moore
3:05.0,,,123-103,,D. Liggins enters the game for J. Holiday
2:57.0,D. Favors misses 2-pt shot from 19 ft,,123-103,,
2:54.0,,,123-103,,Defensive rebound by R. Rondo
2:48.0,,,123-103,,Turnover by I. Clark (bad pass)
2:48.0,,,123-103,,E. Okafor enters the game for N. Mirotic
2:39.0,Offensive foul by D. Favors (drawn by I. Clark),,123-103,,
2:39.0,Turnover by D. Favors (offensive foul),,123-103,,
2:39.0,E. Udoh enters the game for J. Ingles,,123-103,,
2:39.0,R. O'Neale enters the game for R. Rubio,,123-103,,
2:39.0,J. Jerebko enters the game for D. Favors,,123-103,,
2:39.0,R. Neto enters the game for R. Gobert,,123-103,,
