time,LA Clippers,pts.away,score,pts.home,New York
4:34.0,,,15-15,,Defensive rebound by J. Jack
4:25.0,,,15-15,,K. Porzingis misses 2-pt shot from 14 ft
4:24.0,Defensive rebound by W. Johnson,,15-15,,
4:07.0,Turnover by B. Griffin (turnover),,15-15,,
3:49.0,,,15-15,,Shooting foul by B. Griffin (drawn by K. Porzingis)
3:49.0,,,15-16,1,K. Porzingis makes free throw 1 of 2
3:49.0,,,15-16,,F. Ntilikina enters the game for J. Jack
3:49.0,J. Evans enters the game for W. Johnson,,15-16,,
3:49.0,,,15-17,1,K. Porzingis makes free throw 2 of 2
3:31.0,Turnover by L. Williams (bad pass; steal by E. Kanter),,15-17,,
3:26.0,,,15-17,,Offensive charge foul by F. Ntilikina (drawn by B. Griffin)
3:26.0,,,15-17,,Turnover by F. Ntilikina (offensive foul)
3:26.0,,,15-17,,K. O'Quinn enters the game for E. Kanter
3:02.0,Turnover by Team (shot clock),,15-17,,
2:55.0,Personal foul by S. Thornwell (drawn by D. McDermott),,15-17,,
2:55.0,,,15-17,,D. McDermott misses free throw 1 of 2
2:55.0,,,15-17,,Offensive rebound by Team
2:55.0,,,15-17,,L. Thomas enters the game for K. Porzingis
2:55.0,,,15-18,1,D. McDermott makes free throw 2 of 2
2:39.0,J. Evans misses 2-pt shot from 10 ft,,15-18,,
2:38.0,,,15-18,,Defensive rebound by K. O'Quinn
2:28.0,,,15-18,,K. O'Quinn misses 2-pt shot from 13 ft
2:27.0,Defensive rebound by B. Griffin,,15-18,,
2:20.0,B. Griffin misses 2-pt shot from 19 ft,,15-18,,
2:19.0,,,15-18,,Defensive rebound by C. Lee
2:01.0,,,15-18,,K. O'Quinn misses 2-pt shot from 15 ft
1:58.0,Defensive rebound by Team,,15-18,,
1:58.0,S. Dekker enters the game for B. Griffin,,15-18,,
1:58.0,W. Reed enters the game for D. Jordan,,15-18,,
1:46.0,Shooting foul by L. Thomas (drawn by W. Reed),,15-18,,
1:46.0,W. Reed makes free throw 1 of 2,1,16-18,,
1:46.0,W. Reed misses free throw 2 of 2,,16-18,,
1:44.0,,,16-18,,Defensive rebound by K. O'Quinn
1:36.0,,,16-18,,Offensive foul by D. McDermott (drawn by J. Evans)
1:36.0,,,16-18,,Turnover by D. McDermott (offensive foul)
1:14.0,J. Evans misses 2-pt shot from 3 ft,,16-18,,
1:13.0,Offensive rebound by W. Reed,,16-18,,
1:01.0,J. Evans makes 2-pt shot from 22 ft (assist by W. Reed),2,18-18,,
0:55.0,,,18-18,,Turnover by F. Ntilikina (traveling)
0:49.0,L. Williams misses 2-pt shot from 20 ft,,18-18,,
0:45.0,,,18-18,,Defensive rebound by D. McDermott
0:24.0,Jump ball: K. O'Quinn vs. J. Evans (C. Lee gains possession),,,,Jump ball: K. O'Quinn vs. J. Evans (C. Lee gains possession)
0:24.0,,,18-18,,Turnover by C. Lee (bad pass; steal by S. Dekker)
0:19.0,S. Dekker makes 2-pt shot at rim,2,20-18,,
0:05.0,,,20-18,,Shooting foul by S. Thornwell (drawn by C. Lee)
0:05.0,,,20-19,1,C. Lee makes free throw 1 of 2
0:05.0,,,20-20,1,C. Lee makes free throw 2 of 2
0:01.0,Turnover by L. Williams (out of bounds lost ball),,20-20,,
0:00.0,,,20-20,,F. Ntilikina misses 3-pt shot from 47 ft
0:00.0,,,20-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive foul by W. Reed (drawn by T. Hardaway),,20-20,,
11:49.0,Turnover by W. Reed (offensive foul),,20-20,,
11:39.0,,,20-20,,D. McDermott misses 2-pt shot from 19 ft
11:38.0,,,20-20,,Offensive rebound by T. Hardaway
11:33.0,,,20-22,2,T. Hardaway makes 2-pt shot from 19 ft
11:22.0,L. Williams makes 3-pt shot from 26 ft (assist by A. Rivers),3,23-22,,
11:08.0,,,23-24,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by F. Ntilikina)
10:57.0,W. Reed makes 2-pt shot from 1 ft,2,25-24,,
10:57.0,Shooting foul by K. O'Quinn (drawn by W. Reed),,25-24,,
10:57.0,W. Reed misses free throw 1 of 1,,25-24,,
10:55.0,,,25-24,,Defensive rebound by K. O'Quinn
10:40.0,,,25-24,,T. Hardaway misses 2-pt shot from 2 ft (block by L. Williams)
10:37.0,,,25-24,,Offensive rebound by T. Hardaway
10:36.0,,,25-26,2,T. Hardaway makes 2-pt shot from 1 ft
10:32.0,Shooting foul by F. Ntilikina (drawn by L. Williams),,25-26,,
10:32.0,,,25-26,,E. Kanter enters the game for K. O'Quinn
10:32.0,L. Williams makes free throw 1 of 2,1,26-26,,
10:32.0,L. Williams makes free throw 2 of 2,1,27-26,,
10:16.0,,,27-26,,Turnover by E. Kanter (lost ball; steal by J. Evans)
10:06.0,A. Rivers misses 2-pt shot from 11 ft,,27-26,,
10:05.0,,,27-26,,Defensive rebound by E. Kanter
9:58.0,,,27-26,,T. Hardaway misses 2-pt shot from 12 ft
9:57.0,Defensive rebound by W. Reed,,27-26,,
9:50.0,W. Reed makes 2-pt shot from 1 ft (assist by L. Williams),2,29-26,,
9:50.0,Shooting foul by L. Thomas (drawn by W. Reed),,29-26,,
9:50.0,W. Reed misses free throw 1 of 1,,29-26,,
9:48.0,,,29-26,,Defensive rebound by E. Kanter
9:37.0,,,29-26,,F. Ntilikina misses 2-pt shot from 18 ft
9:33.0,Defensive rebound by W. Reed,,29-26,,
9:26.0,Turnover by J. Evans (lost ball; steal by E. Kanter),,29-26,,
9:22.0,,,29-26,,Turnover by F. Ntilikina (lost ball; steal by J. Evans)
9:19.0,S. Dekker makes 2-pt shot from 1 ft (assist by J. Evans),2,31-26,,
9:01.0,,,31-26,,T. Hardaway misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by S. Dekker,,31-26,,
8:55.0,L. Williams makes 3-pt shot from 25 ft (assist by A. Rivers),3,34-26,,
8:55.0,,,34-26,,New York full timeout
8:55.0,,,34-26,,J. Jack enters the game for F. Ntilikina
8:55.0,,,34-26,,K. Porzingis enters the game for L. Thomas
8:37.0,,,34-29,3,D. McDermott makes 3-pt shot from 23 ft (assist by K. Porzingis)
8:24.0,S. Dekker misses 3-pt shot from 23 ft,,34-29,,
8:20.0,,,34-29,,Defensive rebound by K. Porzingis
8:04.0,,,34-31,2,J. Jack makes 2-pt shot from 7 ft
8:04.0,,,34-31,,Shooting foul by W. Reed (drawn by J. Jack)
8:04.0,B. Griffin enters the game for W. Reed,,34-31,,
8:04.0,D. Jordan enters the game for J. Evans,,34-31,,
8:04.0,,,34-32,1,J. Jack makes free throw 1 of 1
8:04.0,W. Johnson enters the game for S. Dekker,,34-32,,
7:40.0,B. Griffin misses 2-pt shot from 11 ft,,34-32,,
7:39.0,,,34-32,,Defensive rebound by E. Kanter
7:33.0,,,34-34,2,K. Porzingis makes 2-pt shot at rim (assist by J. Jack)
7:15.0,Turnover by L. Williams (bad pass; steal by D. McDermott),,34-34,,
7:11.0,,,34-36,2,T. Hardaway makes 2-pt shot at rim (assist by J. Jack)
7:11.0,LA Clippers full timeout,,34-36,,
6:50.0,Turnover by W. Johnson (bad pass; steal by T. Hardaway),,34-36,,
6:38.0,,,34-36,,D. McDermott misses 3-pt shot from 23 ft
6:36.0,,,34-36,,Offensive rebound by E. Kanter
6:35.0,,,34-36,,E. Kanter misses 2-pt shot from 3 ft
6:35.0,,,34-36,,Offensive rebound by K. Porzingis
6:31.0,,,34-36,,K. Porzingis misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by B. Griffin,,34-36,,
6:15.0,A. Rivers misses 2-pt shot from 2 ft (block by T. Hardaway),,34-36,,
6:14.0,,,34-36,,Defensive rebound by T. Hardaway
6:09.0,,,34-38,2,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway)
6:09.0,Violation by B. Griffin (def goaltending),,34-38,,
5:59.0,A. Rivers misses 3-pt shot from 25 ft,,34-38,,
5:58.0,,,34-38,,Defensive rebound by D. McDermott
5:45.0,,,34-40,2,T. Hardaway makes 2-pt shot from 20 ft
5:24.0,B. Griffin misses 3-pt shot from 25 ft,,34-40,,
5:23.0,,,34-40,,Defensive rebound by E. Kanter
5:13.0,,,34-40,,K. Porzingis misses 2-pt shot from 13 ft
5:12.0,,,34-40,,Offensive rebound by Team
5:12.0,Loose ball foul by W. Johnson (drawn by D. McDermott),,34-40,,
5:12.0,P. Beverley enters the game for L. Williams,,34-40,,
5:07.0,,,34-40,,Turnover by J. Jack (bad pass; steal by A. Rivers)
5:04.0,A. Rivers makes 2-pt shot at rim,2,36-40,,
4:51.0,Personal foul by B. Griffin (drawn by K. Porzingis),,36-40,,
4:46.0,,,36-40,,Turnover by D. McDermott (traveling)
4:38.0,Turnover by W. Johnson (bad pass; steal by K. Porzingis),,36-40,,
4:26.0,,,36-42,2,K. Porzingis makes 2-pt shot from 4 ft
4:18.0,Turnover by W. Johnson (out of bounds lost ball),,36-42,,
4:18.0,,,36-42,,C. Lee enters the game for D. McDermott
4:04.0,,,36-44,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
3:50.0,B. Griffin makes 2-pt shot from 2 ft,2,38-44,,
3:26.0,,,38-44,,K. Porzingis misses 2-pt shot from 18 ft
3:25.0,,,38-44,,Offensive rebound by E. Kanter
3:21.0,,,38-44,,Shooting foul by W. Johnson (drawn by E. Kanter)
3:21.0,L. Williams enters the game for W. Johnson,,38-44,,
3:21.0,,,38-45,1,E. Kanter makes free throw 1 of 2
3:21.0,,,38-46,1,E. Kanter makes free throw 2 of 2
3:06.0,A. Rivers misses 2-pt shot from 14 ft (block by C. Lee),,38-46,,
3:05.0,,,38-46,,Defensive rebound by K. Porzingis
3:00.0,,,38-49,3,J. Jack makes 3-pt shot from 24 ft
2:38.0,B. Griffin makes 2-pt shot from 6 ft,2,40-49,,
2:25.0,,,40-49,,Turnover by K. Porzingis (bad pass; steal by L. Williams)
2:23.0,Shooting foul by T. Hardaway (drawn by B. Griffin),,40-49,,
2:23.0,B. Griffin makes free throw 1 of 2,1,41-49,,
2:23.0,B. Griffin makes free throw 2 of 2,1,42-49,,
2:02.0,,,42-52,3,K. Porzingis makes 3-pt shot from 25 ft (assist by T. Hardaway)
1:52.0,B. Griffin misses 2-pt shot from 3 ft (block by K. Porzingis),,42-52,,
1:51.0,Offensive rebound by Team,,42-52,,
1:49.0,L. Williams misses 3-pt shot from 26 ft,,42-52,,
1:48.0,,,42-52,,Defensive rebound by E. Kanter
1:33.0,,,42-52,,Offensive foul by K. Porzingis (drawn by P. Beverley)
1:33.0,,,42-52,,Turnover by K. Porzingis (offensive foul)
1:18.0,Turnover by D. Jordan (lost ball; steal by T. Hardaway),,42-52,,
1:14.0,,,42-54,2,C. Lee makes 2-pt shot from 1 ft (assist by T. Hardaway)
1:02.0,D. Jordan misses 2-pt shot from 2 ft,,42-54,,
0:59.0,Offensive rebound by B. Griffin,,42-54,,
0:57.0,L. Williams misses 3-pt shot from 22 ft,,42-54,,
0:56.0,,,42-54,,Defensive rebound by K. Porzingis
0:50.0,,,42-54,,T. Hardaway misses 3-pt shot from 23 ft
0:50.0,,,42-54,,Offensive rebound by E. Kanter
0:44.0,,,42-54,,C. Lee misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by P. Beverley,,42-54,,
0:20.0,B. Griffin misses 3-pt shot from 29 ft,,42-54,,
0:18.0,,,42-54,,Defensive rebound by C. Lee
0:04.0,,,42-56,2,T. Hardaway makes 2-pt shot from 16 ft
0:00.0,B. Griffin makes 2-pt shot at rim,2,44-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Offensive foul by B. Griffin (drawn by K. Porzingis),,44-56,,
11:48.0,Turnover by B. Griffin (offensive foul),,44-56,,
11:37.0,,,44-56,,T. Hardaway misses 3-pt shot from 25 ft
11:36.0,,,44-56,,Offensive rebound by K. Porzingis
11:32.0,,,44-56,,K. Porzingis misses 2-pt shot at rim
11:31.0,Defensive rebound by P. Beverley,,44-56,,
11:27.0,P. Beverley makes 3-pt shot from 25 ft (assist by A. Rivers),3,47-56,,
11:22.0,,,47-58,2,K. Porzingis makes 2-pt shot from 22 ft (assist by T. Hardaway)
11:06.0,D. Jordan makes 2-pt shot from 10 ft (assist by P. Beverley),2,49-58,,
10:46.0,,,49-60,2,K. Porzingis makes 2-pt shot from 8 ft
10:34.0,W. Johnson misses 2-pt shot at rim,,49-60,,
10:33.0,,,49-60,,Defensive rebound by K. Porzingis
10:25.0,,,49-63,3,C. Lee makes 3-pt shot from 22 ft (assist by T. Hardaway)
10:25.0,LA Clippers full timeout,,49-63,,
10:07.0,B. Griffin misses 3-pt shot from 24 ft,,49-63,,
10:06.0,,,49-63,,Defensive rebound by C. Lee
9:48.0,,,49-66,3,K. Porzingis makes 3-pt shot from 23 ft (assist by C. Lee)
9:25.0,W. Johnson makes 3-pt shot from 22 ft (assist by A. Rivers),3,52-66,,
9:13.0,,,52-66,,K. Porzingis misses 3-pt shot from 29 ft
9:12.0,,,52-66,,Offensive rebound by T. Hardaway
9:08.0,,,52-66,,T. Hardaway misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by A. Rivers,,52-66,,
9:02.0,P. Beverley misses 3-pt shot from 25 ft,,52-66,,
9:01.0,Offensive rebound by D. Jordan,,52-66,,
9:01.0,,,52-66,,Personal foul by E. Kanter (drawn by D. Jordan)
8:56.0,,,52-66,,Personal foul by C. Lee (drawn by B. Griffin)
8:48.0,A. Rivers misses 2-pt shot from 2 ft,,52-66,,
8:47.0,Offensive rebound by Team,,52-66,,
8:39.0,P. Beverley misses 2-pt shot from 8 ft,,52-66,,
8:36.0,Offensive rebound by D. Jordan,,52-66,,
8:36.0,D. Jordan makes 2-pt shot at rim,2,54-66,,
8:23.0,,,54-66,,K. Porzingis misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by W. Johnson,,54-66,,
8:12.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,56-66,,
8:12.0,,,56-66,,New York full timeout
8:00.0,,,56-66,,Offensive foul by T. Hardaway (drawn by A. Rivers)
8:00.0,,,56-66,,Turnover by T. Hardaway (offensive foul)
7:44.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,58-66,,
7:24.0,,,58-66,,K. Porzingis misses 2-pt shot from 10 ft (block by P. Beverley)
7:22.0,Defensive rebound by P. Beverley,,58-66,,
7:18.0,,,58-66,,D. McDermott enters the game for T. Hardaway
7:14.0,Jump ball: J. Jack vs. P. Beverley (A. Rivers gains possession),,,,Jump ball: J. Jack vs. P. Beverley (A. Rivers gains possession)
7:05.0,P. Beverley makes 3-pt shot from 25 ft (assist by B. Griffin),3,61-66,,
6:51.0,,,61-66,,J. Jack misses 3-pt shot from 26 ft
6:50.0,,,61-66,,Offensive rebound by C. Lee
6:48.0,,,61-66,,C. Lee misses 2-pt shot from 7 ft (block by W. Johnson)
6:47.0,,,61-66,,Offensive rebound by Team
6:47.0,,,61-66,,Offensive foul by K. Porzingis (drawn by P. Beverley)
6:47.0,,,61-66,,Turnover by K. Porzingis (offensive foul)
6:34.0,B. Griffin makes 3-pt shot from 23 ft (assist by W. Johnson),3,64-66,,
6:20.0,,,64-66,,J. Jack misses 2-pt shot from 16 ft
6:16.0,Defensive rebound by P. Beverley,,64-66,,
6:09.0,Turnover by B. Griffin (bad pass; steal by J. Jack),,64-66,,
6:04.0,,,64-69,3,D. McDermott makes 3-pt shot from 26 ft (assist by J. Jack)
5:47.0,A. Rivers misses 3-pt shot from 24 ft,,64-69,,
5:43.0,,,64-69,,Defensive rebound by J. Jack
5:36.0,,,64-69,,Shooting foul by D. Jordan (drawn by K. Porzingis)
5:36.0,L. Williams enters the game for P. Beverley,,64-69,,
5:36.0,,,64-70,1,K. Porzingis makes free throw 1 of 2
5:36.0,,,64-71,1,K. Porzingis makes free throw 2 of 2
5:18.0,B. Griffin misses 2-pt shot from 2 ft (block by E. Kanter),,64-71,,
5:16.0,,,64-71,,Defensive rebound by K. Porzingis
5:03.0,,,64-73,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
4:45.0,W. Johnson misses 3-pt shot from 23 ft,,64-73,,
4:44.0,Offensive rebound by Team,,64-73,,
4:44.0,,,64-73,,Loose ball foul by J. Jack (drawn by D. Jordan)
4:44.0,S. Thornwell enters the game for W. Johnson,,64-73,,
4:37.0,A. Rivers misses 2-pt shot from 22 ft,,64-73,,
4:36.0,,,64-73,,Defensive rebound by D. McDermott
4:26.0,,,64-76,3,D. McDermott makes 3-pt shot from 23 ft (assist by J. Jack)
4:16.0,L. Williams misses 2-pt shot from 1 ft,,64-76,,
4:15.0,,,64-76,,Defensive rebound by E. Kanter
4:11.0,,,64-76,,Shooting foul by S. Thornwell (drawn by E. Kanter)
4:11.0,,,64-76,,F. Ntilikina enters the game for J. Jack
4:11.0,J. Evans enters the game for A. Rivers,,64-76,,
4:11.0,,,64-77,1,E. Kanter makes free throw 1 of 2
4:11.0,,,64-78,1,E. Kanter makes free throw 2 of 2
3:49.0,,,64-78,,Personal foul by C. Lee (drawn by L. Williams)
3:49.0,,,64-78,,L. Thomas enters the game for K. Porzingis
3:49.0,M. Harrell enters the game for D. Jordan,,64-78,,
3:43.0,B. Griffin misses 3-pt shot from 26 ft,,64-78,,
3:42.0,Offensive rebound by L. Williams,,64-78,,
3:32.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,66-78,,
3:22.0,,,66-78,,Offensive foul by D. McDermott (drawn by S. Thornwell)
3:22.0,,,66-78,,Turnover by D. McDermott (offensive foul)
2:59.0,J. Evans misses 2-pt shot from 21 ft,,66-78,,
2:58.0,,,66-78,,Defensive rebound by D. McDermott
2:41.0,,,66-78,,D. McDermott misses 2-pt shot from 15 ft
2:40.0,,,66-78,,Offensive rebound by Team
2:40.0,S. Dekker enters the game for B. Griffin,,66-78,,
2:31.0,,,66-78,,L. Thomas misses 2-pt shot from 19 ft
2:30.0,,,66-78,,Offensive rebound by E. Kanter
2:23.0,,,66-81,3,D. McDermott makes 3-pt shot from 26 ft (assist by E. Kanter)
2:02.0,Turnover by L. Williams (bad pass; steal by C. Lee),,66-81,,
1:58.0,,,66-81,,D. McDermott misses 3-pt shot from 27 ft
1:57.0,Defensive rebound by M. Harrell,,66-81,,
1:50.0,Turnover by J. Evans (lost ball; steal by C. Lee),,66-81,,
1:50.0,Personal foul by M. Harrell (drawn by E. Kanter),,66-81,,
1:50.0,A. Rivers enters the game for J. Evans,,66-81,,
1:34.0,,,66-81,,Shooting foul by L. Williams (drawn by E. Kanter)
1:34.0,,,66-81,,D. Dotson enters the game for C. Lee
1:34.0,,,66-82,1,E. Kanter makes free throw 1 of 2
1:34.0,,,66-83,1,E. Kanter makes free throw 2 of 2
1:14.0,L. Williams misses 3-pt shot from 25 ft,,66-83,,
1:13.0,,,66-83,,Defensive rebound by L. Thomas
0:50.0,,,66-83,,D. Dotson misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by M. Harrell,,66-83,,
0:39.0,S. Dekker misses 2-pt shot at rim,,66-83,,
0:39.0,,,66-83,,Defensive rebound by E. Kanter
0:33.0,,,66-83,,Turnover by F. Ntilikina (lost ball; steal by M. Harrell)
0:29.0,S. Dekker makes 2-pt shot at rim (assist by M. Harrell),2,68-83,,
0:07.0,,,68-83,,D. McDermott misses 2-pt shot from 10 ft
0:03.0,,,68-83,,Offensive rebound by E. Kanter
0:02.0,W. Reed enters the game for M. Harrell,,68-83,,
0:00.0,Jump ball: E. Kanter vs. S. Thornwell (L. Thomas gains possession),,,,Jump ball: E. Kanter vs. S. Thornwell (L. Thomas gains possession)
0:00.0,,,68-83,,L. Thomas misses 3-pt shot from 27 ft
0:00.0,,,68-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,68-85,2,K. O'Quinn makes 2-pt shot from 4 ft (assist by R. Sessions)
11:25.0,S. Dekker misses 3-pt shot from 26 ft,,68-85,,
11:24.0,,,68-85,,Defensive rebound by D. Dotson
11:13.0,,,68-85,,R. Sessions misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by W. Reed,,68-85,,
10:49.0,Turnover by S. Dekker (bad pass),,68-85,,
10:49.0,P. Beverley enters the game for S. Thornwell,,68-85,,
10:49.0,B. Griffin enters the game for S. Dekker,,68-85,,
10:49.0,D. Jordan enters the game for W. Reed,,68-85,,
10:32.0,,,68-88,3,D. Dotson makes 3-pt shot from 26 ft (assist by R. Sessions)
10:23.0,,,68-88,,Personal foul by L. Thomas (drawn by B. Griffin)
10:16.0,L. Williams misses 2-pt shot from 17 ft,,68-88,,
10:15.0,Offensive rebound by D. Jordan,,68-88,,
10:15.0,D. Jordan misses 2-pt shot at rim,,68-88,,
10:15.0,,,68-88,,Defensive rebound by Team
10:15.0,Loose ball foul by D. Jordan (drawn by K. O'Quinn),,68-88,,
9:55.0,,,68-90,2,L. Thomas makes 2-pt shot from 19 ft (assist by R. Sessions)
9:44.0,A. Rivers misses 3-pt shot from 24 ft,,68-90,,
9:43.0,,,68-90,,Defensive rebound by D. Dotson
9:31.0,,,68-90,,Turnover by R. Sessions (bad pass; steal by B. Griffin)
9:26.0,P. Beverley misses 3-pt shot from 25 ft,,68-90,,
9:25.0,,,68-90,,Defensive rebound by R. Sessions
9:09.0,,,68-90,,L. Thomas misses 3-pt shot from 22 ft
9:07.0,,,68-90,,Offensive rebound by K. O'Quinn
9:06.0,,,68-90,,L. Thomas misses 2-pt shot from 4 ft
9:05.0,,,68-90,,Offensive rebound by K. O'Quinn
8:50.0,Personal foul by L. Williams (drawn by L. Thomas),,68-90,,
8:50.0,W. Johnson enters the game for L. Williams,,68-90,,
8:50.0,J. Evans enters the game for A. Rivers,,68-90,,
8:35.0,,,68-90,,R. Sessions misses 2-pt shot from 13 ft
8:34.0,Defensive rebound by P. Beverley,,68-90,,
8:27.0,,,68-90,,Personal foul by R. Sessions (drawn by B. Griffin)
8:18.0,W. Johnson makes 2-pt shot at rim (assist by B. Griffin),2,70-90,,
8:18.0,Shooting foul by K. O'Quinn (drawn by W. Johnson),,70-90,,
8:18.0,W. Johnson makes free throw 1 of 1,1,71-90,,
7:57.0,,,71-90,,L. Thomas misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by D. Jordan,,71-90,,
7:51.0,Turnover by W. Johnson (traveling),,71-90,,
7:34.0,,,71-90,,D. McDermott misses 2-pt shot from 1 ft
7:32.0,Defensive rebound by P. Beverley,,71-90,,
7:18.0,W. Johnson misses 3-pt shot from 24 ft,,71-90,,
7:17.0,Offensive rebound by D. Jordan,,71-90,,
7:14.0,Shooting foul by L. Thomas (drawn by W. Johnson),,71-90,,
7:14.0,,,71-90,,T. Hardaway enters the game for D. Dotson
7:14.0,,,71-90,,K. Porzingis enters the game for L. Thomas
7:14.0,W. Johnson misses free throw 1 of 2,,71-90,,
7:14.0,Offensive rebound by Team,,71-90,,
7:14.0,W. Johnson makes free throw 2 of 2,1,72-90,,
6:57.0,Personal foul by B. Griffin (drawn by K. Porzingis),,72-90,,
6:56.0,,,72-90,,Offensive foul by K. O'Quinn (drawn by B. Griffin)
6:56.0,,,72-90,,Turnover by K. O'Quinn (offensive foul)
6:56.0,,,72-90,,New York full timeout
6:35.0,J. Evans misses 3-pt shot from 24 ft,,72-90,,
6:34.0,Offensive rebound by Team,,72-90,,
6:31.0,,,72-90,,Personal foul by K. Porzingis (drawn by B. Griffin)
6:31.0,B. Griffin makes free throw 1 of 2,1,73-90,,
