time,Brooklyn,pts.away,score,pts.home,Indiana
7:53.0,,,11-14,,Turnover by B. Bogdanovic (out of bounds lost ball)
7:39.0,J. Lin makes 2-pt shot from 1 ft,2,13-14,,
7:25.0,,,13-14,,T. Young misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by D. Carroll,,13-14,,
7:14.0,D. Carroll misses 3-pt shot from 27 ft,,13-14,,
7:11.0,,,13-14,,Defensive rebound by M. Turner
7:06.0,,,13-17,3,V. Oladipo makes 3-pt shot from 23 ft (assist by D. Collison)
6:48.0,D. Russell misses 3-pt shot from 26 ft,,13-17,,
6:48.0,Offensive rebound by D. Russell,,13-17,,
6:42.0,D. Russell makes 3-pt shot from 29 ft,3,16-17,,
6:27.0,,,16-17,,M. Turner misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by R. Hollis-Jefferson,,16-17,,
6:17.0,T. Mozgov misses 2-pt shot from 3 ft,,16-17,,
6:15.0,,,16-17,,Defensive rebound by M. Turner
6:14.0,,,16-19,2,D. Collison makes 2-pt shot at rim (assist by M. Turner)
6:13.0,Brooklyn full timeout,,16-19,,
6:13.0,Q. Acy enters the game for T. Mozgov,,16-19,,
6:13.0,A. Crabbe enters the game for R. Hollis-Jefferson,,16-19,,
6:13.0,T. Booker enters the game for D. Russell,,16-19,,
5:59.0,J. Lin misses 2-pt shot from 15 ft,,16-19,,
5:54.0,,,16-19,,Defensive rebound by D. Collison
5:43.0,,,16-19,,M. Turner misses 2-pt shot from 12 ft
5:41.0,Defensive rebound by Team,,16-19,,
5:34.0,,,16-19,,Personal foul by V. Oladipo (drawn by A. Crabbe)
5:34.0,,,16-19,,L. Stephenson enters the game for B. Bogdanovic
5:23.0,D. Carroll misses 3-pt shot from 25 ft,,16-19,,
5:20.0,,,16-19,,Defensive rebound by V. Oladipo
5:17.0,Shooting block foul by D. Carroll (drawn by V. Oladipo),,16-19,,
5:17.0,,,16-20,1,V. Oladipo makes free throw 1 of 2
5:17.0,,,16-21,1,V. Oladipo makes free throw 2 of 2
5:12.0,Offensive foul by Q. Acy (drawn by D. Collison),,16-21,,
5:12.0,Turnover by Q. Acy (offensive foul),,16-21,,
4:58.0,,,16-23,2,T. Young makes 2-pt shot from 19 ft (assist by D. Collison)
4:44.0,J. Lin misses 2-pt shot from 2 ft,,16-23,,
4:43.0,Offensive rebound by T. Booker,,16-23,,
4:43.0,T. Booker makes 2-pt shot from 1 ft,2,18-23,,
4:34.0,,,18-25,2,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo)
4:28.0,Turnover by Q. Acy (bad pass; steal by L. Stephenson),,18-25,,
4:25.0,,,18-25,,L. Stephenson misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by Q. Acy,,18-25,,
4:14.0,A. Crabbe makes 3-pt shot from 26 ft (assist by J. Lin),3,21-25,,
4:07.0,,,21-25,,D. Collison misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by A. Crabbe,,21-25,,
4:00.0,Q. Acy misses 3-pt shot from 23 ft,,21-25,,
3:58.0,,,21-25,,Defensive rebound by Team
3:58.0,,,21-25,,C. Joseph enters the game for D. Collison
3:58.0,C. LeVert enters the game for D. Carroll,,21-25,,
3:49.0,,,21-27,2,M. Turner makes 2-pt shot from 16 ft (assist by C. Joseph)
3:36.0,T. Booker makes 2-pt shot from 8 ft (assist by C. LeVert),2,23-27,,
3:36.0,,,23-27,,Shooting block foul by V. Oladipo (drawn by T. Booker)
3:36.0,,,23-27,,D. Sabonis enters the game for V. Oladipo
3:36.0,,,23-27,,D. Wilkins enters the game for T. Young
3:36.0,S. Dinwiddie enters the game for J. Lin,,23-27,,
3:36.0,T. Booker makes free throw 1 of 1,1,24-27,,
3:21.0,,,24-27,,L. Stephenson misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by A. Crabbe,,24-27,,
3:15.0,A. Crabbe misses 3-pt shot from 26 ft,,24-27,,
3:12.0,,,24-27,,Defensive rebound by D. Wilkins
2:58.0,,,24-27,,Turnover by D. Sabonis (out of bounds lost ball)
2:58.0,,,24-27,,Indiana full timeout
2:47.0,A. Crabbe makes 2-pt shot at rim (assist by S. Dinwiddie),2,26-27,,
2:34.0,,,26-27,,L. Stephenson misses 3-pt shot from 27 ft
2:32.0,Defensive rebound by A. Crabbe,,26-27,,
2:25.0,Turnover by A. Crabbe (traveling),,26-27,,
2:25.0,,,26-27,,T. Leaf enters the game for M. Turner
2:06.0,,,26-27,,C. Joseph misses 2-pt shot from 20 ft
2:03.0,Defensive rebound by A. Crabbe,,26-27,,
1:53.0,Turnover by Q. Acy (traveling),,26-27,,
1:40.0,,,26-27,,L. Stephenson misses 2-pt shot from 16 ft
1:38.0,,,26-27,,Offensive rebound by D. Sabonis
1:35.0,,,26-29,2,D. Sabonis makes 2-pt shot from 1 ft
1:20.0,C. LeVert misses 2-pt shot from 1 ft,,26-29,,
1:20.0,,,26-29,,Defensive rebound by T. Leaf
1:06.0,,,26-29,,L. Stephenson misses 3-pt shot from 26 ft
1:06.0,,,26-29,,Offensive rebound by C. Joseph
1:03.0,,,26-29,,C. Joseph misses 2-pt shot from 20 ft
0:59.0,Defensive rebound by T. Booker,,26-29,,
0:51.0,Q. Acy misses 3-pt shot from 26 ft,,26-29,,
0:51.0,Offensive rebound by Team,,26-29,,
0:39.0,,,26-29,,Shooting block foul by D. Sabonis (drawn by T. Booker)
0:39.0,T. Booker makes free throw 1 of 2,1,27-29,,
0:39.0,R. Hollis-Jefferson enters the game for Q. Acy,,27-29,,
0:39.0,T. Booker makes free throw 2 of 2,1,28-29,,
0:30.0,,,28-29,,Turnover by L. Stephenson (bad pass; steal by A. Crabbe)
0:27.0,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,30-29,,
0:05.0,,,30-29,,L. Stephenson misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by S. Dinwiddie,,30-29,,
0:00.0,Turnover by S. Dinwiddie (bad pass; steal by C. Joseph),,30-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by T. Mozgov (traveling),,30-29,,
11:31.0,,,30-31,2,D. Sabonis makes 2-pt shot from 5 ft (assist by L. Stephenson)
11:23.0,D. Russell misses 2-pt shot from 7 ft,,30-31,,
11:20.0,,,30-31,,Defensive rebound by D. Sabonis
11:15.0,,,30-33,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
11:15.0,Shooting block foul by R. Hollis-Jefferson (drawn by D. Sabonis),,30-33,,
11:15.0,,,30-33,,D. Sabonis misses free throw 1 of 1
11:12.0,Defensive rebound by T. Mozgov,,30-33,,
11:01.0,S. Dinwiddie misses 2-pt shot from 10 ft (block by T. Leaf),,30-33,,
10:58.0,Offensive rebound by S. Dinwiddie,,30-33,,
10:58.0,S. Dinwiddie misses 2-pt shot at rim,,30-33,,
10:58.0,,,30-33,,Defensive rebound by T. Leaf
10:49.0,,,30-35,2,L. Stephenson makes 2-pt shot from 2 ft
10:36.0,,,30-35,,Personal block foul by L. Stephenson (drawn by D. Russell)
10:30.0,D. Russell misses 2-pt shot from 6 ft,,30-35,,
10:25.0,Offensive rebound by T. Mozgov,,30-35,,
10:25.0,T. Mozgov makes 2-pt shot at rim,2,32-35,,
10:17.0,Shooting block foul by T. Mozgov (drawn by L. Stephenson),,32-35,,
10:17.0,,,32-36,1,L. Stephenson makes free throw 1 of 2
10:17.0,,,32-36,,B. Bogdanovic enters the game for D. Wilkins
10:17.0,,,32-36,,L. Stephenson misses free throw 2 of 2
10:14.0,Defensive rebound by R. Hollis-Jefferson,,32-36,,
10:06.0,C. LeVert misses 2-pt shot from 10 ft,,32-36,,
10:05.0,Offensive rebound by Team,,32-36,,
10:05.0,,,32-36,,Loose ball foul by D. Sabonis (drawn by R. Hollis-Jefferson)
9:53.0,D. Russell makes 2-pt shot at rim (assist by S. Dinwiddie),2,34-36,,
9:38.0,,,34-39,3,L. Stephenson makes 3-pt shot from 26 ft
9:29.0,D. Russell makes 2-pt shot from 11 ft,2,36-39,,
9:16.0,,,36-39,,L. Stephenson misses 2-pt shot from 2 ft
9:16.0,,,36-39,,Offensive rebound by D. Sabonis
9:16.0,,,36-39,,Shooting foul by D. Russell (drawn by D. Sabonis)
9:16.0,,,36-40,1,D. Sabonis makes free throw 1 of 2
9:16.0,,,36-41,1,D. Sabonis makes free throw 2 of 2
9:10.0,Shooting foul by T. Leaf (drawn by R. Hollis-Jefferson),,36-41,,
9:10.0,R. Hollis-Jefferson makes free throw 1 of 2,1,37-41,,
9:10.0,R. Hollis-Jefferson makes free throw 2 of 2,1,38-41,,
8:54.0,,,38-41,,T. Leaf misses 3-pt shot from 22 ft
8:51.0,Defensive rebound by D. Russell,,38-41,,
8:39.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,40-41,,
8:22.0,,,40-43,2,C. Joseph makes 2-pt shot from 20 ft (assist by T. Leaf)
8:06.0,D. Russell makes 2-pt shot from 1 ft,2,42-43,,
8:06.0,,,42-43,,Indiana full timeout
8:06.0,,,42-43,,V. Oladipo enters the game for L. Stephenson
8:06.0,,,42-43,,T. Young enters the game for C. Joseph
8:06.0,,,42-43,,D. Collison enters the game for T. Leaf
7:51.0,,,42-43,,B. Bogdanovic misses 2-pt shot at rim
7:50.0,,,42-43,,Offensive rebound by Team
7:50.0,,,42-43,,Turnover by V. Oladipo (bad pass)
7:36.0,T. Mozgov makes 2-pt shot from 1 ft (assist by C. LeVert),2,44-43,,
7:19.0,,,44-43,,V. Oladipo misses 2-pt shot from 15 ft (block by C. LeVert)
7:19.0,,,44-43,,Offensive rebound by Team
7:19.0,,,44-43,,M. Turner enters the game for D. Sabonis
7:19.0,T. Booker enters the game for T. Mozgov,,44-43,,
7:14.0,,,44-46,3,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Young)
6:55.0,T. Booker makes 2-pt shot from 7 ft (assist by D. Russell),2,46-46,,
6:42.0,,,46-49,3,T. Young makes 3-pt shot from 25 ft (assist by D. Collison)
6:25.0,C. LeVert misses 3-pt shot from 27 ft,,46-49,,
6:22.0,,,46-49,,Defensive rebound by M. Turner
6:18.0,,,46-49,,B. Bogdanovic misses 3-pt shot from 23 ft
6:13.0,,,46-49,,Offensive rebound by T. Young
6:13.0,,,46-51,2,T. Young makes 2-pt shot at rim
6:09.0,D. Russell makes 2-pt shot from 9 ft,2,48-51,,
5:47.0,,,48-53,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Collison)
5:40.0,Turnover by C. LeVert (lost ball; steal by D. Collison),,48-53,,
5:40.0,Personal foul by C. LeVert (drawn by D. Collison),,48-53,,
5:40.0,J. Lin enters the game for S. Dinwiddie,,48-53,,
5:40.0,D. Carroll enters the game for C. LeVert,,48-53,,
5:23.0,,,48-53,,M. Turner misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by Team,,48-53,,
5:21.0,A. Crabbe enters the game for R. Hollis-Jefferson,,48-53,,
5:12.0,T. Booker misses 3-pt shot from 26 ft,,48-53,,
5:09.0,Offensive rebound by Team,,48-53,,
5:03.0,Turnover by J. Lin (bad pass; steal by V. Oladipo),,48-53,,
4:59.0,,,48-55,2,V. Oladipo makes 2-pt shot from 1 ft
4:42.0,Turnover by T. Booker (bad pass; steal by V. Oladipo),,48-55,,
4:36.0,,,48-55,,Turnover by D. Collison (bad pass; steal by D. Carroll)
4:32.0,D. Russell misses 3-pt shot from 27 ft,,48-55,,
4:28.0,,,48-55,,Defensive rebound by M. Turner
4:16.0,,,48-57,2,T. Young makes 2-pt shot at rim (assist by D. Collison)
4:06.0,J. Lin makes 2-pt shot from 19 ft,2,50-57,,
3:49.0,,,50-57,,M. Turner misses 2-pt shot from 14 ft
3:46.0,Defensive rebound by D. Carroll,,50-57,,
3:34.0,D. Carroll misses 2-pt shot from 18 ft,,50-57,,
3:32.0,,,50-57,,Defensive rebound by M. Turner
3:28.0,,,50-57,,Turnover by V. Oladipo (bad pass; steal by A. Crabbe)
3:23.0,J. Lin makes 2-pt shot from 1 ft (assist by D. Russell),2,52-57,,
3:05.0,,,52-57,,V. Oladipo misses 3-pt shot from 25 ft (block by A. Crabbe)
3:02.0,Defensive rebound by T. Booker,,52-57,,
2:51.0,T. Booker makes 2-pt shot from 3 ft (assist by A. Crabbe),2,54-57,,
2:38.0,,,54-57,,T. Young misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by A. Crabbe,,54-57,,
2:28.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Russell),3,57-57,,
2:23.0,,,57-57,,Indiana full timeout
2:23.0,,,57-57,,C. Joseph enters the game for D. Collison
2:23.0,C. LeVert enters the game for D. Russell,,57-57,,
2:14.0,,,57-57,,B. Bogdanovic misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by C. LeVert,,57-57,,
2:06.0,C. LeVert misses 2-pt shot from 7 ft,,57-57,,
2:01.0,Offensive rebound by T. Booker,,57-57,,
2:01.0,T. Booker misses 2-pt shot at rim,,57-57,,
2:00.0,,,57-57,,Defensive rebound by C. Joseph
1:56.0,,,57-57,,C. Joseph misses 3-pt shot from 22 ft
1:51.0,,,57-57,,Offensive rebound by T. Young
1:51.0,,,57-57,,T. Young misses 2-pt shot at rim
1:51.0,,,57-57,,Offensive rebound by T. Young
1:50.0,,,57-57,,T. Young misses 2-pt shot at rim
1:49.0,Defensive rebound by D. Carroll,,57-57,,
1:33.0,J. Lin misses 2-pt shot from 7 ft,,57-57,,
1:31.0,,,57-57,,Defensive rebound by T. Young
1:27.0,,,57-57,,Shooting foul by C. LeVert (drawn by V. Oladipo)
1:27.0,,,57-58,1,V. Oladipo makes free throw 1 of 2
1:27.0,,,57-59,1,V. Oladipo makes free throw 2 of 2
1:09.0,C. LeVert makes 3-pt shot from 27 ft (assist by J. Lin),3,60-59,,
0:56.0,Personal foul by A. Crabbe (drawn by B. Bogdanovic),,60-59,,
0:56.0,,,60-60,1,B. Bogdanovic makes free throw 1 of 2
0:56.0,,,60-60,,L. Stephenson enters the game for V. Oladipo
0:56.0,,,60-61,1,B. Bogdanovic makes free throw 2 of 2
0:40.0,Turnover by T. Booker (bad pass; steal by C. Joseph),,60-61,,
0:37.0,,,60-63,2,T. Young makes 2-pt shot from 1 ft
0:32.0,J. Lin makes 3-pt shot from 25 ft,3,63-63,,
0:18.0,,,63-63,,C. Joseph misses 2-pt shot from 16 ft
0:15.0,,,63-63,,Offensive rebound by M. Turner
0:15.0,,,63-65,2,M. Turner makes 2-pt shot from 1 ft
0:01.0,J. Lin misses 2-pt shot from 1 ft,,63-65,,
0:01.0,,,63-65,,Defensive rebound by T. Young
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,63-65,,Personal foul by M. Turner (drawn by T. Mozgov)
11:46.0,,,63-65,,Violation by M. Turner (kicked ball)
11:31.0,Turnover by D. Russell (lost ball; steal by T. Young),,63-65,,
11:25.0,,,63-65,,M. Turner misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by D. Carroll,,63-65,,
11:14.0,Turnover by T. Mozgov (out of bounds lost ball),,63-65,,
11:00.0,,,63-65,,Turnover by M. Turner (bad pass; steal by R. Hollis-Jefferson)
10:56.0,D. Russell makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,65-65,,
10:35.0,,,65-68,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Turner)
10:17.0,D. Carroll misses 2-pt shot from 4 ft,,65-68,,
10:16.0,,,65-68,,Defensive rebound by Team
10:03.0,,,65-70,2,V. Oladipo makes 2-pt shot from 7 ft
9:52.0,T. Mozgov misses 3-pt shot from 25 ft,,65-70,,
9:49.0,,,65-70,,Defensive rebound by M. Turner
9:42.0,,,65-72,2,D. Collison makes 2-pt shot from 2 ft
9:42.0,Shooting block foul by J. Lin (drawn by D. Collison),,65-72,,
9:42.0,,,65-73,1,D. Collison makes free throw 1 of 1
9:30.0,Turnover by D. Russell (lost ball; steal by T. Young),,65-73,,
9:24.0,,,65-73,,V. Oladipo misses 3-pt shot from 25 ft
9:21.0,,,65-73,,Offensive rebound by Team
9:18.0,,,65-75,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo)
9:16.0,Brooklyn full timeout,,65-75,,
9:02.0,,,65-75,,Shooting block foul by M. Turner (drawn by R. Hollis-Jefferson)
9:02.0,R. Hollis-Jefferson makes free throw 1 of 2,1,66-75,,
9:02.0,R. Hollis-Jefferson makes free throw 2 of 2,1,67-75,,
8:54.0,,,67-75,,D. Collison misses 3-pt shot from 22 ft
8:53.0,,,67-75,,Offensive rebound by Team
8:53.0,Loose ball foul by J. Lin (drawn by M. Turner),,67-75,,
8:39.0,,,67-75,,B. Bogdanovic misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by D. Russell,,67-75,,
8:32.0,D. Carroll misses 3-pt shot from 22 ft,,67-75,,
8:28.0,,,67-75,,Defensive rebound by D. Collison
8:16.0,,,67-77,2,T. Young makes 2-pt shot from 5 ft
8:04.0,,,67-77,,Personal foul by T. Young (drawn by J. Lin)
8:04.0,T. Booker enters the game for T. Mozgov,,67-77,,
7:55.0,Shooting foul by D. Collison (drawn by J. Lin),,67-77,,
7:55.0,J. Lin makes free throw 1 of 3,1,68-77,,
7:55.0,J. Lin makes free throw 2 of 3,1,69-77,,
7:55.0,J. Lin makes free throw 3 of 3,1,70-77,,
7:45.0,,,70-77,,Turnover by T. Young (traveling)
7:32.0,,,70-77,,Personal foul by V. Oladipo (drawn by D. Russell)
7:32.0,D. Russell makes free throw 1 of 2,1,71-77,,
7:32.0,D. Russell makes free throw 2 of 2,1,72-77,,
7:28.0,,,72-77,,Offensive charge foul by V. Oladipo (drawn by D. Carroll)
7:28.0,,,72-77,,Turnover by V. Oladipo (offensive foul)
7:28.0,,,72-77,,L. Stephenson enters the game for V. Oladipo
7:21.0,Shooting foul by B. Bogdanovic (drawn by D. Carroll),,72-77,,
7:21.0,D. Carroll misses free throw 1 of 2,,72-77,,
7:21.0,Offensive rebound by Team,,72-77,,
7:21.0,D. Carroll makes free throw 2 of 2,1,73-77,,
7:09.0,,,73-77,,L. Stephenson misses 3-pt shot from 25 ft
7:04.0,,,73-77,,Offensive rebound by T. Young
7:04.0,,,73-79,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young)
6:40.0,D. Carroll misses 2-pt shot from 1 ft,,73-79,,
6:37.0,Offensive rebound by T. Booker,,73-79,,
6:37.0,T. Booker makes 2-pt shot at rim,2,75-79,,
6:20.0,,,75-82,3,L. Stephenson makes 3-pt shot from 27 ft (assist by D. Collison)
6:07.0,D. Russell misses 3-pt shot from 27 ft,,75-82,,
6:02.0,Offensive rebound by D. Carroll,,75-82,,
5:59.0,D. Carroll makes 2-pt shot from 1 ft,2,77-82,,
5:45.0,,,77-82,,L. Stephenson misses 3-pt shot from 23 ft
5:44.0,,,77-82,,Offensive rebound by D. Collison
5:43.0,,,77-84,2,D. Collison makes 2-pt shot at rim
5:33.0,Shooting foul by T. Young (drawn by J. Lin),,77-84,,
5:33.0,J. Lin makes free throw 1 of 2,1,78-84,,
5:33.0,,,78-84,,C. Joseph enters the game for B. Bogdanovic
5:33.0,Q. Acy enters the game for D. Russell,,78-84,,
5:33.0,A. Crabbe enters the game for R. Hollis-Jefferson,,78-84,,
5:33.0,J. Lin makes free throw 2 of 2,1,79-84,,
5:16.0,,,79-86,2,L. Stephenson makes 2-pt shot at rim
4:58.0,A. Crabbe misses 2-pt shot from 4 ft (block by L. Stephenson),,79-86,,
4:58.0,Offensive rebound by Team,,79-86,,
4:54.0,Offensive charge foul by A. Crabbe (drawn by C. Joseph),,79-86,,
4:54.0,Turnover by A. Crabbe (offensive foul),,79-86,,
4:54.0,,,79-86,,D. Sabonis enters the game for T. Young
4:43.0,,,79-88,2,M. Turner makes 2-pt shot from 16 ft (assist by D. Collison)
4:32.0,J. Lin misses 2-pt shot from 17 ft,,79-88,,
4:32.0,,,79-88,,Defensive rebound by M. Turner
4:21.0,,,79-90,2,D. Sabonis makes 2-pt shot from 17 ft (assist by D. Collison)
4:20.0,Brooklyn full timeout,,79-90,,
4:20.0,C. LeVert enters the game for D. Carroll,,79-90,,
4:11.0,Q. Acy makes 3-pt shot from 27 ft (assist by J. Lin),3,82-90,,
3:56.0,,,82-92,2,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison)
3:44.0,C. LeVert misses 2-pt shot from 2 ft (block by M. Turner),,82-92,,
3:41.0,,,82-92,,Defensive rebound by M. Turner
3:38.0,,,82-94,2,L. Stephenson makes 2-pt shot from 1 ft (assist by D. Collison)
3:30.0,,,82-94,,Personal foul by M. Turner (drawn by J. Lin)
3:30.0,J. Lin makes free throw 1 of 2,1,83-94,,
3:30.0,J. Lin makes free throw 2 of 2,1,84-94,,
3:16.0,,,84-94,,Turnover by D. Collison (bad pass; steal by C. LeVert)
3:13.0,C. LeVert makes 2-pt shot from 2 ft,2,86-94,,
3:13.0,Shooting foul by L. Stephenson (drawn by C. LeVert),,86-94,,
3:13.0,S. Dinwiddie enters the game for J. Lin,,86-94,,
3:13.0,C. LeVert makes free throw 1 of 1,1,87-94,,
3:01.0,,,87-94,,Shooting foul by S. Dinwiddie (drawn by D. Collison)
3:01.0,,,87-94,,D. Collison misses free throw 1 of 2
3:01.0,,,87-94,,Offensive rebound by Team
3:01.0,,,87-95,1,D. Collison makes free throw 2 of 2
2:54.0,Shooting foul by C. Joseph (drawn by A. Crabbe),,87-95,,
2:54.0,A. Crabbe makes free throw 1 of 3,1,88-95,,
2:54.0,A. Crabbe makes free throw 2 of 3,1,89-95,,
2:54.0,A. Crabbe misses free throw 3 of 3,,89-95,,
2:53.0,,,89-95,,Defensive rebound by D. Sabonis
2:37.0,,,89-97,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
2:27.0,C. LeVert makes 2-pt shot from 9 ft,2,91-97,,
2:12.0,,,91-99,2,M. Turner makes 2-pt shot from 20 ft (assist by L. Stephenson)
1:50.0,S. Dinwiddie misses 2-pt shot from 14 ft,,91-99,,
1:46.0,Offensive rebound by T. Booker,,91-99,,
1:46.0,T. Booker makes 2-pt shot at rim,2,93-99,,
1:33.0,,,93-101,2,D. Collison makes 2-pt shot from 16 ft
1:23.0,Q. Acy makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,96-101,,
1:08.0,,,96-104,3,D. Collison makes 3-pt shot from 26 ft (assist by D. Sabonis)
0:55.0,Turnover by S. Dinwiddie (traveling),,96-104,,
0:55.0,,,96-104,,T. Leaf enters the game for D. Collison
0:55.0,,,96-104,,D. Wilkins enters the game for M. Turner
0:55.0,R. Hollis-Jefferson enters the game for T. Booker,,96-104,,
0:37.0,,,96-104,,Shooting foul by Q. Acy (drawn by C. Joseph)
0:37.0,,,96-105,1,C. Joseph makes free throw 1 of 2
0:37.0,,,96-106,1,C. Joseph makes free throw 2 of 2
0:32.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,98-106,,
0:20.0,,,98-106,,L. Stephenson misses 3-pt shot from 27 ft
0:17.0,Defensive rebound by A. Crabbe,,98-106,,
0:02.0,C. LeVert misses 2-pt shot from 6 ft,,98-106,,
0:00.0,,,98-106,,Defensive rebound by L. Stephenson
0:00.0,,,98-106,,L. Stephenson misses 3-pt shot from 58 ft
0:00.0,,,98-106,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,98-106,,Turnover by C. Joseph (bad pass; steal by C. LeVert)
11:45.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by C. LeVert),2,100-106,,
11:28.0,,,100-108,2,C. Joseph makes 2-pt shot from 1 ft
11:16.0,Shooting foul by T. Leaf (drawn by A. Crabbe),,100-108,,
11:16.0,A. Crabbe makes free throw 1 of 2,1,101-108,,
11:16.0,A. Crabbe makes free throw 2 of 2,1,102-108,,
11:04.0,,,102-108,,C. Joseph misses 2-pt shot from 14 ft
11:03.0,,,102-108,,Offensive rebound by Team
11:03.0,Loose ball foul by R. Hollis-Jefferson (drawn by D. Sabonis),,102-108,,
10:53.0,,,102-108,,Shooting foul by R. Hollis-Jefferson (drawn by L. Stephenson)
10:53.0,,,102-109,1,L. Stephenson makes free throw 1 of 2
10:53.0,,,102-109,,L. Stephenson misses free throw 2 of 2
10:50.0,Defensive rebound by Q. Acy,,102-109,,
10:40.0,Shooting foul by T. Leaf (drawn by R. Hollis-Jefferson),,102-109,,
10:40.0,R. Hollis-Jefferson makes free throw 1 of 2,1,103-109,,
10:40.0,R. Hollis-Jefferson makes free throw 2 of 2,1,104-109,,
10:25.0,,,104-111,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
10:14.0,,,104-111,,Personal foul by D. Wilkins (drawn by A. Crabbe)
10:05.0,C. LeVert makes 2-pt shot at rim,2,106-111,,
9:44.0,Personal foul by S. Dinwiddie (drawn by C. Joseph),,106-111,,
9:44.0,,,106-111,,T. Young enters the game for T. Leaf
9:37.0,,,106-113,2,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph)
9:21.0,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Wilkins),,106-113,,
9:16.0,,,106-115,2,L. Stephenson makes 2-pt shot from 1 ft
