time,LA Clippers,pts.away,score,pts.home,Golden State
2:36.0,Defensive rebound by T. Harris,,19-25,,
2:25.0,T. Wallace misses 3-pt shot from 25 ft,,19-25,,
2:23.0,Offensive rebound by D. Jordan,,19-25,,
2:18.0,T. Wallace makes 2-pt shot from 2 ft (assist by D. Jordan),2,21-25,,
2:05.0,,,21-25,,Shooting foul by T. Wallace (drawn by Z. Pachulia)
2:05.0,,,21-26,1,Z. Pachulia makes free throw 1 of 2
2:05.0,,,21-26,,D. Green enters the game for K. Durant
2:05.0,M. Harrell enters the game for D. Jordan,,21-26,,
2:05.0,,,21-27,1,Z. Pachulia makes free throw 2 of 2
1:54.0,M. Harrell makes 2-pt shot at rim (assist by L. Williams),2,23-27,,
1:42.0,,,23-27,,Shooting foul by M. Teodosic (drawn by Z. Pachulia)
1:42.0,,,23-28,1,Z. Pachulia makes free throw 1 of 2
1:42.0,,,23-29,1,Z. Pachulia makes free throw 2 of 2
1:26.0,M. Teodosic misses 3-pt shot from 27 ft,,23-29,,
1:23.0,Offensive rebound by T. Wallace,,23-29,,
1:14.0,M. Harrell misses 2-pt shot from 2 ft,,23-29,,
1:11.0,,,23-29,,Defensive rebound by A. Iguodala
1:11.0,Personal foul by L. Williams (drawn by A. Iguodala),,23-29,,
1:11.0,,,23-29,,A. Iguodala misses free throw 1 of 2
1:11.0,,,23-29,,Offensive rebound by Team
1:11.0,,,23-29,,D. West enters the game for Z. Pachulia
1:11.0,S. Dekker enters the game for T. Harris,,23-29,,
1:11.0,,,23-29,,A. Iguodala misses free throw 2 of 2
1:08.0,Defensive rebound by S. Dekker,,23-29,,
0:49.0,T. Wallace misses 2-pt shot from 2 ft,,23-29,,
0:46.0,,,23-29,,Defensive rebound by D. Green
0:45.0,,,23-29,,S. Curry misses 3-pt shot from 29 ft
0:40.0,Defensive rebound by M. Harrell,,23-29,,
0:30.0,M. Teodosic misses 3-pt shot from 25 ft,,23-29,,
0:25.0,,,23-29,,Defensive rebound by D. West
0:08.0,Personal foul by S. Dekker (drawn by S. Curry),,23-29,,
0:08.0,,,23-30,1,S. Curry makes free throw 1 of 2
0:08.0,,,23-30,,S. Livingston enters the game for D. West
0:08.0,A. Rivers enters the game for S. Dekker,,23-30,,
0:08.0,,,23-31,1,S. Curry makes free throw 2 of 2
0:03.0,Turnover by L. Williams (bad pass),,23-31,,
0:01.0,,,23-34,3,S. Curry makes 3-pt shot from 37 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-36,2,D. Green makes 2-pt shot from 1 ft (assist by D. West)
11:32.0,S. Dekker makes 2-pt shot at rim (assist by L. Williams),2,25-36,,
11:14.0,,,25-38,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. West)
11:01.0,L. Williams misses 2-pt shot from 8 ft (block by A. Iguodala),,25-38,,
10:57.0,,,25-38,,Defensive rebound by S. Livingston
10:54.0,,,25-40,2,D. West makes 2-pt shot from 2 ft (assist by S. Livingston)
10:43.0,M. Teodosic makes 3-pt shot from 26 ft (assist by L. Williams),3,28-40,,
10:24.0,,,28-42,2,D. West makes 2-pt shot from 14 ft
10:09.0,Turnover by M. Teodosic (bad pass; steal by A. Iguodala),,28-42,,
10:05.0,,,28-44,2,K. Thompson makes 2-pt shot at rim (assist by A. Iguodala)
9:53.0,L. Williams misses 3-pt shot from 25 ft,,28-44,,
9:49.0,,,28-44,,Defensive rebound by S. Livingston
9:45.0,,,28-46,2,S. Livingston makes 2-pt shot from 19 ft
9:42.0,LA Clippers full timeout,,28-46,,
9:42.0,D. Gallinari enters the game for T. Wallace,,28-46,,
9:42.0,A. Rivers enters the game for S. Dekker,,28-46,,
9:29.0,M. Teodosic makes 3-pt shot from 24 ft (assist by D. Gallinari),3,31-46,,
9:11.0,,,31-46,,Turnover by D. West (bad pass)
8:57.0,D. Gallinari makes 2-pt shot from 22 ft,2,33-46,,
8:41.0,,,33-48,2,K. Thompson makes 2-pt shot from 22 ft (assist by D. Green)
8:25.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,35-48,,
8:11.0,,,35-48,,Turnover by A. Iguodala (bad pass)
8:11.0,,,35-48,,K. Durant enters the game for A. Iguodala
8:11.0,,,35-48,,N. Young enters the game for D. Green
8:04.0,L. Williams misses 2-pt shot from 10 ft (block by D. West),,35-48,,
8:02.0,Offensive rebound by Team,,35-48,,
7:58.0,D. Gallinari misses 2-pt shot from 7 ft (block by S. Livingston),,35-48,,
7:53.0,,,35-48,,Defensive rebound by S. Livingston
7:42.0,,,35-48,,S. Livingston misses 2-pt shot from 7 ft
7:37.0,Defensive rebound by A. Rivers,,35-48,,
7:35.0,Shooting foul by K. Durant (drawn by D. Gallinari),,35-48,,
7:35.0,D. Gallinari makes free throw 1 of 2,1,36-48,,
7:35.0,T. Harris enters the game for M. Teodosic,,36-48,,
7:35.0,D. Gallinari makes free throw 2 of 2,1,37-48,,
7:23.0,,,37-50,2,K. Thompson makes 2-pt shot from 10 ft
7:13.0,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers),2,39-50,,
7:05.0,,,39-50,,Shooting foul by A. Rivers (drawn by K. Thompson)
7:05.0,,,39-50,,K. Thompson misses free throw 1 of 2
7:05.0,,,39-50,,Offensive rebound by Team
7:05.0,,,39-51,1,K. Thompson makes free throw 2 of 2
6:54.0,,,39-51,,Def 3 sec tech foul by D. West
6:54.0,L. Williams makes technical free throw,1,40-51,,
6:48.0,Turnover by D. Gallinari (bad pass; steal by S. Livingston),,40-51,,
6:43.0,,,40-51,,Shooting foul by M. Harrell (drawn by K. Durant)
6:43.0,,,40-52,1,K. Durant makes free throw 1 of 2
6:43.0,D. Jordan enters the game for M. Harrell,,40-52,,
6:43.0,,,40-52,,K. Durant misses free throw 2 of 2
6:40.0,Defensive rebound by D. Jordan,,40-52,,
6:27.0,T. Harris misses 2-pt shot from 8 ft,,40-52,,
6:20.0,,,40-52,,Defensive rebound by K. Durant
6:18.0,,,40-52,,Shooting foul by T. Harris (drawn by K. Durant)
6:18.0,,,40-53,1,K. Durant makes free throw 1 of 2
6:18.0,,,40-53,,S. Curry enters the game for D. West
6:18.0,,,40-53,,D. Green enters the game for K. Thompson
6:18.0,,,40-54,1,K. Durant makes free throw 2 of 2
6:03.0,D. Gallinari misses 2-pt shot from 21 ft,,40-54,,
5:59.0,,,40-54,,Defensive rebound by N. Young
5:57.0,,,40-57,3,N. Young makes 3-pt shot from 27 ft (assist by S. Curry)
5:45.0,Shooting foul by S. Livingston (drawn by L. Williams),,40-57,,
5:45.0,L. Williams makes free throw 1 of 2,1,41-57,,
5:45.0,L. Williams makes free throw 2 of 2,1,42-57,,
5:36.0,,,42-57,,Golden State full timeout
5:30.0,,,42-57,,Turnover by S. Curry (bad pass; steal by L. Williams)
5:24.0,,,42-57,,Personal foul by S. Livingston (drawn by L. Williams)
5:10.0,,,42-57,,Personal foul by D. Green (drawn by T. Harris)
4:58.0,A. Rivers makes 2-pt shot from 2 ft,2,44-57,,
4:50.0,,,44-57,,K. Durant misses 2-pt shot from 14 ft
4:46.0,Defensive rebound by T. Harris,,44-57,,
4:40.0,D. Gallinari makes 2-pt shot from 20 ft (assist by L. Williams),2,46-57,,
4:30.0,,,46-57,,Turnover by D. Green (lost ball; steal by A. Rivers)
4:24.0,A. Rivers makes 2-pt shot from 1 ft,2,48-57,,
4:22.0,,,48-57,,Golden State full timeout
4:22.0,,,48-57,,A. Iguodala enters the game for N. Young
4:22.0,,,48-57,,K. Thompson enters the game for S. Livingston
4:05.0,,,48-57,,K. Durant misses 2-pt shot from 19 ft
4:01.0,Defensive rebound by D. Jordan,,48-57,,
3:56.0,Shooting foul by S. Curry (drawn by A. Rivers),,48-57,,
3:56.0,A. Rivers misses free throw 1 of 2,,48-57,,
3:56.0,Offensive rebound by Team,,48-57,,
3:56.0,A. Rivers makes free throw 2 of 2,1,49-57,,
3:46.0,,,49-59,2,K. Durant makes 2-pt shot from 2 ft
3:29.0,A. Rivers makes 3-pt shot from 27 ft,3,52-59,,
3:10.0,,,52-59,,Shooting foul by A. Rivers (drawn by K. Durant)
3:10.0,,,52-60,1,K. Durant makes free throw 1 of 2
3:10.0,,,52-60,,K. Durant misses free throw 2 of 2
3:07.0,Defensive rebound by D. Jordan,,52-60,,
2:57.0,L. Williams misses 2-pt shot from 10 ft,,52-60,,
2:54.0,,,52-60,,Defensive rebound by S. Curry
2:50.0,,,52-60,,K. Thompson misses 3-pt shot from 23 ft
2:45.0,,,52-60,,Offensive rebound by D. Green
2:37.0,,,52-63,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
2:28.0,,,52-63,,Personal foul by A. Iguodala (drawn by A. Rivers)
2:28.0,A. Rivers misses free throw 1 of 2,,52-63,,
2:28.0,Offensive rebound by Team,,52-63,,
2:28.0,A. Rivers misses free throw 2 of 2,,52-63,,
2:25.0,Offensive rebound by Team,,52-63,,
2:23.0,T. Harris misses 2-pt shot from 18 ft,,52-63,,
2:20.0,Offensive rebound by D. Gallinari,,52-63,,
2:20.0,Shooting foul by D. Green (drawn by D. Gallinari),,52-63,,
2:20.0,D. Gallinari misses free throw 1 of 2,,52-63,,
2:20.0,Offensive rebound by Team,,52-63,,
2:20.0,T. Wallace enters the game for A. Rivers,,52-63,,
2:20.0,D. Gallinari makes free throw 2 of 2,1,53-63,,
2:00.0,,,53-63,,Turnover by K. Thompson (bad pass; steal by D. Jordan)
1:41.0,Turnover by T. Harris (lost ball; steal by S. Curry),,53-63,,
1:41.0,Personal foul by T. Harris (drawn by S. Curry),,53-63,,
1:41.0,,,53-64,1,S. Curry makes free throw 1 of 2
1:41.0,A. Rivers enters the game for T. Wallace,,53-64,,
1:41.0,,,53-65,1,S. Curry makes free throw 2 of 2
1:19.0,L. Williams misses 3-pt shot from 26 ft,,53-65,,
1:17.0,Offensive rebound by Team,,53-65,,
1:17.0,Turnover by Team (shot clock),,53-65,,
1:17.0,T. Wallace enters the game for L. Williams,,53-65,,
1:07.0,,,53-67,2,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry)
0:53.0,,,53-67,,Personal foul by K. Durant (drawn by D. Jordan)
0:53.0,D. Jordan makes free throw 1 of 2,1,54-67,,
0:53.0,D. Jordan makes free throw 2 of 2,1,55-67,,
0:42.0,,,55-67,,K. Durant misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by A. Rivers,,55-67,,
0:27.0,T. Harris misses 2-pt shot from 6 ft (block by K. Durant),,55-67,,
0:22.0,,,55-67,,Defensive rebound by S. Curry
0:07.0,,,55-70,3,S. Curry makes 3-pt shot from 26 ft
0:01.0,D. Gallinari makes 3-pt shot from 42 ft (assist by A. Rivers),3,58-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-72,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
11:32.0,D. Gallinari misses 2-pt shot from 14 ft,,58-72,,
11:26.0,Offensive rebound by D. Jordan,,58-72,,
11:26.0,D. Jordan misses 2-pt shot at rim,,58-72,,
11:25.0,,,58-72,,Defensive rebound by J. McGee
11:20.0,,,58-72,,K. Thompson misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by T. Harris,,58-72,,
11:07.0,T. Harris makes 2-pt shot from 10 ft,2,60-72,,
10:43.0,,,60-72,,K. Thompson misses 2-pt shot from 4 ft (block by D. Jordan)
10:43.0,,,60-72,,K. Thompson misses 2-pt shot from 4 ft (block by D. Jordan)
10:42.0,,,60-72,,Offensive rebound by Team
10:42.0,,,60-72,,Offensive rebound by Team
10:39.0,,,60-74,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
10:22.0,T. Harris makes 2-pt shot from 15 ft (assist by D. Jordan),2,62-74,,
9:59.0,,,62-76,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
9:51.0,Turnover by T. Harris (traveling),,62-76,,
9:35.0,,,62-78,2,S. Curry makes 2-pt shot from 10 ft
9:18.0,Shooting foul by J. McGee (drawn by T. Wallace),,62-78,,
9:18.0,T. Wallace makes free throw 1 of 2,1,63-78,,
9:18.0,T. Wallace makes free throw 2 of 2,1,64-78,,
9:07.0,,,64-78,,Turnover by S. Curry (lost ball; steal by T. Wallace)
9:01.0,D. Jordan makes 2-pt shot from 1 ft (assist by T. Wallace),2,66-78,,
8:39.0,,,66-78,,K. Durant misses 2-pt shot from 10 ft
8:39.0,Defensive rebound by T. Wallace,,66-78,,
8:29.0,D. Gallinari misses 3-pt shot from 27 ft,,66-78,,
8:26.0,,,66-78,,Defensive rebound by S. Curry
8:23.0,,,66-80,2,S. Curry makes 2-pt shot from 1 ft
8:04.0,D. Gallinari makes 2-pt shot from 2 ft (assist by A. Rivers),2,68-80,,
7:44.0,,,68-80,,D. Green misses 2-pt shot from 3 ft
7:40.0,Defensive rebound by D. Jordan,,68-80,,
7:39.0,Turnover by D. Jordan (bad pass; steal by S. Curry),,68-80,,
7:33.0,,,68-83,3,S. Curry makes 3-pt shot from 25 ft
7:29.0,T. Wallace misses 2-pt shot from 11 ft,,68-83,,
7:25.0,,,68-83,,Defensive rebound by K. Durant
7:25.0,,,68-83,,Shooting foul by D. Jordan (drawn by D. Green)
7:25.0,,,68-83,,D. Green misses free throw 1 of 2
7:25.0,,,68-83,,Offensive rebound by Team
7:25.0,,,68-84,1,D. Green makes free throw 2 of 2
7:16.0,A. Rivers makes 3-pt shot from 28 ft (assist by T. Harris),3,71-84,,
6:53.0,,,71-84,,K. Durant misses 2-pt shot from 9 ft
6:48.0,Defensive rebound by D. Gallinari,,71-84,,
6:35.0,T. Wallace misses 3-pt shot from 25 ft,,71-84,,
6:33.0,Offensive rebound by Team,,71-84,,
6:33.0,,,71-84,,Loose ball foul by J. McGee (drawn by D. Jordan)
6:33.0,,,71-84,,Golden State full timeout
6:33.0,L. Williams enters the game for T. Wallace,,71-84,,
6:29.0,Turnover by T. Harris (bad pass),,71-84,,
6:14.0,,,71-84,,K. Thompson misses 2-pt shot from 23 ft
6:11.0,Defensive rebound by D. Jordan,,71-84,,
6:01.0,D. Gallinari misses 2-pt shot from 13 ft,,71-84,,
5:56.0,Offensive rebound by D. Jordan,,71-84,,
5:56.0,D. Jordan misses 2-pt shot at rim,,71-84,,
5:55.0,,,71-84,,Defensive rebound by J. McGee
5:42.0,,,71-84,,J. McGee misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by D. Jordan,,71-84,,
5:35.0,Shooting foul by K. Thompson (drawn by D. Jordan),,71-84,,
5:35.0,D. Jordan makes free throw 1 of 2,1,72-84,,
5:35.0,,,72-84,,Z. Pachulia enters the game for J. McGee
5:35.0,,,72-84,,A. Iguodala enters the game for D. Green
5:35.0,D. Jordan makes free throw 2 of 2,1,73-84,,
5:25.0,,,73-84,,Turnover by S. Curry (lost ball; steal by D. Jordan)
5:20.0,L. Williams misses 2-pt shot from 2 ft (block by K. Thompson),,73-84,,
5:16.0,,,73-84,,Defensive rebound by K. Thompson
5:14.0,,,73-86,2,A. Iguodala makes 2-pt shot at rim (assist by Z. Pachulia)
5:03.0,L. Williams misses 3-pt shot from 26 ft,,73-86,,
5:01.0,Offensive rebound by D. Jordan,,73-86,,
5:01.0,Turnover by D. Jordan (bad pass),,73-86,,
4:38.0,,,73-88,2,K. Thompson makes 2-pt shot from 2 ft (assist by K. Durant)
4:15.0,T. Harris makes 2-pt shot from 5 ft,2,75-88,,
4:04.0,,,75-90,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
3:55.0,D. Gallinari makes 2-pt shot from 2 ft (assist by L. Williams),2,77-90,,
3:44.0,,,77-93,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
3:31.0,,,77-93,,Personal foul by Z. Pachulia (drawn by D. Jordan)
3:31.0,,,77-93,,N. Young enters the game for K. Thompson
3:31.0,M. Harrell enters the game for D. Jordan,,77-93,,
3:31.0,M. Teodosic enters the game for D. Gallinari,,77-93,,
3:24.0,A. Rivers misses 3-pt shot from 26 ft,,77-93,,
3:22.0,,,77-93,,Defensive rebound by Team
3:12.0,,,77-93,,Turnover by K. Durant (lost ball; steal by M. Teodosic)
3:08.0,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams),2,79-93,,
3:08.0,Shooting foul by Z. Pachulia (drawn by M. Harrell),,79-93,,
3:08.0,M. Harrell makes free throw 1 of 1,1,80-93,,
2:56.0,,,80-93,,S. Curry misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by A. Rivers,,80-93,,
2:51.0,Offensive charge foul by L. Williams (drawn by A. Iguodala),,80-93,,
2:51.0,Turnover by L. Williams (offensive foul),,80-93,,
2:51.0,LA Clippers full timeout,,80-93,,
2:37.0,,,80-96,3,K. Durant makes 3-pt shot from 26 ft
2:16.0,T. Harris makes 3-pt shot from 26 ft (assist by A. Rivers),3,83-96,,
2:05.0,,,83-96,,N. Young misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by T. Harris,,83-96,,
1:55.0,L. Williams makes 2-pt shot from 11 ft (assist by T. Harris),2,85-96,,
1:34.0,,,85-96,,D. Green enters the game for K. Durant
1:34.0,B. Marjanovic enters the game for T. Harris,,85-96,,
1:34.0,,,85-96,,D. West enters the game for Z. Pachulia
1:31.0,,,85-96,,D. Green misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by Team,,85-96,,
1:18.0,L. Williams makes 2-pt shot from 16 ft,2,87-96,,
1:03.0,,,87-96,,Shooting foul by B. Marjanovic (drawn by S. Curry)
1:03.0,,,87-97,1,S. Curry makes free throw 1 of 2
1:03.0,,,87-98,1,S. Curry makes free throw 2 of 2
0:51.0,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams),2,89-98,,
0:36.0,,,89-100,2,S. Curry makes 2-pt shot from 11 ft
0:29.0,Shooting foul by S. Curry (drawn by A. Rivers),,89-100,,
0:29.0,A. Rivers misses free throw 1 of 2,,89-100,,
0:29.0,Offensive rebound by Team,,89-100,,
0:29.0,W. Johnson enters the game for B. Marjanovic,,89-100,,
0:29.0,A. Rivers makes free throw 2 of 2,1,90-100,,
0:08.0,,,90-100,,Shooting foul by W. Johnson (drawn by S. Curry)
0:08.0,,,90-101,1,S. Curry makes free throw 1 of 2
0:08.0,,,90-101,,S. Livingston enters the game for D. West
0:08.0,,,90-102,1,S. Curry makes free throw 2 of 2
0:00.0,L. Williams makes 2-pt shot from 11 ft,2,92-102,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by D. Green (drawn by D. Gallinari),,92-102,,
11:48.0,D. Gallinari makes free throw 1 of 2,1,93-102,,
11:48.0,D. Gallinari misses free throw 2 of 2,,93-102,,
11:46.0,,,93-102,,Defensive rebound by D. West
11:31.0,,,93-102,,Shooting foul by T. Wallace (drawn by D. West)
11:31.0,,,93-103,1,D. West makes free throw 1 of 2
11:31.0,,,93-104,1,D. West makes free throw 2 of 2
11:16.0,D. Gallinari misses 2-pt shot from 12 ft,,93-104,,
11:11.0,Offensive rebound by M. Harrell,,93-104,,
11:10.0,D. Gallinari misses 2-pt shot from 2 ft (block by A. Iguodala),,93-104,,
11:10.0,Offensive rebound by Team,,93-104,,
11:05.0,M. Teodosic misses 3-pt shot from 25 ft,,93-104,,
11:02.0,,,93-104,,Defensive rebound by K. Thompson
10:52.0,,,93-104,,D. Green misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by T. Wallace,,93-104,,
10:46.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,95-104,,
10:29.0,,,95-104,,Turnover by D. West (bad pass)
10:12.0,T. Wallace makes 2-pt shot from 1 ft (assist by L. Williams),2,97-104,,
9:56.0,,,97-104,,K. Thompson misses 2-pt shot from 20 ft
9:52.0,Defensive rebound by M. Harrell,,97-104,,
9:49.0,L. Williams makes 3-pt shot from 26 ft (assist by T. Wallace),3,100-104,,
9:35.0,Personal foul by M. Teodosic (drawn by D. West),,100-104,,
9:35.0,,,100-104,,K. Durant enters the game for A. Iguodala
9:30.0,,,100-104,,K. Thompson misses 2-pt shot from 18 ft
9:27.0,Defensive rebound by M. Harrell,,100-104,,
9:27.0,,,100-104,,Personal foul by K. Thompson (drawn by L. Williams)
9:20.0,L. Williams misses 2-pt shot from 11 ft,,100-104,,
9:16.0,,,100-104,,Defensive rebound by D. Green
9:14.0,,,100-104,,Turnover by S. Livingston (bad pass; steal by T. Wallace)
9:07.0,M. Harrell makes 2-pt shot from 1 ft (assist by T. Wallace),2,102-104,,
8:44.0,,,102-104,,Shooting foul by M. Harrell (drawn by K. Durant)
8:44.0,,,102-105,1,K. Durant makes free throw 1 of 2
8:44.0,,,102-106,1,K. Durant makes free throw 2 of 2
8:22.0,L. Williams misses 3-pt shot from 26 ft,,102-106,,
8:20.0,,,102-106,,Defensive rebound by D. Green
8:06.0,,,102-106,,K. Durant misses 2-pt shot from 11 ft
8:01.0,,,102-106,,Offensive rebound by D. West
7:55.0,,,102-106,,K. Durant misses 3-pt shot from 30 ft
7:51.0,Defensive rebound by M. Teodosic,,102-106,,
7:48.0,T. Wallace misses 2-pt shot from 4 ft (block by K. Durant),,102-106,,
7:48.0,,,102-106,,Defensive rebound by Team
7:46.0,Jump ball: K. Durant vs. T. Wallace (K. Thompson gains possession),,,,Jump ball: K. Durant vs. T. Wallace (K. Thompson gains possession)
7:34.0,,,102-106,,Shooting foul by T. Wallace (drawn by K. Durant)
7:34.0,,,102-107,1,K. Durant makes free throw 1 of 2
7:34.0,,,102-107,,N. Young enters the game for D. Green
7:34.0,,,102-108,1,K. Durant makes free throw 2 of 2
7:26.0,Shooting foul by K. Thompson (drawn by L. Williams),,102-108,,
7:26.0,A. Rivers enters the game for M. Teodosic,,102-108,,
7:26.0,T. Harris enters the game for T. Wallace,,102-108,,
7:26.0,L. Williams makes free throw 1 of 2,1,103-108,,
7:26.0,L. Williams makes free throw 2 of 2,1,104-108,,
7:11.0,,,104-110,2,D. West makes 2-pt shot from 1 ft (assist by K. Durant)
6:54.0,Turnover by L. Williams (bad pass; steal by D. West),,104-110,,
6:50.0,,,104-110,,Turnover by S. Livingston (bad pass)
6:50.0,LA Clippers full timeout,,104-110,,
6:50.0,,,104-110,,S. Curry enters the game for K. Thompson
6:50.0,D. Jordan enters the game for M. Harrell,,104-110,,
6:35.0,Shooting foul by D. West (drawn by T. Harris),,104-110,,
6:35.0,T. Harris makes free throw 1 of 2,1,105-110,,
6:35.0,T. Harris makes free throw 2 of 2,1,106-110,,
6:23.0,,,106-112,2,D. West makes 2-pt shot from 8 ft (assist by S. Livingston)
6:08.0,Shooting foul by N. Young (drawn by T. Harris),,106-112,,
6:08.0,T. Harris makes free throw 1 of 2,1,107-112,,
6:08.0,T. Harris makes free throw 2 of 2,1,108-112,,
6:00.0,,,108-115,3,S. Curry makes 3-pt shot from 26 ft
