time,Charlotte,pts.away,score,pts.home,Orlando
2:02.0,D. Howard makes 2-pt shot from 20 ft,2,44-48,,
1:45.0,,,44-48,,B. Biyombo misses 2-pt shot at rim
1:44.0,Defensive rebound by Team,,44-48,,
1:44.0,J. Lamb enters the game for M. Kidd-Gilchrist,,44-48,,
1:25.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,47-48,,
1:08.0,,,47-48,,E. Fournier misses 2-pt shot from 10 ft
1:04.0,Defensive rebound by N. Batum,,47-48,,
0:58.0,J. Lamb makes 3-pt shot from 23 ft (assist by N. Batum),3,50-48,,
0:42.0,,,50-48,,J. Simmons misses 2-pt shot from 13 ft
0:41.0,,,50-48,,Offensive rebound by B. Biyombo
0:41.0,,,50-50,2,B. Biyombo makes 2-pt shot at rim
0:32.0,K. Walker makes 3-pt shot from 25 ft,3,53-50,,
0:32.0,Shooting foul by D. Augustin (drawn by K. Walker),,53-50,,
0:32.0,K. Walker makes free throw 1 of 1,1,54-50,,
0:06.0,,,54-53,3,E. Fournier makes 3-pt shot from 25 ft
0:02.0,Turnover by J. Lamb (lost ball; steal by E. Fournier),,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,54-53,,D. Augustin misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by K. Walker,,54-53,,
11:19.0,D. Howard misses 2-pt shot from 20 ft,,54-53,,
11:16.0,,,54-53,,Defensive rebound by B. Biyombo
11:03.0,,,54-53,,Turnover by E. Fournier (bad pass; steal by M. Kidd-Gilchrist)
10:58.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by D. Howard),2,56-53,,
10:42.0,,,56-53,,E. Fournier misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by D. Howard,,56-53,,
10:31.0,N. Batum makes 2-pt shot from 15 ft,2,58-53,,
10:15.0,,,58-55,2,M. Hezonja makes 2-pt shot from 20 ft (assist by D. Augustin)
10:00.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,61-55,,
9:46.0,,,61-55,,M. Hezonja misses 3-pt shot from 28 ft
9:42.0,Defensive rebound by M. Williams,,61-55,,
9:35.0,N. Batum misses 3-pt shot from 25 ft,,61-55,,
9:34.0,,,61-55,,Defensive rebound by Team
9:34.0,,,61-55,,J. Simmons enters the game for W. Iwundu
9:21.0,,,61-55,,E. Fournier misses 2-pt shot from 15 ft
9:18.0,Defensive rebound by M. Williams,,61-55,,
9:09.0,Shooting foul by B. Biyombo (drawn by K. Walker),,61-55,,
9:09.0,K. Walker makes free throw 1 of 2,1,62-55,,
9:09.0,K. Walker makes free throw 2 of 2,1,63-55,,
8:57.0,,,63-55,,Turnover by E. Fournier (bad pass; steal by M. Williams)
8:54.0,Turnover by M. Williams (bad pass; steal by D. Augustin),,63-55,,
8:38.0,,,63-55,,Turnover by J. Simmons (bad pass; steal by K. Walker)
8:34.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum),2,65-55,,
8:33.0,,,65-55,,Orlando full timeout
8:15.0,,,65-55,,B. Biyombo misses 2-pt shot from 11 ft (block by D. Howard)
8:15.0,,,65-55,,Offensive rebound by Team
8:11.0,,,65-55,,J. Simmons misses 2-pt shot from 2 ft
8:08.0,,,65-55,,Offensive rebound by B. Biyombo
8:07.0,,,65-58,3,D. Augustin makes 3-pt shot from 26 ft (assist by B. Biyombo)
7:49.0,M. Williams misses 2-pt shot from 22 ft,,65-58,,
7:47.0,Offensive rebound by D. Howard,,65-58,,
7:47.0,Shooting foul by B. Biyombo (drawn by D. Howard),,65-58,,
7:47.0,D. Howard makes free throw 1 of 2,1,66-58,,
7:47.0,D. Howard makes free throw 2 of 2,1,67-58,,
7:29.0,,,67-61,3,D. Augustin makes 3-pt shot from 25 ft (assist by M. Hezonja)
7:11.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,67-61,,
7:07.0,,,67-61,,Defensive rebound by M. Hezonja
7:04.0,,,67-63,2,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Hezonja)
6:40.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,69-63,,
6:23.0,,,69-63,,Turnover by J. Simmons (bad pass; steal by M. Williams)
6:22.0,,,69-63,,Personal foul by M. Hezonja (drawn by M. Williams)
6:07.0,D. Howard makes 2-pt shot from 9 ft,2,71-63,,
5:43.0,,,71-66,3,D. Augustin makes 3-pt shot from 25 ft
5:25.0,D. Howard makes 2-pt shot from 2 ft,2,73-66,,
5:25.0,,,73-66,,Violation by B. Biyombo (def goaltending)
5:09.0,,,73-68,2,M. Hezonja makes 2-pt shot from 22 ft (assist by D. Augustin)
4:50.0,D. Howard makes 2-pt shot from 14 ft (assist by N. Batum),2,75-68,,
4:33.0,,,75-68,,Turnover by D. Augustin (bad pass)
4:33.0,,,75-68,,M. Speights enters the game for B. Biyombo
4:24.0,K. Walker makes 2-pt shot from 14 ft,2,77-68,,
4:06.0,,,77-68,,Turnover by J. Simmons (lost ball; steal by K. Walker)
4:02.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,80-68,,
4:01.0,,,80-68,,Orlando full timeout
4:01.0,,,80-68,,S. Mack enters the game for J. Simmons
3:41.0,,,80-70,2,M. Hezonja makes 2-pt shot from 2 ft
3:17.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,80-70,,
3:14.0,Offensive rebound by N. Batum,,80-70,,
3:14.0,Shooting foul by M. Speights (drawn by M. Kidd-Gilchrist),,80-70,,
3:14.0,M. Kidd-Gilchrist misses free throw 1 of 2,,80-70,,
3:14.0,Offensive rebound by Team,,80-70,,
3:14.0,T. Graham enters the game for M. Williams,,80-70,,
3:14.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,81-70,,
2:57.0,,,81-72,2,M. Hezonja makes 2-pt shot at rim (assist by M. Speights)
2:41.0,D. Howard misses 2-pt shot from 1 ft,,81-72,,
2:39.0,,,81-72,,Defensive rebound by M. Hezonja
2:31.0,,,81-72,,Shooting foul by T. Graham (drawn by D. Augustin)
2:31.0,,,81-73,1,D. Augustin makes free throw 1 of 2
2:31.0,,,81-73,,W. Iwundu enters the game for E. Fournier
2:31.0,,,81-74,1,D. Augustin makes free throw 2 of 2
2:20.0,N. Batum misses 3-pt shot from 25 ft,,81-74,,
2:17.0,,,81-74,,Defensive rebound by M. Hezonja
2:06.0,,,81-76,2,M. Hezonja makes 2-pt shot at rim
1:50.0,K. Walker misses 2-pt shot from 13 ft,,81-76,,
1:47.0,,,81-76,,Defensive rebound by M. Speights
1:38.0,,,81-76,,M. Speights misses 3-pt shot from 27 ft
1:35.0,Defensive rebound by N. Batum,,81-76,,
1:31.0,T. Graham makes 3-pt shot from 23 ft (assist by N. Batum),3,84-76,,
1:09.0,,,84-76,,D. Augustin misses 2-pt shot from 1 ft
1:05.0,,,84-76,,Offensive rebound by M. Speights
1:05.0,,,84-76,,M. Speights misses 2-pt shot from 1 ft
1:05.0,,,84-76,,Offensive rebound by W. Iwundu
0:54.0,,,84-78,2,W. Iwundu makes 2-pt shot at rim
0:49.0,Shooting foul by M. Speights (drawn by D. Howard),,84-78,,
0:49.0,D. Howard makes free throw 1 of 2,1,85-78,,
0:49.0,J. Lamb enters the game for N. Batum,,85-78,,
0:49.0,D. Howard misses free throw 2 of 2,,85-78,,
0:45.0,,,85-78,,Defensive rebound by S. Mack
0:25.0,,,85-78,,M. Hezonja misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by J. Lamb,,85-78,,
0:22.0,Turnover by J. Lamb (traveling),,85-78,,
0:00.0,,,85-78,,M. Speights misses 2-pt shot from 7 ft
0:00.0,,,85-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Lamb makes 2-pt shot from 1 ft (assist by C. Zeller),2,87-78,,
11:26.0,,,87-81,3,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack)
11:06.0,J. Lamb misses 2-pt shot from 17 ft,,87-81,,
11:04.0,,,87-81,,Defensive rebound by S. Mack
10:54.0,,,87-84,3,A. Afflalo makes 3-pt shot from 26 ft (assist by S. Mack)
10:25.0,K. Walker misses 2-pt shot from 1 ft,,87-84,,
10:24.0,,,87-84,,Defensive rebound by W. Iwundu
10:19.0,,,87-87,3,A. Afflalo makes 3-pt shot from 25 ft (assist by W. Iwundu)
10:19.0,Charlotte full timeout,,87-87,,
10:03.0,T. Graham misses 3-pt shot from 26 ft,,87-87,,
10:01.0,,,87-87,,Defensive rebound by M. Speights
9:44.0,,,87-87,,S. Mack misses 2-pt shot from 22 ft
9:40.0,Defensive rebound by J. Lamb,,87-87,,
9:33.0,J. Lamb misses 2-pt shot from 1 ft,,87-87,,
9:31.0,,,87-87,,Defensive rebound by A. Afflalo
9:24.0,Personal foul by J. Lamb (drawn by M. Speights),,87-87,,
9:13.0,,,87-87,,A. Afflalo misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by C. Zeller,,87-87,,
9:00.0,Turnover by C. Zeller (bad pass),,87-87,,
8:49.0,,,87-87,,K. Birch misses 2-pt shot from 2 ft
8:48.0,,,87-87,,Offensive rebound by S. Mack
8:48.0,,,87-87,,Shooting foul by M. Carter-Williams (drawn by S. Mack)
8:48.0,,,87-88,1,S. Mack makes free throw 1 of 2
8:48.0,M. Williams enters the game for T. Graham,,87-88,,
8:48.0,,,87-89,1,S. Mack makes free throw 2 of 2
8:31.0,K. Walker misses 3-pt shot from 26 ft,,87-89,,
8:28.0,,,87-89,,Defensive rebound by W. Iwundu
8:12.0,,,87-89,,M. Speights misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by M. Williams,,87-89,,
8:05.0,Shooting foul by A. Afflalo (drawn by M. Carter-Williams),,87-89,,
8:05.0,M. Carter-Williams makes free throw 1 of 2,1,88-89,,
8:05.0,M. Carter-Williams makes free throw 2 of 2,1,89-89,,
7:40.0,,,89-89,,A. Afflalo misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by J. Lamb,,89-89,,
7:31.0,K. Walker misses 3-pt shot from 23 ft,,89-89,,
7:29.0,Offensive rebound by M. Carter-Williams,,89-89,,
7:27.0,Offensive charge foul by J. Lamb (drawn by M. Speights),,89-89,,
7:27.0,Turnover by J. Lamb (offensive foul),,89-89,,
7:11.0,,,89-89,,M. Speights misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by M. Carter-Williams,,89-89,,
6:59.0,M. Carter-Williams misses 2-pt shot from 2 ft,,89-89,,
6:56.0,,,89-89,,Defensive rebound by S. Mack
6:54.0,,,89-89,,Turnover by S. Mack (bad pass)
6:44.0,K. Walker misses 2-pt shot from 1 ft,,89-89,,
6:41.0,,,89-89,,Defensive rebound by S. Mack
6:36.0,,,89-92,3,S. Mack makes 3-pt shot from 25 ft (assist by A. Afflalo)
6:14.0,M. Carter-Williams misses 3-pt shot from 22 ft,,89-92,,
6:10.0,,,89-92,,Defensive rebound by W. Iwundu
5:56.0,,,89-92,,S. Mack misses 3-pt shot from 28 ft
5:53.0,Defensive rebound by C. Zeller,,89-92,,
5:46.0,M. Carter-Williams makes 2-pt shot from 15 ft,2,91-92,,
5:46.0,,,91-92,,Orlando full timeout
5:46.0,,,91-92,,E. Fournier enters the game for A. Afflalo
5:46.0,,,91-92,,D. Augustin enters the game for M. Speights
5:46.0,,,91-92,,M. Hezonja enters the game for W. Iwundu
5:46.0,N. Batum enters the game for M. Carter-Williams,,91-92,,
5:26.0,,,91-92,,M. Hezonja misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by C. Zeller,,91-92,,
5:13.0,Offensive foul by C. Zeller (drawn by D. Augustin),,91-92,,
5:13.0,Turnover by C. Zeller (offensive foul),,91-92,,
5:13.0,D. Howard enters the game for C. Zeller,,91-92,,
4:53.0,,,91-92,,S. Mack misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by J. Lamb,,91-92,,
4:44.0,Turnover by J. Lamb (lost ball; steal by S. Mack),,91-92,,
4:41.0,,,91-92,,S. Mack misses 2-pt shot from 1 ft (block by K. Walker)
4:41.0,,,91-92,,Offensive rebound by Team
4:41.0,,,91-92,,B. Biyombo enters the game for K. Birch
4:39.0,,,91-92,,Turnover by S. Mack (bad pass; steal by K. Walker)
4:35.0,K. Walker misses 2-pt shot at rim,,91-92,,
4:34.0,Offensive rebound by K. Walker,,91-92,,
4:34.0,K. Walker misses 2-pt shot at rim,,91-92,,
4:34.0,,,91-92,,Defensive rebound by Team
4:34.0,Loose ball foul by J. Lamb (drawn by M. Hezonja),,91-92,,
4:16.0,Personal foul by K. Walker (drawn by D. Augustin),,91-92,,
4:01.0,,,91-92,,S. Mack misses 2-pt shot from 9 ft
3:58.0,Defensive rebound by D. Howard,,91-92,,
3:44.0,M. Williams misses 3-pt shot from 26 ft,,91-92,,
3:42.0,,,91-92,,Defensive rebound by B. Biyombo
3:34.0,,,91-92,,Offensive foul by D. Augustin (drawn by M. Williams)
3:34.0,,,91-92,,Turnover by D. Augustin (offensive foul)
3:34.0,,,91-92,,J. Simmons enters the game for S. Mack
3:14.0,D. Howard misses 2-pt shot from 2 ft,,91-92,,
3:11.0,Offensive rebound by D. Howard,,91-92,,
3:11.0,D. Howard makes 2-pt shot from 1 ft,2,93-92,,
2:59.0,,,93-94,2,M. Hezonja makes 2-pt shot from 21 ft
2:33.0,K. Walker misses 2-pt shot from 3 ft,,93-94,,
2:33.0,,,93-94,,Defensive rebound by B. Biyombo
2:21.0,,,93-94,,E. Fournier misses 3-pt shot from 26 ft (block by J. Lamb)
2:16.0,Defensive rebound by K. Walker,,93-94,,
2:16.0,J. Lamb makes 2-pt shot from 8 ft (assist by K. Walker),2,95-94,,
2:16.0,Shooting foul by M. Hezonja (drawn by J. Lamb),,95-94,,
2:16.0,J. Lamb makes free throw 1 of 1,1,96-94,,
