time,Cleveland,pts.away,score,pts.home,Charlotte
3:28.0,,,23-21,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
3:28.0,,,23-21,,Offensive rebound by M. Kidd-Gilchrist
3:28.0,,,23-21,,Shooting foul by K. Love (drawn by M. Kidd-Gilchrist)
3:28.0,,,23-22,1,M. Kidd-Gilchrist makes free throw 1 of 2
3:28.0,,,23-22,,C. Zeller enters the game for D. Howard
3:28.0,C. Frye enters the game for K. Love,,23-22,,
3:28.0,K. Korver enters the game for I. Shumpert,,23-22,,
3:28.0,,,23-23,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:05.0,J. Smith misses 3-pt shot from 26 ft,,23-23,,
3:01.0,,,23-23,,Defensive rebound by J. Lamb
2:54.0,,,23-23,,K. Walker misses 3-pt shot from 27 ft
2:53.0,,,23-23,,Offensive rebound by Team
2:53.0,Loose ball foul by K. Korver (drawn by C. Zeller),,23-23,,
2:53.0,,,23-24,1,C. Zeller makes free throw 1 of 2
2:53.0,,,23-24,,F. Kaminsky enters the game for M. Williams
2:53.0,J. Green enters the game for J. Crowder,,23-24,,
2:53.0,,,23-24,,C. Zeller misses free throw 2 of 2
2:50.0,Defensive rebound by J. Green,,23-24,,
2:38.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,25-24,,
2:25.0,,,25-26,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker)
2:02.0,K. Korver makes 3-pt shot from 28 ft (assist by L. James),3,28-26,,
1:39.0,,,28-28,2,M. Kidd-Gilchrist makes 2-pt shot from 12 ft
1:21.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,31-28,,
1:08.0,,,31-28,,K. Walker misses 3-pt shot from 24 ft
1:08.0,,,31-28,,Offensive rebound by Team
1:05.0,,,31-28,,M. Monk enters the game for K. Walker
1:05.0,D. Wade enters the game for J. Smith,,31-28,,
0:55.0,,,31-28,,C. Zeller misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by L. James,,31-28,,
0:44.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,31-28,,
0:44.0,L. James makes free throw 1 of 2,1,32-28,,
0:44.0,,,32-28,,D. Bacon enters the game for M. Kidd-Gilchrist
0:44.0,L. James makes free throw 2 of 2,1,33-28,,
0:24.0,,,33-30,2,J. Lamb makes 2-pt shot from 10 ft
0:01.0,L. James makes 3-pt shot from 25 ft,3,36-30,,
0:00.0,,,36-30,,M. Monk misses 3-pt shot from 69 ft
0:00.0,,,36-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Green makes 2-pt shot at rim (assist by D. Wade),2,38-30,,
11:34.0,,,38-30,,D. Bacon misses 2-pt shot from 9 ft
11:30.0,Defensive rebound by C. Frye,,38-30,,
11:14.0,D. Wade misses 2-pt shot from 8 ft,,38-30,,
11:10.0,,,38-30,,Defensive rebound by J. Lamb
11:05.0,,,38-32,2,J. Lamb makes 2-pt shot from 21 ft
10:46.0,C. Frye misses 3-pt shot from 25 ft,,38-32,,
10:43.0,,,38-32,,Defensive rebound by F. Kaminsky
10:38.0,,,38-34,2,J. Lamb makes 2-pt shot from 2 ft
10:38.0,,,38-34,,Shooting foul by C. Frye (drawn by J. Lamb)
10:38.0,,,38-35,1,J. Lamb makes free throw 1 of 1
10:28.0,D. Wade makes 2-pt shot from 1 ft,2,40-35,,
10:28.0,Shooting foul by D. Bacon (drawn by D. Wade),,40-35,,
10:28.0,D. Wade makes free throw 1 of 1,1,41-35,,
10:11.0,,,41-35,,F. Kaminsky misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by D. Wade,,41-35,,
9:59.0,I. Shumpert makes 2-pt shot from 1 ft (assist by D. Wade),2,43-35,,
9:47.0,,,43-35,,Shooting foul by J. Green (drawn by J. Lamb)
9:47.0,,,43-36,1,J. Lamb makes free throw 1 of 2
9:47.0,,,43-36,,N. Batum enters the game for D. Bacon
9:47.0,,,43-37,1,J. Lamb makes free throw 2 of 2
9:33.0,K. Korver misses 3-pt shot from 25 ft,,43-37,,
9:30.0,,,43-37,,Defensive rebound by M. Monk
9:23.0,,,43-39,2,M. Monk makes 2-pt shot from 11 ft
9:05.0,Turnover by K. Korver (bad pass; steal by F. Kaminsky),,43-39,,
8:57.0,,,43-39,,N. Batum misses 2-pt shot from 14 ft
8:53.0,,,43-39,,Offensive rebound by C. Zeller
8:51.0,,,43-42,3,M. Monk makes 3-pt shot from 25 ft (assist by N. Batum)
8:50.0,Cleveland full timeout,,43-42,,
8:37.0,C. Frye misses 2-pt shot from 1 ft,,43-42,,
8:35.0,Offensive rebound by I. Shumpert,,43-42,,
8:33.0,K. Korver misses 3-pt shot from 25 ft,,43-42,,
8:29.0,,,43-42,,Defensive rebound by J. Lamb
8:25.0,,,43-42,,M. Monk misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by Team,,43-42,,
8:12.0,J. Green makes 2-pt shot at rim (assist by D. Wade),2,45-42,,
7:55.0,,,45-42,,J. Lamb misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by D. Wade,,45-42,,
7:44.0,Turnover by D. Wade (bad pass; steal by J. Lamb),,45-42,,
7:43.0,K. Love enters the game for C. Frye,,45-42,,
7:42.0,Personal foul by K. Korver (drawn by J. Lamb),,45-42,,
7:42.0,L. James enters the game for I. Shumpert,,45-42,,
7:35.0,,,45-44,2,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lamb)
7:15.0,K. Love misses 2-pt shot from 6 ft (block by C. Zeller),,45-44,,
7:14.0,J. Green misses 2-pt shot from 10 ft (block by F. Kaminsky),,45-44,,
7:14.0,Offensive rebound by J. Green,,45-44,,
7:13.0,Offensive rebound by D. Wade,,45-44,,
7:10.0,D. Wade misses 2-pt shot from 9 ft (block by F. Kaminsky),,45-44,,
7:09.0,,,45-44,,Defensive rebound by M. Monk
7:04.0,D. Wade misses 2-pt shot at rim,,45-44,,
7:04.0,Offensive rebound by Team,,45-44,,
6:57.0,D. Wade misses 2-pt shot from 9 ft (block by F. Kaminsky),,45-44,,
6:52.0,,,45-44,,Defensive rebound by M. Monk
6:51.0,,,45-46,2,F. Kaminsky makes 2-pt shot from 1 ft
6:39.0,K. Korver misses 3-pt shot from 25 ft,,45-46,,
6:39.0,,,45-46,,Defensive rebound by C. Zeller
6:29.0,,,45-46,,F. Kaminsky misses 3-pt shot from 22 ft
6:29.0,Defensive rebound by K. Korver,,45-46,,
6:22.0,Shooting foul by C. Zeller (drawn by J. Green),,45-46,,
6:22.0,J. Green makes free throw 1 of 2,1,46-46,,
6:22.0,,,46-46,,D. Howard enters the game for M. Monk
6:22.0,,,46-46,,M. Kidd-Gilchrist enters the game for J. Lamb
6:22.0,,,46-46,,K. Walker enters the game for C. Zeller
6:22.0,J. Crowder enters the game for D. Wade,,46-46,,
6:22.0,J. Smith enters the game for K. Korver,,46-46,,
6:22.0,J. Green makes free throw 2 of 2,1,47-46,,
6:10.0,,,47-48,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by N. Batum)
5:50.0,K. Love misses 3-pt shot from 25 ft,,47-48,,
5:46.0,,,47-48,,Defensive rebound by N. Batum
5:39.0,,,47-48,,Shooting foul by J. Green (drawn by D. Howard)
5:39.0,,,47-48,,D. Howard misses free throw 1 of 2
5:39.0,,,47-48,,Offensive rebound by Team
5:39.0,,,47-48,,D. Howard misses free throw 2 of 2
5:35.0,Defensive rebound by J. Smith,,47-48,,
5:27.0,,,47-48,,Violation by M. Kidd-Gilchrist (kicked ball)
5:22.0,Turnover by J. Green (bad pass),,47-48,,
5:13.0,,,47-48,,Shooting foul by J. Green (drawn by K. Walker)
5:13.0,,,47-48,,K. Walker misses free throw 1 of 2
5:13.0,,,47-48,,Offensive rebound by Team
5:13.0,I. Shumpert enters the game for J. Green,,47-48,,
5:13.0,,,47-49,1,K. Walker makes free throw 2 of 2
4:58.0,J. Smith misses 3-pt shot from 22 ft,,47-49,,
4:54.0,,,47-49,,Defensive rebound by K. Walker
4:48.0,,,47-49,,D. Howard misses 2-pt shot from 5 ft
4:46.0,Defensive rebound by K. Love,,47-49,,
4:40.0,K. Love makes 2-pt shot from 1 ft (assist by I. Shumpert),2,49-49,,
4:40.0,Shooting foul by F. Kaminsky (drawn by K. Love),,49-49,,
4:40.0,K. Love makes free throw 1 of 1,1,50-49,,
4:23.0,,,50-51,2,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by D. Howard)
3:57.0,I. Shumpert misses 3-pt shot from 22 ft,,50-51,,
3:55.0,Offensive rebound by L. James,,50-51,,
3:47.0,L. James makes 2-pt shot at rim,2,52-51,,
3:34.0,,,52-53,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
3:16.0,J. Smith misses 2-pt shot from 21 ft,,52-53,,
3:16.0,,,52-53,,Defensive rebound by F. Kaminsky
3:05.0,,,52-53,,K. Walker misses 2-pt shot from 3 ft (block by I. Shumpert)
3:05.0,,,52-53,,Offensive rebound by Team
3:05.0,,,52-53,,M. Williams enters the game for F. Kaminsky
3:01.0,,,52-56,3,N. Batum makes 3-pt shot from 22 ft (assist by M. Williams)
2:44.0,Turnover by L. James (bad pass; steal by M. Kidd-Gilchrist),,52-56,,
2:39.0,,,52-56,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
2:39.0,,,52-56,,Offensive rebound by N. Batum
2:39.0,,,52-58,2,N. Batum makes 2-pt shot at rim
2:23.0,L. James misses 2-pt shot from 6 ft (block by M. Kidd-Gilchrist),,52-58,,
2:23.0,Offensive rebound by Team,,52-58,,
2:23.0,,,52-58,,Charlotte full timeout
2:23.0,,,52-58,,J. Lamb enters the game for M. Kidd-Gilchrist
2:15.0,J. Smith makes 2-pt shot from 12 ft (assist by I. Shumpert),2,54-58,,
1:57.0,,,54-60,2,M. Williams makes 2-pt shot from 9 ft (assist by K. Walker)
1:57.0,,,54-60,,Shooting foul by J. Crowder (drawn by M. Williams)
1:57.0,,,54-61,1,M. Williams makes free throw 1 of 1
1:44.0,J. Smith makes 2-pt shot from 2 ft,2,56-61,,
1:29.0,,,56-61,,Turnover by K. Walker (bad pass)
1:29.0,,,56-61,,C. Zeller enters the game for D. Howard
1:12.0,J. Crowder misses 3-pt shot from 24 ft,,56-61,,
1:12.0,Offensive rebound by Team,,56-61,,
1:12.0,,,56-61,,Loose ball foul by C. Zeller (drawn by K. Love)
1:12.0,D. Wade enters the game for J. Crowder,,56-61,,
1:05.0,L. James makes 3-pt shot from 26 ft,3,59-61,,
0:47.0,,,59-64,3,K. Walker makes 3-pt shot from 25 ft
0:42.0,L. James misses 3-pt shot from 26 ft,,59-64,,
0:37.0,,,59-64,,Defensive rebound by J. Lamb
0:33.0,,,59-66,2,K. Walker makes 2-pt shot from 1 ft
0:33.0,,,59-66,,Shooting foul by L. James (drawn by K. Walker)
0:33.0,,,59-67,1,K. Walker makes free throw 1 of 1
0:18.0,K. Love makes 2-pt shot from 2 ft (assist by J. Smith),2,61-67,,
0:01.0,,,61-67,,C. Zeller misses 2-pt shot from 3 ft (block by L. James)
0:01.0,Defensive rebound by K. Love,,61-67,,
0:00.0,J. Smith misses 3-pt shot from 41 ft,,61-67,,
0:00.0,Offensive rebound by Team,,61-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,63-67,,
11:34.0,,,63-67,,Turnover by N. Batum (lost ball; steal by J. Smith)
11:15.0,I. Shumpert misses 2-pt shot at rim (block by M. Williams),,63-67,,
11:11.0,,,63-67,,Defensive rebound by M. Williams
11:03.0,,,63-69,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
10:44.0,K. Love makes 2-pt shot from 1 ft (assist by J. Crowder),2,65-69,,
10:27.0,,,65-69,,Turnover by D. Howard (lost ball; steal by K. Love)
10:27.0,,,65-69,,Loose ball foul by D. Howard (drawn by K. Love)
10:20.0,Turnover by K. Love (step out of bounds),,65-69,,
10:08.0,,,65-69,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by I. Shumpert,,65-69,,
9:54.0,,,65-69,,Personal foul by D. Howard (drawn by K. Love)
9:54.0,,,65-69,,C. Zeller enters the game for D. Howard
9:46.0,I. Shumpert makes 3-pt shot from 23 ft (assist by J. Crowder),3,68-69,,
9:46.0,Shooting foul by K. Walker (drawn by I. Shumpert),,68-69,,
9:46.0,I. Shumpert misses free throw 1 of 1,,68-69,,
9:43.0,,,68-69,,Defensive rebound by C. Zeller
9:27.0,,,68-69,,K. Walker misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by J. Crowder,,68-69,,
9:16.0,I. Shumpert misses 3-pt shot from 25 ft,,68-69,,
9:14.0,,,68-69,,Defensive rebound by M. Kidd-Gilchrist
9:09.0,,,68-69,,Shooting foul by J. Smith (drawn by K. Walker)
9:09.0,,,68-70,1,K. Walker makes free throw 1 of 2
9:09.0,,,68-70,,K. Walker misses free throw 2 of 2
9:06.0,Defensive rebound by K. Love,,68-70,,
8:56.0,K. Love makes 2-pt shot from 20 ft (assist by L. James),2,70-70,,
8:40.0,,,70-70,,N. Batum misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by J. Smith,,70-70,,
8:19.0,J. Smith makes 3-pt shot from 26 ft (assist by I. Shumpert),3,73-70,,
8:02.0,,,73-73,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
7:40.0,L. James makes 3-pt shot from 26 ft,3,76-73,,
7:18.0,,,76-73,,N. Batum misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by K. Love,,76-73,,
7:06.0,L. James misses 2-pt shot from 11 ft,,76-73,,
7:05.0,,,76-73,,Defensive rebound by Team
7:05.0,Loose ball foul by J. Crowder (drawn by M. Williams),,76-73,,
6:52.0,,,76-76,3,M. Williams makes 3-pt shot from 25 ft (assist by C. Zeller)
6:28.0,K. Love misses 2-pt shot from 17 ft,,76-76,,
6:21.0,,,76-76,,Defensive rebound by N. Batum
6:16.0,,,76-76,,M. Williams misses 3-pt shot from 23 ft
6:16.0,,,76-76,,Offensive rebound by Team
6:16.0,Loose ball foul by L. James (drawn by C. Zeller),,76-76,,
6:16.0,,,76-76,,Charlotte full timeout
6:07.0,,,76-76,,N. Batum misses 2-pt shot from 8 ft
6:04.0,Defensive rebound by K. Love,,76-76,,
5:46.0,J. Crowder misses 3-pt shot from 24 ft,,76-76,,
5:42.0,Offensive rebound by L. James,,76-76,,
5:32.0,L. James misses 2-pt shot from 5 ft,,76-76,,
5:28.0,,,76-76,,Defensive rebound by M. Kidd-Gilchrist
5:25.0,,,76-76,,Shooting foul by I. Shumpert (drawn by C. Zeller)
5:25.0,,,76-77,1,C. Zeller makes free throw 1 of 2
5:25.0,,,76-77,,J. Lamb enters the game for N. Batum
5:25.0,,,76-78,1,C. Zeller makes free throw 2 of 2
5:05.0,Turnover by J. Crowder (bad pass),,76-78,,
4:42.0,,,76-80,2,M. Kidd-Gilchrist makes 2-pt shot from 20 ft
4:26.0,Offensive charge foul by L. James (drawn by K. Walker),,76-80,,
4:26.0,Turnover by L. James (offensive foul),,76-80,,
4:26.0,C. Frye enters the game for K. Love,,76-80,,
4:11.0,,,76-80,,K. Walker misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by C. Frye,,76-80,,
3:59.0,L. James makes 3-pt shot from 25 ft,3,79-80,,
3:39.0,,,79-82,2,C. Zeller makes 2-pt shot from 7 ft (assist by J. Lamb)
3:31.0,Offensive charge foul by L. James (drawn by M. Kidd-Gilchrist),,79-82,,
3:31.0,Turnover by L. James (offensive foul),,79-82,,
3:31.0,D. Wade enters the game for L. James,,79-82,,
3:31.0,,,79-82,,D. Bacon enters the game for M. Kidd-Gilchrist
3:16.0,,,79-82,,M. Williams misses 2-pt shot from 20 ft
3:13.0,Defensive rebound by D. Wade,,79-82,,
3:05.0,J. Crowder misses 2-pt shot from 2 ft,,79-82,,
3:02.0,,,79-82,,Defensive rebound by K. Walker
3:00.0,,,79-82,,J. Lamb misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by D. Wade,,79-82,,
2:54.0,Shooting foul by D. Bacon (drawn by J. Crowder),,79-82,,
2:54.0,Cleveland full timeout,,79-82,,
2:54.0,,,79-82,,F. Kaminsky enters the game for M. Williams
2:54.0,J. Crowder makes free throw 1 of 2,1,80-82,,
2:54.0,J. Crowder makes free throw 2 of 2,1,81-82,,
2:31.0,,,81-82,,J. Lamb misses 2-pt shot from 6 ft
2:30.0,Defensive rebound by C. Frye,,81-82,,
2:17.0,Turnover by D. Wade (bad pass; steal by F. Kaminsky),,81-82,,
2:07.0,,,81-82,,D. Bacon misses 3-pt shot from 24 ft
2:04.0,,,81-82,,Offensive rebound by F. Kaminsky
2:02.0,,,81-82,,Shooting foul by D. Wade (drawn by J. Lamb)
2:02.0,,,81-83,1,J. Lamb makes free throw 1 of 2
2:02.0,K. Korver enters the game for J. Smith,,81-83,,
2:02.0,,,81-84,1,J. Lamb makes free throw 2 of 2
1:46.0,K. Korver misses 3-pt shot from 25 ft,,81-84,,
1:41.0,Offensive rebound by C. Frye,,81-84,,
1:41.0,C. Frye makes 2-pt shot at rim,2,83-84,,
1:28.0,,,83-84,,Turnover by J. Lamb (bad pass; steal by I. Shumpert)
1:13.0,K. Korver makes 3-pt shot from 27 ft (assist by C. Frye),3,86-84,,
0:56.0,,,86-84,,F. Kaminsky misses 2-pt shot from 8 ft
0:53.0,Defensive rebound by C. Frye,,86-84,,
0:50.0,K. Korver misses 3-pt shot from 28 ft,,86-84,,
0:46.0,,,86-84,,Defensive rebound by F. Kaminsky
0:36.0,,,86-84,,C. Zeller misses 2-pt shot from 1 ft (block by C. Frye)
0:33.0,Defensive rebound by D. Wade,,86-84,,
0:25.0,C. Frye misses 3-pt shot from 25 ft,,86-84,,
0:25.0,Offensive rebound by I. Shumpert,,86-84,,
0:02.0,Shooting foul by C. Zeller (drawn by D. Wade),,86-84,,
0:02.0,D. Wade makes free throw 1 of 2,1,87-84,,
0:02.0,D. Wade makes free throw 2 of 2,1,88-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,88-84,,Turnover by C. Zeller (lost ball; steal by D. Wade)
11:38.0,D. Wade misses 2-pt shot from 19 ft,,88-84,,
11:34.0,,,88-84,,Defensive rebound by J. Lamb
11:28.0,,,88-86,2,J. Lamb makes 2-pt shot at rim
11:11.0,K. Korver makes 3-pt shot from 27 ft (assist by D. Wade),3,91-86,,
10:56.0,,,91-86,,M. Monk misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by J. Green,,91-86,,
10:51.0,Shooting foul by C. Zeller (drawn by J. Green),,91-86,,
10:51.0,J. Green misses free throw 1 of 2,,91-86,,
10:51.0,Offensive rebound by Team,,91-86,,
10:51.0,J. Green makes free throw 2 of 2,1,92-86,,
10:35.0,,,92-86,,Turnover by J. Lamb (bad pass; steal by D. Wade)
10:25.0,I. Shumpert misses 3-pt shot from 26 ft,,92-86,,
10:21.0,Offensive rebound by D. Wade,,92-86,,
10:21.0,Turnover by D. Wade (turnover),,92-86,,
10:21.0,,,92-86,,D. Howard enters the game for C. Zeller
10:12.0,,,92-86,,J. Lamb misses 2-pt shot from 10 ft
10:09.0,Defensive rebound by C. Frye,,92-86,,
10:06.0,J. Green misses 2-pt shot from 2 ft,,92-86,,
10:06.0,Offensive rebound by J. Green,,92-86,,
10:01.0,C. Frye makes 3-pt shot from 25 ft (assist by J. Green),3,95-86,,
9:49.0,,,95-86,,Offensive charge foul by D. Howard (drawn by C. Frye)
9:49.0,,,95-86,,Turnover by D. Howard (offensive foul)
9:49.0,,,95-86,,N. Batum enters the game for M. Monk
9:49.0,,,95-86,,C. Zeller enters the game for J. Lamb
9:49.0,,,95-86,,K. Walker enters the game for D. Howard
9:37.0,D. Wade misses 2-pt shot from 12 ft,,95-86,,
9:37.0,,,95-86,,Defensive rebound by F. Kaminsky
9:14.0,,,95-86,,K. Walker misses 2-pt shot from 3 ft
9:08.0,,,95-86,,Offensive rebound by F. Kaminsky
9:08.0,,,95-88,2,F. Kaminsky makes 2-pt shot at rim
8:58.0,,,95-88,,Personal foul by C. Zeller (drawn by I. Shumpert)
8:58.0,L. James enters the game for I. Shumpert,,95-88,,
8:58.0,,,95-88,,M. Williams enters the game for C. Zeller
8:49.0,K. Korver misses 3-pt shot from 25 ft,,95-88,,
8:44.0,,,95-88,,Defensive rebound by K. Walker
8:38.0,,,95-88,,K. Walker misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by C. Frye,,95-88,,
8:23.0,L. James misses 2-pt shot from 15 ft,,95-88,,
8:23.0,,,95-88,,Defensive rebound by K. Walker
8:15.0,,,95-90,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by D. Bacon)
8:15.0,,,95-90,,Shooting foul by K. Korver (drawn by F. Kaminsky)
8:15.0,,,95-91,1,F. Kaminsky makes free throw 1 of 1
8:04.0,D. Wade makes 2-pt shot from 1 ft (assist by L. James),2,97-91,,
7:49.0,,,97-91,,N. Batum misses 3-pt shot from 27 ft
7:47.0,Defensive rebound by C. Frye,,97-91,,
7:31.0,C. Frye makes 2-pt shot from 2 ft (assist by L. James),2,99-91,,
7:31.0,,,99-91,,Charlotte full timeout
7:31.0,,,99-91,,M. Kidd-Gilchrist enters the game for D. Bacon
7:31.0,,,99-91,,D. Howard enters the game for M. Williams
7:16.0,,,99-93,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
6:59.0,C. Frye makes 2-pt shot from 16 ft (assist by D. Wade),2,101-93,,
6:45.0,,,101-95,2,K. Walker makes 2-pt shot from 11 ft
6:27.0,L. James makes 2-pt shot from 1 ft,2,103-95,,
6:12.0,,,103-95,,K. Walker misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by J. Green,,103-95,,
5:57.0,L. James makes 2-pt shot from 11 ft,2,105-95,,
5:57.0,,,105-95,,Charlotte full timeout
5:43.0,,,105-97,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
5:22.0,K. Korver misses 3-pt shot from 22 ft,,105-97,,
5:15.0,Offensive rebound by J. Green,,105-97,,
