time,Miami,pts.away,score,pts.home,Washington
10:42.0,,,67-60,,Personal foul by K. Oubre (drawn by J. Richardson)
10:30.0,Turnover by T. Johnson (out of bounds lost ball),,67-60,,
10:12.0,,,67-60,,B. Beal misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by T. Johnson,,67-60,,
9:41.0,J. Richardson misses 2-pt shot at rim,,67-60,,
9:41.0,,,67-60,,Defensive rebound by B. Beal
9:41.0,,,67-62,2,J. Smith makes 2-pt shot from 1 ft
9:41.0,Violation by B. Adebayo (def goaltending),,67-62,,
9:41.0,J. Johnson makes free throw 1 of 2,1,68-62,,
9:41.0,J. Johnson misses free throw 2 of 2,,68-62,,
9:41.0,,,68-62,,Defensive rebound by T. Frazier
9:32.0,Shooting foul by J. Smith (drawn by J. Johnson),,68-62,,
9:32.0,G. Dragic enters the game for T. Johnson,,68-62,,
9:32.0,H. Whiteside enters the game for B. Adebayo,,68-62,,
9:20.0,Personal foul by J. Johnson (drawn by J. Smith),,68-62,,
9:10.0,,,68-62,,K. Oubre misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by H. Whiteside,,68-62,,
8:59.0,J. Richardson misses 3-pt shot from 23 ft,,68-62,,
8:55.0,,,68-62,,Defensive rebound by B. Beal
8:39.0,,,68-62,,J. Smith misses 2-pt shot from 8 ft
8:37.0,Defensive rebound by H. Whiteside,,68-62,,
8:30.0,G. Dragic misses 3-pt shot from 26 ft,,68-62,,
8:27.0,Offensive rebound by J. Johnson,,68-62,,
8:17.0,H. Whiteside makes 2-pt shot from 6 ft,2,70-62,,
8:17.0,,,70-62,,Washington full timeout
8:17.0,,,70-62,,J. Wall enters the game for B. Beal
7:58.0,,,70-62,,T. Frazier misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by H. Whiteside,,70-62,,
7:39.0,H. Whiteside misses 2-pt shot from 12 ft,,70-62,,
7:34.0,,,70-62,,Defensive rebound by T. Frazier
7:27.0,,,70-62,,J. Wall misses 2-pt shot from 21 ft
7:26.0,Defensive rebound by H. Whiteside,,70-62,,
7:11.0,H. Whiteside makes 2-pt shot from 1 ft,2,72-62,,
6:50.0,Personal foul by J. Johnson (drawn by K. Oubre),,72-62,,
6:50.0,,,72-62,,O. Porter enters the game for T. Frazier
6:43.0,,,72-62,,Shooting foul by W. Ellington (drawn by J. Meeks)
6:43.0,,,72-63,1,J. Meeks makes free throw 1 of 3
6:43.0,,,72-64,1,J. Meeks makes free throw 2 of 3
6:43.0,,,72-65,1,J. Meeks makes free throw 3 of 3
6:29.0,Turnover by G. Dragic (turnover),,72-65,,
6:23.0,,,72-68,3,J. Meeks makes 3-pt shot from 25 ft (assist by J. Wall)
6:21.0,Miami full timeout,,72-68,,
6:21.0,D. Waiters enters the game for W. Ellington,,72-68,,
6:09.0,Turnover by J. Johnson (out of bounds lost ball),,72-68,,
5:56.0,,,72-68,,Turnover by J. Smith (traveling)
5:45.0,D. Waiters makes 3-pt shot from 24 ft,3,75-68,,
5:25.0,,,75-71,3,J. Wall makes 3-pt shot from 28 ft
5:07.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,77-71,,
5:07.0,Shooting foul by J. Smith (drawn by H. Whiteside),,77-71,,
5:07.0,,,77-71,,B. Beal enters the game for J. Smith
5:07.0,,,77-71,,M. Gortat enters the game for J. Meeks
5:07.0,H. Whiteside makes free throw 1 of 1,1,78-71,,
4:58.0,,,78-71,,B. Beal misses 3-pt shot from 26 ft
4:55.0,Defensive rebound by G. Dragic,,78-71,,
4:36.0,D. Waiters misses 3-pt shot from 27 ft,,78-71,,
4:32.0,,,78-71,,Defensive rebound by M. Gortat
4:15.0,,,78-73,2,J. Wall makes 2-pt shot from 1 ft
4:04.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,80-73,,
4:04.0,Shooting foul by M. Gortat (drawn by H. Whiteside),,80-73,,
4:04.0,H. Whiteside misses free throw 1 of 1,,80-73,,
4:00.0,,,80-73,,Defensive rebound by M. Gortat
3:51.0,,,80-73,,J. Wall misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by D. Waiters,,80-73,,
3:41.0,Miami full timeout,,80-73,,
3:39.0,J. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic),2,82-73,,
3:23.0,,,82-76,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:02.0,J. Johnson makes 2-pt shot from 19 ft,2,84-76,,
2:45.0,Personal foul by J. Richardson (drawn by B. Beal),,84-76,,
