time,Washington,pts.away,score,pts.home,Sacramento
6:38.0,Defensive rebound by K. Oubre,,44-22,,
6:36.0,M. Scott makes 2-pt shot from 14 ft (assist by T. Satoransky),2,46-22,,
6:21.0,,,46-24,2,F. Mason makes 2-pt shot from 1 ft
6:04.0,K. Oubre misses 2-pt shot from 20 ft,,46-24,,
6:01.0,,,46-24,,Defensive rebound by W. Cauley-Stein
5:51.0,,,46-26,2,G. Temple makes 2-pt shot from 12 ft
5:36.0,Turnover by J. Wall (bad pass; steal by F. Mason),,46-26,,
5:30.0,,,46-26,,F. Mason misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by J. Smith,,46-26,,
5:23.0,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall),3,49-26,,
5:07.0,,,49-26,,Sacramento full timeout
5:07.0,,,49-26,,D. Fox enters the game for F. Mason
5:07.0,,,49-26,,B. Hield enters the game for M. Richardson
5:07.0,B. Beal enters the game for T. Satoransky,,49-26,,
5:00.0,,,49-26,,S. Labissiere misses 2-pt shot from 23 ft
4:56.0,Defensive rebound by J. Wall,,49-26,,
4:47.0,J. Smith misses 3-pt shot from 25 ft,,49-26,,
4:47.0,Offensive rebound by B. Beal,,49-26,,
4:35.0,J. Smith makes 3-pt shot from 24 ft (assist by B. Beal),3,52-26,,
4:25.0,,,52-26,,D. Fox misses 2-pt shot from 3 ft (block by J. Smith)
4:25.0,,,52-26,,Offensive rebound by S. Labissiere
4:21.0,,,52-26,,Turnover by S. Labissiere (turnover)
4:09.0,J. Wall misses 2-pt shot from 21 ft,,52-26,,
4:05.0,,,52-26,,Defensive rebound by W. Cauley-Stein
3:58.0,,,52-26,,S. Labissiere misses 2-pt shot from 7 ft
3:58.0,Defensive rebound by B. Beal,,52-26,,
3:57.0,,,52-26,,Personal foul by S. Labissiere (drawn by B. Beal)
3:57.0,,,52-26,,B. Bogdanovic enters the game for S. Labissiere
3:44.0,K. Oubre misses 3-pt shot from 22 ft,,52-26,,
3:38.0,Offensive rebound by J. Smith,,52-26,,
3:33.0,Shooting foul by W. Cauley-Stein (drawn by J. Smith),,52-26,,
3:33.0,J. Smith makes free throw 1 of 2,1,53-26,,
3:33.0,O. Porter enters the game for M. Scott,,53-26,,
3:33.0,J. Smith makes free throw 2 of 2,1,54-26,,
3:20.0,,,54-26,,G. Temple misses 2-pt shot from 21 ft
3:14.0,Defensive rebound by K. Oubre,,54-26,,
3:10.0,O. Porter makes 2-pt shot from 11 ft (assist by J. Wall),2,56-26,,
2:54.0,,,56-26,,Shooting foul by J. Smith (drawn by W. Cauley-Stein)
2:54.0,Washington full timeout,,56-26,,
2:54.0,,,56-27,1,W. Cauley-Stein makes free throw 1 of 2
2:54.0,,,56-28,1,W. Cauley-Stein makes free throw 2 of 2
2:44.0,J. Smith misses 2-pt shot from 1 ft,,56-28,,
2:42.0,,,56-28,,Defensive rebound by W. Cauley-Stein
2:26.0,,,56-28,,G. Temple misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by K. Oubre,,56-28,,
2:05.0,B. Beal makes 2-pt shot from 12 ft,2,58-28,,
1:57.0,,,58-30,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Fox)
1:44.0,J. Smith misses 2-pt shot from 18 ft,,58-30,,
1:41.0,,,58-30,,Defensive rebound by D. Fox
1:35.0,,,58-30,,D. Fox misses 2-pt shot at rim
1:32.0,Defensive rebound by J. Smith,,58-30,,
1:24.0,J. Wall makes 2-pt shot from 20 ft,2,60-30,,
1:07.0,,,60-30,,Turnover by W. Cauley-Stein (bad pass)
0:56.0,B. Beal misses 3-pt shot from 24 ft,,60-30,,
0:53.0,,,60-30,,Defensive rebound by D. Fox
0:51.0,,,60-30,,B. Hield misses 2-pt shot from 3 ft (block by J. Wall)
0:49.0,Defensive rebound by K. Oubre,,60-30,,
0:49.0,,,60-30,,Personal foul by B. Bogdanovic (drawn by K. Oubre)
0:49.0,K. Oubre misses free throw 1 of 3,,60-30,,
0:49.0,Offensive rebound by Team,,60-30,,
0:49.0,K. Oubre makes free throw 2 of 3,1,61-30,,
0:30.0,,,61-32,2,D. Fox makes 2-pt shot from 22 ft
0:08.0,Shooting foul by B. Hield (drawn by B. Beal),,61-32,,
0:08.0,B. Beal makes free throw 1 of 2,1,62-32,,
0:08.0,T. Satoransky enters the game for J. Smith,,62-32,,
0:08.0,B. Beal makes free throw 2 of 2,1,63-32,,
0:07.0,Personal foul by K. Oubre (drawn by D. Fox),,63-32,,
0:05.0,,,63-32,,Turnover by D. Fox (out of bounds lost ball)
0:01.0,J. Wall misses 2-pt shot from 18 ft,,63-32,,
0:01.0,,,63-32,,Defensive rebound by W. Cauley-Stein
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-32,,S. Labissiere misses 2-pt shot from 10 ft
11:40.0,Defensive rebound by K. Oubre,,63-32,,
11:26.0,K. Oubre misses 3-pt shot from 25 ft,,63-32,,
11:20.0,Offensive rebound by M. Gortat,,63-32,,
11:18.0,B. Beal misses 3-pt shot from 23 ft,,63-32,,
11:18.0,,,63-32,,Defensive rebound by W. Cauley-Stein
11:05.0,,,63-32,,B. Hield misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by M. Gortat,,63-32,,
10:47.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,66-32,,
10:25.0,,,66-34,2,B. Hield makes 2-pt shot from 20 ft (assist by W. Cauley-Stein)
10:06.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,69-34,,
9:50.0,,,69-36,2,S. Labissiere makes 2-pt shot from 11 ft
9:42.0,K. Oubre misses 2-pt shot from 2 ft,,69-36,,
9:40.0,,,69-36,,Defensive rebound by B. Bogdanovic
9:33.0,,,69-36,,Turnover by B. Bogdanovic (traveling)
9:10.0,O. Porter misses 2-pt shot from 14 ft,,69-36,,
9:07.0,,,69-36,,Defensive rebound by W. Cauley-Stein
8:54.0,,,69-38,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
8:34.0,M. Gortat makes 2-pt shot from 5 ft,2,71-38,,
8:13.0,,,71-38,,Turnover by B. Hield (bad pass; steal by O. Porter)
8:09.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,73-38,,
7:46.0,,,73-40,2,W. Cauley-Stein makes 2-pt shot from 16 ft
7:23.0,K. Oubre makes 3-pt shot from 22 ft (assist by M. Gortat),3,76-40,,
7:15.0,,,76-42,2,S. Labissiere makes 2-pt shot from 1 ft (assist by D. Fox)
6:58.0,Turnover by O. Porter (bad pass; steal by S. Labissiere),,76-42,,
6:53.0,,,76-44,2,B. Bogdanovic makes 2-pt shot from 22 ft (assist by D. Fox)
6:32.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,79-44,,
6:16.0,,,79-46,2,S. Labissiere makes 2-pt shot from 5 ft
6:16.0,,,79-46,,Shooting foul by O. Porter (drawn by S. Labissiere)
6:16.0,,,79-46,,Sacramento full timeout
6:16.0,,,79-47,1,S. Labissiere makes free throw 1 of 1
6:02.0,Turnover by J. Wall (bad pass; steal by B. Bogdanovic),,79-47,,
5:47.0,,,79-47,,S. Labissiere misses 2-pt shot from 19 ft
5:44.0,,,79-47,,Offensive rebound by B. Hield
5:40.0,,,79-47,,B. Hield misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by K. Oubre,,79-47,,
5:26.0,M. Gortat misses 2-pt shot from 3 ft (block by S. Labissiere),,79-47,,
5:22.0,,,79-47,,Defensive rebound by W. Cauley-Stein
5:20.0,,,79-47,,D. Fox misses 2-pt shot from 19 ft
5:20.0,Defensive rebound by K. Oubre,,79-47,,
5:01.0,Turnover by B. Beal (lost ball; steal by B. Bogdanovic),,79-47,,
4:58.0,,,79-49,2,B. Bogdanovic makes 2-pt shot from 2 ft
4:32.0,J. Wall misses 2-pt shot from 11 ft,,79-49,,
4:32.0,Offensive rebound by Team,,79-49,,
4:32.0,Turnover by Team (shot clock),,79-49,,
4:08.0,,,79-49,,B. Bogdanovic misses 2-pt shot from 19 ft
4:08.0,,,79-49,,Offensive rebound by Team
4:08.0,,,79-49,,Turnover by Team (shot clock)
3:50.0,M. Gortat makes 2-pt shot from 9 ft,2,81-49,,
3:40.0,,,81-49,,Turnover by D. Fox (bad pass; steal by M. Gortat)
3:35.0,Turnover by J. Wall (bad pass; steal by B. Bogdanovic),,81-49,,
3:30.0,,,81-51,2,B. Hield makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
3:05.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,84-51,,
2:40.0,,,84-51,,W. Cauley-Stein misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by M. Gortat,,84-51,,
2:31.0,J. Wall misses 3-pt shot from 25 ft,,84-51,,
2:29.0,,,84-51,,Defensive rebound by S. Labissiere
2:14.0,,,84-51,,B. Hield misses 3-pt shot from 24 ft
2:10.0,,,84-53,2,S. Labissiere makes 2-pt shot from 3 ft
2:10.0,,,84-53,,Shooting foul by M. Gortat (drawn by S. Labissiere)
2:10.0,Washington full timeout,,84-53,,
2:10.0,,,84-53,,G. Temple enters the game for W. Cauley-Stein
2:10.0,,,84-53,,K. Koufos enters the game for B. Bogdanovic
2:10.0,T. Frazier enters the game for J. Wall,,84-53,,
2:10.0,I. Mahinmi enters the game for M. Gortat,,84-53,,
2:10.0,,,84-54,1,S. Labissiere makes free throw 1 of 1
2:09.0,,,84-54,,Offensive rebound by S. Labissiere
1:58.0,,,84-54,,Away from play foul by B. Hield (drawn by B. Beal)
1:49.0,B. Beal makes 2-pt shot from 2 ft (assist by I. Mahinmi),2,86-54,,
1:33.0,,,86-57,3,B. Hield makes 3-pt shot from 24 ft (assist by D. Fox)
1:12.0,O. Porter misses 3-pt shot from 25 ft,,86-57,,
1:12.0,,,86-57,,Defensive rebound by D. Fox
0:59.0,,,86-60,3,G. Temple makes 3-pt shot from 24 ft (assist by B. Hield)
0:40.0,B. Beal makes 2-pt shot from 12 ft,2,88-60,,
0:26.0,,,88-60,,Turnover by D. Fox (bad pass; steal by I. Mahinmi)
0:02.0,B. Beal misses 2-pt shot from 18 ft,,88-60,,
0:02.0,,,88-60,,Defensive rebound by G. Temple
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,Turnover by T. Frazier (bad pass; steal by V. Carter),,88-60,,
11:36.0,,,88-60,,Turnover by V. Carter (bad pass; steal by O. Porter)
11:36.0,Shooting foul by V. Carter (drawn by I. Mahinmi),,88-60,,
11:36.0,I. Mahinmi makes free throw 1 of 2,1,89-60,,
11:36.0,I. Mahinmi misses free throw 2 of 2,,89-60,,
11:33.0,,,89-60,,Defensive rebound by V. Carter
11:13.0,,,89-62,2,F. Mason makes 2-pt shot from 20 ft
11:00.0,I. Mahinmi misses 2-pt shot from 3 ft,,89-62,,
10:52.0,Offensive rebound by M. Scott,,89-62,,
10:52.0,M. Scott makes 2-pt shot at rim,2,91-62,,
10:30.0,,,91-62,,B. Hield misses 2-pt shot from 9 ft (block by O. Porter)
10:30.0,,,91-62,,Offensive rebound by B. Hield
10:30.0,,,91-62,,Turnover by Team (shot clock)
10:30.0,,,91-62,,M. Richardson enters the game for B. Hield
10:30.0,T. Satoransky enters the game for O. Porter,,91-62,,
10:18.0,Turnover by T. Frazier (bad pass; steal by M. Richardson),,91-62,,
10:15.0,Personal foul by T. Frazier (drawn by K. Koufos),,91-62,,
10:01.0,,,91-62,,V. Carter misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by J. Meeks,,91-62,,
9:47.0,,,91-62,,Personal foul by K. Koufos (drawn by J. Meeks)
9:39.0,J. Meeks misses 2-pt shot from 12 ft,,91-62,,
9:33.0,,,91-62,,Defensive rebound by G. Temple
9:27.0,Personal foul by I. Mahinmi (drawn by V. Carter),,91-62,,
9:13.0,,,91-62,,Turnover by Team (shot clock)
9:12.0,,,91-62,,G. Temple misses 3-pt shot from 30 ft
9:11.0,,,91-62,,Offensive rebound by Team
8:59.0,Turnover by J. Meeks (turnover),,91-62,,
8:47.0,,,91-62,,Shooting foul by I. Mahinmi (drawn by M. Richardson)
8:47.0,,,91-62,,M. Richardson misses free throw 1 of 2
8:47.0,,,91-62,,Offensive rebound by Team
8:47.0,,,91-63,1,M. Richardson makes free throw 2 of 2
8:39.0,,,91-63,,Personal foul by G. Temple (drawn by J. Meeks)
8:36.0,T. Frazier makes 3-pt shot from 23 ft (assist by T. Satoransky),3,94-63,,
8:24.0,Personal foul by T. Frazier (drawn by F. Mason),,94-63,,
8:10.0,,,94-63,,M. Richardson misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by I. Mahinmi,,94-63,,
7:55.0,T. Satoransky misses 2-pt shot from 4 ft,,94-63,,
7:55.0,Offensive rebound by Team,,94-63,,
7:55.0,,,94-63,,Loose ball foul by K. Koufos (drawn by T. Satoransky)
7:48.0,T. Satoransky makes 3-pt shot from 24 ft (assist by T. Frazier),3,97-63,,
7:31.0,,,97-63,,Offensive charge foul by M. Richardson (drawn by I. Mahinmi)
7:31.0,,,97-63,,Turnover by M. Richardson (offensive foul)
7:31.0,,,97-63,,J. Jackson enters the game for G. Temple
7:17.0,M. Scott misses 2-pt shot from 7 ft,,97-63,,
7:13.0,,,97-63,,Defensive rebound by K. Koufos
7:02.0,,,97-63,,V. Carter misses 2-pt shot from 5 ft
7:02.0,Defensive rebound by J. Meeks,,97-63,,
6:44.0,Offensive charge foul by M. Scott (drawn by M. Richardson),,97-63,,
6:44.0,Turnover by M. Scott (offensive foul),,97-63,,
6:44.0,,,97-63,,Sacramento full timeout
6:44.0,,,97-63,,G. Papagiannis enters the game for V. Carter
6:44.0,,,97-63,,J. Sampson enters the game for K. Koufos
6:44.0,C. McCullough enters the game for I. Mahinmi,,97-63,,
6:44.0,J. Smith enters the game for M. Scott,,97-63,,
6:22.0,,,97-65,2,J. Jackson makes 2-pt shot from 10 ft
6:09.0,Shooting foul by J. Sampson (drawn by C. McCullough),,97-65,,
6:09.0,C. McCullough makes free throw 1 of 2,1,98-65,,
6:09.0,C. McCullough misses free throw 2 of 2,,98-65,,
6:06.0,,,98-65,,Defensive rebound by J. Sampson
5:53.0,Personal foul by C. McCullough (drawn by J. Jackson),,98-65,,
5:53.0,,,98-65,,J. Jackson misses free throw 1 of 2
5:53.0,,,98-65,,Offensive rebound by Team
5:53.0,,,98-66,1,J. Jackson makes free throw 2 of 2
5:42.0,J. Meeks misses 3-pt shot from 25 ft,,98-66,,
5:39.0,Offensive rebound by J. Meeks,,98-66,,
5:39.0,,,98-66,,Personal foul by J. Sampson (drawn by J. Meeks)
5:39.0,J. Meeks makes free throw 1 of 2,1,99-66,,
5:39.0,J. Meeks makes free throw 2 of 2,1,100-66,,
5:24.0,,,100-66,,J. Jackson misses 2-pt shot from 22 ft
5:20.0,Defensive rebound by C. McCullough,,100-66,,
5:14.0,J. Meeks makes 3-pt shot from 23 ft (assist by T. Frazier),3,103-66,,
4:55.0,,,103-68,2,F. Mason makes 2-pt shot from 2 ft
4:42.0,C. McCullough makes 2-pt shot from 1 ft (assist by T. Frazier),2,105-68,,
4:32.0,,,105-68,,Offensive foul by G. Papagiannis (drawn by J. Smith)
4:32.0,,,105-68,,Turnover by G. Papagiannis (offensive foul)
4:27.0,Offensive foul by J. Smith (drawn by G. Papagiannis),,105-68,,
4:27.0,Turnover by J. Smith (offensive foul),,105-68,,
4:14.0,,,105-68,,J. Jackson misses 2-pt shot from 11 ft
4:08.0,,,105-68,,Offensive rebound by J. Sampson
4:08.0,,,105-70,2,J. Sampson makes 2-pt shot at rim
4:01.0,J. Meeks misses 3-pt shot from 25 ft,,105-70,,
3:59.0,,,105-70,,Defensive rebound by Team
3:45.0,,,105-73,3,M. Richardson makes 3-pt shot from 26 ft
3:21.0,C. McCullough misses 2-pt shot from 9 ft,,105-73,,
3:16.0,,,105-73,,Defensive rebound by J. Sampson
3:08.0,,,105-73,,J. Sampson misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by T. Frazier,,105-73,,
2:57.0,Shooting foul by J. Jackson (drawn by J. Meeks),,105-73,,
2:57.0,Washington full timeout,,105-73,,
2:57.0,J. Meeks makes free throw 1 of 2,1,106-73,,
2:57.0,J. Meeks misses free throw 2 of 2,,106-73,,
2:54.0,,,106-73,,Defensive rebound by G. Papagiannis
2:35.0,,,106-76,3,F. Mason makes 3-pt shot from 25 ft (assist by J. Jackson)
