time,Dallas,pts.away,score,pts.home,Phoenix
5:23.0,S. Mejri misses 2-pt shot from 2 ft,,6-15,,
5:21.0,,,6-15,,Defensive rebound by J. Jackson
5:18.0,,,6-15,,J. Jackson misses 2-pt shot at rim
5:16.0,,,6-15,,Offensive rebound by T. Warren
5:15.0,,,6-17,2,T. Warren makes 2-pt shot at rim
5:01.0,Offensive foul by H. Barnes (drawn by J. Jackson),,6-17,,
5:01.0,Turnover by H. Barnes (offensive foul),,6-17,,
5:01.0,,,6-17,,T. Daniels enters the game for D. Booker
5:01.0,,,6-17,,D. Bender enters the game for T. Chandler
5:01.0,,,6-17,,I. Canaan enters the game for J. Jackson
4:53.0,,,6-20,3,T. Daniels makes 3-pt shot from 25 ft
4:41.0,Shooting foul by D. Bender (drawn by D. Smith),,6-20,,
4:41.0,D. Smith makes free throw 1 of 2,1,7-20,,
4:41.0,D. Harris enters the game for W. Matthews,,7-20,,
4:41.0,D. Smith makes free throw 2 of 2,1,8-20,,
4:31.0,,,8-23,3,T. Daniels makes 3-pt shot from 22 ft (assist by I. Canaan)
4:29.0,Dallas full timeout,,8-23,,
4:10.0,D. Harris makes 2-pt shot at rim (assist by D. Smith),2,10-23,,
3:57.0,,,10-23,,I. Canaan misses 2-pt shot from 1 ft (block by S. Mejri)
3:54.0,Defensive rebound by D. Harris,,10-23,,
3:49.0,D. Smith makes 2-pt shot at rim,2,12-23,,
3:24.0,,,12-23,,T. Warren misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by D. Smith,,12-23,,
3:17.0,,,12-23,,Personal foul by D. Bender (drawn by D. Harris)
3:17.0,,,12-23,,D. House enters the game for T. Warren
3:17.0,M. Kleber enters the game for S. Mejri,,12-23,,
3:09.0,D. Smith misses 3-pt shot from 24 ft,,12-23,,
3:07.0,,,12-23,,Defensive rebound by T. Daniels
2:46.0,,,12-26,3,D. House makes 3-pt shot from 24 ft (assist by D. Bender)
2:26.0,M. Kleber misses 2-pt shot from 1 ft,,12-26,,
2:22.0,Offensive rebound by M. Kleber,,12-26,,
2:22.0,M. Kleber misses 2-pt shot at rim,,12-26,,
2:22.0,,,12-26,,Defensive rebound by D. House
2:15.0,Personal foul by D. Harris (drawn by D. Bender),,12-26,,
2:15.0,D. Nowitzki enters the game for D. Smith,,12-26,,
2:15.0,W. Matthews enters the game for H. Barnes,,12-26,,
2:05.0,,,12-29,3,I. Canaan makes 3-pt shot from 25 ft (assist by D. House)
1:48.0,D. Nowitzki misses 3-pt shot from 24 ft,,12-29,,
1:45.0,,,12-29,,Defensive rebound by D. Bender
1:33.0,Personal foul by D. Nowitzki (drawn by D. Bender),,12-29,,
1:24.0,,,12-29,,Turnover by I. Canaan (traveling)
1:10.0,D. Harris misses 2-pt shot from 18 ft,,12-29,,
1:07.0,Offensive rebound by M. Kleber,,12-29,,
1:05.0,Y. Ferrell makes 2-pt shot from 19 ft (assist by M. Kleber),2,14-29,,
0:48.0,,,14-29,,D. House misses 2-pt shot from 5 ft (block by M. Kleber)
0:47.0,,,14-29,,Offensive rebound by D. House
0:47.0,,,14-29,,Phoenix full timeout
0:39.0,,,14-32,3,D. House makes 3-pt shot from 22 ft (assist by J. Dudley)
0:32.0,Turnover by D. Harris (bad pass; steal by I. Canaan),,14-32,,
0:26.0,,,14-32,,J. Dudley misses 3-pt shot from 25 ft
0:24.0,,,14-32,,Offensive rebound by D. House
0:23.0,,,14-35,3,J. Dudley makes 3-pt shot from 25 ft (assist by D. House)
0:07.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,17-35,,
0:02.0,,,17-35,,Shooting foul by W. Matthews (drawn by I. Canaan)
0:02.0,,,17-35,,M. Chriss enters the game for I. Canaan
0:02.0,,,17-36,1,M. Chriss makes free throw 1 of 2
0:02.0,,,17-36,,M. Chriss misses free throw 2 of 2
0:00.0,Defensive rebound by M. Kleber,,17-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Y. Ferrell misses 2-pt shot from 15 ft,,17-36,,
11:43.0,Offensive rebound by D. Nowitzki,,17-36,,
11:39.0,D. Nowitzki makes 2-pt shot from 22 ft,2,19-36,,
11:24.0,,,19-38,2,D. Bender makes 2-pt shot from 1 ft (assist by D. Booker)
11:10.0,Shooting foul by D. Bender (drawn by D. Nowitzki),,19-38,,
11:10.0,D. Nowitzki misses free throw 1 of 2,,19-38,,
11:10.0,Offensive rebound by Team,,19-38,,
11:10.0,,,19-38,,T. Chandler enters the game for D. Bender
11:10.0,D. Nowitzki makes free throw 2 of 2,1,20-38,,
10:56.0,,,20-38,,T. Daniels misses 3-pt shot from 29 ft
10:53.0,Defensive rebound by D. Nowitzki,,20-38,,
10:36.0,D. Harris makes 2-pt shot from 7 ft (assist by Y. Ferrell),2,22-38,,
10:21.0,,,22-38,,D. House misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by Y. Ferrell,,22-38,,
10:07.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews),3,25-38,,
9:56.0,,,25-38,,Shooting foul by W. Matthews (drawn by T. Chandler)
9:56.0,,,25-39,1,T. Chandler makes free throw 1 of 2
9:56.0,,,25-39,,J. Dudley enters the game for M. Chriss
9:56.0,,,25-39,,T. Warren enters the game for D. House
9:56.0,,,25-39,,J. Jackson enters the game for T. Daniels
9:56.0,,,25-39,,T. Chandler misses free throw 2 of 2
9:54.0,Defensive rebound by D. Nowitzki,,25-39,,
9:47.0,W. Matthews makes 2-pt shot at rim (assist by D. Harris),2,27-39,,
9:34.0,,,27-41,2,T. Warren makes 2-pt shot from 19 ft
9:20.0,Turnover by W. Matthews (bad pass; steal by J. Dudley),,27-41,,
9:14.0,,,27-43,2,J. Jackson makes 2-pt shot from 6 ft
9:14.0,,,27-43,,Shooting foul by D. Harris (drawn by J. Jackson)
9:14.0,,,27-44,1,J. Jackson makes free throw 1 of 1
9:07.0,D. Harris misses 3-pt shot from 24 ft,,27-44,,
9:02.0,,,27-44,,Defensive rebound by J. Dudley
8:59.0,,,27-44,,Offensive foul by D. Booker (drawn by D. Harris)
8:59.0,,,27-44,,Turnover by D. Booker (offensive foul)
8:45.0,D. Harris makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,30-44,,
8:43.0,,,30-44,,Phoenix full timeout
8:43.0,D. Smith enters the game for Y. Ferrell,,30-44,,
8:28.0,,,30-44,,J. Jackson misses 2-pt shot at rim
8:27.0,Defensive rebound by D. Nowitzki,,30-44,,
8:22.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Harris),3,33-44,,
8:07.0,,,33-44,,D. Booker misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by D. Nowitzki,,33-44,,
7:54.0,W. Matthews misses 2-pt shot from 13 ft,,33-44,,
7:54.0,Offensive rebound by Team,,33-44,,
7:54.0,,,33-44,,Loose ball foul by J. Dudley (drawn by D. Powell)
7:33.0,D. Harris misses 3-pt shot from 27 ft,,33-44,,
7:30.0,,,33-44,,Defensive rebound by Team
7:30.0,,,33-44,,M. Chriss enters the game for J. Dudley
7:13.0,,,33-44,,T. Warren misses 2-pt shot from 7 ft
7:10.0,Defensive rebound by D. Nowitzki,,33-44,,
7:05.0,,,33-44,,Personal foul by T. Chandler (drawn by D. Powell)
6:59.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,36-44,,
6:40.0,,,36-46,2,M. Chriss makes 2-pt shot from 4 ft
6:40.0,,,36-46,,Shooting foul by D. Smith (drawn by M. Chriss)
6:40.0,,,36-47,1,M. Chriss makes free throw 1 of 1
6:29.0,Turnover by D. Smith (bad pass; steal by D. Booker),,36-47,,
6:23.0,,,36-47,,Turnover by M. Chriss (bad pass; steal by W. Matthews)
6:19.0,D. Smith misses 2-pt shot from 15 ft,,36-47,,
6:14.0,,,36-47,,Defensive rebound by M. Chriss
6:10.0,,,36-49,2,T. Warren makes 2-pt shot from 14 ft (assist by M. Chriss)
6:06.0,Dallas full timeout,,36-49,,
6:06.0,H. Barnes enters the game for D. Powell,,36-49,,
6:06.0,Y. Ferrell enters the game for D. Harris,,36-49,,
6:00.0,,,36-49,,Personal foul by J. Jackson (drawn by D. Smith)
5:44.0,D. Smith misses 2-pt shot from 16 ft,,36-49,,
5:41.0,,,36-49,,Defensive rebound by D. Booker
5:24.0,,,36-49,,J. Jackson misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by H. Barnes,,36-49,,
5:05.0,W. Matthews makes 2-pt shot at rim,2,38-49,,
4:46.0,,,38-49,,D. Booker misses 2-pt shot from 9 ft
4:42.0,,,38-49,,Offensive rebound by T. Chandler
4:42.0,,,38-49,,T. Chandler misses 2-pt shot at rim
4:41.0,,,38-49,,Offensive rebound by J. Jackson
4:37.0,,,38-49,,Turnover by D. Booker (lost ball; steal by W. Matthews)
4:32.0,Turnover by Y. Ferrell (bad pass; steal by J. Jackson),,38-49,,
4:27.0,,,38-51,2,T. Chandler makes 2-pt shot from 1 ft (assist by T. Warren)
4:09.0,Shooting foul by D. Booker (drawn by D. Smith),,38-51,,
4:09.0,D. Smith misses free throw 1 of 2,,38-51,,
4:09.0,Offensive rebound by Team,,38-51,,
4:09.0,,,38-51,,T. Ulis enters the game for D. Booker
4:09.0,,,38-51,,J. Dudley enters the game for T. Chandler
4:09.0,M. Kleber enters the game for D. Nowitzki,,38-51,,
4:09.0,D. Smith misses free throw 2 of 2,,38-51,,
4:09.0,,,38-51,,Defensive rebound by M. Chriss
3:49.0,,,38-53,2,J. Jackson makes 2-pt shot from 15 ft
3:39.0,H. Barnes makes 2-pt shot at rim (assist by D. Smith),2,40-53,,
3:39.0,Shooting foul by J. Dudley (drawn by H. Barnes),,40-53,,
3:39.0,H. Barnes makes free throw 1 of 1,1,41-53,,
3:23.0,,,41-53,,T. Warren misses 2-pt shot from 17 ft
3:21.0,Defensive rebound by H. Barnes,,41-53,,
3:14.0,D. Smith misses 2-pt shot at rim (block by M. Chriss),,41-53,,
3:12.0,,,41-53,,Defensive rebound by J. Dudley
3:09.0,,,41-53,,T. Warren misses 2-pt shot from 1 ft
3:03.0,,,41-53,,Offensive rebound by J. Jackson
3:03.0,,,41-55,2,J. Jackson makes 2-pt shot at rim
2:48.0,Turnover by H. Barnes (bad pass; steal by J. Jackson),,41-55,,
2:28.0,,,41-55,,T. Ulis misses 2-pt shot from 15 ft
2:25.0,Defensive rebound by H. Barnes,,41-55,,
2:17.0,M. Kleber misses 3-pt shot from 23 ft,,41-55,,
2:16.0,,,41-55,,Defensive rebound by J. Jackson
2:10.0,,,41-55,,J. Jackson misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by Y. Ferrell,,41-55,,
2:02.0,Y. Ferrell makes 3-pt shot from 26 ft,3,44-55,,
1:37.0,,,44-55,,J. Dudley misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by W. Matthews,,44-55,,
1:16.0,Y. Ferrell misses 2-pt shot from 20 ft,,44-55,,
1:12.0,Offensive rebound by M. Kleber,,44-55,,
1:11.0,H. Barnes misses 2-pt shot from 15 ft,,44-55,,
1:06.0,Offensive rebound by M. Kleber,,44-55,,
1:06.0,M. Kleber makes 2-pt shot at rim,2,46-55,,
0:41.0,,,46-55,,T. Ulis misses 2-pt shot from 14 ft
0:39.0,Defensive rebound by H. Barnes,,46-55,,
0:36.0,W. Matthews misses 3-pt shot from 25 ft,,46-55,,
0:33.0,,,46-55,,Defensive rebound by M. Chriss
0:30.0,,,46-55,,Turnover by M. Chriss (bad pass; steal by W. Matthews)
0:08.0,W. Matthews misses 3-pt shot from 25 ft,,46-55,,
0:04.0,,,46-55,,Defensive rebound by M. Chriss
0:00.0,,,46-57,2,J. Jackson makes 2-pt shot from 17 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by H. Barnes (lost ball; steal by T. Warren),,46-57,,
11:37.0,,,46-57,,J. Jackson misses 2-pt shot at rim
11:34.0,Defensive rebound by D. Nowitzki,,46-57,,
11:22.0,W. Matthews misses 3-pt shot from 24 ft,,46-57,,
11:18.0,,,46-57,,Defensive rebound by J. Jackson
11:06.0,,,46-59,2,J. Jackson makes 2-pt shot from 2 ft (assist by D. Booker)
11:06.0,,,46-59,,Shooting foul by D. Smith (drawn by J. Jackson)
11:06.0,,,46-60,1,J. Jackson makes free throw 1 of 1
10:45.0,D. Powell makes 2-pt shot at rim (assist by D. Smith),2,48-60,,
10:45.0,Shooting foul by D. Booker (drawn by D. Powell),,48-60,,
10:45.0,D. Powell misses free throw 1 of 1,,48-60,,
10:42.0,,,48-60,,Defensive rebound by M. Chriss
10:22.0,,,48-63,3,D. Booker makes 3-pt shot from 24 ft
10:03.0,Turnover by D. Nowitzki (bad pass; steal by M. Chriss),,48-63,,
9:59.0,,,48-65,2,M. Chriss makes 2-pt shot at rim (assist by T. Chandler)
9:59.0,Dallas full timeout,,48-65,,
9:44.0,W. Matthews misses 3-pt shot from 25 ft,,48-65,,
9:42.0,,,48-65,,Defensive rebound by T. Warren
9:27.0,,,48-65,,D. Booker misses 3-pt shot from 24 ft
9:24.0,,,48-65,,Offensive rebound by T. Chandler
9:22.0,,,48-68,3,J. Jackson makes 3-pt shot from 25 ft (assist by T. Warren)
8:50.0,H. Barnes makes 3-pt shot from 25 ft,3,51-68,,
8:30.0,Personal foul by D. Nowitzki (drawn by T. Chandler),,51-68,,
8:30.0,,,51-68,,J. Dudley enters the game for M. Chriss
8:21.0,,,51-68,,D. Booker misses 2-pt shot from 3 ft
8:19.0,Defensive rebound by D. Nowitzki,,51-68,,
8:09.0,Shooting foul by J. Dudley (drawn by D. Smith),,51-68,,
8:09.0,D. Smith misses free throw 1 of 2,,51-68,,
8:09.0,Offensive rebound by Team,,51-68,,
8:09.0,D. Smith misses free throw 2 of 2,,51-68,,
8:07.0,,,51-68,,Defensive rebound by T. Chandler
7:55.0,Personal foul by D. Powell (drawn by J. Dudley),,51-68,,
7:52.0,Personal foul by D. Nowitzki (drawn by D. Booker),,51-68,,
7:43.0,,,51-70,2,T. Warren makes 2-pt shot from 16 ft (assist by J. Dudley)
7:25.0,H. Barnes misses 3-pt shot from 23 ft,,51-70,,
7:20.0,,,51-70,,Defensive rebound by T. Chandler
7:00.0,,,51-70,,Turnover by T. Warren (lost ball; steal by W. Matthews)
7:00.0,,,51-70,,Personal foul by J. Dudley (drawn by H. Barnes)
7:00.0,D. Harris enters the game for D. Powell,,51-70,,
6:43.0,H. Barnes misses 2-pt shot from 12 ft,,51-70,,
6:40.0,,,51-70,,Defensive rebound by J. Jackson
6:27.0,,,51-70,,Offensive charge foul by D. Booker (drawn by D. Harris)
6:27.0,,,51-70,,Turnover by D. Booker (offensive foul)
6:27.0,,,51-70,,D. Bender enters the game for T. Chandler
6:27.0,M. Kleber enters the game for D. Nowitzki,,51-70,,
6:27.0,,,51-70,,T. Ulis enters the game for D. Booker
6:09.0,W. Matthews misses 3-pt shot from 23 ft,,51-70,,
6:06.0,Offensive rebound by W. Matthews,,51-70,,
6:06.0,Shooting foul by J. Dudley (drawn by D. Smith),,51-70,,
6:06.0,D. Smith makes free throw 1 of 2,1,52-70,,
6:06.0,,,52-70,,M. Chriss enters the game for J. Dudley
6:06.0,K. Collinsworth enters the game for W. Matthews,,52-70,,
6:06.0,D. Smith misses free throw 2 of 2,,52-70,,
6:03.0,,,52-70,,Defensive rebound by D. Bender
5:48.0,,,52-72,2,T. Warren makes 2-pt shot from 11 ft (assist by T. Ulis)
5:35.0,D. Smith makes 2-pt shot from 1 ft,2,54-72,,
5:35.0,Shooting foul by T. Warren (drawn by D. Smith),,54-72,,
5:35.0,D. Smith makes free throw 1 of 1,1,55-72,,
5:18.0,,,55-72,,Turnover by J. Jackson (lost ball; steal by K. Collinsworth)
5:15.0,Turnover by D. Smith (out of bounds lost ball),,55-72,,
5:04.0,,,55-74,2,T. Warren makes 2-pt shot at rim
5:04.0,,,55-74,,Shooting foul by D. Harris (drawn by T. Warren)
5:04.0,,,55-74,,T. Daniels enters the game for J. Jackson
5:04.0,,,55-74,,T. Warren misses free throw 1 of 1
5:01.0,Defensive rebound by K. Collinsworth,,55-74,,
4:51.0,D. Smith misses 3-pt shot from 25 ft,,55-74,,
4:47.0,,,55-74,,Defensive rebound by D. Bender
4:41.0,,,55-74,,T. Daniels misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by H. Barnes,,55-74,,
4:28.0,H. Barnes misses 2-pt shot from 4 ft,,55-74,,
4:26.0,Offensive rebound by M. Kleber,,55-74,,
4:10.0,H. Barnes misses 2-pt shot from 1 ft,,55-74,,
4:08.0,Offensive rebound by H. Barnes,,55-74,,
4:08.0,H. Barnes misses 2-pt shot at rim,,55-74,,
4:07.0,,,55-74,,Defensive rebound by M. Chriss
3:58.0,,,55-74,,D. Bender misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by D. Smith,,55-74,,
3:49.0,Shooting foul by T. Ulis (drawn by K. Collinsworth),,55-74,,
3:49.0,K. Collinsworth misses free throw 1 of 2,,55-74,,
3:49.0,Offensive rebound by Team,,55-74,,
3:49.0,,,55-74,,D. House enters the game for T. Warren
3:49.0,Y. Ferrell enters the game for D. Smith,,55-74,,
3:49.0,K. Collinsworth makes free throw 2 of 2,1,56-74,,
3:34.0,,,56-74,,T. Daniels misses 3-pt shot from 22 ft
3:34.0,,,56-74,,Offensive rebound by Team
3:34.0,Loose ball foul by D. Harris (drawn by M. Chriss),,56-74,,
3:34.0,,,56-75,1,M. Chriss makes free throw 1 of 2
3:34.0,,,56-76,1,M. Chriss makes free throw 2 of 2
3:26.0,,,56-76,,Personal foul by D. House (drawn by H. Barnes)
3:26.0,H. Barnes makes free throw 1 of 2,1,57-76,,
3:26.0,H. Barnes makes free throw 2 of 2,1,58-76,,
3:12.0,,,58-78,2,D. Bender makes 2-pt shot from 13 ft (assist by T. Daniels)
2:55.0,Shooting foul by D. House (drawn by H. Barnes),,58-78,,
2:55.0,,,58-78,,Phoenix full timeout
2:55.0,H. Barnes misses free throw 1 of 2,,58-78,,
2:55.0,Offensive rebound by Team,,58-78,,
2:55.0,H. Barnes misses free throw 2 of 2,,58-78,,
2:52.0,,,58-78,,Defensive rebound by M. Chriss
2:38.0,,,58-78,,D. Bender misses 2-pt shot from 15 ft
2:34.0,Defensive rebound by K. Collinsworth,,58-78,,
2:26.0,Turnover by D. Harris (lost ball; steal by T. Ulis),,58-78,,
2:20.0,,,58-81,3,T. Daniels makes 3-pt shot from 22 ft (assist by T. Ulis)
1:59.0,H. Barnes makes 2-pt shot from 1 ft,2,60-81,,
1:48.0,,,60-81,,Offensive foul by M. Chriss (drawn by Y. Ferrell)
1:48.0,,,60-81,,Turnover by M. Chriss (offensive foul)
1:37.0,,,60-81,,Personal block foul by M. Chriss (drawn by K. Collinsworth)
1:37.0,K. Collinsworth makes free throw 1 of 2,1,61-81,,
1:37.0,K. Collinsworth misses free throw 2 of 2,,61-81,,
1:35.0,,,61-81,,Defensive rebound by M. Chriss
1:20.0,,,61-81,,D. House misses 2-pt shot from 4 ft (block by M. Kleber)
1:20.0,,,61-81,,Offensive rebound by Team
1:13.0,,,61-81,,T. Ulis misses 3-pt shot from 25 ft
1:13.0,,,61-81,,Offensive rebound by Team
1:13.0,,,61-81,,Turnover by Team (shot clock)
0:58.0,K. Collinsworth misses 3-pt shot from 24 ft,,61-81,,
0:56.0,,,61-81,,Defensive rebound by D. House
0:48.0,,,61-81,,Turnover by D. Bender (bad pass; steal by H. Barnes)
0:42.0,Turnover by D. Harris (out of bounds lost ball),,61-81,,
0:35.0,,,61-81,,T. Ulis misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by H. Barnes,,61-81,,
0:29.0,H. Barnes misses 2-pt shot from 1 ft,,61-81,,
0:27.0,,,61-81,,Defensive rebound by D. Bender
0:07.0,,,61-81,,T. Ulis misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by H. Barnes,,61-81,,
0:00.0,Y. Ferrell misses 3-pt shot from 27 ft,,61-81,,
0:00.0,Offensive rebound by Team,,61-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by K. Collinsworth (drawn by D. Booker),,61-81,,
11:37.0,,,61-81,,D. Bender misses 3-pt shot from 25 ft
11:35.0,,,61-81,,Offensive rebound by Team
11:35.0,Loose ball foul by D. Nowitzki,,61-81,,
11:35.0,Technical foul by D. Nowitzki,,61-81,,
11:35.0,,,61-82,1,D. Booker makes technical free throw
11:13.0,,,61-84,2,D. Booker makes 2-pt shot from 22 ft
10:56.0,D. Harris misses 3-pt shot from 25 ft,,61-84,,
10:53.0,Offensive rebound by D. Powell,,61-84,,
10:44.0,Y. Ferrell misses 3-pt shot from 25 ft,,61-84,,
10:43.0,Offensive rebound by Team,,61-84,,
10:43.0,,,61-84,,Loose ball foul by D. Bender (drawn by D. Powell)
10:43.0,W. Matthews enters the game for K. Collinsworth,,61-84,,
10:38.0,,,61-84,,Personal foul by T. Warren (drawn by D. Harris)
10:29.0,D. Powell makes 2-pt shot at rim (assist by D. Harris),2,63-84,,
10:07.0,,,63-86,2,T. Warren makes 2-pt shot from 4 ft
9:53.0,,,63-86,,Personal foul by T. Daniels (drawn by D. Powell)
9:41.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by D. Harris),2,65-86,,
9:23.0,,,65-86,,T. Daniels misses 3-pt shot from 23 ft
9:21.0,,,65-86,,Offensive rebound by T. Chandler
9:20.0,,,65-86,,D. Booker misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by D. Harris,,65-86,,
9:13.0,,,65-86,,Shooting block foul by D. Bender (drawn by D. Powell)
9:13.0,D. Powell makes free throw 2 of 2,1,66-86,,
9:13.0,D. Powell misses free throw 1 of 2,,66-86,,
9:13.0,Offensive rebound by Team,,66-86,,
9:13.0,,,66-86,,J. Dudley enters the game for D. Bender
8:51.0,,,66-86,,D. Booker misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by D. Harris,,66-86,,
8:45.0,D. Harris makes 2-pt shot at rim,2,68-86,,
8:45.0,Shooting foul by T. Warren (drawn by D. Harris),,68-86,,
8:45.0,D. Harris makes free throw 1 of 1,1,69-86,,
8:20.0,,,69-86,,Turnover by D. Booker (lost ball; steal by W. Matthews)
8:13.0,W. Matthews misses 2-pt shot from 2 ft,,69-86,,
8:08.0,Offensive rebound by D. Powell,,69-86,,
8:08.0,D. Powell misses 2-pt shot at rim,,69-86,,
8:08.0,Offensive rebound by W. Matthews,,69-86,,
8:07.0,Y. Ferrell misses 3-pt shot from 23 ft,,69-86,,
8:07.0,Offensive rebound by D. Powell,,69-86,,
8:03.0,W. Matthews misses 3-pt shot from 23 ft,,69-86,,
8:03.0,,,69-86,,Defensive rebound by Team
8:03.0,Loose ball foul by D. Powell (drawn by T. Chandler),,69-86,,
7:46.0,,,69-86,,T. Warren misses 2-pt shot from 15 ft
7:43.0,Defensive rebound by D. Nowitzki,,69-86,,
7:32.0,D. Powell makes 2-pt shot at rim (assist by W. Matthews),2,71-86,,
7:31.0,,,71-86,,Phoenix full timeout
7:31.0,,,71-86,,J. Jackson enters the game for T. Daniels
7:16.0,,,71-86,,Offensive foul by T. Chandler (drawn by D. Harris)
7:16.0,,,71-86,,Turnover by T. Chandler (offensive foul)
7:16.0,,,71-86,,D. House enters the game for T. Warren
7:05.0,D. Nowitzki misses 2-pt shot from 21 ft,,71-86,,
7:02.0,,,71-86,,Defensive rebound by Team
6:47.0,,,71-86,,J. Dudley misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by D. Harris,,71-86,,
6:32.0,Y. Ferrell misses 2-pt shot from 10 ft (block by J. Dudley),,71-86,,
6:29.0,,,71-86,,Defensive rebound by D. House
6:08.0,,,71-86,,D. House misses 2-pt shot from 2 ft (block by W. Matthews)
6:08.0,Defensive rebound by W. Matthews,,71-86,,
6:08.0,,,71-86,,Personal foul by D. House (drawn by W. Matthews)
6:08.0,W. Matthews makes free throw 1 of 2,1,72-86,,
6:08.0,D. Smith enters the game for D. Harris,,72-86,,
6:08.0,W. Matthews makes free throw 2 of 2,1,73-86,,
5:49.0,,,73-86,,Shooting foul by D. Powell (drawn by T. Chandler)
5:49.0,,,73-86,,T. Chandler misses free throw 1 of 2
