time,Philadelphia,pts.away,score,pts.home,San Antonio
1:51.0,Offensive rebound by T. Booker,,20-11,,
1:51.0,T. Booker misses 2-pt shot at rim (block by L. Aldridge),,20-11,,
1:48.0,,,20-11,,Defensive rebound by B. Forbes
1:42.0,,,20-11,,Turnover by D. Bertans (bad pass; steal by T. McConnell)
1:35.0,J. Anderson makes 3-pt shot from 22 ft (assist by T. McConnell),3,23-11,,
1:09.0,,,23-11,,D. Bertans misses 3-pt shot from 22 ft
1:07.0,Defensive rebound by J. Anderson,,23-11,,
0:45.0,J. Anderson misses 2-pt shot from 10 ft,,23-11,,
0:44.0,,,23-11,,Defensive rebound by D. Bertans
0:41.0,Personal foul by T. Booker (drawn by L. Aldridge),,23-11,,
0:41.0,,,23-11,,P. Mills enters the game for L. Aldridge
0:41.0,,,23-11,,P. Gasol enters the game for B. Paul
0:36.0,,,23-11,,B. Forbes misses 2-pt shot from 13 ft
0:34.0,Defensive rebound by J. Anderson,,23-11,,
0:19.0,T. McConnell makes 2-pt shot from 15 ft,2,25-11,,
0:01.0,,,25-13,2,D. Bertans makes 2-pt shot from 1 ft (assist by T. Parker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,25-13,,B. Forbes misses 2-pt shot from 17 ft
11:34.0,Defensive rebound by J. Embiid,,25-13,,
11:22.0,J. Embiid misses 2-pt shot at rim (block by D. Bertans),,25-13,,
11:19.0,,,25-13,,Defensive rebound by P. Gasol
11:15.0,,,25-13,,T. Parker misses 2-pt shot at rim
11:15.0,Defensive rebound by T. Booker,,25-13,,
11:02.0,J. Embiid misses 2-pt shot from 12 ft,,25-13,,
11:02.0,,,25-13,,Defensive rebound by B. Forbes
10:46.0,,,25-13,,D. Bertans misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by R. Covington,,25-13,,
10:31.0,J. Embiid misses 3-pt shot from 26 ft,,25-13,,
10:26.0,,,25-13,,Defensive rebound by T. Parker
10:05.0,,,25-13,,T. Parker misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by J. Embiid,,25-13,,
9:58.0,R. Covington makes 2-pt shot at rim (assist by T. McConnell),2,27-13,,
9:58.0,,,27-13,,San Antonio full timeout
9:58.0,,,27-13,,D. Murray enters the game for T. Parker
9:37.0,,,27-15,2,D. Murray makes 2-pt shot from 11 ft (assist by P. Mills)
9:17.0,T. Booker makes 2-pt shot from 3 ft (assist by J. Embiid),2,29-15,,
9:03.0,Personal foul by T. Booker (drawn by P. Gasol),,29-15,,
9:03.0,,,29-15,,D. Green enters the game for B. Forbes
9:03.0,,,29-15,,K. Anderson enters the game for D. Bertans
9:03.0,B. Simmons enters the game for T. McConnell,,29-15,,
8:52.0,,,29-15,,D. Green misses 2-pt shot from 20 ft
8:47.0,Defensive rebound by R. Covington,,29-15,,
8:37.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by D. Green),,29-15,,
8:34.0,,,29-15,,Defensive rebound by D. Green
8:31.0,,,29-15,,D. Murray misses 2-pt shot from 1 ft (block by R. Covington)
8:31.0,Defensive rebound by R. Covington,,29-15,,
8:24.0,T. Booker makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,31-15,,
8:11.0,,,31-17,2,P. Mills makes 2-pt shot from 17 ft
7:49.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by R. Covington),3,34-17,,
7:34.0,,,34-17,,D. Green misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by J. Embiid,,34-17,,
7:19.0,R. Covington misses 3-pt shot from 25 ft,,34-17,,
7:19.0,,,34-17,,Defensive rebound by D. Murray
7:09.0,,,34-17,,D. Green misses 3-pt shot from 22 ft
7:09.0,Defensive rebound by T. Booker,,34-17,,
6:43.0,J. Embiid makes 2-pt shot from 12 ft,2,36-17,,
6:32.0,,,36-17,,P. Gasol misses 2-pt shot from 5 ft
6:30.0,,,36-17,,Offensive rebound by K. Anderson
6:28.0,,,36-17,,K. Anderson misses 2-pt shot from 9 ft
6:28.0,Defensive rebound by T. Booker,,36-17,,
6:20.0,Shooting foul by K. Anderson (drawn by R. Covington),,36-17,,
6:20.0,R. Covington makes free throw 1 of 2,1,37-17,,
6:20.0,,,37-17,,L. Aldridge enters the game for P. Gasol
6:20.0,A. Johnson enters the game for J. Embiid,,37-17,,
6:20.0,D. Saric enters the game for T. Booker,,37-17,,
6:20.0,R. Covington makes free throw 2 of 2,1,38-17,,
6:10.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Anderson),,38-17,,
6:05.0,,,38-19,2,D. Murray makes 2-pt shot at rim (assist by D. Green)
5:49.0,Turnover by D. Saric (out of bounds lost ball),,38-19,,
5:33.0,,,38-19,,D. Murray misses 3-pt shot from 22 ft
5:30.0,,,38-19,,Offensive rebound by D. Green
5:30.0,,,38-21,2,D. Green makes 2-pt shot at rim
5:30.0,Philadelphia full timeout,,38-21,,
5:14.0,B. Simmons makes 2-pt shot from 17 ft (assist by D. Saric),2,40-21,,
4:51.0,,,40-21,,Shooting foul by R. Covington (drawn by D. Green)
4:51.0,,,40-22,1,D. Green makes free throw 1 of 2
4:51.0,,,40-22,,B. Forbes enters the game for P. Mills
4:51.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,40-22,,
4:51.0,,,40-23,1,D. Green makes free throw 2 of 2
4:40.0,D. Saric misses 3-pt shot from 27 ft,,40-23,,
4:37.0,,,40-23,,Defensive rebound by L. Aldridge
4:20.0,,,40-25,2,L. Aldridge makes 2-pt shot from 17 ft
3:58.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,43-25,,
3:37.0,,,43-27,2,L. Aldridge makes 2-pt shot from 12 ft (assist by D. Green)
3:22.0,D. Saric misses 2-pt shot from 22 ft,,43-27,,
3:19.0,,,43-27,,Defensive rebound by D. Murray
3:15.0,,,43-27,,D. Murray misses 2-pt shot from 2 ft
3:12.0,Defensive rebound by R. Covington,,43-27,,
3:00.0,T. McConnell misses 2-pt shot at rim,,43-27,,
3:00.0,,,43-27,,Defensive rebound by K. Anderson
2:50.0,,,43-29,2,K. Anderson makes 2-pt shot from 5 ft (assist by B. Forbes)
2:30.0,R. Covington misses 2-pt shot from 1 ft,,43-29,,
2:30.0,,,43-29,,Defensive rebound by L. Aldridge
2:30.0,Personal foul by A. Johnson (drawn by L. Aldridge),,43-29,,
2:30.0,J. Anderson enters the game for R. Covington,,43-29,,
2:30.0,,,43-29,,San Antonio full timeout
2:30.0,J. Embiid enters the game for A. Johnson,,43-29,,
2:04.0,,,43-29,,Turnover by Team (shot clock)
1:40.0,D. Saric makes 2-pt shot at rim (assist by J. Anderson),2,45-29,,
1:26.0,,,45-29,,Turnover by D. Murray (bad pass; steal by B. Simmons)
1:23.0,B. Simmons makes 2-pt shot from 1 ft,2,47-29,,
1:02.0,,,47-29,,B. Forbes misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by J. Anderson,,47-29,,
0:43.0,J. Embiid misses 2-pt shot from 19 ft,,47-29,,
0:40.0,,,47-29,,Defensive rebound by D. Green
0:35.0,Violation by B. Simmons (kicked ball),,47-29,,
0:22.0,,,47-31,2,K. Anderson makes 2-pt shot from 18 ft
0:08.0,,,47-31,,Personal foul by D. Green (drawn by B. Simmons)
0:00.0,J. Anderson makes 3-pt shot from 26 ft (assist by B. Simmons),3,50-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,50-31,,D. Murray misses 2-pt shot from 1 ft
11:41.0,,,50-31,,Offensive rebound by Team
11:41.0,Personal foul by D. Saric (drawn by L. Aldridge),,50-31,,
11:32.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Green),,50-31,,
11:23.0,,,50-33,2,L. Aldridge makes 2-pt shot from 7 ft (assist by D. Murray)
10:58.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by J. Embiid),2,52-33,,
10:38.0,,,52-33,,Turnover by D. Murray (bad pass; steal by J. Embiid)
10:35.0,Shooting foul by D. Green (drawn by D. Saric),,52-33,,
10:35.0,D. Saric makes free throw 1 of 2,1,53-33,,
10:35.0,D. Saric misses free throw 2 of 2,,53-33,,
10:31.0,,,53-33,,Defensive rebound by P. Gasol
10:20.0,,,53-33,,P. Gasol misses 2-pt shot from 7 ft
10:18.0,Defensive rebound by R. Covington,,53-33,,
10:16.0,Shooting foul by P. Gasol (drawn by J. Embiid),,53-33,,
10:16.0,J. Embiid misses free throw 1 of 2,,53-33,,
10:16.0,Offensive rebound by Team,,53-33,,
10:16.0,J. Embiid makes free throw 2 of 2,1,54-33,,
9:53.0,Personal foul by J. Embiid (drawn by P. Gasol),,54-33,,
9:49.0,,,54-33,,Shooting foul by R. Covington (drawn by P. Gasol)
9:49.0,,,54-34,1,P. Gasol makes free throw 1 of 2
9:49.0,,,54-35,1,P. Gasol makes free throw 2 of 2
9:35.0,J. Embiid makes 2-pt shot from 11 ft,2,56-35,,
9:16.0,,,56-35,,D. Green misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by J. Embiid,,56-35,,
9:08.0,Turnover by B. Simmons (bad pass; steal by D. Green),,56-35,,
9:04.0,,,56-37,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson)
9:04.0,,,56-37,,Shooting foul by R. Covington (drawn by P. Gasol)
9:04.0,,,56-37,,P. Mills enters the game for K. Anderson
9:04.0,J. Anderson enters the game for R. Covington,,56-37,,
9:04.0,,,56-38,1,P. Gasol makes free throw 1 of 1
8:54.0,B. Simmons makes 2-pt shot at rim,2,58-38,,
8:42.0,,,58-38,,Shooting foul by T. Luwawu-Cabarrot (drawn by P. Gasol)
8:42.0,,,58-39,1,P. Gasol makes free throw 1 of 2
8:42.0,,,58-39,,P. Gasol misses free throw 2 of 2
8:39.0,Defensive rebound by J. Embiid,,58-39,,
8:27.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Anderson),3,61-39,,
8:10.0,,,61-39,,Shooting foul by D. Saric (drawn by D. Green)
8:10.0,,,61-40,1,D. Green makes free throw 1 of 2
8:10.0,,,61-40,,D. Bertans enters the game for P. Gasol
8:10.0,,,61-40,,D. Green misses free throw 2 of 2
8:07.0,Defensive rebound by J. Embiid,,61-40,,
7:50.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,61-40,,
7:46.0,Offensive rebound by J. Embiid,,61-40,,
7:44.0,J. Embiid misses 2-pt shot from 19 ft (block by P. Mills),,61-40,,
7:44.0,Offensive rebound by D. Saric,,61-40,,
7:39.0,D. Saric misses 2-pt shot from 6 ft,,61-40,,
7:39.0,,,61-40,,Defensive rebound by D. Murray
7:38.0,Personal foul by B. Simmons (drawn by D. Murray),,61-40,,
7:38.0,,,61-41,1,D. Murray makes free throw 1 of 2
7:38.0,,,61-42,1,D. Murray makes free throw 2 of 2
7:25.0,J. Anderson misses 2-pt shot from 1 ft,,61-42,,
7:25.0,,,61-42,,Defensive rebound by D. Bertans
7:19.0,,,61-42,,P. Mills misses 3-pt shot from 25 ft
7:19.0,,,61-42,,Offensive rebound by D. Murray
7:14.0,,,61-44,2,D. Murray makes 2-pt shot at rim
6:57.0,,,61-44,,Personal foul by D. Murray (drawn by J. Embiid)
6:57.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,61-44,,
6:57.0,,,61-44,,San Antonio full timeout
6:44.0,D. Saric misses 2-pt shot from 19 ft,,61-44,,
6:43.0,Offensive rebound by Team,,61-44,,
6:43.0,Turnover by Team (shot clock),,61-44,,
6:34.0,,,61-44,,P. Mills misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by B. Simmons,,61-44,,
6:22.0,J. Anderson makes 2-pt shot from 1 ft (assist by B. Simmons),2,63-44,,
5:58.0,,,63-46,2,L. Aldridge makes 2-pt shot from 12 ft (assist by P. Mills)
5:47.0,J. Embiid makes 3-pt shot from 24 ft (assist by D. Saric),3,66-46,,
5:35.0,,,66-46,,D. Murray misses 2-pt shot from 2 ft (block by B. Simmons)
5:35.0,Defensive rebound by D. Saric,,66-46,,
5:16.0,,,66-46,,Personal foul by D. Green (drawn by B. Simmons)
5:16.0,A. Johnson enters the game for J. Embiid,,66-46,,
5:16.0,,,66-46,,T. Parker enters the game for D. Murray
5:16.0,,,66-46,,B. Forbes enters the game for D. Green
5:01.0,T. McConnell misses 2-pt shot from 14 ft,,66-46,,
5:01.0,,,66-46,,Defensive rebound by B. Forbes
4:43.0,,,66-46,,L. Aldridge misses 2-pt shot from 9 ft
4:43.0,Defensive rebound by B. Simmons,,66-46,,
4:36.0,Philadelphia full timeout,,66-46,,
4:23.0,D. Saric makes 3-pt shot from 23 ft (assist by T. McConnell),3,69-46,,
4:11.0,Personal foul by A. Johnson (drawn by L. Aldridge),,69-46,,
4:11.0,,,69-47,1,L. Aldridge makes free throw 1 of 2
4:11.0,T. Booker enters the game for D. Saric,,69-47,,
4:11.0,,,69-48,1,L. Aldridge makes free throw 2 of 2
4:02.0,B. Simmons makes 2-pt shot from 1 ft (assist by A. Johnson),2,71-48,,
3:40.0,,,71-50,2,P. Mills makes 2-pt shot at rim (assist by D. Bertans)
3:35.0,Turnover by B. Simmons (bad pass; steal by D. Bertans),,71-50,,
3:30.0,,,71-50,,B. Forbes misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by T. McConnell,,71-50,,
3:09.0,J. Anderson makes 2-pt shot from 19 ft,2,73-50,,
2:46.0,,,73-52,2,D. Bertans makes 2-pt shot from 6 ft (assist by B. Forbes)
2:26.0,B. Simmons makes 2-pt shot from 1 ft,2,75-52,,
2:16.0,Personal foul by J. Anderson (drawn by P. Mills),,75-52,,
2:16.0,,,75-53,1,P. Mills makes free throw 1 of 2
2:16.0,,,75-53,,J. Lauvergne enters the game for L. Aldridge
2:16.0,J. Young enters the game for A. Johnson,,75-53,,
2:16.0,J. Embiid enters the game for B. Simmons,,75-53,,
2:16.0,,,75-53,,P. Mills misses free throw 2 of 2
2:14.0,Defensive rebound by J. Embiid,,75-53,,
2:01.0,J. Embiid makes 2-pt shot from 16 ft,2,77-53,,
1:35.0,,,77-55,2,B. Forbes makes 2-pt shot from 2 ft
1:17.0,T. McConnell makes 3-pt shot from 23 ft (assist by J. Embiid),3,80-55,,
1:05.0,,,80-58,3,B. Forbes makes 3-pt shot from 25 ft (assist by D. Bertans)
0:44.0,Shooting foul by P. Mills (drawn by T. Booker),,80-58,,
0:44.0,T. Booker makes free throw 1 of 2,1,81-58,,
0:44.0,T. Booker misses free throw 2 of 2,,81-58,,
0:41.0,,,81-58,,Defensive rebound by P. Mills
0:38.0,,,81-61,3,B. Forbes makes 3-pt shot from 24 ft (assist by P. Mills)
0:16.0,J. Embiid misses 2-pt shot from 11 ft,,81-61,,
0:13.0,,,81-61,,Defensive rebound by J. Lauvergne
0:00.0,,,81-61,,D. Bertans misses 3-pt shot from 24 ft
0:00.0,,,81-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by D. Bertans (drawn by J. Embiid),,81-61,,
11:46.0,J. Embiid makes free throw 1 of 2,1,82-61,,
11:46.0,J. Embiid misses free throw 2 of 2,,82-61,,
11:44.0,,,82-61,,Defensive rebound by D. Murray
11:27.0,,,82-61,,B. Forbes misses 3-pt shot from 25 ft
11:23.0,,,82-61,,Offensive rebound by D. Bertans
11:17.0,,,82-61,,D. Murray misses 2-pt shot from 1 ft (block by T. Booker)
11:13.0,Defensive rebound by T. Booker,,82-61,,
11:00.0,Shooting foul by D. Bertans (drawn by J. Embiid),,82-61,,
11:00.0,J. Embiid makes free throw 1 of 2,1,83-61,,
11:00.0,J. Embiid makes free throw 2 of 2,1,84-61,,
10:41.0,,,84-63,2,J. Lauvergne makes 2-pt shot at rim (assist by D. Murray)
10:18.0,J. Embiid misses 2-pt shot at rim (block by D. Murray),,84-63,,
10:15.0,,,84-63,,Defensive rebound by D. Murray
10:11.0,,,84-66,3,D. Bertans makes 3-pt shot from 25 ft (assist by B. Forbes)
10:09.0,Philadelphia full timeout,,84-66,,
10:09.0,,,84-66,,K. Anderson enters the game for T. Parker
10:09.0,,,84-66,,L. Aldridge enters the game for D. Bertans
10:09.0,R. Covington enters the game for J. Anderson,,84-66,,
10:03.0,,,84-66,,Personal foul by B. Forbes (drawn by T. Luwawu-Cabarrot)
9:43.0,T. McConnell misses 2-pt shot from 11 ft,,84-66,,
9:39.0,Offensive rebound by J. Embiid,,84-66,,
9:34.0,R. Covington misses 3-pt shot from 24 ft,,84-66,,
9:31.0,Offensive rebound by T. McConnell,,84-66,,
9:16.0,Shooting foul by L. Aldridge (drawn by T. Booker),,84-66,,
9:16.0,T. Booker makes free throw 1 of 2,1,85-66,,
9:16.0,B. Simmons enters the game for T. McConnell,,85-66,,
9:16.0,T. Booker makes free throw 2 of 2,1,86-66,,
8:53.0,,,86-66,,L. Aldridge misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by T. Booker,,86-66,,
8:45.0,Turnover by R. Covington (bad pass),,86-66,,
8:34.0,,,86-66,,Shooting foul by J. Embiid (drawn by L. Aldridge)
8:34.0,,,86-67,1,L. Aldridge makes free throw 1 of 2
8:34.0,,,86-68,1,L. Aldridge makes free throw 2 of 2
8:27.0,Turnover by R. Covington (turnover),,86-68,,
8:27.0,A. Johnson enters the game for J. Embiid,,86-68,,
8:21.0,Personal foul by T. Luwawu-Cabarrot (drawn by L. Aldridge),,86-68,,
8:21.0,,,86-68,,P. Mills enters the game for B. Forbes
8:21.0,D. Saric enters the game for T. Booker,,86-68,,
8:17.0,,,86-70,2,D. Murray makes 2-pt shot at rim (assist by J. Lauvergne)
8:03.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by A. Johnson),2,88-70,,
7:45.0,,,88-72,2,L. Aldridge makes 2-pt shot from 13 ft
7:27.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,88-72,,
7:24.0,,,88-72,,Defensive rebound by J. Lauvergne
7:09.0,,,88-72,,Turnover by J. Lauvergne (turnover)
6:46.0,D. Saric misses 2-pt shot from 15 ft,,88-72,,
6:45.0,Offensive rebound by D. Saric,,88-72,,
6:40.0,Turnover by R. Covington (lost ball; steal by D. Murray),,88-72,,
6:34.0,,,88-72,,P. Mills misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by Team,,88-72,,
6:22.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,90-72,,
6:16.0,,,90-72,,San Antonio full timeout
6:05.0,,,90-72,,D. Murray misses 2-pt shot from 19 ft
6:03.0,Defensive rebound by D. Saric,,90-72,,
5:41.0,A. Johnson makes 2-pt shot at rim (assist by D. Saric),2,92-72,,
5:21.0,,,92-72,,L. Aldridge misses 2-pt shot from 13 ft
5:18.0,Defensive rebound by D. Saric,,92-72,,
4:58.0,Turnover by D. Saric (lost ball; steal by K. Anderson),,92-72,,
4:53.0,,,92-72,,Offensive foul by L. Aldridge (drawn by A. Johnson)
4:53.0,,,92-72,,Turnover by L. Aldridge (offensive foul)
4:53.0,J. Embiid enters the game for A. Johnson,,92-72,,
4:44.0,,,92-72,,Personal foul by D. Murray (drawn by B. Simmons)
4:44.0,B. Simmons misses free throw 1 of 2,,92-72,,
4:44.0,Offensive rebound by Team,,92-72,,
4:44.0,,,92-72,,D. Bertans enters the game for L. Aldridge
4:44.0,B. Simmons makes free throw 2 of 2,1,93-72,,
4:26.0,,,93-72,,J. Lauvergne misses 2-pt shot from 9 ft
4:23.0,Defensive rebound by J. Embiid,,93-72,,
4:05.0,B. Simmons makes 2-pt shot from 3 ft,2,95-72,,
4:03.0,,,95-72,,San Antonio full timeout
4:03.0,,,95-72,,D. Hilliard enters the game for K. Anderson
4:03.0,,,95-72,,B. Paul enters the game for P. Mills
4:03.0,A. Johnson enters the game for J. Embiid,,95-72,,
3:45.0,,,95-74,2,J. Lauvergne makes 2-pt shot from 8 ft
3:21.0,Turnover by B. Simmons (bad pass; steal by D. Bertans),,95-74,,
3:09.0,,,95-74,,D. Bertans misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by B. Simmons,,95-74,,
2:44.0,B. Simmons makes 2-pt shot at rim,2,97-74,,
2:43.0,,,97-74,,San Antonio full timeout
2:43.0,,,97-74,,B. Forbes enters the game for D. Murray
2:43.0,R. Holmes enters the game for T. Luwawu-Cabarrot,,97-74,,
2:43.0,J. Young enters the game for D. Saric,,97-74,,
2:43.0,T. McConnell enters the game for B. Simmons,,97-74,,
2:43.0,L. Drew enters the game for R. Covington,,97-74,,
2:43.0,J. Anderson enters the game for A. Johnson,,97-74,,
2:29.0,,,97-74,,B. Paul misses 3-pt shot from 24 ft
2:24.0,,,97-74,,Offensive rebound by J. Lauvergne
2:24.0,,,97-76,2,J. Lauvergne makes 2-pt shot at rim
2:08.0,R. Holmes misses 2-pt shot from 16 ft,,97-76,,
2:04.0,Offensive rebound by L. Drew,,97-76,,
1:46.0,L. Drew misses 2-pt shot from 19 ft,,97-76,,
1:43.0,,,97-76,,Defensive rebound by B. Forbes
1:37.0,Personal foul by L. Drew (drawn by J. Lauvergne),,97-76,,
1:22.0,,,97-76,,D. Hilliard misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by Team,,97-76,,
1:00.0,Turnover by L. Drew (bad pass; steal by D. Bertans),,97-76,,
0:57.0,,,97-78,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Bertans)
0:36.0,R. Holmes misses 2-pt shot from 13 ft,,97-78,,
0:34.0,Offensive rebound by R. Holmes,,97-78,,
0:14.0,T. McConnell misses 2-pt shot from 11 ft,,97-78,,
0:10.0,,,97-78,,Defensive rebound by B. Paul
0:07.0,,,97-78,,Turnover by B. Paul (step out of bounds)
