time,Golden State,pts.away,score,pts.home,Chicago
3:10.0,,,54-61,,D. Valentine misses 2-pt shot from 1 ft (block by N. Young)
3:10.0,Defensive rebound by K. Looney,,54-61,,
3:03.0,N. Young misses 3-pt shot from 26 ft,,54-61,,
2:55.0,,,54-61,,Defensive rebound by L. Markkanen
2:53.0,,,54-61,,K. Dunn misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by K. Durant,,54-61,,
2:47.0,K. Durant misses 3-pt shot from 25 ft,,54-61,,
2:40.0,,,54-61,,Defensive rebound by K. Dunn
2:37.0,,,54-61,,D. Valentine misses 3-pt shot from 24 ft
2:33.0,,,54-61,,Offensive rebound by J. Holiday
2:32.0,,,54-61,,K. Dunn misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by K. Durant,,54-61,,
2:25.0,S. Curry makes 2-pt shot from 1 ft,2,56-61,,
2:17.0,,,56-61,,L. Markkanen misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by K. Thompson,,56-61,,
2:11.0,K. Thompson misses 3-pt shot from 26 ft,,56-61,,
2:06.0,,,56-61,,Defensive rebound by L. Markkanen
1:57.0,,,56-63,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
1:57.0,Golden State full timeout,,56-63,,
1:57.0,,,56-63,,Z. LaVine enters the game for K. Dunn
1:57.0,Z. Pachulia enters the game for N. Young,,56-63,,
1:45.0,K. Durant makes 2-pt shot from 16 ft,2,58-63,,
1:22.0,,,58-63,,J. Holiday misses 2-pt shot from 7 ft
1:22.0,,,58-63,,Offensive rebound by Team
1:13.0,,,58-63,,J. Holiday misses 2-pt shot from 13 ft
1:10.0,Defensive rebound by S. Curry,,58-63,,
1:03.0,Turnover by K. Thompson (lost ball; steal by Z. LaVine),,58-63,,
0:57.0,,,58-66,3,D. Valentine makes 3-pt shot from 23 ft (assist by Z. LaVine)
0:45.0,K. Durant makes 2-pt shot from 14 ft,2,60-66,,
0:34.0,,,60-66,,Z. LaVine misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by Z. Pachulia,,60-66,,
0:27.0,K. Thompson makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,63-66,,
0:04.0,,,63-66,,L. Markkanen misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by S. Curry,,63-66,,
0:00.0,S. Curry misses 3-pt shot from 50 ft,,63-66,,
0:00.0,Offensive rebound by Team,,63-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,S. Curry misses 3-pt shot from 24 ft,,63-66,,
11:45.0,,,63-66,,Defensive rebound by L. Markkanen
11:29.0,,,63-66,,Turnover by R. Lopez (turnover)
11:17.0,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,66-66,,
11:01.0,,,66-68,2,R. Lopez makes 2-pt shot from 5 ft
10:45.0,K. Looney misses 2-pt shot from 3 ft,,66-68,,
10:43.0,,,66-68,,Defensive rebound by Z. LaVine
10:31.0,,,66-70,2,L. Markkanen makes 2-pt shot from 6 ft
10:22.0,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,69-70,,
10:07.0,,,69-70,,Z. LaVine misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by Z. Pachulia,,69-70,,
9:59.0,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,72-70,,
9:40.0,,,72-72,2,R. Lopez makes 2-pt shot from 19 ft (assist by K. Dunn)
9:23.0,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,75-72,,
9:03.0,,,75-72,,R. Lopez misses 2-pt shot from 10 ft
8:59.0,,,75-72,,Offensive rebound by J. Holiday
8:59.0,,,75-72,,J. Holiday misses 2-pt shot at rim
8:59.0,Defensive rebound by Z. Pachulia,,75-72,,
8:49.0,S. Curry misses 3-pt shot from 23 ft,,75-72,,
8:45.0,,,75-72,,Defensive rebound by J. Holiday
8:36.0,,,75-72,,K. Dunn misses 2-pt shot from 22 ft
8:34.0,Defensive rebound by K. Durant,,75-72,,
8:26.0,K. Thompson misses 2-pt shot from 20 ft,,75-72,,
8:22.0,,,75-72,,Defensive rebound by R. Lopez
8:14.0,,,75-72,,K. Dunn misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by Z. Pachulia,,75-72,,
8:02.0,S. Curry makes 2-pt shot from 20 ft,2,77-72,,
8:02.0,,,77-72,,Chicago full timeout
7:46.0,,,77-72,,L. Markkanen misses 2-pt shot from 14 ft (block by K. Thompson)
7:43.0,Defensive rebound by K. Thompson,,77-72,,
7:39.0,K. Durant makes 2-pt shot from 20 ft,2,79-72,,
7:20.0,,,79-72,,R. Lopez misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by K. Durant,,79-72,,
7:12.0,,,79-72,,Personal foul by K. Dunn (drawn by S. Curry)
7:06.0,S. Curry misses 2-pt shot from 4 ft,,79-72,,
7:04.0,,,79-72,,Defensive rebound by J. Holiday
6:56.0,,,79-72,,J. Holiday misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by Z. Pachulia,,79-72,,
6:46.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,82-72,,
6:23.0,,,82-72,,Z. LaVine misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by Z. Pachulia,,82-72,,
6:06.0,K. Durant misses 2-pt shot from 16 ft,,82-72,,
6:04.0,,,82-72,,Defensive rebound by L. Markkanen
5:52.0,,,82-72,,K. Dunn misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by K. Looney,,82-72,,
5:47.0,K. Thompson misses 3-pt shot from 25 ft,,82-72,,
5:42.0,,,82-72,,Defensive rebound by L. Markkanen
5:39.0,,,82-72,,K. Dunn misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by K. Thompson,,82-72,,
5:18.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,85-72,,
5:15.0,,,85-72,,Chicago full timeout
5:15.0,,,85-72,,J. Grant enters the game for Z. LaVine
5:15.0,,,85-72,,D. Nwaba enters the game for K. Dunn
5:06.0,,,85-72,,Turnover by D. Nwaba (bad pass; steal by S. Curry)
5:03.0,Turnover by S. Curry (bad pass),,85-72,,
4:53.0,,,85-72,,J. Grant misses 2-pt shot from 14 ft
4:49.0,,,85-72,,Offensive rebound by R. Lopez
4:42.0,Personal foul by S. Curry (drawn by L. Markkanen),,85-72,,
4:34.0,,,85-72,,J. Grant misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by K. Durant,,85-72,,
4:18.0,Shooting foul by D. Nwaba (drawn by K. Thompson),,85-72,,
4:18.0,K. Thompson makes free throw 1 of 3,1,86-72,,
4:18.0,K. Thompson makes free throw 2 of 3,1,87-72,,
4:18.0,,,87-72,,N. Mirotic enters the game for R. Lopez
4:18.0,P. McCaw enters the game for K. Looney,,87-72,,
4:18.0,O. Casspi enters the game for Z. Pachulia,,87-72,,
4:18.0,K. Thompson misses free throw 3 of 3,,87-72,,
4:15.0,,,87-72,,Defensive rebound by L. Markkanen
4:05.0,,,87-72,,J. Holiday misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by K. Durant,,87-72,,
3:52.0,S. Curry misses 3-pt shot from 24 ft,,87-72,,
3:47.0,Offensive rebound by O. Casspi,,87-72,,
3:43.0,P. McCaw misses 2-pt shot from 1 ft,,87-72,,
3:43.0,Offensive rebound by Team,,87-72,,
3:42.0,N. Young enters the game for K. Thompson,,87-72,,
3:32.0,Shooting foul by L. Markkanen (drawn by K. Durant),,87-72,,
3:32.0,K. Durant makes free throw 1 of 2,1,88-72,,
3:32.0,,,88-72,,B. Portis enters the game for L. Markkanen
3:32.0,K. Durant makes free throw 2 of 2,1,89-72,,
3:12.0,,,89-72,,Turnover by B. Portis (lost ball; steal by K. Durant)
3:12.0,,,89-72,,Personal foul by B. Portis (drawn by K. Durant)
3:12.0,,,89-72,,D. Valentine enters the game for J. Holiday
2:59.0,,,89-72,,Personal foul by D. Nwaba (drawn by K. Durant)
2:59.0,K. Durant makes free throw 1 of 2,1,90-72,,
2:59.0,K. Durant makes free throw 2 of 2,1,91-72,,
2:47.0,,,91-74,2,J. Grant makes 2-pt shot from 2 ft
2:27.0,P. McCaw makes 2-pt shot from 1 ft (assist by K. Durant),2,93-74,,
2:16.0,,,93-74,,D. Valentine misses 2-pt shot from 22 ft
2:13.0,Defensive rebound by S. Curry,,93-74,,
2:08.0,K. Durant misses 3-pt shot from 24 ft,,93-74,,
2:03.0,,,93-74,,Defensive rebound by N. Mirotic
1:47.0,,,93-76,2,B. Portis makes 2-pt shot from 6 ft (assist by D. Valentine)
1:33.0,Turnover by P. McCaw (bad pass),,93-76,,
1:18.0,,,93-78,2,B. Portis makes 2-pt shot from 18 ft
1:01.0,O. Casspi misses 2-pt shot from 8 ft,,93-78,,
0:59.0,,,93-78,,Defensive rebound by D. Valentine
0:55.0,,,93-78,,N. Mirotic misses 3-pt shot from 27 ft
0:50.0,Defensive rebound by N. Young,,93-78,,
0:35.0,N. Young makes 2-pt shot from 1 ft (assist by P. McCaw),2,95-78,,
0:30.0,,,95-78,,J. Grant misses 2-pt shot from 17 ft
0:27.0,Defensive rebound by K. Durant,,95-78,,
0:07.0,K. Durant misses 3-pt shot from 27 ft,,95-78,,
0:03.0,,,95-78,,Defensive rebound by D. Nwaba
0:00.0,,,95-78,,N. Mirotic misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by S. Curry,,95-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,95-81,3,N. Mirotic makes 3-pt shot from 25 ft (assist by B. Portis)
11:27.0,K. Thompson makes 2-pt shot from 16 ft,2,97-81,,
11:12.0,,,97-81,,Turnover by N. Mirotic (bad pass)
11:00.0,Turnover by S. Livingston (bad pass),,97-81,,
11:00.0,Personal foul by D. West (drawn by N. Mirotic),,97-81,,
10:50.0,,,97-83,2,N. Mirotic makes 2-pt shot from 12 ft (assist by B. Portis)
10:29.0,Turnover by K. Thompson (bad pass; steal by B. Portis),,97-83,,
10:24.0,,,97-85,2,B. Portis makes 2-pt shot from 1 ft
10:08.0,D. West misses 2-pt shot from 6 ft,,97-85,,
10:04.0,,,97-85,,Defensive rebound by N. Mirotic
9:59.0,,,97-88,3,N. Mirotic makes 3-pt shot from 25 ft
9:32.0,S. Livingston misses 2-pt shot from 12 ft,,97-88,,
9:30.0,,,97-88,,Defensive rebound by N. Mirotic
9:23.0,,,97-88,,Turnover by N. Mirotic (bad pass; steal by N. Young)
9:18.0,K. Thompson misses 3-pt shot from 24 ft,,97-88,,
9:16.0,Offensive rebound by O. Casspi,,97-88,,
9:16.0,Shooting foul by D. Valentine (drawn by O. Casspi),,97-88,,
9:16.0,O. Casspi makes free throw 1 of 2,1,98-88,,
9:16.0,K. Looney enters the game for N. Young,,98-88,,
9:16.0,O. Casspi makes free throw 2 of 2,1,99-88,,
8:58.0,,,99-88,,D. Nwaba misses 2-pt shot from 5 ft
8:55.0,,,99-88,,Offensive rebound by B. Portis
8:55.0,,,99-88,,B. Portis misses 2-pt shot at rim
8:55.0,,,99-88,,Offensive rebound by Team
8:50.0,,,99-88,,B. Portis misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by K. Looney,,99-88,,
8:39.0,Shooting foul by B. Portis (drawn by D. West),,99-88,,
8:39.0,D. West makes free throw 1 of 2,1,100-88,,
8:39.0,D. West makes free throw 2 of 2,1,101-88,,
8:32.0,,,101-88,,D. Valentine misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by O. Casspi,,101-88,,
8:17.0,K. Thompson makes 2-pt shot from 21 ft,2,103-88,,
8:00.0,,,103-90,2,B. Portis makes 2-pt shot from 2 ft (assist by D. Valentine)
7:40.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. West),3,106-90,,
7:32.0,,,106-90,,Shooting foul by O. Casspi (drawn by D. Valentine)
7:32.0,,,106-91,1,D. Valentine makes free throw 1 of 2
7:32.0,Golden State full timeout,,106-91,,
7:32.0,,,106-92,1,D. Valentine makes free throw 2 of 2
7:18.0,K. Thompson misses 3-pt shot from 24 ft,,106-92,,
7:15.0,,,106-92,,Defensive rebound by Team
7:05.0,,,106-94,2,K. Dunn makes 2-pt shot from 10 ft
6:45.0,K. Thompson misses 3-pt shot from 24 ft,,106-94,,
6:41.0,,,106-94,,Defensive rebound by D. Valentine
6:36.0,,,106-97,3,K. Dunn makes 3-pt shot from 25 ft (assist by D. Valentine)
6:13.0,D. West makes 2-pt shot from 19 ft (assist by K. Thompson),2,108-97,,
5:59.0,,,108-99,2,B. Portis makes 2-pt shot at rim (assist by N. Mirotic)
5:47.0,S. Livingston makes 2-pt shot from 12 ft,2,110-99,,
5:32.0,,,110-99,,Turnover by D. Valentine (out of bounds lost ball)
5:32.0,,,110-99,,J. Holiday enters the game for B. Portis
5:32.0,,,110-99,,L. Markkanen enters the game for D. Valentine
5:32.0,S. Curry enters the game for K. Thompson,,110-99,,
5:32.0,P. McCaw enters the game for O. Casspi,,110-99,,
5:32.0,K. Durant enters the game for K. Looney,,110-99,,
5:16.0,P. McCaw makes 2-pt shot from 18 ft (assist by S. Livingston),2,112-99,,
4:59.0,,,112-101,2,K. Dunn makes 2-pt shot from 12 ft
4:41.0,S. Curry misses 2-pt shot from 2 ft,,112-101,,
4:41.0,,,112-101,,Defensive rebound by K. Dunn
4:41.0,Personal foul by S. Livingston (drawn by K. Dunn),,112-101,,
4:41.0,N. Young enters the game for S. Livingston,,112-101,,
4:33.0,,,112-101,,Turnover by K. Dunn (bad pass)
