time,Sacramento,pts.away,score,pts.home,New York
3:54.0,B. Hield misses 2-pt shot from 1 ft (block by D. McDermott),,83-107,,
3:51.0,,,83-107,,Defensive rebound by M. Beasley
3:47.0,,,83-109,2,M. Beasley makes 2-pt shot from 2 ft
3:28.0,Shooting foul by W. Hernangomez (drawn by S. Labissiere),,83-109,,
3:28.0,S. Labissiere makes free throw 1 of 2,1,84-109,,
3:28.0,S. Labissiere makes free throw 2 of 2,1,85-109,,
3:07.0,,,85-111,2,M. Beasley makes 2-pt shot from 7 ft
3:00.0,,,85-111,,Personal foul by W. Hernangomez (drawn by F. Mason)
3:00.0,F. Mason makes free throw 1 of 2,1,86-111,,
3:00.0,F. Mason makes free throw 2 of 2,1,87-111,,
2:45.0,,,87-111,,Turnover by M. Beasley (bad pass; steal by F. Mason)
2:40.0,Turnover by F. Mason (lost ball; steal by F. Ntilikina),,87-111,,
2:36.0,,,87-113,2,D. Dotson makes 2-pt shot from 22 ft (assist by W. Hernangomez)
2:17.0,D. Fox misses 2-pt shot from 11 ft,,87-113,,
2:16.0,Offensive rebound by S. Labissiere,,87-113,,
2:16.0,S. Labissiere makes 2-pt shot at rim,2,89-113,,
2:00.0,,,89-113,,Offensive charge foul by W. Hernangomez (drawn by S. Labissiere)
2:00.0,,,89-113,,Turnover by W. Hernangomez (offensive foul)
2:00.0,Sacramento full timeout,,89-113,,
1:49.0,J. Jackson misses 3-pt shot from 25 ft,,89-113,,
1:49.0,,,89-113,,Defensive rebound by D. Dotson
1:31.0,Personal foul by D. Fox (drawn by M. Beasley),,89-113,,
1:21.0,,,89-116,3,D. Dotson makes 3-pt shot from 25 ft (assist by F. Ntilikina)
1:11.0,Shooting foul by D. Dotson (drawn by S. Labissiere),,89-116,,
1:11.0,S. Labissiere makes free throw 1 of 2,1,90-116,,
1:11.0,S. Labissiere makes free throw 2 of 2,1,91-116,,
0:58.0,,,91-116,,W. Hernangomez misses 2-pt shot from 5 ft
0:56.0,Defensive rebound by S. Labissiere,,91-116,,
0:53.0,Turnover by J. Jackson (step out of bounds),,91-116,,
0:36.0,,,91-116,,D. Dotson misses 3-pt shot from 29 ft
0:33.0,Defensive rebound by B. Hield,,91-116,,
0:22.0,F. Mason misses 2-pt shot from 2 ft,,91-116,,
0:20.0,Offensive rebound by S. Labissiere,,91-116,,
0:18.0,Turnover by S. Labissiere (lost ball; steal by F. Ntilikina),,91-116,,
0:15.0,,,91-118,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by F. Ntilikina)
