time,Toronto,pts.away,score,pts.home,Charlotte
6:33.0,F. VanVleet makes 2-pt shot from 1 ft,2,47-36,,
6:28.0,,,47-36,,Turnover by M. Carter-Williams (bad pass; steal by F. VanVleet)
6:28.0,F. VanVleet makes 2-pt shot from 1 ft,2,49-36,,
6:28.0,,,49-36,,Charlotte full timeout
6:28.0,,,49-36,,D. Howard enters the game for M. Carter-Williams
6:28.0,,,49-36,,N. Batum enters the game for C. Zeller
6:28.0,,,49-36,,M. Williams enters the game for F. Kaminsky
6:28.0,K. Lowry enters the game for C. Miles,,49-36,,
6:08.0,,,49-38,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
6:00.0,F. VanVleet misses 2-pt shot from 2 ft (block by J. Lamb),,49-38,,
5:59.0,,,49-38,,Defensive rebound by Team
5:46.0,,,49-38,,K. Walker misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by D. Wright,,49-38,,
5:27.0,,,49-38,,M. Kidd-Gilchrist enters the game for J. Lamb
5:27.0,J. Valanciunas enters the game for F. VanVleet,,49-38,,
5:27.0,D. DeRozan enters the game for J. Poeltl,,49-38,,
5:27.0,S. Ibaka enters the game for P. Siakam,,49-38,,
5:23.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by K. Lowry),2,51-38,,
5:07.0,Def 3 sec tech foul by J. Valanciunas,,51-38,,
5:07.0,,,51-38,,N. Batum misses technical free throw
5:07.0,,,51-38,,Offensive rebound by Team
5:04.0,,,51-38,,Shooting foul by D. Wright (drawn by K. Walker)
5:04.0,,,51-39,1,K. Walker makes free throw 1 of 3
5:04.0,,,51-40,1,K. Walker makes free throw 2 of 3
5:04.0,,,51-41,1,K. Walker makes free throw 3 of 3
4:50.0,Turnover by D. DeRozan (bad pass; steal by M. Kidd-Gilchrist),,51-41,,
4:31.0,,,51-43,2,M. Williams makes 2-pt shot from 1 ft (assist by D. Howard)
4:17.0,S. Ibaka misses 3-pt shot from 24 ft,,51-43,,
4:13.0,,,51-43,,Defensive rebound by D. Howard
4:06.0,,,51-43,,M. Williams misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by J. Valanciunas,,51-43,,
3:53.0,D. Wright misses 2-pt shot from 1 ft,,51-43,,
3:49.0,Offensive rebound by J. Valanciunas,,51-43,,
3:49.0,J. Valanciunas makes 2-pt shot at rim,2,53-43,,
3:35.0,,,53-43,,D. Howard misses 2-pt shot from 5 ft
3:32.0,Defensive rebound by S. Ibaka,,53-43,,
3:31.0,Offensive charge foul by D. Wright (drawn by K. Walker),,53-43,,
3:31.0,Turnover by D. Wright (offensive foul),,53-43,,
3:31.0,O. Anunoby enters the game for D. Wright,,53-43,,
3:18.0,,,53-43,,N. Batum misses 2-pt shot from 17 ft
3:15.0,Defensive rebound by S. Ibaka,,53-43,,
3:05.0,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry),3,56-43,,
2:43.0,,,56-45,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by D. Howard)
2:26.0,Turnover by S. Ibaka (lost ball; steal by N. Batum),,56-45,,
2:26.0,Personal foul by D. DeRozan (drawn by N. Batum),,56-45,,
2:26.0,,,56-46,1,N. Batum makes free throw 1 of 2
2:26.0,,,56-47,1,N. Batum makes free throw 2 of 2
2:13.0,K. Lowry misses 3-pt shot from 25 ft,,56-47,,
2:07.0,,,56-47,,Defensive rebound by M. Kidd-Gilchrist
2:04.0,,,56-47,,N. Batum misses 3-pt shot from 25 ft
1:58.0,,,56-47,,Offensive rebound by M. Williams
1:58.0,,,56-47,,M. Williams misses 2-pt shot at rim
1:58.0,,,56-47,,Offensive rebound by N. Batum
1:53.0,,,56-47,,K. Walker misses 2-pt shot from 21 ft
1:51.0,Defensive rebound by D. DeRozan,,56-47,,
1:47.0,Shooting foul by M. Williams (drawn by D. DeRozan),,56-47,,
1:47.0,D. DeRozan makes free throw 1 of 2,1,57-47,,
1:47.0,D. DeRozan makes free throw 2 of 2,1,58-47,,
1:26.0,,,58-49,2,K. Walker makes 2-pt shot from 11 ft (assist by N. Batum)
1:11.0,D. DeRozan misses 2-pt shot from 8 ft,,58-49,,
1:08.0,,,58-49,,Defensive rebound by M. Kidd-Gilchrist
1:05.0,,,58-49,,Shooting foul by O. Anunoby (drawn by M. Kidd-Gilchrist)
1:05.0,,,58-49,,M. Kidd-Gilchrist misses free throw 1 of 2
1:05.0,,,58-49,,Offensive rebound by Team
1:05.0,C. Miles enters the game for O. Anunoby,,58-49,,
1:05.0,,,58-50,1,M. Kidd-Gilchrist makes free throw 2 of 2
0:53.0,K. Lowry misses 3-pt shot from 26 ft (block by M. Williams),,58-50,,
0:51.0,Offensive rebound by S. Ibaka,,58-50,,
0:51.0,S. Ibaka makes 2-pt shot from 6 ft,2,60-50,,
0:42.0,,,60-52,2,K. Walker makes 2-pt shot from 15 ft
0:31.0,D. DeRozan misses 2-pt shot from 17 ft,,60-52,,
0:27.0,Offensive rebound by S. Ibaka,,60-52,,
0:27.0,S. Ibaka makes 2-pt shot from 11 ft,2,62-52,,
0:06.0,,,62-55,3,K. Walker makes 3-pt shot from 25 ft (assist by D. Howard)
0:00.0,D. DeRozan misses 3-pt shot from 30 ft,,62-55,,
