time,Cleveland,pts.away,score,pts.home,Portland
6:09.0,,,17-15,,J. Nurkic misses 2-pt shot from 2 ft
6:05.0,,,17-15,,Offensive rebound by A. Aminu
5:56.0,,,17-15,,Shooting foul by R. Hood (drawn by M. Harkless)
5:56.0,,,17-16,1,M. Harkless makes free throw 1 of 2
5:56.0,J. Smith enters the game for R. Hood,,17-16,,
5:56.0,,,17-17,1,M. Harkless makes free throw 2 of 2
5:43.0,G. Hill misses 3-pt shot from 26 ft,,17-17,,
5:41.0,,,17-17,,Defensive rebound by J. Nurkic
5:35.0,,,17-17,,Turnover by D. Lillard (lost ball; steal by G. Hill)
5:35.0,Turnover by G. Hill (step out of bounds),,17-17,,
5:29.0,,,17-17,,C. McCollum misses 3-pt shot from 25 ft
5:25.0,,,17-17,,Offensive rebound by A. Aminu
5:23.0,,,17-19,2,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu)
5:06.0,J. Green misses 2-pt shot from 2 ft (block by J. Nurkic),,17-19,,
5:03.0,,,17-19,,Defensive rebound by M. Harkless
5:01.0,,,17-21,2,C. McCollum makes 2-pt shot from 2 ft (assist by M. Harkless)
4:44.0,J. Smith makes 3-pt shot from 23 ft (assist by G. Hill),3,20-21,,
4:30.0,,,20-21,,M. Harkless misses 2-pt shot from 1 ft (block by L. James)
4:28.0,Defensive rebound by J. Green,,20-21,,
4:18.0,,,20-21,,Def 3 sec tech foul by J. Nurkic
4:18.0,K. Korver makes technical free throw,1,21-21,,
4:18.0,,,21-21,,E. Davis enters the game for C. McCollum
4:18.0,,,21-21,,E. Turner enters the game for M. Harkless
4:18.0,,,21-21,,P. Connaughton enters the game for J. Nurkic
4:07.0,L. James misses 2-pt shot from 20 ft,,21-21,,
4:03.0,,,21-21,,Defensive rebound by E. Davis
3:55.0,,,21-21,,D. Lillard misses 2-pt shot from 1 ft (block by L. James)
3:55.0,,,21-21,,Offensive rebound by Team
3:49.0,,,21-21,,D. Lillard misses 3-pt shot from 28 ft
3:46.0,Defensive rebound by J. Smith,,21-21,,
3:35.0,K. Korver misses 2-pt shot from 1 ft,,21-21,,
3:32.0,,,21-21,,Defensive rebound by E. Davis
3:27.0,Personal foul by G. Hill (drawn by E. Turner),,21-21,,
3:27.0,J. Clarkson enters the game for G. Hill,,21-21,,
3:18.0,,,21-21,,A. Aminu misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by Team,,21-21,,
3:16.0,,,21-21,,Loose ball foul by E. Davis (drawn by K. Korver)
3:05.0,L. James misses 2-pt shot from 2 ft (block by A. Aminu),,21-21,,
3:05.0,Offensive rebound by Team,,21-21,,
3:03.0,K. Korver makes 2-pt shot from 14 ft (assist by L. James),2,23-21,,
2:44.0,,,23-21,,P. Connaughton misses 2-pt shot from 7 ft
2:37.0,,,23-21,,Offensive rebound by A. Aminu
2:32.0,,,23-24,3,E. Turner makes 3-pt shot from 24 ft (assist by D. Lillard)
2:13.0,J. Green misses 3-pt shot from 22 ft,,23-24,,
2:11.0,,,23-24,,Defensive rebound by E. Turner
2:05.0,,,23-24,,E. Turner misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by L. James,,23-24,,
2:04.0,,,23-24,,Personal foul by E. Turner (drawn by J. Green)
2:04.0,Cleveland full timeout,,23-24,,
2:04.0,A. Zizic enters the game for J. Green,,23-24,,
1:52.0,Turnover by L. James (bad pass),,23-24,,
1:38.0,,,23-26,2,D. Lillard makes 2-pt shot from 14 ft
1:25.0,J. Clarkson makes 2-pt shot from 13 ft,2,25-26,,
1:09.0,,,25-26,,D. Lillard misses 3-pt shot from 27 ft
1:07.0,Defensive rebound by L. James,,25-26,,
1:00.0,L. James makes 2-pt shot at rim,2,27-26,,
0:45.0,,,27-26,,A. Aminu misses 2-pt shot from 4 ft (block by K. Korver)
0:43.0,Defensive rebound by K. Korver,,27-26,,
0:32.0,J. Clarkson makes 2-pt shot from 14 ft,2,29-26,,
0:16.0,,,29-26,,D. Lillard misses 3-pt shot from 25 ft
0:14.0,,,29-26,,Offensive rebound by E. Davis
0:00.0,,,29-29,3,A. Aminu makes 3-pt shot from 24 ft (assist by E. Turner)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,A. Zizic misses 2-pt shot from 3 ft,,29-29,,
11:42.0,,,29-29,,Defensive rebound by E. Davis
11:30.0,,,29-31,2,E. Turner makes 2-pt shot from 7 ft
11:14.0,R. Hood makes 2-pt shot from 12 ft,2,31-31,,
10:45.0,,,31-31,,E. Davis misses 2-pt shot from 2 ft (block by A. Zizic)
10:43.0,Defensive rebound by Team,,31-31,,
10:31.0,R. Hood misses 2-pt shot from 16 ft,,31-31,,
10:29.0,,,31-31,,Defensive rebound by S. Napier
10:21.0,,,31-31,,S. Napier misses 2-pt shot from 1 ft (block by A. Zizic)
10:18.0,Defensive rebound by R. Hood,,31-31,,
10:11.0,J. Holland makes 3-pt shot from 22 ft (assist by J. Clarkson),3,34-31,,
9:54.0,,,34-33,2,C. McCollum makes 2-pt shot from 16 ft
9:40.0,J. Clarkson misses 2-pt shot from 15 ft,,34-33,,
9:38.0,,,34-33,,Defensive rebound by Z. Collins
9:30.0,,,34-35,2,C. McCollum makes 2-pt shot from 15 ft
9:00.0,J. Clarkson makes 2-pt shot from 3 ft,2,36-35,,
8:44.0,,,36-37,2,E. Turner makes 2-pt shot from 6 ft
8:28.0,J. Clarkson misses 3-pt shot from 25 ft,,36-37,,
8:26.0,,,36-37,,Defensive rebound by E. Davis
8:19.0,,,36-39,2,C. McCollum makes 2-pt shot from 12 ft
8:19.0,Cleveland full timeout,,36-39,,
8:08.0,Turnover by J. Clarkson (step out of bounds),,36-39,,
7:57.0,,,36-41,2,C. McCollum makes 2-pt shot from 1 ft
7:46.0,Turnover by J. Holland (traveling),,36-41,,
7:46.0,J. Green enters the game for A. Zizic,,36-41,,
7:31.0,,,36-41,,E. Turner misses 3-pt shot from 24 ft
7:28.0,,,36-41,,Offensive rebound by Z. Collins
7:27.0,,,36-41,,Z. Collins misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by J. Clarkson,,36-41,,
7:23.0,Shooting foul by E. Turner (drawn by J. Clarkson),,36-41,,
7:23.0,J. Clarkson misses free throw 1 of 2,,36-41,,
7:23.0,Offensive rebound by Team,,36-41,,
7:23.0,,,36-41,,A. Aminu enters the game for E. Davis
7:23.0,L. James enters the game for J. Holland,,36-41,,
7:23.0,J. Clarkson makes free throw 2 of 2,1,37-41,,
7:02.0,,,37-41,,C. McCollum misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by L. James,,37-41,,
6:57.0,Shooting foul by A. Aminu (drawn by L. James),,37-41,,
6:57.0,L. James misses free throw 1 of 2,,37-41,,
6:57.0,Offensive rebound by Team,,37-41,,
6:57.0,L. James makes free throw 2 of 2,1,38-41,,
6:41.0,,,38-41,,C. McCollum misses 2-pt shot from 2 ft
6:41.0,,,38-41,,Offensive rebound by Z. Collins
6:41.0,,,38-41,,Z. Collins misses 2-pt shot at rim
6:41.0,,,38-41,,Offensive rebound by Team
6:41.0,Loose ball foul by J. Green (drawn by Z. Collins),,38-41,,
6:33.0,,,38-41,,E. Turner misses 2-pt shot from 5 ft
6:30.0,Defensive rebound by L. James,,38-41,,
6:27.0,L. James makes 2-pt shot from 1 ft,2,40-41,,
6:08.0,,,40-43,2,Z. Collins makes 2-pt shot from 12 ft (assist by E. Turner)
5:54.0,J. Clarkson misses 2-pt shot from 2 ft,,40-43,,
5:51.0,Offensive rebound by J. Green,,40-43,,
5:51.0,J. Green misses 2-pt shot at rim,,40-43,,
5:50.0,,,40-43,,Defensive rebound by E. Turner
5:38.0,,,40-43,,C. McCollum misses 2-pt shot from 2 ft
5:37.0,,,40-43,,Offensive rebound by E. Turner
5:37.0,,,40-45,2,E. Turner makes 2-pt shot at rim
5:37.0,Cleveland full timeout,,40-45,,
5:37.0,,,40-45,,J. Nurkic enters the game for E. Turner
5:37.0,,,40-45,,D. Lillard enters the game for C. McCollum
5:37.0,,,40-45,,M. Harkless enters the game for Z. Collins
5:37.0,G. Hill enters the game for J. Smith,,40-45,,
5:37.0,K. Korver enters the game for J. Clarkson,,40-45,,
5:23.0,Shooting foul by M. Harkless (drawn by L. James),,40-45,,
5:23.0,L. James makes free throw 1 of 2,1,41-45,,
5:23.0,L. James makes free throw 2 of 2,1,42-45,,
5:08.0,,,42-45,,Shooting foul by R. Hood (drawn by M. Harkless)
5:08.0,,,42-46,1,M. Harkless makes free throw 1 of 2
5:08.0,,,42-46,,M. Harkless misses free throw 2 of 2
5:06.0,Defensive rebound by L. James,,42-46,,
4:56.0,R. Hood misses 3-pt shot from 25 ft,,42-46,,
4:54.0,,,42-46,,Defensive rebound by J. Nurkic
4:47.0,,,42-46,,Offensive foul by J. Nurkic (drawn by R. Hood)
4:47.0,,,42-46,,Turnover by J. Nurkic (offensive foul)
4:35.0,K. Korver misses 3-pt shot from 24 ft,,42-46,,
4:33.0,Offensive rebound by G. Hill,,42-46,,
4:26.0,L. James makes 2-pt shot at rim (assist by J. Green),2,44-46,,
4:08.0,,,44-48,2,D. Lillard makes 2-pt shot from 17 ft (assist by S. Napier)
3:46.0,L. James makes 2-pt shot from 8 ft,2,46-48,,
3:30.0,,,46-50,2,A. Aminu makes 2-pt shot from 1 ft (assist by J. Nurkic)
3:19.0,J. Green misses 3-pt shot from 25 ft,,46-50,,
3:18.0,,,46-50,,Defensive rebound by J. Nurkic
3:11.0,,,46-52,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
2:50.0,L. James misses 3-pt shot from 27 ft,,46-52,,
2:49.0,Offensive rebound by Team,,46-52,,
2:49.0,,,46-52,,C. McCollum enters the game for S. Napier
2:49.0,J. Smith enters the game for R. Hood,,46-52,,
2:47.0,J. Smith misses 3-pt shot from 24 ft,,46-52,,
2:46.0,,,46-52,,Defensive rebound by Team
2:37.0,Personal foul by K. Korver (drawn by M. Harkless),,46-52,,
2:30.0,,,46-52,,J. Nurkic misses 2-pt shot from 4 ft
2:30.0,Defensive rebound by Team,,46-52,,
2:22.0,K. Korver misses 3-pt shot from 24 ft,,46-52,,
2:21.0,,,46-52,,Defensive rebound by J. Nurkic
2:02.0,,,46-55,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Harkless)
1:43.0,Shooting foul by M. Harkless (drawn by J. Green),,46-55,,
1:43.0,J. Green makes free throw 1 of 2,1,47-55,,
1:43.0,,,47-55,,E. Turner enters the game for M. Harkless
1:43.0,J. Green makes free throw 2 of 2,1,48-55,,
1:36.0,Personal foul by J. Green (drawn by J. Nurkic),,48-55,,
1:27.0,,,48-55,,E. Turner misses 3-pt shot from 22 ft
1:24.0,Defensive rebound by L. James,,48-55,,
1:18.0,L. James misses 2-pt shot from 1 ft,,48-55,,
1:17.0,,,48-55,,Defensive rebound by J. Nurkic
1:08.0,,,48-55,,J. Nurkic misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by J. Green,,48-55,,
1:07.0,,,48-55,,Personal foul by J. Nurkic (drawn by J. Green)
1:07.0,J. Green makes free throw 1 of 2,1,49-55,,
1:07.0,J. Clarkson enters the game for G. Hill,,49-55,,
1:07.0,J. Green misses free throw 2 of 2,,49-55,,
1:04.0,,,49-55,,Defensive rebound by A. Aminu
0:52.0,,,49-55,,J. Nurkic misses 2-pt shot from 1 ft (block by L. James)
0:50.0,Defensive rebound by K. Korver,,49-55,,
0:50.0,,,49-55,,Personal foul by J. Nurkic (drawn by L. James)
0:50.0,L. James misses free throw 1 of 2,,49-55,,
0:50.0,Offensive rebound by Team,,49-55,,
0:50.0,,,49-55,,E. Davis enters the game for J. Nurkic
0:50.0,J. Holland enters the game for J. Green,,49-55,,
0:50.0,L. James makes free throw 2 of 2,1,50-55,,
0:35.0,Shooting block foul by J. Clarkson (drawn by D. Lillard),,50-55,,
0:35.0,,,50-56,1,D. Lillard makes free throw 1 of 2
0:35.0,,,50-56,,P. Connaughton enters the game for E. Turner
0:35.0,,,50-57,1,D. Lillard makes free throw 2 of 2
0:29.0,L. James makes 2-pt shot from 1 ft,2,52-57,,
0:16.0,Personal foul by J. Clarkson (drawn by D. Lillard),,52-57,,
0:16.0,,,52-58,1,D. Lillard makes free throw 1 of 2
0:16.0,,,52-58,,S. Napier enters the game for E. Davis
0:16.0,,,52-59,1,D. Lillard makes free throw 2 of 2
0:00.0,L. James makes 2-pt shot from 16 ft,2,54-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,56-59,,
11:31.0,,,56-59,,Turnover by J. Nurkic (bad pass; steal by L. James)
11:26.0,Turnover by L. James (bad pass; steal by M. Harkless),,56-59,,
11:20.0,,,56-59,,Turnover by D. Lillard (bad pass; steal by G. Hill)
11:10.0,R. Hood misses 3-pt shot from 25 ft,,56-59,,
11:08.0,,,56-59,,Defensive rebound by J. Nurkic
11:01.0,,,56-62,3,C. McCollum makes 3-pt shot from 25 ft
10:43.0,L. James makes 3-pt shot from 25 ft (assist by K. Korver),3,59-62,,
10:22.0,,,59-65,3,M. Harkless makes 3-pt shot from 23 ft (assist by A. Aminu)
9:56.0,R. Hood makes 3-pt shot from 23 ft,3,62-65,,
9:39.0,,,62-65,,J. Nurkic misses 2-pt shot from 3 ft
9:39.0,,,62-65,,Offensive rebound by A. Aminu
9:39.0,Personal foul by L. James (drawn by A. Aminu),,62-65,,
9:32.0,,,62-67,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
9:16.0,J. Green misses 2-pt shot from 1 ft,,62-67,,
9:14.0,,,62-67,,Defensive rebound by M. Harkless
9:09.0,,,62-69,2,D. Lillard makes 2-pt shot at rim (assist by C. McCollum)
8:55.0,Turnover by L. James (bad pass; steal by C. McCollum),,62-69,,
8:52.0,,,62-69,,C. McCollum misses 3-pt shot from 24 ft
8:52.0,,,62-69,,Offensive rebound by M. Harkless
8:50.0,,,62-71,2,M. Harkless makes 2-pt shot at rim
8:50.0,Cleveland full timeout,,62-71,,
8:50.0,J. Smith enters the game for R. Hood,,62-71,,
8:34.0,J. Smith misses 2-pt shot from 15 ft,,62-71,,
8:32.0,,,62-71,,Defensive rebound by J. Nurkic
8:16.0,,,62-73,2,M. Harkless makes 2-pt shot from 2 ft (assist by J. Nurkic)
7:53.0,L. James makes 2-pt shot from 19 ft,2,64-73,,
7:36.0,,,64-73,,M. Harkless misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by Team,,64-73,,
7:21.0,L. James makes 2-pt shot from 12 ft,2,66-73,,
6:56.0,,,66-73,,M. Harkless misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by J. Green,,66-73,,
6:47.0,L. James misses 3-pt shot from 24 ft,,66-73,,
6:44.0,,,66-73,,Defensive rebound by D. Lillard
6:30.0,,,66-73,,D. Lillard misses 2-pt shot from 1 ft
6:30.0,,,66-73,,Offensive rebound by J. Nurkic
6:30.0,,,66-73,,Shooting foul by J. Smith (drawn by J. Nurkic)
6:30.0,,,66-73,,J. Nurkic misses free throw 1 of 2
6:30.0,,,66-73,,Offensive rebound by Team
6:30.0,,,66-73,,J. Nurkic misses free throw 2 of 2
6:27.0,Defensive rebound by L. James,,66-73,,
6:20.0,Offensive foul by J. Green (drawn by J. Nurkic),,66-73,,
6:20.0,Turnover by J. Green (offensive foul),,66-73,,
6:06.0,Personal foul by L. James (drawn by M. Harkless),,66-73,,
5:53.0,,,66-73,,C. McCollum misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by J. Smith,,66-73,,
5:45.0,Shooting foul by J. Nurkic (drawn by J. Smith),,66-73,,
5:45.0,J. Smith misses free throw 1 of 2,,66-73,,
5:45.0,Offensive rebound by Team,,66-73,,
5:45.0,,,66-73,,E. Davis enters the game for J. Nurkic
5:45.0,J. Smith misses free throw 2 of 2,,66-73,,
5:43.0,,,66-73,,Defensive rebound by M. Harkless
5:34.0,,,66-76,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
5:07.0,L. James misses 2-pt shot from 11 ft,,66-76,,
5:04.0,,,66-76,,Defensive rebound by E. Davis
4:57.0,,,66-78,2,C. McCollum makes 2-pt shot from 3 ft
4:43.0,Turnover by L. James (bad pass; steal by M. Harkless),,66-78,,
4:35.0,,,66-81,3,D. Lillard makes 3-pt shot from 29 ft
4:35.0,Cleveland full timeout,,66-81,,
4:18.0,J. Green misses 3-pt shot from 23 ft,,66-81,,
4:14.0,,,66-81,,Defensive rebound by E. Davis
4:06.0,,,66-81,,Offensive foul by E. Davis (drawn by G. Hill)
4:06.0,,,66-81,,Turnover by E. Davis (offensive foul)
3:54.0,,,66-81,,Def 3 sec tech foul by E. Davis
3:54.0,K. Korver makes technical free throw,1,67-81,,
3:42.0,J. Green makes 3-pt shot from 24 ft (assist by G. Hill),3,70-81,,
3:19.0,,,70-81,,C. McCollum misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by L. James,,70-81,,
3:12.0,Shooting foul by C. McCollum (drawn by L. James),,70-81,,
3:12.0,L. James misses free throw 1 of 2,,70-81,,
3:12.0,Offensive rebound by Team,,70-81,,
3:12.0,,,70-81,,E. Turner enters the game for C. McCollum
3:12.0,,,70-81,,P. Connaughton enters the game for M. Harkless
3:12.0,L. James misses free throw 2 of 2,,70-81,,
3:09.0,,,70-81,,Defensive rebound by A. Aminu
3:00.0,Personal foul by G. Hill (drawn by D. Lillard),,70-81,,
2:49.0,,,70-81,,A. Aminu misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by G. Hill,,70-81,,
2:41.0,L. James misses 2-pt shot from 12 ft,,70-81,,
2:40.0,,,70-81,,Defensive rebound by A. Aminu
2:29.0,,,70-81,,P. Connaughton misses 3-pt shot from 26 ft
2:27.0,,,70-81,,Offensive rebound by E. Davis
2:24.0,Jump ball: E. Davis vs. L. James (K. Korver gains possession),,,,Jump ball: E. Davis vs. L. James (K. Korver gains possession)
2:24.0,,,70-81,,Turnover by E. Davis (turnover; steal by L. James)
2:17.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Green),3,73-81,,
2:16.0,,,73-81,,Portland full timeout
2:06.0,,,73-81,,D. Lillard misses 3-pt shot from 27 ft
2:03.0,Defensive rebound by J. Green,,73-81,,
1:52.0,K. Korver misses 3-pt shot from 24 ft,,73-81,,
1:48.0,,,73-81,,Defensive rebound by E. Turner
1:43.0,,,73-83,2,D. Lillard makes 2-pt shot at rim (assist by E. Turner)
1:26.0,Turnover by L. James (traveling),,73-83,,
1:26.0,J. Clarkson enters the game for G. Hill,,73-83,,
1:08.0,,,73-83,,E. Turner misses 2-pt shot from 7 ft
1:05.0,Defensive rebound by L. James,,73-83,,
1:00.0,L. James misses 3-pt shot from 25 ft,,73-83,,
0:59.0,,,73-83,,Defensive rebound by E. Turner
0:47.0,Personal foul by L. James (drawn by D. Lillard),,73-83,,
0:47.0,,,73-84,1,D. Lillard makes free throw 1 of 2
0:47.0,J. Holland enters the game for L. James,,73-84,,
0:47.0,,,73-84,,S. Napier enters the game for A. Aminu
0:47.0,,,73-85,1,D. Lillard makes free throw 2 of 2
0:33.0,J. Green makes 2-pt shot at rim,2,75-85,,
0:16.0,,,75-88,3,P. Connaughton makes 3-pt shot from 26 ft (assist by D. Lillard)
0:06.0,,,75-88,,Personal take foul by E. Davis (drawn by J. Clarkson)
0:00.0,J. Clarkson makes 2-pt shot from 1 ft,2,77-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,77-88,,S. Napier misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by J. Clarkson,,77-88,,
11:19.0,J. Green makes 2-pt shot from 8 ft,2,79-88,,
11:00.0,,,79-90,2,C. McCollum makes 2-pt shot from 1 ft
10:43.0,Turnover by J. Smith (bad pass),,79-90,,
10:30.0,,,79-92,2,S. Napier makes 2-pt shot from 9 ft (assist by E. Davis)
10:29.0,Cleveland full timeout,,79-92,,
10:29.0,L. James enters the game for J. Green,,79-92,,
10:29.0,,,79-92,,P. Connaughton enters the game for Z. Collins
10:13.0,J. Holland misses 3-pt shot from 24 ft,,79-92,,
10:10.0,,,79-92,,Defensive rebound by C. McCollum
9:53.0,,,79-94,2,S. Napier makes 2-pt shot from 16 ft
9:45.0,J. Holland makes 2-pt shot from 1 ft (assist by L. James),2,81-94,,
9:29.0,,,81-96,2,C. McCollum makes 2-pt shot from 2 ft (assist by E. Turner)
9:13.0,J. Clarkson makes 2-pt shot from 14 ft,2,83-96,,
8:59.0,Personal foul by L. James (drawn by P. Connaughton),,83-96,,
8:51.0,,,83-96,,S. Napier misses 3-pt shot from 28 ft
8:48.0,,,83-96,,Offensive rebound by P. Connaughton
8:40.0,,,83-96,,Shooting foul by J. Holland (drawn by C. McCollum)
8:40.0,,,83-97,1,C. McCollum makes free throw 1 of 2
8:40.0,K. Korver enters the game for J. Smith,,83-97,,
8:40.0,,,83-98,1,C. McCollum makes free throw 2 of 2
8:31.0,J. Clarkson misses 3-pt shot from 24 ft,,83-98,,
8:29.0,,,83-98,,Defensive rebound by E. Davis
8:06.0,,,83-98,,S. Napier misses 2-pt shot from 13 ft
8:05.0,Defensive rebound by G. Hill,,83-98,,
7:58.0,K. Korver makes 3-pt shot from 27 ft (assist by J. Clarkson),3,86-98,,
7:39.0,,,86-101,3,S. Napier makes 3-pt shot from 24 ft (assist by E. Turner)
7:25.0,L. James makes 2-pt shot at rim,2,88-101,,
7:09.0,,,88-103,2,P. Connaughton makes 2-pt shot at rim (assist by C. McCollum)
6:47.0,L. James misses 2-pt shot from 1 ft (block by P. Connaughton),,88-103,,
6:44.0,,,88-103,,Defensive rebound by P. Connaughton
6:42.0,,,88-103,,C. McCollum misses 3-pt shot from 26 ft
6:40.0,,,88-103,,Offensive rebound by Team
6:40.0,Loose ball foul by K. Korver (drawn by E. Turner),,88-103,,
6:40.0,,,88-103,,D. Lillard enters the game for S. Napier
6:32.0,,,88-103,,C. McCollum misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by J. Holland,,88-103,,
6:30.0,L. James makes 2-pt shot from 1 ft,2,90-103,,
6:30.0,Shooting foul by P. Connaughton (drawn by L. James),,90-103,,
6:30.0,L. James misses free throw 1 of 1,,90-103,,
6:26.0,,,90-103,,Defensive rebound by E. Turner
6:05.0,,,90-103,,D. Lillard misses 2-pt shot at rim
6:04.0,Defensive rebound by J. Holland,,90-103,,
5:57.0,G. Hill makes 3-pt shot from 22 ft (assist by J. Clarkson),3,93-103,,
5:57.0,,,93-103,,Portland full timeout
5:57.0,,,93-103,,A. Aminu enters the game for E. Turner
5:57.0,,,93-103,,M. Harkless enters the game for E. Davis
5:40.0,,,93-103,,C. McCollum misses 3-pt shot from 22 ft
5:38.0,Defensive rebound by L. James,,93-103,,
5:29.0,J. Clarkson misses 3-pt shot from 23 ft,,93-103,,
5:25.0,,,93-103,,Defensive rebound by D. Lillard
5:20.0,,,93-103,,C. McCollum misses 2-pt shot from 2 ft (block by G. Hill)
5:20.0,Defensive rebound by Team,,93-103,,
5:03.0,K. Korver misses 3-pt shot from 24 ft,,93-103,,
5:01.0,,,93-103,,Defensive rebound by A. Aminu
4:48.0,,,93-105,2,D. Lillard makes 2-pt shot from 23 ft
4:41.0,Cleveland full timeout,,93-105,,
4:41.0,,,93-105,,E. Turner enters the game for P. Connaughton
4:25.0,K. Korver makes 2-pt shot at rim (assist by L. James),2,95-105,,
4:04.0,,,95-105,,D. Lillard misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by J. Clarkson,,95-105,,
3:53.0,L. James makes 2-pt shot from 1 ft,2,97-105,,
3:30.0,,,97-105,,D. Lillard misses 2-pt shot from 12 ft
3:27.0,Defensive rebound by L. James,,97-105,,
3:26.0,J. Green enters the game for J. Holland,,97-105,,
3:25.0,G. Hill makes 2-pt shot at rim (assist by L. James),2,99-105,,
3:25.0,,,99-105,,Portland full timeout
3:06.0,,,99-105,,A. Aminu misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by L. James,,99-105,,
2:58.0,G. Hill makes 3-pt shot from 22 ft (assist by L. James),3,102-105,,
2:37.0,,,102-108,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
2:20.0,Turnover by L. James (bad pass; steal by D. Lillard),,102-108,,
2:03.0,,,102-108,,D. Lillard misses 2-pt shot from 18 ft
2:02.0,,,102-108,,Offensive rebound by M. Harkless
1:49.0,,,102-110,2,E. Turner makes 2-pt shot from 8 ft
1:34.0,J. Clarkson makes 3-pt shot from 27 ft,3,105-110,,
1:13.0,,,105-110,,D. Lillard misses 2-pt shot at rim
1:11.0,Defensive rebound by L. James,,105-110,,
1:06.0,J. Clarkson misses 3-pt shot from 25 ft,,105-110,,
1:04.0,,,105-110,,Defensive rebound by Team
