time,Atlanta,pts.away,score,pts.home,Minnesota
3:32.0,,,28-25,3,A. Wiggins makes 3-pt shot from 26 ft (assist by J. Teague)
3:19.0,,,28-25,,Violation by G. Dieng (kicked ball)
3:19.0,,,28-25,,T. Jones enters the game for J. Teague
3:08.0,M. Muscala misses 3-pt shot from 26 ft,,28-25,,
3:06.0,,,28-25,,Defensive rebound by T. Gibson
2:59.0,,,28-27,2,T. Jones makes 2-pt shot from 12 ft
2:54.0,Atlanta full timeout,,28-27,,
2:34.0,T. Cavanaugh makes 3-pt shot from 28 ft (assist by T. Waller-Prince),3,31-27,,
2:18.0,,,31-27,,T. Jones misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by T. Waller-Prince,,31-27,,
2:11.0,,,31-27,,Personal foul by A. Wiggins (drawn by T. Waller-Prince)
2:11.0,,,31-27,,N. Bjelica enters the game for T. Gibson
2:11.0,A. White enters the game for T. Waller-Prince,,31-27,,
2:04.0,Turnover by T. Cavanaugh (lost ball; steal by T. Jones),,31-27,,
2:00.0,,,31-29,2,J. Crawford makes 2-pt shot at rim (assist by T. Jones)
1:45.0,Turnover by T. Cavanaugh (bad pass),,31-29,,
1:31.0,,,31-29,,T. Jones misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by T. Cavanaugh,,31-29,,
1:20.0,Shooting foul by G. Dieng (drawn by T. Dorsey),,31-29,,
1:20.0,T. Dorsey misses free throw 1 of 2,,31-29,,
1:20.0,Offensive rebound by Team,,31-29,,
1:20.0,T. Dorsey makes free throw 2 of 2,1,32-29,,
1:20.0,J. Collins enters the game for T. Cavanaugh,,32-29,,
1:03.0,,,32-32,3,N. Bjelica makes 3-pt shot from 23 ft (assist by T. Jones)
0:41.0,A. White misses 3-pt shot from 26 ft,,32-32,,
0:39.0,,,32-32,,Defensive rebound by G. Dieng
0:34.0,,,32-32,,J. Crawford misses 3-pt shot from 26 ft
0:30.0,,,32-32,,Offensive rebound by J. Crawford
0:27.0,,,32-34,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
0:06.0,Turnover by T. Dorsey (traveling),,32-34,,
0:00.0,,,32-34,,Turnover by J. Crawford (lost ball; steal by J. Magette)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-34,,J. Crawford misses 3-pt shot from 22 ft
11:34.0,Defensive rebound by D. Dedmon,,32-34,,
11:30.0,Turnover by I. Taylor (bad pass; steal by T. Jones),,32-34,,
11:15.0,,,32-36,2,G. Dieng makes 2-pt shot from 3 ft (assist by T. Jones)
11:15.0,,,32-36,,Shooting foul by D. Dedmon (drawn by G. Dieng)
11:15.0,,,32-37,1,G. Dieng makes free throw 1 of 1
10:59.0,I. Taylor makes 2-pt shot from 3 ft,2,34-37,,
10:43.0,,,34-37,,Turnover by K. Towns (lost ball; steal by I. Taylor)
10:29.0,J. Collins makes 2-pt shot from 1 ft,2,36-37,,
10:13.0,,,36-40,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Crawford)
10:07.0,Offensive charge foul by I. Taylor (drawn by T. Jones),,36-40,,
10:07.0,Turnover by I. Taylor (offensive foul),,36-40,,
9:57.0,,,36-40,,G. Dieng misses 3-pt shot from 22 ft
9:55.0,Defensive rebound by J. Collins,,36-40,,
9:43.0,A. White misses 2-pt shot from 20 ft,,36-40,,
9:42.0,Offensive rebound by Team,,36-40,,
9:42.0,,,36-40,,Loose ball foul by N. Bjelica (drawn by J. Collins)
9:42.0,D. Lee enters the game for T. Dorsey,,36-40,,
9:38.0,I. Taylor misses 3-pt shot from 24 ft,,36-40,,
9:34.0,,,36-40,,Defensive rebound by N. Bjelica
9:25.0,,,36-40,,K. Towns misses 2-pt shot from 2 ft
9:25.0,,,36-40,,Offensive rebound by Team
9:25.0,,,36-40,,Turnover by K. Towns (traveling)
9:14.0,D. Lee misses 3-pt shot from 25 ft,,36-40,,
9:10.0,,,36-40,,Defensive rebound by N. Bjelica
9:04.0,,,36-42,2,J. Crawford makes 2-pt shot from 17 ft
8:44.0,A. White misses 2-pt shot from 2 ft,,36-42,,
8:43.0,,,36-42,,Defensive rebound by G. Dieng
8:34.0,,,36-44,2,G. Dieng makes 2-pt shot from 19 ft (assist by T. Jones)
8:19.0,I. Taylor misses 2-pt shot from 9 ft,,36-44,,
8:17.0,,,36-44,,Defensive rebound by K. Towns
8:04.0,,,36-44,,J. Crawford misses 2-pt shot from 21 ft
8:02.0,Defensive rebound by J. Collins,,36-44,,
7:50.0,Offensive foul by I. Taylor (drawn by T. Jones),,36-44,,
7:50.0,Turnover by I. Taylor (offensive foul),,36-44,,
7:50.0,Atlanta full timeout,,36-44,,
7:50.0,J. Magette enters the game for A. White,,36-44,,
7:50.0,T. Waller-Prince enters the game for J. Collins,,36-44,,
7:50.0,T. Cavanaugh enters the game for I. Taylor,,36-44,,
7:35.0,,,36-46,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
7:19.0,Turnover by T. Waller-Prince (out of bounds lost ball),,36-46,,
6:58.0,,,36-48,2,J. Crawford makes 2-pt shot from 20 ft
6:44.0,,,36-48,,Violation by K. Towns (kicked ball)
6:36.0,D. Dedmon makes 2-pt shot from 9 ft (assist by T. Waller-Prince),2,38-48,,
6:16.0,,,38-48,,G. Dieng misses 2-pt shot from 13 ft
6:13.0,Defensive rebound by D. Lee,,38-48,,
6:07.0,J. Magette misses 2-pt shot from 11 ft,,38-48,,
6:05.0,,,38-48,,Defensive rebound by G. Dieng
5:57.0,,,38-48,,T. Jones misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by D. Dedmon,,38-48,,
5:43.0,Shooting foul by G. Dieng (drawn by D. Lee),,38-48,,
5:43.0,D. Lee makes free throw 1 of 2,1,39-48,,
5:43.0,,,39-48,,A. Wiggins enters the game for G. Dieng
5:43.0,M. Muscala enters the game for D. Dedmon,,39-48,,
5:43.0,D. Lee makes free throw 2 of 2,1,40-48,,
5:29.0,,,40-48,,Turnover by T. Jones (bad pass; steal by T. Waller-Prince)
5:25.0,M. Muscala makes 2-pt shot from 2 ft (assist by J. Magette),2,42-48,,
5:25.0,,,42-48,,Violation by K. Towns (def goaltending)
5:25.0,,,42-48,,Minnesota full timeout
5:25.0,,,42-48,,J. Teague enters the game for T. Jones
5:06.0,,,42-50,2,K. Towns makes 2-pt shot from 8 ft (assist by N. Bjelica)
4:54.0,Turnover by T. Waller-Prince (bad pass; steal by J. Teague),,42-50,,
4:53.0,Personal take foul by J. Magette (drawn by J. Teague),,42-50,,
4:40.0,,,42-52,2,K. Towns makes 2-pt shot at rim (assist by J. Crawford)
4:26.0,M. Muscala misses 3-pt shot from 25 ft,,42-52,,
4:25.0,,,42-52,,Defensive rebound by A. Wiggins
4:17.0,,,42-52,,Turnover by A. Wiggins (bad pass; steal by M. Muscala)
4:13.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by J. Magette),2,44-52,,
3:52.0,,,44-52,,J. Teague misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by D. Lee,,44-52,,
3:46.0,T. Cavanaugh makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,47-52,,
3:37.0,,,47-52,,Turnover by J. Teague (bad pass; steal by D. Lee)
3:28.0,T. Cavanaugh misses 3-pt shot from 23 ft,,47-52,,
3:26.0,,,47-52,,Defensive rebound by K. Towns
3:18.0,,,47-52,,Shooting foul by M. Muscala (drawn by K. Towns)
3:18.0,,,47-53,1,K. Towns makes free throw 1 of 2
3:18.0,,,47-53,,T. Gibson enters the game for J. Crawford
3:18.0,T. Dorsey enters the game for D. Lee,,47-53,,
3:18.0,,,47-54,1,K. Towns makes free throw 2 of 2
3:04.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,49-54,,
2:46.0,,,49-54,,K. Towns misses 2-pt shot from 6 ft
2:44.0,Defensive rebound by T. Cavanaugh,,49-54,,
2:26.0,T. Waller-Prince makes 3-pt shot from 25 ft,3,52-54,,
2:10.0,Personal foul by T. Cavanaugh (drawn by A. Wiggins),,52-54,,
2:10.0,D. Dedmon enters the game for T. Cavanaugh,,52-54,,
1:57.0,,,52-56,2,K. Towns makes 2-pt shot from 12 ft
1:37.0,M. Muscala makes 3-pt shot from 22 ft (assist by J. Magette),3,55-56,,
1:24.0,Personal foul by T. Waller-Prince (drawn by A. Wiggins),,55-56,,
1:24.0,,,55-56,,A. Wiggins misses free throw 1 of 2
1:24.0,,,55-56,,Offensive rebound by Team
1:24.0,T. Cavanaugh enters the game for M. Muscala,,55-56,,
1:24.0,,,55-57,1,A. Wiggins makes free throw 2 of 2
1:17.0,,,55-57,,Personal foul by J. Teague (drawn by J. Magette)
1:17.0,D. Lee enters the game for J. Magette,,55-57,,
1:09.0,Turnover by T. Waller-Prince (bad pass; steal by N. Bjelica),,55-57,,
1:05.0,,,55-60,3,K. Towns makes 3-pt shot from 24 ft (assist by N. Bjelica)
1:05.0,Personal foul by D. Dedmon (drawn by J. Teague),,55-60,,
1:05.0,Turnover by D. Dedmon (turnover),,55-60,,
1:05.0,,,55-61,1,J. Teague makes free throw 1 of 1
0:50.0,T. Dorsey makes 2-pt shot from 1 ft,2,57-61,,
0:38.0,,,57-63,2,K. Towns makes 2-pt shot from 3 ft (assist by J. Teague)
0:24.0,T. Cavanaugh misses 3-pt shot from 22 ft,,57-63,,
0:22.0,,,57-63,,Defensive rebound by N. Bjelica
0:00.0,,,57-65,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,57-65,,K. Towns misses 2-pt shot from 12 ft
11:43.0,Defensive rebound by D. Dedmon,,57-65,,
11:27.0,Turnover by T. Waller-Prince (bad pass; steal by J. Teague),,57-65,,
11:19.0,,,57-67,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
11:19.0,,,57-67,,Shooting foul by J. Collins (drawn by T. Gibson)
11:19.0,,,57-68,1,T. Gibson makes free throw 1 of 1
11:05.0,Jump ball: K. Towns vs. J. Collins (I. Taylor gains possession),,,,Jump ball: K. Towns vs. J. Collins (I. Taylor gains possession)
10:53.0,D. Dedmon misses 2-pt shot from 16 ft,,57-68,,
10:51.0,,,57-68,,Defensive rebound by T. Gibson
10:40.0,,,57-70,2,K. Towns makes 2-pt shot from 6 ft (assist by T. Gibson)
10:20.0,I. Taylor makes 2-pt shot from 5 ft,2,59-70,,
10:08.0,,,59-70,,Shooting foul by D. Lee (drawn by K. Towns)
10:08.0,,,59-70,,K. Towns misses free throw 1 of 2
10:08.0,,,59-70,,Offensive rebound by Team
10:08.0,,,59-70,,K. Towns misses free throw 2 of 2
10:06.0,Defensive rebound by D. Dedmon,,59-70,,
9:51.0,Turnover by T. Waller-Prince (lost ball; steal by A. Wiggins),,59-70,,
9:44.0,,,59-70,,J. Teague misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by D. Dedmon,,59-70,,
9:33.0,D. Lee makes 2-pt shot from 9 ft,2,61-70,,
9:22.0,,,61-70,,K. Towns misses 2-pt shot from 3 ft (block by J. Collins)
9:17.0,Jump ball: K. Towns vs. J. Collins (I. Taylor gains possession),,,,Jump ball: K. Towns vs. J. Collins (I. Taylor gains possession)
9:17.0,Defensive rebound by Team,,61-70,,
9:08.0,Shooting foul by K. Towns (drawn by J. Collins),,61-70,,
9:08.0,J. Collins makes free throw 1 of 2,1,62-70,,
9:08.0,J. Collins misses free throw 2 of 2,,62-70,,
9:06.0,,,62-70,,Defensive rebound by K. Towns
9:02.0,,,62-73,3,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns)
8:40.0,D. Dedmon makes 3-pt shot from 24 ft (assist by I. Taylor),3,65-73,,
8:30.0,,,65-73,,Shooting foul by D. Dedmon (drawn by K. Towns)
8:30.0,,,65-74,1,K. Towns makes free throw 1 of 2
8:30.0,M. Muscala enters the game for D. Dedmon,,65-74,,
8:30.0,,,65-75,1,K. Towns makes free throw 2 of 2
8:21.0,Shooting foul by J. Teague (drawn by I. Taylor),,65-75,,
8:21.0,I. Taylor makes free throw 1 of 2,1,66-75,,
8:21.0,I. Taylor makes free throw 2 of 2,1,67-75,,
8:13.0,,,67-75,,J. Teague misses 2-pt shot from 14 ft
8:13.0,,,67-75,,Offensive rebound by K. Towns
8:13.0,,,67-75,,K. Towns misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by J. Collins,,67-75,,
8:05.0,J. Collins makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,69-75,,
7:59.0,,,69-77,2,A. Wiggins makes 2-pt shot at rim
7:44.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by I. Taylor),3,72-77,,
7:32.0,,,72-79,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague)
7:16.0,D. Lee misses 2-pt shot from 4 ft,,72-79,,
7:14.0,,,72-79,,Defensive rebound by K. Towns
7:11.0,,,72-81,2,N. Bjelica makes 2-pt shot from 1 ft (assist by A. Wiggins)
6:54.0,M. Muscala makes 2-pt shot from 15 ft (assist by I. Taylor),2,74-81,,
6:39.0,,,74-81,,A. Wiggins misses 2-pt shot from 12 ft
6:36.0,Defensive rebound by T. Waller-Prince,,74-81,,
6:34.0,,,74-81,,Personal foul by N. Bjelica (drawn by T. Waller-Prince)
6:34.0,,,74-81,,Minnesota full timeout
6:23.0,Turnover by M. Muscala (step out of bounds),,74-81,,
6:01.0,,,74-81,,A. Wiggins misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by M. Muscala,,74-81,,
5:45.0,D. Lee misses 3-pt shot from 25 ft,,74-81,,
5:44.0,,,74-81,,Defensive rebound by K. Towns
5:33.0,,,74-83,2,K. Towns makes 2-pt shot from 1 ft (assist by N. Bjelica)
5:18.0,T. Waller-Prince misses 2-pt shot from 16 ft,,74-83,,
5:16.0,,,74-83,,Defensive rebound by T. Gibson
5:05.0,,,74-86,3,J. Teague makes 3-pt shot from 25 ft (assist by A. Wiggins)
4:54.0,Atlanta full timeout,,74-86,,
4:54.0,T. Cavanaugh enters the game for J. Collins,,74-86,,
4:54.0,J. Magette enters the game for I. Taylor,,74-86,,
4:42.0,T. Waller-Prince misses 2-pt shot from 14 ft,,74-86,,
4:34.0,Offensive rebound by M. Muscala,,74-86,,
4:34.0,M. Muscala makes 2-pt shot at rim,2,76-86,,
4:18.0,Personal foul by J. Magette (drawn by J. Teague),,76-86,,
4:13.0,,,76-88,2,K. Towns makes 2-pt shot from 9 ft (assist by J. Teague)
3:52.0,J. Magette misses 3-pt shot from 25 ft,,76-88,,
3:49.0,,,76-88,,Defensive rebound by A. Wiggins
3:41.0,,,76-88,,A. Wiggins misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by T. Cavanaugh,,76-88,,
3:28.0,,,76-88,,Personal foul by A. Wiggins (drawn by T. Waller-Prince)
3:28.0,,,76-88,,J. Crawford enters the game for N. Bjelica
3:28.0,T. Dorsey enters the game for D. Lee,,76-88,,
3:21.0,,,76-88,,Personal foul by A. Wiggins (drawn by T. Waller-Prince)
3:21.0,T. Waller-Prince makes free throw 1 of 2,1,77-88,,
3:21.0,T. Waller-Prince misses free throw 2 of 2,,77-88,,
3:19.0,,,77-88,,Defensive rebound by K. Towns
3:11.0,,,77-90,2,A. Wiggins makes 2-pt shot from 3 ft
3:11.0,Atlanta full timeout,,77-90,,
3:11.0,,,77-90,,T. Jones enters the game for J. Teague
2:54.0,M. Muscala makes 2-pt shot at rim (assist by J. Magette),2,79-90,,
2:41.0,,,79-93,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
2:23.0,T. Waller-Prince misses 2-pt shot at rim,,79-93,,
2:23.0,Offensive rebound by Team,,79-93,,
2:23.0,,,79-93,,Loose ball foul by T. Gibson (drawn by M. Muscala)
2:23.0,M. Muscala makes free throw 1 of 2,1,80-93,,
2:23.0,,,80-93,,G. Dieng enters the game for K. Towns
2:23.0,,,80-93,,N. Bjelica enters the game for T. Gibson
2:23.0,M. Muscala makes free throw 2 of 2,1,81-93,,
2:16.0,,,81-96,3,J. Crawford makes 3-pt shot from 23 ft (assist by T. Jones)
2:01.0,T. Waller-Prince misses 2-pt shot from 1 ft,,81-96,,
2:00.0,Offensive rebound by T. Cavanaugh,,81-96,,
2:00.0,T. Cavanaugh makes 2-pt shot at rim,2,83-96,,
1:40.0,,,83-96,,Turnover by T. Jones (bad pass)
1:28.0,Turnover by M. Muscala (bad pass; steal by G. Dieng),,83-96,,
1:11.0,,,83-96,,T. Jones misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by T. Cavanaugh,,83-96,,
1:01.0,T. Dorsey misses 3-pt shot from 24 ft,,83-96,,
0:59.0,,,83-96,,Defensive rebound by N. Bjelica
0:56.0,,,83-96,,Turnover by T. Jones (bad pass; steal by J. Magette)
0:49.0,T. Cavanaugh makes 2-pt shot from 1 ft (assist by J. Magette),2,85-96,,
0:37.0,,,85-98,2,A. Wiggins makes 2-pt shot from 1 ft
0:31.0,J. Magette makes 3-pt shot from 25 ft,3,88-98,,
0:10.0,,,88-98,,J. Crawford misses 2-pt shot from 19 ft
0:08.0,Defensive rebound by T. Cavanaugh,,88-98,,
0:01.0,T. Waller-Prince misses 2-pt shot from 7 ft,,88-98,,
0:00.0,,,88-98,,Defensive rebound by G. Dieng
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Cavanaugh misses 2-pt shot at rim,,88-98,,
11:40.0,,,88-98,,Defensive rebound by K. Towns
11:23.0,,,88-98,,Turnover by J. Crawford (bad pass)
11:23.0,D. Dedmon enters the game for T. Cavanaugh,,88-98,,
11:14.0,J. Magette misses 2-pt shot from 8 ft,,88-98,,
11:11.0,,,88-98,,Defensive rebound by N. Bjelica
11:04.0,,,88-101,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
10:43.0,D. Dedmon makes 2-pt shot from 1 ft (assist by T. Dorsey),2,90-101,,
10:29.0,Def 3 sec tech foul by D. Dedmon,,90-101,,
10:29.0,,,90-102,1,J. Crawford makes technical free throw
10:29.0,I. Taylor enters the game for J. Magette,,90-102,,
10:19.0,,,90-105,3,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Jones)
10:06.0,,,90-105,,Personal foul by T. Jones (drawn by I. Taylor)
10:02.0,Offensive charge foul by T. Dorsey (drawn by J. Crawford),,90-105,,
10:02.0,Turnover by T. Dorsey (offensive foul),,90-105,,
9:49.0,,,90-105,,K. Towns misses 2-pt shot from 7 ft
9:49.0,,,90-105,,Offensive rebound by K. Towns
9:49.0,,,90-105,,Shooting foul by D. Dedmon (drawn by K. Towns)
9:49.0,,,90-105,,K. Towns misses free throw 1 of 2
9:49.0,,,90-105,,Offensive rebound by Team
9:49.0,,,90-106,1,K. Towns makes free throw 2 of 2
9:36.0,T. Dorsey misses 2-pt shot from 10 ft (block by K. Towns),,90-106,,
9:32.0,,,90-106,,Defensive rebound by K. Towns
9:25.0,Personal foul by T. Dorsey (drawn by K. Towns),,90-106,,
9:16.0,,,90-106,,K. Towns misses 2-pt shot from 10 ft
9:14.0,Defensive rebound by J. Collins,,90-106,,
9:05.0,D. Lee makes 2-pt shot at rim (assist by I. Taylor),2,92-106,,
8:52.0,,,92-106,,Turnover by N. Bjelica (bad pass; steal by J. Collins)
8:49.0,J. Collins misses 2-pt shot from 1 ft,,92-106,,
8:44.0,Offensive rebound by I. Taylor,,92-106,,
8:44.0,I. Taylor makes 2-pt shot at rim,2,94-106,,
8:39.0,,,94-106,,Minnesota full timeout
8:39.0,J. Magette enters the game for T. Dorsey,,94-106,,
8:25.0,,,94-106,,J. Crawford misses 3-pt shot from 22 ft
8:23.0,,,94-106,,Offensive rebound by G. Dieng
8:19.0,,,94-106,,Turnover by G. Dieng (bad pass; steal by D. Lee)
8:13.0,I. Taylor makes 2-pt shot at rim (assist by D. Lee),2,96-106,,
7:52.0,,,96-106,,T. Jones misses 2-pt shot from 9 ft
7:50.0,,,96-106,,Offensive rebound by G. Dieng
7:50.0,,,96-108,2,G. Dieng makes 2-pt shot from 1 ft
7:34.0,Turnover by I. Taylor (bad pass; steal by G. Dieng),,96-108,,
7:22.0,,,96-108,,N. Bjelica misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by D. Dedmon,,96-108,,
7:16.0,,,96-108,,Personal foul by T. Jones (drawn by J. Magette)
7:16.0,,,96-108,,J. Teague enters the game for T. Jones
7:16.0,,,96-108,,T. Gibson enters the game for G. Dieng
7:16.0,,,96-108,,A. Wiggins enters the game for N. Bjelica
7:08.0,Turnover by J. Magette (out of bounds lost ball),,96-108,,
6:51.0,,,96-108,,K. Towns misses 2-pt shot from 14 ft
6:49.0,Defensive rebound by D. Lee,,96-108,,
6:42.0,J. Collins misses 3-pt shot from 22 ft,,96-108,,
6:37.0,,,96-108,,Defensive rebound by T. Gibson
6:26.0,,,96-110,2,T. Gibson makes 2-pt shot at rim (assist by J. Teague)
6:12.0,I. Taylor makes 2-pt shot from 6 ft,2,98-110,,
6:12.0,Shooting foul by J. Teague (drawn by I. Taylor),,98-110,,
6:12.0,M. Muscala enters the game for J. Collins,,98-110,,
6:12.0,I. Taylor makes free throw 1 of 1,1,99-110,,
5:56.0,,,99-110,,J. Teague misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by D. Dedmon,,99-110,,
5:47.0,I. Taylor misses 2-pt shot from 2 ft,,99-110,,
5:45.0,,,99-110,,Defensive rebound by K. Towns
5:33.0,,,99-110,,K. Towns misses 3-pt shot from 26 ft
5:31.0,Defensive rebound by J. Magette,,99-110,,
5:24.0,,,99-110,,Personal foul by J. Teague (drawn by J. Magette)
5:12.0,D. Dedmon misses 3-pt shot from 23 ft,,99-110,,
5:10.0,,,99-110,,Defensive rebound by T. Gibson
5:01.0,,,99-110,,A. Wiggins misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by D. Dedmon,,99-110,,
4:54.0,I. Taylor makes 2-pt shot at rim,2,101-110,,
4:38.0,,,101-110,,K. Towns misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by D. Dedmon,,101-110,,
4:31.0,M. Muscala makes 3-pt shot from 22 ft (assist by D. Lee),3,104-110,,
4:22.0,,,104-110,,Minnesota full timeout
4:22.0,T. Waller-Prince enters the game for D. Lee,,104-110,,
4:11.0,,,104-110,,J. Teague misses 2-pt shot from 12 ft
4:08.0,,,104-110,,Offensive rebound by K. Towns
4:08.0,,,104-112,2,K. Towns makes 2-pt shot at rim
3:53.0,I. Taylor misses 2-pt shot from 10 ft,,104-112,,
3:51.0,,,104-112,,Defensive rebound by T. Gibson
3:36.0,,,104-112,,Shooting foul by J. Magette (drawn by K. Towns)
