time,Golden State,pts.away,score,pts.home,Indiana
4:37.0,D. Jones enters the game for D. Green,,15-20,,
4:37.0,K. Looney enters the game for J. McGee,,15-20,,
4:22.0,Turnover by K. Thompson (bad pass),,15-20,,
4:22.0,,,15-20,,D. Sabonis enters the game for T. Young
4:16.0,Personal foul by K. Durant (drawn by B. Bogdanovic),,15-20,,
4:05.0,,,15-20,,B. Bogdanovic misses 2-pt shot at rim
4:02.0,Defensive rebound by K. Thompson,,15-20,,
3:58.0,K. Durant misses 2-pt shot from 20 ft,,15-20,,
3:54.0,Offensive rebound by K. Looney,,15-20,,
3:43.0,K. Durant makes 2-pt shot from 18 ft (assist by Q. Cook),2,17-20,,
3:43.0,Shooting foul by B. Bogdanovic (drawn by K. Durant),,17-20,,
3:43.0,,,17-20,,L. Stephenson enters the game for B. Bogdanovic
3:43.0,N. Young enters the game for K. Thompson,,17-20,,
3:43.0,,,17-20,,C. Joseph enters the game for D. Collison
3:43.0,K. Durant makes free throw 1 of 1,1,18-20,,
3:25.0,,,18-20,,Turnover by D. Sabonis (lost ball; steal by K. Looney)
3:12.0,Q. Cook makes 3-pt shot from 22 ft (assist by K. Durant),3,21-20,,
3:03.0,,,21-20,,Indiana full timeout
2:56.0,,,21-22,2,M. Turner makes 2-pt shot from 14 ft (assist by C. Joseph)
2:40.0,K. Durant misses 3-pt shot from 25 ft,,21-22,,
2:37.0,,,21-22,,Defensive rebound by C. Joseph
2:24.0,,,21-22,,D. Sabonis misses 2-pt shot from 19 ft
2:22.0,Defensive rebound by K. Durant,,21-22,,
2:13.0,K. Looney makes 2-pt shot from 2 ft (assist by D. Jones),2,23-22,,
1:57.0,,,23-22,,V. Oladipo misses 2-pt shot from 18 ft
1:56.0,,,23-22,,Offensive rebound by Team
1:56.0,Loose ball foul by K. Looney (drawn by D. Sabonis),,23-22,,
1:56.0,,,23-22,,T. Booker enters the game for V. Oladipo
1:56.0,,,23-22,,G. Robinson enters the game for M. Turner
1:56.0,D. Green enters the game for Q. Cook,,23-22,,
1:44.0,,,23-25,3,L. Stephenson makes 3-pt shot from 26 ft (assist by T. Booker)
1:25.0,K. Durant misses 2-pt shot at rim,,23-25,,
1:22.0,,,23-25,,Defensive rebound by D. Sabonis
1:19.0,,,23-25,,T. Booker misses 2-pt shot from 1 ft
1:16.0,,,23-25,,Offensive rebound by D. Sabonis
1:16.0,,,23-25,,D. Sabonis misses 2-pt shot at rim
1:16.0,Defensive rebound by N. Young,,23-25,,
1:16.0,,,23-25,,Personal foul by C. Joseph (drawn by K. Durant)
1:04.0,K. Durant misses 2-pt shot from 15 ft,,23-25,,
1:01.0,,,23-25,,Defensive rebound by L. Stephenson
0:46.0,,,23-25,,C. Joseph misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by K. Durant,,23-25,,
0:33.0,D. Jones misses 2-pt shot from 3 ft (block by D. Sabonis),,23-25,,
0:30.0,,,23-25,,Defensive rebound by L. Stephenson
0:28.0,,,23-27,2,G. Robinson makes 2-pt shot at rim (assist by L. Stephenson)
0:11.0,D. Jones makes 2-pt shot from 2 ft (assist by K. Durant),2,25-27,,
0:11.0,Shooting foul by C. Joseph (drawn by D. Jones),,25-27,,
0:11.0,S. Livingston enters the game for K. Durant,,25-27,,
0:11.0,D. Jones makes free throw 1 of 1,1,26-27,,
0:02.0,,,26-27,,C. Joseph misses 2-pt shot from 17 ft
0:02.0,,,26-27,,Offensive rebound by T. Booker
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-27,,L. Stephenson misses 2-pt shot at rim
11:48.0,Defensive rebound by Team,,26-27,,
11:48.0,,,26-27,,Loose ball foul by T. Booker (drawn by D. West)
11:33.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston),2,28-27,,
11:18.0,,,28-27,,Shooting foul by D. West (drawn by D. Sabonis)
11:18.0,,,28-27,,D. Sabonis misses free throw 1 of 2
11:18.0,,,28-27,,Offensive rebound by Team
11:18.0,,,28-28,1,D. Sabonis makes free throw 2 of 2
11:03.0,Turnover by S. Livingston (bad pass; steal by D. Sabonis),,28-28,,
10:42.0,,,28-28,,D. Sabonis misses 3-pt shot from 26 ft (block by S. Livingston)
10:41.0,,,28-28,,L. Stephenson misses 2-pt shot from 2 ft
10:41.0,,,28-28,,Offensive rebound by L. Stephenson
10:40.0,,,28-28,,Offensive rebound by Team
10:40.0,,,28-28,,Turnover by Team (shot clock)
10:32.0,S. Livingston makes 2-pt shot from 9 ft (assist by D. Green),2,30-28,,
10:21.0,Personal foul by D. West (drawn by D. Sabonis),,30-28,,
10:09.0,,,30-28,,D. Sabonis misses 2-pt shot from 14 ft
10:06.0,Defensive rebound by K. Thompson,,30-28,,
9:56.0,S. Livingston misses 2-pt shot from 16 ft,,30-28,,
9:54.0,,,30-28,,Defensive rebound by D. Sabonis
9:46.0,,,30-31,3,L. Stephenson makes 3-pt shot from 26 ft
9:29.0,K. Thompson misses 2-pt shot from 17 ft,,30-31,,
9:27.0,,,30-31,,Defensive rebound by D. Sabonis
9:17.0,,,30-33,2,D. Sabonis makes 2-pt shot from 5 ft (assist by L. Stephenson)
8:58.0,,,30-33,,Personal foul by D. Sabonis (drawn by D. Green)
8:56.0,Turnover by S. Livingston (bad pass; steal by C. Joseph),,30-33,,
8:54.0,,,30-35,2,C. Joseph makes 2-pt shot at rim
8:39.0,K. Thompson makes 3-pt shot from 27 ft (assist by S. Livingston),3,33-35,,
8:25.0,,,33-35,,D. Sabonis misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by N. Young,,33-35,,
8:19.0,K. Thompson misses 3-pt shot from 27 ft,,33-35,,
8:16.0,,,33-35,,Defensive rebound by T. Booker
8:07.0,J. Bell enters the game for D. Green,,33-35,,
8:07.0,,,33-35,,B. Bogdanovic enters the game for G. Robinson
8:03.0,,,33-37,2,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph)
8:03.0,,,33-37,,Shooting foul by J. Bell (drawn by D. Sabonis)
8:03.0,,,33-38,1,D. Sabonis makes free throw 1 of 1
7:48.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. West),3,36-38,,
7:35.0,,,36-40,2,B. Bogdanovic makes 2-pt shot from 15 ft (assist by L. Stephenson)
7:18.0,D. West misses 2-pt shot from 18 ft,,36-40,,
7:16.0,,,36-40,,Defensive rebound by L. Stephenson
7:12.0,,,36-40,,Shooting foul by D. West (drawn by L. Stephenson)
7:12.0,,,36-40,,L. Stephenson misses free throw 1 of 2
7:12.0,,,36-40,,Offensive rebound by Team
7:12.0,,,36-41,1,L. Stephenson makes free throw 2 of 2
6:54.0,N. Young misses 3-pt shot from 27 ft,,36-41,,
6:51.0,Offensive rebound by D. West,,36-41,,
6:50.0,Shooting foul by T. Booker (drawn by D. West),,36-41,,
6:50.0,,,36-41,,Indiana full timeout
6:50.0,,,36-41,,T. Young enters the game for T. Booker
6:50.0,Q. Cook enters the game for N. Young,,36-41,,
6:50.0,K. Durant enters the game for K. Thompson,,36-41,,
6:50.0,D. West makes free throw 1 of 2,1,37-41,,
6:50.0,D. West makes free throw 2 of 2,1,38-41,,
6:39.0,,,38-41,,D. Sabonis misses 2-pt shot from 2 ft (block by K. Durant)
6:35.0,Defensive rebound by S. Livingston,,38-41,,
6:32.0,J. Bell makes 2-pt shot from 1 ft (assist by S. Livingston),2,40-41,,
6:21.0,,,40-41,,T. Young misses 3-pt shot from 27 ft
6:18.0,Defensive rebound by S. Livingston,,40-41,,
6:11.0,Turnover by K. Durant (bad pass; steal by B. Bogdanovic),,40-41,,
6:07.0,,,40-43,2,L. Stephenson makes 2-pt shot at rim (assist by D. Sabonis)
5:56.0,S. Livingston misses 2-pt shot from 16 ft,,40-43,,
5:52.0,,,40-43,,Defensive rebound by D. Sabonis
5:49.0,,,40-43,,D. Collison enters the game for L. Stephenson
5:49.0,,,40-43,,V. Oladipo enters the game for C. Joseph
5:49.0,,,40-43,,M. Turner enters the game for D. Sabonis
5:49.0,K. Looney enters the game for D. West,,40-43,,
5:42.0,,,40-46,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by D. Collison)
5:17.0,K. Looney makes 2-pt shot at rim (assist by Q. Cook),2,42-46,,
5:17.0,,,42-46,,Violation by M. Turner (def goaltending)
5:02.0,,,42-48,2,T. Young makes 2-pt shot at rim (assist by V. Oladipo)
4:53.0,J. Bell misses 2-pt shot from 17 ft,,42-48,,
4:52.0,,,42-48,,Defensive rebound by D. Collison
4:46.0,,,42-50,2,D. Collison makes 2-pt shot from 17 ft
4:31.0,K. Durant misses 2-pt shot at rim,,42-50,,
4:29.0,,,42-50,,Defensive rebound by T. Young
4:25.0,,,42-52,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young)
4:24.0,Golden State full timeout,,42-52,,
4:24.0,D. Green enters the game for J. Bell,,42-52,,
4:24.0,K. Thompson enters the game for S. Livingston,,42-52,,
4:13.0,D. Green makes 2-pt shot from 1 ft (assist by K. Looney),2,44-52,,
3:57.0,,,44-52,,M. Turner misses 2-pt shot from 3 ft (block by D. Green)
3:55.0,,,44-52,,Offensive rebound by T. Young
3:55.0,,,44-54,2,T. Young makes 2-pt shot from 1 ft
3:38.0,K. Looney misses 2-pt shot at rim (block by T. Young),,44-54,,
3:35.0,Offensive rebound by K. Looney,,44-54,,
3:31.0,K. Durant misses 2-pt shot from 19 ft,,44-54,,
3:28.0,,,44-54,,Defensive rebound by D. Collison
3:15.0,,,44-56,2,V. Oladipo makes 2-pt shot at rim
2:57.0,K. Durant misses 3-pt shot from 27 ft,,44-56,,
2:53.0,Offensive rebound by K. Thompson,,44-56,,
2:52.0,K. Thompson makes 2-pt shot from 13 ft,2,46-56,,
2:36.0,,,46-59,3,D. Collison makes 3-pt shot from 24 ft (assist by V. Oladipo)
2:18.0,K. Durant makes 2-pt shot from 18 ft,2,48-59,,
1:55.0,,,48-59,,D. Collison misses 2-pt shot from 19 ft
1:51.0,,,48-59,,Offensive rebound by V. Oladipo
1:37.0,,,48-59,,V. Oladipo misses 2-pt shot from 9 ft
1:34.0,Defensive rebound by K. Durant,,48-59,,
1:25.0,Q. Cook misses 3-pt shot from 26 ft,,48-59,,
1:23.0,,,48-59,,Defensive rebound by T. Young
1:19.0,,,48-59,,L. Stephenson enters the game for B. Bogdanovic
1:00.0,,,48-59,,V. Oladipo misses 2-pt shot from 18 ft
0:53.0,,,48-59,,Offensive rebound by D. Collison
0:52.0,,,48-59,,D. Collison misses 2-pt shot from 18 ft
0:52.0,,,48-59,,Offensive rebound by L. Stephenson
0:49.0,,,48-59,,L. Stephenson misses 2-pt shot at rim
0:48.0,Defensive rebound by K. Durant,,48-59,,
0:44.0,K. Thompson misses 3-pt shot from 27 ft,,48-59,,
0:42.0,,,48-59,,Defensive rebound by M. Turner
0:33.0,,,48-62,3,V. Oladipo makes 3-pt shot from 29 ft (assist by D. Collison)
0:20.0,K. Thompson makes 3-pt shot from 24 ft (assist by Q. Cook),3,51-62,,
0:02.0,,,51-62,,V. Oladipo misses 2-pt shot from 17 ft
0:02.0,,,51-62,,Offensive rebound by T. Young
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,51-64,2,M. Turner makes 2-pt shot from 15 ft (assist by B. Bogdanovic)
11:21.0,K. Thompson misses 2-pt shot from 17 ft,,51-64,,
11:20.0,,,51-64,,Defensive rebound by V. Oladipo
11:15.0,,,51-64,,Shooting foul by Q. Cook (drawn by T. Young)
11:15.0,,,51-64,,T. Young misses free throw 1 of 2
11:15.0,,,51-64,,Offensive rebound by Team
11:15.0,,,51-64,,T. Young misses free throw 2 of 2
11:15.0,Defensive rebound by D. Green,,51-64,,
11:06.0,Offensive foul by J. McGee (drawn by B. Bogdanovic),,51-64,,
11:06.0,Turnover by J. McGee (offensive foul),,51-64,,
10:57.0,,,51-67,3,V. Oladipo makes 3-pt shot from 26 ft (assist by M. Turner)
10:55.0,Golden State full timeout,,51-67,,
10:55.0,,,51-68,1,D. Collison makes technical free throw
10:40.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,53-68,,
10:14.0,,,53-71,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by D. Collison)
10:00.0,K. Durant misses 3-pt shot from 27 ft,,53-71,,
9:56.0,Offensive rebound by J. McGee,,53-71,,
9:51.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Green),3,56-71,,
9:29.0,,,56-71,,M. Turner misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by D. Green,,56-71,,
9:21.0,K. Durant misses 3-pt shot from 26 ft,,56-71,,
9:17.0,,,56-71,,Defensive rebound by M. Turner
9:07.0,,,56-71,,M. Turner misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by K. Thompson,,56-71,,
8:59.0,K. Thompson misses 3-pt shot from 26 ft,,56-71,,
8:57.0,Offensive rebound by Q. Cook,,56-71,,
8:54.0,Q. Cook misses 2-pt shot at rim,,56-71,,
8:52.0,Offensive rebound by J. McGee,,56-71,,
8:52.0,J. McGee misses 2-pt shot at rim,,56-71,,
8:51.0,Offensive rebound by J. McGee,,56-71,,
8:49.0,Turnover by J. McGee (lost ball; steal by D. Collison),,56-71,,
8:47.0,,,56-71,,Turnover by D. Collison (traveling)
8:33.0,,,56-71,,Personal foul by V. Oladipo (drawn by D. Green)
8:31.0,D. Green makes 2-pt shot from 1 ft (assist by K. Durant),2,58-71,,
8:08.0,,,58-71,,T. Young misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by Q. Cook,,58-71,,
7:57.0,K. Durant misses 3-pt shot from 27 ft,,58-71,,
7:55.0,,,58-71,,Defensive rebound by D. Collison
7:39.0,,,58-74,3,V. Oladipo makes 3-pt shot from 26 ft
7:23.0,Shooting foul by M. Turner (drawn by K. Durant),,58-74,,
7:23.0,K. Durant makes free throw 1 of 2,1,59-74,,
7:23.0,D. Jones enters the game for J. McGee,,59-74,,
7:23.0,K. Durant makes free throw 2 of 2,1,60-74,,
7:08.0,,,60-74,,Shooting foul by D. Green (drawn by T. Young)
7:08.0,,,60-75,1,T. Young makes free throw 1 of 2
7:08.0,,,60-76,1,T. Young makes free throw 2 of 2
6:54.0,K. Durant misses 3-pt shot from 26 ft,,60-76,,
6:52.0,,,60-76,,Defensive rebound by V. Oladipo
6:37.0,,,60-76,,Offensive charge foul by M. Turner (drawn by D. Green)
6:37.0,,,60-76,,Turnover by M. Turner (offensive foul)
6:27.0,Shooting foul by D. Collison (drawn by K. Durant),,60-76,,
6:27.0,K. Durant makes free throw 1 of 2,1,61-76,,
6:27.0,K. Durant makes free throw 2 of 2,1,62-76,,
6:05.0,,,62-78,2,V. Oladipo makes 2-pt shot from 1 ft
5:43.0,D. Green makes 3-pt shot from 27 ft (assist by K. Durant),3,65-78,,
5:29.0,,,65-78,,B. Bogdanovic misses 3-pt shot from 26 ft
5:25.0,,,65-78,,Offensive rebound by T. Young
5:25.0,,,65-80,2,T. Young makes 2-pt shot from 1 ft
5:09.0,K. Durant misses 2-pt shot from 6 ft (block by B. Bogdanovic),,65-80,,
5:06.0,,,65-80,,Defensive rebound by M. Turner
5:05.0,,,65-82,2,D. Collison makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
5:05.0,Golden State full timeout,,65-82,,
5:05.0,K. Looney enters the game for D. Green,,65-82,,
4:53.0,K. Thompson misses 2-pt shot from 19 ft,,65-82,,
4:50.0,,,65-82,,Defensive rebound by B. Bogdanovic
4:34.0,,,65-82,,Shooting foul by K. Durant (drawn by M. Turner)
4:34.0,,,65-83,1,M. Turner makes free throw 1 of 2
4:34.0,N. Young enters the game for K. Thompson,,65-83,,
4:34.0,,,65-84,1,M. Turner makes free throw 2 of 2
4:25.0,,,65-84,,Personal foul by V. Oladipo (drawn by N. Young)
4:25.0,,,65-84,,D. Sabonis enters the game for T. Young
4:15.0,D. Jones makes 2-pt shot from 1 ft (assist by Q. Cook),2,67-84,,
4:06.0,,,67-84,,V. Oladipo misses 3-pt shot from 27 ft
4:03.0,Defensive rebound by D. Jones,,67-84,,
3:55.0,N. Young misses 3-pt shot from 23 ft,,67-84,,
3:53.0,,,67-84,,Defensive rebound by D. Collison
3:48.0,,,67-87,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison)
3:36.0,Shooting foul by B. Bogdanovic (drawn by K. Durant),,67-87,,
3:36.0,K. Durant makes free throw 1 of 2,1,68-87,,
3:36.0,,,68-87,,L. Stephenson enters the game for B. Bogdanovic
3:36.0,K. Durant makes free throw 2 of 2,1,69-87,,
3:14.0,,,69-89,2,D. Collison makes 2-pt shot from 16 ft (assist by V. Oladipo)
2:49.0,Turnover by D. Jones (traveling),,69-89,,
2:39.0,,,69-89,,M. Turner misses 3-pt shot from 27 ft
2:36.0,Defensive rebound by K. Looney,,69-89,,
2:29.0,D. Jones makes 2-pt shot at rim (assist by K. Durant),2,71-89,,
2:29.0,,,71-89,,Indiana full timeout
2:29.0,,,71-89,,C. Joseph enters the game for D. Collison
2:29.0,,,71-89,,T. Booker enters the game for M. Turner
2:29.0,S. Livingston enters the game for K. Durant,,71-89,,
2:20.0,,,71-89,,Offensive foul by D. Sabonis (drawn by N. Young)
2:20.0,,,71-89,,Turnover by D. Sabonis (offensive foul)
2:02.0,Q. Cook misses 3-pt shot from 26 ft,,71-89,,
1:55.0,,,71-89,,Defensive rebound by T. Booker
1:51.0,,,71-91,2,V. Oladipo makes 2-pt shot from 2 ft (assist by T. Booker)
1:35.0,Shooting foul by L. Stephenson (drawn by S. Livingston),,71-91,,
1:35.0,S. Livingston makes free throw 1 of 2,1,72-91,,
1:35.0,,,72-91,,G. Robinson enters the game for V. Oladipo
1:35.0,S. Livingston makes free throw 2 of 2,1,73-91,,
1:25.0,Technical foul by Q. Cook (drawn by D. Sabonis),,73-91,,
1:25.0,,,73-92,1,D. Sabonis makes flagrant free throw 1 of 2
1:25.0,,,73-93,1,D. Sabonis makes flagrant free throw 2 of 2
1:20.0,,,73-95,2,D. Sabonis makes 2-pt shot from 13 ft (assist by C. Joseph)
1:06.0,N. Young misses 3-pt shot from 25 ft,,73-95,,
1:04.0,,,73-95,,Defensive rebound by L. Stephenson
0:53.0,,,73-95,,C. Joseph misses 2-pt shot from 20 ft
0:51.0,Defensive rebound by Team,,73-95,,
0:51.0,,,73-95,,Loose ball foul by T. Booker (drawn by N. Young)
0:51.0,N. Young makes free throw 1 of 2,1,74-95,,
0:51.0,N. Young makes free throw 2 of 2,1,75-95,,
0:31.0,,,75-95,,D. Sabonis misses 2-pt shot from 18 ft (block by K. Looney)
0:28.0,,,75-95,,Offensive rebound by T. Booker
0:28.0,,,75-97,2,T. Booker makes 2-pt shot from 7 ft
0:09.0,,,75-97,,Personal foul by D. Sabonis (drawn by N. Young)
0:09.0,N. Young makes free throw 1 of 2,1,76-97,,
0:09.0,N. Young makes free throw 2 of 2,1,77-97,,
0:02.0,,,77-97,,C. Joseph misses 2-pt shot from 19 ft
0:02.0,Defensive rebound by Q. Cook,,77-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Durant makes 2-pt shot from 9 ft (assist by D. West),2,79-97,,
11:47.0,Shooting foul by G. Robinson (drawn by K. Durant),,79-97,,
11:47.0,K. Durant makes free throw 1 of 1,1,80-97,,
11:34.0,,,80-97,,Turnover by L. Stephenson (bad pass; steal by K. Durant)
11:19.0,K. Durant misses 3-pt shot from 23 ft,,80-97,,
11:15.0,Offensive rebound by D. West,,80-97,,
11:15.0,K. Durant makes 3-pt shot from 23 ft (assist by D. West),3,83-97,,
11:01.0,,,83-97,,C. Joseph misses 2-pt shot from 10 ft
10:59.0,Defensive rebound by D. West,,83-97,,
10:55.0,S. Livingston makes 2-pt shot from 1 ft (assist by K. Thompson),2,85-97,,
10:55.0,,,85-97,,Indiana full timeout
10:55.0,,,85-97,,V. Oladipo enters the game for L. Stephenson
10:55.0,,,85-97,,B. Bogdanovic enters the game for T. Booker
10:55.0,,,85-97,,T. Young enters the game for G. Robinson
10:42.0,,,85-97,,T. Young misses 2-pt shot from 10 ft
10:40.0,Defensive rebound by D. Green,,85-97,,
10:27.0,D. West makes 2-pt shot from 1 ft (assist by K. Durant),2,87-97,,
10:10.0,,,87-97,,V. Oladipo misses 3-pt shot from 25 ft
10:06.0,,,87-97,,Offensive rebound by T. Young
10:06.0,,,87-99,2,T. Young makes 2-pt shot at rim
9:45.0,Turnover by D. Green (bad pass; steal by V. Oladipo),,87-99,,
9:40.0,,,87-101,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo)
9:33.0,Offensive charge foul by K. Durant (drawn by D. Sabonis),,87-101,,
9:33.0,Turnover by K. Durant (offensive foul),,87-101,,
9:11.0,,,87-101,,Turnover by V. Oladipo (lost ball; steal by K. Thompson)
9:05.0,Jump ball: V. Oladipo vs. K. Durant (T. Young gains possession),,,,Jump ball: V. Oladipo vs. K. Durant (T. Young gains possession)
9:05.0,Turnover by K. Durant (turnover; steal by V. Oladipo),,87-101,,
8:56.0,Personal foul by D. Green (drawn by D. Sabonis),,87-101,,
8:47.0,,,87-101,,V. Oladipo misses 2-pt shot from 10 ft
8:44.0,Defensive rebound by S. Livingston,,87-101,,
8:41.0,S. Livingston misses 2-pt shot from 1 ft,,87-101,,
8:37.0,,,87-101,,Defensive rebound by V. Oladipo
8:31.0,,,87-104,3,C. Joseph makes 3-pt shot from 25 ft (assist by V. Oladipo)
8:17.0,K. Thompson misses 3-pt shot from 27 ft,,87-104,,
8:15.0,,,87-104,,Defensive rebound by D. Sabonis
7:59.0,,,87-104,,V. Oladipo misses 2-pt shot from 5 ft (block by D. West)
7:57.0,Defensive rebound by K. Thompson,,87-104,,
7:57.0,,,87-104,,Technical foul by V. Oladipo
7:57.0,K. Durant makes technical free throw,1,88-104,,
7:51.0,K. Thompson misses 2-pt shot at rim,,88-104,,
7:47.0,Offensive rebound by K. Thompson,,88-104,,
7:47.0,K. Thompson misses 2-pt shot at rim,,88-104,,
7:46.0,,,88-104,,Defensive rebound by D. Sabonis
7:34.0,,,88-106,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
7:21.0,S. Livingston misses 2-pt shot from 1 ft,,88-106,,
7:18.0,,,88-106,,Defensive rebound by T. Young
7:14.0,,,88-109,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young)
7:13.0,Golden State full timeout,,88-109,,
7:13.0,Z. Pachulia enters the game for D. West,,88-109,,
7:13.0,Q. Cook enters the game for K. Thompson,,88-109,,
7:13.0,N. Young enters the game for D. Green,,88-109,,
7:13.0,J. Bell enters the game for S. Livingston,,88-109,,
7:13.0,K. Looney enters the game for K. Durant,,88-109,,
6:57.0,K. Looney misses 2-pt shot from 4 ft,,88-109,,
6:55.0,Offensive rebound by J. Bell,,88-109,,
6:53.0,N. Young misses 3-pt shot from 28 ft,,88-109,,
6:50.0,,,88-109,,Defensive rebound by D. Sabonis
6:36.0,,,88-109,,C. Joseph misses 3-pt shot from 23 ft
6:33.0,,,88-109,,Offensive rebound by T. Young
6:32.0,,,88-112,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Young)
6:16.0,Turnover by Z. Pachulia (bad pass; steal by V. Oladipo),,88-112,,
6:13.0,,,88-114,2,V. Oladipo makes 2-pt shot at rim
5:53.0,Q. Cook makes 2-pt shot from 20 ft (assist by J. Bell),2,90-114,,
5:36.0,,,90-114,,Turnover by C. Joseph (step out of bounds)
5:19.0,K. Looney makes 2-pt shot at rim,2,92-114,,
4:54.0,,,92-117,3,D. Sabonis makes 3-pt shot from 23 ft (assist by C. Joseph)
4:33.0,J. Bell makes 2-pt shot from 1 ft (assist by Q. Cook),2,94-117,,
4:10.0,,,94-119,2,V. Oladipo makes 2-pt shot from 2 ft
3:59.0,,,94-119,,Personal foul by T. Young (drawn by N. Young)
3:59.0,,,94-119,,J. Young enters the game for V. Oladipo
