time,Oklahoma City,pts.away,score,pts.home,Utah
4:33.0,C. Anthony misses 2-pt shot from 21 ft,,19-36,,
4:32.0,Offensive rebound by S. Adams,,19-36,,
4:32.0,Shooting foul by D. Mitchell (drawn by S. Adams),,19-36,,
4:32.0,S. Adams misses free throw 1 of 2,,19-36,,
4:32.0,Offensive rebound by Team,,19-36,,
4:32.0,S. Adams misses free throw 2 of 2,,19-36,,
4:29.0,,,19-36,,Defensive rebound by R. Gobert
4:21.0,,,19-36,,D. Mitchell misses 2-pt shot from 18 ft
4:18.0,Defensive rebound by P. George,,19-36,,
4:09.0,P. George misses 2-pt shot from 3 ft,,19-36,,
4:07.0,,,19-36,,Defensive rebound by D. Mitchell
3:49.0,,,19-38,2,R. Rubio makes 2-pt shot from 19 ft
3:33.0,Shooting foul by T. Sefolosha (drawn by P. George),,19-38,,
3:33.0,P. George makes free throw 1 of 2,1,20-38,,
3:33.0,P. George makes free throw 2 of 2,1,21-38,,
3:27.0,,,21-38,,Turnover by R. Rubio (bad pass)
3:12.0,A. Abrines misses 3-pt shot from 25 ft,,21-38,,
3:09.0,Offensive rebound by R. Westbrook,,21-38,,
3:07.0,Turnover by R. Westbrook (bad pass; steal by D. Mitchell),,21-38,,
3:03.0,,,21-38,,D. Mitchell misses 2-pt shot from 2 ft (block by C. Anthony)
3:00.0,Defensive rebound by C. Anthony,,21-38,,
2:57.0,R. Westbrook misses 3-pt shot from 22 ft,,21-38,,
2:56.0,Offensive rebound by Team,,21-38,,
2:56.0,,,21-38,,Loose ball foul by R. Gobert (drawn by S. Adams)
2:56.0,S. Adams makes free throw 1 of 2,1,22-38,,
2:56.0,,,22-38,,A. Burks enters the game for D. Mitchell
2:56.0,S. Adams makes free throw 2 of 2,1,23-38,,
2:44.0,Personal foul by C. Anthony (drawn by R. Gobert),,23-38,,
2:39.0,,,23-38,,R. Rubio misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by P. George,,23-38,,
2:28.0,P. George makes 2-pt shot from 1 ft,2,25-38,,
2:20.0,,,25-38,,Utah full timeout
2:05.0,,,25-41,3,R. Rubio makes 3-pt shot from 23 ft (assist by J. Johnson)
1:50.0,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook),3,28-41,,
1:34.0,,,28-41,,R. Rubio misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by A. Abrines,,28-41,,
1:24.0,C. Anthony misses 3-pt shot from 25 ft,,28-41,,
1:21.0,Offensive rebound by R. Westbrook,,28-41,,
1:11.0,C. Anthony makes 2-pt shot from 18 ft (assist by R. Westbrook),2,30-41,,
0:56.0,,,30-44,3,J. Johnson makes 3-pt shot from 25 ft
0:37.0,C. Anthony makes 2-pt shot from 14 ft,2,32-44,,
0:25.0,,,32-44,,J. Johnson misses 2-pt shot from 15 ft
0:22.0,Defensive rebound by R. Westbrook,,32-44,,
0:00.0,C. Anthony makes 2-pt shot from 15 ft,2,34-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook),3,37-44,,
11:23.0,,,37-44,,Turnover by J. Ingles (bad pass; steal by P. George)
11:10.0,Shooting foul by D. Mitchell (drawn by R. Westbrook),,37-44,,
11:10.0,R. Westbrook misses free throw 1 of 2,,37-44,,
11:10.0,Offensive rebound by Team,,37-44,,
11:10.0,R. Westbrook makes free throw 2 of 2,1,38-44,,
10:59.0,,,38-44,,D. Favors misses 2-pt shot from 17 ft
