time,Portland,pts.away,score,pts.home,Milwaukee
5:33.0,,,40-40,2,T. Snell makes 2-pt shot from 13 ft
5:10.0,E. Turner makes 2-pt shot from 14 ft,2,42-40,,
4:58.0,,,42-40,,Shooting foul by D. Lillard (drawn by M. Brogdon)
4:58.0,,,42-41,1,M. Brogdon makes free throw 1 of 2
4:58.0,,,42-41,,M. Teletovic enters the game for G. Antetokounmpo
4:58.0,C. McCollum enters the game for P. Connaughton,,42-41,,
4:58.0,,,42-42,1,M. Brogdon makes free throw 2 of 2
4:38.0,D. Lillard makes 3-pt shot from 27 ft,3,45-42,,
4:24.0,,,45-42,,Turnover by T. Snell (traveling)
4:12.0,D. Lillard misses 3-pt shot from 28 ft,,45-42,,
4:09.0,,,45-42,,Defensive rebound by K. Middleton
4:02.0,,,45-44,2,K. Middleton makes 2-pt shot from 15 ft
3:49.0,C. McCollum misses 2-pt shot from 18 ft,,45-44,,
3:47.0,,,45-44,,Defensive rebound by J. Henson
3:37.0,,,45-47,3,T. Snell makes 3-pt shot from 22 ft (assist by K. Middleton)
3:06.0,J. Nurkic makes 2-pt shot from 20 ft (assist by E. Turner),2,47-47,,
2:52.0,,,47-49,2,J. Henson makes 2-pt shot from 15 ft (assist by M. Brogdon)
2:45.0,Turnover by D. Lillard (bad pass),,47-49,,
2:45.0,A. Aminu enters the game for E. Turner,,47-49,,
2:45.0,,,47-49,,T. Maker enters the game for J. Henson
2:45.0,,,47-49,,G. Antetokounmpo enters the game for K. Middleton
2:33.0,,,47-51,2,M. Brogdon makes 2-pt shot from 8 ft
2:22.0,Turnover by D. Lillard (lost ball; steal by M. Brogdon),,47-51,,
2:19.0,,,47-51,,M. Brogdon misses 2-pt shot from 2 ft (block by J. Nurkic)
2:19.0,,,47-51,,Offensive rebound by Team
2:19.0,Violation by J. Nurkic (def goaltending),,47-51,,
2:19.0,Personal foul by M. Harkless (drawn by T. Maker),,47-51,,
2:19.0,,,47-52,1,T. Maker makes free throw 1 of 2
2:19.0,,,47-52,,T. Maker misses free throw 2 of 2
2:10.0,,,47-54,2,M. Brogdon makes 2-pt shot from 1 ft
2:10.0,Portland full timeout,,47-54,,
1:54.0,A. Aminu misses 3-pt shot from 22 ft,,47-54,,
1:50.0,,,47-54,,Defensive rebound by M. Teletovic
1:40.0,,,47-56,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon)
1:29.0,Shooting foul by M. Teletovic (drawn by C. McCollum),,47-56,,
1:29.0,C. McCollum makes free throw 1 of 2,1,48-56,,
1:29.0,C. McCollum makes free throw 2 of 2,1,49-56,,
1:12.0,,,49-56,,Turnover by T. Maker (bad pass; steal by M. Harkless)
1:12.0,Shooting foul by G. Antetokounmpo (drawn by M. Harkless),,49-56,,
1:12.0,M. Harkless misses free throw 1 of 2,,49-56,,
1:12.0,Offensive rebound by Team,,49-56,,
1:12.0,M. Harkless makes free throw 2 of 2,1,50-56,,
0:58.0,,,50-58,2,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by T. Snell)
0:46.0,M. Harkless makes 3-pt shot from 27 ft (assist by C. McCollum),3,53-58,,
0:37.0,,,53-58,,M. Brogdon misses 2-pt shot from 2 ft (block by J. Nurkic)
0:34.0,Defensive rebound by A. Aminu,,53-58,,
0:28.0,C. McCollum misses 2-pt shot from 1 ft,,53-58,,
0:28.0,Offensive rebound by J. Nurkic,,53-58,,
0:26.0,J. Nurkic makes 2-pt shot from 1 ft,2,55-58,,
0:03.0,,,55-60,2,G. Antetokounmpo makes 2-pt shot from 9 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,D. Lillard misses 2-pt shot from 20 ft,,55-60,,
11:35.0,Offensive rebound by Team,,55-60,,
11:35.0,,,55-60,,Personal foul by T. Maker (drawn by J. Nurkic)
11:26.0,M. Harkless misses 2-pt shot from 1 ft,,55-60,,
11:26.0,,,55-60,,Defensive rebound by T. Maker
11:17.0,,,55-60,,K. Middleton misses 2-pt shot from 8 ft
11:15.0,Defensive rebound by J. Nurkic,,55-60,,
11:07.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu),3,58-60,,
10:42.0,,,58-60,,Turnover by G. Antetokounmpo (bad pass; steal by D. Lillard)
10:34.0,Shooting foul by T. Maker (drawn by C. McCollum),,58-60,,
10:34.0,C. McCollum makes free throw 1 of 2,1,59-60,,
10:34.0,C. McCollum makes free throw 2 of 2,1,60-60,,
10:25.0,,,60-63,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:04.0,M. Harkless makes 3-pt shot from 25 ft (assist by J. Nurkic),3,63-63,,
9:41.0,,,63-63,,T. Maker misses 3-pt shot from 27 ft
9:38.0,Defensive rebound by A. Aminu,,63-63,,
9:29.0,D. Lillard misses 2-pt shot from 3 ft,,63-63,,
9:26.0,Offensive rebound by A. Aminu,,63-63,,
9:11.0,A. Aminu misses 2-pt shot from 3 ft,,63-63,,
9:11.0,,,63-63,,Defensive rebound by K. Middleton
9:11.0,,,63-63,,Turnover by T. Maker (bad pass; steal by M. Harkless)
9:11.0,,,63-63,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by A. Aminu,,63-63,,
9:07.0,,,63-63,,Personal foul by T. Maker (drawn by J. Nurkic)
8:56.0,C. McCollum misses 3-pt shot from 26 ft,,63-63,,
8:52.0,,,63-63,,Defensive rebound by K. Middleton
8:45.0,,,63-65,2,K. Middleton makes 2-pt shot from 10 ft
8:26.0,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic),2,65-65,,
8:12.0,,,65-65,,M. Brogdon misses 2-pt shot from 4 ft
8:12.0,,,65-65,,Offensive rebound by Team
8:09.0,,,65-65,,G. Antetokounmpo misses 3-pt shot from 27 ft
8:06.0,Defensive rebound by J. Nurkic,,65-65,,
8:01.0,,,65-65,,Personal foul by M. Brogdon (drawn by D. Lillard)
8:01.0,,,65-65,,D. Liggins enters the game for T. Maker
8:01.0,,,65-65,,J. Henson enters the game for T. Snell
7:52.0,J. Nurkic makes 2-pt shot from 16 ft (assist by D. Lillard),2,67-65,,
7:33.0,,,67-67,2,M. Brogdon makes 2-pt shot from 14 ft
7:11.0,M. Harkless misses 3-pt shot from 24 ft,,67-67,,
7:09.0,,,67-67,,Defensive rebound by G. Antetokounmpo
6:57.0,,,67-67,,Shooting foul by D. Lillard (drawn by M. Brogdon)
6:57.0,,,67-67,,Milwaukee full timeout
6:57.0,,,67-67,,M. Teletovic enters the game for G. Antetokounmpo
6:57.0,,,67-68,1,M. Brogdon makes free throw 1 of 2
6:57.0,,,67-68,,M. Brogdon misses free throw 2 of 2
6:53.0,Defensive rebound by J. Nurkic,,67-68,,
6:31.0,M. Harkless misses 3-pt shot from 24 ft,,67-68,,
6:28.0,,,67-68,,Defensive rebound by M. Teletovic
6:22.0,Personal foul by D. Lillard (drawn by K. Middleton),,67-68,,
6:22.0,P. Connaughton enters the game for D. Lillard,,67-68,,
6:19.0,,,67-68,,Turnover by K. Middleton (bad pass; steal by C. McCollum)
6:08.0,Offensive charge foul by P. Connaughton (drawn by K. Middleton),,67-68,,
6:08.0,Turnover by P. Connaughton (offensive foul),,67-68,,
5:51.0,,,67-68,,Turnover by M. Brogdon (bad pass; steal by M. Harkless)
5:35.0,C. McCollum misses 2-pt shot from 3 ft (block by M. Teletovic),,67-68,,
5:35.0,Offensive rebound by Team,,67-68,,
5:35.0,,,67-68,,M. Dellavedova enters the game for M. Brogdon
5:35.0,E. Turner enters the game for M. Harkless,,67-68,,
5:33.0,,,67-68,,Personal foul by J. Henson (drawn by J. Nurkic)
5:33.0,J. Nurkic misses free throw 1 of 2,,67-68,,
5:33.0,Offensive rebound by Team,,67-68,,
5:33.0,J. Nurkic makes free throw 2 of 2,1,68-68,,
5:26.0,Personal foul by E. Turner (drawn by K. Middleton),,68-68,,
5:18.0,,,68-71,3,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova)
4:54.0,A. Aminu misses 2-pt shot from 2 ft,,68-71,,
4:54.0,,,68-71,,Defensive rebound by Team
4:46.0,,,68-71,,K. Middleton misses 2-pt shot from 17 ft
4:46.0,Defensive rebound by Team,,68-71,,
4:46.0,,,68-71,,Loose ball foul by J. Henson (drawn by J. Nurkic)
4:46.0,J. Nurkic makes free throw 1 of 2,1,69-71,,
4:46.0,J. Nurkic makes free throw 2 of 2,1,70-71,,
4:23.0,,,70-73,2,J. Henson makes 2-pt shot from 4 ft (assist by M. Dellavedova)
4:02.0,A. Aminu makes 3-pt shot from 26 ft (assist by E. Turner),3,73-73,,
3:44.0,,,73-73,,Shooting foul by C. McCollum (drawn by J. Henson)
3:44.0,,,73-73,,J. Henson misses free throw 1 of 2
3:44.0,,,73-73,,Offensive rebound by Team
3:44.0,,,73-74,1,J. Henson makes free throw 2 of 2
3:26.0,P. Connaughton misses 3-pt shot from 26 ft,,73-74,,
3:23.0,Offensive rebound by J. Nurkic,,73-74,,
3:20.0,J. Nurkic misses 2-pt shot at rim,,73-74,,
3:20.0,Offensive rebound by J. Nurkic,,73-74,,
3:20.0,J. Nurkic makes 2-pt shot at rim,2,75-74,,
3:08.0,,,75-74,,M. Teletovic misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by C. McCollum,,75-74,,
2:54.0,C. McCollum makes 2-pt shot from 12 ft,2,77-74,,
2:44.0,,,77-76,2,M. Dellavedova makes 2-pt shot from 5 ft
2:39.0,Portland full timeout,,77-76,,
2:39.0,,,77-76,,G. Antetokounmpo enters the game for K. Middleton
2:39.0,E. Davis enters the game for J. Nurkic,,77-76,,
2:26.0,C. McCollum makes 2-pt shot from 16 ft (assist by E. Turner),2,79-76,,
2:09.0,,,79-76,,M. Dellavedova misses 3-pt shot from 27 ft
2:06.0,,,79-76,,Offensive rebound by J. Henson
1:57.0,,,79-78,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
1:27.0,Turnover by P. Connaughton (bad pass; steal by M. Teletovic),,79-78,,
1:25.0,Personal foul by E. Turner (drawn by G. Antetokounmpo),,79-78,,
1:25.0,,,79-78,,G. Antetokounmpo misses free throw 1 of 2
1:25.0,,,79-78,,Offensive rebound by Team
1:25.0,M. Harkless enters the game for P. Connaughton,,79-78,,
1:25.0,S. Napier enters the game for A. Aminu,,79-78,,
1:25.0,,,79-79,1,G. Antetokounmpo makes free throw 2 of 2
1:10.0,C. McCollum misses 3-pt shot from 28 ft,,79-79,,
1:07.0,,,79-79,,Defensive rebound by J. Henson
0:56.0,,,79-81,2,G. Antetokounmpo makes 2-pt shot from 13 ft
0:56.0,,,79-81,,Shooting foul by E. Turner (drawn by G. Antetokounmpo)
0:56.0,D. Lillard enters the game for C. McCollum,,79-81,,
0:56.0,,,79-82,1,G. Antetokounmpo makes free throw 1 of 1
0:40.0,Offensive charge foul by M. Harkless (drawn by D. Liggins),,79-82,,
0:40.0,Turnover by M. Harkless (offensive foul),,79-82,,
0:40.0,P. Connaughton enters the game for D. Lillard,,79-82,,
0:32.0,,,79-84,2,G. Antetokounmpo makes 2-pt shot from 7 ft
0:15.0,E. Turner misses 3-pt shot from 28 ft,,79-84,,
0:10.0,Offensive rebound by E. Davis,,79-84,,
0:00.0,E. Turner misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,79-84,,
0:00.0,Offensive rebound by S. Napier,,79-84,,
0:00.0,Shooting foul by D. Liggins (drawn by S. Napier),,79-84,,
0:00.0,S. Napier misses free throw 1 of 2,,79-84,,
0:00.0,Offensive rebound by Team,,79-84,,
0:00.0,S. Napier makes free throw 2 of 2,1,80-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,80-86,2,T. Snell makes 2-pt shot from 1 ft (assist by T. Maker)
11:25.0,D. Lillard misses 2-pt shot from 4 ft (block by T. Maker),,80-86,,
11:21.0,,,80-86,,Defensive rebound by K. Middleton
11:13.0,,,80-86,,T. Maker misses 2-pt shot from 3 ft (block by E. Davis)
11:09.0,Defensive rebound by E. Davis,,80-86,,
11:03.0,D. Lillard makes 2-pt shot from 1 ft,2,82-86,,
10:47.0,,,82-88,2,G. Antetokounmpo makes 2-pt shot from 2 ft
10:26.0,,,82-88,,Personal foul by T. Maker (drawn by S. Napier)
10:10.0,S. Napier makes 2-pt shot from 19 ft,2,84-88,,
9:57.0,,,84-88,,T. Maker misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by E. Davis,,84-88,,
9:53.0,Shooting foul by T. Snell (drawn by D. Lillard),,84-88,,
9:53.0,D. Lillard makes free throw 1 of 2,1,85-88,,
9:53.0,D. Lillard misses free throw 2 of 2,,85-88,,
9:50.0,,,85-88,,Defensive rebound by G. Antetokounmpo
9:32.0,,,85-91,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by M. Dellavedova)
9:08.0,S. Napier misses 3-pt shot from 26 ft,,85-91,,
9:06.0,Offensive rebound by Team,,85-91,,
8:54.0,M. Harkless misses 2-pt shot from 2 ft,,85-91,,
8:54.0,Offensive rebound by E. Davis,,85-91,,
8:51.0,E. Davis makes 2-pt shot at rim,2,87-91,,
8:36.0,,,87-91,,Shooting foul by E. Davis (drawn by T. Maker)
8:36.0,,,87-92,1,T. Maker makes free throw 1 of 2
8:36.0,,,87-93,1,T. Maker makes free throw 2 of 2
8:14.0,Shooting foul by K. Middleton (drawn by D. Lillard),,87-93,,
8:14.0,D. Lillard makes free throw 1 of 2,1,88-93,,
8:14.0,D. Lillard makes free throw 2 of 2,1,89-93,,
8:00.0,,,89-93,,Turnover by M. Dellavedova (bad pass; steal by D. Lillard)
7:53.0,D. Lillard makes 2-pt shot at rim,2,91-93,,
7:36.0,,,91-95,2,T. Snell makes 2-pt shot from 5 ft
7:18.0,Shooting foul by G. Antetokounmpo (drawn by E. Davis),,91-95,,
7:18.0,E. Davis makes free throw 1 of 2,1,92-95,,
7:18.0,,,92-95,,M. Brogdon enters the game for M. Dellavedova
7:18.0,A. Aminu enters the game for M. Harkless,,92-95,,
7:18.0,C. McCollum enters the game for S. Napier,,92-95,,
7:18.0,E. Davis makes free throw 2 of 2,1,93-95,,
6:56.0,,,93-95,,M. Brogdon misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by E. Davis,,93-95,,
6:49.0,,,93-95,,Personal foul by K. Middleton (drawn by D. Lillard)
6:49.0,,,93-95,,Milwaukee full timeout
6:49.0,,,93-95,,J. Henson enters the game for T. Maker
6:49.0,,,93-95,,D. Liggins enters the game for K. Middleton
6:49.0,J. Nurkic enters the game for E. Davis,,93-95,,
6:49.0,D. Lillard makes free throw 1 of 2,1,94-95,,
6:49.0,D. Lillard makes free throw 2 of 2,1,95-95,,
6:31.0,,,95-97,2,M. Brogdon makes 2-pt shot from 19 ft
6:13.0,Turnover by D. Lillard (bad pass; steal by M. Brogdon),,95-97,,
6:08.0,,,95-97,,M. Brogdon misses 2-pt shot from 2 ft
6:03.0,,,95-97,,Offensive rebound by G. Antetokounmpo
6:03.0,,,95-99,2,G. Antetokounmpo makes 2-pt shot at rim
5:54.0,C. McCollum makes 2-pt shot from 19 ft (assist by E. Turner),2,97-99,,
5:29.0,,,97-101,2,G. Antetokounmpo makes 2-pt shot from 9 ft
5:22.0,,,97-101,,Personal foul by M. Brogdon (drawn by E. Turner)
5:22.0,E. Turner makes free throw 1 of 2,1,98-101,,
5:22.0,E. Turner makes free throw 2 of 2,1,99-101,,
5:16.0,Personal foul by C. McCollum (drawn by M. Brogdon),,99-101,,
5:16.0,M. Harkless enters the game for A. Aminu,,99-101,,
5:13.0,,,99-101,,G. Antetokounmpo misses 3-pt shot from 27 ft
