time,Milwaukee,pts.away,score,pts.home,Phoenix
6:21.0,M. Brogdon misses 3-pt shot from 25 ft,,38-30,,
6:18.0,,,38-30,,Defensive rebound by T. Chandler
6:00.0,,,38-30,,Turnover by J. Jackson (out of bounds lost ball)
5:44.0,E. Bledsoe makes 2-pt shot from 10 ft,2,40-30,,
5:44.0,Shooting foul by D. Booker (drawn by E. Bledsoe),,40-30,,
5:44.0,E. Bledsoe misses free throw 1 of 1,,40-30,,
5:44.0,,,40-30,,Defensive rebound by Team
5:44.0,Violation by E. Bledsoe (lane),,40-30,,
5:29.0,,,40-30,,Shooting foul by T. Maker (drawn by T. Warren)
5:29.0,,,40-31,1,T. Warren makes free throw 1 of 2
5:29.0,K. Middleton enters the game for S. Brown,,40-31,,
5:29.0,,,40-32,1,T. Warren makes free throw 2 of 2
5:07.0,G. Payton makes 3-pt shot from 25 ft (assist by K. Middleton),3,43-32,,
5:02.0,Personal foul by G. Payton (drawn by D. Booker),,43-32,,
4:56.0,,,43-32,,Shooting foul by G. Payton (drawn by D. Booker)
4:56.0,,,43-33,1,D. Booker makes free throw 1 of 2
4:56.0,,,43-34,1,D. Booker makes free throw 2 of 2
4:35.0,Shooting foul by J. Jackson (drawn by K. Middleton),,43-34,,
4:35.0,K. Middleton misses free throw 1 of 3,,43-34,,
4:35.0,Offensive rebound by Team,,43-34,,
4:35.0,K. Middleton makes free throw 2 of 3,1,44-34,,
4:35.0,K. Middleton makes free throw 3 of 3,1,45-34,,
4:30.0,,,45-36,2,D. Booker makes 2-pt shot from 18 ft
4:20.0,,,45-36,,Violation by T. Warren (kicked ball)
4:09.0,T. Maker misses 2-pt shot from 20 ft,,45-36,,
4:06.0,,,45-36,,Defensive rebound by T. Chandler
3:57.0,,,45-36,,D. Booker misses 2-pt shot from 13 ft
3:52.0,,,45-36,,Offensive rebound by T. Chandler
3:52.0,,,45-36,,T. Chandler misses 2-pt shot at rim
3:52.0,,,45-36,,Offensive rebound by T. Chandler
3:48.0,,,45-36,,Turnover by J. Jackson (bad pass; steal by K. Middleton)
3:40.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Payton),3,48-36,,
3:25.0,,,48-36,,D. Booker misses 2-pt shot at rim (block by T. Maker)
3:18.0,,,48-36,,Offensive rebound by J. Jackson
3:18.0,,,48-38,2,J. Jackson makes 2-pt shot at rim
3:02.0,Turnover by M. Brogdon (out of bounds lost ball),,48-38,,
3:02.0,,,48-38,,G. Monroe enters the game for T. Chandler
2:48.0,,,48-38,,G. Monroe misses 2-pt shot from 9 ft
2:45.0,,,48-38,,Offensive rebound by T. Warren
2:45.0,,,48-38,,T. Warren misses 2-pt shot at rim
2:45.0,,,48-38,,Offensive rebound by J. Jackson
2:45.0,,,48-38,,Shooting foul by M. Brogdon (drawn by J. Jackson)
2:45.0,Milwaukee full timeout,,48-38,,
2:45.0,,,48-38,,J. Jackson misses free throw 1 of 2
2:45.0,,,48-38,,Offensive rebound by Team
2:45.0,,,48-39,1,J. Jackson makes free throw 2 of 2
2:33.0,E. Bledsoe makes 2-pt shot from 14 ft,2,50-39,,
2:17.0,,,50-41,2,D. Booker makes 2-pt shot from 15 ft
2:17.0,,,50-41,,Shooting foul by G. Payton (drawn by D. Booker)
2:17.0,T. Snell enters the game for G. Payton,,50-41,,
2:17.0,,,50-42,1,D. Booker makes free throw 1 of 1
1:57.0,M. Brogdon misses 3-pt shot from 25 ft,,50-42,,
1:52.0,,,50-42,,Defensive rebound by D. Booker
1:42.0,,,50-42,,Turnover by G. Monroe (traveling)
1:18.0,K. Middleton misses 3-pt shot from 25 ft,,50-42,,
1:16.0,,,50-42,,Defensive rebound by J. Jackson
1:07.0,,,50-42,,J. Jackson misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by T. Snell,,50-42,,
0:50.0,K. Middleton makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,53-42,,
0:27.0,,,53-42,,T. Ulis misses 2-pt shot from 11 ft
0:22.0,,,53-42,,Offensive rebound by G. Monroe
0:22.0,,,53-44,2,G. Monroe makes 2-pt shot at rim
0:04.0,Shooting foul by G. Monroe (drawn by E. Bledsoe),,53-44,,
0:04.0,E. Bledsoe makes free throw 1 of 2,1,54-44,,
0:04.0,E. Bledsoe misses free throw 2 of 2,,54-44,,
0:04.0,,,54-44,,Defensive rebound by Team
0:00.0,,,54-44,,T. Warren misses 2-pt shot from 15 ft
0:00.0,,,54-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,K. Middleton misses 2-pt shot from 19 ft,,54-44,,
11:45.0,,,54-44,,Defensive rebound by T. Chandler
11:35.0,,,54-44,,Turnover by T. Ulis (bad pass; steal by K. Middleton)
11:32.0,E. Bledsoe misses 2-pt shot from 1 ft,,54-44,,
11:29.0,Offensive rebound by K. Middleton,,54-44,,
11:28.0,K. Middleton makes 2-pt shot at rim,2,56-44,,
11:05.0,,,56-44,,Turnover by M. Chriss (bad pass)
11:05.0,D. Liggins enters the game for G. Payton,,56-44,,
10:45.0,K. Middleton makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,59-44,,
10:33.0,,,59-44,,D. Booker misses 2-pt shot at rim
10:28.0,,,59-44,,Offensive rebound by T. Chandler
10:28.0,,,59-46,2,T. Chandler makes 2-pt shot at rim
10:19.0,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Ulis),,59-46,,
10:17.0,Offensive rebound by E. Bledsoe,,59-46,,
10:15.0,E. Bledsoe misses 2-pt shot from 12 ft,,59-46,,
10:13.0,,,59-46,,Defensive rebound by M. Chriss
10:05.0,,,59-46,,T. Warren misses 2-pt shot from 17 ft
10:02.0,Defensive rebound by T. Maker,,59-46,,
9:50.0,T. Maker misses 2-pt shot from 20 ft,,59-46,,
9:47.0,,,59-46,,Defensive rebound by T. Ulis
9:41.0,,,59-48,2,T. Chandler makes 2-pt shot at rim (assist by T. Ulis)
9:18.0,M. Brogdon makes 2-pt shot from 1 ft,2,61-48,,
9:18.0,Shooting foul by M. Chriss (drawn by M. Brogdon),,61-48,,
9:18.0,,,61-48,,D. Bender enters the game for M. Chriss
9:18.0,M. Brogdon makes free throw 1 of 1,1,62-48,,
9:10.0,,,62-48,,T. Warren misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by T. Maker,,62-48,,
8:52.0,K. Middleton misses 3-pt shot from 24 ft,,62-48,,
8:49.0,,,62-48,,Defensive rebound by D. Bender
8:48.0,,,62-50,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
8:48.0,,,62-50,,Shooting foul by D. Liggins (drawn by T. Warren)
8:48.0,,,62-51,1,T. Warren makes free throw 1 of 1
8:37.0,M. Brogdon makes 2-pt shot from 1 ft (assist by T. Maker),2,64-51,,
8:25.0,Personal foul by E. Bledsoe (drawn by D. Booker),,64-51,,
8:25.0,,,64-51,,J. Jackson enters the game for T. Warren
8:21.0,,,64-51,,Shooting foul by T. Maker (drawn by T. Ulis)
8:21.0,,,64-52,1,T. Ulis makes free throw 1 of 2
8:21.0,,,64-53,1,T. Ulis makes free throw 2 of 2
8:08.0,D. Liggins misses 3-pt shot from 23 ft,,64-53,,
8:04.0,,,64-53,,Defensive rebound by T. Chandler
8:01.0,Personal foul by T. Maker (drawn by D. Booker),,64-53,,
7:51.0,,,64-53,,D. Booker misses 2-pt shot from 11 ft
7:51.0,,,64-53,,Offensive rebound by Team
7:51.0,Personal foul by M. Brogdon (drawn by T. Chandler),,64-53,,
7:51.0,,,64-53,,T. Chandler misses free throw 1 of 2
7:51.0,,,64-53,,Offensive rebound by Team
7:51.0,,,64-54,1,T. Chandler makes free throw 2 of 2
7:43.0,Turnover by T. Maker (bad pass),,64-54,,
7:31.0,,,64-57,3,D. Booker makes 3-pt shot from 25 ft (assist by T. Chandler)
7:27.0,Milwaukee full timeout,,64-57,,
7:12.0,K. Middleton misses 2-pt shot from 1 ft (block by T. Chandler),,64-57,,
7:11.0,,,64-57,,Defensive rebound by Team
6:58.0,,,64-59,2,J. Jackson makes 2-pt shot from 9 ft (assist by D. Booker)
6:37.0,Shooting foul by J. Jackson (drawn by E. Bledsoe),,64-59,,
6:37.0,E. Bledsoe misses free throw 1 of 2,,64-59,,
6:37.0,Offensive rebound by Team,,64-59,,
6:37.0,T. Snell enters the game for M. Brogdon,,64-59,,
6:37.0,E. Bledsoe makes free throw 2 of 2,1,65-59,,
6:14.0,,,65-61,2,T. Ulis makes 2-pt shot from 14 ft
6:13.0,,,65-61,,Loose ball foul by J. Jackson (drawn by K. Middleton)
5:56.0,Turnover by E. Bledsoe (lost ball; steal by D. Bender),,65-61,,
5:50.0,,,65-63,2,D. Booker makes 2-pt shot at rim
5:28.0,T. Maker makes 2-pt shot from 21 ft (assist by E. Bledsoe),2,67-63,,
5:21.0,,,67-63,,Shooting foul by T. Maker (drawn by T. Chandler)
5:21.0,,,67-64,1,T. Chandler makes free throw 1 of 2
5:21.0,J. Bolomboy enters the game for T. Maker,,67-64,,
5:21.0,,,67-64,,T. Chandler misses free throw 2 of 2
5:19.0,Defensive rebound by J. Bolomboy,,67-64,,
5:06.0,K. Middleton misses 2-pt shot from 12 ft,,67-64,,
5:06.0,,,67-64,,Defensive rebound by Team
4:52.0,,,67-67,3,D. Bender makes 3-pt shot from 22 ft (assist by D. Booker)
4:41.0,E. Bledsoe makes 2-pt shot from 7 ft,2,69-67,,
4:32.0,,,69-67,,D. Booker misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by Team,,69-67,,
4:29.0,,,69-67,,Loose ball foul by T. Chandler (drawn by T. Snell)
4:29.0,,,69-67,,G. Monroe enters the game for T. Chandler
4:15.0,E. Bledsoe misses 2-pt shot from 14 ft,,69-67,,
4:12.0,,,69-67,,Defensive rebound by J. Jackson
4:03.0,,,69-70,3,D. Bender makes 3-pt shot from 22 ft (assist by T. Ulis)
3:43.0,K. Middleton makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,71-70,,
3:36.0,,,71-70,,Offensive foul by D. Booker (drawn by D. Liggins)
3:36.0,,,71-70,,Turnover by D. Booker (offensive foul)
3:36.0,,,71-70,,T. Warren enters the game for T. Ulis
3:26.0,E. Bledsoe makes 2-pt shot from 8 ft,2,73-70,,
3:19.0,,,73-70,,Offensive foul by D. Booker
3:19.0,,,73-70,,Turnover by D. Booker (offensive foul)
3:19.0,,,73-70,,Technical foul by D. Booker
3:19.0,,,73-70,,M. James enters the game for D. Booker
3:19.0,K. Middleton misses technical free throw,,73-70,,
3:19.0,Offensive rebound by Team,,73-70,,
2:59.0,K. Middleton makes 2-pt shot from 20 ft,2,75-70,,
2:56.0,Personal foul by D. Liggins (drawn by M. James),,75-70,,
2:56.0,,,75-70,,Phoenix full timeout
2:56.0,,,75-70,,T. Daniels enters the game for J. Jackson
2:56.0,,,75-70,,M. James misses free throw 1 of 2
2:56.0,,,75-70,,Offensive rebound by Team
2:56.0,,,75-71,1,M. James makes free throw 2 of 2
2:48.0,Turnover by E. Bledsoe (out of bounds lost ball),,75-71,,
2:28.0,,,75-73,2,G. Monroe makes 2-pt shot from 4 ft
2:04.0,J. Bolomboy misses 2-pt shot at rim (block by D. Bender),,75-73,,
2:02.0,,,75-73,,Defensive rebound by T. Warren
1:40.0,,,75-73,,T. Warren misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by D. Liggins,,75-73,,
1:31.0,E. Bledsoe makes 2-pt shot from 4 ft,2,77-73,,
1:20.0,M. Brogdon enters the game for E. Bledsoe,,77-73,,
1:14.0,,,77-73,,Turnover by T. Warren (bad pass; steal by D. Liggins)
1:04.0,K. Middleton makes 2-pt shot at rim,2,79-73,,
0:48.0,,,79-75,2,M. James makes 2-pt shot from 1 ft
0:36.0,K. Middleton makes 2-pt shot from 20 ft,2,81-75,,
0:29.0,,,81-75,,M. James misses 2-pt shot from 7 ft
0:27.0,Defensive rebound by K. Middleton,,81-75,,
0:07.0,M. Brogdon makes 3-pt shot from 25 ft (assist by K. Middleton),3,84-75,,
0:01.0,,,84-75,,T. Warren misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by M. Brogdon,,84-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,84-77,2,G. Monroe makes 2-pt shot from 5 ft
11:29.0,Turnover by K. Middleton (bad pass; steal by T. Warren),,84-77,,
11:15.0,,,84-77,,Shooting foul by J. Bolomboy (drawn by G. Monroe)
11:15.0,,,84-78,1,G. Monroe makes free throw 1 of 2
11:15.0,,,84-79,1,G. Monroe makes free throw 2 of 2
10:58.0,M. Brogdon misses 3-pt shot from 25 ft,,84-79,,
10:55.0,,,84-79,,Defensive rebound by D. Bender
10:41.0,,,84-82,3,D. Bender makes 3-pt shot from 26 ft (assist by T. Warren)
10:21.0,Turnover by J. Bolomboy (traveling),,84-82,,
10:09.0,,,84-82,,D. Bender misses 3-pt shot from 25 ft
10:06.0,,,84-82,,Offensive rebound by T. Warren
9:57.0,,,84-84,2,D. Bender makes 2-pt shot at rim (assist by G. Monroe)
9:38.0,M. Brogdon misses 2-pt shot from 5 ft,,84-84,,
9:32.0,,,84-84,,Defensive rebound by T. Daniels
9:29.0,,,84-84,,Turnover by M. James (bad pass; steal by D. Liggins)
9:25.0,K. Middleton misses 3-pt shot from 25 ft,,84-84,,
9:21.0,Offensive rebound by J. Bolomboy,,84-84,,
9:16.0,T. Snell misses 3-pt shot from 26 ft,,84-84,,
9:14.0,,,84-84,,Defensive rebound by Team
9:01.0,,,84-86,2,T. Warren makes 2-pt shot from 11 ft
9:01.0,Shooting block foul by T. Snell (drawn by T. Warren),,84-86,,
9:01.0,T. Maker enters the game for T. Snell,,84-86,,
9:01.0,E. Bledsoe enters the game for J. Bolomboy,,84-86,,
9:01.0,,,84-87,1,T. Warren makes free throw 1 of 1
8:37.0,E. Bledsoe misses 3-pt shot from 30 ft,,84-87,,
8:33.0,,,84-87,,Defensive rebound by D. Bender
8:18.0,,,84-87,,T. Warren misses 2-pt shot from 11 ft
8:12.0,,,84-87,,G. Monroe misses 2-pt shot at rim
8:12.0,,,84-87,,Offensive rebound by G. Monroe
8:12.0,,,84-87,,Offensive rebound by G. Monroe
8:12.0,,,84-87,,G. Monroe misses 2-pt shot at rim
8:12.0,,,84-87,,Offensive rebound by G. Monroe
8:10.0,,,84-87,,Turnover by G. Monroe (lost ball; steal by M. Brogdon)
8:06.0,M. Brogdon makes 2-pt shot at rim,2,86-87,,
7:47.0,,,86-87,,T. Daniels misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by Team,,86-87,,
7:32.0,T. Maker misses 2-pt shot from 8 ft,,86-87,,
7:29.0,,,86-87,,Defensive rebound by G. Monroe
7:21.0,,,86-87,,G. Monroe misses 2-pt shot from 1 ft
7:20.0,,,86-87,,Offensive rebound by G. Monroe
7:20.0,,,86-87,,G. Monroe misses 2-pt shot from 1 ft
7:20.0,,,86-87,,Offensive rebound by Team
7:20.0,,,86-87,,Shooting foul by T. Maker (drawn by G. Monroe)
7:20.0,,,86-88,1,G. Monroe makes free throw 1 of 2
7:20.0,,,86-89,1,G. Monroe makes free throw 2 of 2
7:05.0,M. Brogdon misses 2-pt shot from 3 ft,,86-89,,
7:02.0,,,86-89,,Defensive rebound by D. Bender
