time,LA Clippers,pts.away,score,pts.home,Atlanta
9:05.0,,,37-36,,J. Magette misses 2-pt shot from 20 ft
9:02.0,Defensive rebound by D. Jordan,,37-36,,
8:55.0,,,37-36,,Personal foul by M. Belinelli (drawn by D. Jordan)
8:55.0,,,37-36,,T. Waller-Prince enters the game for M. Belinelli
8:40.0,Turnover by Team (shot clock),,37-36,,
8:24.0,,,37-36,,D. Bembry misses 2-pt shot from 12 ft
8:21.0,Defensive rebound by J. Evans,,37-36,,
8:08.0,J. Evans misses 3-pt shot from 26 ft,,37-36,,
8:02.0,,,37-36,,Defensive rebound by J. Magette
7:44.0,,,37-36,,T. Waller-Prince misses 2-pt shot from 1 ft
7:44.0,,,37-36,,Offensive rebound by Team
7:44.0,,,37-36,,D. Schroder enters the game for J. Magette
7:44.0,A. Rivers enters the game for S. Thornwell,,37-36,,
7:44.0,B. Griffin enters the game for S. Dekker,,37-36,,
7:44.0,W. Johnson enters the game for L. Williams,,37-36,,
7:40.0,,,37-36,,D. Schroder misses 2-pt shot from 2 ft
7:38.0,,,37-36,,Offensive rebound by D. Dedmon
7:36.0,,,37-39,3,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Dedmon)
7:16.0,Shooting foul by K. Bazemore (drawn by B. Griffin),,37-39,,
7:16.0,B. Griffin misses free throw 1 of 2,,37-39,,
7:16.0,Offensive rebound by Team,,37-39,,
7:16.0,B. Griffin makes free throw 2 of 2,1,38-39,,
7:11.0,Personal foul by J. Evans (drawn by K. Bazemore),,38-39,,
7:02.0,,,38-39,,D. Schroder misses 3-pt shot from 24 ft
6:58.0,,,38-39,,Offensive rebound by D. Dedmon
6:51.0,,,38-42,3,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
6:28.0,B. Griffin misses 3-pt shot from 25 ft,,38-42,,
6:24.0,,,38-42,,Defensive rebound by D. Schroder
6:22.0,,,38-42,,Shooting foul by W. Johnson (drawn by D. Schroder)
6:22.0,,,38-43,1,D. Schroder makes free throw 1 of 2
6:22.0,C. Williams enters the game for J. Evans,,38-43,,
6:22.0,,,38-44,1,D. Schroder makes free throw 2 of 2
6:06.0,W. Johnson makes 2-pt shot from 19 ft (assist by C. Williams),2,40-44,,
5:55.0,,,40-44,,T. Waller-Prince misses 2-pt shot from 7 ft
5:51.0,Defensive rebound by B. Griffin,,40-44,,
5:35.0,Shooting foul by D. Dedmon (drawn by A. Rivers),,40-44,,
5:35.0,A. Rivers makes free throw 1 of 2,1,41-44,,
5:35.0,A. Rivers misses free throw 2 of 2,,41-44,,
5:33.0,,,41-44,,Defensive rebound by K. Bazemore
5:15.0,,,41-44,,D. Schroder misses 2-pt shot from 1 ft (block by D. Jordan)
5:14.0,Defensive rebound by Team,,41-44,,
5:14.0,,,41-44,,J. Collins enters the game for D. Bembry
4:59.0,A. Rivers misses 3-pt shot from 24 ft,,41-44,,
4:55.0,Offensive rebound by B. Griffin,,41-44,,
4:51.0,C. Williams misses 2-pt shot from 12 ft,,41-44,,
4:50.0,Offensive rebound by Team,,41-44,,
4:44.0,A. Rivers makes 2-pt shot from 5 ft,2,43-44,,
4:44.0,Shooting foul by J. Collins (drawn by A. Rivers),,43-44,,
4:44.0,A. Rivers misses free throw 1 of 1,,43-44,,
4:41.0,Offensive rebound by B. Griffin,,43-44,,
4:35.0,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin),2,45-44,,
4:34.0,,,45-44,,Atlanta full timeout
4:34.0,,,45-44,,M. Belinelli enters the game for D. Dedmon
4:34.0,,,45-44,,T. Cavanaugh enters the game for K. Bazemore
4:22.0,,,45-46,2,T. Waller-Prince makes 2-pt shot from 5 ft
4:06.0,Turnover by C. Williams (traveling),,45-46,,
3:59.0,,,45-48,2,M. Belinelli makes 2-pt shot from 19 ft (assist by D. Schroder)
3:59.0,,,45-48,,Shooting foul by D. Jordan (drawn by M. Belinelli)
3:59.0,LA Clippers full timeout,,45-48,,
3:59.0,L. Williams enters the game for C. Williams,,45-48,,
3:59.0,,,45-49,1,M. Belinelli makes free throw 1 of 1
3:40.0,B. Griffin misses 2-pt shot from 1 ft,,45-49,,
3:40.0,,,45-49,,Defensive rebound by T. Waller-Prince
3:32.0,,,45-51,2,D. Schroder makes 2-pt shot from 13 ft
3:20.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,47-51,,
3:09.0,,,47-53,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
2:53.0,L. Williams makes 3-pt shot from 25 ft (assist by B. Griffin),3,50-53,,
2:39.0,,,50-53,,Turnover by D. Schroder (bad pass; steal by A. Rivers)
2:37.0,Turnover by B. Griffin (lost ball; steal by M. Belinelli),,50-53,,
2:31.0,,,50-55,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Belinelli)
2:08.0,B. Griffin misses 2-pt shot from 3 ft,,50-55,,
2:07.0,Offensive rebound by Team,,50-55,,
1:59.0,B. Griffin makes 3-pt shot from 24 ft (assist by W. Johnson),3,53-55,,
1:45.0,,,53-55,,T. Waller-Prince misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by D. Jordan,,53-55,,
1:34.0,Shooting foul by T. Cavanaugh (drawn by B. Griffin),,53-55,,
1:34.0,B. Griffin misses free throw 1 of 2,,53-55,,
1:34.0,Offensive rebound by Team,,53-55,,
1:34.0,B. Griffin makes free throw 2 of 2,1,54-55,,
1:24.0,,,54-57,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
1:06.0,B. Griffin makes 2-pt shot from 5 ft (assist by A. Rivers),2,56-57,,
0:52.0,,,56-59,2,T. Cavanaugh makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
0:37.0,W. Johnson makes 3-pt shot from 23 ft (assist by L. Williams),3,59-59,,
0:32.0,,,59-61,2,D. Schroder makes 2-pt shot from 19 ft
0:26.0,W. Johnson makes 3-pt shot from 23 ft (assist by L. Williams),3,62-61,,
0:06.0,,,62-61,,D. Schroder misses 3-pt shot from 25 ft
0:04.0,,,62-61,,Offensive rebound by J. Collins
0:04.0,,,62-63,2,J. Collins makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,62-63,,D. Schroder misses 2-pt shot from 3 ft
11:38.0,,,62-63,,Offensive rebound by J. Collins
11:38.0,,,62-65,2,J. Collins makes 2-pt shot at rim
11:25.0,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams),2,64-65,,
11:09.0,,,64-65,,M. Delaney enters the game for T. Waller-Prince
11:01.0,,,64-65,,K. Bazemore misses 2-pt shot from 23 ft
10:58.0,Defensive rebound by D. Jordan,,64-65,,
10:43.0,W. Johnson makes 3-pt shot from 22 ft (assist by B. Griffin),3,67-65,,
10:41.0,,,67-65,,Atlanta full timeout
10:29.0,,,67-65,,Shooting foul by D. Jordan (drawn by D. Dedmon)
10:29.0,,,67-65,,D. Dedmon misses free throw 1 of 2
10:29.0,,,67-65,,Offensive rebound by Team
10:29.0,,,67-65,,D. Dedmon misses free throw 2 of 2
10:27.0,Defensive rebound by D. Jordan,,67-65,,
10:09.0,B. Griffin misses 2-pt shot from 17 ft,,67-65,,
10:05.0,,,67-65,,Defensive rebound by M. Delaney
9:52.0,,,67-65,,M. Delaney misses 2-pt shot from 23 ft
9:49.0,,,67-65,,Offensive rebound by D. Dedmon
9:47.0,,,67-67,2,D. Dedmon makes 2-pt shot from 2 ft
9:40.0,L. Williams misses 2-pt shot from 1 ft,,67-67,,
9:40.0,,,67-67,,Defensive rebound by D. Dedmon
9:32.0,,,67-67,,M. Delaney misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by W. Johnson,,67-67,,
9:16.0,A. Rivers misses 3-pt shot from 22 ft,,67-67,,
9:13.0,,,67-67,,Defensive rebound by J. Collins
9:03.0,,,67-67,,Turnover by K. Bazemore (bad pass; steal by W. Johnson)
8:59.0,Turnover by L. Williams (lost ball; steal by K. Bazemore),,67-67,,
8:43.0,,,67-67,,D. Schroder misses 2-pt shot from 6 ft (block by W. Johnson)
8:39.0,,,67-67,,Offensive rebound by K. Bazemore
8:36.0,,,67-70,3,K. Bazemore makes 3-pt shot from 24 ft
8:24.0,B. Griffin makes 2-pt shot from 17 ft,2,69-70,,
8:07.0,,,69-73,3,D. Dedmon makes 3-pt shot from 24 ft (assist by M. Delaney)
8:02.0,Offensive charge foul by B. Griffin (drawn by M. Delaney),,69-73,,
8:02.0,Turnover by B. Griffin (offensive foul),,69-73,,
7:49.0,,,69-76,3,D. Schroder makes 3-pt shot from 25 ft
7:48.0,LA Clippers full timeout,,69-76,,
7:38.0,L. Williams makes 2-pt shot from 1 ft,2,71-76,,
7:11.0,,,71-76,,D. Schroder misses 2-pt shot from 13 ft
7:10.0,Defensive rebound by Team,,71-76,,
6:50.0,L. Williams misses 3-pt shot from 22 ft,,71-76,,
6:50.0,Offensive rebound by D. Jordan,,71-76,,
6:45.0,W. Johnson makes 3-pt shot from 26 ft (assist by B. Griffin),3,74-76,,
6:25.0,,,74-76,,Turnover by K. Bazemore (bad pass)
6:25.0,,,74-76,,M. Belinelli enters the game for J. Collins
6:25.0,,,74-76,,T. Cavanaugh enters the game for K. Bazemore
6:05.0,B. Griffin misses 3-pt shot from 25 ft,,74-76,,
6:03.0,,,74-76,,Defensive rebound by D. Schroder
5:50.0,,,74-76,,D. Schroder misses 2-pt shot from 3 ft (block by A. Rivers)
5:50.0,,,74-76,,Offensive rebound by Team
5:48.0,,,74-76,,D. Schroder misses 2-pt shot from 20 ft
5:44.0,Defensive rebound by D. Jordan,,74-76,,
5:42.0,B. Griffin makes 2-pt shot from 1 ft (assist by D. Jordan),2,76-76,,
5:31.0,Personal foul by W. Johnson (drawn by M. Belinelli),,76-76,,
5:25.0,,,76-78,2,D. Schroder makes 2-pt shot from 1 ft
5:13.0,,,76-78,,Personal foul by M. Delaney (drawn by L. Williams)
5:00.0,Turnover by B. Griffin (bad pass; steal by M. Belinelli),,76-78,,
4:51.0,,,76-78,,D. Schroder misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by Team,,76-78,,
4:49.0,,,76-78,,Loose ball foul by D. Dedmon (drawn by B. Griffin)
4:40.0,,,76-78,,Personal foul by D. Dedmon (drawn by B. Griffin)
4:40.0,,,76-78,,J. Collins enters the game for D. Dedmon
4:35.0,A. Rivers misses 2-pt shot from 9 ft,,76-78,,
4:29.0,Offensive rebound by D. Jordan,,76-78,,
4:29.0,D. Jordan makes 2-pt shot at rim,2,78-78,,
4:18.0,,,78-78,,D. Schroder misses 2-pt shot from 21 ft
4:15.0,Defensive rebound by D. Jordan,,78-78,,
4:11.0,Shooting foul by M. Delaney (drawn by L. Williams),,78-78,,
4:11.0,L. Williams makes free throw 1 of 2,1,79-78,,
4:11.0,,,79-78,,J. Magette enters the game for D. Schroder
4:11.0,J. Evans enters the game for A. Rivers,,79-78,,
4:11.0,L. Williams makes free throw 2 of 2,1,80-78,,
3:48.0,,,80-80,2,T. Cavanaugh makes 2-pt shot from 20 ft (assist by J. Magette)
3:39.0,,,80-80,,Personal foul by T. Cavanaugh (drawn by D. Jordan)
3:39.0,D. Jordan makes free throw 1 of 2,1,81-80,,
3:39.0,D. Jordan makes free throw 2 of 2,1,82-80,,
3:27.0,,,82-80,,M. Belinelli misses 3-pt shot from 24 ft
3:22.0,,,82-80,,Offensive rebound by J. Magette
3:17.0,,,82-80,,T. Cavanaugh misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by D. Jordan,,82-80,,
3:03.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Evans),2,84-80,,
2:44.0,,,84-82,2,T. Cavanaugh makes 2-pt shot from 14 ft (assist by M. Belinelli)
2:34.0,L. Williams makes 2-pt shot from 2 ft,2,86-82,,
2:10.0,,,86-82,,M. Delaney misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by D. Jordan,,86-82,,
2:01.0,L. Williams misses 2-pt shot from 8 ft,,86-82,,
1:57.0,,,86-82,,Defensive rebound by J. Collins
1:43.0,,,86-82,,J. Magette misses 2-pt shot from 12 ft
1:39.0,Defensive rebound by D. Jordan,,86-82,,
1:21.0,B. Griffin makes 2-pt shot from 4 ft,2,88-82,,
1:05.0,,,88-82,,Shooting foul by J. Evans (drawn by M. Belinelli)
1:05.0,,,88-83,1,M. Belinelli makes free throw 1 of 2
1:05.0,,,88-83,,T. Waller-Prince enters the game for M. Delaney
1:05.0,S. Dekker enters the game for D. Jordan,,88-83,,
1:05.0,C. Williams enters the game for B. Griffin,,88-83,,
1:05.0,W. Reed enters the game for W. Johnson,,88-83,,
1:05.0,,,88-84,1,M. Belinelli makes free throw 2 of 2
0:53.0,Turnover by L. Williams (bad pass; steal by J. Collins),,88-84,,
0:41.0,,,88-84,,Offensive charge foul by T. Waller-Prince (drawn by W. Reed)
0:41.0,,,88-84,,Turnover by T. Waller-Prince (offensive foul)
0:31.0,L. Williams misses 3-pt shot from 25 ft,,88-84,,
0:28.0,,,88-84,,Defensive rebound by M. Belinelli
0:15.0,,,88-84,,Turnover by T. Waller-Prince (out of bounds lost ball)
0:15.0,,,88-84,,K. Bazemore enters the game for T. Cavanaugh
0:15.0,B. Griffin enters the game for J. Evans,,88-84,,
0:15.0,A. Rivers enters the game for W. Reed,,88-84,,
0:06.0,L. Williams misses 3-pt shot from 24 ft,,88-84,,
0:03.0,,,88-84,,Defensive rebound by J. Magette
0:00.0,,,88-84,,M. Belinelli misses 3-pt shot from 25 ft
0:00.0,,,88-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,S. Dekker misses 3-pt shot from 25 ft,,88-84,,
11:38.0,,,88-84,,Defensive rebound by J. Collins
11:23.0,,,88-86,2,J. Magette makes 2-pt shot from 16 ft
11:02.0,A. Rivers makes 3-pt shot from 24 ft,3,91-86,,
10:36.0,,,91-86,,T. Waller-Prince misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by A. Rivers,,91-86,,
10:26.0,Offensive charge foul by J. Evans (drawn by T. Waller-Prince),,91-86,,
10:26.0,Turnover by J. Evans (offensive foul),,91-86,,
10:26.0,,,91-86,,D. Schroder enters the game for J. Magette
10:09.0,,,91-86,,K. Bazemore misses 3-pt shot from 23 ft
10:07.0,Defensive rebound by A. Rivers,,91-86,,
10:01.0,S. Dekker makes 2-pt shot from 1 ft (assist by A. Rivers),2,93-86,,
9:48.0,,,93-86,,Offensive foul by J. Collins (drawn by J. Evans)
9:48.0,,,93-86,,Turnover by J. Collins (offensive foul)
9:48.0,,,93-86,,D. Bembry enters the game for M. Belinelli
9:35.0,C. Williams makes 2-pt shot from 5 ft (assist by A. Rivers),2,95-86,,
9:10.0,,,95-86,,Offensive charge foul by K. Bazemore (drawn by W. Reed)
9:10.0,,,95-86,,Turnover by K. Bazemore (offensive foul)
9:10.0,,,95-86,,D. Dedmon enters the game for T. Waller-Prince
8:57.0,A. Rivers makes 2-pt shot from 7 ft,2,97-86,,
8:57.0,Shooting foul by J. Collins (drawn by A. Rivers),,97-86,,
8:57.0,,,97-86,,Atlanta full timeout
8:57.0,A. Rivers misses free throw 1 of 1,,97-86,,
8:55.0,,,97-86,,Defensive rebound by J. Collins
8:33.0,,,97-89,3,K. Bazemore makes 3-pt shot from 29 ft (assist by D. Bembry)
8:12.0,S. Dekker misses 2-pt shot from 5 ft,,97-89,,
8:09.0,Offensive rebound by S. Dekker,,97-89,,
8:00.0,W. Reed misses 2-pt shot from 10 ft,,97-89,,
7:57.0,,,97-89,,Defensive rebound by D. Dedmon
7:45.0,,,97-92,3,D. Bembry makes 3-pt shot from 25 ft (assist by D. Schroder)
7:44.0,LA Clippers full timeout,,97-92,,
7:44.0,L. Williams enters the game for J. Evans,,97-92,,
7:44.0,W. Johnson enters the game for S. Dekker,,97-92,,
7:44.0,D. Jordan enters the game for C. Williams,,97-92,,
7:44.0,B. Griffin enters the game for W. Reed,,97-92,,
7:29.0,B. Griffin misses 2-pt shot from 1 ft (block by D. Dedmon),,97-92,,
7:26.0,,,97-92,,Defensive rebound by K. Bazemore
7:21.0,,,97-92,,J. Collins misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by D. Jordan,,97-92,,
6:56.0,A. Rivers makes 3-pt shot from 25 ft,3,100-92,,
6:33.0,,,100-92,,D. Bembry misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by B. Griffin,,100-92,,
6:09.0,A. Rivers misses 2-pt shot from 8 ft,,100-92,,
6:04.0,,,100-92,,Defensive rebound by D. Dedmon
5:53.0,,,100-95,3,D. Dedmon makes 3-pt shot from 23 ft (assist by D. Bembry)
5:32.0,L. Williams makes 2-pt shot from 1 ft,2,102-95,,
5:20.0,,,102-95,,Turnover by D. Dedmon (bad pass)
5:20.0,,,102-95,,M. Belinelli enters the game for K. Bazemore
5:10.0,B. Griffin makes 3-pt shot from 25 ft (assist by L. Williams),3,105-95,,
4:59.0,,,105-95,,D. Bembry misses 2-pt shot from 2 ft (block by D. Jordan)
4:56.0,Defensive rebound by B. Griffin,,105-95,,
4:52.0,Turnover by L. Williams (bad pass; steal by J. Collins),,105-95,,
4:40.0,,,105-97,2,D. Schroder makes 2-pt shot from 15 ft (assist by J. Collins)
4:15.0,W. Johnson makes 3-pt shot from 22 ft (assist by B. Griffin),3,108-97,,
4:11.0,,,108-97,,Atlanta full timeout
4:11.0,,,108-97,,K. Bazemore enters the game for D. Bembry
4:11.0,C. Williams enters the game for A. Rivers,,108-97,,
4:03.0,,,108-97,,Turnover by J. Collins (bad pass; steal by L. Williams)
3:52.0,L. Williams makes 3-pt shot from 25 ft (assist by B. Griffin),3,111-97,,
3:40.0,,,111-97,,Shooting foul by C. Williams (drawn by M. Belinelli)
3:40.0,,,111-98,1,M. Belinelli makes free throw 1 of 2
3:40.0,A. Rivers enters the game for C. Williams,,111-98,,
3:40.0,,,111-99,1,M. Belinelli makes free throw 2 of 2
3:16.0,L. Williams makes 2-pt shot from 4 ft (assist by B. Griffin),2,113-99,,
3:05.0,,,113-101,2,K. Bazemore makes 2-pt shot from 18 ft (assist by D. Schroder)
2:50.0,B. Griffin makes 3-pt shot from 25 ft (assist by L. Williams),3,116-101,,
2:33.0,,,116-101,,K. Bazemore misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by B. Griffin,,116-101,,
2:19.0,Turnover by L. Williams (out of bounds lost ball),,116-101,,
2:13.0,,,116-101,,D. Schroder misses 2-pt shot from 20 ft
2:09.0,,,116-101,,Offensive rebound by D. Schroder
2:08.0,,,116-101,,D. Dedmon misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by D. Jordan,,116-101,,
1:46.0,B. Griffin misses 3-pt shot from 27 ft,,116-101,,
1:42.0,,,116-101,,Defensive rebound by K. Bazemore
1:41.0,,,116-101,,Turnover by K. Bazemore (lost ball; steal by A. Rivers)
1:19.0,Turnover by B. Griffin (bad pass; steal by D. Schroder),,116-101,,
