time,Milwaukee,pts.away,score,pts.home,Cleveland
10:50.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Brogdon),2,32-43,,
10:41.0,Personal foul by M. Teletovic (drawn by D. Rose),,32-43,,
10:35.0,,,32-43,,D. Wade misses 2-pt shot from 13 ft
10:32.0,Defensive rebound by M. Teletovic,,32-43,,
10:21.0,M. Teletovic makes 2-pt shot at rim (assist by M. Brogdon),2,34-43,,
9:57.0,,,34-45,2,D. Rose makes 2-pt shot from 1 ft
9:47.0,,,34-45,,Personal foul by D. Wade (drawn by T. Snell)
9:42.0,M. Brogdon misses 3-pt shot from 24 ft,,34-45,,
9:39.0,,,34-45,,Defensive rebound by D. Wade
9:28.0,,,34-47,2,K. Korver makes 2-pt shot from 3 ft (assist by D. Wade)
9:13.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Brogdon),3,37-47,,
8:59.0,,,37-47,,Turnover by K. Korver (bad pass; steal by K. Middleton)
8:54.0,M. Brogdon misses 2-pt shot from 2 ft,,37-47,,
8:54.0,Offensive rebound by M. Teletovic,,37-47,,
8:54.0,M. Teletovic misses 2-pt shot from 1 ft,,37-47,,
8:52.0,,,37-47,,Defensive rebound by K. Korver
8:44.0,,,37-47,,Turnover by D. Rose (bad pass; steal by K. Middleton)
8:42.0,,,37-47,,Personal foul by K. Korver (drawn by K. Middleton)
8:31.0,M. Teletovic misses 3-pt shot from 22 ft,,37-47,,
8:31.0,,,37-47,,Defensive rebound by J. Green
8:22.0,,,37-47,,J. Green misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by D. Liggins,,37-47,,
8:15.0,K. Middleton makes 2-pt shot from 9 ft,2,39-47,,
8:15.0,,,39-47,,Cleveland full timeout
8:07.0,Personal foul by D. Liggins (drawn by J. Green),,39-47,,
7:59.0,,,39-49,2,D. Wade makes 2-pt shot from 2 ft
7:45.0,K. Middleton makes 2-pt shot from 17 ft,2,41-49,,
7:36.0,,,41-51,2,D. Rose makes 2-pt shot from 1 ft
7:19.0,M. Teletovic makes 2-pt shot from 13 ft (assist by M. Brogdon),2,43-51,,
7:03.0,,,43-51,,K. Korver misses 3-pt shot from 25 ft
6:54.0,,,43-51,,Offensive rebound by K. Korver
6:51.0,,,43-51,,K. Korver misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by K. Middleton,,43-51,,
6:45.0,K. Middleton makes 2-pt shot from 18 ft,2,45-51,,
6:26.0,,,45-51,,D. Rose misses 2-pt shot from 11 ft
6:23.0,Defensive rebound by D. Liggins,,45-51,,
6:17.0,K. Middleton misses 3-pt shot from 27 ft,,45-51,,
6:16.0,,,45-51,,Defensive rebound by Team
6:16.0,,,45-51,,K. Love enters the game for I. Shumpert
6:16.0,,,45-51,,L. James enters the game for J. Green
6:16.0,,,45-51,,J. Crowder enters the game for D. Rose
6:16.0,G. Antetokounmpo enters the game for M. Teletovic,,45-51,,
6:16.0,Milwaukee full timeout,,45-51,,
6:16.0,,,45-51,,J. Smith enters the game for D. Wade
6:16.0,J. Henson enters the game for D. Liggins,,45-51,,
5:54.0,,,45-51,,Turnover by J. Crowder (offensive goaltending)
5:37.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,47-51,,
5:17.0,,,47-51,,Turnover by J. Smith (turnover)
5:09.0,Shooting foul by J. Smith (drawn by J. Henson),,47-51,,
5:09.0,J. Henson makes free throw 1 of 2,1,48-51,,
5:09.0,J. Henson misses free throw 2 of 2,,48-51,,
5:07.0,,,48-51,,Defensive rebound by L. James
4:47.0,,,48-51,,Shooting foul by J. Henson (drawn by K. Love)
4:47.0,,,48-52,1,K. Love makes free throw 1 of 2
4:47.0,,,48-52,,D. Rose enters the game for K. Korver
4:47.0,,,48-52,,K. Love misses free throw 2 of 2
4:45.0,Defensive rebound by G. Antetokounmpo,,48-52,,
4:30.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,50-52,,
4:20.0,,,50-52,,D. Rose misses 2-pt shot at rim
4:16.0,Defensive rebound by T. Snell,,50-52,,
4:14.0,M. Brogdon misses 2-pt shot from 1 ft,,50-52,,
4:11.0,,,50-52,,Defensive rebound by L. James
4:02.0,,,50-54,2,L. James makes 2-pt shot from 1 ft
3:42.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,52-54,,
3:27.0,Personal foul by J. Henson,,52-54,,
3:27.0,Technical foul by J. Henson,,52-54,,
3:27.0,,,52-55,1,K. Love makes technical free throw
3:27.0,T. Maker enters the game for J. Henson,,52-55,,
3:17.0,,,52-55,,Shooting foul by G. Antetokounmpo (drawn by L. James)
3:17.0,,,52-56,1,L. James makes free throw 1 of 2
3:17.0,,,52-56,,L. James misses free throw 2 of 2
3:14.0,Defensive rebound by K. Middleton,,52-56,,
2:52.0,K. Middleton makes 2-pt shot from 5 ft (assist by M. Brogdon),2,54-56,,
2:39.0,,,54-56,,Turnover by K. Love (bad pass; steal by T. Maker)
2:34.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Maker),2,56-56,,
2:23.0,,,56-56,,D. Rose misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
2:19.0,Defensive rebound by M. Brogdon,,56-56,,
2:15.0,M. Brogdon makes 3-pt shot from 26 ft,3,59-56,,
2:15.0,,,59-56,,Cleveland full timeout
2:04.0,,,59-56,,J. Smith misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by M. Brogdon,,59-56,,
1:56.0,K. Middleton misses 3-pt shot from 24 ft,,59-56,,
1:52.0,,,59-56,,Defensive rebound by J. Crowder
1:42.0,,,59-56,,L. James misses 2-pt shot from 13 ft
1:42.0,,,59-56,,Offensive rebound by Team
1:42.0,Loose ball foul by G. Antetokounmpo (drawn by K. Love),,59-56,,
1:42.0,,,59-57,1,K. Love makes free throw 1 of 2
1:42.0,,,59-57,,D. Wade enters the game for D. Rose
1:42.0,,,59-58,1,K. Love makes free throw 2 of 2
1:18.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,61-58,,
0:58.0,,,61-60,2,K. Love makes 2-pt shot from 11 ft (assist by L. James)
0:40.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,64-60,,
0:34.0,,,64-63,3,L. James makes 3-pt shot from 27 ft
0:13.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,66-63,,
0:13.0,Shooting foul by J. Smith (drawn by G. Antetokounmpo),,66-63,,
0:13.0,G. Antetokounmpo makes free throw 1 of 1,1,67-63,,
0:00.0,,,67-63,,J. Crowder misses 2-pt shot from 1 ft
0:00.0,,,67-63,,Offensive rebound by K. Love
0:00.0,,,67-65,2,K. Love makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,67-67,2,K. Love makes 2-pt shot from 2 ft
11:19.0,G. Antetokounmpo makes 2-pt shot from 10 ft (assist by K. Middleton),2,69-67,,
10:58.0,,,69-70,3,J. Crowder makes 3-pt shot from 25 ft (assist by L. James)
10:40.0,M. Brogdon misses 2-pt shot from 10 ft,,69-70,,
10:37.0,,,69-70,,Defensive rebound by L. James
10:26.0,,,69-70,,J. Smith misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by G. Antetokounmpo,,69-70,,
10:16.0,M. Brogdon makes 2-pt shot from 16 ft (assist by T. Snell),2,71-70,,
9:54.0,,,71-70,,Turnover by D. Rose (bad pass; steal by T. Snell)
9:51.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,71-70,,
9:51.0,G. Antetokounmpo makes free throw 1 of 2,1,72-70,,
9:51.0,G. Antetokounmpo makes free throw 2 of 2,1,73-70,,
9:37.0,,,73-72,2,D. Rose makes 2-pt shot from 7 ft
9:17.0,M. Brogdon makes 2-pt shot at rim (assist by T. Snell),2,75-72,,
8:59.0,,,75-72,,K. Love misses 2-pt shot from 1 ft (block by J. Henson)
8:43.0,,,75-72,,Offensive rebound by K. Love
8:43.0,,,75-74,2,K. Love makes 2-pt shot at rim
8:41.0,Turnover by K. Middleton (bad pass; steal by L. James),,75-74,,
8:31.0,,,75-74,,Turnover by K. Love (bad pass; steal by K. Middleton)
8:26.0,M. Brogdon misses 2-pt shot from 3 ft,,75-74,,
8:26.0,Offensive rebound by G. Antetokounmpo,,75-74,,
8:26.0,Shooting foul by J. Smith (drawn by G. Antetokounmpo),,75-74,,
8:26.0,G. Antetokounmpo misses free throw 1 of 2,,75-74,,
8:26.0,Offensive rebound by Team,,75-74,,
8:26.0,G. Antetokounmpo makes free throw 2 of 2,1,76-74,,
8:10.0,,,76-74,,L. James misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by G. Antetokounmpo,,76-74,,
8:05.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,76-74,,
7:42.0,,,76-74,,L. James misses 2-pt shot from 7 ft
7:34.0,,,76-74,,Offensive rebound by K. Love
7:34.0,,,76-76,2,K. Love makes 2-pt shot at rim
7:18.0,G. Antetokounmpo misses 2-pt shot from 6 ft (block by K. Love),,76-76,,
7:15.0,,,76-76,,Defensive rebound by L. James
7:10.0,,,76-79,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
7:08.0,Milwaukee full timeout,,76-79,,
7:01.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,76-79,,
6:36.0,,,76-79,,D. Rose misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
6:36.0,,,76-79,,Offensive rebound by Team
6:36.0,,,76-79,,Turnover by Team (shot clock)
6:23.0,K. Middleton makes 2-pt shot from 1 ft (assist by J. Henson),2,78-79,,
6:00.0,,,78-79,,D. Rose misses 2-pt shot from 1 ft
5:57.0,Defensive rebound by J. Henson,,78-79,,
5:52.0,Turnover by J. Henson (bad pass),,78-79,,
5:38.0,,,78-81,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
5:23.0,M. Brogdon makes 2-pt shot from 2 ft,2,80-81,,
5:10.0,Personal foul by J. Henson (drawn by K. Love),,80-81,,
5:10.0,T. Maker enters the game for M. Brogdon,,80-81,,
5:10.0,M. Dellavedova enters the game for J. Henson,,80-81,,
5:05.0,Personal foul by K. Middleton (drawn by J. Smith),,80-81,,
4:58.0,,,80-81,,Shooting foul by G. Antetokounmpo (drawn by D. Rose)
4:58.0,,,80-82,1,D. Rose makes free throw 1 of 2
4:58.0,,,80-83,1,D. Rose makes free throw 2 of 2
4:37.0,K. Middleton misses 2-pt shot from 1 ft,,80-83,,
4:31.0,Offensive rebound by G. Antetokounmpo,,80-83,,
4:31.0,G. Antetokounmpo makes 2-pt shot at rim,2,82-83,,
4:26.0,,,82-85,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
4:08.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,84-85,,
3:57.0,,,84-85,,J. Crowder misses 3-pt shot from 25 ft (block by T. Snell)
3:57.0,,,84-85,,Offensive rebound by Team
3:57.0,,,84-85,,D. Wade enters the game for D. Rose
3:53.0,,,84-88,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
3:43.0,M. Dellavedova misses 2-pt shot from 11 ft (block by D. Wade),,84-88,,
3:43.0,Offensive rebound by Team,,84-88,,
3:41.0,K. Middleton misses 2-pt shot from 16 ft,,84-88,,
3:41.0,,,84-88,,Defensive rebound by L. James
3:30.0,,,84-88,,L. James misses 2-pt shot from 1 ft
3:30.0,Defensive rebound by M. Dellavedova,,84-88,,
3:26.0,Turnover by M. Dellavedova (bad pass; steal by J. Smith),,84-88,,
3:05.0,,,84-90,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
2:51.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,86-90,,
2:31.0,,,86-90,,J. Smith misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by T. Maker,,86-90,,
2:25.0,,,86-90,,Personal foul by J. Crowder (drawn by G. Antetokounmpo)
2:25.0,,,86-90,,Cleveland full timeout
2:25.0,,,86-90,,K. Korver enters the game for J. Smith
2:25.0,,,86-90,,J. Green enters the game for J. Crowder
2:25.0,D. Liggins enters the game for T. Snell,,86-90,,
2:12.0,K. Middleton misses 3-pt shot from 26 ft,,86-90,,
2:08.0,,,86-90,,Defensive rebound by K. Love
2:01.0,,,86-90,,Shooting foul by M. Dellavedova (drawn by K. Love)
2:01.0,,,86-91,1,K. Love makes free throw 1 of 2
2:01.0,,,86-92,1,K. Love makes free throw 2 of 2
2:00.0,,,86-92,,D. Wade misses 2-pt shot from 1 ft (block by T. Maker)
2:00.0,,,86-92,,Offensive rebound by K. Love
1:53.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,88-92,,
1:35.0,,,88-92,,D. Wade misses 2-pt shot from 4 ft
1:29.0,,,88-92,,Offensive rebound by D. Wade
1:26.0,,,88-92,,D. Wade misses 2-pt shot at rim
1:21.0,,,88-92,,Offensive rebound by K. Love
1:10.0,,,88-92,,L. James misses 2-pt shot from 2 ft
1:10.0,,,88-92,,Offensive rebound by K. Love
1:09.0,,,88-92,,K. Love misses 2-pt shot at rim
1:07.0,Defensive rebound by K. Middleton,,88-92,,
0:59.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,90-92,,
0:44.0,,,90-92,,L. James misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by D. Liggins,,90-92,,
0:25.0,D. Liggins misses 2-pt shot from 1 ft,,90-92,,
0:23.0,,,90-92,,Defensive rebound by K. Love
0:22.0,,,90-94,2,J. Green makes 2-pt shot at rim (assist by L. James)
0:07.0,,,90-94,,Personal foul by L. James (drawn by K. Middleton)
0:07.0,,,90-94,,I. Shumpert enters the game for K. Love
0:03.0,T. Maker misses 3-pt shot from 31 ft,,90-94,,
0:03.0,Offensive rebound by M. Dellavedova,,90-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,90-94,,Personal foul by D. Wade (drawn by G. Antetokounmpo)
11:41.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,93-94,,
11:14.0,,,93-96,2,I. Shumpert makes 2-pt shot from 16 ft (assist by D. Wade)
10:55.0,M. Dellavedova misses 3-pt shot from 27 ft,,93-96,,
10:55.0,,,93-96,,Defensive rebound by I. Shumpert
10:50.0,,,93-96,,Shooting foul by M. Dellavedova (drawn by J. Green)
10:50.0,,,93-97,1,J. Green makes free throw 1 of 2
10:50.0,,,93-98,1,J. Green makes free throw 2 of 2
10:39.0,Shooting foul by D. Wade (drawn by G. Antetokounmpo),,93-98,,
10:39.0,G. Antetokounmpo makes free throw 1 of 2,1,94-98,,
10:39.0,G. Antetokounmpo misses free throw 2 of 2,,94-98,,
10:36.0,,,94-98,,Defensive rebound by I. Shumpert
10:28.0,,,94-98,,K. Korver misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by G. Antetokounmpo,,94-98,,
10:22.0,K. Middleton enters the game for G. Antetokounmpo,,94-98,,
10:03.0,K. Middleton misses 2-pt shot from 2 ft (block by K. Korver),,94-98,,
10:00.0,,,94-98,,Defensive rebound by I. Shumpert
9:53.0,,,94-101,3,J. Smith makes 3-pt shot from 25 ft (assist by D. Wade)
9:25.0,M. Teletovic makes 3-pt shot from 27 ft (assist by M. Brogdon),3,97-101,,
9:03.0,,,97-101,,Shooting foul by T. Snell (drawn by K. Korver)
9:03.0,,,97-102,1,K. Korver makes free throw 1 of 2
9:03.0,,,97-103,1,K. Korver makes free throw 2 of 2
8:49.0,Offensive foul by M. Brogdon (drawn by I. Shumpert),,97-103,,
8:49.0,Turnover by M. Brogdon (offensive foul),,97-103,,
8:39.0,,,97-105,2,J. Smith makes 2-pt shot from 15 ft
8:38.0,Milwaukee full timeout,,97-105,,
8:38.0,G. Antetokounmpo enters the game for T. Snell,,97-105,,
8:25.0,Turnover by M. Dellavedova (step out of bounds),,97-105,,
8:09.0,,,97-107,2,D. Wade makes 2-pt shot from 16 ft
8:03.0,Offensive foul by G. Antetokounmpo (drawn by I. Shumpert),,97-107,,
8:03.0,Turnover by G. Antetokounmpo (offensive foul),,97-107,,
7:52.0,,,97-107,,Turnover by J. Green (step out of bounds)
7:33.0,M. Teletovic makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,100-107,,
7:18.0,,,100-107,,J. Green misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by K. Middleton,,100-107,,
7:08.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by D. Wade),,100-107,,
7:04.0,,,100-107,,Defensive rebound by I. Shumpert
7:02.0,,,100-109,2,I. Shumpert makes 2-pt shot from 11 ft
6:47.0,M. Brogdon misses 2-pt shot from 2 ft,,100-109,,
6:44.0,,,100-109,,Defensive rebound by I. Shumpert
6:29.0,,,100-109,,J. Green misses 2-pt shot from 14 ft (block by M. Brogdon)
6:26.0,Defensive rebound by M. Brogdon,,100-109,,
6:26.0,Shooting foul by K. Korver (drawn by G. Antetokounmpo),,100-109,,
6:26.0,G. Antetokounmpo makes free throw 1 of 2,1,101-109,,
6:26.0,,,101-109,,K. Love enters the game for K. Korver
6:26.0,,,101-109,,L. James enters the game for J. Green
6:26.0,J. Henson enters the game for M. Dellavedova,,101-109,,
6:26.0,G. Antetokounmpo misses free throw 2 of 2,,101-109,,
6:20.0,,,101-109,,Defensive rebound by K. Love
6:06.0,,,101-111,2,I. Shumpert makes 2-pt shot at rim (assist by L. James)
5:51.0,Turnover by G. Antetokounmpo (bad pass; steal by L. James),,101-111,,
5:51.0,Personal foul by M. Teletovic (drawn by J. Smith),,101-111,,
5:39.0,,,101-111,,K. Love misses 2-pt shot from 17 ft
5:36.0,Defensive rebound by J. Henson,,101-111,,
5:34.0,M. Teletovic misses 3-pt shot from 26 ft,,101-111,,
5:34.0,Offensive rebound by G. Antetokounmpo,,101-111,,
5:28.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,103-111,,
5:15.0,Personal foul by M. Teletovic (drawn by K. Love),,103-111,,
5:15.0,T. Snell enters the game for M. Teletovic,,103-111,,
5:11.0,,,103-114,3,L. James makes 3-pt shot from 24 ft (assist by K. Love)
4:56.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,105-114,,
4:30.0,,,105-114,,L. James misses 2-pt shot from 2 ft
4:27.0,,,105-114,,Offensive rebound by J. Smith
4:26.0,,,105-114,,Cleveland full timeout
4:09.0,,,105-114,,L. James misses 2-pt shot from 7 ft
4:03.0,,,105-114,,Offensive rebound by K. Love
4:03.0,,,105-114,,K. Love misses 2-pt shot at rim
4:01.0,Defensive rebound by T. Snell,,105-114,,
4:00.0,M. Brogdon makes 2-pt shot from 1 ft (assist by K. Middleton),2,107-114,,
3:46.0,,,107-114,,Shooting foul by M. Brogdon (drawn by K. Love)
3:46.0,,,107-115,1,K. Love makes free throw 1 of 2
3:46.0,,,107-116,1,K. Love makes free throw 2 of 2
3:32.0,M. Brogdon makes 3-pt shot from 23 ft (assist by K. Middleton),3,110-116,,
3:07.0,,,110-116,,L. James misses 2-pt shot from 3 ft
3:05.0,Defensive rebound by T. Snell,,110-116,,
2:49.0,M. Brogdon misses 3-pt shot from 26 ft,,110-116,,
2:45.0,,,110-116,,Defensive rebound by L. James
2:37.0,,,110-118,2,L. James makes 2-pt shot at rim
