time,Dallas,pts.away,score,pts.home,Portland
6:47.0,,,9-16,,Defensive rebound by C. McCollum
6:41.0,,,9-16,,C. McCollum misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by H. Barnes,,9-16,,
6:32.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Smith),2,11-16,,
6:12.0,,,11-18,2,E. Turner makes 2-pt shot from 11 ft
6:12.0,,,11-18,,Shooting foul by D. Smith (drawn by E. Turner)
6:12.0,,,11-18,,E. Davis enters the game for A. Aminu
6:12.0,,,11-18,,Z. Collins enters the game for J. Nurkic
6:12.0,Y. Ferrell enters the game for D. Nowitzki,,11-18,,
6:12.0,S. Mejri enters the game for D. Smith,,11-18,,
6:12.0,,,11-19,1,E. Turner makes free throw 1 of 1
5:58.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by M. Kleber),3,14-19,,
5:40.0,,,14-21,2,D. Lillard makes 2-pt shot at rim
5:25.0,H. Barnes misses 3-pt shot from 24 ft,,14-21,,
5:25.0,Offensive rebound by H. Barnes,,14-21,,
5:17.0,W. Matthews makes 2-pt shot from 19 ft,2,16-21,,
4:54.0,,,16-21,,Turnover by Z. Collins (bad pass; steal by M. Kleber)
4:43.0,W. Matthews misses 2-pt shot from 8 ft,,16-21,,
4:39.0,Offensive rebound by S. Mejri,,16-21,,
4:37.0,W. Matthews misses 3-pt shot from 23 ft,,16-21,,
4:33.0,,,16-21,,Defensive rebound by Z. Collins
4:27.0,,,16-21,,E. Turner misses 2-pt shot from 16 ft
4:23.0,Defensive rebound by W. Matthews,,16-21,,
4:06.0,H. Barnes misses 2-pt shot from 16 ft,,16-21,,
4:04.0,Offensive rebound by S. Mejri,,16-21,,
4:02.0,S. Mejri misses 2-pt shot from 9 ft,,16-21,,
4:00.0,,,16-21,,Defensive rebound by E. Davis
3:50.0,Personal foul by Y. Ferrell (drawn by E. Turner),,16-21,,
3:50.0,,,16-21,,S. Napier enters the game for E. Turner
3:50.0,,,16-21,,P. Connaughton enters the game for C. McCollum
3:44.0,Personal foul by W. Matthews (drawn by D. Lillard),,16-21,,
3:36.0,,,16-24,3,D. Lillard makes 3-pt shot from 24 ft
3:20.0,H. Barnes misses 2-pt shot from 14 ft,,16-24,,
3:17.0,,,16-24,,Defensive rebound by D. Lillard
3:12.0,Personal foul by W. Matthews (drawn by D. Lillard),,16-24,,
3:12.0,,,16-24,,Portland full timeout
3:12.0,D. Harris enters the game for W. Matthews,,16-24,,
3:12.0,D. Nowitzki enters the game for H. Barnes,,16-24,,
3:12.0,J. Barea enters the game for M. Kleber,,16-24,,
3:12.0,D. Powell enters the game for S. Mejri,,16-24,,
3:03.0,,,16-27,3,S. Napier makes 3-pt shot from 23 ft (assist by E. Davis)
2:44.0,D. Harris misses 3-pt shot from 25 ft,,16-27,,
2:41.0,,,16-27,,Defensive rebound by Z. Collins
2:32.0,,,16-27,,Z. Collins misses 3-pt shot from 25 ft
2:27.0,,,16-27,,Offensive rebound by E. Davis
2:25.0,,,16-27,,P. Connaughton misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by D. Powell,,16-27,,
2:14.0,Turnover by D. Powell (step out of bounds),,16-27,,
2:02.0,,,16-27,,Turnover by P. Connaughton (bad pass; steal by D. Powell)
1:59.0,Shooting foul by E. Davis (drawn by Y. Ferrell),,16-27,,
1:59.0,Y. Ferrell makes free throw 1 of 2,1,17-27,,
1:59.0,Y. Ferrell makes free throw 2 of 2,1,18-27,,
1:34.0,,,18-29,2,D. Lillard makes 2-pt shot from 19 ft
1:23.0,Turnover by J. Barea (lost ball; steal by S. Napier),,18-29,,
1:20.0,,,18-31,2,S. Napier makes 2-pt shot at rim
1:20.0,Dallas full timeout,,18-31,,
1:20.0,,,18-31,,C. McCollum enters the game for D. Lillard
1:06.0,J. Barea misses 2-pt shot from 15 ft,,18-31,,
1:03.0,,,18-31,,Defensive rebound by S. Napier
0:52.0,,,18-31,,Offensive foul by E. Davis (drawn by D. Harris)
0:52.0,,,18-31,,Turnover by E. Davis (offensive foul)
0:40.0,D. Nowitzki makes 2-pt shot from 11 ft,2,20-31,,
0:34.0,,,20-33,2,C. McCollum makes 2-pt shot at rim
0:18.0,Y. Ferrell misses 3-pt shot from 25 ft,,20-33,,
0:15.0,,,20-33,,Defensive rebound by C. McCollum
0:01.0,,,20-33,,P. Connaughton misses 3-pt shot from 23 ft
0:01.0,,,20-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Barea misses 3-pt shot from 24 ft,,20-33,,
11:40.0,,,20-33,,Defensive rebound by Z. Collins
11:23.0,,,20-33,,S. Napier misses 2-pt shot from 10 ft
11:20.0,Defensive rebound by S. Mejri,,20-33,,
11:08.0,S. Mejri misses 2-pt shot from 5 ft,,20-33,,
11:06.0,,,20-33,,Defensive rebound by E. Davis
10:59.0,,,20-35,2,C. McCollum makes 2-pt shot from 12 ft
10:40.0,Shooting foul by Z. Collins (drawn by D. Nowitzki),,20-35,,
10:40.0,D. Nowitzki makes free throw 1 of 2,1,21-35,,
10:40.0,D. Nowitzki makes free throw 2 of 2,1,22-35,,
10:31.0,,,22-35,,C. McCollum misses 2-pt shot at rim
10:28.0,Defensive rebound by D. Nowitzki,,22-35,,
10:24.0,Shooting foul by S. Napier (drawn by J. Barea),,22-35,,
10:24.0,J. Barea makes free throw 1 of 2,1,23-35,,
10:24.0,J. Barea makes free throw 2 of 2,1,24-35,,
10:09.0,,,24-37,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
9:51.0,D. Nowitzki makes 2-pt shot from 16 ft,2,26-37,,
9:37.0,,,26-39,2,C. McCollum makes 2-pt shot from 1 ft
9:19.0,D. Harris misses 2-pt shot from 1 ft,,26-39,,
9:17.0,,,26-39,,Defensive rebound by Z. Collins
9:11.0,,,26-41,2,C. McCollum makes 2-pt shot from 8 ft
9:11.0,Dallas full timeout,,26-41,,
9:11.0,D. Powell enters the game for Y. Ferrell,,26-41,,
9:11.0,D. Smith enters the game for D. Harris,,26-41,,
9:11.0,W. Matthews enters the game for S. Mejri,,26-41,,
9:00.0,,,26-41,,Personal foul by P. Connaughton (drawn by J. Barea)
8:53.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,29-41,,
8:37.0,,,29-43,2,C. McCollum makes 2-pt shot from 13 ft
8:19.0,J. Barea makes 2-pt shot from 12 ft,2,31-43,,
8:09.0,,,31-43,,Z. Collins misses 2-pt shot from 7 ft
8:07.0,,,31-43,,Offensive rebound by P. Connaughton
8:05.0,,,31-43,,E. Davis misses 2-pt shot from 6 ft
8:02.0,Defensive rebound by D. Powell,,31-43,,
7:51.0,D. Powell misses 2-pt shot from 1 ft,,31-43,,
7:50.0,,,31-43,,Defensive rebound by E. Davis
7:42.0,Personal foul by D. Smith (drawn by S. Napier),,31-43,,
7:42.0,,,31-43,,E. Turner enters the game for S. Napier
7:42.0,,,31-43,,A. Aminu enters the game for E. Davis
7:42.0,,,31-43,,J. Nurkic enters the game for Z. Collins
7:42.0,S. Mejri enters the game for D. Nowitzki,,31-43,,
7:42.0,H. Barnes enters the game for D. Powell,,31-43,,
7:31.0,,,31-45,2,E. Turner makes 2-pt shot from 8 ft
7:14.0,W. Matthews makes 2-pt shot from 21 ft (assist by S. Mejri),2,33-45,,
6:57.0,,,33-45,,Turnover by J. Nurkic (lost ball; steal by S. Mejri)
6:52.0,S. Mejri makes 2-pt shot at rim (assist by J. Barea),2,35-45,,
6:52.0,,,35-45,,Portland full timeout
6:52.0,,,35-45,,D. Lillard enters the game for C. McCollum
6:41.0,,,35-48,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
6:26.0,Shooting foul by J. Nurkic (drawn by W. Matthews),,35-48,,
6:26.0,W. Matthews misses free throw 1 of 2,,35-48,,
6:26.0,Offensive rebound by Team,,35-48,,
6:26.0,W. Matthews makes free throw 2 of 2,1,36-48,,
6:04.0,,,36-48,,P. Connaughton misses 3-pt shot from 24 ft
6:02.0,,,36-48,,Offensive rebound by J. Nurkic
6:02.0,,,36-48,,Shooting foul by S. Mejri (drawn by J. Nurkic)
6:02.0,,,36-49,1,J. Nurkic makes free throw 1 of 2
6:02.0,,,36-50,1,J. Nurkic makes free throw 2 of 2
5:38.0,J. Barea makes 2-pt shot from 1 ft,2,38-50,,
5:27.0,,,38-52,2,J. Nurkic makes 2-pt shot at rim (assist by E. Turner)
5:16.0,J. Barea misses 2-pt shot from 13 ft,,38-52,,
5:13.0,,,38-52,,Defensive rebound by J. Nurkic
5:05.0,,,38-55,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
4:50.0,Turnover by W. Matthews (bad pass; steal by A. Aminu),,38-55,,
4:46.0,,,38-55,,P. Connaughton misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by W. Matthews,,38-55,,
4:35.0,Shooting foul by P. Connaughton (drawn by S. Mejri),,38-55,,
4:35.0,S. Mejri misses free throw 1 of 2,,38-55,,
4:35.0,Offensive rebound by Team,,38-55,,
4:35.0,Y. Ferrell enters the game for J. Barea,,38-55,,
4:35.0,S. Mejri makes free throw 2 of 2,1,39-55,,
4:22.0,,,39-55,,Offensive charge foul by J. Nurkic (drawn by W. Matthews)
4:22.0,,,39-55,,Turnover by J. Nurkic (offensive foul)
4:22.0,D. Nowitzki enters the game for S. Mejri,,39-55,,
4:02.0,H. Barnes misses 3-pt shot from 25 ft,,39-55,,
4:01.0,,,39-55,,Defensive rebound by E. Turner
3:55.0,,,39-57,2,E. Turner makes 2-pt shot from 8 ft
3:39.0,D. Smith makes 2-pt shot from 1 ft,2,41-57,,
3:32.0,,,41-57,,Turnover by D. Lillard (bad pass; steal by D. Smith)
3:28.0,Offensive foul by H. Barnes (drawn by D. Lillard),,41-57,,
3:28.0,Turnover by H. Barnes (offensive foul),,41-57,,
3:28.0,,,41-57,,C. McCollum enters the game for P. Connaughton
3:16.0,Personal foul by D. Nowitzki (drawn by D. Lillard),,41-57,,
3:10.0,,,41-57,,C. McCollum misses 2-pt shot from 19 ft
3:07.0,Defensive rebound by Team,,41-57,,
2:57.0,D. Nowitzki misses 2-pt shot from 17 ft,,41-57,,
2:53.0,,,41-57,,Defensive rebound by D. Lillard
2:44.0,,,41-57,,Turnover by D. Lillard (bad pass; steal by D. Nowitzki)
2:37.0,Shooting foul by E. Turner (drawn by D. Smith),,41-57,,
2:37.0,D. Smith makes free throw 1 of 2,1,42-57,,
2:37.0,D. Smith makes free throw 2 of 2,1,43-57,,
2:22.0,,,43-57,,E. Turner misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by Team,,43-57,,
2:08.0,W. Matthews misses 2-pt shot from 7 ft,,43-57,,
2:05.0,Offensive rebound by W. Matthews,,43-57,,
2:04.0,W. Matthews makes 2-pt shot from 2 ft,2,45-57,,
1:47.0,,,45-57,,A. Aminu misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by D. Nowitzki,,45-57,,
1:41.0,D. Smith misses 2-pt shot from 2 ft (block by J. Nurkic),,45-57,,
1:36.0,,,45-57,,Defensive rebound by E. Turner
1:27.0,,,45-57,,J. Nurkic misses 2-pt shot from 1 ft (block by D. Nowitzki)
1:24.0,Defensive rebound by D. Smith,,45-57,,
1:20.0,H. Barnes misses 2-pt shot from 19 ft,,45-57,,
1:18.0,,,45-57,,Defensive rebound by J. Nurkic
1:02.0,,,45-57,,Turnover by D. Lillard (bad pass; steal by W. Matthews)
0:54.0,W. Matthews misses 3-pt shot from 26 ft,,45-57,,
0:53.0,,,45-57,,Defensive rebound by C. McCollum
0:40.0,Personal foul by Y. Ferrell (drawn by C. McCollum),,45-57,,
0:35.0,,,45-60,3,C. McCollum makes 3-pt shot from 24 ft
0:25.0,D. Smith misses 2-pt shot from 6 ft,,45-60,,
0:22.0,,,45-60,,Defensive rebound by A. Aminu
0:08.0,Violation by H. Barnes (kicked ball),,45-60,,
0:08.0,,,45-60,,P. Connaughton enters the game for J. Nurkic
0:08.0,M. Kleber enters the game for D. Nowitzki,,45-60,,
0:01.0,,,45-60,,Shooting foul by M. Kleber (drawn by D. Lillard)
0:01.0,,,45-61,1,D. Lillard makes free throw 1 of 2
0:01.0,D. Powell enters the game for M. Kleber,,45-61,,
0:01.0,,,45-62,1,D. Lillard makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Kleber misses 3-pt shot from 23 ft,,45-62,,
11:45.0,,,45-62,,Defensive rebound by E. Turner
11:26.0,,,45-62,,Offensive charge foul by J. Nurkic (drawn by W. Matthews)
11:26.0,,,45-62,,Turnover by J. Nurkic (offensive foul)
11:09.0,Shooting foul by D. Lillard (drawn by W. Matthews),,45-62,,
11:09.0,W. Matthews misses free throw 1 of 2,,45-62,,
11:09.0,Offensive rebound by Team,,45-62,,
11:09.0,W. Matthews makes free throw 2 of 2,1,46-62,,
10:54.0,,,46-62,,C. McCollum misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by D. Smith,,46-62,,
10:41.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Smith),2,48-62,,
10:16.0,Jump ball: J. Nurkic vs. M. Kleber (E. Turner gains possession),,,,Jump ball: J. Nurkic vs. M. Kleber (E. Turner gains possession)
10:06.0,,,48-62,,E. Turner misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by Team,,48-62,,
9:53.0,D. Smith makes 2-pt shot from 20 ft,2,50-62,,
9:30.0,,,50-64,2,C. McCollum makes 2-pt shot from 6 ft
9:18.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Kleber),3,53-64,,
8:55.0,,,53-64,,A. Aminu misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by H. Barnes,,53-64,,
8:50.0,Offensive charge foul by D. Smith (drawn by D. Lillard),,53-64,,
8:50.0,Turnover by D. Smith (offensive foul),,53-64,,
8:37.0,,,53-64,,Turnover by D. Lillard (traveling)
8:31.0,M. Kleber makes 3-pt shot from 23 ft (assist by D. Smith),3,56-64,,
8:31.0,,,56-64,,Portland full timeout
8:17.0,Violation by M. Kleber (kicked ball),,56-64,,
8:09.0,,,56-66,2,C. McCollum makes 2-pt shot from 21 ft
7:55.0,H. Barnes makes 2-pt shot from 2 ft (assist by W. Matthews),2,58-66,,
7:41.0,,,58-69,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
7:21.0,Turnover by W. Matthews (bad pass; steal by C. McCollum),,58-69,,
7:10.0,,,58-69,,C. McCollum misses 2-pt shot at rim (block by D. Nowitzki)
7:07.0,Defensive rebound by D. Nowitzki,,58-69,,
6:59.0,D. Smith misses 2-pt shot from 17 ft,,58-69,,
6:57.0,,,58-69,,Defensive rebound by Team
6:45.0,,,58-72,3,D. Lillard makes 3-pt shot from 22 ft (assist by J. Nurkic)
6:32.0,,,58-72,,Personal foul by C. McCollum (drawn by H. Barnes)
6:32.0,S. Mejri enters the game for D. Nowitzki,,58-72,,
6:25.0,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes),3,61-72,,
6:16.0,,,61-74,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
6:16.0,,,61-74,,Shooting foul by H. Barnes (drawn by J. Nurkic)
6:16.0,,,61-74,,Z. Collins enters the game for A. Aminu
6:16.0,,,61-74,,J. Nurkic misses free throw 1 of 1
6:13.0,Defensive rebound by H. Barnes,,61-74,,
6:01.0,D. Smith makes 2-pt shot from 19 ft (assist by W. Matthews),2,63-74,,
5:41.0,,,63-74,,Turnover by J. Nurkic (lost ball; steal by D. Smith)
5:33.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Smith),3,66-74,,
5:08.0,,,66-74,,E. Turner misses 2-pt shot from 6 ft (block by H. Barnes)
5:05.0,Defensive rebound by S. Mejri,,66-74,,
5:01.0,W. Matthews makes 3-pt shot from 27 ft (assist by M. Kleber),3,69-74,,
4:41.0,,,69-74,,E. Turner misses 2-pt shot from 7 ft
4:41.0,,,69-74,,Offensive rebound by Team
4:41.0,Loose ball foul by S. Mejri (drawn by J. Nurkic),,69-74,,
4:41.0,,,69-74,,E. Davis enters the game for C. McCollum
4:41.0,,,69-74,,P. Connaughton enters the game for J. Nurkic
4:41.0,Y. Ferrell enters the game for M. Kleber,,69-74,,
4:35.0,,,69-77,3,D. Lillard makes 3-pt shot from 27 ft
4:18.0,D. Smith makes 2-pt shot from 20 ft,2,71-77,,
3:58.0,,,71-80,3,E. Turner makes 3-pt shot from 24 ft (assist by P. Connaughton)
3:46.0,D. Smith misses 2-pt shot from 14 ft,,71-80,,
3:44.0,Offensive rebound by S. Mejri,,71-80,,
3:43.0,W. Matthews misses 3-pt shot from 26 ft,,71-80,,
3:43.0,,,71-80,,Defensive rebound by E. Davis
3:28.0,Personal foul by D. Smith (drawn by D. Lillard),,71-80,,
3:28.0,,,71-80,,S. Napier enters the game for E. Turner
3:28.0,,,71-80,,A. Aminu enters the game for Z. Collins
3:16.0,,,71-83,3,D. Lillard makes 3-pt shot from 29 ft (assist by P. Connaughton)
3:14.0,Dallas full timeout,,71-83,,
3:14.0,J. Barea enters the game for D. Smith,,71-83,,
3:04.0,H. Barnes misses 3-pt shot from 25 ft,,71-83,,
3:00.0,,,71-83,,Defensive rebound by S. Napier
2:47.0,,,71-83,,A. Aminu misses 3-pt shot from 22 ft
2:45.0,,,71-83,,Offensive rebound by E. Davis
2:41.0,,,71-86,3,P. Connaughton makes 3-pt shot from 25 ft (assist by D. Lillard)
2:24.0,J. Barea misses 2-pt shot from 1 ft,,71-86,,
2:24.0,Offensive rebound by Team,,71-86,,
2:23.0,,,71-86,,Personal foul by P. Connaughton (drawn by W. Matthews)
2:16.0,J. Barea misses 2-pt shot from 9 ft,,71-86,,
2:13.0,,,71-86,,Defensive rebound by S. Napier
2:08.0,Personal foul by S. Mejri (drawn by D. Lillard),,71-86,,
1:52.0,,,71-88,2,A. Aminu makes 2-pt shot from 3 ft
1:38.0,Shooting foul by S. Napier (drawn by W. Matthews),,71-88,,
1:38.0,W. Matthews makes free throw 1 of 2,1,72-88,,
1:38.0,W. Matthews makes free throw 2 of 2,1,73-88,,
1:23.0,,,73-88,,S. Napier misses 3-pt shot from 24 ft
1:20.0,,,73-88,,Offensive rebound by E. Davis
1:17.0,,,73-91,3,P. Connaughton makes 3-pt shot from 26 ft (assist by D. Lillard)
1:02.0,W. Matthews misses 3-pt shot from 27 ft,,73-91,,
1:00.0,,,73-91,,Defensive rebound by D. Lillard
0:41.0,,,73-91,,D. Lillard misses 2-pt shot from 6 ft (block by S. Mejri)
0:38.0,Defensive rebound by H. Barnes,,73-91,,
0:38.0,H. Barnes makes 2-pt shot at rim,2,75-91,,
0:38.0,Shooting foul by S. Napier (drawn by H. Barnes),,75-91,,
0:38.0,,,75-91,,Technical foul by E. Davis
0:38.0,H. Barnes makes technical free throw,1,76-91,,
0:38.0,,,76-91,,C. McCollum enters the game for A. Aminu
0:38.0,H. Barnes makes free throw 1 of 1,1,77-91,,
0:32.0,,,77-91,,C. McCollum misses 2-pt shot from 17 ft
0:31.0,,,77-91,,Offensive rebound by P. Connaughton
0:16.0,,,77-91,,D. Lillard misses 2-pt shot from 18 ft
0:14.0,Defensive rebound by J. Barea,,77-91,,
0:00.0,H. Barnes makes 2-pt shot at rim,2,79-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Personal foul by J. Barea (drawn by E. Davis),,79-91,,
11:38.0,,,79-91,,C. McCollum misses 2-pt shot from 11 ft
11:33.0,,,79-91,,Offensive rebound by E. Davis
11:33.0,,,79-93,2,E. Davis makes 2-pt shot at rim
11:21.0,Turnover by J. Barea (bad pass),,79-93,,
11:11.0,,,79-93,,C. McCollum misses 2-pt shot from 1 ft
11:09.0,Defensive rebound by D. Smith,,79-93,,
10:58.0,Shooting foul by A. Aminu (drawn by D. Smith),,79-93,,
10:58.0,D. Smith makes free throw 1 of 3,1,80-93,,
10:58.0,D. Smith makes free throw 2 of 3,1,81-93,,
10:58.0,D. Smith misses free throw 3 of 3,,81-93,,
10:56.0,,,81-93,,Defensive rebound by A. Aminu
10:39.0,,,81-95,2,C. McCollum makes 2-pt shot from 17 ft
10:28.0,D. Powell misses 2-pt shot from 1 ft,,81-95,,
10:25.0,Offensive rebound by D. Smith,,81-95,,
10:21.0,D. Smith misses 2-pt shot at rim (block by E. Davis),,81-95,,
10:19.0,Offensive rebound by D. Smith,,81-95,,
10:17.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,84-95,,
10:03.0,Personal foul by D. Nowitzki (drawn by C. McCollum),,84-95,,
9:49.0,,,84-95,,P. Connaughton misses 2-pt shot from 12 ft
9:45.0,Defensive rebound by D. Powell,,84-95,,
9:36.0,D. Smith makes 3-pt shot from 26 ft (assist by J. Barea),3,87-95,,
9:20.0,,,87-97,2,C. McCollum makes 2-pt shot from 13 ft
9:03.0,Shooting foul by C. McCollum (drawn by Y. Ferrell),,87-97,,
9:03.0,Y. Ferrell makes free throw 1 of 2,1,88-97,,
9:03.0,Y. Ferrell makes free throw 2 of 2,1,89-97,,
8:47.0,,,89-100,3,A. Aminu makes 3-pt shot from 24 ft (assist by S. Napier)
8:28.0,D. Nowitzki misses 2-pt shot from 14 ft,,89-100,,
8:28.0,,,89-100,,Defensive rebound by Team
8:28.0,,,89-100,,D. Lillard enters the game for P. Connaughton
8:11.0,,,89-100,,C. McCollum misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by Team,,89-100,,
7:55.0,Y. Ferrell misses 2-pt shot from 1 ft,,89-100,,
7:53.0,,,89-100,,Defensive rebound by S. Napier
7:44.0,,,89-100,,Turnover by S. Napier (bad pass; steal by D. Smith)
7:42.0,Offensive charge foul by D. Smith (drawn by D. Lillard),,89-100,,
7:42.0,Turnover by D. Smith (offensive foul),,89-100,,
7:42.0,W. Matthews enters the game for D. Smith,,89-100,,
7:23.0,,,89-100,,Turnover by E. Davis (bad pass; steal by Y. Ferrell)
7:14.0,J. Barea makes 2-pt shot from 10 ft,2,91-100,,
6:51.0,,,91-100,,E. Davis misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by J. Barea,,91-100,,
6:36.0,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea),2,93-100,,
6:36.0,,,93-100,,Violation by E. Davis (def goaltending)
6:17.0,,,93-100,,A. Aminu misses 3-pt shot from 25 ft
6:14.0,,,93-100,,Offensive rebound by E. Davis
6:11.0,,,93-103,3,S. Napier makes 3-pt shot from 24 ft (assist by E. Davis)
6:10.0,Dallas full timeout,,93-103,,
6:10.0,,,93-103,,E. Turner enters the game for S. Napier
6:10.0,,,93-103,,J. Nurkic enters the game for E. Davis
6:10.0,S. Mejri enters the game for D. Powell,,93-103,,
6:10.0,H. Barnes enters the game for D. Nowitzki,,93-103,,
5:52.0,S. Mejri makes 2-pt shot at rim (assist by J. Barea),2,95-103,,
5:29.0,,,95-103,,D. Lillard misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by H. Barnes,,95-103,,
5:12.0,W. Matthews misses 3-pt shot from 26 ft,,95-103,,
5:10.0,,,95-103,,Defensive rebound by J. Nurkic
4:51.0,,,95-105,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
4:36.0,Shooting foul by E. Turner (drawn by S. Mejri),,95-105,,
4:36.0,,,95-105,,Technical foul by J. Nurkic
4:36.0,H. Barnes misses technical free throw,,95-105,,
4:36.0,Offensive rebound by Team,,95-105,,
4:36.0,S. Mejri misses free throw 1 of 2,,95-105,,
4:36.0,Offensive rebound by Team,,95-105,,
4:36.0,S. Mejri makes free throw 2 of 2,1,96-105,,
4:31.0,Personal foul by J. Barea (drawn by E. Turner),,96-105,,
4:23.0,,,96-107,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
4:23.0,Violation by S. Mejri (def goaltending),,96-107,,
4:04.0,J. Barea makes 2-pt shot from 7 ft,2,98-107,,
3:47.0,,,98-107,,A. Aminu misses 3-pt shot from 24 ft
3:41.0,,,98-107,,Offensive rebound by J. Nurkic
3:40.0,Jump ball: J. Nurkic vs. Y. Ferrell (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. Y. Ferrell (D. Lillard gains possession)
3:37.0,,,98-107,,D. Lillard misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by H. Barnes,,98-107,,
3:30.0,D. Smith enters the game for Y. Ferrell,,98-107,,
3:28.0,,,98-107,,Personal foul by J. Nurkic (drawn by S. Mejri)
3:22.0,J. Barea makes 2-pt shot at rim,2,100-107,,
3:04.0,,,100-109,2,E. Turner makes 2-pt shot from 5 ft
2:46.0,J. Barea misses 2-pt shot from 20 ft,,100-109,,
2:43.0,Offensive rebound by W. Matthews,,100-109,,
2:40.0,Technical foul by W. Matthews,,100-109,,
2:40.0,,,100-109,,Portland full timeout
2:40.0,,,100-109,,E. Davis enters the game for J. Nurkic
2:40.0,Y. Ferrell enters the game for J. Barea,,100-109,,
2:40.0,,,100-110,1,D. Lillard makes technical free throw
