time,Utah,pts.away,score,pts.home,Toronto
2:12.0,J. Jerebko misses 2-pt shot from 6 ft,,44-41,,
2:10.0,,,44-41,,Defensive rebound by J. Valanciunas
2:02.0,,,44-41,,S. Ibaka misses 2-pt shot from 11 ft
2:00.0,,,44-41,,Offensive rebound by S. Ibaka
1:50.0,,,44-43,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan)
1:30.0,D. Mitchell misses 2-pt shot from 3 ft,,44-43,,
1:28.0,,,44-43,,Defensive rebound by D. DeRozan
1:22.0,,,44-43,,S. Ibaka misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by R. Gobert,,44-43,,
1:05.0,Shooting foul by J. Valanciunas (drawn by R. Gobert),,44-43,,
1:05.0,R. Gobert misses free throw 1 of 2,,44-43,,
1:05.0,Offensive rebound by Team,,44-43,,
1:05.0,R. Gobert makes free throw 2 of 2,1,45-43,,
0:55.0,,,45-45,2,D. DeRozan makes 2-pt shot from 5 ft
0:49.0,Offensive foul by R. Gobert (drawn by D. DeRozan),,45-45,,
0:49.0,Turnover by R. Gobert (offensive foul),,45-45,,
0:35.0,,,45-45,,D. DeRozan misses 2-pt shot from 23 ft
0:32.0,,,45-45,,Offensive rebound by O. Anunoby
0:32.0,,,45-47,2,O. Anunoby makes 2-pt shot at rim
0:24.0,J. Jerebko misses 2-pt shot from 6 ft,,45-47,,
0:22.0,,,45-47,,Defensive rebound by S. Ibaka
0:14.0,Technical foul by R. Gobert,,45-47,,
0:14.0,,,45-48,1,D. DeRozan makes technical free throw
0:14.0,,,45-48,,C. Miles enters the game for O. Anunoby
0:09.0,Personal take foul by J. Ingles (drawn by D. DeRozan),,45-48,,
0:01.0,,,45-48,,D. DeRozan misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by R. Rubio,,45-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,D. Mitchell misses 2-pt shot from 9 ft (block by O. Anunoby),,45-48,,
11:45.0,Offensive rebound by R. Gobert,,45-48,,
11:43.0,,,45-48,,Violation by K. Lowry (kicked ball)
11:29.0,Turnover by R. Gobert (lost ball; steal by O. Anunoby),,45-48,,
11:25.0,,,45-50,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
11:01.0,R. Rubio misses 2-pt shot from 14 ft,,45-50,,
10:59.0,,,45-50,,Defensive rebound by J. Valanciunas
10:52.0,,,45-53,3,J. Valanciunas makes 3-pt shot from 26 ft (assist by K. Lowry)
10:32.0,R. Gobert misses 2-pt shot from 14 ft,,45-53,,
10:31.0,,,45-53,,Defensive rebound by S. Ibaka
10:23.0,,,45-53,,D. DeRozan misses 2-pt shot from 12 ft
10:19.0,,,45-53,,Offensive rebound by J. Valanciunas
10:19.0,,,45-55,2,J. Valanciunas makes 2-pt shot at rim
10:19.0,Utah full timeout,,45-55,,
10:05.0,R. Gobert misses 2-pt shot from 19 ft,,45-55,,
10:04.0,,,45-55,,Defensive rebound by S. Ibaka
9:55.0,,,45-57,2,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Lowry)
9:43.0,D. Mitchell makes 3-pt shot from 25 ft,3,48-57,,
9:29.0,,,48-57,,Shooting foul by D. Favors (drawn by O. Anunoby)
9:29.0,,,48-57,,O. Anunoby misses free throw 1 of 2
9:29.0,,,48-57,,Offensive rebound by Team
9:29.0,,,48-58,1,O. Anunoby makes free throw 2 of 2
9:18.0,Shooting foul by J. Valanciunas (drawn by R. Gobert),,48-58,,
9:18.0,R. Gobert makes free throw 1 of 2,1,49-58,,
9:18.0,R. Gobert makes free throw 2 of 2,1,50-58,,
8:56.0,,,50-58,,K. Lowry misses 2-pt shot from 13 ft (block by R. Gobert)
8:54.0,Defensive rebound by R. Gobert,,50-58,,
8:48.0,R. Rubio misses 2-pt shot from 12 ft,,50-58,,
8:44.0,,,50-58,,Defensive rebound by K. Lowry
8:42.0,,,50-58,,K. Lowry misses 3-pt shot from 26 ft
8:42.0,,,50-58,,Offensive rebound by D. DeRozan
8:36.0,,,50-60,2,S. Ibaka makes 2-pt shot at rim (assist by D. DeRozan)
8:14.0,R. Gobert makes 2-pt shot from 3 ft (assist by R. Rubio),2,52-60,,
8:14.0,Shooting foul by J. Valanciunas (drawn by R. Gobert),,52-60,,
8:14.0,R. Gobert makes free throw 1 of 1,1,53-60,,
7:54.0,,,53-60,,O. Anunoby misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by R. Rubio,,53-60,,
7:43.0,R. Rubio misses 3-pt shot from 22 ft,,53-60,,
7:40.0,,,53-60,,Defensive rebound by S. Ibaka
7:35.0,,,53-60,,Offensive foul by S. Ibaka (drawn by J. Ingles)
7:35.0,,,53-60,,Turnover by S. Ibaka (offensive foul)
7:35.0,J. Jerebko enters the game for D. Favors,,53-60,,
7:24.0,D. Mitchell makes 2-pt shot from 19 ft,2,55-60,,
7:01.0,,,55-60,,J. Valanciunas misses 2-pt shot from 4 ft (block by R. Gobert)
6:58.0,Defensive rebound by D. Mitchell,,55-60,,
6:53.0,,,55-60,,Personal foul by J. Valanciunas (drawn by R. Gobert)
6:53.0,,,55-60,,J. Poeltl enters the game for J. Valanciunas
6:43.0,J. Jerebko misses 3-pt shot from 25 ft,,55-60,,
6:41.0,,,55-60,,Defensive rebound by O. Anunoby
6:36.0,,,55-60,,Shooting foul by J. Ingles (drawn by S. Ibaka)
6:36.0,,,55-60,,S. Ibaka misses free throw 1 of 2
6:36.0,,,55-60,,Offensive rebound by Team
6:36.0,,,55-61,1,S. Ibaka makes free throw 2 of 2
6:23.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Gobert),3,58-61,,
6:10.0,,,58-61,,Toronto full timeout
6:10.0,,,58-61,,F. VanVleet enters the game for O. Anunoby
6:06.0,,,58-61,,K. Lowry misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by R. Rubio,,58-61,,
6:00.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,60-61,,
5:38.0,,,60-61,,D. DeRozan misses 2-pt shot from 4 ft
5:36.0,,,60-61,,Offensive rebound by J. Poeltl
5:36.0,,,60-61,,J. Poeltl misses 2-pt shot at rim
5:36.0,,,60-61,,Offensive rebound by J. Poeltl
5:36.0,Personal foul by R. Rubio (drawn by J. Poeltl),,60-61,,
5:26.0,,,60-61,,D. DeRozan misses 2-pt shot from 2 ft
5:25.0,,,60-61,,Offensive rebound by D. DeRozan
5:25.0,,,60-61,,Toronto full timeout
5:16.0,,,60-61,,D. DeRozan misses 3-pt shot from 23 ft
5:13.0,Defensive rebound by R. Gobert,,60-61,,
5:04.0,Shooting foul by F. VanVleet (drawn by D. Mitchell),,60-61,,
5:04.0,D. Mitchell misses free throw 1 of 2,,60-61,,
5:04.0,Offensive rebound by Team,,60-61,,
5:04.0,D. Mitchell makes free throw 2 of 2,1,61-61,,
4:50.0,Personal foul by R. Rubio (drawn by K. Lowry),,61-61,,
4:45.0,,,61-63,2,D. DeRozan makes 2-pt shot from 1 ft
4:35.0,,,61-63,,Personal foul by S. Ibaka (drawn by J. Jerebko)
4:35.0,J. Jerebko makes free throw 1 of 2,1,62-63,,
4:35.0,A. Burks enters the game for R. Rubio,,62-63,,
4:35.0,J. Jerebko misses free throw 2 of 2,,62-63,,
4:33.0,,,62-63,,Defensive rebound by D. DeRozan
4:24.0,,,62-65,2,D. DeRozan makes 2-pt shot from 14 ft
4:06.0,D. Mitchell makes 3-pt shot from 26 ft,3,65-65,,
3:48.0,,,65-65,,D. DeRozan misses 2-pt shot from 1 ft
3:45.0,,,65-65,,Offensive rebound by J. Poeltl
3:37.0,,,65-67,2,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry)
3:22.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,67-67,,
3:08.0,,,67-67,,K. Lowry misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by A. Burks,,67-67,,
3:02.0,J. Jerebko misses 2-pt shot from 1 ft (block by S. Ibaka),,67-67,,
3:02.0,Offensive rebound by Team,,67-67,,
3:02.0,,,67-67,,P. Siakam enters the game for S. Ibaka
3:02.0,J. Johnson enters the game for J. Jerebko,,67-67,,
2:49.0,J. Johnson misses 2-pt shot from 5 ft,,67-67,,
2:46.0,,,67-67,,Defensive rebound by D. DeRozan
2:28.0,,,67-67,,P. Siakam misses 3-pt shot from 27 ft
2:25.0,Defensive rebound by R. Gobert,,67-67,,
2:14.0,,,67-67,,Personal foul by F. VanVleet (drawn by D. Mitchell)
2:14.0,D. Mitchell makes free throw 1 of 2,1,68-67,,
2:14.0,D. Favors enters the game for J. Ingles,,68-67,,
2:14.0,R. O'Neale enters the game for R. Gobert,,68-67,,
2:14.0,D. Mitchell misses free throw 2 of 2,,68-67,,
2:14.0,,,68-67,,C. Miles enters the game for K. Lowry
2:12.0,,,68-67,,Offensive rebound by P. Siakam
1:55.0,,,68-67,,J. Poeltl misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by A. Burks,,68-67,,
1:40.0,D. Mitchell makes 3-pt shot from 26 ft (assist by A. Burks),3,71-67,,
1:17.0,,,71-67,,F. VanVleet misses 2-pt shot from 5 ft (block by R. O'Neale)
1:17.0,,,71-67,,Offensive rebound by Team
1:12.0,,,71-67,,D. DeRozan misses 2-pt shot from 13 ft
1:12.0,Defensive rebound by Team,,71-67,,
0:58.0,D. Mitchell misses 2-pt shot from 2 ft (block by J. Poeltl),,71-67,,
0:55.0,,,71-67,,Defensive rebound by F. VanVleet
0:50.0,,,71-67,,C. Miles misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by R. O'Neale,,71-67,,
0:38.0,D. Favors misses 2-pt shot at rim,,71-67,,
0:37.0,Offensive rebound by D. Favors,,71-67,,
0:37.0,D. Favors makes 2-pt shot at rim,2,73-67,,
0:34.0,,,73-67,,F. VanVleet misses 3-pt shot from 28 ft
0:30.0,Defensive rebound by J. Johnson,,73-67,,
0:09.0,J. Johnson makes 2-pt shot from 13 ft,2,75-67,,
0:02.0,,,75-69,2,D. DeRozan makes 2-pt shot from 1 ft
0:00.0,D. Mitchell misses 3-pt shot from 59 ft,,75-69,,
0:00.0,Offensive rebound by Team,,75-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,75-69,,P. Siakam misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by J. Johnson,,75-69,,
11:27.0,J. Johnson misses 2-pt shot from 15 ft,,75-69,,
11:21.0,,,75-69,,Defensive rebound by D. Wright
11:19.0,,,75-71,2,P. Siakam makes 2-pt shot at rim (assist by D. Wright)
10:50.0,R. Neto misses 2-pt shot from 5 ft (block by J. Poeltl),,75-71,,
10:46.0,Offensive rebound by R. Neto,,75-71,,
10:46.0,Turnover by R. Neto (bad pass; steal by C. Miles),,75-71,,
10:31.0,,,75-74,3,D. Wright makes 3-pt shot from 25 ft (assist by F. VanVleet)
10:11.0,J. Johnson misses 2-pt shot from 9 ft,,75-74,,
10:08.0,,,75-74,,Defensive rebound by J. Poeltl
10:02.0,,,75-74,,D. Wright misses 2-pt shot from 3 ft
10:00.0,Defensive rebound by D. Favors,,75-74,,
9:51.0,R. Neto misses 2-pt shot from 22 ft,,75-74,,
9:47.0,,,75-74,,Defensive rebound by C. Miles
9:38.0,,,75-74,,F. VanVleet misses 2-pt shot from 19 ft
9:38.0,,,75-74,,Offensive rebound by P. Siakam
9:33.0,,,75-74,,Turnover by P. Siakam (bad pass; steal by J. Johnson)
9:27.0,J. Johnson misses 3-pt shot from 25 ft,,75-74,,
9:22.0,,,75-74,,Defensive rebound by F. VanVleet
9:10.0,,,75-74,,Shooting foul by D. Favors (drawn by J. Poeltl)
9:10.0,,,75-75,1,J. Poeltl makes free throw 1 of 2
9:10.0,,,75-76,1,J. Poeltl makes free throw 2 of 2
8:47.0,A. Burks makes 3-pt shot from 25 ft,3,78-76,,
8:21.0,,,78-79,3,F. VanVleet makes 3-pt shot from 28 ft
8:02.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,80-79,,
7:44.0,,,80-79,,C. Miles misses 3-pt shot from 25 ft
7:42.0,,,80-79,,Offensive rebound by D. Wright
7:40.0,,,80-81,2,D. Wright makes 2-pt shot from 1 ft
7:39.0,Utah full timeout,,80-81,,
7:39.0,,,80-81,,J. Valanciunas enters the game for F. VanVleet
7:39.0,,,80-81,,K. Lowry enters the game for J. Poeltl
7:39.0,D. Mitchell enters the game for A. Burks,,80-81,,
7:39.0,R. Rubio enters the game for R. Neto,,80-81,,
7:22.0,R. Rubio misses 2-pt shot from 15 ft,,80-81,,
7:19.0,Offensive rebound by D. Favors,,80-81,,
7:15.0,D. Mitchell makes 3-pt shot from 25 ft (assist by R. O'Neale),3,83-81,,
6:56.0,,,83-84,3,C. Miles makes 3-pt shot from 23 ft (assist by J. Valanciunas)
6:43.0,D. Mitchell misses 3-pt shot from 25 ft,,83-84,,
6:40.0,,,83-84,,Defensive rebound by P. Siakam
6:19.0,,,83-84,,D. Wright misses 3-pt shot from 26 ft
6:15.0,Defensive rebound by D. Favors,,83-84,,
6:03.0,,,83-84,,Personal foul by K. Lowry (drawn by J. Johnson)
6:03.0,J. Jerebko enters the game for J. Johnson,,83-84,,
6:03.0,J. Ingles enters the game for R. O'Neale,,83-84,,
6:00.0,,,83-84,,Violation by K. Lowry (kicked ball)
6:00.0,,,83-84,,D. DeRozan enters the game for C. Miles
5:53.0,,,83-84,,Personal foul by P. Siakam (drawn by J. Ingles)
5:47.0,Turnover by D. Favors (lost ball; steal by K. Lowry),,83-84,,
5:38.0,,,83-84,,K. Lowry misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by J. Jerebko,,83-84,,
5:28.0,J. Jerebko misses 2-pt shot from 6 ft,,83-84,,
5:24.0,,,83-84,,Defensive rebound by D. Wright
5:19.0,,,83-86,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
5:00.0,Turnover by R. Rubio (bad pass; steal by J. Valanciunas),,83-86,,
5:00.0,Personal foul by D. Favors (drawn by J. Valanciunas),,83-86,,
5:00.0,,,83-86,,S. Ibaka enters the game for P. Siakam
5:00.0,R. Gobert enters the game for D. Favors,,83-86,,
