time,Boston,pts.away,score,pts.home,Houston
11:14.0,,,34-30,,L. Mbah a Moute misses 2-pt shot from 7 ft (block by G. Monroe)
11:13.0,Jump ball: L. Mbah a Moute vs. G. Monroe (J. Tatum gains possession),,,,Jump ball: L. Mbah a Moute vs. G. Monroe (J. Tatum gains possession)
11:13.0,Defensive rebound by Team,,34-30,,
11:03.0,T. Rozier makes 2-pt shot from 21 ft,2,36-30,,
10:45.0,,,36-32,2,N. Hilario makes 2-pt shot from 16 ft (assist by C. Paul)
10:29.0,M. Morris makes 2-pt shot at rim (assist by J. Tatum),2,38-32,,
10:04.0,,,38-32,,J. Johnson misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by G. Monroe,,38-32,,
9:56.0,Shooting foul by L. Mbah a Moute (drawn by J. Tatum),,38-32,,
9:56.0,J. Tatum makes free throw 1 of 2,1,39-32,,
9:56.0,J. Tatum makes free throw 2 of 2,1,40-32,,
9:48.0,,,40-32,,Shooting foul by M. Smart (drawn by E. Gordon)
9:48.0,,,40-32,,E. Gordon misses free throw 1 of 2
9:48.0,,,40-32,,Offensive rebound by Team
9:48.0,,,40-32,,C. Capela enters the game for J. Johnson
9:48.0,,,40-32,,P. Tucker enters the game for L. Mbah a Moute
9:48.0,,,40-32,,J. Harden enters the game for N. Hilario
9:48.0,,,40-33,1,E. Gordon makes free throw 2 of 2
9:33.0,M. Morris makes 2-pt shot from 8 ft,2,42-33,,
9:33.0,Shooting foul by C. Paul (drawn by M. Morris),,42-33,,
9:33.0,M. Morris misses free throw 1 of 1,,42-33,,
9:33.0,,,42-33,,Defensive rebound by C. Capela
9:21.0,,,42-36,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
9:09.0,J. Tatum makes 2-pt shot from 20 ft (assist by M. Morris),2,44-36,,
9:02.0,,,44-36,,Shooting foul by G. Monroe (drawn by E. Gordon)
9:02.0,,,44-37,1,E. Gordon makes free throw 1 of 2
9:02.0,,,44-38,1,E. Gordon makes free throw 2 of 2
8:41.0,,,44-38,,Personal foul by C. Paul
8:41.0,,,44-38,,Technical foul by C. Paul
8:41.0,M. Smart makes technical free throw,1,45-38,,
8:29.0,G. Monroe makes 2-pt shot from 6 ft,2,47-38,,
8:11.0,,,47-40,2,C. Paul makes 2-pt shot from 14 ft
7:53.0,M. Morris misses 3-pt shot from 23 ft,,47-40,,
7:49.0,,,47-40,,Defensive rebound by P. Tucker
7:44.0,,,47-40,,J. Harden misses 3-pt shot from 25 ft
7:42.0,,,47-40,,Offensive rebound by E. Gordon
7:33.0,,,47-43,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
7:29.0,Boston full timeout,,47-43,,
7:29.0,,,47-43,,T. Ariza enters the game for C. Paul
7:29.0,A. Horford enters the game for M. Smart,,47-43,,
7:29.0,K. Irving enters the game for G. Monroe,,47-43,,
7:05.0,T. Rozier misses 2-pt shot from 14 ft,,47-43,,
7:03.0,,,47-43,,Defensive rebound by C. Capela
6:51.0,,,47-43,,E. Gordon misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by A. Horford,,47-43,,
6:39.0,Turnover by A. Horford (bad pass; steal by J. Harden),,47-43,,
6:30.0,,,47-43,,Shooting foul by T. Rozier (drawn by J. Harden)
6:30.0,,,47-44,1,J. Harden makes free throw 1 of 2
6:30.0,J. Brown enters the game for J. Tatum,,47-44,,
6:30.0,,,47-45,1,J. Harden makes free throw 2 of 2
6:16.0,J. Brown misses 2-pt shot from 14 ft,,47-45,,
6:14.0,,,47-45,,Defensive rebound by C. Capela
6:07.0,Personal foul by J. Brown (drawn by J. Harden),,47-45,,
5:53.0,,,47-45,,J. Harden misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by T. Rozier,,47-45,,
5:31.0,A. Horford misses 2-pt shot from 7 ft,,47-45,,
5:30.0,,,47-45,,Defensive rebound by C. Capela
5:24.0,,,47-45,,P. Tucker misses 3-pt shot from 22 ft
5:21.0,Defensive rebound by K. Irving,,47-45,,
5:13.0,K. Irving makes 2-pt shot from 12 ft,2,49-45,,
5:13.0,Shooting foul by E. Gordon (drawn by K. Irving),,49-45,,
5:13.0,,,49-45,,C. Paul enters the game for E. Gordon
5:13.0,K. Irving makes free throw 1 of 1,1,50-45,,
5:01.0,,,50-47,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
4:48.0,K. Irving misses 3-pt shot from 25 ft,,50-47,,
4:45.0,,,50-47,,Defensive rebound by C. Capela
4:22.0,,,50-50,3,J. Harden makes 3-pt shot from 23 ft
3:57.0,A. Horford misses 2-pt shot from 8 ft,,50-50,,
3:56.0,Offensive rebound by Team,,50-50,,
3:56.0,M. Smart enters the game for J. Brown,,50-50,,
3:48.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Rozier),3,53-50,,
3:36.0,Violation by A. Horford (kicked ball),,53-50,,
3:32.0,Personal foul by K. Irving (drawn by J. Harden),,53-50,,
3:32.0,,,53-51,1,J. Harden makes free throw 1 of 2
3:32.0,,,53-52,1,J. Harden makes free throw 2 of 2
3:18.0,T. Rozier makes 3-pt shot from 22 ft (assist by A. Horford),3,56-52,,
3:04.0,,,56-54,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
2:42.0,T. Rozier misses 2-pt shot from 6 ft (block by P. Tucker),,56-54,,
2:41.0,,,56-54,,Defensive rebound by C. Capela
2:40.0,,,56-54,,Turnover by C. Capela (traveling)
2:40.0,,,56-54,,Houston full timeout
2:30.0,A. Horford makes 2-pt shot from 7 ft,2,58-54,,
2:16.0,,,58-56,2,T. Ariza makes 2-pt shot at rim
2:16.0,,,58-56,,Shooting foul by K. Irving (drawn by T. Ariza)
2:16.0,G. Monroe enters the game for M. Morris,,58-56,,
2:16.0,,,58-57,1,T. Ariza makes free throw 1 of 1
2:00.0,T. Rozier makes 2-pt shot from 7 ft,2,60-57,,
1:47.0,,,60-57,,Turnover by P. Tucker (traveling)
1:29.0,M. Smart makes 2-pt shot at rim,2,62-57,,
1:22.0,Personal foul by G. Monroe (drawn by J. Harden),,62-57,,
1:22.0,,,62-57,,J. Harden misses free throw 1 of 2
1:22.0,,,62-57,,Offensive rebound by Team
1:22.0,,,62-58,1,J. Harden makes free throw 2 of 2
1:06.0,G. Monroe misses 2-pt shot from 4 ft (block by C. Capela),,62-58,,
1:04.0,,,62-58,,Defensive rebound by J. Harden
0:58.0,,,62-58,,C. Capela misses 2-pt shot at rim
0:57.0,Defensive rebound by M. Smart,,62-58,,
0:54.0,G. Monroe misses 2-pt shot from 5 ft,,62-58,,
0:53.0,Offensive rebound by A. Horford,,62-58,,
0:52.0,A. Horford makes 2-pt shot at rim,2,64-58,,
0:29.0,,,64-58,,C. Capela misses 2-pt shot from 5 ft (block by M. Smart)
0:26.0,,,64-58,,Offensive rebound by C. Capela
0:26.0,,,64-58,,C. Capela misses 2-pt shot at rim
0:26.0,,,64-58,,Offensive rebound by T. Ariza
0:24.0,,,64-58,,T. Ariza misses 2-pt shot at rim
0:21.0,Jump ball: C. Capela vs. A. Horford (T. Rozier gains possession),,,,Jump ball: C. Capela vs. A. Horford (T. Rozier gains possession)
0:21.0,Defensive rebound by Team,,64-58,,
0:00.0,M. Smart misses 2-pt shot from 20 ft,,64-58,,
0:00.0,Offensive rebound by Team,,64-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Irving makes 2-pt shot from 4 ft,2,66-58,,
11:27.0,,,66-61,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
11:13.0,K. Irving misses 3-pt shot from 25 ft,,66-61,,
11:10.0,,,66-61,,Defensive rebound by T. Ariza
11:04.0,,,66-61,,J. Harden misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by J. Tatum,,66-61,,
10:47.0,Turnover by A. Baynes (turnover),,66-61,,
10:40.0,Personal foul by J. Brown,,66-61,,
10:40.0,Technical foul by J. Brown,,66-61,,
10:40.0,,,66-62,1,J. Harden makes technical free throw
10:38.0,,,66-62,,T. Ariza misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by J. Brown,,66-62,,
10:29.0,J. Brown misses 2-pt shot at rim,,66-62,,
10:28.0,Offensive rebound by A. Baynes,,66-62,,
