time,Washington,pts.away,score,pts.home,Charlotte
2:02.0,,,30-32,2,D. Howard makes 2-pt shot at rim
1:56.0,Shooting foul by M. Carter-Williams (drawn by M. Scott),,30-32,,
1:56.0,M. Scott makes free throw 1 of 2,1,31-32,,
1:56.0,,,31-32,,J. O'Bryant enters the game for N. Batum
1:56.0,,,31-32,,T. Graham enters the game for D. Howard
1:56.0,J. Meeks enters the game for B. Beal,,31-32,,
1:56.0,M. Scott makes free throw 2 of 2,1,32-32,,
1:44.0,,,32-32,,F. Kaminsky misses 2-pt shot from 16 ft
1:40.0,Defensive rebound by T. Satoransky,,32-32,,
1:28.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Scott),2,34-32,,
1:19.0,Personal foul by K. Oubre (drawn by J. Lamb),,34-32,,
1:08.0,,,34-34,2,F. Kaminsky makes 2-pt shot from 5 ft (assist by J. O'Bryant)
0:54.0,Shooting foul by J. Lamb (drawn by J. Meeks),,34-34,,
0:54.0,J. Meeks makes free throw 1 of 2,1,35-34,,
0:54.0,J. Meeks makes free throw 2 of 2,1,36-34,,
0:43.0,,,36-36,2,J. Lamb makes 2-pt shot from 7 ft
0:32.0,M. Scott misses 2-pt shot from 16 ft,,36-36,,
0:32.0,,,36-36,,Defensive rebound by J. O'Bryant
0:18.0,,,36-38,2,J. Lamb makes 2-pt shot from 12 ft
0:00.0,T. Satoransky misses 2-pt shot from 11 ft (block by M. Carter-Williams),,36-38,,
0:00.0,,,36-38,,Defensive rebound by M. Carter-Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,36-40,2,F. Kaminsky makes 2-pt shot from 11 ft
11:16.0,M. Scott makes 3-pt shot from 25 ft (assist by T. Satoransky),3,39-40,,
11:04.0,,,39-42,2,F. Kaminsky makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
10:46.0,Turnover by K. Oubre (bad pass; steal by T. Graham),,39-42,,
10:43.0,,,39-42,,Shooting foul by T. Satoransky (drawn by M. Carter-Williams)
10:43.0,,,39-43,1,M. Carter-Williams makes free throw 1 of 2
10:43.0,,,39-43,,M. Carter-Williams misses free throw 2 of 2
10:37.0,Defensive rebound by K. Oubre,,39-43,,
10:25.0,Turnover by K. Oubre (lost ball; steal by F. Kaminsky),,39-43,,
10:18.0,,,39-46,3,T. Graham makes 3-pt shot from 25 ft (assist by F. Kaminsky)
10:18.0,Washington full timeout,,39-46,,
10:00.0,I. Mahinmi misses 2-pt shot from 3 ft,,39-46,,
9:57.0,,,39-46,,Defensive rebound by F. Kaminsky
9:50.0,,,39-48,2,J. Lamb makes 2-pt shot from 7 ft
9:36.0,M. Scott misses 2-pt shot from 19 ft,,39-48,,
9:34.0,,,39-48,,Defensive rebound by J. O'Bryant
9:22.0,,,39-48,,J. O'Bryant misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by J. Meeks,,39-48,,
9:11.0,M. Scott makes 2-pt shot from 11 ft (assist by I. Mahinmi),2,41-48,,
8:49.0,,,41-48,,M. Carter-Williams misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by K. Oubre,,41-48,,
8:35.0,T. Satoransky makes 2-pt shot from 19 ft (assist by I. Mahinmi),2,43-48,,
8:15.0,,,43-48,,T. Graham misses 3-pt shot from 27 ft
8:12.0,Defensive rebound by M. Scott,,43-48,,
8:06.0,M. Scott misses 2-pt shot from 2 ft,,43-48,,
8:03.0,,,43-48,,Defensive rebound by J. O'Bryant
7:59.0,,,43-50,2,T. Graham makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
7:36.0,K. Oubre misses 2-pt shot from 10 ft,,43-50,,
7:34.0,,,43-50,,Defensive rebound by M. Carter-Williams
7:30.0,,,43-53,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
7:29.0,Washington full timeout,,43-53,,
7:29.0,,,43-53,,K. Walker enters the game for M. Carter-Williams
7:29.0,B. Beal enters the game for I. Mahinmi,,43-53,,
7:29.0,O. Porter enters the game for M. Scott,,43-53,,
7:29.0,M. Morris enters the game for T. Satoransky,,43-53,,
7:29.0,J. Wall enters the game for J. Meeks,,43-53,,
7:20.0,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall),3,46-53,,
6:56.0,,,46-53,,J. O'Bryant misses 2-pt shot from 7 ft
6:54.0,Defensive rebound by B. Beal,,46-53,,
6:49.0,J. Wall makes 2-pt shot from 1 ft,2,48-53,,
6:49.0,,,48-53,,Charlotte full timeout
6:49.0,,,48-54,1,K. Walker makes technical free throw
6:49.0,M. Gortat enters the game for K. Oubre,,48-54,,
6:49.0,,,48-54,,D. Howard enters the game for J. O'Bryant
6:28.0,,,48-54,,K. Walker misses 2-pt shot from 19 ft
6:27.0,,,48-54,,Offensive rebound by J. Lamb
6:27.0,Personal foul by M. Gortat (drawn by D. Howard),,48-54,,
6:17.0,,,48-54,,D. Howard misses 2-pt shot from 3 ft
6:14.0,Defensive rebound by M. Morris,,48-54,,
6:11.0,J. Wall makes 2-pt shot from 1 ft,2,50-54,,
6:11.0,,,50-54,,Violation by D. Howard (def goaltending)
5:58.0,,,50-57,3,K. Walker makes 3-pt shot from 25 ft (assist by D. Howard)
5:46.0,Offensive foul by B. Beal (drawn by T. Graham),,50-57,,
5:46.0,Turnover by B. Beal (offensive foul),,50-57,,
5:46.0,,,50-57,,N. Batum enters the game for T. Graham
5:34.0,Personal foul by M. Morris (drawn by D. Howard),,50-57,,
5:34.0,K. Oubre enters the game for M. Morris,,50-57,,
5:25.0,,,50-57,,F. Kaminsky misses 3-pt shot from 28 ft
5:23.0,,,50-57,,Offensive rebound by D. Howard
5:23.0,,,50-57,,Shooting foul by K. Oubre (drawn by D. Howard)
5:23.0,,,50-58,1,D. Howard makes free throw 1 of 2
5:23.0,,,50-58,,D. Howard misses free throw 2 of 2
5:20.0,Defensive rebound by M. Gortat,,50-58,,
5:05.0,Shooting foul by J. Lamb (drawn by K. Oubre),,50-58,,
5:05.0,K. Oubre misses free throw 1 of 2,,50-58,,
5:05.0,Offensive rebound by Team,,50-58,,
5:05.0,,,50-58,,M. Williams enters the game for J. Lamb
5:05.0,,,50-58,,M. Kidd-Gilchrist enters the game for F. Kaminsky
5:05.0,K. Oubre makes free throw 2 of 2,1,51-58,,
4:57.0,Personal foul by K. Oubre (drawn by N. Batum),,51-58,,
4:57.0,,,51-58,,N. Batum misses free throw 1 of 2
4:57.0,,,51-58,,Offensive rebound by Team
4:57.0,T. Satoransky enters the game for K. Oubre,,51-58,,
4:57.0,,,51-59,1,N. Batum makes free throw 2 of 2
4:41.0,Turnover by B. Beal (bad pass; steal by N. Batum),,51-59,,
4:35.0,,,51-62,3,K. Walker makes 3-pt shot from 27 ft (assist by N. Batum)
4:25.0,J. Wall makes 2-pt shot from 1 ft,2,53-62,,
4:06.0,,,53-64,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
3:50.0,J. Wall misses 2-pt shot from 1 ft,,53-64,,
3:46.0,Offensive rebound by M. Gortat,,53-64,,
3:43.0,T. Satoransky makes 2-pt shot from 8 ft (assist by M. Gortat),2,55-64,,
3:23.0,,,55-66,2,D. Howard makes 2-pt shot from 5 ft
3:23.0,,,55-66,,Shooting foul by M. Gortat (drawn by D. Howard)
3:23.0,,,55-67,1,D. Howard makes free throw 1 of 1
3:13.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,58-67,,
3:08.0,,,58-67,,Technical foul by M. Kidd-Gilchrist
3:08.0,B. Beal makes technical free throw,1,59-67,,
2:46.0,,,59-69,2,M. Williams makes 2-pt shot from 12 ft
2:40.0,J. Wall misses 2-pt shot from 17 ft,,59-69,,
2:37.0,,,59-69,,Defensive rebound by M. Kidd-Gilchrist
2:30.0,,,59-71,2,K. Walker makes 2-pt shot at rim
2:15.0,M. Gortat misses 2-pt shot from 12 ft,,59-71,,
2:13.0,,,59-71,,Defensive rebound by D. Howard
2:03.0,,,59-71,,Turnover by D. Howard (turnover)
1:54.0,B. Beal misses 3-pt shot from 24 ft,,59-71,,
1:51.0,,,59-71,,Defensive rebound by K. Walker
1:43.0,,,59-71,,K. Walker misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by O. Porter,,59-71,,
1:38.0,B. Beal makes 2-pt shot at rim (assist by O. Porter),2,61-71,,
1:21.0,,,61-73,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
1:04.0,Shooting foul by D. Howard (drawn by M. Gortat),,61-73,,
1:04.0,M. Gortat misses free throw 1 of 2,,61-73,,
1:04.0,Offensive rebound by Team,,61-73,,
1:04.0,M. Gortat misses free throw 2 of 2,,61-73,,
1:01.0,,,61-73,,Defensive rebound by N. Batum
0:44.0,,,61-75,2,N. Batum makes 2-pt shot from 14 ft
0:35.0,J. Wall misses 2-pt shot from 8 ft (block by D. Howard),,61-75,,
0:31.0,,,61-75,,Defensive rebound by M. Kidd-Gilchrist
0:31.0,,,61-77,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
0:21.0,B. Beal misses 2-pt shot from 2 ft,,61-77,,
0:21.0,,,61-77,,Defensive rebound by M. Kidd-Gilchrist
0:00.0,,,61-77,,K. Walker misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by O. Porter,,61-77,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,61-77,,D. Howard misses 2-pt shot from 8 ft
11:41.0,Defensive rebound by M. Morris,,61-77,,
11:30.0,O. Porter misses 2-pt shot from 17 ft,,61-77,,
11:28.0,,,61-77,,Defensive rebound by M. Kidd-Gilchrist
11:16.0,,,61-77,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by Team,,61-77,,
10:59.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Morris),3,64-77,,
10:40.0,,,64-80,3,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker)
10:35.0,Turnover by B. Beal (out of bounds lost ball),,64-80,,
10:15.0,,,64-80,,D. Howard misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by Team,,64-80,,
10:08.0,,,64-80,,Personal foul by K. Walker (drawn by J. Wall)
10:04.0,Turnover by B. Beal (lost ball; steal by M. Kidd-Gilchrist),,64-80,,
9:59.0,,,64-80,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by B. Beal)
9:56.0,Defensive rebound by M. Gortat,,64-80,,
9:53.0,J. Wall makes 3-pt shot from 22 ft (assist by B. Beal),3,67-80,,
9:36.0,,,67-83,3,K. Walker makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist)
9:18.0,M. Gortat misses 2-pt shot from 8 ft,,67-83,,
9:15.0,,,67-83,,Defensive rebound by N. Batum
9:03.0,,,67-83,,N. Batum misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by M. Morris,,67-83,,
9:03.0,Shooting foul by M. Kidd-Gilchrist (drawn by O. Porter),,67-83,,
9:03.0,O. Porter misses free throw 1 of 2,,67-83,,
9:03.0,Offensive rebound by Team,,67-83,,
9:03.0,O. Porter makes free throw 2 of 2,1,68-83,,
8:48.0,,,68-86,3,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum)
8:47.0,Washington full timeout,,68-86,,
8:26.0,M. Morris misses 2-pt shot from 11 ft,,68-86,,
8:24.0,Offensive rebound by M. Gortat,,68-86,,
8:17.0,B. Beal misses 2-pt shot from 1 ft (block by D. Howard),,68-86,,
8:14.0,,,68-86,,Defensive rebound by M. Williams
8:10.0,,,68-86,,M. Williams misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by M. Gortat,,68-86,,
7:56.0,J. Wall misses 2-pt shot from 15 ft,,68-86,,
7:54.0,,,68-86,,Defensive rebound by D. Howard
7:45.0,,,68-86,,K. Walker misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by M. Gortat,,68-86,,
7:38.0,Turnover by J. Wall (bad pass; steal by D. Howard),,68-86,,
7:18.0,,,68-86,,M. Williams misses 2-pt shot from 2 ft (block by J. Wall)
7:12.0,,,68-86,,Offensive rebound by M. Williams
7:12.0,,,68-86,,M. Williams misses 2-pt shot at rim
7:11.0,Defensive rebound by M. Morris,,68-86,,
7:03.0,B. Beal misses 2-pt shot from 11 ft (block by K. Walker),,68-86,,
7:03.0,Offensive rebound by Team,,68-86,,
7:01.0,M. Morris misses 2-pt shot from 17 ft,,68-86,,
6:57.0,Offensive rebound by M. Gortat,,68-86,,
6:53.0,Turnover by J. Wall (lost ball; steal by M. Kidd-Gilchrist),,68-86,,
6:51.0,,,68-86,,Shooting foul by M. Morris (drawn by M. Kidd-Gilchrist)
6:51.0,M. Scott enters the game for M. Gortat,,68-86,,
6:51.0,,,68-87,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:51.0,,,68-88,1,M. Kidd-Gilchrist makes free throw 2 of 2
6:42.0,M. Scott makes 2-pt shot from 13 ft (assist by J. Wall),2,70-88,,
6:17.0,,,70-90,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by N. Batum)
5:54.0,B. Beal makes 2-pt shot from 11 ft,2,72-90,,
5:40.0,,,72-93,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
5:27.0,O. Porter misses 3-pt shot from 22 ft,,72-93,,
5:23.0,,,72-93,,Defensive rebound by D. Howard
5:10.0,,,72-93,,Shooting foul by M. Scott (drawn by M. Kidd-Gilchrist)
5:10.0,,,72-94,1,M. Kidd-Gilchrist makes free throw 1 of 2
5:10.0,,,72-95,1,M. Kidd-Gilchrist makes free throw 2 of 2
5:00.0,B. Beal misses 2-pt shot from 14 ft,,72-95,,
4:57.0,,,72-95,,Defensive rebound by D. Howard
4:50.0,,,72-95,,K. Walker misses 2-pt shot from 2 ft
4:46.0,,,72-95,,Offensive rebound by K. Walker
4:43.0,,,72-97,2,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by K. Walker)
4:30.0,M. Morris misses 3-pt shot from 25 ft,,72-97,,
4:28.0,,,72-97,,Defensive rebound by Team
4:28.0,K. Oubre enters the game for O. Porter,,72-97,,
4:11.0,,,72-97,,N. Batum misses 3-pt shot from 27 ft
4:08.0,Defensive rebound by J. Wall,,72-97,,
4:03.0,B. Beal misses 2-pt shot from 18 ft,,72-97,,
4:00.0,,,72-97,,Defensive rebound by D. Howard
3:41.0,,,72-97,,Shooting foul by J. Wall (drawn by M. Kidd-Gilchrist)
3:41.0,,,72-97,,M. Kidd-Gilchrist misses free throw 1 of 2
3:41.0,,,72-97,,Offensive rebound by Team
3:41.0,,,72-97,,F. Kaminsky enters the game for M. Williams
3:41.0,T. Satoransky enters the game for J. Wall,,72-97,,
3:41.0,,,72-98,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:22.0,M. Morris misses 3-pt shot from 26 ft,,72-98,,
3:17.0,,,72-98,,Defensive rebound by D. Howard
3:03.0,,,72-98,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
3:01.0,Defensive rebound by M. Morris,,72-98,,
2:52.0,K. Oubre misses 3-pt shot from 26 ft,,72-98,,
2:47.0,,,72-98,,Defensive rebound by K. Walker
2:38.0,,,72-100,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
2:22.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Scott),2,74-100,,
2:02.0,,,74-100,,F. Kaminsky misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by K. Oubre,,74-100,,
1:55.0,B. Beal misses 3-pt shot from 26 ft,,74-100,,
1:50.0,Offensive rebound by B. Beal,,74-100,,
1:50.0,B. Beal makes 2-pt shot from 10 ft,2,76-100,,
1:50.0,,,76-100,,Charlotte full timeout
1:50.0,,,76-100,,J. Lamb enters the game for N. Batum
1:50.0,,,76-100,,T. Graham enters the game for M. Kidd-Gilchrist
1:50.0,J. Meeks enters the game for B. Beal,,76-100,,
1:50.0,J. Smith enters the game for M. Morris,,76-100,,
1:30.0,,,76-100,,K. Walker misses 3-pt shot from 26 ft
1:27.0,Defensive rebound by K. Oubre,,76-100,,
1:17.0,K. Oubre misses 2-pt shot from 5 ft,,76-100,,
1:14.0,,,76-100,,Defensive rebound by D. Howard
1:06.0,,,76-100,,K. Walker misses 2-pt shot from 3 ft
1:04.0,Defensive rebound by T. Satoransky,,76-100,,
0:57.0,M. Scott makes 3-pt shot from 25 ft (assist by T. Satoransky),3,79-100,,
0:39.0,,,79-100,,J. Lamb misses 2-pt shot from 7 ft
0:37.0,Defensive rebound by K. Oubre,,79-100,,
0:28.0,Turnover by T. Satoransky (bad pass),,79-100,,
0:02.0,,,79-100,,K. Walker misses 2-pt shot from 18 ft
0:01.0,,,79-100,,Offensive rebound by T. Graham
0:01.0,,,79-100,,Shooting foul by K. Oubre (drawn by T. Graham)
0:01.0,,,79-101,1,T. Graham makes free throw 1 of 2
0:01.0,,,79-102,1,T. Graham makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,79-102,,Personal foul by T. Graham (drawn by K. Oubre)
11:44.0,K. Oubre makes 2-pt shot from 19 ft (assist by J. Smith),2,81-102,,
11:30.0,,,81-102,,Offensive foul by J. O'Bryant (drawn by K. Oubre)
11:30.0,,,81-102,,Turnover by J. O'Bryant (offensive foul)
11:12.0,J. Smith misses 2-pt shot from 14 ft,,81-102,,
11:08.0,,,81-102,,Defensive rebound by M. Carter-Williams
10:45.0,,,81-102,,F. Kaminsky misses 2-pt shot from 12 ft
10:42.0,,,81-102,,Offensive rebound by J. Lamb
10:37.0,,,81-102,,J. Lamb misses 2-pt shot from 6 ft
10:37.0,,,81-102,,Turnover by J. O'Bryant (offensive goaltending)
10:37.0,,,81-102,,Offensive rebound by J. Lamb
10:24.0,,,81-102,,Personal foul by J. Lamb (drawn by K. Oubre)
10:22.0,,,81-102,,Personal foul by T. Graham (drawn by K. Oubre)
10:11.0,J. Smith makes 2-pt shot from 2 ft (assist by M. Scott),2,83-102,,
9:58.0,Personal foul by J. Smith (drawn by J. Lamb),,83-102,,
9:47.0,,,83-104,2,F. Kaminsky makes 2-pt shot from 7 ft
9:47.0,,,83-104,,Shooting foul by J. Smith (drawn by F. Kaminsky)
9:47.0,,,83-105,1,F. Kaminsky makes free throw 1 of 1
9:37.0,J. Smith makes 2-pt shot from 2 ft (assist by T. Satoransky),2,85-105,,
9:20.0,,,85-105,,T. Graham misses 2-pt shot from 4 ft (block by J. Smith)
9:20.0,,,85-105,,Offensive rebound by Team
9:15.0,,,85-108,3,J. Lamb makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
9:09.0,J. Meeks makes 2-pt shot from 5 ft,2,87-108,,
9:09.0,Shooting foul by J. Lamb (drawn by J. Meeks),,87-108,,
9:09.0,J. Meeks misses free throw 1 of 1,,87-108,,
9:06.0,,,87-108,,Defensive rebound by T. Graham
8:50.0,,,87-110,2,F. Kaminsky makes 2-pt shot from 3 ft (assist by T. Graham)
8:32.0,Turnover by J. Meeks (bad pass; steal by J. O'Bryant),,87-110,,
8:21.0,,,87-110,,F. Kaminsky misses 2-pt shot from 8 ft
8:21.0,,,87-110,,Offensive rebound by J. O'Bryant
8:21.0,,,87-110,,Shooting foul by M. Scott (drawn by J. O'Bryant)
8:21.0,,,87-111,1,J. O'Bryant makes free throw 1 of 2
8:21.0,,,87-112,1,J. O'Bryant makes free throw 2 of 2
8:04.0,M. Scott makes 2-pt shot from 18 ft,2,89-112,,
7:47.0,,,89-114,2,J. Lamb makes 2-pt shot from 1 ft
7:38.0,K. Oubre makes 2-pt shot from 17 ft (assist by T. Satoransky),2,91-114,,
7:24.0,Personal foul by M. Scott (drawn by M. Carter-Williams),,91-114,,
7:16.0,,,91-116,2,T. Graham makes 2-pt shot from 19 ft (assist by F. Kaminsky)
7:06.0,,,91-116,,Personal foul by T. Graham (drawn by K. Oubre)
7:06.0,K. Oubre makes free throw 1 of 2,1,92-116,,
7:06.0,K. Oubre makes free throw 2 of 2,1,93-116,,
6:52.0,,,93-116,,F. Kaminsky misses 2-pt shot from 2 ft (block by J. Smith)
6:49.0,Defensive rebound by M. Scott,,93-116,,
6:48.0,Turnover by K. Oubre (bad pass),,93-116,,
6:48.0,,,93-116,,Charlotte full timeout
6:48.0,C. McCullough enters the game for M. Scott,,93-116,,
6:48.0,T. Frazier enters the game for T. Satoransky,,93-116,,
6:30.0,,,93-116,,F. Kaminsky misses 2-pt shot from 9 ft
6:27.0,Defensive rebound by J. Meeks,,93-116,,
6:14.0,K. Oubre makes 3-pt shot from 26 ft (assist by J. Smith),3,96-116,,
5:55.0,,,96-116,,F. Kaminsky misses 3-pt shot from 25 ft
5:51.0,,,96-116,,Offensive rebound by J. O'Bryant
5:45.0,,,96-119,3,J. Lamb makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:24.0,J. Smith misses 2-pt shot from 19 ft,,96-119,,
5:21.0,,,96-119,,Defensive rebound by T. Graham
5:21.0,,,96-119,,Turnover by T. Graham (bad pass)
5:15.0,Shooting foul by M. Carter-Williams (drawn by T. Frazier),,96-119,,
5:15.0,T. Frazier misses free throw 1 of 2,,96-119,,
5:15.0,Offensive rebound by Team,,96-119,,
5:15.0,T. Frazier misses free throw 2 of 2,,96-119,,
5:08.0,Offensive rebound by J. Smith,,96-119,,
5:05.0,J. Meeks makes 3-pt shot from 26 ft (assist by J. Smith),3,99-119,,
4:54.0,,,99-119,,Shooting foul by J. Smith (drawn by M. Carter-Williams)
