time,Memphis,pts.away,score,pts.home,Denver
3:21.0,A. Harrison makes free throw 2 of 2,1,42-38,,
3:03.0,,,42-38,,T. Lyles misses 3-pt shot from 22 ft
3:01.0,Defensive rebound by J. Ennis,,42-38,,
2:43.0,A. Harrison makes 2-pt shot from 2 ft,2,44-38,,
2:22.0,,,44-38,,Turnover by W. Barton (out of bounds lost ball)
1:58.0,J. Ennis misses 3-pt shot from 24 ft,,44-38,,
1:55.0,,,44-38,,Defensive rebound by W. Barton
1:49.0,,,44-41,3,W. Barton makes 3-pt shot from 25 ft (assist by T. Lyles)
1:28.0,M. Gasol misses 3-pt shot from 24 ft,,44-41,,
1:25.0,Offensive rebound by J. Ennis,,44-41,,
1:15.0,J. Ennis makes 3-pt shot from 22 ft (assist by A. Harrison),3,47-41,,
0:53.0,,,47-41,,W. Chandler misses 2-pt shot from 15 ft
0:51.0,Defensive rebound by A. Harrison,,47-41,,
0:49.0,Turnover by A. Harrison (bad pass; steal by T. Lyles),,47-41,,
0:41.0,,,47-43,2,T. Lyles makes 2-pt shot from 2 ft
0:25.0,J. Ennis misses 3-pt shot from 22 ft,,47-43,,
0:22.0,,,47-43,,Defensive rebound by W. Barton
0:02.0,,,47-43,,T. Lyles misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by M. Gasol,,47-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-45,2,W. Barton makes 2-pt shot from 2 ft
11:28.0,M. Gasol makes 2-pt shot from 14 ft (assist by T. Evans),2,49-45,,
11:04.0,,,49-45,,N. Jokic misses 2-pt shot from 3 ft
11:01.0,Defensive rebound by M. Gasol,,49-45,,
11:00.0,D. Brooks misses 2-pt shot from 4 ft,,49-45,,
10:57.0,,,49-45,,Defensive rebound by J. Murray
10:47.0,,,49-45,,Turnover by M. Plumlee (bad pass; steal by A. Harrison)
10:41.0,,,49-45,,Personal block foul by M. Plumlee (drawn by A. Harrison)
10:33.0,D. Brooks misses 3-pt shot from 22 ft,,49-45,,
10:30.0,,,49-45,,Defensive rebound by W. Barton
10:18.0,,,49-45,,W. Chandler misses 3-pt shot from 23 ft
10:14.0,,,49-45,,Offensive rebound by M. Plumlee
10:13.0,,,49-45,,W. Barton misses 3-pt shot from 24 ft
10:12.0,,,49-45,,Offensive rebound by M. Plumlee
10:00.0,Personal foul by M. Gasol (drawn by N. Jokic),,49-45,,
9:48.0,,,49-45,,W. Chandler misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by J. Green,,49-45,,
9:37.0,Turnover by T. Evans (bad pass; steal by J. Murray),,49-45,,
9:33.0,,,49-45,,Shooting foul by T. Evans (drawn by J. Murray)
9:33.0,,,49-46,1,J. Murray makes free throw 1 of 2
9:33.0,,,49-47,1,J. Murray makes free throw 2 of 2
9:18.0,,,49-47,,Personal block foul by M. Plumlee (drawn by M. Gasol)
9:18.0,,,49-47,,T. Lyles enters the game for M. Plumlee
9:07.0,M. Gasol misses 2-pt shot from 11 ft,,49-47,,
9:04.0,,,49-47,,Defensive rebound by J. Murray
9:00.0,Shooting block foul by M. Gasol (drawn by J. Murray),,49-47,,
9:00.0,,,49-47,,J. Murray misses free throw 1 of 2
9:00.0,,,49-47,,Offensive rebound by Team
9:00.0,,,49-48,1,J. Murray makes free throw 2 of 2
8:44.0,T. Evans makes 3-pt shot from 24 ft (assist by M. Gasol),3,52-48,,
8:26.0,,,52-48,,W. Barton misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by M. Gasol,,52-48,,
8:16.0,T. Evans misses 2-pt shot from 4 ft (block by W. Chandler),,52-48,,
8:10.0,Offensive rebound by T. Evans,,52-48,,
8:04.0,Turnover by T. Evans (traveling),,52-48,,
7:44.0,Personal foul by D. Brooks (drawn by N. Jokic),,52-48,,
7:30.0,,,52-50,2,T. Lyles makes 2-pt shot from 16 ft (assist by W. Chandler)
7:19.0,T. Evans makes 2-pt shot from 3 ft,2,54-50,,
6:59.0,,,54-50,,Shooting foul by D. Brooks (drawn by N. Jokic)
6:59.0,,,54-50,,Denver full timeout
6:59.0,J. Ennis enters the game for D. Brooks,,54-50,,
6:59.0,,,54-51,1,N. Jokic makes free throw 1 of 2
6:59.0,,,54-52,1,N. Jokic makes free throw 2 of 2
6:46.0,J. Green misses 2-pt shot from 20 ft,,54-52,,
6:43.0,,,54-52,,Defensive rebound by W. Chandler
6:35.0,,,54-52,,J. Murray misses 2-pt shot from 6 ft
6:30.0,Defensive rebound by A. Harrison,,54-52,,
6:26.0,M. Gasol misses 3-pt shot from 24 ft,,54-52,,
6:23.0,,,54-52,,Defensive rebound by W. Chandler
6:02.0,,,54-52,,N. Jokic misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by T. Evans,,54-52,,
5:45.0,T. Evans misses 3-pt shot from 24 ft,,54-52,,
5:41.0,,,54-52,,Defensive rebound by W. Barton
5:28.0,,,54-54,2,N. Jokic makes 2-pt shot from 3 ft
5:17.0,Offensive foul by J. Green (drawn by N. Jokic),,54-54,,
5:17.0,Turnover by J. Green (offensive foul),,54-54,,
5:17.0,,,54-54,,M. Beasley enters the game for W. Barton
5:17.0,M. Chalmers enters the game for J. Green,,54-54,,
5:17.0,J. Martin enters the game for A. Harrison,,54-54,,
5:06.0,Personal foul by M. Gasol (drawn by N. Jokic),,54-54,,
5:06.0,,,54-55,1,N. Jokic makes free throw 1 of 2
5:06.0,,,54-56,1,N. Jokic makes free throw 2 of 2
4:42.0,T. Evans misses 3-pt shot from 24 ft,,54-56,,
4:39.0,,,54-56,,Defensive rebound by T. Lyles
4:25.0,,,54-58,2,T. Lyles makes 2-pt shot from 3 ft
4:17.0,Memphis full timeout,,54-58,,
4:17.0,A. Harrison enters the game for T. Evans,,54-58,,
4:01.0,M. Gasol makes 2-pt shot from 7 ft (assist by J. Ennis),2,56-58,,
3:38.0,,,56-58,,J. Murray misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by J. Martin,,56-58,,
3:23.0,M. Gasol misses 3-pt shot from 24 ft,,56-58,,
3:20.0,,,56-58,,Defensive rebound by J. Murray
3:02.0,,,56-60,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
2:43.0,J. Ennis misses 2-pt shot from 3 ft,,56-60,,
2:41.0,,,56-60,,Defensive rebound by N. Jokic
2:33.0,,,56-60,,T. Lyles misses 2-pt shot from 2 ft (block by M. Gasol)
2:33.0,Defensive rebound by Team,,56-60,,
2:33.0,,,56-60,,W. Barton enters the game for W. Chandler
2:33.0,,,56-60,,R. Jefferson enters the game for J. Murray
2:33.0,D. Brooks enters the game for M. Gasol,,56-60,,
2:33.0,D. Davis enters the game for A. Harrison,,56-60,,
2:15.0,Shooting foul by M. Beasley (drawn by M. Chalmers),,56-60,,
2:15.0,M. Chalmers makes free throw 1 of 2,1,57-60,,
2:15.0,,,57-60,,K. Faried enters the game for N. Jokic
2:15.0,M. Chalmers makes free throw 2 of 2,1,58-60,,
1:52.0,,,58-63,3,M. Beasley makes 3-pt shot from 23 ft (assist by W. Barton)
1:27.0,D. Davis makes 2-pt shot from 2 ft (assist by D. Brooks),2,60-63,,
1:06.0,,,60-63,,Shooting foul by D. Davis (drawn by R. Jefferson)
1:06.0,,,60-64,1,R. Jefferson makes free throw 1 of 2
1:06.0,,,60-65,1,R. Jefferson makes free throw 2 of 2
0:48.0,Turnover by J. Martin (lost ball; steal by K. Faried),,60-65,,
0:40.0,,,60-65,,Shooting foul by J. Ennis (drawn by M. Beasley)
0:40.0,,,60-65,,M. Beasley misses free throw 1 of 3
0:40.0,,,60-65,,Offensive rebound by Team
0:40.0,,,60-66,1,M. Beasley makes free throw 2 of 3
0:40.0,,,60-67,1,M. Beasley makes free throw 3 of 3
0:39.0,T. Evans enters the game for D. Davis,,60-67,,
0:30.0,J. Ennis misses 2-pt shot from 2 ft,,60-67,,
0:27.0,,,60-67,,Defensive rebound by W. Barton
0:06.0,,,60-67,,W. Barton misses 2-pt shot from 6 ft
0:04.0,,,60-67,,Offensive rebound by K. Faried
0:04.0,,,60-67,,Turnover by Team (shot clock)
0:03.0,,,60-67,,Personal take foul by R. Jefferson (drawn by T. Evans)
0:00.0,J. Martin misses 2-pt shot from 15 ft,,60-67,,
0:00.0,,,60-67,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Brooks misses 2-pt shot from 22 ft,,60-67,,
11:40.0,,,60-67,,Defensive rebound by T. Lyles
11:22.0,,,60-67,,T. Lyles misses 2-pt shot from 8 ft
11:20.0,Defensive rebound by J. Martin,,60-67,,
11:13.0,M. Chalmers misses 2-pt shot from 2 ft (block by W. Barton),,60-67,,
11:10.0,,,60-67,,Defensive rebound by M. Beasley
11:07.0,,,60-67,,Turnover by W. Barton (lost ball; steal by T. Evans)
11:03.0,T. Evans makes 2-pt shot from 1 ft,2,62-67,,
10:52.0,,,62-67,,Offensive foul by K. Faried (drawn by M. Chalmers)
10:52.0,,,62-67,,Turnover by K. Faried (offensive foul)
10:35.0,T. Evans misses 2-pt shot from 3 ft,,62-67,,
10:32.0,,,62-67,,Defensive rebound by T. Lyles
10:17.0,Personal foul by M. Chalmers (drawn by T. Lyles),,62-67,,
10:04.0,,,62-67,,Turnover by R. Jefferson (bad pass; steal by M. Chalmers)
9:57.0,T. Evans makes 2-pt shot from 2 ft,2,64-67,,
9:57.0,,,64-67,,Denver full timeout
9:33.0,,,64-67,,M. Beasley misses 2-pt shot from 4 ft
9:27.0,,,64-67,,Offensive rebound by K. Faried
9:27.0,,,64-67,,K. Faried misses 2-pt shot at rim
9:27.0,,,64-67,,Offensive rebound by T. Lyles
9:25.0,,,64-69,2,T. Lyles makes 2-pt shot at rim
9:12.0,J. Martin misses 2-pt shot from 3 ft,,64-69,,
9:10.0,,,64-69,,Defensive rebound by R. Jefferson
9:01.0,,,64-71,2,R. Jefferson makes 2-pt shot from 14 ft (assist by W. Barton)
8:37.0,B. McLemore misses 2-pt shot from 4 ft,,64-71,,
8:35.0,,,64-71,,Defensive rebound by K. Faried
8:29.0,,,64-71,,Shooting foul by B. McLemore (drawn by W. Barton)
8:29.0,,,64-72,1,W. Barton makes free throw 1 of 2
8:29.0,M. Gasol enters the game for J. Martin,,64-72,,
8:29.0,,,64-73,1,W. Barton makes free throw 2 of 2
8:10.0,M. Gasol makes 2-pt shot from 10 ft (assist by M. Chalmers),2,66-73,,
7:46.0,,,66-75,2,K. Faried makes 2-pt shot from 2 ft
7:38.0,T. Evans misses 2-pt shot from 3 ft,,66-75,,
7:36.0,,,66-75,,Defensive rebound by K. Faried
7:25.0,,,66-75,,K. Faried misses 2-pt shot from 3 ft (block by M. Chalmers)
7:22.0,Defensive rebound by M. Chalmers,,66-75,,
7:21.0,Offensive charge foul by B. McLemore (drawn by M. Beasley),,66-75,,
7:21.0,Turnover by B. McLemore (offensive foul),,66-75,,
7:21.0,,,66-75,,M. Plumlee enters the game for K. Faried
7:21.0,J. Green enters the game for B. McLemore,,66-75,,
7:10.0,,,66-75,,M. Beasley misses 2-pt shot from 21 ft
7:08.0,Defensive rebound by J. Green,,66-75,,
7:08.0,Turnover by J. Green (step out of bounds),,66-75,,
6:49.0,,,66-77,2,T. Lyles makes 2-pt shot from 5 ft (assist by M. Plumlee)
6:32.0,M. Gasol misses 2-pt shot from 3 ft,,66-77,,
6:30.0,,,66-77,,Defensive rebound by M. Plumlee
6:27.0,Personal foul by J. Green (drawn by M. Beasley),,66-77,,
6:15.0,,,66-79,2,M. Plumlee makes 2-pt shot from 2 ft (assist by M. Beasley)
6:14.0,Memphis full timeout,,66-79,,
6:14.0,A. Harrison enters the game for M. Chalmers,,66-79,,
6:02.0,Turnover by T. Evans (bad pass; steal by W. Barton),,66-79,,
5:40.0,,,66-79,,Turnover by T. Lyles (lost ball; steal by A. Harrison)
5:36.0,A. Harrison misses 2-pt shot from 2 ft,,66-79,,
5:36.0,Offensive rebound by Team,,66-79,,
5:36.0,,,66-79,,J. Murray enters the game for M. Beasley
5:30.0,A. Harrison makes 2-pt shot from 12 ft,2,68-79,,
5:18.0,Violation by M. Gasol (kicked ball),,68-79,,
5:18.0,,,68-79,,N. Jokic enters the game for T. Lyles
5:18.0,,,68-79,,W. Chandler enters the game for R. Jefferson
5:03.0,,,68-79,,Turnover by J. Murray (lost ball; steal by A. Harrison)
5:00.0,J. Green makes 2-pt shot from 1 ft,2,70-79,,
4:36.0,Personal foul by J. Green (drawn by N. Jokic),,70-79,,
4:23.0,,,70-79,,Turnover by W. Barton (lost ball; steal by T. Evans)
4:19.0,Turnover by T. Evans (out of bounds lost ball),,70-79,,
4:11.0,Personal foul by T. Evans (drawn by J. Murray),,70-79,,
4:11.0,,,70-80,1,J. Murray makes free throw 1 of 2
4:11.0,,,70-81,1,J. Murray makes free throw 2 of 2
3:53.0,,,70-81,,Loose ball foul by M. Plumlee (drawn by M. Gasol)
3:39.0,J. Green misses 2-pt shot from 5 ft,,70-81,,
3:37.0,,,70-81,,Defensive rebound by M. Plumlee
3:25.0,,,70-81,,Turnover by J. Murray (lost ball; steal by D. Brooks)
3:23.0,Shooting foul by W. Barton (drawn by A. Harrison),,70-81,,
3:23.0,A. Harrison makes free throw 1 of 2,1,71-81,,
3:23.0,J. Ennis enters the game for J. Green,,71-81,,
3:23.0,A. Harrison makes free throw 2 of 2,1,72-81,,
3:13.0,,,72-84,3,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray)
2:54.0,,,72-84,,Personal foul by J. Murray (drawn by M. Gasol)
2:46.0,D. Brooks makes 2-pt shot from 2 ft (assist by A. Harrison),2,74-84,,
2:24.0,,,74-84,,W. Barton misses 3-pt shot from 24 ft
2:21.0,,,74-84,,Offensive rebound by M. Plumlee
2:14.0,,,74-84,,W. Chandler misses 2-pt shot from 3 ft
2:12.0,Defensive rebound by T. Evans,,74-84,,
2:09.0,J. Ennis makes 2-pt shot from 2 ft (assist by T. Evans),2,76-84,,
2:08.0,,,76-84,,Denver full timeout
2:08.0,,,76-84,,T. Lyles enters the game for M. Plumlee
2:08.0,J. Green enters the game for A. Harrison,,76-84,,
1:54.0,,,76-86,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
1:46.0,M. Gasol misses 3-pt shot from 25 ft,,76-86,,
1:42.0,,,76-86,,Defensive rebound by W. Chandler
1:27.0,,,76-86,,Shooting foul by M. Gasol (drawn by N. Jokic)
1:27.0,,,76-87,1,N. Jokic makes free throw 1 of 2
1:27.0,,,76-87,,N. Jokic misses free throw 2 of 2
1:26.0,Defensive rebound by M. Gasol,,76-87,,
1:26.0,Memphis full timeout,,76-87,,
1:16.0,T. Evans misses 3-pt shot from 25 ft,,76-87,,
1:14.0,Offensive rebound by M. Gasol,,76-87,,
1:13.0,D. Brooks misses 3-pt shot from 24 ft,,76-87,,
