time,Washington,pts.away,score,pts.home,LA Lakers
2:32.0,,,14-19,2,J. Clarkson makes 2-pt shot from 1 ft
2:21.0,K. Oubre makes 2-pt shot from 2 ft,2,16-19,,
1:58.0,,,16-19,,Turnover by J. Clarkson (lost ball; steal by T. Frazier)
1:51.0,M. Scott makes 2-pt shot from 2 ft (assist by T. Frazier),2,18-19,,
1:51.0,,,18-19,,Shooting block foul by J. Randle (drawn by M. Scott)
1:51.0,,,18-19,,J. Hart enters the game for K. Caldwell-Pope
1:51.0,M. Scott misses free throw 1 of 1,,18-19,,
1:38.0,,,18-19,,Defensive rebound by J. Randle
1:21.0,,,18-21,2,J. Randle makes 2-pt shot from 13 ft
1:06.0,Turnover by I. Mahinmi (lost ball; steal by J. Hart),,18-21,,
1:00.0,,,18-23,2,J. Randle makes 2-pt shot from 1 ft (assist by C. Brewer)
0:37.0,T. Frazier misses 2-pt shot from 21 ft,,18-23,,
0:33.0,,,18-23,,Defensive rebound by J. Hart
0:28.0,,,18-23,,J. Randle misses 2-pt shot from 17 ft
0:28.0,Defensive rebound by T. Frazier,,18-23,,
0:05.0,B. Beal misses 2-pt shot from 3 ft,,18-23,,
0:01.0,,,18-23,,Defensive rebound by J. Randle
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Scott misses 2-pt shot from 10 ft,,18-23,,
11:39.0,,,18-23,,Defensive rebound by J. Clarkson
11:28.0,,,18-23,,K. Kuzma misses 2-pt shot from 4 ft
11:25.0,Defensive rebound by J. Meeks,,18-23,,
11:18.0,J. Meeks makes 2-pt shot from 21 ft (assist by T. Frazier),2,20-23,,
10:55.0,,,20-25,2,J. Hart makes 2-pt shot from 1 ft (assist by J. Clarkson)
10:40.0,M. Scott misses 2-pt shot from 8 ft,,20-25,,
10:36.0,Offensive rebound by K. Oubre,,20-25,,
10:35.0,K. Oubre misses 2-pt shot from 2 ft,,20-25,,
10:35.0,Offensive rebound by I. Mahinmi,,20-25,,
10:29.0,I. Mahinmi makes 2-pt shot from 2 ft,2,22-25,,
10:15.0,,,22-27,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
10:05.0,J. Meeks makes 3-pt shot from 27 ft (assist by T. Frazier),3,25-27,,
9:52.0,,,25-29,2,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Clarkson)
9:46.0,Shooting foul by J. Clarkson (drawn by T. Frazier),,25-29,,
9:46.0,T. Frazier makes free throw 1 of 2,1,26-29,,
9:46.0,,,26-29,,K. Caldwell-Pope enters the game for C. Brewer
9:46.0,O. Porter enters the game for K. Oubre,,26-29,,
9:46.0,T. Frazier makes free throw 2 of 2,1,27-29,,
9:26.0,,,27-29,,J. Hart misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by M. Scott,,27-29,,
9:14.0,O. Porter makes 2-pt shot from 16 ft (assist by T. Frazier),2,29-29,,
9:01.0,,,29-29,,Turnover by J. Clarkson (bad pass; steal by M. Scott)
8:51.0,J. Meeks makes 3-pt shot from 26 ft (assist by T. Frazier),3,32-29,,
8:50.0,,,32-29,,LA Lakers full timeout
8:50.0,,,32-29,,L. Ball enters the game for J. Clarkson
8:35.0,,,32-31,2,K. Kuzma makes 2-pt shot from 14 ft (assist by K. Caldwell-Pope)
8:10.0,M. Scott makes 2-pt shot from 6 ft,2,34-31,,
8:04.0,,,34-31,,Turnover by J. Randle (traveling)
8:04.0,,,34-31,,L. Nance enters the game for J. Randle
8:04.0,J. Wall enters the game for T. Frazier,,34-31,,
7:51.0,J. Wall misses 2-pt shot from 3 ft,,34-31,,
7:48.0,,,34-31,,Defensive rebound by J. Hart
7:42.0,,,34-31,,K. Kuzma misses 2-pt shot from 1 ft (block by I. Mahinmi)
7:42.0,,,34-31,,Offensive rebound by Team
7:36.0,,,34-31,,K. Caldwell-Pope misses 2-pt shot from 22 ft
7:31.0,Defensive rebound by J. Meeks,,34-31,,
7:23.0,J. Meeks misses 3-pt shot from 26 ft,,34-31,,
7:19.0,Offensive rebound by I. Mahinmi,,34-31,,
7:13.0,Turnover by J. Wall (out of bounds lost ball),,34-31,,
7:13.0,,,34-31,,B. Lopez enters the game for J. Hart
7:13.0,M. Gortat enters the game for I. Mahinmi,,34-31,,
6:59.0,,,34-31,,K. Kuzma misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by M. Gortat,,34-31,,
6:48.0,,,34-31,,Personal foul by L. Nance (drawn by M. Scott)
6:48.0,,,34-31,,B. Ingram enters the game for K. Kuzma
6:42.0,M. Scott misses 2-pt shot from 15 ft,,34-31,,
6:38.0,Offensive rebound by M. Gortat,,34-31,,
6:37.0,Turnover by J. Meeks (lost ball; steal by K. Caldwell-Pope),,34-31,,
6:37.0,Personal foul by O. Porter (drawn by L. Nance),,34-31,,
6:37.0,B. Beal enters the game for J. Meeks,,34-31,,
6:27.0,,,34-31,,B. Lopez misses 2-pt shot from 10 ft
6:21.0,Defensive rebound by J. Wall,,34-31,,
6:15.0,O. Porter misses 3-pt shot from 25 ft,,34-31,,
6:15.0,,,34-31,,Defensive rebound by L. Nance
6:06.0,,,34-31,,Turnover by B. Lopez (bad pass)
5:53.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,36-31,,
5:38.0,,,36-31,,Turnover by K. Caldwell-Pope (bad pass; steal by O. Porter)
5:36.0,B. Beal makes 2-pt shot from 2 ft (assist by O. Porter),2,38-31,,
5:36.0,,,38-31,,LA Lakers full timeout
5:22.0,,,38-34,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by B. Lopez)
5:07.0,O. Porter misses 3-pt shot from 26 ft,,38-34,,
5:04.0,,,38-34,,Defensive rebound by K. Caldwell-Pope
5:04.0,,,38-34,,Turnover by B. Ingram (offensive goaltending)
4:47.0,M. Scott misses 3-pt shot from 22 ft,,38-34,,
4:45.0,,,38-34,,Defensive rebound by K. Caldwell-Pope
4:26.0,Shooting block foul by M. Gortat (drawn by L. Nance),,38-34,,
4:26.0,,,38-34,,L. Nance misses free throw 1 of 2
4:26.0,,,38-34,,Offensive rebound by Team
4:26.0,K. Oubre enters the game for M. Scott,,38-34,,
4:26.0,,,38-35,1,L. Nance makes free throw 2 of 2
4:10.0,B. Beal misses 2-pt shot from 21 ft,,38-35,,
4:08.0,,,38-35,,Defensive rebound by B. Lopez
3:52.0,,,38-37,2,L. Nance makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
3:41.0,K. Oubre makes 3-pt shot from 27 ft (assist by J. Wall),3,41-37,,
3:27.0,,,41-39,2,L. Nance makes 2-pt shot from 4 ft (assist by L. Ball)
3:17.0,J. Wall misses 2-pt shot from 16 ft,,41-39,,
3:15.0,,,41-39,,Defensive rebound by L. Nance
3:14.0,,,41-39,,Turnover by L. Nance (bad pass; steal by O. Porter)
3:05.0,O. Porter misses 2-pt shot from 15 ft,,41-39,,
3:03.0,,,41-39,,Defensive rebound by L. Ball
2:59.0,,,41-39,,B. Lopez misses 3-pt shot from 23 ft
2:56.0,Defensive rebound by O. Porter,,41-39,,
2:51.0,J. Wall misses 3-pt shot from 25 ft,,41-39,,
2:51.0,Offensive rebound by B. Beal,,41-39,,
2:44.0,B. Beal misses 3-pt shot from 25 ft,,41-39,,
2:44.0,,,41-39,,Defensive rebound by B. Ingram
2:41.0,,,41-41,2,L. Nance makes 2-pt shot from 3 ft (assist by L. Ball)
2:41.0,,,41-41,,Shooting foul by O. Porter (drawn by L. Nance)
2:41.0,,,41-41,,J. Clarkson enters the game for B. Ingram
2:41.0,,,41-42,1,L. Nance makes free throw 1 of 1
2:18.0,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal),2,43-42,,
2:01.0,,,43-42,,J. Clarkson misses 3-pt shot from 27 ft
1:59.0,Defensive rebound by M. Gortat,,43-42,,
1:48.0,O. Porter misses 2-pt shot from 3 ft,,43-42,,
1:44.0,,,43-42,,Defensive rebound by L. Nance
1:35.0,,,43-42,,L. Ball misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by O. Porter,,43-42,,
1:33.0,,,43-42,,Personal foul by B. Lopez (drawn by O. Porter)
1:33.0,,,43-42,,J. Hart enters the game for L. Ball
1:20.0,B. Beal makes 2-pt shot from 1 ft,2,45-42,,
1:04.0,,,45-42,,K. Caldwell-Pope misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by M. Gortat,,45-42,,
0:44.0,J. Wall makes 2-pt shot from 13 ft,2,47-42,,
0:27.0,,,47-42,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:25.0,,,47-42,,Offensive rebound by Team
0:25.0,Loose ball foul by J. Wall (drawn by B. Lopez),,47-42,,
0:24.0,,,47-42,,K. Kuzma enters the game for L. Nance
0:24.0,I. Mahinmi enters the game for M. Gortat,,47-42,,
0:24.0,M. Scott enters the game for O. Porter,,47-42,,
0:03.0,,,47-45,3,J. Clarkson makes 3-pt shot from 26 ft
0:01.0,J. Wall makes 2-pt shot from 21 ft,2,49-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,51-45,,
11:28.0,,,51-45,,Shooting foul by K. Oubre (drawn by B. Ingram)
11:28.0,,,51-46,1,B. Ingram makes free throw 1 of 2
11:28.0,,,51-47,1,B. Ingram makes free throw 2 of 2
11:10.0,B. Beal misses 2-pt shot from 19 ft,,51-47,,
11:07.0,,,51-47,,Defensive rebound by B. Ingram
11:03.0,,,51-47,,Shooting foul by O. Porter (drawn by B. Lopez)
11:03.0,,,51-48,1,B. Lopez makes free throw 2 of 2
11:03.0,,,51-49,1,B. Lopez makes free throw 1 of 2
10:47.0,Turnover by B. Beal (bad pass; steal by B. Lopez),,51-49,,
10:37.0,,,51-51,2,B. Ingram makes 2-pt shot from 2 ft
10:29.0,,,51-51,,Personal foul by B. Ingram (drawn by B. Beal)
10:18.0,J. Wall misses 2-pt shot from 15 ft,,51-51,,
10:16.0,,,51-51,,Defensive rebound by K. Caldwell-Pope
10:12.0,,,51-51,,K. Caldwell-Pope misses 2-pt shot from 3 ft
10:08.0,Defensive rebound by K. Oubre,,51-51,,
10:06.0,Turnover by K. Oubre (bad pass; steal by L. Nance),,51-51,,
10:01.0,,,51-51,,L. Ball misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by B. Beal,,51-51,,
9:49.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,53-51,,
9:39.0,,,53-51,,K. Caldwell-Pope misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by K. Oubre,,53-51,,
9:25.0,,,53-51,,Personal foul by K. Caldwell-Pope (drawn by B. Beal)
9:11.0,O. Porter misses 2-pt shot from 9 ft,,53-51,,
9:07.0,,,53-51,,Defensive rebound by K. Caldwell-Pope
9:05.0,,,53-51,,Turnover by L. Ball (bad pass; steal by B. Beal)
8:57.0,,,53-51,,Personal foul by B. Ingram (drawn by K. Oubre)
8:45.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Gortat),2,55-51,,
8:30.0,,,55-51,,Turnover by B. Ingram (bad pass)
8:21.0,J. Wall makes 2-pt shot from 1 ft,2,57-51,,
8:09.0,,,57-53,2,B. Lopez makes 2-pt shot from 11 ft (assist by L. Ball)
7:56.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,60-53,,
7:48.0,,,60-56,3,B. Lopez makes 3-pt shot from 25 ft (assist by L. Ball)
7:33.0,Turnover by J. Wall (bad pass; steal by L. Nance),,60-56,,
7:28.0,,,60-56,,K. Kuzma enters the game for B. Lopez
7:21.0,Personal foul by K. Oubre,,60-56,,
7:21.0,Technical foul by K. Oubre,,60-56,,
7:21.0,,,60-57,1,K. Caldwell-Pope makes technical free throw
7:16.0,,,60-57,,L. Nance misses 2-pt shot from 17 ft
7:12.0,Defensive rebound by B. Beal,,60-57,,
7:05.0,B. Beal makes 2-pt shot from 2 ft,2,62-57,,
6:53.0,,,62-59,2,L. Nance makes 2-pt shot from 2 ft (assist by L. Ball)
6:42.0,K. Oubre misses 2-pt shot from 21 ft,,62-59,,
6:38.0,,,62-59,,Defensive rebound by L. Nance
6:29.0,,,62-61,2,L. Ball makes 2-pt shot from 15 ft
6:12.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,64-61,,
6:04.0,,,64-61,,Offensive foul by L. Nance (drawn by J. Wall)
6:04.0,,,64-61,,Turnover by L. Nance (offensive foul)
6:04.0,,,64-61,,LA Lakers full timeout
5:40.0,J. Wall makes 2-pt shot from 17 ft,2,66-61,,
5:19.0,,,66-61,,Turnover by K. Caldwell-Pope (lost ball; steal by B. Beal)
5:13.0,J. Wall makes 3-pt shot from 26 ft,3,69-61,,
5:02.0,,,69-61,,K. Kuzma misses 2-pt shot from 3 ft
4:57.0,Defensive rebound by O. Porter,,69-61,,
4:57.0,Shooting foul by K. Caldwell-Pope (drawn by M. Gortat),,69-61,,
4:57.0,M. Gortat makes free throw 1 of 2,1,70-61,,
4:57.0,,,70-61,,J. Clarkson enters the game for B. Ingram
4:57.0,M. Gortat makes free throw 2 of 2,1,71-61,,
4:35.0,,,71-63,2,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Clarkson)
4:17.0,Turnover by B. Beal (bad pass; steal by K. Caldwell-Pope),,71-63,,
4:10.0,,,71-65,2,L. Nance makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
3:50.0,Offensive foul by M. Gortat (drawn by L. Nance),,71-65,,
3:50.0,Turnover by M. Gortat (offensive foul),,71-65,,
3:50.0,J. Smith enters the game for M. Gortat,,71-65,,
3:50.0,M. Scott enters the game for O. Porter,,71-65,,
3:50.0,,,71-65,,C. Brewer enters the game for L. Nance
3:37.0,,,71-67,2,J. Clarkson makes 2-pt shot from 14 ft
3:16.0,Shooting foul by C. Brewer (drawn by J. Wall),,71-67,,
3:16.0,J. Wall misses free throw 1 of 2,,71-67,,
3:16.0,Offensive rebound by Team,,71-67,,
3:16.0,J. Meeks enters the game for K. Oubre,,71-67,,
3:16.0,J. Wall makes free throw 2 of 2,1,72-67,,
3:06.0,,,72-67,,J. Clarkson misses 2-pt shot from 10 ft (block by J. Smith)
3:06.0,Defensive rebound by Team,,72-67,,
3:06.0,,,72-67,,J. Hart enters the game for K. Caldwell-Pope
2:59.0,Washington full timeout,,72-67,,
2:58.0,Shooting foul by J. Hart (drawn by J. Wall),,72-67,,
2:58.0,J. Wall makes free throw 1 of 2,1,73-67,,
2:58.0,J. Wall makes free throw 2 of 2,1,74-67,,
2:51.0,,,74-67,,Offensive foul by J. Clarkson (drawn by B. Beal)
2:51.0,,,74-67,,Turnover by J. Clarkson (offensive foul)
2:41.0,B. Beal misses 2-pt shot from 12 ft,,74-67,,
2:36.0,,,74-67,,Defensive rebound by J. Hart
2:32.0,,,74-67,,J. Clarkson misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by M. Scott,,74-67,,
2:16.0,M. Scott misses 2-pt shot from 9 ft,,74-67,,
2:13.0,,,74-67,,Defensive rebound by J. Hart
2:11.0,,,74-67,,Offensive charge foul by C. Brewer (drawn by J. Wall)
2:11.0,,,74-67,,Turnover by C. Brewer (offensive foul)
2:11.0,,,74-67,,B. Ingram enters the game for L. Ball
2:11.0,T. Frazier enters the game for J. Wall,,74-67,,
1:47.0,B. Beal makes 2-pt shot from 14 ft,2,76-67,,
1:28.0,Personal foul by M. Scott (drawn by K. Kuzma),,76-67,,
1:16.0,,,76-67,,C. Brewer misses 2-pt shot from 3 ft
1:14.0,Defensive rebound by T. Frazier,,76-67,,
1:07.0,Offensive foul by J. Smith (drawn by B. Ingram),,76-67,,
1:07.0,Turnover by J. Smith (offensive foul),,76-67,,
0:56.0,,,76-67,,Shooting foul by J. Meeks (drawn by K. Kuzma)
0:56.0,,,76-68,1,K. Kuzma makes free throw 1 of 2
0:56.0,,,76-69,1,K. Kuzma makes free throw 2 of 2
0:41.0,J. Smith misses 2-pt shot from 17 ft,,76-69,,
0:39.0,,,76-69,,Defensive rebound by K. Kuzma
0:32.0,,,76-69,,Turnover by J. Clarkson (lost ball; steal by J. Meeks)
0:30.0,Shooting foul by K. Kuzma (drawn by J. Meeks),,76-69,,
0:30.0,J. Meeks misses free throw 1 of 2,,76-69,,
0:30.0,Offensive rebound by Team,,76-69,,
0:30.0,J. Meeks makes free throw 2 of 2,1,77-69,,
0:12.0,,,77-69,,B. Ingram misses 2-pt shot from 5 ft
0:08.0,Defensive rebound by M. Scott,,77-69,,
0:01.0,B. Beal makes 2-pt shot from 18 ft,2,79-69,,
0:01.0,,,79-69,,B. Ingram misses 3-pt shot from 74 ft
0:01.0,,,79-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by J. Smith (drawn by B. Lopez),,79-69,,
11:41.0,,,79-69,,B. Lopez misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by M. Scott,,79-69,,
11:16.0,Turnover by Team (shot clock),,79-69,,
11:15.0,B. Beal misses 3-pt shot from 25 ft,,79-69,,
11:15.0,Offensive rebound by J. Smith,,79-69,,
11:00.0,,,79-69,,J. Clarkson misses 2-pt shot from 10 ft
10:58.0,Defensive rebound by M. Scott,,79-69,,
10:50.0,B. Beal misses 2-pt shot from 19 ft,,79-69,,
10:50.0,,,79-69,,Defensive rebound by K. Kuzma
10:41.0,,,79-69,,J. Hart misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by M. Scott,,79-69,,
10:33.0,Offensive foul by B. Beal (drawn by K. Kuzma),,79-69,,
10:33.0,Turnover by B. Beal (offensive foul),,79-69,,
10:33.0,,,79-69,,L. Ball enters the game for J. Clarkson
10:33.0,O. Porter enters the game for B. Beal,,79-69,,
10:18.0,,,79-71,2,B. Ingram makes 2-pt shot from 17 ft (assist by B. Lopez)
10:00.0,J. Smith misses 3-pt shot from 26 ft,,79-71,,
9:57.0,,,79-71,,Defensive rebound by B. Ingram
9:49.0,,,79-71,,L. Ball misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by M. Scott,,79-71,,
9:42.0,J. Smith makes 2-pt shot from 1 ft (assist by O. Porter),2,81-71,,
9:42.0,,,81-71,,LA Lakers full timeout
9:22.0,,,81-71,,Turnover by B. Ingram (lost ball; steal by J. Meeks)
9:07.0,J. Smith misses 3-pt shot from 26 ft,,81-71,,
9:03.0,Offensive rebound by J. Smith,,81-71,,
9:00.0,J. Meeks misses 3-pt shot from 26 ft,,81-71,,
9:00.0,,,81-71,,Defensive rebound by J. Hart
8:45.0,,,81-73,2,K. Kuzma makes 2-pt shot from 3 ft
8:24.0,M. Scott misses 2-pt shot from 7 ft,,81-73,,
8:21.0,,,81-73,,Defensive rebound by K. Kuzma
8:13.0,,,81-73,,Turnover by K. Kuzma (bad pass; steal by J. Meeks)
8:12.0,Shooting foul by L. Ball (drawn by J. Meeks),,81-73,,
8:12.0,J. Meeks makes free throw 1 of 2,1,82-73,,
8:12.0,,,82-73,,J. Randle enters the game for B. Lopez
8:12.0,J. Wall enters the game for T. Frazier,,82-73,,
8:12.0,M. Gortat enters the game for J. Smith,,82-73,,
8:12.0,J. Meeks makes free throw 2 of 2,1,83-73,,
7:59.0,,,83-73,,B. Ingram misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by M. Gortat,,83-73,,
7:45.0,,,83-73,,K. Caldwell-Pope enters the game for J. Hart
7:38.0,M. Scott misses 3-pt shot from 22 ft,,83-73,,
7:35.0,,,83-73,,Defensive rebound by J. Randle
7:32.0,,,83-73,,Shooting foul by O. Porter (drawn by L. Ball)
7:32.0,,,83-74,1,L. Ball makes free throw 1 of 3
7:32.0,,,83-75,1,L. Ball makes free throw 2 of 3
7:32.0,,,83-75,,L. Ball misses free throw 3 of 3
7:29.0,Defensive rebound by M. Gortat,,83-75,,
7:08.0,M. Gortat makes 2-pt shot from 7 ft,2,85-75,,
6:57.0,,,85-75,,L. Ball misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by M. Gortat,,85-75,,
6:36.0,J. Wall misses 3-pt shot from 26 ft,,85-75,,
6:32.0,,,85-75,,Defensive rebound by B. Ingram
6:27.0,,,85-77,2,B. Ingram makes 2-pt shot from 2 ft
6:27.0,,,85-77,,Shooting foul by O. Porter (drawn by B. Ingram)
6:27.0,B. Beal enters the game for J. Meeks,,85-77,,
6:27.0,K. Oubre enters the game for O. Porter,,85-77,,
6:27.0,,,85-78,1,B. Ingram makes free throw 1 of 1
6:07.0,Turnover by B. Beal (bad pass; steal by B. Ingram),,85-78,,
6:02.0,,,85-78,,K. Kuzma misses 2-pt shot from 1 ft (block by M. Gortat)
6:01.0,Defensive rebound by Team,,85-78,,
5:43.0,,,85-78,,Personal block foul by K. Caldwell-Pope (drawn by J. Wall)
5:32.0,M. Gortat misses 2-pt shot from 1 ft (block by B. Ingram),,85-78,,
5:29.0,,,85-78,,Defensive rebound by J. Randle
5:25.0,,,85-78,,L. Ball misses 2-pt shot from 2 ft
5:20.0,Defensive rebound by J. Wall,,85-78,,
5:16.0,K. Oubre misses 3-pt shot from 26 ft,,85-78,,
5:13.0,,,85-78,,Defensive rebound by J. Randle
4:59.0,,,85-78,,K. Kuzma misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by M. Scott,,85-78,,
4:47.0,J. Wall misses 2-pt shot from 3 ft,,85-78,,
4:47.0,Offensive rebound by Team,,85-78,,
4:46.0,Washington full timeout,,85-78,,
4:40.0,M. Gortat misses 2-pt shot from 2 ft,,85-78,,
4:36.0,,,85-78,,Defensive rebound by B. Ingram
4:29.0,,,85-80,2,K. Kuzma makes 2-pt shot at rim (assist by K. Caldwell-Pope)
4:08.0,M. Scott misses 2-pt shot from 7 ft,,85-80,,
4:05.0,,,85-80,,Defensive rebound by J. Randle
4:01.0,,,85-80,,K. Caldwell-Pope misses 2-pt shot from 13 ft
4:01.0,,,85-80,,Offensive rebound by B. Ingram
3:55.0,,,85-80,,B. Ingram misses 2-pt shot at rim
3:54.0,,,85-80,,Offensive rebound by L. Ball
