time,Dallas,pts.away,score,pts.home,Brooklyn
7:18.0,D. Nowitzki misses 2-pt shot from 21 ft,,94-97,,
7:14.0,,,94-97,,Defensive rebound by R. Hollis-Jefferson
7:07.0,,,94-100,3,D. Russell makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
7:04.0,Dallas full timeout,,94-100,,
6:53.0,J. Jones makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,96-100,,
6:44.0,Violation by J. Jones (kicked ball),,96-100,,
6:39.0,,,96-100,,Shooting foul by J. Jones (drawn by J. Allen)
6:39.0,,,96-101,1,J. Allen makes free throw 1 of 2
6:39.0,,,96-102,1,J. Allen makes free throw 2 of 2
6:21.0,D. McDermott misses 2-pt shot from 9 ft,,96-102,,
6:14.0,,,96-102,,Defensive rebound by D. Russell
6:00.0,,,96-104,2,D. Russell makes 2-pt shot from 1 ft
5:46.0,J. Jones makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,99-104,,
5:28.0,,,99-104,,D. Russell misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by D. Nowitzki,,99-104,,
5:18.0,Y. Ferrell misses 2-pt shot from 1 ft (block by J. Allen),,99-104,,
5:16.0,,,99-104,,Defensive rebound by S. Dinwiddie
5:12.0,,,99-104,,D. Russell misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by D. McDermott,,99-104,,
5:02.0,J. Jones misses 2-pt shot from 2 ft (block by S. Dinwiddie),,99-104,,
5:02.0,,,99-104,,Defensive rebound by Team
5:02.0,,,99-104,,Brooklyn full timeout
5:02.0,,,99-104,,D. Carroll enters the game for J. Harris
4:43.0,,,99-106,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
4:43.0,,,99-106,,Shooting foul by D. Powell (drawn by R. Hollis-Jefferson)
4:43.0,,,99-107,1,R. Hollis-Jefferson makes free throw 1 of 1
4:28.0,Turnover by Y. Ferrell (bad pass; steal by J. Allen),,99-107,,
4:04.0,,,99-107,,J. Allen misses 2-pt shot from 17 ft
4:01.0,Defensive rebound by D. Powell,,99-107,,
3:58.0,Turnover by D. Powell (traveling),,99-107,,
3:44.0,Personal foul by J. Jones (drawn by D. Russell),,99-107,,
3:44.0,M. Kleber enters the game for D. Powell,,99-107,,
3:44.0,J. Motley enters the game for D. Nowitzki,,99-107,,
3:39.0,,,99-109,2,D. Russell makes 2-pt shot from 15 ft
3:24.0,Turnover by J. Motley (lost ball; steal by S. Dinwiddie),,99-109,,
3:04.0,,,99-109,,D. Russell misses 3-pt shot from 27 ft
3:01.0,,,99-109,,Offensive rebound by D. Carroll
