time,Denver,pts.away,score,pts.home,Houston
2:30.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,21-26,,
2:20.0,,,21-29,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
2:09.0,G. Harris misses 3-pt shot from 25 ft,,21-29,,
2:08.0,,,21-29,,Defensive rebound by J. Harden
2:01.0,,,21-32,3,J. Harden makes 3-pt shot from 25 ft
1:43.0,T. Lyles misses 3-pt shot from 25 ft,,21-32,,
1:42.0,,,21-32,,Defensive rebound by J. Harden
1:36.0,,,21-32,,J. Harden misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by T. Craig,,21-32,,
1:23.0,,,21-32,,Personal foul by T. Black (drawn by J. Murray)
1:23.0,,,21-32,,C. Paul enters the game for J. Harden
1:23.0,W. Barton enters the game for G. Harris,,21-32,,
1:23.0,M. Morris enters the game for N. Jokic,,21-32,,
1:23.0,D. Arthur enters the game for J. Murray,,21-32,,
1:13.0,T. Lyles misses 3-pt shot from 24 ft,,21-32,,
1:12.0,,,21-32,,Defensive rebound by G. Green
0:53.0,,,21-35,3,G. Green makes 3-pt shot from 25 ft
0:37.0,Turnover by T. Craig (bad pass; steal by G. Green),,21-35,,
0:31.0,,,21-35,,G. Green misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by T. Lyles,,21-35,,
0:06.0,T. Craig makes 2-pt shot from 10 ft (assist by T. Lyles),2,23-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-35,,E. Gordon misses 2-pt shot from 17 ft
11:46.0,Defensive rebound by M. Morris,,23-35,,
11:33.0,D. Arthur makes 2-pt shot from 14 ft (assist by T. Lyles),2,25-35,,
11:19.0,,,25-37,2,E. Gordon makes 2-pt shot at rim (assist by C. Paul)
11:02.0,D. Arthur makes 2-pt shot from 1 ft (assist by T. Lyles),2,27-37,,
10:49.0,,,27-37,,C. Paul misses 2-pt shot from 7 ft
10:49.0,,,27-37,,Offensive rebound by Team
10:49.0,Loose ball foul by T. Lyles (drawn by C. Paul),,27-37,,
10:49.0,,,27-37,,C. Capela enters the game for T. Black
10:37.0,,,27-39,2,C. Paul makes 2-pt shot from 9 ft
10:28.0,W. Barton misses 2-pt shot from 5 ft,,27-39,,
10:27.0,,,27-39,,Defensive rebound by C. Capela
10:19.0,,,27-39,,Shooting foul by D. Arthur (drawn by C. Capela)
10:19.0,,,27-39,,C. Capela misses free throw 1 of 2
10:19.0,,,27-39,,Offensive rebound by Team
10:19.0,,,27-39,,C. Capela misses free throw 2 of 2
10:19.0,Defensive rebound by T. Lyles,,27-39,,
9:59.0,T. Lyles misses 3-pt shot from 23 ft,,27-39,,
9:57.0,,,27-39,,Defensive rebound by C. Capela
9:46.0,,,27-39,,G. Green misses 2-pt shot from 1 ft
9:43.0,,,27-39,,Offensive rebound by G. Green
9:39.0,,,27-39,,Turnover by G. Green (lost ball; steal by M. Morris)
9:38.0,,,27-39,,Personal foul by C. Paul (drawn by W. Barton)
9:22.0,W. Barton misses 2-pt shot from 20 ft,,27-39,,
9:18.0,,,27-39,,Defensive rebound by C. Capela
8:58.0,,,27-39,,C. Capela misses 2-pt shot at rim
8:58.0,Defensive rebound by T. Lyles,,27-39,,
8:51.0,Turnover by M. Morris (bad pass; steal by C. Paul),,27-39,,
8:43.0,,,27-41,2,C. Capela makes 2-pt shot at rim (assist by R. Anderson)
8:43.0,Denver full timeout,,27-41,,
8:43.0,,,27-41,,P. Tucker enters the game for E. Gordon
8:43.0,,,27-41,,L. Mbah a Moute enters the game for R. Anderson
8:43.0,W. Chandler enters the game for T. Craig,,27-41,,
8:43.0,J. Murray enters the game for M. Morris,,27-41,,
8:20.0,Turnover by J. Murray (turnover),,27-41,,
8:11.0,,,27-41,,G. Green misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by T. Lyles,,27-41,,
7:57.0,Turnover by W. Barton (bad pass),,27-41,,
7:43.0,,,27-41,,C. Paul misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by W. Chandler,,27-41,,
7:32.0,W. Barton makes 2-pt shot from 1 ft,2,29-41,,
7:09.0,,,29-41,,P. Tucker misses 2-pt shot from 6 ft
7:08.0,,,29-41,,Offensive rebound by C. Capela
7:08.0,,,29-43,2,C. Capela makes 2-pt shot at rim
6:50.0,Shooting foul by G. Green (drawn by T. Lyles),,29-43,,
6:50.0,T. Lyles makes free throw 1 of 2,1,30-43,,
6:50.0,,,30-43,,J. Harden enters the game for C. Paul
6:50.0,,,30-43,,E. Gordon enters the game for G. Green
6:50.0,N. Jokic enters the game for D. Arthur,,30-43,,
6:50.0,T. Lyles makes free throw 2 of 2,1,31-43,,
6:42.0,,,31-43,,E. Gordon misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by N. Jokic,,31-43,,
6:28.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,33-43,,
6:20.0,,,33-45,2,E. Gordon makes 2-pt shot at rim (assist by J. Harden)
6:08.0,J. Murray makes 2-pt shot from 9 ft,2,35-45,,
5:56.0,,,35-47,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden)
5:56.0,,,35-47,,Shooting foul by W. Chandler (drawn by L. Mbah a Moute)
5:56.0,G. Harris enters the game for T. Lyles,,35-47,,
5:56.0,,,35-48,1,L. Mbah a Moute makes free throw 1 of 1
5:39.0,W. Chandler misses 3-pt shot from 25 ft,,35-48,,
5:35.0,,,35-48,,Defensive rebound by C. Capela
5:28.0,,,35-48,,J. Harden misses 2-pt shot from 11 ft
5:27.0,,,35-48,,Offensive rebound by C. Capela
5:26.0,,,35-48,,Shooting foul by N. Jokic (drawn by C. Capela)
5:26.0,,,35-49,1,C. Capela makes free throw 1 of 2
5:26.0,,,35-49,,C. Capela misses free throw 2 of 2
5:26.0,Defensive rebound by W. Barton,,35-49,,
5:16.0,J. Murray misses 3-pt shot from 25 ft (block by E. Gordon),,35-49,,
5:13.0,,,35-49,,Defensive rebound by C. Capela
5:04.0,,,35-49,,P. Tucker misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by N. Jokic,,35-49,,
4:54.0,G. Harris misses 3-pt shot from 24 ft,,35-49,,
4:53.0,,,35-49,,Defensive rebound by C. Capela
4:35.0,,,35-49,,J. Harden misses 2-pt shot from 12 ft (block by N. Jokic)
4:34.0,,,35-49,,Offensive rebound by J. Harden
4:28.0,,,35-49,,J. Harden misses 3-pt shot from 23 ft (block by W. Barton)
4:28.0,,,35-49,,Offensive rebound by Team
4:28.0,,,35-49,,Turnover by Team (shot clock)
4:13.0,N. Jokic misses 2-pt shot from 1 ft (block by C. Capela),,35-49,,
4:11.0,,,35-49,,Defensive rebound by L. Mbah a Moute
4:07.0,,,35-51,2,L. Mbah a Moute makes 2-pt shot from 1 ft
3:56.0,G. Harris misses 3-pt shot from 23 ft,,35-51,,
3:52.0,Offensive rebound by G. Harris,,35-51,,
3:47.0,Turnover by J. Murray (bad pass),,35-51,,
3:22.0,,,35-53,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
3:07.0,W. Barton makes 2-pt shot from 1 ft (assist by W. Chandler),2,37-53,,
2:53.0,,,37-53,,E. Gordon misses 3-pt shot from 25 ft
2:51.0,,,37-53,,Offensive rebound by Team
2:51.0,,,37-53,,Houston full timeout
2:51.0,,,37-53,,R. Anderson enters the game for C. Capela
2:48.0,,,37-53,,Shooting foul by G. Harris (drawn by J. Harden)
2:48.0,,,37-54,1,J. Harden makes free throw 1 of 3
2:48.0,,,37-55,1,J. Harden makes free throw 2 of 3
2:48.0,,,37-56,1,J. Harden makes free throw 3 of 3
2:32.0,J. Murray misses 2-pt shot from 19 ft,,37-56,,
2:30.0,,,37-56,,Defensive rebound by J. Harden
2:11.0,,,37-56,,J. Harden misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by W. Chandler,,37-56,,
2:01.0,G. Harris makes 2-pt shot from 13 ft,2,39-56,,
1:37.0,,,39-56,,R. Anderson misses 2-pt shot from 13 ft
1:36.0,Defensive rebound by N. Jokic,,39-56,,
1:26.0,,,39-56,,Personal foul by L. Mbah a Moute (drawn by N. Jokic)
1:26.0,T. Craig enters the game for N. Jokic,,39-56,,
1:20.0,W. Chandler makes 3-pt shot from 24 ft (assist by J. Murray),3,42-56,,
1:08.0,,,42-56,,Shooting foul by T. Craig (drawn by E. Gordon)
1:08.0,,,42-57,1,E. Gordon makes free throw 1 of 2
1:08.0,,,42-58,1,E. Gordon makes free throw 2 of 2
0:53.0,Shooting foul by P. Tucker (drawn by W. Chandler),,42-58,,
0:53.0,W. Chandler makes free throw 1 of 2,1,43-58,,
0:53.0,W. Chandler makes free throw 2 of 2,1,44-58,,
0:33.0,,,44-60,2,J. Harden makes 2-pt shot at rim
0:09.0,W. Chandler makes 2-pt shot from 17 ft,2,46-60,,
0:00.0,,,46-63,3,J. Harden makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,46-65,2,C. Capela makes 2-pt shot at rim (assist by L. Mbah a Moute)
11:22.0,W. Chandler misses 3-pt shot from 25 ft,,46-65,,
11:19.0,,,46-65,,Defensive rebound by P. Tucker
11:01.0,,,46-65,,C. Paul misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by W. Barton,,46-65,,
10:53.0,N. Jokic misses 2-pt shot from 5 ft,,46-65,,
10:51.0,Offensive rebound by N. Jokic,,46-65,,
10:51.0,N. Jokic makes 2-pt shot from 5 ft,2,48-65,,
10:39.0,,,48-65,,Shooting foul by N. Jokic (drawn by L. Mbah a Moute)
10:39.0,,,48-65,,L. Mbah a Moute misses free throw 1 of 2
10:39.0,,,48-65,,Offensive rebound by Team
10:39.0,,,48-66,1,L. Mbah a Moute makes free throw 2 of 2
10:26.0,Shooting foul by C. Paul (drawn by G. Harris),,48-66,,
10:26.0,G. Harris makes free throw 1 of 2,1,49-66,,
10:26.0,G. Harris makes free throw 2 of 2,1,50-66,,
10:15.0,,,50-68,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:51.0,W. Barton misses 3-pt shot from 25 ft,,50-68,,
9:50.0,,,50-68,,Defensive rebound by C. Capela
9:44.0,,,50-71,3,J. Harden makes 3-pt shot from 25 ft
9:24.0,G. Harris makes 2-pt shot from 21 ft (assist by N. Jokic),2,52-71,,
9:13.0,,,52-73,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
9:13.0,,,52-73,,Shooting foul by N. Jokic (drawn by C. Capela)
9:13.0,Denver full timeout,,52-73,,
9:13.0,,,52-73,,C. Capela misses free throw 1 of 1
9:13.0,Defensive rebound by N. Jokic,,52-73,,
8:56.0,N. Jokic makes 2-pt shot from 6 ft (assist by W. Chandler),2,54-73,,
8:44.0,,,54-73,,Shooting foul by G. Harris (drawn by J. Harden)
8:44.0,,,54-74,1,J. Harden makes free throw 1 of 2
8:44.0,,,54-75,1,J. Harden makes free throw 2 of 2
8:23.0,Shooting foul by C. Capela (drawn by W. Chandler),,54-75,,
8:23.0,W. Chandler misses free throw 1 of 2,,54-75,,
8:23.0,Offensive rebound by Team,,54-75,,
8:23.0,W. Chandler misses free throw 2 of 2,,54-75,,
8:23.0,,,54-75,,Defensive rebound by J. Harden
8:12.0,,,54-78,3,J. Harden makes 3-pt shot from 26 ft (assist by C. Paul)
8:11.0,Denver full timeout,,54-78,,
7:59.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,56-78,,
7:40.0,,,56-81,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by P. Tucker)
7:18.0,G. Harris misses 3-pt shot from 25 ft,,56-81,,
7:15.0,,,56-81,,Defensive rebound by J. Harden
6:59.0,,,56-83,2,C. Paul makes 2-pt shot from 16 ft
6:42.0,W. Barton misses 3-pt shot from 25 ft,,56-83,,
6:41.0,,,56-83,,Defensive rebound by C. Capela
6:31.0,,,56-83,,J. Harden misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by J. Murray,,56-83,,
6:28.0,Shooting foul by C. Paul (drawn by W. Barton),,56-83,,
6:28.0,W. Barton makes free throw 1 of 2,1,57-83,,
6:28.0,,,57-83,,E. Gordon enters the game for C. Paul
6:28.0,T. Craig enters the game for N. Jokic,,57-83,,
6:28.0,W. Barton makes free throw 2 of 2,1,58-83,,
6:16.0,,,58-83,,C. Capela misses 2-pt shot from 5 ft
6:15.0,Defensive rebound by W. Chandler,,58-83,,
6:09.0,Jump ball: L. Mbah a Moute vs. W. Chandler (J. Murray gains possession),,,,Jump ball: L. Mbah a Moute vs. W. Chandler (J. Murray gains possession)
5:56.0,W. Barton misses 2-pt shot from 1 ft,,58-83,,
5:55.0,,,58-83,,Defensive rebound by P. Tucker
5:33.0,,,58-83,,J. Harden misses 3-pt shot from 25 ft
5:32.0,,,58-83,,Offensive rebound by C. Capela
5:30.0,,,58-83,,Shooting foul by W. Barton (drawn by C. Capela)
5:30.0,,,58-84,1,C. Capela makes free throw 1 of 2
5:30.0,,,58-84,,R. Anderson enters the game for P. Tucker
5:30.0,,,58-84,,C. Capela misses free throw 2 of 2
5:28.0,Defensive rebound by W. Chandler,,58-84,,
5:15.0,J. Murray misses 2-pt shot from 1 ft,,58-84,,
5:12.0,,,58-84,,Defensive rebound by C. Capela
5:06.0,,,58-86,2,J. Harden makes 2-pt shot from 1 ft
5:04.0,Denver full timeout,,58-86,,
5:04.0,M. Morris enters the game for W. Barton,,58-86,,
5:04.0,J. Hernangomez enters the game for G. Harris,,58-86,,
5:04.0,T. Lyles enters the game for W. Chandler,,58-86,,
5:04.0,M. Beasley enters the game for J. Murray,,58-86,,
4:41.0,T. Lyles makes 2-pt shot from 12 ft,2,60-86,,
4:28.0,,,60-86,,Offensive foul by J. Harden (drawn by T. Craig)
4:28.0,,,60-86,,Turnover by J. Harden (offensive foul)
4:14.0,T. Lyles makes 2-pt shot from 13 ft,2,62-86,,
3:51.0,,,62-86,,Shooting foul by T. Craig (drawn by J. Harden)
3:51.0,,,62-86,,J. Harden misses free throw 1 of 2
3:51.0,,,62-86,,Offensive rebound by Team
3:51.0,,,62-86,,G. Green enters the game for L. Mbah a Moute
3:51.0,,,62-87,1,J. Harden makes free throw 2 of 2
3:39.0,T. Craig misses 2-pt shot from 10 ft,,62-87,,
3:38.0,,,62-87,,Defensive rebound by C. Capela
3:31.0,,,62-90,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
3:18.0,M. Beasley makes 2-pt shot at rim (assist by M. Morris),2,64-90,,
3:12.0,,,64-90,,Turnover by J. Harden (bad pass; steal by M. Morris)
3:09.0,M. Morris makes 2-pt shot at rim (assist by J. Hernangomez),2,66-90,,
2:48.0,,,66-90,,J. Harden misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by J. Hernangomez,,66-90,,
2:38.0,M. Beasley misses 3-pt shot from 25 ft,,66-90,,
2:38.0,,,66-90,,Defensive rebound by R. Anderson
2:26.0,,,66-90,,Turnover by J. Harden (bad pass; steal by J. Hernangomez)
2:20.0,T. Lyles makes 2-pt shot from 1 ft (assist by M. Beasley),2,68-90,,
2:05.0,,,68-90,,E. Gordon misses 2-pt shot from 14 ft
2:04.0,,,68-90,,Offensive rebound by C. Capela
2:04.0,,,68-90,,Shooting foul by T. Lyles (drawn by C. Capela)
2:04.0,,,68-91,1,C. Capela makes free throw 1 of 2
2:04.0,,,68-91,,C. Paul enters the game for J. Harden
2:04.0,,,68-92,1,C. Capela makes free throw 2 of 2
1:47.0,T. Lyles misses 2-pt shot from 1 ft,,68-92,,
1:45.0,,,68-92,,Defensive rebound by C. Capela
1:37.0,,,68-92,,C. Capela misses 2-pt shot from 3 ft
1:35.0,Defensive rebound by J. Hernangomez,,68-92,,
1:31.0,,,68-92,,T. Black enters the game for C. Capela
1:16.0,T. Lyles makes 2-pt shot from 11 ft,2,70-92,,
1:02.0,Personal foul by M. Morris (drawn by C. Paul),,70-92,,
1:02.0,,,70-93,1,C. Paul makes free throw 1 of 2
1:02.0,,,70-94,1,C. Paul makes free throw 2 of 2
0:46.0,T. Lyles misses 2-pt shot from 14 ft,,70-94,,
0:42.0,Offensive rebound by T. Craig,,70-94,,
0:41.0,J. Hernangomez misses 2-pt shot from 1 ft,,70-94,,
0:41.0,,,70-94,,Defensive rebound by T. Black
0:28.0,,,70-94,,C. Paul misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by T. Lyles,,70-94,,
0:22.0,J. Hernangomez misses 3-pt shot from 24 ft,,70-94,,
0:21.0,,,70-94,,Defensive rebound by T. Black
0:00.0,,,70-97,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,M. Beasley misses 2-pt shot from 2 ft,,70-97,,
11:35.0,,,70-97,,Defensive rebound by C. Capela
11:30.0,,,70-100,3,E. Gordon makes 3-pt shot from 25 ft (assist by C. Paul)
11:18.0,M. Morris makes 2-pt shot from 1 ft,2,72-100,,
11:04.0,,,72-100,,E. Gordon misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by T. Craig,,72-100,,
10:55.0,J. Hernangomez misses 3-pt shot from 24 ft,,72-100,,
10:54.0,,,72-100,,Defensive rebound by E. Gordon
10:37.0,,,72-103,3,R. Anderson makes 3-pt shot from 24 ft (assist by C. Paul)
10:29.0,T. Lyles makes 2-pt shot from 1 ft,2,74-103,,
10:06.0,,,74-103,,Shooting foul by J. Hernangomez (drawn by C. Paul)
10:06.0,,,74-104,1,C. Paul makes free throw 1 of 3
10:06.0,,,74-105,1,C. Paul makes free throw 2 of 3
10:06.0,,,74-106,1,C. Paul makes free throw 3 of 3
9:56.0,M. Beasley makes 2-pt shot from 17 ft (assist by M. Morris),2,76-106,,
9:38.0,,,76-109,3,G. Green makes 3-pt shot from 23 ft (assist by E. Gordon)
9:19.0,T. Craig misses 2-pt shot from 2 ft (block by G. Green),,76-109,,
9:18.0,,,76-109,,Defensive rebound by C. Capela
8:59.0,,,76-111,2,C. Paul makes 2-pt shot from 18 ft
8:58.0,Denver full timeout,,76-111,,
8:58.0,,,76-111,,T. Black enters the game for C. Paul
8:58.0,,,76-111,,M. Brown enters the game for E. Gordon
8:58.0,,,76-111,,P. Tucker enters the game for C. Capela
8:32.0,T. Craig makes 2-pt shot from 20 ft (assist by M. Morris),2,78-111,,
8:19.0,,,78-111,,G. Green misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by J. Hernangomez,,78-111,,
8:08.0,T. Lyles makes 2-pt shot from 1 ft (assist by M. Morris),2,80-111,,
7:53.0,,,80-111,,Turnover by T. Black (turnover)
7:40.0,Shooting foul by M. Brown (drawn by T. Lyles),,80-111,,
7:40.0,T. Lyles makes free throw 1 of 2,1,81-111,,
7:40.0,T. Lyles makes free throw 2 of 2,1,82-111,,
7:19.0,,,82-111,,M. Brown misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by M. Morris,,82-111,,
7:00.0,T. Craig makes 2-pt shot at rim (assist by T. Lyles),2,84-111,,
6:42.0,,,84-114,3,P. Tucker makes 3-pt shot from 23 ft (assist by R. Anderson)
6:28.0,Shooting foul by G. Green (drawn by T. Lyles),,84-114,,
6:28.0,,,84-114,,Technical foul by G. Green
6:28.0,M. Beasley makes technical free throw,1,85-114,,
6:28.0,T. Lyles makes free throw 1 of 2,1,86-114,,
6:28.0,T. Lyles makes free throw 2 of 2,1,87-114,,
6:14.0,,,87-116,2,T. Black makes 2-pt shot at rim (assist by M. Brown)
6:00.0,M. Morris makes 2-pt shot from 1 ft,2,89-116,,
5:51.0,,,89-116,,Shooting foul by T. Lyles (drawn by G. Green)
5:51.0,,,89-117,1,G. Green makes free throw 1 of 2
5:51.0,,,89-118,1,G. Green makes free throw 2 of 2
5:33.0,T. Craig misses 2-pt shot at rim (block by T. Black),,89-118,,
5:32.0,,,89-118,,Defensive rebound by M. Brown
5:31.0,,,89-118,,Turnover by M. Brown (bad pass; steal by M. Morris)
5:27.0,T. Craig misses 2-pt shot from 8 ft,,89-118,,
5:27.0,,,89-118,,Defensive rebound by Team
5:22.0,,,89-118,,P. Tucker misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by Team,,89-118,,
5:08.0,T. Lyles misses 3-pt shot from 26 ft,,89-118,,
5:06.0,,,89-118,,Defensive rebound by T. Black
4:57.0,,,89-118,,G. Green misses 2-pt shot from 1 ft
4:57.0,,,89-118,,Offensive rebound by Team
4:52.0,,,89-120,2,T. Black makes 2-pt shot at rim (assist by M. Brown)
4:38.0,J. Hernangomez misses 3-pt shot from 26 ft,,89-120,,
4:38.0,,,89-120,,Defensive rebound by Team
4:27.0,,,89-120,,G. Green misses 2-pt shot from 14 ft
4:26.0,,,89-120,,Offensive rebound by T. Black
4:26.0,,,89-122,2,T. Black makes 2-pt shot at rim
4:25.0,Denver full timeout,,89-122,,
4:02.0,T. Craig misses 2-pt shot from 1 ft,,89-122,,
4:01.0,Offensive rebound by J. Hernangomez,,89-122,,
4:01.0,J. Hernangomez makes 2-pt shot at rim,2,91-122,,
3:41.0,,,91-122,,G. Green misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by J. Hernangomez,,91-122,,
3:36.0,M. Beasley misses 2-pt shot from 1 ft (block by T. Black),,91-122,,
3:36.0,Offensive rebound by Team,,91-122,,
3:26.0,M. Morris misses 2-pt shot from 1 ft,,91-122,,
3:25.0,Offensive rebound by J. Hernangomez,,91-122,,
3:24.0,J. Hernangomez makes 2-pt shot at rim,2,93-122,,
3:12.0,,,93-122,,M. Brown misses 3-pt shot from 25 ft
