time,Detroit,pts.away,score,pts.home,Milwaukee
8:08.0,Shooting foul by E. Bledsoe (drawn by R. Jackson),,10-6,,
8:08.0,R. Jackson makes free throw 1 of 2,1,11-6,,
8:08.0,R. Jackson makes free throw 2 of 2,1,12-6,,
8:01.0,Personal foul by S. Johnson (drawn by J. Henson),,12-6,,
7:50.0,,,12-8,2,G. Antetokounmpo makes 2-pt shot at rim
7:34.0,A. Drummond makes 2-pt shot from 2 ft (assist by A. Bradley),2,14-8,,
7:30.0,Personal foul by R. Jackson (drawn by E. Bledsoe),,14-8,,
7:22.0,Personal foul by A. Bradley (drawn by J. Henson),,14-8,,
7:08.0,,,14-10,2,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe)
6:55.0,T. Harris misses 3-pt shot from 26 ft,,14-10,,
6:52.0,,,14-10,,Defensive rebound by D. Liggins
6:43.0,,,14-12,2,G. Antetokounmpo makes 2-pt shot from 12 ft
6:35.0,Offensive charge foul by A. Drummond (drawn by J. Henson),,14-12,,
6:35.0,Turnover by A. Drummond (offensive foul),,14-12,,
6:35.0,,,14-12,,Milwaukee full timeout
6:08.0,,,14-12,,K. Middleton misses 3-pt shot from 26 ft
6:05.0,,,14-12,,Offensive rebound by E. Bledsoe
6:03.0,,,14-12,,E. Bledsoe misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by R. Jackson,,14-12,,
5:57.0,R. Jackson misses 2-pt shot from 12 ft,,14-12,,
5:54.0,,,14-12,,Defensive rebound by J. Henson
5:50.0,,,14-12,,D. Liggins misses 3-pt shot from 22 ft
5:50.0,Defensive rebound by A. Drummond,,14-12,,
5:44.0,Turnover by A. Bradley (traveling),,14-12,,
5:30.0,,,14-12,,D. Liggins misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by A. Drummond,,14-12,,
5:20.0,T. Harris misses 2-pt shot from 3 ft (block by D. Liggins),,14-12,,
5:20.0,Offensive rebound by A. Bradley,,14-12,,
5:19.0,A. Bradley misses 3-pt shot from 22 ft (block by E. Bledsoe),,14-12,,
5:19.0,Offensive rebound by A. Drummond,,14-12,,
5:14.0,A. Drummond misses 2-pt shot from 9 ft (block by J. Henson),,14-12,,
5:11.0,,,14-12,,Defensive rebound by E. Bledsoe
5:05.0,,,14-15,3,K. Middleton makes 3-pt shot from 26 ft (assist by E. Bledsoe)
4:54.0,Detroit full timeout,,14-15,,
4:54.0,,,14-15,,M. Brogdon enters the game for E. Bledsoe
4:54.0,,,14-15,,T. Maker enters the game for J. Henson
4:54.0,A. Tolliver enters the game for S. Johnson,,14-15,,
4:39.0,Turnover by A. Bradley (bad pass),,14-15,,
4:18.0,,,14-18,3,M. Brogdon makes 3-pt shot from 23 ft (assist by D. Liggins)
3:50.0,A. Drummond misses 2-pt shot from 3 ft (block by T. Maker),,14-18,,
3:46.0,,,14-18,,Defensive rebound by G. Antetokounmpo
3:45.0,E. Moreland enters the game for A. Drummond,,14-18,,
3:40.0,,,14-20,2,T. Maker makes 2-pt shot from 1 ft (assist by K. Middleton)
3:17.0,A. Bradley makes 3-pt shot from 28 ft (assist by T. Harris),3,17-20,,
2:58.0,,,17-20,,G. Antetokounmpo misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by E. Moreland,,17-20,,
2:40.0,T. Harris makes 3-pt shot from 22 ft (assist by A. Bradley),3,20-20,,
2:20.0,,,20-22,2,M. Brogdon makes 2-pt shot from 15 ft
2:05.0,Turnover by A. Bradley (bad pass),,20-22,,
2:05.0,,,20-22,,D. Wilson enters the game for G. Antetokounmpo
2:05.0,I. Smith enters the game for R. Jackson,,20-22,,
1:56.0,,,20-22,,Shooting foul by I. Smith (drawn by M. Brogdon)
1:56.0,,,20-23,1,M. Brogdon makes free throw 1 of 2
1:56.0,,,20-24,1,M. Brogdon makes free throw 2 of 2
1:35.0,Turnover by I. Smith (bad pass; steal by M. Brogdon),,20-24,,
1:29.0,,,20-24,,K. Middleton misses 2-pt shot from 8 ft
1:26.0,Defensive rebound by I. Smith,,20-24,,
1:21.0,A. Tolliver makes 3-pt shot from 26 ft (assist by I. Smith),3,23-24,,
1:06.0,,,23-26,2,K. Middleton makes 2-pt shot from 9 ft (assist by M. Brogdon)
0:43.0,A. Bradley misses 3-pt shot from 23 ft,,23-26,,
0:37.0,,,23-26,,Defensive rebound by D. Wilson
0:30.0,,,23-26,,K. Middleton misses 2-pt shot from 8 ft
0:26.0,Defensive rebound by A. Bradley,,23-26,,
0:03.0,I. Smith misses 2-pt shot from 15 ft,,23-26,,
0:02.0,Offensive rebound by E. Moreland,,23-26,,
0:02.0,E. Moreland misses 2-pt shot at rim,,23-26,,
0:02.0,,,23-26,,Defensive rebound by Team
0:02.0,L. Kennard enters the game for A. Bradley,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-28,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon)
11:20.0,Turnover by Team (shot clock),,23-28,,
11:08.0,,,23-28,,G. Antetokounmpo misses 3-pt shot from 27 ft
11:02.0,,,23-28,,Offensive rebound by T. Maker
10:55.0,,,23-28,,Turnover by M. Brogdon (bad pass)
10:41.0,L. Galloway misses 2-pt shot from 16 ft,,23-28,,
10:38.0,,,23-28,,Defensive rebound by T. Maker
10:31.0,,,23-28,,Shooting foul by A. Tolliver (drawn by G. Antetokounmpo)
10:31.0,,,23-28,,G. Antetokounmpo misses free throw 1 of 2
10:31.0,,,23-28,,Offensive rebound by Team
10:31.0,,,23-29,1,G. Antetokounmpo makes free throw 2 of 2
10:08.0,I. Smith misses 3-pt shot from 28 ft,,23-29,,
10:07.0,Offensive rebound by Team,,23-29,,
10:06.0,Turnover by Team (shot clock),,23-29,,
9:55.0,,,23-29,,G. Antetokounmpo misses 2-pt shot at rim (block by E. Moreland)
9:51.0,Defensive rebound by I. Smith,,23-29,,
9:49.0,L. Kennard misses 3-pt shot from 25 ft,,23-29,,
9:46.0,Offensive rebound by E. Moreland,,23-29,,
9:43.0,I. Smith misses 2-pt shot from 2 ft (block by T. Maker),,23-29,,
9:43.0,Offensive rebound by L. Galloway,,23-29,,
9:35.0,I. Smith misses 2-pt shot from 6 ft (block by G. Antetokounmpo),,23-29,,
9:35.0,Offensive rebound by Team,,23-29,,
9:35.0,Technical foul by I. Smith,,23-29,,
9:35.0,,,23-30,1,T. Snell makes technical free throw
9:28.0,Turnover by E. Moreland (bad pass),,23-30,,
9:12.0,,,23-30,,T. Snell misses 3-pt shot from 27 ft
9:09.0,Defensive rebound by E. Moreland,,23-30,,
9:03.0,I. Smith misses 2-pt shot from 7 ft,,23-30,,
8:59.0,,,23-30,,Defensive rebound by M. Brogdon
8:57.0,,,23-30,,Turnover by M. Brogdon (bad pass)
8:56.0,Detroit full timeout,,23-30,,
8:43.0,L. Galloway misses 2-pt shot from 3 ft,,23-30,,
8:39.0,Offensive rebound by E. Moreland,,23-30,,
8:36.0,Jump ball: D. Liggins vs. E. Moreland (I. Smith gains possession),,,,Jump ball: D. Liggins vs. E. Moreland (I. Smith gains possession)
8:25.0,L. Kennard makes 3-pt shot from 27 ft (assist by E. Moreland),3,26-30,,
7:59.0,,,26-30,,G. Antetokounmpo misses 2-pt shot at rim
7:51.0,Defensive rebound by L. Kennard,,26-30,,
7:43.0,L. Galloway misses 3-pt shot from 27 ft,,26-30,,
7:39.0,Offensive rebound by E. Moreland,,26-30,,
7:39.0,Detroit full timeout,,26-30,,
7:39.0,,,26-30,,J. Henson enters the game for T. Maker
7:39.0,,,26-30,,E. Bledsoe enters the game for D. Liggins
7:25.0,L. Kennard misses 2-pt shot from 7 ft,,26-30,,
7:22.0,,,26-30,,Defensive rebound by E. Bledsoe
7:10.0,,,26-30,,Turnover by J. Henson (traveling)
7:10.0,A. Drummond enters the game for E. Moreland,,26-30,,
6:51.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Tolliver),2,28-30,,
6:36.0,,,28-30,,J. Henson misses 2-pt shot from 3 ft
6:33.0,Defensive rebound by A. Drummond,,28-30,,
6:29.0,I. Smith makes 2-pt shot from 1 ft,2,30-30,,
6:20.0,,,30-30,,E. Bledsoe misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by A. Drummond,,30-30,,
6:09.0,A. Tolliver misses 3-pt shot from 23 ft,,30-30,,
6:06.0,Offensive rebound by A. Tolliver,,30-30,,
5:58.0,L. Galloway misses 2-pt shot from 5 ft,,30-30,,
5:55.0,Offensive rebound by A. Drummond,,30-30,,
5:54.0,A. Drummond misses 2-pt shot from 5 ft (block by J. Henson),,30-30,,
5:54.0,Offensive rebound by A. Drummond,,30-30,,
5:52.0,A. Drummond misses 2-pt shot from 11 ft,,30-30,,
5:52.0,Offensive rebound by Team,,30-30,,
5:52.0,,,30-30,,Personal foul by J. Henson (drawn by A. Drummond)
5:52.0,,,30-30,,K. Middleton enters the game for G. Antetokounmpo
5:52.0,A. Bradley enters the game for L. Kennard,,30-30,,
5:52.0,S. Johnson enters the game for L. Galloway,,30-30,,
5:47.0,Turnover by A. Drummond (lost ball; steal by K. Middleton),,30-30,,
5:43.0,,,30-30,,E. Bledsoe misses 2-pt shot from 2 ft (block by A. Tolliver)
5:35.0,Defensive rebound by S. Johnson,,30-30,,
5:32.0,A. Bradley makes 3-pt shot from 22 ft (assist by A. Tolliver),3,33-30,,
5:13.0,,,33-30,,M. Brogdon misses 2-pt shot from 15 ft
5:11.0,,,33-30,,Offensive rebound by J. Henson
5:02.0,Personal foul by I. Smith (drawn by M. Brogdon),,33-30,,
5:02.0,T. Harris enters the game for I. Smith,,33-30,,
5:02.0,R. Jackson enters the game for A. Tolliver,,33-30,,
4:52.0,,,33-30,,Turnover by J. Henson (bad pass)
4:44.0,A. Bradley makes 2-pt shot at rim (assist by R. Jackson),2,35-30,,
4:44.0,,,35-30,,Milwaukee full timeout
4:33.0,,,35-33,3,K. Middleton makes 3-pt shot from 26 ft (assist by E. Bledsoe)
4:18.0,S. Johnson misses 3-pt shot from 23 ft,,35-33,,
4:14.0,,,35-33,,Defensive rebound by J. Henson
3:54.0,,,35-33,,K. Middleton misses 3-pt shot from 27 ft
3:54.0,,,35-33,,Offensive rebound by Team
3:54.0,Loose ball foul by A. Drummond (drawn by J. Henson),,35-33,,
3:50.0,Personal foul by S. Johnson (drawn by K. Middleton),,35-33,,
3:48.0,,,35-35,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
3:30.0,Shooting foul by J. Henson (drawn by A. Drummond),,35-35,,
3:30.0,A. Drummond makes free throw 1 of 2,1,36-35,,
3:30.0,L. Kennard enters the game for S. Johnson,,36-35,,
3:30.0,A. Drummond misses free throw 2 of 2,,36-35,,
3:27.0,,,36-35,,Defensive rebound by M. Brogdon
3:17.0,Violation by A. Drummond (kicked ball),,36-35,,
3:17.0,,,36-35,,G. Antetokounmpo enters the game for M. Brogdon
3:17.0,A. Tolliver enters the game for L. Kennard,,36-35,,
3:05.0,,,36-35,,Turnover by K. Middleton (lost ball; steal by A. Bradley)
3:02.0,A. Bradley misses 2-pt shot from 1 ft (block by E. Bledsoe),,36-35,,
3:02.0,Offensive rebound by Team,,36-35,,
3:00.0,A. Bradley misses 2-pt shot from 15 ft (block by T. Snell),,36-35,,
2:55.0,,,36-35,,Defensive rebound by E. Bledsoe
2:55.0,,,36-35,,Offensive charge foul by G. Antetokounmpo (drawn by A. Tolliver)
2:55.0,,,36-35,,Turnover by G. Antetokounmpo (offensive foul)
2:34.0,T. Harris makes 2-pt shot from 2 ft,2,38-35,,
2:06.0,,,38-37,2,K. Middleton makes 2-pt shot from 14 ft (assist by E. Bledsoe)
1:50.0,Turnover by A. Drummond (bad pass; steal by E. Bledsoe),,38-37,,
1:43.0,,,38-39,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:27.0,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson),3,41-39,,
1:09.0,Personal foul by A. Tolliver (drawn by J. Henson),,41-39,,
1:09.0,,,41-39,,J. Henson misses free throw 1 of 2
1:09.0,,,41-39,,Offensive rebound by Team
1:09.0,E. Moreland enters the game for A. Drummond,,41-39,,
1:09.0,,,41-39,,J. Henson misses free throw 2 of 2
1:05.0,Defensive rebound by T. Harris,,41-39,,
0:55.0,A. Tolliver misses 3-pt shot from 28 ft,,41-39,,
0:51.0,,,41-39,,Defensive rebound by J. Henson
0:42.0,,,41-41,2,J. Henson makes 2-pt shot from 3 ft (assist by T. Snell)
0:28.0,Turnover by A. Bradley (bad pass; steal by E. Bledsoe),,41-41,,
0:10.0,,,41-41,,E. Bledsoe misses 2-pt shot from 13 ft
0:09.0,,,41-41,,Offensive rebound by J. Henson
0:09.0,,,41-41,,Shooting foul by E. Moreland (drawn by J. Henson)
0:09.0,,,41-41,,J. Henson misses free throw 1 of 2
0:09.0,,,41-41,,Offensive rebound by Team
0:09.0,,,41-41,,J. Henson misses free throw 2 of 2
0:03.0,,,41-41,,Offensive rebound by G. Antetokounmpo
0:03.0,,,41-41,,G. Antetokounmpo misses 2-pt shot at rim
0:02.0,Defensive rebound by T. Harris,,41-41,,
0:00.0,R. Jackson misses 3-pt shot from 27 ft,,41-41,,
0:00.0,Offensive rebound by Team,,41-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,41-43,2,E. Bledsoe makes 2-pt shot from 8 ft
11:18.0,Shooting foul by J. Henson (drawn by A. Drummond),,41-43,,
11:18.0,A. Drummond makes free throw 1 of 2,1,42-43,,
11:18.0,A. Drummond misses free throw 2 of 2,,42-43,,
11:14.0,,,42-43,,Defensive rebound by G. Antetokounmpo
11:11.0,,,42-43,,Turnover by G. Antetokounmpo (traveling)
10:53.0,R. Jackson misses 2-pt shot from 1 ft,,42-43,,
10:49.0,,,42-43,,Defensive rebound by J. Henson
10:44.0,,,42-46,3,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton)
10:28.0,Turnover by R. Jackson (lost ball; steal by K. Middleton),,42-46,,
10:23.0,,,42-48,2,E. Bledsoe makes 2-pt shot from 15 ft
10:21.0,Detroit full timeout,,42-48,,
10:02.0,S. Johnson makes 2-pt shot from 1 ft (assist by A. Drummond),2,44-48,,
9:42.0,,,44-51,3,K. Middleton makes 3-pt shot from 26 ft (assist by T. Snell)
9:13.0,R. Jackson makes 2-pt shot from 14 ft (assist by A. Bradley),2,46-51,,
9:03.0,,,46-53,2,K. Middleton makes 2-pt shot from 16 ft (assist by E. Bledsoe)
8:41.0,T. Harris misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,46-53,,
8:36.0,Offensive rebound by A. Drummond,,46-53,,
8:35.0,Turnover by A. Drummond (bad pass; steal by E. Bledsoe),,46-53,,
8:27.0,,,46-53,,T. Snell misses 2-pt shot from 15 ft
8:24.0,Defensive rebound by A. Drummond,,46-53,,
8:21.0,,,46-53,,Personal foul by E. Bledsoe (drawn by R. Jackson)
8:12.0,Shooting foul by G. Antetokounmpo (drawn by A. Bradley),,46-53,,
8:12.0,A. Bradley makes free throw 1 of 2,1,47-53,,
8:12.0,A. Bradley makes free throw 2 of 2,1,48-53,,
8:01.0,,,48-53,,Shooting foul by A. Drummond (drawn by E. Bledsoe)
8:01.0,,,48-54,1,E. Bledsoe makes free throw 1 of 2
8:01.0,,,48-55,1,E. Bledsoe makes free throw 2 of 2
7:48.0,A. Bradley misses 3-pt shot from 23 ft,,48-55,,
7:45.0,,,48-55,,Defensive rebound by K. Middleton
7:39.0,,,48-58,3,T. Snell makes 3-pt shot from 23 ft (assist by E. Bledsoe)
7:25.0,,,48-58,,Personal foul by G. Antetokounmpo (drawn by T. Harris)
7:12.0,R. Jackson misses 3-pt shot from 25 ft,,48-58,,
7:10.0,Offensive rebound by A. Drummond,,48-58,,
7:09.0,A. Drummond misses 2-pt shot from 3 ft,,48-58,,
7:09.0,,,48-58,,Defensive rebound by K. Middleton
7:05.0,,,48-58,,Turnover by G. Antetokounmpo (bad pass)
6:47.0,A. Bradley misses 3-pt shot from 25 ft,,48-58,,
6:43.0,,,48-58,,Defensive rebound by T. Snell
6:37.0,,,48-58,,J. Henson misses 2-pt shot from 9 ft
6:34.0,Defensive rebound by A. Drummond,,48-58,,
6:27.0,,,48-58,,Personal foul by K. Middleton (drawn by A. Bradley)
6:27.0,A. Bradley makes free throw 1 of 2,1,49-58,,
6:27.0,,,49-58,,M. Brogdon enters the game for E. Bledsoe
6:27.0,A. Bradley makes free throw 2 of 2,1,50-58,,
6:09.0,,,50-60,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
6:00.0,Turnover by R. Jackson (bad pass; steal by G. Antetokounmpo),,50-60,,
5:56.0,,,50-62,2,G. Antetokounmpo makes 2-pt shot at rim
5:30.0,A. Bradley misses 2-pt shot from 1 ft,,50-62,,
5:27.0,,,50-62,,Defensive rebound by J. Henson
5:21.0,,,50-65,3,M. Brogdon makes 3-pt shot from 24 ft (assist by K. Middleton)
5:04.0,A. Bradley makes 3-pt shot from 23 ft (assist by A. Drummond),3,53-65,,
4:51.0,,,53-65,,Turnover by M. Brogdon (bad pass; steal by S. Johnson)
4:47.0,R. Jackson misses 2-pt shot from 1 ft (block by M. Brogdon),,53-65,,
4:43.0,,,53-65,,Defensive rebound by M. Brogdon
4:43.0,,,53-65,,Turnover by K. Middleton (bad pass)
4:43.0,,,53-65,,T. Maker enters the game for J. Henson
4:43.0,I. Smith enters the game for R. Jackson,,53-65,,
4:25.0,T. Harris misses 2-pt shot from 7 ft,,53-65,,
4:23.0,,,53-65,,Defensive rebound by G. Antetokounmpo
4:02.0,,,53-65,,Shooting foul by S. Johnson (drawn by G. Antetokounmpo)
4:02.0,,,53-66,1,G. Antetokounmpo makes free throw 1 of 2
4:02.0,,,53-66,,D. Liggins enters the game for K. Middleton
4:02.0,,,53-67,1,G. Antetokounmpo makes free throw 2 of 2
3:42.0,A. Bradley misses 2-pt shot from 2 ft (block by T. Maker),,53-67,,
3:42.0,Offensive rebound by A. Drummond,,53-67,,
3:42.0,Shooting foul by D. Liggins (drawn by A. Drummond),,53-67,,
3:42.0,A. Drummond makes free throw 1 of 2,1,54-67,,
3:42.0,A. Tolliver enters the game for S. Johnson,,54-67,,
3:42.0,A. Drummond makes free throw 2 of 2,1,55-67,,
3:30.0,,,55-67,,Turnover by T. Maker (bad pass; steal by A. Drummond)
3:24.0,A. Tolliver misses 3-pt shot from 27 ft,,55-67,,
3:22.0,,,55-67,,Defensive rebound by Team
3:04.0,,,55-67,,G. Antetokounmpo misses 2-pt shot from 17 ft
3:02.0,Defensive rebound by A. Drummond,,55-67,,
2:54.0,T. Harris misses 3-pt shot from 28 ft,,55-67,,
2:51.0,,,55-67,,Defensive rebound by G. Antetokounmpo
2:41.0,,,55-67,,M. Brogdon misses 2-pt shot from 11 ft
2:33.0,,,55-67,,Offensive rebound by G. Antetokounmpo
2:33.0,,,55-69,2,G. Antetokounmpo makes 2-pt shot at rim
2:15.0,T. Harris misses 2-pt shot from 2 ft (block by T. Snell),,55-69,,
2:15.0,Offensive rebound by Team,,55-69,,
2:15.0,,,55-69,,Milwaukee full timeout
2:15.0,L. Galloway enters the game for A. Bradley,,55-69,,
2:15.0,,,55-69,,Personal foul by G. Antetokounmpo (drawn by A. Tolliver)
2:15.0,,,55-69,,K. Middleton enters the game for G. Antetokounmpo
2:15.0,T. Harris makes free throw 1 of 1,1,56-69,,
2:02.0,I. Smith misses 2-pt shot from 20 ft,,56-69,,
2:00.0,Offensive rebound by A. Drummond,,56-69,,
1:59.0,A. Drummond makes 2-pt shot from 2 ft,2,58-69,,
1:39.0,,,58-69,,K. Middleton misses 2-pt shot from 12 ft
1:36.0,Defensive rebound by A. Drummond,,58-69,,
1:30.0,I. Smith makes 2-pt shot from 1 ft,2,60-69,,
1:17.0,Personal foul by I. Smith (drawn by M. Brogdon),,60-69,,
1:03.0,,,60-71,2,K. Middleton makes 2-pt shot from 1 ft
0:44.0,Shooting foul by K. Middleton (drawn by T. Harris),,60-71,,
0:44.0,T. Harris makes free throw 1 of 2,1,61-71,,
0:44.0,E. Moreland enters the game for A. Drummond,,61-71,,
0:44.0,T. Harris makes free throw 2 of 2,1,62-71,,
0:32.0,,,62-73,2,M. Brogdon makes 2-pt shot from 20 ft
0:24.0,Turnover by I. Smith (bad pass; steal by T. Maker),,62-73,,
0:20.0,,,62-75,2,T. Snell makes 2-pt shot at rim (assist by M. Brogdon)
0:00.0,I. Smith misses 2-pt shot from 3 ft (block by T. Maker),,62-75,,
0:00.0,,,62-75,,Defensive rebound by M. Brogdon
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Harris makes 2-pt shot from 19 ft (assist by L. Galloway),2,64-75,,
11:28.0,,,64-75,,Turnover by T. Maker (bad pass; steal by A. Tolliver)
11:21.0,L. Galloway makes 3-pt shot from 27 ft (assist by I. Smith),3,67-75,,
10:59.0,,,67-75,,T. Snell misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by I. Smith,,67-75,,
10:48.0,L. Galloway makes 3-pt shot from 26 ft,3,70-75,,
10:23.0,,,70-77,2,K. Middleton makes 2-pt shot from 15 ft
10:06.0,Shooting foul by D. Liggins (drawn by L. Galloway),,70-77,,
10:06.0,L. Galloway makes free throw 1 of 3,1,71-77,,
10:06.0,L. Galloway makes free throw 2 of 3,1,72-77,,
10:06.0,,,72-77,,E. Bledsoe enters the game for D. Liggins
10:06.0,L. Kennard enters the game for T. Harris,,72-77,,
10:06.0,L. Galloway makes free throw 3 of 3,1,73-77,,
9:50.0,,,73-77,,M. Brogdon misses 2-pt shot from 5 ft (block by E. Moreland)
9:50.0,,,73-77,,Offensive rebound by Team
9:43.0,,,73-77,,K. Middleton misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by I. Smith,,73-77,,
9:37.0,L. Galloway misses 3-pt shot from 26 ft,,73-77,,
9:30.0,,,73-77,,Defensive rebound by M. Brogdon
9:27.0,,,73-77,,Turnover by M. Brogdon (lost ball; steal by L. Galloway)
9:26.0,L. Galloway misses 3-pt shot from 24 ft,,73-77,,
9:26.0,Offensive rebound by Team,,73-77,,
9:26.0,,,73-77,,Personal foul by T. Snell (drawn by A. Tolliver)
9:26.0,,,73-77,,Milwaukee full timeout
9:21.0,,,73-77,,Personal foul by E. Bledsoe (drawn by L. Galloway)
9:03.0,I. Smith misses 3-pt shot from 26 ft,,73-77,,
8:59.0,,,73-77,,Defensive rebound by T. Snell
8:58.0,,,73-77,,Shooting foul by L. Kennard (drawn by E. Bledsoe)
8:58.0,,,73-78,1,E. Bledsoe makes free throw 1 of 2
8:58.0,,,73-78,,E. Bledsoe misses free throw 2 of 2
8:58.0,,,73-78,,Violation by T. Maker (double lane)
8:58.0,Violation by E. Moreland (double lane),,73-78,,
8:54.0,Jump ball: T. Maker vs. E. Moreland (M. Brogdon gains possession),,,,Jump ball: T. Maker vs. E. Moreland (M. Brogdon gains possession)
8:54.0,,,73-78,,Offensive rebound by Team
8:43.0,,,73-78,,M. Brogdon misses 3-pt shot from 26 ft
8:43.0,,,73-78,,Offensive rebound by Team
8:43.0,Loose ball foul by E. Moreland (drawn by T. Maker),,73-78,,
8:32.0,,,73-78,,K. Middleton misses 3-pt shot from 26 ft
8:23.0,,,73-78,,Offensive rebound by E. Bledsoe
8:23.0,,,73-78,,E. Bledsoe misses 2-pt shot at rim
8:22.0,Defensive rebound by A. Tolliver,,73-78,,
8:18.0,L. Galloway misses 3-pt shot from 25 ft,,73-78,,
8:14.0,Offensive rebound by E. Moreland,,73-78,,
8:09.0,L. Kennard misses 2-pt shot from 14 ft,,73-78,,
8:06.0,,,73-78,,Defensive rebound by T. Maker
7:56.0,,,73-80,2,K. Middleton makes 2-pt shot from 17 ft
7:31.0,L. Kennard makes 2-pt shot from 17 ft (assist by A. Tolliver),2,75-80,,
7:13.0,,,75-82,2,K. Middleton makes 2-pt shot from 16 ft (assist by T. Maker)
6:50.0,L. Kennard makes 3-pt shot from 27 ft (assist by I. Smith),3,78-82,,
6:35.0,,,78-82,,E. Bledsoe misses 2-pt shot from 9 ft
6:33.0,Defensive rebound by L. Kennard,,78-82,,
6:28.0,L. Galloway misses 3-pt shot from 22 ft,,78-82,,
6:28.0,,,78-82,,Defensive rebound by M. Brogdon
6:11.0,,,78-82,,T. Maker misses 3-pt shot from 26 ft
6:08.0,,,78-82,,Offensive rebound by K. Middleton
6:01.0,,,78-82,,M. Brogdon misses 2-pt shot at rim
5:58.0,Defensive rebound by E. Moreland,,78-82,,
5:51.0,A. Tolliver makes 3-pt shot from 22 ft (assist by L. Galloway),3,81-82,,
5:50.0,,,81-82,,Milwaukee full timeout
5:50.0,,,81-82,,J. Henson enters the game for T. Maker
5:50.0,,,81-82,,G. Antetokounmpo enters the game for M. Brogdon
5:50.0,A. Bradley enters the game for L. Galloway,,81-82,,
5:33.0,,,81-82,,Turnover by T. Snell (bad pass; steal by L. Kennard)
5:28.0,E. Moreland misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,81-82,,
5:28.0,,,81-82,,Defensive rebound by T. Snell
5:09.0,,,81-84,2,T. Snell makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:41.0,A. Bradley misses 2-pt shot from 5 ft,,81-84,,
4:38.0,Offensive rebound by E. Moreland,,81-84,,
4:36.0,L. Kennard makes 3-pt shot from 26 ft (assist by A. Bradley),3,84-84,,
4:16.0,,,84-86,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
