time,Milwaukee,pts.away,score,pts.home,Washington
0:41.0,T. Snell makes 2-pt shot from 17 ft (assist by M. Dellavedova),2,22-31,,
0:32.0,,,22-31,,J. Wall misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by T. Snell,,22-31,,
0:14.0,Turnover by M. Brogdon (lost ball; steal by J. Wall),,22-31,,
0:09.0,,,22-31,,Shooting foul by M. Dellavedova (drawn by J. Wall)
0:09.0,,,22-31,,J. Wall misses free throw 1 of 2
0:09.0,,,22-31,,Offensive rebound by Team
0:09.0,,,22-32,1,J. Wall makes free throw 2 of 2
0:01.0,K. Middleton makes 2-pt shot from 5 ft,2,24-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,T. Maker misses 2-pt shot from 15 ft (block by B. Beal),,24-32,,
11:36.0,Offensive rebound by Team,,24-32,,
11:36.0,Turnover by Team (shot clock),,24-32,,
11:17.0,,,24-32,,Turnover by I. Mahinmi (bad pass; steal by M. Brogdon)
11:13.0,M. Brogdon makes 2-pt shot from 2 ft,2,26-32,,
10:55.0,,,26-32,,Turnover by M. Scott (bad pass; steal by M. Brogdon)
10:51.0,,,26-32,,Personal foul by M. Scott (drawn by T. Maker)
10:42.0,M. Dellavedova misses 3-pt shot from 25 ft,,26-32,,
10:42.0,,,26-32,,Defensive rebound by B. Beal
10:29.0,,,26-32,,J. Meeks misses 3-pt shot from 22 ft
10:26.0,Defensive rebound by T. Maker,,26-32,,
10:24.0,Turnover by T. Maker (bad pass; steal by I. Mahinmi),,26-32,,
10:16.0,,,26-32,,T. Satoransky misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
10:15.0,,,26-32,,Offensive rebound by Team
10:15.0,J. Henson enters the game for T. Maker,,26-32,,
10:09.0,,,26-34,2,I. Mahinmi makes 2-pt shot from 7 ft (assist by B. Beal)
10:09.0,,,26-34,,Shooting foul by M. Dellavedova (drawn by I. Mahinmi)
10:09.0,,,26-34,,I. Mahinmi misses free throw 1 of 1
10:07.0,Defensive rebound by J. Henson,,26-34,,
9:55.0,J. Henson makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,28-34,,
9:35.0,,,28-37,3,M. Scott makes 3-pt shot from 25 ft (assist by I. Mahinmi)
9:21.0,,,28-37,,Personal foul by I. Mahinmi (drawn by J. Henson)
9:16.0,M. Dellavedova misses 2-pt shot from 21 ft,,28-37,,
9:13.0,Offensive rebound by M. Dellavedova,,28-37,,
9:05.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,31-37,,
8:42.0,,,31-37,,T. Satoransky misses 3-pt shot from 22 ft
8:40.0,Defensive rebound by M. Brogdon,,31-37,,
8:28.0,M. Brogdon misses 2-pt shot from 2 ft,,31-37,,
8:28.0,Offensive rebound by J. Henson,,31-37,,
8:26.0,J. Henson misses 2-pt shot at rim,,31-37,,
8:26.0,,,31-37,,Defensive rebound by I. Mahinmi
8:19.0,,,31-39,2,B. Beal makes 2-pt shot from 19 ft (assist by T. Satoransky)
8:08.0,T. Snell misses 3-pt shot from 25 ft,,31-39,,
8:08.0,,,31-39,,Defensive rebound by B. Beal
7:57.0,,,31-39,,M. Scott misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by M. Brogdon,,31-39,,
7:50.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,31-39,,
7:47.0,Offensive rebound by M. Brogdon,,31-39,,
7:46.0,M. Brogdon makes 2-pt shot from 2 ft,2,33-39,,
7:42.0,,,33-39,,Washington full timeout
7:42.0,,,33-39,,M. Morris enters the game for I. Mahinmi
7:42.0,,,33-39,,J. Wall enters the game for T. Satoransky
7:42.0,E. Bledsoe enters the game for M. Dellavedova,,33-39,,
7:23.0,,,33-39,,J. Wall misses 2-pt shot from 19 ft
7:18.0,Defensive rebound by J. Henson,,33-39,,
7:09.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,33-39,,
7:09.0,G. Antetokounmpo makes free throw 1 of 2,1,34-39,,
7:09.0,,,34-39,,K. Oubre enters the game for J. Meeks
7:09.0,G. Antetokounmpo makes free throw 2 of 2,1,35-39,,
6:55.0,Personal foul by M. Brogdon (drawn by B. Beal),,35-39,,
6:55.0,K. Middleton enters the game for G. Antetokounmpo,,35-39,,
6:55.0,,,35-39,,M. Gortat enters the game for M. Scott
6:51.0,,,35-41,2,K. Oubre makes 2-pt shot from 1 ft (assist by M. Morris)
6:32.0,K. Middleton makes 2-pt shot from 19 ft,2,37-41,,
6:15.0,,,37-43,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Gortat)
6:15.0,,,37-43,,Shooting foul by K. Middleton (drawn by M. Morris)
6:15.0,,,37-44,1,M. Morris makes free throw 1 of 1
6:03.0,Turnover by K. Middleton (bad pass),,37-44,,
5:40.0,,,37-44,,B. Beal misses 2-pt shot from 16 ft
5:37.0,Defensive rebound by K. Middleton,,37-44,,
5:31.0,Turnover by M. Brogdon (bad pass),,37-44,,
5:15.0,,,37-46,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:06.0,T. Snell misses 3-pt shot from 25 ft,,37-46,,
5:00.0,,,37-46,,Defensive rebound by M. Gortat
4:59.0,,,37-46,,Shooting foul by K. Middleton (drawn by M. Gortat)
4:59.0,,,37-46,,M. Gortat misses free throw 1 of 2
4:59.0,,,37-46,,Offensive rebound by Team
4:59.0,Milwaukee full timeout,,37-46,,
4:59.0,G. Antetokounmpo enters the game for M. Brogdon,,37-46,,
4:59.0,,,37-46,,M. Gortat misses free throw 2 of 2
4:54.0,Defensive rebound by G. Antetokounmpo,,37-46,,
4:39.0,E. Bledsoe makes 2-pt shot from 3 ft (assist by J. Henson),2,39-46,,
4:17.0,,,39-48,2,M. Gortat makes 2-pt shot at rim (assist by K. Oubre)
3:53.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,39-48,,
3:50.0,,,39-48,,Defensive rebound by B. Beal
3:40.0,,,39-48,,Shooting foul by G. Antetokounmpo (drawn by M. Gortat)
3:40.0,,,39-48,,M. Gortat misses free throw 1 of 2
3:40.0,,,39-48,,Offensive rebound by Team
3:40.0,,,39-49,1,M. Gortat makes free throw 2 of 2
3:32.0,K. Middleton misses 3-pt shot from 26 ft,,39-49,,
3:28.0,,,39-49,,Defensive rebound by M. Gortat
3:09.0,,,39-49,,Turnover by B. Beal (lost ball; steal by T. Snell)
2:59.0,Turnover by K. Middleton (bad pass; steal by M. Morris),,39-49,,
2:41.0,,,39-49,,M. Morris misses 2-pt shot from 10 ft
2:39.0,Defensive rebound by J. Henson,,39-49,,
2:37.0,Shooting foul by B. Beal (drawn by E. Bledsoe),,39-49,,
2:37.0,E. Bledsoe makes free throw 1 of 2,1,40-49,,
2:37.0,E. Bledsoe makes free throw 2 of 2,1,41-49,,
2:25.0,,,41-49,,B. Beal misses 2-pt shot from 11 ft
2:22.0,Defensive rebound by E. Bledsoe,,41-49,,
2:18.0,K. Middleton makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,44-49,,
2:00.0,,,44-49,,K. Oubre misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by E. Bledsoe,,44-49,,
1:54.0,E. Bledsoe makes 2-pt shot from 19 ft,2,46-49,,
1:29.0,,,46-51,2,B. Beal makes 2-pt shot from 11 ft (assist by M. Morris)
1:11.0,Shooting foul by M. Gortat (drawn by J. Henson),,46-51,,
1:11.0,J. Henson misses free throw 1 of 2,,46-51,,
1:11.0,Offensive rebound by Team,,46-51,,
1:11.0,J. Henson makes free throw 2 of 2,1,47-51,,
0:57.0,,,47-51,,Turnover by J. Wall (bad pass; steal by J. Henson)
0:52.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Snell),2,49-51,,
0:40.0,Personal foul by T. Snell (drawn by B. Beal),,49-51,,
0:40.0,,,49-52,1,B. Beal makes free throw 1 of 2
0:40.0,,,49-52,,M. Scott enters the game for M. Morris
0:40.0,,,49-53,1,B. Beal makes free throw 2 of 2
0:34.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,51-53,,
0:34.0,Shooting foul by M. Gortat (drawn by G. Antetokounmpo),,51-53,,
0:34.0,G. Antetokounmpo misses free throw 1 of 1,,51-53,,
0:32.0,Offensive rebound by J. Henson,,51-53,,
0:20.0,E. Bledsoe misses 2-pt shot from 3 ft (block by M. Gortat),,51-53,,
0:16.0,Offensive rebound by J. Henson,,51-53,,
0:16.0,J. Henson misses 2-pt shot from 3 ft,,51-53,,
0:13.0,,,51-53,,Defensive rebound by B. Beal
0:12.0,,,51-53,,B. Beal misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by G. Antetokounmpo,,51-53,,
0:04.0,,,51-53,,Personal foul by K. Oubre (drawn by E. Bledsoe)
0:04.0,E. Bledsoe makes free throw 1 of 2,1,52-53,,
0:04.0,M. Brogdon enters the game for K. Middleton,,52-53,,
0:04.0,E. Bledsoe makes free throw 2 of 2,1,53-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Shooting foul by K. Oubre (drawn by K. Middleton),,53-53,,
11:45.0,K. Middleton makes free throw 1 of 2,1,54-53,,
11:45.0,K. Middleton makes free throw 2 of 2,1,55-53,,
11:25.0,,,55-53,,J. Wall misses 3-pt shot from 28 ft
11:21.0,Defensive rebound by K. Middleton,,55-53,,
11:01.0,E. Bledsoe misses 2-pt shot from 9 ft,,55-53,,
10:59.0,,,55-53,,Defensive rebound by M. Morris
10:50.0,,,55-55,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
10:32.0,K. Middleton misses 2-pt shot from 16 ft,,55-55,,
10:28.0,,,55-55,,Defensive rebound by M. Morris
10:21.0,,,55-55,,J. Wall misses 2-pt shot from 2 ft (block by J. Henson)
10:18.0,Defensive rebound by M. Brogdon,,55-55,,
10:17.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,55-55,,
10:17.0,G. Antetokounmpo makes free throw 1 of 2,1,56-55,,
10:17.0,G. Antetokounmpo makes free throw 2 of 2,1,57-55,,
10:07.0,,,57-55,,M. Gortat misses 2-pt shot from 2 ft (block by J. Henson)
10:03.0,,,57-55,,Offensive rebound by M. Morris
10:03.0,,,57-57,2,M. Morris makes 2-pt shot from 1 ft
9:43.0,Offensive foul by J. Henson (drawn by J. Wall),,57-57,,
9:43.0,Turnover by J. Henson (offensive foul),,57-57,,
9:28.0,,,57-57,,Shooting foul by J. Henson (drawn by K. Oubre)
9:28.0,,,57-58,1,K. Oubre makes free throw 1 of 2
9:28.0,,,57-59,1,K. Oubre makes free throw 2 of 2
9:16.0,,,57-59,,Personal foul by K. Oubre (drawn by G. Antetokounmpo)
9:12.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by J. Henson),3,60-59,,
8:51.0,Personal foul by E. Bledsoe (drawn by J. Wall),,60-59,,
8:43.0,,,60-61,2,B. Beal makes 2-pt shot from 3 ft
8:28.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,60-61,,
8:26.0,Offensive rebound by M. Brogdon,,60-61,,
8:25.0,M. Brogdon misses 3-pt shot from 26 ft,,60-61,,
8:22.0,Offensive rebound by G. Antetokounmpo,,60-61,,
8:14.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,62-61,,
8:12.0,Technical foul by J. Henson,,62-61,,
8:12.0,,,62-62,1,B. Beal makes technical free throw
7:57.0,,,62-62,,K. Oubre misses 3-pt shot from 23 ft
7:54.0,,,62-62,,Offensive rebound by M. Morris
7:50.0,,,62-62,,J. Wall misses 2-pt shot from 16 ft
7:47.0,Defensive rebound by K. Middleton,,62-62,,
7:40.0,M. Brogdon misses 2-pt shot at rim,,62-62,,
7:39.0,,,62-62,,Defensive rebound by M. Gortat
7:34.0,,,62-62,,Turnover by J. Wall (lost ball; steal by K. Middleton)
7:29.0,Offensive charge foul by G. Antetokounmpo (drawn by M. Gortat),,62-62,,
7:29.0,Turnover by G. Antetokounmpo (offensive foul),,62-62,,
7:11.0,,,62-64,2,B. Beal makes 2-pt shot from 10 ft
6:56.0,K. Middleton misses 2-pt shot from 18 ft,,62-64,,
6:52.0,Offensive rebound by G. Antetokounmpo,,62-64,,
6:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,64-64,,
6:30.0,,,64-64,,M. Gortat misses 2-pt shot from 14 ft
6:27.0,Defensive rebound by G. Antetokounmpo,,64-64,,
6:05.0,K. Middleton misses 3-pt shot from 29 ft,,64-64,,
6:02.0,,,64-64,,Defensive rebound by Team
6:02.0,,,64-64,,Washington full timeout
5:45.0,,,64-66,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
5:29.0,Turnover by K. Middleton (bad pass; steal by K. Oubre),,64-66,,
5:24.0,,,64-66,,Shooting foul by G. Antetokounmpo (drawn by K. Oubre)
5:24.0,,,64-67,1,K. Oubre makes free throw 1 of 2
5:24.0,,,64-68,1,K. Oubre makes free throw 2 of 2
5:03.0,E. Bledsoe makes 2-pt shot from 22 ft,2,66-68,,
4:46.0,,,66-68,,J. Wall misses 2-pt shot from 20 ft
4:43.0,Defensive rebound by M. Brogdon,,66-68,,
4:39.0,E. Bledsoe makes 2-pt shot from 1 ft,2,68-68,,
4:20.0,,,68-71,3,B. Beal makes 3-pt shot from 25 ft
4:04.0,E. Bledsoe misses 2-pt shot from 6 ft,,68-71,,
4:01.0,,,68-71,,Defensive rebound by M. Gortat
3:55.0,,,68-71,,B. Beal misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by G. Antetokounmpo,,68-71,,
3:43.0,,,68-71,,M. Scott enters the game for M. Morris
3:43.0,T. Snell enters the game for M. Brogdon,,68-71,,
3:37.0,Jump ball: K. Oubre vs. G. Antetokounmpo (B. Beal gains possession),,,,Jump ball: K. Oubre vs. G. Antetokounmpo (B. Beal gains possession)
3:37.0,Turnover by G. Antetokounmpo (turnover; steal by K. Oubre),,68-71,,
3:29.0,,,68-71,,Shooting foul by E. Bledsoe (drawn by M. Gortat)
3:29.0,,,68-72,1,M. Gortat makes free throw 1 of 2
3:29.0,,,68-72,,T. Satoransky enters the game for K. Oubre
3:29.0,M. Dellavedova enters the game for E. Bledsoe,,68-72,,
3:29.0,,,68-73,1,M. Gortat makes free throw 2 of 2
3:15.0,T. Snell makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,71-73,,
2:59.0,,,71-73,,J. Wall misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by G. Antetokounmpo,,71-73,,
2:51.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,74-73,,
2:35.0,,,74-75,2,M. Scott makes 2-pt shot from 2 ft (assist by J. Wall)
2:35.0,Violation by G. Antetokounmpo (def goaltending),,74-75,,
2:20.0,,,74-75,,Personal foul by M. Scott (drawn by G. Antetokounmpo)
2:20.0,Milwaukee full timeout,,74-75,,
2:20.0,,,74-75,,I. Mahinmi enters the game for B. Beal
2:20.0,,,74-75,,J. Meeks enters the game for M. Gortat
2:20.0,T. Maker enters the game for J. Henson,,74-75,,
2:07.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,76-75,,
1:50.0,,,76-78,3,J. Meeks makes 3-pt shot from 25 ft (assist by J. Wall)
1:31.0,T. Maker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,78-78,,
1:07.0,,,78-80,2,J. Wall makes 2-pt shot from 21 ft
0:51.0,Offensive foul by T. Maker (drawn by J. Meeks),,78-80,,
0:51.0,Turnover by T. Maker (offensive foul),,78-80,,
0:42.0,,,78-82,2,J. Wall makes 2-pt shot from 1 ft
0:32.0,G. Antetokounmpo makes 2-pt shot at rim,2,80-82,,
0:13.0,,,80-85,3,J. Meeks makes 3-pt shot from 27 ft (assist by J. Wall)
0:02.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,80-85,,
0:00.0,Offensive rebound by Team,,80-85,,
0:00.0,,,80-85,,Personal foul by M. Scott (drawn by G. Antetokounmpo)
0:00.0,G. Antetokounmpo makes free throw 1 of 2,1,81-85,,
0:00.0,G. Antetokounmpo makes free throw 2 of 2,1,82-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,82-85,,Turnover by J. Wall (bad pass; steal by G. Antetokounmpo)
11:34.0,K. Middleton misses 3-pt shot from 25 ft,,82-85,,
11:31.0,,,82-85,,Defensive rebound by I. Mahinmi
11:24.0,Personal foul by T. Snell (drawn by M. Scott),,82-85,,
11:13.0,,,82-85,,J. Wall misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by G. Antetokounmpo,,82-85,,
11:04.0,T. Snell misses 3-pt shot from 26 ft,,82-85,,
11:01.0,,,82-85,,Defensive rebound by I. Mahinmi
10:50.0,,,82-87,2,M. Scott makes 2-pt shot from 9 ft (assist by J. Wall)
10:35.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,84-87,,
10:16.0,,,84-90,3,T. Satoransky makes 3-pt shot from 23 ft (assist by J. Wall)
9:56.0,Shooting foul by J. Wall (drawn by K. Middleton),,84-90,,
9:56.0,K. Middleton makes free throw 1 of 2,1,85-90,,
9:56.0,,,85-90,,B. Beal enters the game for J. Wall
9:56.0,M. Brogdon enters the game for T. Maker,,85-90,,
9:56.0,K. Middleton makes free throw 2 of 2,1,86-90,,
9:42.0,,,86-90,,Turnover by I. Mahinmi (lost ball; steal by G. Antetokounmpo)
9:37.0,M. Brogdon makes 2-pt shot at rim (assist by G. Antetokounmpo),2,88-90,,
9:23.0,,,88-90,,B. Beal misses 3-pt shot from 27 ft
9:22.0,,,88-90,,Offensive rebound by Team
9:22.0,Loose ball foul by G. Antetokounmpo (drawn by I. Mahinmi),,88-90,,
9:15.0,,,88-90,,Offensive foul by M. Scott (drawn by M. Dellavedova)
9:15.0,,,88-90,,Turnover by M. Scott (offensive foul)
8:52.0,T. Snell misses 3-pt shot from 23 ft,,88-90,,
8:48.0,,,88-90,,Defensive rebound by J. Meeks
8:34.0,,,88-90,,M. Scott misses 2-pt shot from 6 ft
8:30.0,Defensive rebound by K. Middleton,,88-90,,
8:28.0,Shooting foul by J. Meeks (drawn by K. Middleton),,88-90,,
8:28.0,K. Middleton makes free throw 1 of 2,1,89-90,,
8:28.0,K. Middleton makes free throw 2 of 2,1,90-90,,
8:15.0,,,90-90,,B. Beal misses 2-pt shot from 4 ft
8:13.0,Defensive rebound by M. Brogdon,,90-90,,
8:10.0,Shooting foul by M. Scott (drawn by G. Antetokounmpo),,90-90,,
8:10.0,G. Antetokounmpo makes free throw 1 of 2,1,91-90,,
8:10.0,,,91-90,,J. Wall enters the game for M. Scott
8:10.0,,,91-90,,M. Morris enters the game for T. Satoransky
8:10.0,E. Bledsoe enters the game for K. Middleton,,91-90,,
8:10.0,G. Antetokounmpo makes free throw 2 of 2,1,92-90,,
7:51.0,,,92-90,,M. Morris misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by G. Antetokounmpo,,92-90,,
7:42.0,Turnover by M. Dellavedova (bad pass; steal by B. Beal),,92-90,,
7:32.0,,,92-90,,Turnover by B. Beal (bad pass; steal by E. Bledsoe)
7:27.0,M. Brogdon misses 2-pt shot from 4 ft (block by J. Wall),,92-90,,
7:25.0,,,92-90,,Defensive rebound by I. Mahinmi
7:24.0,Technical foul by M. Dellavedova (drawn by B. Beal),,92-90,,
7:24.0,,,92-90,,B. Beal misses flagrant free throw 2 of 2
7:24.0,,,92-90,,Offensive rebound by Team
7:24.0,,,92-90,,B. Beal misses flagrant free throw 1 of 2
7:24.0,,,92-90,,Offensive rebound by Team
7:24.0,K. Middleton enters the game for M. Dellavedova,,92-90,,
7:16.0,,,92-90,,B. Beal misses 2-pt shot from 5 ft
7:16.0,Defensive rebound by Team,,92-90,,
6:55.0,K. Middleton misses 2-pt shot from 17 ft,,92-90,,
6:50.0,,,92-90,,Defensive rebound by M. Morris
6:35.0,,,92-90,,Shooting foul by K. Middleton (drawn by J. Wall)
6:35.0,,,92-90,,Washington full timeout
6:35.0,,,92-90,,K. Oubre enters the game for J. Meeks
6:35.0,,,92-90,,M. Gortat enters the game for I. Mahinmi
6:35.0,,,92-91,1,J. Wall makes free throw 1 of 2
6:35.0,,,92-92,1,J. Wall makes free throw 2 of 2
6:18.0,Offensive foul by G. Antetokounmpo (drawn by M. Gortat),,92-92,,
6:18.0,Turnover by G. Antetokounmpo (offensive foul),,92-92,,
6:18.0,J. Henson enters the game for G. Antetokounmpo,,92-92,,
6:08.0,,,92-94,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
5:49.0,J. Henson makes 2-pt shot from 7 ft (assist by K. Middleton),2,94-94,,
5:23.0,,,94-94,,J. Wall misses 2-pt shot from 15 ft (block by E. Bledsoe)
5:19.0,Defensive rebound by J. Henson,,94-94,,
5:16.0,,,94-94,,Personal foul by M. Gortat (drawn by J. Henson)
5:11.0,K. Middleton misses 2-pt shot from 10 ft,,94-94,,
5:08.0,,,94-94,,Defensive rebound by K. Oubre
4:53.0,,,94-94,,B. Beal misses 2-pt shot from 8 ft
4:51.0,,,94-94,,Offensive rebound by Team
4:48.0,,,94-94,,Shooting foul by J. Henson (drawn by K. Oubre)
4:48.0,,,94-95,1,K. Oubre makes free throw 1 of 2
