time,Philadelphia,pts.away,score,pts.home,Memphis
3:53.0,R. Covington enters the game for J. Anderson,,17-10,,
3:53.0,T. Booker enters the game for D. Saric,,17-10,,
3:53.0,,,17-11,1,M. Gasol makes free throw 2 of 2
3:29.0,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by R. Covington),3,20-11,,
3:08.0,,,20-11,,Turnover by B. McLemore (out of bounds lost ball)
3:08.0,Philadelphia full timeout,,20-11,,
3:08.0,,,20-11,,J. Martin enters the game for M. Gasol
3:08.0,J. Embiid enters the game for A. Johnson,,20-11,,
2:58.0,,,20-11,,Personal foul by D. Davis (drawn by J. Embiid)
2:44.0,Shooting foul by M. Chalmers (drawn by R. Covington),,20-11,,
2:44.0,R. Covington makes free throw 1 of 2,1,21-11,,
2:44.0,R. Covington makes free throw 2 of 2,1,22-11,,
2:31.0,,,22-11,,Turnover by D. Davis (bad pass)
2:18.0,J. Embiid misses 2-pt shot from 1 ft,,22-11,,
2:16.0,Offensive rebound by T. Booker,,22-11,,
2:16.0,Shooting foul by M. Chalmers (drawn by T. Booker),,22-11,,
2:16.0,,,22-11,,Technical foul by W. Selden
2:16.0,R. Covington misses technical free throw,,22-11,,
2:16.0,Offensive rebound by Team,,22-11,,
2:16.0,T. Booker makes free throw 1 of 2,1,23-11,,
2:16.0,T. Booker makes free throw 2 of 2,1,24-11,,
2:07.0,,,24-13,2,W. Selden makes 2-pt shot from 12 ft
1:55.0,,,24-13,,Personal foul by W. Selden (drawn by T. McConnell)
1:55.0,T. McConnell makes free throw 1 of 2,1,25-13,,
1:55.0,T. McConnell makes free throw 2 of 2,1,26-13,,
1:43.0,,,26-13,,Shooting foul by R. Covington (drawn by W. Selden)
1:43.0,,,26-14,1,W. Selden makes free throw 1 of 2
1:43.0,,,26-14,,W. Selden misses free throw 2 of 2
1:41.0,Defensive rebound by T. Booker,,26-14,,
1:30.0,Turnover by J. Embiid (bad pass; steal by M. Chalmers),,26-14,,
1:26.0,,,26-14,,Shooting foul by R. Covington (drawn by W. Selden)
1:26.0,,,26-15,1,W. Selden makes free throw 1 of 2
1:26.0,J. Anderson enters the game for R. Covington,,26-15,,
1:26.0,,,26-16,1,W. Selden makes free throw 2 of 2
1:11.0,Shooting foul by D. Davis (drawn by J. Embiid),,26-16,,
1:11.0,J. Embiid makes free throw 1 of 2,1,27-16,,
1:11.0,,,27-16,,T. Evans enters the game for B. McLemore
1:11.0,J. Embiid makes free throw 2 of 2,1,28-16,,
0:53.0,,,28-16,,W. Selden misses 2-pt shot from 19 ft
0:53.0,,,28-16,,Offensive rebound by J. Martin
0:51.0,,,28-16,,Shooting foul by T. Booker (drawn by J. Martin)
0:51.0,,,28-16,,J. Martin misses free throw 1 of 2
0:51.0,,,28-16,,Offensive rebound by Team
0:51.0,,,28-17,1,J. Martin makes free throw 2 of 2
0:29.0,J. Embiid misses 2-pt shot from 4 ft,,28-17,,
0:27.0,Offensive rebound by J. Embiid,,28-17,,
0:27.0,J. Embiid makes 2-pt shot at rim,2,30-17,,
0:03.0,,,30-17,,T. Evans misses 2-pt shot from 2 ft
0:02.0,,,30-17,,Offensive rebound by J. Martin
0:02.0,,,30-19,2,J. Martin makes 2-pt shot at rim
0:00.0,T. Booker misses 3-pt shot from 39 ft,,30-19,,
0:00.0,Offensive rebound by Team,,30-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,30-19,,W. Selden misses 3-pt shot from 23 ft
11:46.0,Defensive rebound by T. McConnell,,30-19,,
11:41.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,33-19,,
11:20.0,,,33-22,3,J. Martin makes 3-pt shot from 23 ft (assist by T. Evans)
11:01.0,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell),3,36-22,,
10:47.0,,,36-24,2,M. Chalmers makes 2-pt shot from 4 ft
10:30.0,Turnover by R. Covington (bad pass; steal by J. Martin),,36-24,,
10:26.0,,,36-26,2,J. Martin makes 2-pt shot at rim
10:25.0,Philadelphia full timeout,,36-26,,
10:25.0,,,36-26,,D. Brooks enters the game for J. Martin
10:25.0,,,36-26,,I. Rabb enters the game for W. Selden
10:12.0,,,36-26,,Personal foul by D. Davis (drawn by J. Embiid)
10:12.0,,,36-26,,M. Gasol enters the game for D. Davis
10:00.0,R. Covington misses 3-pt shot from 25 ft,,36-26,,
9:57.0,,,36-26,,Defensive rebound by T. Evans
9:52.0,,,36-28,2,T. Evans makes 2-pt shot at rim
9:36.0,T. McConnell misses 2-pt shot from 12 ft (block by I. Rabb),,36-28,,
9:35.0,Offensive rebound by T. McConnell,,36-28,,
9:35.0,Turnover by T. McConnell (step out of bounds),,36-28,,
9:35.0,B. Simmons enters the game for T. McConnell,,36-28,,
9:20.0,,,36-28,,Turnover by D. Brooks (out of bounds lost ball)
9:09.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,36-28,,
9:08.0,,,36-28,,Defensive rebound by Team
8:50.0,,,36-28,,Offensive charge foul by T. Evans (drawn by T. Booker)
8:50.0,,,36-28,,Turnover by T. Evans (offensive foul)
8:50.0,D. Saric enters the game for T. Booker,,36-28,,
8:39.0,,,36-28,,Personal foul by D. Brooks (drawn by B. Simmons)
8:36.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,36-28,,
8:35.0,,,36-28,,Defensive rebound by M. Chalmers
8:22.0,,,36-28,,M. Chalmers misses 2-pt shot from 22 ft
8:19.0,,,36-28,,Offensive rebound by M. Gasol
8:16.0,,,36-30,2,M. Gasol makes 2-pt shot from 18 ft (assist by T. Evans)
7:53.0,J. Embiid makes 2-pt shot from 9 ft,2,38-30,,
7:42.0,,,38-30,,M. Gasol misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by D. Saric,,38-30,,
7:32.0,Shooting foul by T. Evans (drawn by T. Luwawu-Cabarrot),,38-30,,
7:32.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,39-30,,
7:32.0,A. Johnson enters the game for J. Embiid,,39-30,,
7:32.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,40-30,,
7:15.0,,,40-32,2,M. Chalmers makes 2-pt shot from 1 ft
7:15.0,,,40-32,,Shooting foul by A. Johnson (drawn by M. Chalmers)
7:15.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,40-32,,
7:15.0,,,40-33,1,M. Chalmers makes free throw 1 of 1
6:52.0,R. Covington makes 2-pt shot at rim (assist by J. Anderson),2,42-33,,
6:31.0,,,42-33,,M. Gasol misses 2-pt shot at rim
6:27.0,,,42-33,,Offensive rebound by I. Rabb
6:27.0,,,42-35,2,I. Rabb makes 2-pt shot at rim
6:16.0,D. Saric misses 2-pt shot from 12 ft,,42-35,,
6:15.0,Offensive rebound by A. Johnson,,42-35,,
6:15.0,Shooting foul by M. Gasol (drawn by A. Johnson),,42-35,,
6:15.0,A. Johnson misses free throw 1 of 2,,42-35,,
6:15.0,Offensive rebound by Team,,42-35,,
6:15.0,,,42-35,,A. Harrison enters the game for T. Evans
6:15.0,,,42-35,,W. Selden enters the game for D. Brooks
6:15.0,A. Johnson misses free throw 2 of 2,,42-35,,
6:13.0,,,42-35,,Defensive rebound by M. Chalmers
5:52.0,,,42-35,,M. Chalmers misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by R. Covington,,42-35,,
5:43.0,Offensive charge foul by B. Simmons (drawn by M. Chalmers),,42-35,,
5:43.0,Turnover by B. Simmons (offensive foul),,42-35,,
5:18.0,,,42-35,,W. Selden misses 2-pt shot from 8 ft
5:17.0,,,42-35,,Offensive rebound by Team
5:17.0,,,42-35,,B. McLemore enters the game for M. Chalmers
5:08.0,,,42-37,2,M. Gasol makes 2-pt shot from 8 ft
4:51.0,R. Covington misses 2-pt shot from 18 ft,,42-37,,
4:49.0,,,42-37,,Defensive rebound by I. Rabb
4:38.0,,,42-37,,Turnover by B. McLemore (bad pass; steal by A. Johnson)
4:38.0,,,42-37,,Personal foul by B. McLemore (drawn by A. Johnson)
4:38.0,A. Johnson makes free throw 1 of 2,1,43-37,,
4:38.0,A. Johnson makes free throw 2 of 2,1,44-37,,
4:31.0,,,44-37,,Memphis full timeout
4:17.0,,,44-39,2,A. Harrison makes 2-pt shot at rim
4:00.0,J. Anderson makes 2-pt shot at rim (assist by R. Covington),2,46-39,,
3:47.0,,,46-41,2,I. Rabb makes 2-pt shot at rim (assist by W. Selden)
3:32.0,D. Saric makes 3-pt shot from 25 ft (assist by A. Johnson),3,49-41,,
3:15.0,,,49-41,,A. Harrison misses 2-pt shot from 20 ft
3:13.0,Defensive rebound by R. Covington,,49-41,,
3:04.0,B. Simmons misses 2-pt shot from 7 ft,,49-41,,
3:00.0,Offensive rebound by A. Johnson,,49-41,,
3:00.0,A. Johnson misses 2-pt shot from 1 ft (block by A. Harrison),,49-41,,
3:00.0,Offensive rebound by A. Johnson,,49-41,,
3:00.0,Shooting foul by W. Selden (drawn by A. Johnson),,49-41,,
3:00.0,A. Johnson makes free throw 1 of 2,1,50-41,,
3:00.0,,,50-41,,J. Martin enters the game for A. Harrison
3:00.0,,,50-41,,M. Chalmers enters the game for I. Rabb
3:00.0,,,50-41,,T. Evans enters the game for B. McLemore
3:00.0,T. Luwawu-Cabarrot enters the game for J. Anderson,,50-41,,
3:00.0,T. McConnell enters the game for R. Covington,,50-41,,
3:00.0,A. Johnson misses free throw 2 of 2,,50-41,,
2:56.0,,,50-41,,Defensive rebound by M. Gasol
2:53.0,,,50-43,2,W. Selden makes 2-pt shot at rim (assist by T. Evans)
2:42.0,Turnover by D. Saric (lost ball; steal by M. Chalmers),,50-43,,
2:39.0,,,50-45,2,M. Chalmers makes 2-pt shot at rim
2:20.0,T. McConnell misses 3-pt shot from 24 ft,,50-45,,
2:18.0,,,50-45,,Defensive rebound by W. Selden
2:18.0,Personal take foul by A. Johnson (drawn by J. Martin),,50-45,,
2:18.0,J. Embiid enters the game for A. Johnson,,50-45,,
2:01.0,,,50-45,,W. Selden misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by J. Embiid,,50-45,,
1:46.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,52-45,,
1:20.0,,,52-45,,J. Martin misses 2-pt shot from 6 ft
1:19.0,,,52-45,,Offensive rebound by J. Martin
1:19.0,,,52-45,,Shooting foul by J. Embiid (drawn by J. Martin)
1:19.0,,,52-46,1,J. Martin makes free throw 1 of 2
1:19.0,,,52-47,1,J. Martin makes free throw 2 of 2
0:59.0,Turnover by J. Embiid (out of bounds lost ball),,52-47,,
0:46.0,,,52-49,2,T. Evans makes 2-pt shot from 2 ft
0:23.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft,3,55-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,55-49,,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Evans)
11:37.0,,,55-50,1,T. Evans makes free throw 1 of 2
11:37.0,,,55-51,1,T. Evans makes free throw 2 of 2
11:19.0,B. Simmons misses 2-pt shot from 7 ft,,55-51,,
11:15.0,Offensive rebound by J. Embiid,,55-51,,
11:14.0,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric),3,58-51,,
11:01.0,Personal foul by J. Embiid (drawn by M. Gasol),,58-51,,
10:53.0,,,58-54,3,M. Gasol makes 3-pt shot from 24 ft (assist by J. Martin)
10:36.0,,,58-54,,Personal foul by D. Brooks (drawn by B. Simmons)
10:26.0,J. Embiid misses 2-pt shot from 2 ft,,58-54,,
10:23.0,Offensive rebound by D. Saric,,58-54,,
10:20.0,D. Saric misses 3-pt shot from 26 ft,,58-54,,
10:18.0,Offensive rebound by B. Simmons,,58-54,,
10:11.0,B. Simmons misses 2-pt shot from 1 ft,,58-54,,
10:08.0,,,58-54,,Defensive rebound by D. Brooks
10:07.0,,,58-54,,T. Evans misses 2-pt shot from 2 ft (block by R. Covington)
10:07.0,,,58-54,,Offensive rebound by Team
9:52.0,,,58-54,,M. Gasol misses 2-pt shot from 9 ft
9:48.0,Defensive rebound by R. Covington,,58-54,,
9:42.0,B. Simmons misses 2-pt shot from 10 ft,,58-54,,
9:38.0,,,58-54,,Defensive rebound by M. Gasol
9:31.0,,,58-54,,J. Martin misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by J. Embiid,,58-54,,
9:18.0,Shooting foul by J. Martin (drawn by J. Embiid),,58-54,,
9:18.0,J. Embiid makes free throw 1 of 2,1,59-54,,
9:18.0,J. Embiid makes free throw 2 of 2,1,60-54,,
8:56.0,,,60-54,,D. Brooks misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by D. Saric,,60-54,,
8:48.0,D. Saric makes 2-pt shot from 6 ft,2,62-54,,
8:21.0,,,62-54,,T. Evans misses 2-pt shot from 2 ft
8:21.0,Defensive rebound by Team,,62-54,,
8:04.0,D. Saric misses 2-pt shot at rim,,62-54,,
8:01.0,,,62-54,,Defensive rebound by D. Brooks
7:57.0,Personal foul by J. Embiid (drawn by M. Gasol),,62-54,,
7:57.0,A. Johnson enters the game for J. Embiid,,62-54,,
7:57.0,J. Anderson enters the game for R. Covington,,62-54,,
7:43.0,,,62-54,,D. Brooks misses 2-pt shot at rim
7:41.0,,,62-54,,Offensive rebound by J. Martin
7:39.0,,,62-54,,J. Martin misses 2-pt shot at rim
7:39.0,,,62-54,,Offensive rebound by J. Martin
7:39.0,,,62-54,,J. Martin misses 2-pt shot at rim
7:37.0,Defensive rebound by D. Saric,,62-54,,
7:32.0,T. Luwawu-Cabarrot makes 3-pt shot from 22 ft (assist by B. Simmons),3,65-54,,
7:30.0,,,65-54,,Memphis full timeout
7:18.0,,,65-54,,M. Gasol misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by J. Anderson,,65-54,,
7:01.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by D. Brooks),,65-54,,
6:57.0,,,65-54,,A. Harrison misses 2-pt shot from 1 ft
6:56.0,,,65-54,,Offensive rebound by D. Brooks
6:56.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Brooks),,65-54,,
6:56.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,65-54,,
6:43.0,,,65-54,,Turnover by M. Gasol (turnover)
6:20.0,B. Simmons makes 2-pt shot from 9 ft,2,67-54,,
5:58.0,,,67-57,3,D. Brooks makes 3-pt shot from 25 ft (assist by T. Evans)
5:43.0,T. McConnell makes 3-pt shot from 23 ft (assist by B. Simmons),3,70-57,,
5:26.0,,,70-59,2,D. Brooks makes 2-pt shot from 18 ft
5:15.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,73-59,,
4:56.0,,,73-59,,A. Harrison misses 2-pt shot from 1 ft
4:54.0,,,73-59,,Offensive rebound by M. Gasol
4:54.0,,,73-59,,Shooting foul by T. McConnell (drawn by D. Brooks)
4:54.0,,,73-60,1,D. Brooks makes free throw 1 of 2
4:54.0,,,73-60,,M. Chalmers enters the game for A. Harrison
4:54.0,,,73-60,,W. Selden enters the game for T. Evans
4:54.0,,,73-61,1,D. Brooks makes free throw 2 of 2
4:45.0,,,73-61,,Personal foul by D. Brooks (drawn by T. McConnell)
4:45.0,,,73-61,,M. Henry enters the game for D. Brooks
4:45.0,,,73-61,,D. Davis enters the game for M. Gasol
4:40.0,J. Anderson makes 2-pt shot from 2 ft,2,75-61,,
4:27.0,Technical foul by J. Anderson (drawn by W. Selden),,75-61,,
4:27.0,,,75-61,,Technical foul by W. Selden
4:27.0,,,75-61,,A. Harrison enters the game for W. Selden
4:27.0,D. Saric makes technical free throw,1,76-61,,
4:27.0,,,76-62,1,D. Davis makes flagrant free throw 1 of 2
4:27.0,,,76-62,,D. Davis misses flagrant free throw 2 of 2
4:27.0,,,76-62,,Offensive rebound by Team
4:24.0,,,76-64,2,D. Davis makes 2-pt shot from 6 ft (assist by M. Henry)
4:04.0,Turnover by J. Anderson (bad pass; steal by M. Henry),,76-64,,
4:03.0,,,76-64,,Turnover by M. Henry (bad pass)
4:03.0,,,76-64,,I. Rabb enters the game for J. Martin
4:03.0,R. Covington enters the game for J. Anderson,,76-64,,
3:57.0,,,76-64,,Personal foul by A. Harrison (drawn by B. Simmons)
3:51.0,Offensive foul by B. Simmons (drawn by A. Harrison),,76-64,,
3:51.0,Turnover by B. Simmons (offensive foul),,76-64,,
3:31.0,,,76-64,,Shooting foul by A. Johnson (drawn by D. Davis)
3:31.0,,,76-65,1,D. Davis makes free throw 1 of 2
3:31.0,,,76-66,1,D. Davis makes free throw 2 of 2
3:21.0,D. Saric makes 3-pt shot from 25 ft (assist by A. Johnson),3,79-66,,
3:01.0,,,79-66,,M. Henry misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by A. Johnson,,79-66,,
2:53.0,Turnover by B. Simmons (bad pass; steal by M. Henry),,79-66,,
2:39.0,,,79-68,2,M. Chalmers makes 2-pt shot from 21 ft
2:23.0,Shooting foul by I. Rabb (drawn by D. Saric),,79-68,,
2:23.0,Philadelphia full timeout,,79-68,,
2:23.0,J. Anderson enters the game for B. Simmons,,79-68,,
2:23.0,D. Saric makes free throw 1 of 2,1,80-68,,
2:23.0,D. Saric makes free throw 2 of 2,1,81-68,,
2:04.0,,,81-68,,M. Henry misses 2-pt shot at rim
2:01.0,Defensive rebound by R. Covington,,81-68,,
1:39.0,D. Saric misses 2-pt shot from 21 ft,,81-68,,
1:39.0,Offensive rebound by Team,,81-68,,
1:39.0,Turnover by Team (shot clock),,81-68,,
1:39.0,T. Booker enters the game for D. Saric,,81-68,,
1:19.0,,,81-68,,A. Harrison misses 2-pt shot at rim (block by A. Johnson)
1:16.0,Defensive rebound by T. McConnell,,81-68,,
1:12.0,R. Covington misses 3-pt shot from 24 ft,,81-68,,
1:09.0,,,81-68,,Defensive rebound by I. Rabb
1:04.0,,,81-68,,M. Chalmers misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by T. McConnell,,81-68,,
0:59.0,J. Anderson makes 2-pt shot at rim (assist by T. McConnell),2,83-68,,
0:35.0,,,83-71,3,M. Henry makes 3-pt shot from 22 ft (assist by A. Harrison)
0:14.0,Turnover by T. McConnell (bad pass; steal by M. Henry),,83-71,,
0:01.0,,,83-71,,Shooting foul by T. McConnell (drawn by M. Chalmers)
0:01.0,,,83-72,1,M. Chalmers makes free throw 1 of 3
0:01.0,,,83-73,1,M. Chalmers makes free throw 2 of 3
0:01.0,,,83-74,1,M. Chalmers makes free throw 3 of 3
0:00.0,J. Anderson misses 3-pt shot from 26 ft,,83-74,,
0:00.0,Offensive rebound by Team,,83-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,J. Embiid makes 2-pt shot from 13 ft (assist by T. Luwawu-Cabarrot),2,85-74,,
11:22.0,,,85-74,,M. Chalmers misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by J. Embiid,,85-74,,
11:19.0,Turnover by J. Embiid (bad pass; steal by M. Chalmers),,85-74,,
11:11.0,,,85-74,,M. Henry misses 3-pt shot from 25 ft
11:08.0,,,85-74,,Offensive rebound by M. Henry
11:06.0,,,85-76,2,M. Henry makes 2-pt shot at rim
10:53.0,Turnover by J. Embiid (bad pass; steal by D. Davis),,85-76,,
10:44.0,,,85-79,3,M. Chalmers makes 3-pt shot from 23 ft (assist by M. Henry)
10:43.0,Philadelphia full timeout,,85-79,,
10:43.0,,,85-79,,M. Gasol enters the game for D. Davis
10:35.0,,,85-79,,Personal foul by M. Chalmers (drawn by T. Luwawu-Cabarrot)
10:21.0,T. McConnell misses 2-pt shot from 12 ft,,85-79,,
10:19.0,Offensive rebound by J. Embiid,,85-79,,
10:18.0,J. Embiid makes 2-pt shot from 2 ft,2,87-79,,
10:18.0,Shooting foul by I. Rabb (drawn by J. Embiid),,87-79,,
10:18.0,J. Embiid misses free throw 1 of 1,,87-79,,
10:14.0,,,87-79,,Defensive rebound by M. Henry
10:03.0,,,87-79,,M. Henry misses 2-pt shot from 19 ft
10:01.0,Defensive rebound by J. Embiid,,87-79,,
9:45.0,Shooting foul by M. Henry (drawn by R. Covington),,87-79,,
9:45.0,R. Covington makes free throw 1 of 2,1,88-79,,
9:45.0,,,88-79,,D. Brooks enters the game for M. Chalmers
9:45.0,R. Covington makes free throw 2 of 2,1,89-79,,
9:26.0,,,89-79,,I. Rabb misses 2-pt shot from 20 ft
9:22.0,Defensive rebound by J. Embiid,,89-79,,
9:14.0,R. Covington misses 3-pt shot from 25 ft,,89-79,,
9:11.0,,,89-79,,Defensive rebound by M. Gasol
8:59.0,,,89-82,3,M. Henry makes 3-pt shot from 26 ft (assist by T. Evans)
8:39.0,Turnover by R. Covington (bad pass; steal by M. Henry),,89-82,,
8:32.0,,,89-85,3,M. Henry makes 3-pt shot from 23 ft (assist by I. Rabb)
8:09.0,T. McConnell makes 2-pt shot at rim,2,91-85,,
8:00.0,,,91-87,2,T. Evans makes 2-pt shot from 2 ft
8:00.0,,,91-87,,Shooting foul by T. McConnell (drawn by T. Evans)
8:00.0,,,91-87,,J. Martin enters the game for I. Rabb
8:00.0,J. Anderson enters the game for T. McConnell,,91-87,,
8:00.0,B. Simmons enters the game for R. Covington,,91-87,,
8:00.0,,,91-88,1,T. Evans makes free throw 1 of 1
7:48.0,,,91-88,,Personal foul by M. Henry (drawn by J. Embiid)
7:48.0,D. Saric enters the game for T. Booker,,91-88,,
7:37.0,Offensive charge foul by D. Saric (drawn by D. Brooks),,91-88,,
7:37.0,Turnover by D. Saric (offensive foul),,91-88,,
7:17.0,,,91-91,3,T. Evans makes 3-pt shot from 26 ft
6:57.0,Turnover by B. Simmons (bad pass; steal by T. Evans),,91-91,,
6:53.0,,,91-91,,Shooting foul by J. Anderson (drawn by T. Evans)
6:53.0,,,91-92,1,T. Evans makes free throw 1 of 2
6:53.0,,,91-92,,T. Evans misses free throw 2 of 2
6:51.0,Defensive rebound by J. Embiid,,91-92,,
6:37.0,J. Embiid makes 2-pt shot from 7 ft (assist by T. Luwawu-Cabarrot),2,93-92,,
6:13.0,,,93-92,,T. Evans misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by D. Saric,,93-92,,
6:07.0,Philadelphia full timeout,,93-92,,
6:07.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,93-92,,
6:00.0,Shooting foul by M. Gasol (drawn by D. Saric),,93-92,,
6:00.0,D. Saric makes free throw 1 of 2,1,94-92,,
6:00.0,R. Covington enters the game for J. Anderson,,94-92,,
6:00.0,D. Saric makes free throw 2 of 2,1,95-92,,
5:45.0,,,95-94,2,M. Gasol makes 2-pt shot at rim (assist by T. Evans)
5:29.0,J. Embiid misses 3-pt shot from 25 ft,,95-94,,
5:25.0,,,95-94,,Defensive rebound by J. Martin
5:03.0,,,95-94,,M. Gasol misses 2-pt shot from 15 ft
5:01.0,Defensive rebound by D. Saric,,95-94,,
4:58.0,R. Covington misses 3-pt shot from 25 ft,,95-94,,
4:54.0,Offensive rebound by J. Embiid,,95-94,,
4:48.0,Turnover by D. Saric (bad pass; steal by D. Brooks),,95-94,,
4:45.0,,,95-94,,Shooting foul by T. McConnell (drawn by M. Henry)
