time,Oklahoma City,pts.away,score,pts.home,New York
10:54.0,,,26-25,,Defensive rebound by K. O'Quinn
10:38.0,,,26-28,3,R. Baker makes 3-pt shot from 25 ft (assist by J. Jack)
10:12.0,J. Grant misses 3-pt shot from 24 ft,,26-28,,
10:09.0,Offensive rebound by P. Patterson,,26-28,,
10:09.0,Turnover by P. Patterson (out of bounds lost ball),,26-28,,
9:47.0,,,26-28,,K. O'Quinn misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by P. Patterson,,26-28,,
9:34.0,,,26-28,,Personal foul by R. Baker (drawn by J. Grant)
9:25.0,R. Felton makes 2-pt shot from 1 ft,2,28-28,,
9:11.0,,,28-28,,Shooting foul by J. Grant (drawn by K. O'Quinn)
9:11.0,,,28-29,1,K. O'Quinn makes free throw 1 of 2
9:11.0,,,28-29,,K. O'Quinn misses free throw 2 of 2
9:09.0,Defensive rebound by P. George,,28-29,,
8:53.0,T. Ferguson misses 3-pt shot from 23 ft,,28-29,,
8:50.0,,,28-29,,Defensive rebound by R. Baker
8:37.0,,,28-29,,Turnover by J. Jack (bad pass; steal by P. Patterson)
8:29.0,J. Grant makes 2-pt shot from 2 ft (assist by P. George),2,30-29,,
8:15.0,,,30-31,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker)
8:05.0,R. Felton misses 2-pt shot from 1 ft,,30-31,,
8:04.0,,,30-31,,Defensive rebound by Team
8:04.0,Loose ball foul by J. Grant (drawn by J. Jack),,30-31,,
8:04.0,,,30-31,,M. Beasley enters the game for L. Thomas
8:04.0,R. Westbrook enters the game for R. Felton,,30-31,,
8:04.0,C. Anthony enters the game for J. Grant,,30-31,,
8:04.0,A. Roberson enters the game for P. George,,30-31,,
7:54.0,,,30-31,,Turnover by K. O'Quinn (bad pass; steal by P. Patterson)
7:39.0,C. Anthony misses 2-pt shot from 22 ft,,30-31,,
7:35.0,,,30-31,,Defensive rebound by K. O'Quinn
7:15.0,,,30-33,2,M. Beasley makes 2-pt shot from 7 ft
6:48.0,C. Anthony misses 2-pt shot from 3 ft (block by M. Beasley),,30-33,,
6:46.0,,,30-33,,Defensive rebound by M. Beasley
6:39.0,,,30-33,,Turnover by R. Baker (traveling)
6:39.0,,,30-33,,New York full timeout
6:39.0,,,30-33,,E. Kanter enters the game for K. O'Quinn
6:29.0,R. Westbrook makes 2-pt shot from 20 ft,2,32-33,,
6:07.0,,,32-33,,E. Kanter misses 2-pt shot from 1 ft (block by A. Roberson)
6:05.0,Defensive rebound by C. Anthony,,32-33,,
5:59.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,35-33,,
5:42.0,,,35-33,,R. Baker misses 3-pt shot from 28 ft
5:39.0,Defensive rebound by C. Anthony,,35-33,,
5:26.0,,,35-33,,Personal foul by M. Beasley (drawn by T. Ferguson)
5:26.0,,,35-33,,C. Lee enters the game for R. Baker
5:14.0,R. Westbrook misses 2-pt shot from 15 ft,,35-33,,
5:11.0,,,35-33,,Defensive rebound by J. Jack
5:09.0,Personal foul by T. Ferguson (drawn by J. Jack),,35-33,,
5:09.0,D. Johnson enters the game for P. Patterson,,35-33,,
5:01.0,,,35-33,,M. Beasley misses 2-pt shot from 13 ft
4:58.0,,,35-33,,Offensive rebound by E. Kanter
4:57.0,,,35-33,,E. Kanter misses 2-pt shot from 1 ft (block by A. Roberson)
4:57.0,Defensive rebound by A. Roberson,,35-33,,
4:55.0,,,35-33,,Personal foul by J. Jack (drawn by R. Westbrook)
4:55.0,P. George enters the game for T. Ferguson,,35-33,,
4:45.0,R. Westbrook makes 2-pt shot from 11 ft,2,37-33,,
4:45.0,Shooting foul by C. Lee (drawn by R. Westbrook),,37-33,,
4:45.0,R. Westbrook makes free throw 1 of 1,1,38-33,,
4:33.0,,,38-35,2,M. Beasley makes 2-pt shot from 12 ft
4:24.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook),2,40-35,,
4:00.0,,,40-38,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Beasley)
3:40.0,C. Anthony misses 3-pt shot from 24 ft,,40-38,,
3:38.0,,,40-38,,Defensive rebound by J. Jack
3:34.0,,,40-38,,Shooting foul by P. George (drawn by E. Kanter)
3:34.0,Oklahoma City full timeout,,40-38,,
3:34.0,,,40-38,,L. Thomas enters the game for D. McDermott
3:34.0,,,40-39,1,E. Kanter makes free throw 1 of 2
3:34.0,,,40-39,,E. Kanter misses free throw 2 of 2
3:32.0,Defensive rebound by C. Anthony,,40-39,,
3:14.0,R. Westbrook misses 2-pt shot from 15 ft,,40-39,,
3:11.0,Offensive rebound by A. Roberson,,40-39,,
3:10.0,Shooting foul by L. Thomas (drawn by R. Westbrook),,40-39,,
3:10.0,R. Westbrook makes free throw 1 of 2,1,41-39,,
3:10.0,R. Westbrook misses free throw 2 of 2,,41-39,,
3:08.0,,,41-39,,Defensive rebound by M. Beasley
2:49.0,,,41-41,2,E. Kanter makes 2-pt shot from 10 ft
2:34.0,D. Johnson misses 2-pt shot from 2 ft,,41-41,,
2:29.0,,,41-41,,Defensive rebound by L. Thomas
2:19.0,,,41-44,3,C. Lee makes 3-pt shot from 25 ft (assist by L. Thomas)
1:57.0,C. Anthony misses 2-pt shot from 15 ft,,41-44,,
1:55.0,,,41-44,,Defensive rebound by J. Jack
1:46.0,Personal foul by C. Anthony (drawn by M. Beasley),,41-44,,
1:46.0,,,41-45,1,M. Beasley makes free throw 1 of 2
1:46.0,,,41-46,1,M. Beasley makes free throw 2 of 2
1:37.0,Shooting foul by E. Kanter (drawn by R. Westbrook),,41-46,,
1:37.0,R. Westbrook makes free throw 1 of 2,1,42-46,,
1:37.0,R. Westbrook makes free throw 2 of 2,1,43-46,,
1:18.0,,,43-46,,L. Thomas misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by D. Johnson,,43-46,,
1:08.0,P. George misses 3-pt shot from 25 ft,,43-46,,
1:04.0,,,43-46,,Defensive rebound by J. Jack
0:55.0,,,43-46,,C. Lee misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by P. George,,43-46,,
0:42.0,C. Anthony misses 2-pt shot from 23 ft,,43-46,,
0:40.0,,,43-46,,Defensive rebound by C. Lee
0:28.0,,,43-46,,Shooting foul by D. Johnson (drawn by C. Lee)
0:28.0,,,43-46,,D. McDermott enters the game for M. Beasley
0:28.0,,,43-46,,R. Baker enters the game for E. Kanter
0:28.0,A. Abrines enters the game for A. Roberson,,43-46,,
0:28.0,,,43-47,1,C. Lee makes free throw 1 of 2
0:28.0,,,43-48,1,C. Lee makes free throw 2 of 2
0:07.0,R. Westbrook misses 2-pt shot from 1 ft,,43-48,,
0:07.0,Offensive rebound by R. Westbrook,,43-48,,
0:07.0,Shooting foul by L. Thomas (drawn by R. Westbrook),,43-48,,
0:07.0,,,43-48,,M. Beasley enters the game for R. Baker
0:07.0,J. Grant enters the game for D. Johnson,,43-48,,
0:07.0,A. Roberson enters the game for A. Abrines,,43-48,,
0:07.0,R. Westbrook misses free throw 1 of 2,,43-48,,
0:07.0,Offensive rebound by Team,,43-48,,
0:07.0,R. Westbrook makes free throw 2 of 2,1,44-48,,
0:01.0,,,44-48,,Shooting foul by R. Westbrook (drawn by J. Jack)
0:01.0,,,44-49,1,J. Jack makes free throw 1 of 2
0:01.0,,,44-50,1,J. Jack makes free throw 2 of 2
0:00.0,Turnover by R. Westbrook (bad pass; steal by J. Jack),,44-50,,
0:00.0,,,44-50,,J. Jack misses 3-pt shot from 26 ft
0:00.0,,,44-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,P. George misses 2-pt shot from 19 ft,,44-50,,
11:46.0,,,44-50,,Defensive rebound by M. Beasley
11:35.0,,,44-50,,Shooting foul by A. Roberson (drawn by C. Lee)
11:35.0,,,44-51,1,C. Lee makes free throw 1 of 2
11:35.0,,,44-52,1,C. Lee makes free throw 2 of 2
11:25.0,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook),3,47-52,,
11:02.0,,,47-52,,L. Thomas misses 2-pt shot from 2 ft (block by D. Johnson)
11:00.0,,,47-52,,Offensive rebound by E. Kanter
10:59.0,,,47-52,,Turnover by Team (shot clock)
10:37.0,P. George makes 2-pt shot from 2 ft,2,49-52,,
10:26.0,,,49-52,,M. Beasley misses 2-pt shot from 15 ft
10:26.0,Defensive rebound by R. Westbrook,,49-52,,
10:17.0,R. Westbrook misses 3-pt shot from 26 ft,,49-52,,
10:13.0,Offensive rebound by P. George,,49-52,,
10:05.0,C. Anthony misses 2-pt shot from 17 ft,,49-52,,
10:01.0,,,49-52,,Defensive rebound by C. Lee
9:51.0,Personal foul by P. George (drawn by E. Kanter),,49-52,,
9:40.0,,,49-52,,M. Beasley misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by R. Westbrook,,49-52,,
9:33.0,Shooting foul by E. Kanter (drawn by D. Johnson),,49-52,,
9:33.0,D. Johnson misses free throw 1 of 2,,49-52,,
9:33.0,Offensive rebound by Team,,49-52,,
9:33.0,D. Johnson makes free throw 2 of 2,1,50-52,,
9:22.0,,,50-55,3,L. Thomas makes 3-pt shot from 22 ft (assist by J. Jack)
9:04.0,C. Anthony misses 2-pt shot from 10 ft,,50-55,,
9:03.0,,,50-55,,Defensive rebound by Team
8:56.0,,,50-55,,Shooting foul by A. Roberson (drawn by E. Kanter)
8:56.0,P. Patterson enters the game for D. Johnson,,50-55,,
8:56.0,,,50-56,1,E. Kanter makes free throw 1 of 2
8:56.0,,,50-56,,E. Kanter misses free throw 2 of 2
8:55.0,Defensive rebound by Team,,50-56,,
8:37.0,A. Roberson makes 2-pt shot from 1 ft (assist by P. George),2,52-56,,
8:22.0,,,52-56,,Turnover by M. Beasley (bad pass; steal by C. Anthony)
8:13.0,R. Westbrook makes 2-pt shot from 16 ft,2,54-56,,
8:00.0,,,54-56,,C. Lee misses 2-pt shot from 6 ft
7:57.0,Defensive rebound by P. Patterson,,54-56,,
7:43.0,P. George makes 2-pt shot from 11 ft,2,56-56,,
7:42.0,,,56-56,,New York full timeout
7:24.0,,,56-58,2,M. Beasley makes 2-pt shot from 8 ft
7:09.0,R. Westbrook misses 2-pt shot from 9 ft,,56-58,,
7:07.0,,,56-58,,Defensive rebound by J. Jack
6:56.0,,,56-60,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
6:41.0,C. Anthony misses 2-pt shot from 13 ft,,56-60,,
6:39.0,,,56-60,,Defensive rebound by E. Kanter
6:34.0,,,56-60,,L. Thomas misses 2-pt shot from 1 ft (block by P. Patterson)
6:30.0,,,56-60,,Offensive rebound by J. Jack
6:20.0,,,56-60,,Shooting foul by C. Anthony (drawn by M. Beasley)
6:20.0,,,56-60,,M. Beasley misses free throw 1 of 2
6:20.0,,,56-60,,Offensive rebound by Team
6:20.0,,,56-61,1,M. Beasley makes free throw 2 of 2
6:01.0,A. Roberson makes 2-pt shot from 1 ft (assist by P. George),2,58-61,,
5:44.0,,,58-61,,Shooting foul by R. Westbrook (drawn by J. Jack)
5:44.0,,,58-62,1,J. Jack makes free throw 1 of 2
5:44.0,,,58-63,1,J. Jack makes free throw 2 of 2
5:30.0,A. Roberson misses 2-pt shot from 1 ft,,58-63,,
5:28.0,,,58-63,,Defensive rebound by E. Kanter
5:19.0,,,58-63,,Turnover by M. Beasley (bad pass; steal by P. George)
5:15.0,,,58-63,,Personal foul by J. Jack (drawn by R. Westbrook)
5:15.0,A. Abrines enters the game for P. George,,58-63,,
5:15.0,J. Huestis enters the game for A. Roberson,,58-63,,
5:15.0,,,58-63,,D. McDermott enters the game for L. Thomas
5:02.0,A. Abrines misses 3-pt shot from 25 ft,,58-63,,
4:57.0,Offensive rebound by J. Huestis,,58-63,,
4:57.0,J. Huestis misses 2-pt shot at rim,,58-63,,
4:56.0,,,58-63,,Defensive rebound by E. Kanter
4:44.0,,,58-63,,C. Lee misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by A. Abrines,,58-63,,
4:34.0,R. Westbrook makes 2-pt shot from 14 ft,2,60-63,,
4:15.0,,,60-65,2,E. Kanter makes 2-pt shot from 17 ft
3:48.0,P. Patterson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,63-65,,
3:26.0,,,63-67,2,M. Beasley makes 2-pt shot from 1 ft
3:26.0,,,63-67,,Shooting foul by P. Patterson (drawn by M. Beasley)
3:26.0,,,63-67,,F. Ntilikina enters the game for J. Jack
3:26.0,,,63-67,,K. O'Quinn enters the game for E. Kanter
3:26.0,J. Grant enters the game for C. Anthony,,63-67,,
3:26.0,,,63-68,1,M. Beasley makes free throw 1 of 1
3:16.0,R. Westbrook makes 2-pt shot at rim,2,65-68,,
2:53.0,,,65-71,3,D. McDermott makes 3-pt shot from 25 ft (assist by C. Lee)
2:34.0,P. Patterson makes 3-pt shot from 23 ft (assist by J. Huestis),3,68-71,,
2:24.0,Personal foul by J. Grant (drawn by M. Beasley),,68-71,,
2:24.0,Oklahoma City full timeout,,68-71,,
2:24.0,R. Felton enters the game for R. Westbrook,,68-71,,
2:24.0,,,68-72,1,M. Beasley makes free throw 1 of 2
2:24.0,,,68-72,,R. Baker enters the game for C. Lee
2:24.0,,,68-73,1,M. Beasley makes free throw 2 of 2
2:10.0,A. Abrines misses 3-pt shot from 25 ft,,68-73,,
2:09.0,,,68-73,,Defensive rebound by Team
1:53.0,,,68-75,2,M. Beasley makes 2-pt shot from 4 ft
1:36.0,R. Felton makes 3-pt shot from 26 ft (assist by P. Patterson),3,71-75,,
1:14.0,,,71-78,3,R. Baker makes 3-pt shot from 22 ft (assist by M. Beasley)
0:58.0,J. Grant makes 2-pt shot at rim (assist by R. Felton),2,73-78,,
0:45.0,,,73-78,,F. Ntilikina misses 2-pt shot from 1 ft (block by P. Patterson)
0:42.0,Defensive rebound by J. Grant,,73-78,,
0:41.0,,,73-78,,Personal take foul by R. Baker (drawn by R. Felton)
0:41.0,P. George enters the game for A. Abrines,,73-78,,
0:32.0,J. Grant misses 2-pt shot from 4 ft (block by K. O'Quinn),,73-78,,
0:29.0,,,73-78,,Defensive rebound by M. Beasley
0:13.0,,,73-80,2,M. Beasley makes 2-pt shot from 15 ft
0:02.0,Turnover by P. George (bad pass; steal by F. Ntilikina),,73-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,73-80,,M. Beasley misses 2-pt shot from 7 ft
11:37.0,Defensive rebound by P. George,,73-80,,
11:28.0,Shooting foul by K. O'Quinn (drawn by P. George),,73-80,,
11:28.0,P. George makes free throw 2 of 2,1,74-80,,
11:28.0,P. George misses free throw 1 of 2,,74-80,,
11:28.0,Offensive rebound by Team,,74-80,,
11:05.0,,,74-82,2,K. O'Quinn makes 2-pt shot at rim (assist by M. Beasley)
10:46.0,Turnover by J. Huestis (bad pass; steal by R. Baker),,74-82,,
10:42.0,,,74-82,,Turnover by R. Baker (bad pass; steal by P. George)
10:34.0,P. George makes 3-pt shot from 25 ft (assist by R. Felton),3,77-82,,
10:18.0,,,77-84,2,D. McDermott makes 2-pt shot from 23 ft (assist by K. O'Quinn)
9:56.0,P. George misses 2-pt shot from 15 ft,,77-84,,
9:54.0,,,77-84,,Defensive rebound by K. O'Quinn
9:54.0,Personal foul by J. Grant (drawn by K. O'Quinn),,77-84,,
9:54.0,,,77-84,,L. Thomas enters the game for M. Beasley
9:40.0,,,77-87,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Baker)
9:19.0,R. Felton makes 2-pt shot from 19 ft,2,79-87,,
9:04.0,,,79-87,,D. McDermott misses 2-pt shot from 21 ft
9:01.0,,,79-87,,Offensive rebound by K. O'Quinn
9:01.0,,,79-89,2,K. O'Quinn makes 2-pt shot from 1 ft
9:01.0,Oklahoma City full timeout,,79-89,,
9:01.0,R. Westbrook enters the game for J. Huestis,,79-89,,
8:48.0,R. Felton makes 3-pt shot from 23 ft (assist by J. Grant),3,82-89,,
8:32.0,,,82-92,3,L. Thomas makes 3-pt shot from 22 ft (assist by D. McDermott)
8:19.0,P. George misses 2-pt shot from 14 ft,,82-92,,
8:17.0,,,82-92,,Defensive rebound by K. O'Quinn
8:17.0,,,82-92,,Technical foul by K. O'Quinn (drawn by P. George)
8:17.0,,,82-92,,Turnover by K. O'Quinn (turnover)
8:17.0,C. Anthony enters the game for J. Grant,,82-92,,
8:17.0,P. George misses flagrant free throw 2 of 2,,82-92,,
8:17.0,Offensive rebound by P. George,,82-92,,
8:17.0,P. George makes flagrant free throw 1 of 2,1,83-92,,
8:06.0,C. Anthony misses 3-pt shot from 26 ft,,83-92,,
8:04.0,Offensive rebound by P. George,,83-92,,
8:04.0,,,83-92,,Personal foul by F. Ntilikina (drawn by P. George)
7:59.0,R. Westbrook makes 2-pt shot from 15 ft,2,85-92,,
7:59.0,Shooting foul by R. Baker (drawn by R. Westbrook),,85-92,,
7:59.0,R. Westbrook makes free throw 1 of 1,1,86-92,,
7:40.0,,,86-92,,F. Ntilikina misses 2-pt shot from 14 ft
7:35.0,Defensive rebound by C. Anthony,,86-92,,
7:30.0,Offensive foul by C. Anthony (drawn by L. Thomas),,86-92,,
7:30.0,Turnover by C. Anthony (offensive foul),,86-92,,
7:30.0,,,86-92,,M. Beasley enters the game for F. Ntilikina
7:30.0,,,86-92,,C. Lee enters the game for R. Baker
7:30.0,,,86-92,,J. Jack enters the game for L. Thomas
7:06.0,,,86-92,,Shooting foul by N. Collison (drawn by C. Lee)
7:06.0,,,86-93,1,C. Lee makes free throw 1 of 3
7:06.0,,,86-94,1,C. Lee makes free throw 2 of 3
7:06.0,,,86-95,1,C. Lee makes free throw 3 of 3
7:03.0,,,86-95,,Personal foul by M. Beasley (drawn by N. Collison)
7:03.0,N. Collison makes free throw 1 of 2,1,87-95,,
7:03.0,N. Collison misses free throw 2 of 2,,87-95,,
7:03.0,,,87-95,,Defensive rebound by C. Lee
6:41.0,,,87-97,2,J. Jack makes 2-pt shot from 9 ft
6:19.0,R. Felton misses 3-pt shot from 23 ft,,87-97,,
6:15.0,,,87-97,,Defensive rebound by C. Lee
6:03.0,,,87-100,3,D. McDermott makes 3-pt shot from 25 ft (assist by M. Beasley)
6:02.0,Oklahoma City full timeout,,87-100,,
6:02.0,P. Patterson enters the game for R. Felton,,87-100,,
6:02.0,J. Grant enters the game for N. Collison,,87-100,,
5:43.0,J. Grant makes 2-pt shot at rim,2,89-100,,
5:27.0,,,89-100,,D. McDermott misses 3-pt shot from 22 ft
5:23.0,Defensive rebound by P. Patterson,,89-100,,
5:16.0,R. Westbrook misses 3-pt shot from 26 ft,,89-100,,
5:14.0,Offensive rebound by J. Grant,,89-100,,
4:58.0,Offensive foul by C. Anthony (drawn by J. Jack),,89-100,,
4:58.0,Turnover by C. Anthony (offensive foul),,89-100,,
4:33.0,,,89-100,,M. Beasley misses 2-pt shot from 11 ft
4:32.0,,,89-100,,Offensive rebound by Team
4:32.0,Loose ball foul by C. Anthony (drawn by K. O'Quinn),,89-100,,
4:14.0,Personal foul by R. Westbrook (drawn by M. Beasley),,89-100,,
4:03.0,,,89-100,,C. Lee misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by P. George,,89-100,,
3:50.0,J. Grant misses 2-pt shot from 2 ft (block by M. Beasley),,89-100,,
3:46.0,,,89-100,,Defensive rebound by D. McDermott
3:46.0,Personal foul by J. Grant (drawn by J. Jack),,89-100,,
3:46.0,,,89-101,1,J. Jack makes free throw 1 of 2
3:46.0,,,89-101,,J. Jack misses free throw 2 of 2
3:43.0,Defensive rebound by R. Westbrook,,89-101,,
3:34.0,R. Westbrook misses 3-pt shot from 26 ft,,89-101,,
3:31.0,Offensive rebound by P. George,,89-101,,
3:29.0,P. George misses 2-pt shot from 1 ft,,89-101,,
3:29.0,Offensive rebound by R. Westbrook,,89-101,,
3:24.0,P. Patterson makes 3-pt shot from 26 ft (assist by R. Westbrook),3,92-101,,
3:14.0,,,92-101,,New York full timeout
3:05.0,,,92-101,,M. Beasley misses 2-pt shot from 17 ft
3:02.0,Defensive rebound by P. Patterson,,92-101,,
2:58.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,95-101,,
2:39.0,,,95-101,,M. Beasley misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by R. Westbrook,,95-101,,
2:35.0,Turnover by R. Westbrook (lost ball; steal by C. Lee),,95-101,,
2:30.0,,,95-103,2,M. Beasley makes 2-pt shot at rim (assist by J. Jack)
2:09.0,C. Anthony misses 2-pt shot at rim,,95-103,,
