time,LA Clippers,pts.away,score,pts.home,Cleveland
5:48.0,,,16-7,3,L. James makes 3-pt shot from 26 ft
5:38.0,A. Rivers misses 3-pt shot from 25 ft,,16-7,,
5:36.0,,,16-7,,Defensive rebound by L. James
5:29.0,Personal foul by W. Johnson (drawn by L. James),,16-7,,
5:28.0,,,16-7,,Offensive foul by J. Calderon (drawn by S. Thornwell)
5:28.0,,,16-7,,Turnover by J. Calderon (offensive foul)
5:18.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,18-7,,
4:54.0,,,18-10,3,J. Crowder makes 3-pt shot from 23 ft (assist by L. James)
4:38.0,A. Rivers misses 3-pt shot from 25 ft,,18-10,,
4:38.0,,,18-10,,Defensive rebound by L. James
4:28.0,,,18-12,2,K. Love makes 2-pt shot from 1 ft (assist by J. Calderon)
4:10.0,W. Johnson makes 2-pt shot from 1 ft (assist by S. Thornwell),2,20-12,,
4:00.0,Personal foul by A. Rivers (drawn by J. Smith),,20-12,,
3:44.0,,,20-14,2,L. James makes 2-pt shot from 19 ft
3:36.0,LA Clippers full timeout,,20-14,,
3:36.0,J. Evans enters the game for W. Johnson,,20-14,,
3:19.0,A. Rivers misses 2-pt shot from 1 ft,,20-14,,
3:09.0,Offensive rebound by D. Jordan,,20-14,,
3:09.0,D. Jordan makes 2-pt shot at rim,2,22-14,,
3:00.0,,,22-14,,K. Love misses 3-pt shot from 27 ft
2:58.0,Defensive rebound by B. Griffin,,22-14,,
2:43.0,Turnover by S. Thornwell (lost ball; steal by J. Calderon),,22-14,,
2:41.0,,,22-14,,Shooting foul by J. Evans (drawn by J. Crowder)
2:41.0,,,22-15,1,J. Crowder makes free throw 1 of 2
2:41.0,,,22-15,,C. Frye enters the game for K. Love
2:41.0,,,22-15,,K. Korver enters the game for J. Smith
2:41.0,,,22-15,,D. Wade enters the game for J. Calderon
2:41.0,L. Williams enters the game for A. Rivers,,22-15,,
2:41.0,,,22-16,1,J. Crowder makes free throw 2 of 2
2:19.0,J. Evans misses 2-pt shot from 20 ft,,22-16,,
2:17.0,,,22-16,,Defensive rebound by C. Frye
2:08.0,,,22-18,2,J. Crowder makes 2-pt shot at rim (assist by D. Wade)
2:00.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,24-18,,
1:41.0,,,24-18,,Shooting foul by J. Evans (drawn by D. Wade)
1:41.0,,,24-19,1,D. Wade makes free throw 1 of 2
1:41.0,,,24-19,,J. Green enters the game for J. Crowder
1:41.0,M. Harrell enters the game for D. Jordan,,24-19,,
1:41.0,,,24-20,1,D. Wade makes free throw 2 of 2
1:23.0,S. Thornwell misses 2-pt shot from 7 ft,,24-20,,
1:20.0,,,24-20,,Defensive rebound by D. Wade
1:14.0,,,24-20,,J. Green misses 2-pt shot from 10 ft
1:11.0,Defensive rebound by M. Harrell,,24-20,,
1:08.0,J. Evans misses 2-pt shot from 2 ft,,24-20,,
1:06.0,,,24-20,,Defensive rebound by L. James
1:01.0,,,24-22,2,L. James makes 2-pt shot from 1 ft (assist by J. Green)
0:42.0,B. Griffin makes 3-pt shot from 25 ft (assist by L. Williams),3,27-22,,
0:25.0,,,27-24,2,L. James makes 2-pt shot from 13 ft (assist by J. Green)
0:05.0,B. Griffin misses 3-pt shot from 24 ft,,27-24,,
0:01.0,,,27-24,,Defensive rebound by K. Korver
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by J. Evans (drawn by I. Shumpert),,27-24,,
11:48.0,W. Johnson enters the game for J. Evans,,27-24,,
11:31.0,,,27-24,,D. Wade misses 3-pt shot from 23 ft
11:28.0,Defensive rebound by L. Williams,,27-24,,
11:26.0,Shooting foul by J. Green (drawn by L. Williams),,27-24,,
11:26.0,L. Williams makes free throw 1 of 2,1,28-24,,
11:26.0,L. Williams makes free throw 2 of 2,1,29-24,,
11:12.0,,,29-24,,Turnover by D. Wade (bad pass)
11:00.0,A. Rivers misses 3-pt shot from 23 ft,,29-24,,
10:57.0,,,29-24,,Defensive rebound by I. Shumpert
10:52.0,,,29-24,,C. Frye misses 3-pt shot from 28 ft
10:49.0,,,29-24,,Offensive rebound by J. Green
10:48.0,,,29-26,2,J. Green makes 2-pt shot at rim
10:38.0,Jump ball: C. Frye vs. L. Williams (D. Wade gains possession),,,,Jump ball: C. Frye vs. L. Williams (D. Wade gains possession)
10:38.0,Turnover by L. Williams (turnover; steal by C. Frye),,29-26,,
10:31.0,,,29-26,,D. Wade misses 2-pt shot from 2 ft
10:29.0,Defensive rebound by M. Harrell,,29-26,,
10:14.0,S. Dekker misses 3-pt shot from 25 ft,,29-26,,
10:11.0,Offensive rebound by M. Harrell,,29-26,,
10:09.0,M. Harrell makes 2-pt shot at rim,2,31-26,,
9:56.0,,,31-26,,K. Korver misses 3-pt shot from 27 ft
9:54.0,Defensive rebound by M. Harrell,,31-26,,
9:45.0,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers),2,33-26,,
9:45.0,,,33-26,,Cleveland full timeout
9:37.0,,,33-26,,Turnover by I. Shumpert (out of bounds lost ball)
9:24.0,A. Rivers misses 2-pt shot from 2 ft,,33-26,,
9:18.0,Offensive rebound by M. Harrell,,33-26,,
9:18.0,M. Harrell makes 2-pt shot at rim,2,35-26,,
9:16.0,Personal foul by A. Rivers (drawn by D. Wade),,35-26,,
9:14.0,Personal foul by L. Williams (drawn by D. Wade),,35-26,,
9:11.0,,,35-26,,Turnover by J. Green (bad pass)
9:11.0,,,35-26,,Loose ball foul by C. Frye (drawn by W. Johnson)
8:52.0,L. Williams misses 2-pt shot from 15 ft,,35-26,,
8:50.0,,,35-26,,Defensive rebound by C. Frye
8:45.0,,,35-26,,J. Green misses 2-pt shot from 7 ft (block by S. Dekker)
8:45.0,Defensive rebound by S. Dekker,,35-26,,
8:38.0,W. Johnson misses 3-pt shot from 23 ft,,35-26,,
8:38.0,,,35-26,,Defensive rebound by D. Wade
8:30.0,,,35-28,2,D. Wade makes 2-pt shot from 2 ft
8:20.0,Turnover by A. Rivers (lost ball; steal by I. Shumpert),,35-28,,
8:16.0,,,35-30,2,D. Wade makes 2-pt shot at rim
8:16.0,LA Clippers full timeout,,35-30,,
8:16.0,,,35-30,,K. Love enters the game for C. Frye
8:05.0,A. Rivers makes 2-pt shot from 1 ft (assist by M. Harrell),2,37-30,,
7:48.0,,,37-30,,Shooting foul by A. Rivers (drawn by K. Love)
7:48.0,,,37-31,1,K. Love makes free throw 1 of 2
7:48.0,S. Thornwell enters the game for A. Rivers,,37-31,,
7:48.0,,,37-32,1,K. Love makes free throw 2 of 2
7:29.0,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker),2,39-32,,
7:22.0,,,39-32,,Shooting foul by S. Thornwell (drawn by D. Wade)
7:22.0,,,39-33,1,D. Wade makes free throw 1 of 2
7:22.0,D. Jordan enters the game for M. Harrell,,39-33,,
7:22.0,B. Griffin enters the game for S. Dekker,,39-33,,
7:22.0,,,39-34,1,D. Wade makes free throw 2 of 2
7:00.0,S. Thornwell misses 2-pt shot from 5 ft,,39-34,,
6:58.0,,,39-34,,Defensive rebound by J. Green
6:45.0,,,39-36,2,K. Love makes 2-pt shot from 1 ft (assist by I. Shumpert)
6:33.0,L. Williams misses 2-pt shot from 15 ft,,39-36,,
6:30.0,,,39-36,,Defensive rebound by D. Wade
6:28.0,,,39-36,,Shooting foul by S. Thornwell (drawn by D. Wade)
6:28.0,,,39-37,1,D. Wade makes free throw 1 of 2
6:28.0,,,39-37,,J. Smith enters the game for I. Shumpert
6:28.0,,,39-37,,L. James enters the game for K. Korver
6:28.0,S. Dekker enters the game for S. Thornwell,,39-37,,
6:28.0,,,39-38,1,D. Wade makes free throw 2 of 2
6:13.0,W. Johnson makes 3-pt shot from 23 ft (assist by L. Williams),3,42-38,,
5:55.0,,,42-38,,K. Love misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by D. Jordan,,42-38,,
5:40.0,W. Johnson makes 2-pt shot at rim (assist by B. Griffin),2,44-38,,
5:23.0,,,44-38,,L. James misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by W. Johnson,,44-38,,
5:14.0,L. Williams makes 2-pt shot from 1 ft,2,46-38,,
5:14.0,,,46-38,,Cleveland full timeout
5:14.0,,,46-38,,J. Crowder enters the game for J. Green
5:01.0,,,46-38,,K. Love misses 2-pt shot from 2 ft (block by W. Johnson)
4:57.0,Defensive rebound by D. Jordan,,46-38,,
4:50.0,S. Dekker misses 2-pt shot from 2 ft,,46-38,,
4:49.0,Offensive rebound by S. Dekker,,46-38,,
4:48.0,S. Dekker misses 2-pt shot from 1 ft,,46-38,,
4:48.0,Offensive rebound by S. Dekker,,46-38,,
4:43.0,B. Griffin makes 2-pt shot at rim (assist by W. Johnson),2,48-38,,
4:30.0,,,48-41,3,K. Love makes 3-pt shot from 22 ft (assist by D. Wade)
4:16.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,50-41,,
3:58.0,,,50-41,,D. Wade misses 2-pt shot from 13 ft
3:55.0,,,50-41,,Offensive rebound by K. Love
3:47.0,,,50-41,,Shooting foul by L. Williams (drawn by D. Wade)
3:47.0,,,50-41,,D. Wade misses free throw 1 of 2
3:47.0,,,50-41,,Offensive rebound by Team
3:47.0,,,50-42,1,D. Wade makes free throw 2 of 2
3:33.0,S. Dekker makes 2-pt shot from 1 ft (assist by W. Johnson),2,52-42,,
3:22.0,Personal foul by W. Johnson (drawn by D. Wade),,52-42,,
3:22.0,,,52-43,1,D. Wade makes free throw 1 of 2
3:22.0,,,52-44,1,D. Wade makes free throw 2 of 2
3:12.0,Turnover by L. Williams (bad pass; steal by L. James),,52-44,,
3:12.0,Personal foul by D. Jordan (drawn by D. Wade),,52-44,,
3:12.0,,,52-45,1,D. Wade makes free throw 1 of 2
3:12.0,,,52-46,1,D. Wade makes free throw 2 of 2
3:06.0,,,52-46,,Personal foul by J. Crowder (drawn by B. Griffin)
2:51.0,S. Dekker misses 3-pt shot from 23 ft,,52-46,,
2:47.0,,,52-46,,Defensive rebound by J. Crowder
2:42.0,,,52-46,,Shooting foul by S. Dekker (drawn by K. Love)
2:42.0,,,52-47,1,K. Love makes free throw 1 of 2
2:42.0,,,52-48,1,K. Love makes free throw 2 of 2
2:24.0,B. Griffin misses 2-pt shot from 14 ft,,52-48,,
2:20.0,,,52-48,,Defensive rebound by L. James
2:14.0,,,52-50,2,L. James makes 2-pt shot at rim
2:13.0,LA Clippers full timeout,,52-50,,
2:00.0,L. Williams misses 2-pt shot from 12 ft,,52-50,,
1:59.0,Offensive rebound by D. Jordan,,52-50,,
1:56.0,D. Jordan makes 2-pt shot at rim,2,54-50,,
1:41.0,,,54-50,,K. Love misses 3-pt shot from 23 ft
1:41.0,,,54-50,,Offensive rebound by J. Crowder
1:29.0,,,54-50,,D. Wade misses 2-pt shot from 11 ft (block by W. Johnson)
1:29.0,,,54-50,,Offensive rebound by D. Wade
1:22.0,,,54-50,,D. Wade misses 2-pt shot from 19 ft
1:22.0,Defensive rebound by D. Jordan,,54-50,,
1:17.0,W. Johnson misses 3-pt shot from 23 ft,,54-50,,
1:17.0,Offensive rebound by L. Williams,,54-50,,
1:10.0,L. Williams misses 2-pt shot from 1 ft,,54-50,,
1:10.0,,,54-50,,Defensive rebound by L. James
1:03.0,,,54-52,2,D. Wade makes 2-pt shot from 1 ft (assist by L. James)
0:52.0,B. Griffin makes 2-pt shot at rim,2,56-52,,
0:36.0,,,56-54,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Smith)
0:15.0,L. Williams misses 3-pt shot from 25 ft,,56-54,,
0:13.0,,,56-54,,Defensive rebound by D. Wade
0:00.0,,,56-56,2,L. James makes 2-pt shot from 14 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,56-56,,J. Calderon misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by D. Jordan,,56-56,,
11:26.0,S. Thornwell makes 3-pt shot from 23 ft (assist by A. Rivers),3,59-56,,
11:12.0,,,59-56,,Turnover by L. James (bad pass; steal by B. Griffin)
10:55.0,B. Griffin makes 2-pt shot from 1 ft (assist by A. Rivers),2,61-56,,
10:32.0,,,61-58,2,K. Love makes 2-pt shot from 20 ft (assist by J. Smith)
10:13.0,A. Rivers misses 3-pt shot from 22 ft,,61-58,,
10:10.0,,,61-58,,Defensive rebound by K. Love
9:59.0,,,61-58,,L. James misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by D. Jordan,,61-58,,
9:40.0,B. Griffin misses 3-pt shot from 25 ft,,61-58,,
9:40.0,,,61-58,,Defensive rebound by J. Smith
9:23.0,,,61-58,,Offensive foul by K. Love (drawn by W. Johnson)
9:23.0,,,61-58,,Turnover by K. Love (offensive foul)
9:06.0,S. Thornwell makes 2-pt shot from 21 ft (assist by B. Griffin),2,63-58,,
8:50.0,,,63-58,,J. Crowder misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by D. Jordan,,63-58,,
8:40.0,S. Thornwell misses 2-pt shot from 3 ft (block by K. Love),,63-58,,
8:36.0,,,63-58,,Defensive rebound by J. Crowder
8:33.0,,,63-58,,Turnover by L. James (lost ball; steal by W. Johnson)
8:24.0,Turnover by D. Jordan (bad pass),,63-58,,
8:14.0,,,63-58,,J. Smith misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by D. Jordan,,63-58,,
8:04.0,Offensive charge foul by A. Rivers (drawn by J. Calderon),,63-58,,
8:04.0,Turnover by A. Rivers (offensive foul),,63-58,,
7:45.0,,,63-58,,K. Love misses 2-pt shot from 3 ft (block by W. Johnson)
7:41.0,Defensive rebound by A. Rivers,,63-58,,
7:38.0,Shooting foul by J. Calderon (drawn by B. Griffin),,63-58,,
7:38.0,B. Griffin misses free throw 1 of 2,,63-58,,
7:38.0,Offensive rebound by Team,,63-58,,
7:38.0,J. Evans enters the game for A. Rivers,,63-58,,
7:38.0,B. Griffin makes free throw 2 of 2,1,64-58,,
7:26.0,,,64-58,,L. James misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by D. Jordan,,64-58,,
7:16.0,J. Evans makes 2-pt shot from 5 ft (assist by B. Griffin),2,66-58,,
7:16.0,Shooting foul by J. Calderon (drawn by J. Evans),,66-58,,
7:16.0,J. Evans makes free throw 1 of 1,1,67-58,,
7:03.0,,,67-60,2,K. Love makes 2-pt shot from 16 ft (assist by L. James)
6:40.0,B. Griffin misses 2-pt shot from 14 ft,,67-60,,
6:38.0,,,67-60,,Defensive rebound by J. Smith
6:32.0,,,67-63,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
6:10.0,D. Jordan misses 2-pt shot from 16 ft,,67-63,,
6:08.0,,,67-63,,Defensive rebound by J. Crowder
5:51.0,,,67-63,,J. Calderon misses 2-pt shot from 8 ft (block by S. Thornwell)
5:51.0,Defensive rebound by J. Evans,,67-63,,
5:45.0,W. Johnson makes 2-pt shot from 2 ft (assist by J. Evans),2,69-63,,
5:45.0,,,69-63,,Cleveland full timeout
5:45.0,L. Williams enters the game for J. Evans,,69-63,,
5:27.0,,,69-63,,J. Crowder misses 2-pt shot from 23 ft
5:23.0,Defensive rebound by B. Griffin,,69-63,,
5:20.0,Shooting foul by K. Love (drawn by B. Griffin),,69-63,,
5:20.0,B. Griffin makes free throw 1 of 2,1,70-63,,
5:20.0,B. Griffin makes free throw 2 of 2,1,71-63,,
5:08.0,Personal foul by D. Jordan (drawn by K. Love),,71-63,,
5:08.0,,,71-63,,D. Wade enters the game for J. Calderon
4:59.0,,,71-63,,D. Wade misses 2-pt shot from 8 ft (block by D. Jordan)
4:56.0,Defensive rebound by S. Thornwell,,71-63,,
4:52.0,W. Johnson makes 3-pt shot from 23 ft (assist by L. Williams),3,74-63,,
4:35.0,Personal foul by L. Williams (drawn by J. Crowder),,74-63,,
4:25.0,,,74-66,3,L. James makes 3-pt shot from 25 ft
4:09.0,S. Thornwell makes 3-pt shot from 23 ft (assist by W. Johnson),3,77-66,,
3:47.0,,,77-66,,J. Smith misses 3-pt shot from 28 ft
3:46.0,Defensive rebound by W. Johnson,,77-66,,
3:35.0,L. Williams misses 2-pt shot from 9 ft,,77-66,,
3:35.0,Offensive rebound by D. Jordan,,77-66,,
3:29.0,D. Jordan misses 2-pt shot at rim,,77-66,,
3:28.0,,,77-66,,Defensive rebound by L. James
3:25.0,,,77-66,,D. Wade misses 2-pt shot from 17 ft
3:25.0,Defensive rebound by B. Griffin,,77-66,,
3:17.0,B. Griffin makes 3-pt shot from 22 ft (assist by L. Williams),3,80-66,,
3:14.0,,,80-66,,Cleveland full timeout
3:14.0,,,80-66,,Technical foul by D. Wade
3:14.0,,,80-66,,K. Korver enters the game for J. Smith
3:14.0,L. Williams makes technical free throw,1,81-66,,
2:54.0,,,81-68,2,L. James makes 2-pt shot from 1 ft
2:31.0,L. Williams misses 3-pt shot from 26 ft,,81-68,,
2:29.0,,,81-68,,Defensive rebound by D. Wade
2:20.0,,,81-70,2,J. Crowder makes 2-pt shot from 1 ft (assist by D. Wade)
2:03.0,,,81-70,,Personal foul by J. Crowder (drawn by B. Griffin)
2:03.0,S. Dekker enters the game for W. Johnson,,81-70,,
1:50.0,B. Griffin misses 2-pt shot from 11 ft,,81-70,,
1:47.0,,,81-70,,Defensive rebound by D. Wade
1:40.0,,,81-72,2,D. Wade makes 2-pt shot from 2 ft
1:30.0,Turnover by L. Williams (bad pass; steal by K. Korver),,81-72,,
1:28.0,,,81-74,2,L. James makes 2-pt shot at rim (assist by K. Korver)
1:28.0,,,81-74,,Shooting foul by B. Griffin (drawn by L. James)
1:28.0,,,81-74,,L. James misses free throw 1 of 1
1:25.0,Defensive rebound by B. Griffin,,81-74,,
1:11.0,S. Thornwell misses 2-pt shot from 2 ft,,81-74,,
1:11.0,Offensive rebound by D. Jordan,,81-74,,
1:11.0,Shooting foul by K. Korver (drawn by D. Jordan),,81-74,,
1:11.0,D. Jordan misses free throw 1 of 2,,81-74,,
1:11.0,Offensive rebound by Team,,81-74,,
1:11.0,,,81-74,,J. Green enters the game for L. James
1:11.0,W. Johnson enters the game for B. Griffin,,81-74,,
1:11.0,D. Jordan misses free throw 2 of 2,,81-74,,
1:09.0,,,81-74,,Defensive rebound by J. Crowder
0:58.0,,,81-74,,D. Wade misses 2-pt shot from 12 ft
0:56.0,Defensive rebound by S. Dekker,,81-74,,
0:36.0,Turnover by S. Dekker (traveling),,81-74,,
0:32.0,,,81-74,,Shooting foul by S. Dekker (drawn by J. Green)
0:32.0,,,81-75,1,J. Green makes free throw 1 of 2
0:32.0,,,81-75,,C. Frye enters the game for K. Love
0:32.0,M. Harrell enters the game for D. Jordan,,81-75,,
0:32.0,,,81-76,1,J. Green makes free throw 2 of 2
0:20.0,W. Johnson misses 3-pt shot from 28 ft,,81-76,,
0:16.0,,,81-76,,Defensive rebound by C. Frye
0:03.0,,,81-78,2,J. Green makes 2-pt shot from 4 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,L. Williams makes 2-pt shot from 13 ft (assist by S. Dekker),2,83-78,,
11:13.0,,,83-80,2,L. James makes 2-pt shot from 21 ft
10:57.0,Shooting foul by D. Wade (drawn by A. Rivers),,83-80,,
10:57.0,A. Rivers makes free throw 1 of 2,1,84-80,,
10:57.0,A. Rivers makes free throw 2 of 2,1,85-80,,
10:42.0,,,85-80,,Turnover by D. Wade (lost ball; steal by W. Johnson)
10:34.0,Turnover by L. Williams (bad pass; steal by D. Wade),,85-80,,
10:30.0,,,85-82,2,J. Green makes 2-pt shot at rim (assist by D. Wade)
10:06.0,L. Williams makes 2-pt shot from 1 ft,2,87-82,,
9:47.0,,,87-82,,L. James misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by W. Johnson,,87-82,,
9:40.0,A. Rivers makes 2-pt shot from 1 ft,2,89-82,,
9:30.0,,,89-82,,Offensive foul by C. Frye (drawn by L. Williams)
9:30.0,,,89-82,,Turnover by C. Frye (offensive foul)
9:19.0,Turnover by A. Rivers (palming),,89-82,,
9:06.0,,,89-82,,Turnover by L. James (bad pass)
8:51.0,A. Rivers makes 3-pt shot from 27 ft,3,92-82,,
8:34.0,,,92-84,2,L. James makes 2-pt shot from 1 ft (assist by C. Frye)
8:23.0,A. Rivers makes 2-pt shot from 1 ft,2,94-84,,
8:14.0,,,94-84,,Offensive foul by C. Frye (drawn by A. Rivers)
8:14.0,,,94-84,,Turnover by C. Frye (offensive foul)
8:14.0,,,94-84,,K. Love enters the game for C. Frye
8:05.0,A. Rivers misses 3-pt shot from 27 ft,,94-84,,
8:02.0,,,94-84,,Defensive rebound by D. Wade
7:50.0,,,94-84,,K. Love misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by W. Johnson,,94-84,,
7:32.0,A. Rivers misses 3-pt shot from 27 ft,,94-84,,
7:28.0,,,94-84,,Defensive rebound by K. Love
7:23.0,,,94-86,2,L. James makes 2-pt shot at rim
7:23.0,Violation by M. Harrell (def goaltending),,94-86,,
7:01.0,M. Harrell misses 2-pt shot from 9 ft,,94-86,,
6:58.0,,,94-86,,Defensive rebound by D. Wade
6:51.0,Personal foul by S. Dekker (drawn by L. James),,94-86,,
6:51.0,,,94-86,,Cleveland full timeout
6:51.0,B. Griffin enters the game for S. Dekker,,94-86,,
6:43.0,,,94-89,3,K. Korver makes 3-pt shot from 25 ft (assist by K. Love)
6:43.0,,,94-89,,Shooting foul by M. Harrell (drawn by K. Korver)
6:43.0,,,94-90,1,K. Korver makes free throw 1 of 1
6:30.0,B. Griffin misses 2-pt shot from 17 ft,,94-90,,
6:26.0,,,94-90,,Defensive rebound by D. Wade
6:15.0,,,94-90,,K. Korver misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by W. Johnson,,94-90,,
6:00.0,Shooting foul by K. Love (drawn by B. Griffin),,94-90,,
6:00.0,B. Griffin makes free throw 1 of 2,1,95-90,,
6:00.0,,,95-90,,J. Smith enters the game for J. Green
6:00.0,D. Jordan enters the game for M. Harrell,,95-90,,
6:00.0,B. Griffin makes free throw 2 of 2,1,96-90,,
5:43.0,,,96-90,,Turnover by J. Smith (lost ball; steal by D. Jordan)
5:29.0,B. Griffin makes 2-pt shot from 7 ft,2,98-90,,
5:14.0,,,98-93,3,K. Korver makes 3-pt shot from 27 ft (assist by D. Wade)
5:00.0,L. Williams misses 3-pt shot from 28 ft,,98-93,,
5:00.0,Offensive rebound by D. Jordan,,98-93,,
4:55.0,A. Rivers makes 3-pt shot from 24 ft (assist by D. Jordan),3,101-93,,
4:32.0,,,101-95,2,L. James makes 2-pt shot from 2 ft
4:13.0,,,101-95,,Personal foul by J. Smith (drawn by D. Jordan)
3:58.0,A. Rivers misses 3-pt shot from 25 ft,,101-95,,
3:56.0,,,101-95,,Defensive rebound by L. James
3:47.0,,,101-97,2,D. Wade makes 2-pt shot from 20 ft
3:47.0,,,101-97,,Shooting foul by W. Johnson (drawn by D. Wade)
3:47.0,S. Thornwell enters the game for W. Johnson,,101-97,,
3:47.0,,,101-97,,D. Wade misses free throw 1 of 1
3:42.0,Defensive rebound by D. Jordan,,101-97,,
3:29.0,B. Griffin misses 2-pt shot from 14 ft,,101-97,,
3:26.0,,,101-97,,Defensive rebound by K. Korver
3:23.0,,,101-97,,L. James misses 2-pt shot from 1 ft (block by B. Griffin)
3:22.0,,,101-97,,Offensive rebound by L. James
3:20.0,,,101-97,,Turnover by L. James (lost ball; steal by L. Williams)
3:15.0,B. Griffin misses 2-pt shot from 4 ft (block by D. Wade),,101-97,,
3:14.0,,,101-97,,Defensive rebound by D. Wade
3:10.0,,,101-99,2,L. James makes 2-pt shot at rim (assist by K. Korver)
3:09.0,LA Clippers full timeout,,101-99,,
2:50.0,A. Rivers makes 2-pt shot from 1 ft,2,103-99,,
2:32.0,,,103-99,,K. Korver misses 3-pt shot from 27 ft
2:29.0,Defensive rebound by D. Jordan,,103-99,,
