time,Utah,pts.away,score,pts.home,Indiana
6:28.0,Shooting foul by V. Oladipo (drawn by R. Rubio),,10-10,,
6:28.0,R. Rubio misses free throw 1 of 2,,10-10,,
6:28.0,Offensive rebound by Team,,10-10,,
6:28.0,R. Rubio makes free throw 2 of 2,1,11-10,,
6:16.0,,,11-12,2,T. Young makes 2-pt shot from 1 ft
6:02.0,J. Crowder enters the game for D. Favors,,11-12,,
5:58.0,R. Gobert misses 2-pt shot from 1 ft,,11-12,,
5:55.0,,,11-12,,Defensive rebound by C. Joseph
5:50.0,,,11-12,,C. Joseph misses 2-pt shot from 1 ft (block by R. Gobert)
5:50.0,,,11-12,,Offensive rebound by Team
5:40.0,,,11-12,,Shooting foul by R. Gobert (drawn by V. Oladipo)
5:40.0,Technical foul by R. Gobert,,11-12,,
5:40.0,,,11-13,1,B. Bogdanovic makes technical free throw
5:40.0,,,11-14,1,V. Oladipo makes free throw 1 of 2
5:40.0,,,11-14,,V. Oladipo misses free throw 2 of 2
5:38.0,Defensive rebound by J. Crowder,,11-14,,
5:23.0,R. Rubio makes 2-pt shot from 11 ft,2,13-14,,
5:12.0,,,13-14,,V. Oladipo misses 2-pt shot from 14 ft
5:10.0,Defensive rebound by R. Rubio,,13-14,,
5:05.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio),3,16-14,,
4:46.0,,,16-14,,B. Bogdanovic misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by J. Ingles,,16-14,,
4:34.0,R. Gobert makes 2-pt shot from 2 ft,2,18-14,,
4:34.0,,,18-14,,Indiana full timeout
4:34.0,,,18-14,,D. Sabonis enters the game for T. Young
4:34.0,,,18-14,,G. Robinson enters the game for B. Bogdanovic
4:16.0,,,18-14,,C. Joseph misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by R. Rubio,,18-14,,
4:05.0,J. Ingles makes 3-pt shot from 26 ft (assist by R. Rubio),3,21-14,,
3:45.0,,,21-14,,V. Oladipo misses 2-pt shot from 16 ft
3:43.0,Defensive rebound by R. Gobert,,21-14,,
3:38.0,J. Ingles misses 3-pt shot from 25 ft,,21-14,,
3:36.0,,,21-14,,Defensive rebound by D. Sabonis
3:25.0,,,21-16,2,M. Turner makes 2-pt shot from 6 ft (assist by D. Sabonis)
3:04.0,J. Crowder makes 3-pt shot from 22 ft (assist by R. Rubio),2,24-16,,
2:49.0,,,24-16,,L. Stephenson enters the game for V. Oladipo
2:49.0,,,24-16,,T. Booker enters the game for M. Turner
2:49.0,J. Jerebko enters the game for J. Ingles,,24-16,,
2:49.0,R. O'Neale enters the game for R. Rubio,,24-16,,
2:37.0,,,24-16,,D. Sabonis misses 2-pt shot from 19 ft
2:35.0,,,24-16,,Offensive rebound by T. Booker
2:12.0,,,24-18,2,G. Robinson makes 2-pt shot from 11 ft (assist by C. Joseph)
1:47.0,D. Mitchell makes 3-pt shot from 28 ft (assist by J. Crowder),3,27-18,,
1:33.0,,,27-20,2,C. Joseph makes 2-pt shot from 18 ft
1:17.0,D. Mitchell makes 3-pt shot from 27 ft,3,30-20,,
1:08.0,,,30-20,,Offensive foul by T. Booker (drawn by R. O'Neale)
1:08.0,,,30-20,,Turnover by T. Booker (offensive foul)
1:08.0,,,30-20,,J. Young enters the game for C. Joseph
1:08.0,D. Favors enters the game for R. Gobert,,30-20,,
0:56.0,Turnover by D. Mitchell (lost ball; steal by J. Young),,30-20,,
0:56.0,Personal foul by J. Crowder (drawn by J. Young),,30-20,,
0:49.0,,,30-20,,L. Stephenson misses 2-pt shot from 18 ft
0:45.0,Defensive rebound by J. Crowder,,30-20,,
0:33.0,J. Crowder makes 2-pt shot at rim (assist by D. Mitchell),2,32-20,,
0:11.0,,,32-20,,L. Stephenson misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by Team,,32-20,,
0:04.0,,,32-20,,Personal take foul by J. Young (drawn by D. Mitchell)
0:01.0,D. Mitchell misses 3-pt shot from 34 ft,,32-20,,
0:01.0,Offensive rebound by Team,,32-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,32-20,,D. Sabonis misses 2-pt shot at rim
11:43.0,Defensive rebound by D. Favors,,32-20,,
11:23.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,34-20,,
11:03.0,,,34-20,,L. Stephenson misses 3-pt shot from 28 ft
10:59.0,,,34-20,,Offensive rebound by T. Booker
10:53.0,,,34-22,2,T. Booker makes 2-pt shot from 3 ft
10:36.0,J. Crowder misses 2-pt shot from 20 ft,,34-22,,
10:33.0,,,34-22,,Defensive rebound by D. Sabonis
10:21.0,,,34-22,,D. Sabonis misses 2-pt shot from 14 ft
10:17.0,Defensive rebound by J. Crowder,,34-22,,
10:05.0,,,34-22,,Violation by L. Stephenson (kicked ball)
9:53.0,J. Crowder misses 3-pt shot from 27 ft,,34-22,,
9:51.0,,,34-22,,Defensive rebound by D. Sabonis
9:51.0,Loose ball foul by D. Favors (drawn by D. Sabonis),,34-22,,
9:38.0,,,34-22,,L. Stephenson misses 2-pt shot at rim
9:35.0,Defensive rebound by R. O'Neale,,34-22,,
9:29.0,R. O'Neale makes 2-pt shot from 10 ft (assist by J. Jerebko),2,36-22,,
9:29.0,Shooting foul by D. Sabonis (drawn by R. O'Neale),,36-22,,
9:29.0,R. O'Neale misses free throw 1 of 1,,36-22,,
9:27.0,,,36-22,,Defensive rebound by D. Sabonis
9:15.0,,,36-22,,B. Bogdanovic misses 2-pt shot from 15 ft
9:10.0,,,36-22,,Offensive rebound by J. Young
9:06.0,,,36-22,,J. Young misses 2-pt shot from 18 ft
9:02.0,,,36-22,,Offensive rebound by D. Sabonis
8:59.0,,,36-22,,Shooting foul by R. Neto (drawn by B. Bogdanovic)
8:59.0,,,36-23,1,B. Bogdanovic makes free throw 1 of 2
8:59.0,,,36-23,,T. Young enters the game for T. Booker
8:59.0,,,36-24,1,B. Bogdanovic makes free throw 2 of 2
8:47.0,J. Crowder makes 2-pt shot at rim (assist by R. Neto),2,38-24,,
8:33.0,,,38-24,,D. Sabonis misses 2-pt shot from 19 ft
8:31.0,,,38-24,,Offensive rebound by L. Stephenson
8:31.0,Personal foul by J. Crowder (drawn by L. Stephenson),,38-24,,
8:31.0,,,38-24,,Indiana full timeout
8:31.0,,,38-24,,V. Oladipo enters the game for L. Stephenson
8:31.0,,,38-24,,C. Joseph enters the game for J. Young
8:31.0,R. Gobert enters the game for J. Jerebko,,38-24,,
8:31.0,J. Ingles enters the game for R. Neto,,38-24,,
8:31.0,R. Rubio enters the game for J. Crowder,,38-24,,
8:08.0,,,38-26,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
7:51.0,R. Rubio makes 2-pt shot from 19 ft (assist by J. Ingles),2,40-26,,
7:35.0,,,40-26,,Turnover by V. Oladipo (bad pass; steal by R. O'Neale)
7:20.0,R. Rubio makes 2-pt shot from 19 ft,2,42-26,,
7:00.0,,,42-28,2,D. Sabonis makes 2-pt shot from 5 ft (assist by V. Oladipo)
6:49.0,R. Rubio misses 2-pt shot from 1 ft,,42-28,,
6:47.0,Offensive rebound by R. Gobert,,42-28,,
6:47.0,R. Gobert makes 2-pt shot at rim,2,44-28,,
6:33.0,,,44-28,,V. Oladipo misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by R. Gobert,,44-28,,
6:09.0,D. Favors misses 3-pt shot from 26 ft,,44-28,,
6:06.0,,,44-28,,Defensive rebound by V. Oladipo
5:58.0,,,44-28,,V. Oladipo misses 2-pt shot from 20 ft
5:56.0,Defensive rebound by D. Favors,,44-28,,
5:38.0,R. Rubio misses 2-pt shot from 16 ft,,44-28,,
5:35.0,Offensive rebound by R. Gobert,,44-28,,
5:32.0,R. Rubio misses 2-pt shot at rim,,44-28,,
5:30.0,,,44-28,,Defensive rebound by C. Joseph
5:28.0,Personal take foul by J. Ingles (drawn by V. Oladipo),,44-28,,
5:28.0,,,44-28,,M. Turner enters the game for D. Sabonis
5:28.0,D. Mitchell enters the game for R. O'Neale,,44-28,,
5:16.0,,,44-30,2,V. Oladipo makes 2-pt shot from 16 ft
5:03.0,,,44-30,,Personal foul by V. Oladipo (drawn by J. Ingles)
5:01.0,Turnover by R. Gobert (lost ball; steal by B. Bogdanovic),,44-30,,
4:56.0,,,44-32,2,B. Bogdanovic makes 2-pt shot at rim
4:39.0,D. Mitchell misses 2-pt shot from 5 ft,,44-32,,
4:39.0,Offensive rebound by Team,,44-32,,
4:39.0,J. Crowder enters the game for D. Favors,,44-32,,
4:26.0,J. Ingles misses 3-pt shot from 27 ft,,44-32,,
4:21.0,Offensive rebound by R. Rubio,,44-32,,
4:18.0,R. Rubio makes 2-pt shot from 6 ft,2,46-32,,
4:06.0,,,46-34,2,B. Bogdanovic makes 2-pt shot from 1 ft
4:06.0,,,46-34,,Shooting foul by J. Ingles (drawn by B. Bogdanovic)
4:06.0,,,46-35,1,B. Bogdanovic makes free throw 1 of 1
3:42.0,Turnover by Team (shot clock),,46-35,,
3:20.0,,,46-37,2,V. Oladipo makes 2-pt shot from 19 ft
3:01.0,R. Gobert misses 2-pt shot from 2 ft (block by V. Oladipo),,46-37,,
2:58.0,,,46-37,,Defensive rebound by M. Turner
2:55.0,,,46-37,,B. Bogdanovic misses 2-pt shot from 13 ft
2:51.0,Defensive rebound by R. Gobert,,46-37,,
2:47.0,Utah full timeout,,46-37,,
2:47.0,,,46-37,,L. Stephenson enters the game for B. Bogdanovic
2:42.0,Offensive foul by R. Gobert (drawn by M. Turner),,46-37,,
2:42.0,Turnover by R. Gobert (offensive foul),,46-37,,
2:30.0,,,46-37,,V. Oladipo misses 2-pt shot from 18 ft
2:29.0,,,46-37,,Offensive rebound by Team
2:29.0,Loose ball foul by D. Mitchell (drawn by M. Turner),,46-37,,
2:29.0,,,46-37,,M. Turner misses free throw 1 of 2
2:29.0,,,46-37,,Offensive rebound by Team
2:29.0,,,46-38,1,M. Turner makes free throw 2 of 2
2:13.0,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell),2,48-38,,
1:58.0,,,48-40,2,M. Turner makes 2-pt shot from 21 ft (assist by V. Oladipo)
1:35.0,J. Crowder makes 3-pt shot from 24 ft (assist by D. Mitchell),3,51-40,,
1:22.0,,,51-40,,Turnover by M. Turner (bad pass; steal by D. Mitchell)
1:18.0,R. Rubio makes 3-pt shot from 24 ft (assist by D. Mitchell),3,54-40,,
1:00.0,,,54-42,2,M. Turner makes 2-pt shot from 20 ft (assist by V. Oladipo)
0:39.0,R. Rubio misses 2-pt shot from 9 ft,,54-42,,
0:37.0,Offensive rebound by R. Rubio,,54-42,,
0:21.0,Turnover by D. Mitchell (lost ball; steal by V. Oladipo),,54-42,,
0:18.0,,,54-42,,Shooting foul by R. Rubio (drawn by C. Joseph)
0:18.0,,,54-43,1,C. Joseph makes free throw 1 of 2
0:18.0,,,54-43,,J. Young enters the game for V. Oladipo
0:18.0,,,54-44,1,C. Joseph makes free throw 2 of 2
0:03.0,D. Mitchell misses 2-pt shot from 4 ft (block by M. Turner),,54-44,,
0:02.0,,,54-44,,Defensive rebound by J. Young
0:00.0,,,54-44,,J. Young misses 3-pt shot from 27 ft
0:00.0,,,54-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-44,,Turnover by B. Bogdanovic (bad pass; steal by R. Gobert)
11:42.0,R. Rubio makes 2-pt shot at rim,2,56-44,,
11:24.0,,,56-44,,Shooting foul by R. Gobert (drawn by M. Turner)
11:24.0,,,56-45,1,M. Turner makes free throw 1 of 2
11:24.0,,,56-46,1,M. Turner makes free throw 2 of 2
11:07.0,R. Rubio makes 2-pt shot from 21 ft (assist by D. Mitchell),2,58-46,,
10:44.0,,,58-46,,C. Joseph misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by J. Ingles,,58-46,,
10:27.0,D. Favors makes 3-pt shot from 23 ft (assist by J. Ingles),3,61-46,,
10:07.0,,,61-46,,Shooting foul by J. Ingles (drawn by B. Bogdanovic)
10:07.0,,,61-46,,B. Bogdanovic misses free throw 1 of 2
10:07.0,,,61-46,,Offensive rebound by Team
10:07.0,,,61-47,1,B. Bogdanovic makes free throw 2 of 2
9:55.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,63-47,,
9:49.0,,,63-47,,Indiana full timeout
9:36.0,,,63-49,2,V. Oladipo makes 2-pt shot from 16 ft
9:09.0,D. Mitchell misses 3-pt shot from 28 ft,,63-49,,
9:06.0,,,63-49,,Defensive rebound by T. Young
8:58.0,,,63-49,,T. Young misses 3-pt shot from 22 ft
8:54.0,Defensive rebound by D. Favors,,63-49,,
8:40.0,D. Favors misses 3-pt shot from 24 ft,,63-49,,
8:38.0,,,63-49,,Defensive rebound by V. Oladipo
8:29.0,,,63-49,,T. Young misses 3-pt shot from 29 ft
8:25.0,Defensive rebound by R. Gobert,,63-49,,
8:14.0,D. Mitchell makes 3-pt shot from 24 ft,3,66-49,,
8:01.0,,,66-49,,B. Bogdanovic misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by R. Gobert,,66-49,,
7:53.0,R. Rubio misses 2-pt shot from 1 ft,,66-49,,
7:51.0,,,66-49,,Defensive rebound by B. Bogdanovic
7:46.0,,,66-52,3,C. Joseph makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
7:22.0,J. Ingles makes 2-pt shot at rim,2,68-52,,
7:08.0,,,68-52,,V. Oladipo misses 2-pt shot from 19 ft
7:04.0,,,68-52,,Offensive rebound by M. Turner
7:04.0,,,68-54,2,M. Turner makes 2-pt shot at rim
6:52.0,,,68-54,,Personal foul by T. Young (drawn by R. Gobert)
6:52.0,J. Crowder enters the game for D. Favors,,68-54,,
6:46.0,J. Crowder misses 3-pt shot from 27 ft,,68-54,,
6:40.0,Offensive rebound by R. Gobert,,68-54,,
6:40.0,R. Gobert misses 2-pt shot at rim,,68-54,,
6:40.0,,,68-54,,Defensive rebound by C. Joseph
6:38.0,,,68-54,,C. Joseph misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by J. Crowder,,68-54,,
6:29.0,J. Crowder makes 2-pt shot from 2 ft (assist by R. Rubio),2,70-54,,
6:05.0,,,70-54,,V. Oladipo misses 2-pt shot from 15 ft
6:02.0,,,70-54,,Offensive rebound by T. Young
6:02.0,,,70-56,2,T. Young makes 2-pt shot at rim
5:44.0,Turnover by R. Rubio (lost ball; steal by V. Oladipo),,70-56,,
5:44.0,Loose ball foul by D. Mitchell (drawn by V. Oladipo),,70-56,,
5:34.0,,,70-56,,C. Joseph misses 2-pt shot from 19 ft
5:34.0,,,70-56,,Offensive rebound by Team
5:34.0,Loose ball foul by R. Rubio (drawn by M. Turner),,70-56,,
5:34.0,R. O'Neale enters the game for J. Ingles,,70-56,,
5:30.0,Personal foul by R. Rubio (drawn by C. Joseph),,70-56,,
5:30.0,,,70-57,1,C. Joseph makes free throw 1 of 2
5:30.0,,,70-57,,C. Joseph misses free throw 2 of 2
5:28.0,Defensive rebound by R. Gobert,,70-57,,
5:10.0,D. Mitchell misses 3-pt shot from 27 ft,,70-57,,
5:07.0,,,70-57,,Defensive rebound by T. Young
4:58.0,,,70-57,,M. Turner misses 3-pt shot from 27 ft
4:55.0,,,70-57,,Offensive rebound by C. Joseph
4:40.0,,,70-59,2,C. Joseph makes 2-pt shot from 21 ft (assist by M. Turner)
4:39.0,Utah full timeout,,70-59,,
4:39.0,,,70-59,,G. Robinson enters the game for B. Bogdanovic
4:20.0,J. Crowder makes 2-pt shot from 20 ft (assist by R. Rubio),2,72-59,,
3:58.0,,,72-59,,V. Oladipo misses 2-pt shot from 12 ft
3:55.0,,,72-59,,Offensive rebound by M. Turner
3:54.0,,,72-61,2,M. Turner makes 2-pt shot from 2 ft
3:35.0,Turnover by D. Mitchell (lost ball; steal by V. Oladipo),,72-61,,
3:32.0,,,72-63,2,V. Oladipo makes 2-pt shot at rim
3:14.0,,,72-63,,Personal foul by C. Joseph (drawn by R. Rubio)
3:14.0,,,72-63,,D. Sabonis enters the game for T. Young
3:14.0,J. Ingles enters the game for R. Rubio,,72-63,,
3:14.0,D. Favors enters the game for R. Gobert,,72-63,,
3:00.0,J. Crowder misses 2-pt shot from 14 ft,,72-63,,
2:57.0,,,72-63,,Defensive rebound by V. Oladipo
2:51.0,,,72-63,,V. Oladipo misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by D. Mitchell,,72-63,,
2:44.0,Turnover by D. Mitchell (lost ball; steal by G. Robinson),,72-63,,
2:27.0,,,72-63,,V. Oladipo misses 2-pt shot from 11 ft
2:24.0,Defensive rebound by J. Ingles,,72-63,,
2:11.0,D. Favors misses 2-pt shot from 1 ft (block by M. Turner),,72-63,,
2:08.0,,,72-63,,Defensive rebound by M. Turner
1:48.0,,,72-63,,M. Turner misses 2-pt shot from 17 ft
1:46.0,,,72-63,,Offensive rebound by D. Sabonis
1:38.0,,,72-65,2,V. Oladipo makes 2-pt shot at rim
1:14.0,Shooting foul by V. Oladipo (drawn by D. Mitchell),,72-65,,
1:14.0,D. Mitchell misses free throw 1 of 3,,72-65,,
1:14.0,Offensive rebound by Team,,72-65,,
1:14.0,D. Mitchell makes free throw 2 of 3,1,73-65,,
1:14.0,,,73-65,,T. Booker enters the game for V. Oladipo
1:14.0,,,73-65,,L. Stephenson enters the game for M. Turner
1:14.0,D. Mitchell makes free throw 3 of 3,1,74-65,,
1:02.0,,,74-65,,D. Sabonis misses 2-pt shot from 1 ft (block by D. Favors)
0:59.0,Defensive rebound by D. Favors,,74-65,,
0:54.0,D. Mitchell makes 3-pt shot from 28 ft (assist by J. Crowder),3,77-65,,
0:38.0,,,77-67,2,D. Sabonis makes 2-pt shot from 4 ft
0:31.0,J. Crowder misses 3-pt shot from 29 ft,,77-67,,
0:29.0,,,77-67,,Defensive rebound by D. Sabonis
0:08.0,,,77-67,,Turnover by L. Stephenson (bad pass; steal by J. Ingles)
0:05.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Ingles),2,79-67,,
0:00.0,,,79-69,2,C. Joseph makes 2-pt shot from 1 ft
0:00.0,Turnover by R. O'Neale (bad pass),,79-69,,
0:00.0,,,79-69,,T. Young enters the game for T. Booker
0:00.0,R. Gobert enters the game for D. Mitchell,,79-69,,
0:00.0,,,79-69,,T. Young misses 2-pt shot from 17 ft (block by D. Favors)
0:00.0,,,79-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,81-69,,
11:40.0,Shooting foul by D. Sabonis (drawn by R. Gobert),,81-69,,
11:40.0,R. Gobert makes free throw 1 of 1,1,82-69,,
11:27.0,,,82-69,,Turnover by L. Stephenson (bad pass; steal by J. Jerebko)
11:17.0,J. Ingles makes 2-pt shot at rim,2,84-69,,
11:17.0,Shooting foul by D. Sabonis (drawn by J. Ingles),,84-69,,
11:17.0,J. Ingles misses free throw 1 of 1,,84-69,,
11:17.0,,,84-69,,Defensive rebound by D. Sabonis
10:59.0,Personal foul by R. Neto (drawn by D. Sabonis),,84-69,,
10:59.0,,,84-69,,J. Young enters the game for C. Joseph
10:46.0,,,84-69,,D. Sabonis misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by R. Neto,,84-69,,
10:41.0,J. Jerebko makes 2-pt shot from 1 ft (assist by J. Ingles),2,86-69,,
10:30.0,,,86-69,,B. Bogdanovic misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by R. Gobert,,86-69,,
10:14.0,R. Gobert makes 2-pt shot from 4 ft (assist by J. Ingles),2,88-69,,
10:09.0,,,88-69,,Indiana full timeout
10:09.0,R. O'Neale enters the game for J. Crowder,,88-69,,
9:51.0,,,88-71,2,D. Sabonis makes 2-pt shot from 1 ft
9:36.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,90-71,,
9:36.0,Shooting foul by T. Booker (drawn by R. Gobert),,90-71,,
9:36.0,R. Gobert makes free throw 1 of 1,1,91-71,,
9:25.0,,,91-71,,L. Stephenson misses 2-pt shot at rim (block by J. Jerebko)
9:25.0,Defensive rebound by Team,,91-71,,
9:00.0,J. Jerebko misses 3-pt shot from 28 ft,,91-71,,
8:58.0,,,91-71,,Defensive rebound by D. Sabonis
8:52.0,,,91-71,,Offensive charge foul by L. Stephenson
8:52.0,,,91-71,,Turnover by L. Stephenson (offensive foul)
8:52.0,,,91-71,,Technical foul by L. Stephenson
8:52.0,J. Ingles makes technical free throw,1,92-71,,
8:52.0,,,92-71,,V. Oladipo enters the game for L. Stephenson
8:52.0,,,92-71,,C. Joseph enters the game for J. Young
8:52.0,,,92-71,,T. Young enters the game for T. Booker
8:34.0,Shooting foul by D. Sabonis (drawn by R. O'Neale),,92-71,,
8:34.0,R. O'Neale makes free throw 1 of 2,1,93-71,,
8:34.0,R. O'Neale makes free throw 2 of 2,1,94-71,,
8:17.0,,,94-71,,V. Oladipo misses 2-pt shot from 15 ft
8:14.0,Defensive rebound by J. Jerebko,,94-71,,
8:04.0,Turnover by J. Ingles (bad pass),,94-71,,
8:04.0,,,94-71,,M. Turner enters the game for D. Sabonis
8:04.0,R. Rubio enters the game for J. Ingles,,94-71,,
8:04.0,D. Mitchell enters the game for R. Neto,,94-71,,
7:49.0,,,94-71,,T. Young misses 2-pt shot from 8 ft
7:49.0,,,94-71,,Offensive rebound by T. Young
7:49.0,,,94-73,2,T. Young makes 2-pt shot from 8 ft
7:49.0,,,94-73,,Shooting foul by R. Rubio (drawn by T. Young)
7:49.0,,,94-74,1,T. Young makes free throw 1 of 1
7:37.0,Shooting foul by V. Oladipo (drawn by R. Gobert),,94-74,,
7:37.0,R. Gobert misses free throw 1 of 2,,94-74,,
7:37.0,Offensive rebound by Team,,94-74,,
7:37.0,D. Favors enters the game for J. Jerebko,,94-74,,
7:37.0,R. Gobert makes free throw 2 of 2,1,95-74,,
7:20.0,,,95-74,,Turnover by V. Oladipo (bad pass; steal by R. Rubio)
7:11.0,Turnover by R. Rubio (bad pass; steal by V. Oladipo),,95-74,,
7:06.0,,,95-74,,C. Joseph misses 3-pt shot from 23 ft
7:04.0,,,95-74,,Offensive rebound by T. Young
7:02.0,,,95-74,,V. Oladipo misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by R. Gobert,,95-74,,
6:54.0,Utah full timeout,,95-74,,
6:54.0,J. Crowder enters the game for R. O'Neale,,95-74,,
6:44.0,R. Rubio misses 2-pt shot from 20 ft,,95-74,,
6:42.0,Offensive rebound by Team,,95-74,,
6:23.0,Turnover by D. Mitchell (bad pass; steal by B. Bogdanovic),,95-74,,
6:20.0,,,95-76,2,B. Bogdanovic makes 2-pt shot from 1 ft
6:01.0,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell),2,97-76,,
5:42.0,,,97-79,3,M. Turner makes 3-pt shot from 27 ft (assist by V. Oladipo)
5:29.0,D. Mitchell misses 3-pt shot from 27 ft,,97-79,,
5:27.0,,,97-79,,Defensive rebound by C. Joseph
5:18.0,,,97-79,,T. Young misses 3-pt shot from 27 ft
5:16.0,Defensive rebound by R. Gobert,,97-79,,
4:58.0,Turnover by D. Mitchell (bad pass; steal by V. Oladipo),,97-79,,
4:52.0,,,97-79,,Turnover by V. Oladipo (lost ball; steal by R. Rubio)
4:47.0,Shooting foul by T. Young (drawn by D. Mitchell),,97-79,,
4:47.0,D. Mitchell makes free throw 1 of 2,1,98-79,,
4:47.0,J. Ingles enters the game for D. Favors,,98-79,,
4:47.0,D. Mitchell makes free throw 2 of 2,1,99-79,,
4:29.0,,,99-81,2,M. Turner makes 2-pt shot from 14 ft
4:04.0,R. Rubio misses 2-pt shot from 18 ft,,99-81,,
4:01.0,,,99-81,,Defensive rebound by B. Bogdanovic
3:55.0,,,99-81,,M. Turner misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by R. Rubio,,99-81,,
3:33.0,R. Rubio makes 2-pt shot from 16 ft (assist by J. Ingles),2,101-81,,
3:27.0,,,101-81,,Indiana full timeout
3:27.0,,,101-81,,J. Young enters the game for V. Oladipo
3:27.0,,,101-81,,T. Booker enters the game for C. Joseph
3:27.0,,,101-81,,T. Leaf enters the game for T. Young
3:27.0,,,101-81,,G. Robinson enters the game for M. Turner
3:27.0,,,101-81,,A. Poythress enters the game for B. Bogdanovic
3:16.0,,,101-81,,G. Robinson misses 2-pt shot from 8 ft
3:14.0,,,101-81,,Offensive rebound by A. Poythress
3:11.0,,,101-81,,J. Young misses 2-pt shot from 19 ft
3:08.0,Defensive rebound by J. Ingles,,101-81,,
2:48.0,D. Mitchell misses 3-pt shot from 27 ft,,101-81,,
2:45.0,,,101-81,,Defensive rebound by A. Poythress
