time,New York,pts.away,score,pts.home,Washington
3:09.0,K. O'Quinn misses 2-pt shot from 19 ft,,23-27,,
3:06.0,,,23-27,,Defensive rebound by B. Beal
2:58.0,Def 3 sec tech foul by K. O'Quinn,,23-27,,
2:58.0,New York full timeout,,23-27,,
2:58.0,,,23-27,,J. Meeks enters the game for B. Beal
2:58.0,,,23-27,,M. Scott enters the game for M. Morris
2:58.0,,,23-28,1,J. Wall makes technical free throw
2:44.0,,,23-28,,J. Wall misses 2-pt shot from 19 ft
2:40.0,Defensive rebound by K. O'Quinn,,23-28,,
2:26.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,25-28,,
2:04.0,,,25-28,,K. Oubre misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by K. Porzingis,,25-28,,
1:57.0,,,25-28,,Personal foul by K. Oubre (drawn by K. Porzingis)
1:57.0,,,25-28,,T. Satoransky enters the game for J. Wall
1:52.0,Shooting foul by M. Scott (drawn by K. Porzingis),,25-28,,
1:52.0,K. Porzingis makes free throw 1 of 2,1,26-28,,
1:52.0,K. Porzingis makes free throw 2 of 2,1,27-28,,
1:37.0,,,27-31,3,M. Scott makes 3-pt shot from 24 ft (assist by J. Meeks)
1:25.0,Shooting foul by M. Scott (drawn by K. Porzingis),,27-31,,
1:25.0,K. Porzingis makes free throw 1 of 2,1,28-31,,
1:25.0,K. Porzingis makes free throw 2 of 2,1,29-31,,
1:16.0,,,29-31,,I. Mahinmi misses 2-pt shot from 2 ft
1:16.0,,,29-31,,Offensive rebound by K. Oubre
1:09.0,,,29-33,2,K. Oubre makes 2-pt shot from 1 ft
1:01.0,,,29-33,,Personal foul by K. Oubre (drawn by K. Porzingis)
1:01.0,K. Porzingis misses free throw 1 of 2,,29-33,,
1:01.0,Offensive rebound by Team,,29-33,,
1:01.0,K. Porzingis makes free throw 2 of 2,1,30-33,,
0:50.0,,,30-33,,Turnover by I. Mahinmi (lost ball; steal by K. O'Quinn)
0:44.0,F. Ntilikina misses 2-pt shot from 3 ft,,30-33,,
0:42.0,,,30-33,,Defensive rebound by K. Oubre
0:37.0,,,30-33,,K. Oubre misses 2-pt shot at rim
0:36.0,Defensive rebound by D. McDermott,,30-33,,
0:23.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by R. Baker),2,32-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,34-33,,
11:36.0,,,34-33,,K. Oubre misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by M. Beasley,,34-33,,
11:20.0,F. Ntilikina makes 3-pt shot from 27 ft,3,37-33,,
11:02.0,,,37-33,,T. Satoransky misses 2-pt shot from 10 ft
10:59.0,,,37-33,,Offensive rebound by T. Satoransky
10:55.0,,,37-33,,J. Meeks misses 2-pt shot from 5 ft
10:54.0,,,37-33,,Offensive rebound by I. Mahinmi
10:54.0,,,37-33,,Shooting foul by K. O'Quinn (drawn by I. Mahinmi)
10:54.0,,,37-33,,I. Mahinmi misses free throw 1 of 2
10:54.0,,,37-33,,Offensive rebound by Team
10:54.0,,,37-33,,O. Porter enters the game for K. Oubre
10:54.0,,,37-34,1,I. Mahinmi makes free throw 2 of 2
10:41.0,Shooting foul by T. Satoransky (drawn by D. McDermott),,37-34,,
10:41.0,D. McDermott makes free throw 1 of 2,1,38-34,,
10:41.0,D. McDermott makes free throw 2 of 2,1,39-34,,
10:21.0,,,39-34,,O. Porter misses 3-pt shot from 23 ft
10:17.0,Defensive rebound by K. O'Quinn,,39-34,,
9:59.0,F. Ntilikina makes 2-pt shot from 17 ft,2,41-34,,
9:56.0,,,41-34,,Washington full timeout
9:56.0,,,41-34,,J. Wall enters the game for J. Meeks
9:56.0,,,41-34,,M. Gortat enters the game for I. Mahinmi
9:56.0,,,41-34,,M. Morris enters the game for M. Scott
9:56.0,,,41-34,,B. Beal enters the game for T. Satoransky
9:46.0,,,41-34,,Turnover by M. Morris (out of bounds lost ball)
9:27.0,M. Beasley makes 2-pt shot from 19 ft,2,43-34,,
9:08.0,,,43-37,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
8:46.0,D. McDermott misses 3-pt shot from 22 ft,,43-37,,
8:43.0,,,43-37,,Defensive rebound by M. Morris
8:38.0,,,43-37,,Turnover by J. Wall (lost ball; steal by M. Beasley)
8:32.0,F. Ntilikina makes 2-pt shot from 1 ft,2,45-37,,
8:17.0,,,45-39,2,B. Beal makes 2-pt shot from 12 ft
8:17.0,,,45-39,,Shooting foul by K. O'Quinn (drawn by B. Beal)
8:17.0,,,45-40,1,B. Beal makes free throw 1 of 1
8:06.0,F. Ntilikina misses 3-pt shot from 25 ft,,45-40,,
8:03.0,,,45-40,,Defensive rebound by M. Gortat
7:54.0,,,45-42,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
7:38.0,M. Beasley makes 2-pt shot from 12 ft,2,47-42,,
7:26.0,,,47-44,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
7:26.0,,,47-44,,Shooting foul by M. Beasley (drawn by M. Gortat)
7:26.0,C. Lee enters the game for K. O'Quinn,,47-44,,
7:26.0,E. Kanter enters the game for R. Baker,,47-44,,
7:26.0,,,47-45,1,M. Gortat makes free throw 1 of 1
7:09.0,M. Beasley misses 3-pt shot from 26 ft,,47-45,,
7:04.0,,,47-45,,Defensive rebound by M. Gortat
6:53.0,,,47-45,,M. Gortat misses 2-pt shot from 7 ft (block by M. Beasley)
6:50.0,,,47-45,,Offensive rebound by O. Porter
6:50.0,,,47-45,,Shooting foul by D. McDermott (drawn by M. Gortat)
6:50.0,,,47-46,1,M. Gortat makes free throw 1 of 2
6:50.0,J. Jack enters the game for F. Ntilikina,,47-46,,
6:50.0,K. Porzingis enters the game for D. McDermott,,47-46,,
6:50.0,,,47-46,,M. Gortat misses free throw 2 of 2
6:47.0,Defensive rebound by K. Porzingis,,47-46,,
6:31.0,Turnover by M. Beasley (bad pass; steal by O. Porter),,47-46,,
6:25.0,,,47-46,,J. Wall misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by M. Beasley,,47-46,,
6:11.0,Turnover by K. Porzingis (lost ball; steal by B. Beal),,47-46,,
6:04.0,,,47-49,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
6:02.0,New York full timeout,,47-49,,
5:42.0,E. Kanter misses 2-pt shot from 2 ft,,47-49,,
5:40.0,Offensive rebound by E. Kanter,,47-49,,
5:40.0,E. Kanter makes 2-pt shot from 1 ft,2,49-49,,
5:23.0,,,49-49,,Turnover by M. Gortat (lost ball; steal by M. Beasley)
5:19.0,J. Jack misses 2-pt shot from 4 ft,,49-49,,
5:18.0,Offensive rebound by Team,,49-49,,
5:15.0,K. Porzingis makes 3-pt shot from 27 ft (assist by C. Lee),3,52-49,,
4:58.0,,,52-49,,M. Morris misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by M. Beasley,,52-49,,
4:52.0,Turnover by J. Jack (bad pass),,52-49,,
4:42.0,,,52-51,2,B. Beal makes 2-pt shot from 16 ft
4:28.0,Shooting foul by M. Gortat (drawn by E. Kanter),,52-51,,
4:28.0,E. Kanter makes free throw 1 of 2,1,53-51,,
4:28.0,,,53-51,,I. Mahinmi enters the game for M. Gortat
4:28.0,E. Kanter makes free throw 2 of 2,1,54-51,,
4:16.0,,,54-53,2,I. Mahinmi makes 2-pt shot at rim (assist by J. Wall)
4:05.0,K. Porzingis misses 3-pt shot from 26 ft,,54-53,,
4:04.0,,,54-53,,Defensive rebound by O. Porter
3:59.0,,,54-55,2,J. Wall makes 2-pt shot at rim
3:56.0,,,54-55,,Personal take foul by M. Morris (drawn by J. Jack)
3:42.0,C. Lee misses 2-pt shot from 20 ft,,54-55,,
3:39.0,,,54-55,,Defensive rebound by O. Porter
3:36.0,,,54-55,,O. Porter misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by K. Porzingis,,54-55,,
3:26.0,J. Jack makes 2-pt shot from 2 ft (assist by C. Lee),2,56-55,,
2:57.0,,,56-55,,Turnover by Team (shot clock)
2:42.0,C. Lee makes 3-pt shot from 25 ft (assist by J. Jack),3,59-55,,
2:29.0,,,59-57,2,J. Wall makes 2-pt shot at rim
2:29.0,,,59-57,,Shooting foul by E. Kanter (drawn by J. Wall)
2:29.0,K. O'Quinn enters the game for E. Kanter,,59-57,,
2:29.0,,,59-58,1,J. Wall makes free throw 1 of 1
2:11.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by M. Beasley),2,61-58,,
1:52.0,,,61-60,2,B. Beal makes 2-pt shot from 18 ft
1:39.0,J. Jack misses 2-pt shot from 3 ft (block by I. Mahinmi),,61-60,,
1:35.0,,,61-60,,Defensive rebound by M. Morris
1:26.0,,,61-60,,J. Wall misses 2-pt shot from 2 ft (block by M. Beasley)
1:22.0,Defensive rebound by M. Beasley,,61-60,,
1:20.0,Turnover by M. Beasley (out of bounds lost ball),,61-60,,
1:08.0,,,61-62,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
0:54.0,,,61-62,,Personal foul by I. Mahinmi (drawn by J. Jack)
0:45.0,Turnover by K. Porzingis (bad pass; steal by O. Porter),,61-62,,
0:43.0,,,61-62,,Turnover by I. Mahinmi (bad pass; steal by C. Lee)
0:39.0,K. Porzingis makes 2-pt shot from 6 ft (assist by C. Lee),2,63-62,,
0:33.0,,,63-62,,J. Wall misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by K. O'Quinn,,63-62,,
0:11.0,M. Beasley misses 2-pt shot from 16 ft,,63-62,,
0:08.0,,,63-62,,Defensive rebound by M. Morris
0:03.0,,,63-62,,B. Beal misses 3-pt shot from 30 ft
0:03.0,,,63-62,,Offensive rebound by J. Wall
0:00.0,,,63-64,2,J. Wall makes 2-pt shot from 16 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by L. Thomas (bad pass; steal by M. Morris),,63-64,,
11:32.0,,,63-64,,J. Wall misses 2-pt shot from 6 ft
11:30.0,Defensive rebound by E. Kanter,,63-64,,
11:25.0,K. Porzingis misses 3-pt shot from 27 ft,,63-64,,
11:25.0,,,63-64,,Defensive rebound by M. Gortat
11:08.0,,,63-66,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
10:55.0,Turnover by K. Porzingis (bad pass; steal by J. Wall),,63-66,,
10:53.0,,,63-68,2,J. Wall makes 2-pt shot from 1 ft
10:52.0,New York full timeout,,63-68,,
10:35.0,J. Jack misses 2-pt shot from 16 ft,,63-68,,
10:31.0,,,63-68,,Defensive rebound by M. Morris
10:19.0,,,63-70,2,M. Gortat makes 2-pt shot from 3 ft
10:11.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Wall),,63-70,,
10:11.0,,,63-70,,Defensive rebound by J. Wall
9:55.0,,,63-72,2,B. Beal makes 2-pt shot at rim
9:43.0,Turnover by J. Jack (bad pass),,63-72,,
9:26.0,,,63-72,,M. Morris misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by J. Jack,,63-72,,
9:07.0,L. Thomas makes 3-pt shot from 24 ft (assist by J. Jack),3,66-72,,
8:46.0,,,66-74,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
8:30.0,C. Lee misses 2-pt shot from 2 ft,,66-74,,
8:30.0,,,66-74,,Defensive rebound by M. Morris
8:30.0,,,66-76,2,J. Wall makes 2-pt shot from 3 ft
8:30.0,,,66-76,,Shooting foul by J. Jack (drawn by J. Wall)
8:30.0,Technical foul by C. Lee,,66-76,,
8:30.0,,,66-76,,J. Wall misses technical free throw
8:30.0,,,66-76,,Offensive rebound by Team
8:30.0,,,66-77,1,J. Wall makes technical free throw
8:18.0,C. Lee misses 2-pt shot from 5 ft,,66-77,,
8:16.0,,,66-77,,Defensive rebound by M. Morris
8:13.0,,,66-77,,O. Porter misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by Team,,66-77,,
7:53.0,Turnover by J. Jack (lost ball; steal by B. Beal),,66-77,,
7:47.0,,,66-79,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
7:22.0,J. Jack makes 2-pt shot from 13 ft,2,68-79,,
6:58.0,,,68-82,3,J. Wall makes 3-pt shot from 27 ft (assist by M. Morris)
6:40.0,,,68-82,,Personal foul by B. Beal (drawn by E. Kanter)
6:40.0,F. Ntilikina enters the game for C. Lee,,68-82,,
6:40.0,R. Baker enters the game for J. Jack,,68-82,,
6:32.0,Offensive charge foul by E. Kanter (drawn by M. Gortat),,68-82,,
6:32.0,Turnover by E. Kanter (offensive foul),,68-82,,
6:32.0,K. O'Quinn enters the game for E. Kanter,,68-82,,
6:10.0,,,68-84,2,B. Beal makes 2-pt shot from 22 ft
6:07.0,New York full timeout,,68-84,,
5:55.0,L. Thomas misses 3-pt shot from 23 ft,,68-84,,
5:53.0,,,68-84,,Defensive rebound by B. Beal
5:33.0,,,68-84,,M. Morris misses 2-pt shot from 20 ft (block by K. Porzingis)
5:30.0,Defensive rebound by K. Porzingis,,68-84,,
5:28.0,Turnover by F. Ntilikina (bad pass; steal by B. Beal),,68-84,,
5:18.0,,,68-84,,J. Wall misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by K. O'Quinn,,68-84,,
5:04.0,K. O'Quinn misses 2-pt shot from 1 ft (block by M. Gortat),,68-84,,
5:02.0,,,68-84,,Defensive rebound by M. Morris
5:00.0,Personal foul by R. Baker (drawn by J. Wall),,68-84,,
5:00.0,D. McDermott enters the game for L. Thomas,,68-84,,
4:46.0,,,68-84,,Turnover by M. Morris (bad pass)
4:23.0,K. O'Quinn makes 2-pt shot from 16 ft,2,70-84,,
4:02.0,,,70-84,,O. Porter misses 2-pt shot from 13 ft
4:00.0,Defensive rebound by K. Porzingis,,70-84,,
3:53.0,K. O'Quinn misses 2-pt shot from 3 ft (block by O. Porter),,70-84,,
3:53.0,,,70-84,,Defensive rebound by M. Morris
3:43.0,,,70-84,,J. Wall misses 2-pt shot from 2 ft
3:41.0,,,70-84,,Offensive rebound by M. Gortat
3:36.0,,,70-86,2,M. Gortat makes 2-pt shot from 13 ft (assist by B. Beal)
3:13.0,K. Porzingis misses 2-pt shot from 15 ft,,70-86,,
3:10.0,Offensive rebound by Team,,70-86,,
3:10.0,,,70-86,,M. Scott enters the game for M. Morris
3:08.0,K. Porzingis misses 2-pt shot from 16 ft,,70-86,,
3:05.0,,,70-86,,Defensive rebound by M. Gortat
3:01.0,,,70-86,,Shooting foul by D. McDermott (drawn by M. Gortat)
3:01.0,,,70-86,,M. Gortat misses free throw 1 of 2
3:01.0,,,70-86,,Offensive rebound by Team
3:01.0,M. Beasley enters the game for K. Porzingis,,70-86,,
3:01.0,,,70-87,1,M. Gortat makes free throw 2 of 2
2:42.0,R. Baker misses 2-pt shot from 2 ft,,70-87,,
2:39.0,,,70-87,,Defensive rebound by M. Scott
2:32.0,,,70-87,,Turnover by J. Wall (bad pass)
2:32.0,,,70-87,,T. Satoransky enters the game for J. Wall
2:21.0,M. Beasley misses 2-pt shot from 16 ft,,70-87,,
2:18.0,,,70-87,,Defensive rebound by M. Gortat
2:09.0,,,70-87,,Turnover by B. Beal (bad pass; steal by F. Ntilikina)
1:53.0,F. Ntilikina misses 2-pt shot from 6 ft,,70-87,,
1:51.0,,,70-87,,Defensive rebound by B. Beal
1:46.0,,,70-87,,Offensive foul by M. Gortat (drawn by F. Ntilikina)
1:46.0,,,70-87,,Turnover by M. Gortat (offensive foul)
1:46.0,,,70-87,,Washington full timeout
1:46.0,,,70-87,,I. Mahinmi enters the game for M. Gortat
1:35.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker),2,72-87,,
1:11.0,,,72-87,,Turnover by M. Scott (lost ball; steal by R. Baker)
1:06.0,M. Beasley makes 2-pt shot from 1 ft (assist by R. Baker),2,74-87,,
0:50.0,,,74-87,,Shooting foul by K. O'Quinn (drawn by I. Mahinmi)
0:50.0,,,74-88,1,I. Mahinmi makes free throw 1 of 2
0:50.0,,,74-88,,K. Oubre enters the game for O. Porter
0:50.0,,,74-88,,I. Mahinmi misses free throw 2 of 2
0:49.0,Defensive rebound by M. Beasley,,74-88,,
0:40.0,D. McDermott misses 3-pt shot from 26 ft,,74-88,,
0:37.0,,,74-88,,Defensive rebound by T. Satoransky
0:27.0,,,74-88,,B. Beal misses 2-pt shot from 4 ft (block by K. O'Quinn)
0:25.0,Defensive rebound by K. O'Quinn,,74-88,,
0:20.0,R. Baker misses 3-pt shot from 22 ft,,74-88,,
0:18.0,Offensive rebound by D. McDermott,,74-88,,
0:17.0,D. McDermott makes 2-pt shot from 1 ft,2,76-88,,
0:17.0,Shooting foul by M. Scott (drawn by D. McDermott),,76-88,,
0:17.0,D. McDermott makes free throw 1 of 1,1,77-88,,
0:00.0,,,77-90,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,77-90,,M. Scott misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by K. O'Quinn,,77-90,,
11:23.0,D. McDermott misses 2-pt shot from 16 ft,,77-90,,
11:20.0,,,77-90,,Defensive rebound by J. Meeks
11:12.0,Violation by K. O'Quinn (kicked ball),,77-90,,
11:02.0,,,77-92,2,T. Satoransky makes 2-pt shot from 16 ft (assist by M. Scott)
10:49.0,R. Baker misses 2-pt shot at rim,,77-92,,
10:44.0,Offensive rebound by M. Beasley,,77-92,,
10:43.0,M. Beasley misses 2-pt shot from 15 ft,,77-92,,
10:40.0,,,77-92,,Defensive rebound by J. Meeks
10:40.0,Personal foul by K. O'Quinn (drawn by T. Satoransky),,77-92,,
10:21.0,,,77-95,3,T. Satoransky makes 3-pt shot from 25 ft (assist by J. Meeks)
10:03.0,R. Baker makes 2-pt shot from 1 ft (assist by M. Beasley),2,79-95,,
9:45.0,,,79-95,,K. Oubre misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by M. Beasley,,79-95,,
9:33.0,D. McDermott misses 2-pt shot from 11 ft,,79-95,,
9:29.0,,,79-95,,Defensive rebound by J. Meeks
9:22.0,,,79-95,,Shooting foul by F. Ntilikina (drawn by I. Mahinmi)
9:22.0,,,79-96,1,I. Mahinmi makes free throw 1 of 2
9:22.0,K. Porzingis enters the game for D. McDermott,,79-96,,
9:22.0,C. Lee enters the game for R. Baker,,79-96,,
9:22.0,,,79-97,1,I. Mahinmi makes free throw 2 of 2
9:01.0,K. Porzingis misses 2-pt shot from 15 ft (block by K. Oubre),,79-97,,
9:00.0,Offensive rebound by K. O'Quinn,,79-97,,
9:00.0,K. O'Quinn makes 2-pt shot from 1 ft,2,81-97,,
9:00.0,Shooting foul by I. Mahinmi (drawn by K. O'Quinn),,81-97,,
9:00.0,K. O'Quinn makes free throw 1 of 1,1,82-97,,
8:52.0,,,82-99,2,T. Satoransky makes 2-pt shot from 22 ft
8:35.0,,,82-99,,Personal foul by K. Oubre (drawn by K. Porzingis)
8:35.0,J. Jack enters the game for F. Ntilikina,,82-99,,
8:30.0,K. Porzingis misses 2-pt shot from 13 ft,,82-99,,
8:27.0,,,82-99,,Defensive rebound by K. Oubre
8:16.0,,,82-101,2,K. Oubre makes 2-pt shot from 6 ft
8:06.0,M. Beasley makes 2-pt shot at rim,2,84-101,,
8:06.0,Shooting foul by K. Oubre (drawn by M. Beasley),,84-101,,
8:06.0,M. Beasley makes free throw 1 of 1,1,85-101,,
7:52.0,,,85-103,2,K. Oubre makes 2-pt shot from 9 ft (assist by J. Meeks)
7:38.0,,,85-103,,Personal foul by M. Scott (drawn by K. Porzingis)
7:38.0,D. McDermott enters the game for K. O'Quinn,,85-103,,
7:29.0,M. Beasley makes 2-pt shot from 1 ft,2,87-103,,
7:29.0,Shooting foul by I. Mahinmi (drawn by M. Beasley),,87-103,,
7:29.0,M. Beasley makes free throw 1 of 1,1,88-103,,
7:15.0,,,88-105,2,M. Scott makes 2-pt shot from 21 ft (assist by T. Satoransky)
7:01.0,K. Porzingis makes 2-pt shot from 10 ft (assist by M. Beasley),2,90-105,,
6:44.0,,,90-105,,J. Meeks misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by D. McDermott,,90-105,,
6:32.0,Shooting foul by M. Scott (drawn by J. Jack),,90-105,,
6:32.0,,,90-105,,Washington full timeout
6:32.0,,,90-105,,M. Gortat enters the game for K. Oubre
6:32.0,,,90-105,,B. Beal enters the game for J. Meeks
6:32.0,,,90-105,,O. Porter enters the game for I. Mahinmi
6:32.0,,,90-105,,M. Morris enters the game for M. Scott
6:32.0,,,90-105,,J. Wall enters the game for T. Satoransky
6:32.0,J. Jack misses free throw 1 of 2,,90-105,,
6:32.0,Offensive rebound by Team,,90-105,,
6:32.0,J. Jack misses free throw 2 of 2,,90-105,,
6:30.0,,,90-105,,Defensive rebound by M. Morris
6:19.0,,,90-105,,B. Beal misses 3-pt shot from 25 ft
6:18.0,,,90-105,,Offensive rebound by Team
6:18.0,Loose ball foul by K. Porzingis (drawn by M. Gortat),,90-105,,
6:12.0,,,90-107,2,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall)
5:54.0,M. Beasley makes 2-pt shot at rim,2,92-107,,
5:54.0,Shooting foul by M. Morris (drawn by M. Beasley),,92-107,,
5:54.0,M. Beasley makes free throw 1 of 1,1,93-107,,
5:39.0,,,93-107,,J. Wall misses 2-pt shot from 11 ft (block by K. Porzingis)
5:36.0,Defensive rebound by M. Beasley,,93-107,,
5:30.0,M. Beasley makes 2-pt shot from 1 ft,2,95-107,,
5:12.0,,,95-109,2,M. Morris makes 2-pt shot from 2 ft (assist by M. Gortat)
5:01.0,J. Jack misses 2-pt shot from 4 ft,,95-109,,
4:59.0,,,95-109,,Defensive rebound by O. Porter
4:53.0,,,95-109,,Shooting foul by K. Porzingis (drawn by J. Wall)
4:53.0,,,95-109,,J. Wall misses free throw 1 of 2
4:53.0,,,95-109,,Offensive rebound by Team
4:53.0,,,95-110,1,J. Wall makes free throw 2 of 2
4:40.0,M. Beasley misses 2-pt shot from 13 ft,,95-110,,
4:37.0,Offensive rebound by J. Jack,,95-110,,
4:35.0,D. McDermott makes 3-pt shot from 26 ft (assist by K. Porzingis),3,98-110,,
4:13.0,,,98-110,,O. Porter misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by Team,,98-110,,
