time,Detroit,pts.away,score,pts.home,Minnesota
11:18.0,,,22-24,,Turnover by J. Crawford (bad pass; steal by L. Galloway)
11:14.0,S. Johnson makes 2-pt shot from 1 ft (assist by L. Galloway),2,24-24,,
11:01.0,,,24-24,,Shooting foul by I. Smith (drawn by G. Dieng)
11:01.0,,,24-24,,G. Dieng misses free throw 1 of 2
11:01.0,,,24-24,,Offensive rebound by Team
11:01.0,L. Kennard enters the game for S. Johnson,,24-24,,
11:01.0,,,24-25,1,G. Dieng makes free throw 2 of 2
10:50.0,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith),3,27-25,,
10:38.0,Personal foul by A. Tolliver (drawn by G. Dieng),,27-25,,
10:29.0,,,27-27,2,J. Crawford makes 2-pt shot from 17 ft (assist by T. Jones)
10:17.0,A. Tolliver misses 3-pt shot from 26 ft,,27-27,,
10:12.0,,,27-27,,Defensive rebound by G. Dieng
10:09.0,,,27-27,,Turnover by J. Crawford (bad pass)
9:55.0,Shooting foul by S. Muhammad (drawn by L. Kennard),,27-27,,
9:55.0,L. Kennard makes free throw 1 of 2,1,28-27,,
9:55.0,L. Kennard makes free throw 2 of 2,1,29-27,,
9:46.0,,,29-27,,S. Muhammad misses 2-pt shot from 9 ft
9:44.0,Defensive rebound by L. Kennard,,29-27,,
9:31.0,A. Tolliver makes 2-pt shot from 11 ft (assist by E. Moreland),2,31-27,,
9:17.0,,,31-27,,J. Crawford misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by L. Galloway,,31-27,,
9:11.0,Shooting foul by T. Jones (drawn by A. Tolliver),,31-27,,
9:11.0,A. Tolliver makes free throw 1 of 3,1,32-27,,
9:11.0,A. Tolliver misses free throw 2 of 3,,32-27,,
9:11.0,Offensive rebound by Team,,32-27,,
9:11.0,,,32-27,,J. Butler enters the game for G. Dieng
9:11.0,,,32-27,,K. Towns enters the game for N. Bjelica
9:11.0,A. Bradley enters the game for L. Galloway,,32-27,,
9:11.0,A. Tolliver makes free throw 3 of 3,1,33-27,,
8:50.0,,,33-27,,J. Crawford misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by E. Moreland,,33-27,,
8:44.0,Offensive foul by A. Tolliver (drawn by J. Crawford),,33-27,,
8:44.0,Turnover by A. Tolliver (offensive foul),,33-27,,
8:44.0,T. Harris enters the game for A. Tolliver,,33-27,,
8:31.0,,,33-29,2,J. Crawford makes 2-pt shot from 11 ft (assist by T. Jones)
8:14.0,I. Smith makes 2-pt shot from 10 ft,2,35-29,,
7:58.0,,,35-29,,J. Crawford misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by Team,,35-29,,
7:55.0,A. Drummond enters the game for E. Moreland,,35-29,,
7:48.0,,,35-29,,Personal foul by S. Muhammad (drawn by L. Kennard)
7:48.0,,,35-29,,T. Gibson enters the game for J. Crawford
7:48.0,,,35-29,,A. Wiggins enters the game for S. Muhammad
7:42.0,A. Bradley misses 2-pt shot from 19 ft,,35-29,,
7:37.0,,,35-29,,Defensive rebound by J. Butler
7:26.0,,,35-31,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
7:12.0,I. Smith misses 2-pt shot from 15 ft (block by A. Wiggins),,35-31,,
7:11.0,Offensive rebound by Team,,35-31,,
7:11.0,,,35-31,,J. Teague enters the game for T. Jones
7:11.0,R. Jackson enters the game for L. Kennard,,35-31,,
7:11.0,S. Johnson enters the game for I. Smith,,35-31,,
7:07.0,A. Bradley makes 2-pt shot from 2 ft (assist by R. Jackson),2,37-31,,
6:53.0,,,37-31,,Shooting foul by A. Bradley (drawn by J. Teague)
6:53.0,,,37-31,,Minnesota full timeout
6:53.0,,,37-31,,J. Teague misses free throw 1 of 2
6:53.0,,,37-31,,Offensive rebound by Team
6:53.0,,,37-32,1,J. Teague makes free throw 2 of 2
6:41.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,39-32,,
6:24.0,,,39-32,,J. Butler misses 2-pt shot from 1 ft
6:24.0,,,39-32,,Offensive rebound by T. Gibson
6:18.0,,,39-34,2,T. Gibson makes 2-pt shot at rim
6:07.0,R. Jackson misses 2-pt shot from 5 ft,,39-34,,
6:04.0,,,39-34,,Defensive rebound by Team
5:53.0,,,39-36,2,J. Teague makes 2-pt shot from 1 ft
5:43.0,Detroit full timeout,,39-36,,
5:28.0,A. Drummond misses 2-pt shot from 2 ft,,39-36,,
5:24.0,,,39-36,,Defensive rebound by T. Gibson
5:22.0,,,39-36,,J. Butler misses 2-pt shot from 4 ft
5:21.0,,,39-36,,Offensive rebound by Team
5:12.0,,,39-38,2,T. Gibson makes 2-pt shot from 7 ft (assist by J. Teague)
4:59.0,S. Johnson misses 3-pt shot from 24 ft,,39-38,,
4:59.0,,,39-38,,Defensive rebound by J. Butler
4:54.0,Personal foul by R. Jackson (drawn by J. Butler),,39-38,,
4:46.0,,,39-38,,K. Towns misses 2-pt shot from 11 ft
4:39.0,,,39-38,,Offensive rebound by T. Gibson
4:39.0,,,39-40,2,T. Gibson makes 2-pt shot at rim
4:28.0,A. Drummond makes 2-pt shot at rim (assist by A. Bradley),2,41-40,,
4:13.0,,,41-42,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler)
4:13.0,,,41-42,,Shooting foul by A. Bradley (drawn by A. Wiggins)
4:13.0,R. Bullock enters the game for A. Bradley,,41-42,,
4:13.0,,,41-43,1,A. Wiggins makes free throw 1 of 1
3:59.0,Turnover by A. Drummond (lost ball; steal by A. Wiggins),,41-43,,
3:52.0,,,41-43,,J. Butler misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by S. Johnson,,41-43,,
3:41.0,Turnover by R. Jackson (lost ball; steal by T. Gibson),,41-43,,
3:32.0,,,41-45,2,K. Towns makes 2-pt shot from 17 ft (assist by J. Teague)
3:16.0,T. Harris misses 3-pt shot from 26 ft,,41-45,,
3:10.0,Offensive rebound by A. Drummond,,41-45,,
3:10.0,A. Drummond makes 2-pt shot at rim,2,43-45,,
3:00.0,,,43-47,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
2:41.0,R. Jackson misses 2-pt shot from 8 ft,,43-47,,
2:39.0,,,43-47,,Defensive rebound by J. Butler
2:26.0,,,43-49,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Teague)
2:20.0,Detroit full timeout,,43-49,,
2:20.0,E. Moreland enters the game for A. Drummond,,43-49,,
2:08.0,R. Bullock misses 3-pt shot from 24 ft,,43-49,,
2:04.0,,,43-49,,Defensive rebound by A. Wiggins
1:55.0,,,43-49,,Turnover by J. Teague (lost ball; steal by S. Johnson)
1:49.0,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson),2,45-49,,
1:37.0,Personal foul by R. Bullock (drawn by J. Butler),,45-49,,
1:37.0,,,45-50,1,J. Butler makes free throw 1 of 2
1:37.0,,,45-51,1,J. Butler makes free throw 2 of 2
1:13.0,S. Johnson makes 2-pt shot from 11 ft,2,47-51,,
0:50.0,,,47-51,,K. Towns misses 3-pt shot from 26 ft
0:49.0,,,47-51,,Offensive rebound by Team
0:49.0,,,47-51,,Turnover by Team (shot clock)
0:38.0,R. Jackson makes 2-pt shot at rim,2,49-51,,
0:28.0,,,49-51,,J. Teague misses 2-pt shot from 3 ft
0:28.0,Defensive rebound by T. Harris,,49-51,,
0:10.0,R. Jackson misses 2-pt shot from 7 ft,,49-51,,
0:09.0,,,49-51,,Defensive rebound by K. Towns
0:00.0,,,49-53,2,J. Butler makes 2-pt shot from 15 ft
0:00.0,S. Johnson misses 3-pt shot from 59 ft,,49-53,,
0:00.0,Offensive rebound by Team,,49-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,49-53,,K. Towns misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by T. Harris,,49-53,,
11:39.0,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson),3,52-53,,
11:16.0,,,52-53,,Turnover by J. Teague (lost ball; steal by T. Harris)
11:10.0,Turnover by A. Drummond (traveling),,52-53,,
10:48.0,,,52-53,,T. Gibson misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by A. Bradley,,52-53,,
10:40.0,T. Harris misses 3-pt shot from 25 ft,,52-53,,
10:37.0,Offensive rebound by A. Drummond,,52-53,,
10:37.0,A. Drummond makes 2-pt shot at rim,2,54-53,,
10:37.0,Shooting foul by T. Gibson (drawn by A. Drummond),,54-53,,
10:37.0,A. Drummond makes free throw 1 of 1,1,55-53,,
10:23.0,,,55-55,2,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins)
10:08.0,,,55-55,,Personal foul by T. Gibson (drawn by A. Drummond)
10:00.0,S. Johnson misses 3-pt shot from 24 ft,,55-55,,
9:56.0,,,55-55,,Defensive rebound by K. Towns
9:48.0,,,55-57,2,J. Butler makes 2-pt shot from 5 ft
9:37.0,,,55-57,,Personal foul by J. Teague (drawn by R. Jackson)
9:29.0,Turnover by R. Jackson (bad pass; steal by J. Butler),,55-57,,
9:18.0,,,55-57,,Turnover by A. Wiggins (bad pass; steal by A. Bradley)
9:14.0,A. Bradley misses 2-pt shot from 1 ft,,55-57,,
9:09.0,Offensive rebound by A. Drummond,,55-57,,
9:09.0,A. Drummond misses 2-pt shot at rim,,55-57,,
9:08.0,,,55-57,,Defensive rebound by J. Butler
9:07.0,,,55-57,,Turnover by J. Butler (lost ball; steal by A. Bradley)
9:05.0,Shooting foul by T. Gibson (drawn by T. Harris),,55-57,,
9:05.0,T. Harris makes free throw 1 of 2,1,56-57,,
9:05.0,,,56-57,,N. Bjelica enters the game for T. Gibson
9:05.0,T. Harris makes free throw 2 of 2,1,57-57,,
8:53.0,,,57-60,3,K. Towns makes 3-pt shot from 26 ft (assist by J. Teague)
8:39.0,Turnover by A. Bradley (bad pass),,57-60,,
8:27.0,,,57-62,2,A. Wiggins makes 2-pt shot at rim (assist by J. Teague)
8:27.0,,,57-62,,Shooting foul by A. Drummond (drawn by A. Wiggins)
8:27.0,,,57-62,,A. Wiggins misses free throw 1 of 1
8:24.0,Defensive rebound by A. Drummond,,57-62,,
8:18.0,R. Jackson makes 2-pt shot from 1 ft,2,59-62,,
7:59.0,,,59-62,,Offensive charge foul by J. Butler (drawn by A. Bradley)
7:59.0,,,59-62,,Turnover by J. Butler (offensive foul)
7:47.0,T. Harris makes 2-pt shot from 3 ft (assist by A. Drummond),2,61-62,,
7:47.0,Shooting foul by N. Bjelica (drawn by T. Harris),,61-62,,
7:47.0,T. Harris misses free throw 1 of 1,,61-62,,
7:45.0,,,61-62,,Defensive rebound by K. Towns
7:31.0,,,61-62,,J. Teague misses 3-pt shot from 24 ft
7:28.0,,,61-62,,Offensive rebound by N. Bjelica
7:21.0,,,61-65,3,J. Butler makes 3-pt shot from 25 ft (assist by J. Teague)
7:04.0,Turnover by A. Drummond (bad pass),,61-65,,
6:52.0,,,61-68,3,J. Butler makes 3-pt shot from 22 ft (assist by N. Bjelica)
6:50.0,Detroit full timeout,,61-68,,
6:40.0,Turnover by A. Bradley (out of bounds lost ball),,61-68,,
6:31.0,,,61-68,,Shooting foul by A. Drummond (drawn by K. Towns)
6:31.0,,,61-69,1,K. Towns makes free throw 1 of 2
6:31.0,,,61-70,1,K. Towns makes free throw 2 of 2
6:19.0,A. Bradley misses 2-pt shot from 19 ft,,61-70,,
6:16.0,Offensive rebound by A. Drummond,,61-70,,
6:14.0,A. Drummond misses 2-pt shot from 2 ft,,61-70,,
6:14.0,Offensive rebound by A. Drummond,,61-70,,
6:11.0,Turnover by A. Drummond (lost ball; steal by J. Butler),,61-70,,
6:02.0,,,61-70,,Turnover by J. Teague (bad pass; steal by T. Harris)
5:58.0,Shooting foul by A. Wiggins (drawn by S. Johnson),,61-70,,
5:58.0,E. Moreland enters the game for A. Drummond,,61-70,,
5:58.0,S. Johnson makes free throw 1 of 2,1,62-70,,
5:58.0,S. Johnson misses free throw 2 of 2,,62-70,,
5:56.0,,,62-70,,Defensive rebound by N. Bjelica
5:44.0,,,62-70,,A. Wiggins misses 2-pt shot from 21 ft
5:40.0,Defensive rebound by T. Harris,,62-70,,
5:29.0,R. Jackson misses 3-pt shot from 24 ft,,62-70,,
5:24.0,,,62-70,,Defensive rebound by J. Teague
5:19.0,,,62-70,,A. Wiggins misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by T. Harris,,62-70,,
5:08.0,S. Johnson misses 3-pt shot from 24 ft,,62-70,,
5:05.0,,,62-70,,Defensive rebound by J. Teague
4:50.0,,,62-70,,Turnover by A. Wiggins (lost ball; steal by A. Bradley)
4:41.0,A. Bradley misses 3-pt shot from 23 ft,,62-70,,
4:38.0,,,62-70,,Defensive rebound by J. Butler
4:21.0,,,62-70,,Turnover by J. Teague (bad pass)
4:21.0,I. Smith enters the game for R. Jackson,,62-70,,
4:07.0,T. Harris misses 2-pt shot from 9 ft,,62-70,,
4:07.0,,,62-70,,Defensive rebound by Team
4:07.0,Loose ball foul by E. Moreland (drawn by N. Bjelica),,62-70,,
3:59.0,,,62-72,2,J. Butler makes 2-pt shot from 1 ft
3:59.0,,,62-72,,Shooting foul by E. Moreland (drawn by J. Butler)
3:59.0,L. Kennard enters the game for A. Bradley,,62-72,,
3:59.0,,,62-72,,J. Butler misses free throw 1 of 1
3:57.0,Defensive rebound by E. Moreland,,62-72,,
3:38.0,S. Johnson misses 2-pt shot from 5 ft (block by A. Wiggins),,62-72,,
3:34.0,Offensive rebound by S. Johnson,,62-72,,
3:33.0,S. Johnson makes 2-pt shot from 1 ft,2,64-72,,
3:18.0,,,64-74,2,N. Bjelica makes 2-pt shot from 5 ft
3:01.0,T. Harris makes 3-pt shot from 24 ft,3,67-74,,
2:39.0,,,67-76,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
2:17.0,S. Johnson misses 3-pt shot from 26 ft,,67-76,,
2:16.0,,,67-76,,Defensive rebound by K. Towns
1:56.0,,,67-76,,Turnover by N. Bjelica (lost ball; steal by L. Kennard)
1:49.0,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith),2,69-76,,
1:33.0,,,69-76,,Minnesota full timeout
1:33.0,,,69-76,,G. Dieng enters the game for K. Towns
1:33.0,A. Tolliver enters the game for T. Harris,,69-76,,
1:25.0,,,69-78,2,J. Butler makes 2-pt shot from 16 ft
1:03.0,Turnover by S. Johnson (bad pass; steal by G. Dieng),,69-78,,
0:59.0,,,69-78,,G. Dieng misses 2-pt shot from 1 ft
0:56.0,,,69-78,,Offensive rebound by J. Butler
0:54.0,,,69-78,,N. Bjelica misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by E. Moreland,,69-78,,
0:51.0,Turnover by I. Smith (traveling),,69-78,,
0:35.0,,,69-78,,J. Teague misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by Team,,69-78,,
0:22.0,Turnover by L. Kennard (bad pass; steal by A. Wiggins),,69-78,,
0:19.0,,,69-80,2,A. Wiggins makes 2-pt shot at rim
0:00.0,I. Smith makes 2-pt shot from 19 ft,2,71-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,L. Kennard misses 2-pt shot from 22 ft,,71-80,,
11:46.0,Offensive rebound by A. Drummond,,71-80,,
11:46.0,,,71-80,,Personal foul by S. Muhammad (drawn by A. Drummond)
11:46.0,,,71-80,,T. Gibson enters the game for N. Bjelica
11:37.0,A. Drummond makes 2-pt shot from 7 ft (assist by A. Tolliver),2,73-80,,
11:27.0,Personal foul by S. Johnson (drawn by J. Butler),,73-80,,
11:13.0,,,73-80,,Turnover by T. Gibson (step out of bounds)
10:59.0,A. Drummond misses 2-pt shot from 4 ft,,73-80,,
10:55.0,,,73-80,,Defensive rebound by G. Dieng
10:50.0,,,73-82,2,S. Muhammad makes 2-pt shot from 6 ft (assist by T. Jones)
10:34.0,S. Johnson misses 2-pt shot from 16 ft,,73-82,,
10:30.0,,,73-82,,Defensive rebound by T. Jones
10:17.0,,,73-82,,S. Muhammad misses 2-pt shot from 9 ft
10:15.0,Defensive rebound by A. Drummond,,73-82,,
10:00.0,Turnover by L. Kennard (lost ball; steal by J. Butler),,73-82,,
9:57.0,,,73-82,,Shooting foul by I. Smith (drawn by S. Muhammad)
9:57.0,,,73-83,1,S. Muhammad makes free throw 1 of 2
9:57.0,,,73-83,,K. Towns enters the game for G. Dieng
9:57.0,,,73-83,,A. Wiggins enters the game for J. Butler
9:57.0,A. Bradley enters the game for L. Kennard,,73-83,,
9:57.0,,,73-84,1,S. Muhammad makes free throw 2 of 2
9:51.0,,,73-84,,Personal foul by S. Muhammad (drawn by S. Johnson)
9:51.0,R. Bullock enters the game for S. Johnson,,73-84,,
9:36.0,A. Tolliver misses 3-pt shot from 26 ft,,73-84,,
9:32.0,,,73-84,,Defensive rebound by K. Towns
9:24.0,,,73-84,,Turnover by K. Towns (bad pass)
9:12.0,A. Drummond makes 2-pt shot from 2 ft (assist by I. Smith),2,75-84,,
8:52.0,,,75-84,,K. Towns misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by A. Drummond,,75-84,,
8:46.0,I. Smith makes 2-pt shot from 1 ft,2,77-84,,
8:45.0,,,77-84,,Minnesota full timeout
8:45.0,,,77-84,,J. Teague enters the game for T. Jones
8:45.0,,,77-84,,J. Butler enters the game for S. Muhammad
8:28.0,,,77-84,,K. Towns misses 2-pt shot at rim (block by A. Drummond)
8:25.0,Defensive rebound by A. Drummond,,77-84,,
8:17.0,I. Smith misses 2-pt shot from 16 ft,,77-84,,
8:13.0,,,77-84,,Defensive rebound by K. Towns
8:03.0,,,77-84,,Turnover by A. Wiggins (out of bounds lost ball)
7:51.0,I. Smith misses 2-pt shot from 14 ft,,77-84,,
7:47.0,Offensive rebound by A. Drummond,,77-84,,
7:47.0,A. Drummond misses 2-pt shot from 1 ft,,77-84,,
7:47.0,,,77-84,,Defensive rebound by A. Wiggins
7:36.0,Personal foul by I. Smith (drawn by J. Teague),,77-84,,
7:24.0,,,77-84,,T. Gibson misses 2-pt shot from 9 ft
7:21.0,Defensive rebound by A. Drummond,,77-84,,
7:09.0,Turnover by A. Drummond (turnover),,77-84,,
6:58.0,,,77-84,,Turnover by J. Teague (bad pass; steal by A. Drummond)
6:58.0,,,77-84,,Personal foul by T. Gibson (drawn by A. Drummond)
6:58.0,T. Harris enters the game for I. Smith,,77-84,,
6:58.0,R. Jackson enters the game for A. Tolliver,,77-84,,
6:42.0,A. Bradley makes 2-pt shot from 2 ft (assist by A. Drummond),2,79-84,,
6:42.0,Shooting foul by J. Teague (drawn by A. Bradley),,79-84,,
6:42.0,A. Bradley misses free throw 1 of 1,,79-84,,
6:40.0,,,79-84,,Defensive rebound by J. Butler
6:24.0,,,79-86,2,A. Wiggins makes 2-pt shot from 20 ft
6:12.0,Offensive foul by R. Jackson (drawn by J. Teague),,79-86,,
6:12.0,Turnover by R. Jackson (offensive foul),,79-86,,
5:50.0,,,79-86,,A. Wiggins misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by Team,,79-86,,
5:32.0,A. Bradley makes 3-pt shot from 22 ft (assist by R. Jackson),3,82-86,,
5:08.0,,,82-88,2,A. Wiggins makes 2-pt shot at rim
4:53.0,R. Jackson makes 2-pt shot from 1 ft,2,84-88,,
4:37.0,,,84-88,,J. Teague misses 2-pt shot from 3 ft (block by A. Drummond)
4:35.0,,,84-88,,Offensive rebound by T. Gibson
4:33.0,,,84-90,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Gibson)
4:21.0,A. Bradley makes 3-pt shot from 23 ft (assist by R. Jackson),3,87-90,,
3:58.0,,,87-92,2,A. Wiggins makes 2-pt shot from 15 ft
3:42.0,Shooting foul by J. Teague (drawn by R. Jackson),,87-92,,
3:42.0,R. Jackson misses free throw 1 of 2,,87-92,,
3:42.0,Offensive rebound by Team,,87-92,,
3:42.0,S. Johnson enters the game for R. Bullock,,87-92,,
3:42.0,R. Jackson makes free throw 2 of 2,1,88-92,,
3:20.0,,,88-92,,J. Teague misses 2-pt shot from 21 ft
3:17.0,Defensive rebound by A. Drummond,,88-92,,
2:58.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,90-92,,
2:57.0,,,90-92,,Minnesota full timeout
2:38.0,,,90-92,,K. Towns misses 3-pt shot from 25 ft
2:36.0,,,90-92,,Offensive rebound by Team
2:28.0,,,90-92,,A. Wiggins misses 2-pt shot from 18 ft
2:25.0,Defensive rebound by R. Jackson,,90-92,,
2:08.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,92-92,,
1:45.0,,,92-92,,Shooting foul by A. Drummond (drawn by A. Wiggins)
1:45.0,,,92-92,,A. Wiggins misses free throw 1 of 2
1:45.0,,,92-92,,Offensive rebound by Team
