time,Utah,pts.away,score,pts.home,Brooklyn
2:47.0,,,20-29,2,S. Dinwiddie makes 2-pt shot at rim
2:32.0,A. Burks misses 3-pt shot from 24 ft,,20-29,,
2:29.0,,,20-29,,Defensive rebound by Q. Acy
2:19.0,,,20-31,2,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
2:03.0,R. Neto makes 2-pt shot from 8 ft,2,22-31,,
2:02.0,,,22-31,,Brooklyn full timeout
2:02.0,,,22-31,,I. Whitehead enters the game for S. Dinwiddie
2:02.0,R. Hood enters the game for J. Ingles,,22-31,,
1:43.0,,,22-34,3,J. Harris makes 3-pt shot from 22 ft (assist by T. Zeller)
1:27.0,,,22-34,,Personal foul by I. Whitehead (drawn by R. Neto)
1:20.0,R. Neto misses 2-pt shot from 7 ft (block by T. Zeller),,22-34,,
1:15.0,,,22-34,,Defensive rebound by C. LeVert
1:01.0,,,22-37,3,J. Harris makes 3-pt shot from 25 ft (assist by I. Whitehead)
0:49.0,R. Neto makes 3-pt shot from 24 ft,3,25-37,,
0:41.0,,,25-37,,J. Harris misses 3-pt shot from 25 ft
0:37.0,,,25-37,,Offensive rebound by Team
0:34.0,,,25-39,2,I. Whitehead makes 2-pt shot from 8 ft (assist by C. LeVert)
0:23.0,R. Hood misses 2-pt shot from 9 ft,,25-39,,
0:21.0,,,25-39,,Defensive rebound by I. Whitehead
0:04.0,Personal foul by E. Udoh (drawn by C. LeVert),,25-39,,
0:01.0,,,25-39,,C. LeVert misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by R. Neto,,25-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Shooting foul by I. Whitehead (drawn by R. Neto),,25-39,,
11:39.0,R. Neto misses free throw 1 of 2,,25-39,,
11:39.0,Offensive rebound by Team,,25-39,,
11:39.0,R. Neto misses free throw 2 of 2,,25-39,,
11:37.0,,,25-39,,Defensive rebound by T. Zeller
11:30.0,,,25-41,2,I. Whitehead makes 2-pt shot from 3 ft
11:16.0,R. Hood makes 2-pt shot from 8 ft,2,27-41,,
10:53.0,,,27-41,,C. LeVert misses 2-pt shot from 3 ft
10:49.0,Defensive rebound by R. Neto,,27-41,,
10:46.0,Offensive charge foul by R. Hood (drawn by T. Zeller),,27-41,,
10:46.0,Turnover by R. Hood (offensive foul),,27-41,,
10:29.0,,,27-43,2,T. Booker makes 2-pt shot at rim (assist by I. Whitehead)
10:16.0,Shooting foul by J. Harris (drawn by A. Burks),,27-43,,
10:16.0,A. Burks makes free throw 1 of 2,1,28-43,,
10:16.0,D. Mitchell enters the game for R. Neto,,28-43,,
10:16.0,A. Burks makes free throw 2 of 2,1,29-43,,
9:59.0,Personal foul by J. Jerebko (drawn by T. Booker),,29-43,,
9:50.0,,,29-43,,Turnover by I. Whitehead (traveling)
9:31.0,D. Mitchell misses 2-pt shot from 1 ft,,29-43,,
9:30.0,Offensive rebound by E. Udoh,,29-43,,
9:30.0,Turnover by E. Udoh (bad pass; steal by J. Harris),,29-43,,
9:26.0,Personal foul by A. Burks (drawn by C. LeVert),,29-43,,
9:12.0,,,29-43,,Turnover by T. Booker (bad pass; steal by A. Burks)
9:08.0,A. Burks makes 2-pt shot at rim,2,31-43,,
8:55.0,,,31-43,,Offensive charge foul by J. Harris (drawn by J. Jerebko)
8:55.0,,,31-43,,Turnover by J. Harris (offensive foul)
8:55.0,,,31-43,,A. Crabbe enters the game for I. Whitehead
8:55.0,,,31-43,,Q. Acy enters the game for T. Zeller
8:47.0,Turnover by D. Mitchell (out of bounds lost ball),,31-43,,
8:35.0,R. Neto enters the game for A. Burks,,31-43,,
8:24.0,,,31-45,2,T. Booker makes 2-pt shot at rim (assist by A. Crabbe)
8:07.0,Offensive foul by R. Hood (drawn by J. Harris),,31-45,,
8:07.0,Turnover by R. Hood (offensive foul),,31-45,,
7:57.0,,,31-45,,A. Crabbe misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by Team,,31-45,,
7:42.0,R. Hood misses 3-pt shot from 24 ft,,31-45,,
7:40.0,,,31-45,,Defensive rebound by T. Booker
7:33.0,,,31-48,3,Q. Acy makes 3-pt shot from 24 ft (assist by T. Booker)
7:25.0,E. Udoh misses 2-pt shot at rim (block by Q. Acy),,31-48,,
7:24.0,,,31-48,,Defensive rebound by J. Harris
7:18.0,,,31-50,2,T. Booker makes 2-pt shot at rim (assist by J. Harris)
7:18.0,Utah full timeout,,31-50,,
7:18.0,,,31-50,,D. Carroll enters the game for J. Harris
7:18.0,R. O'Neale enters the game for R. Hood,,31-50,,
7:18.0,D. Favors enters the game for E. Udoh,,31-50,,
7:18.0,J. Ingles enters the game for R. Neto,,31-50,,
7:05.0,D. Mitchell makes 2-pt shot from 18 ft,2,33-50,,
6:51.0,,,33-50,,A. Crabbe misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by R. O'Neale,,33-50,,
6:40.0,D. Favors makes 2-pt shot from 16 ft (assist by J. Ingles),2,35-50,,
6:17.0,,,35-52,2,C. LeVert makes 2-pt shot from 19 ft (assist by T. Booker)
6:02.0,D. Mitchell misses 2-pt shot from 6 ft,,35-52,,
6:00.0,,,35-52,,Defensive rebound by C. LeVert
5:41.0,,,35-54,2,A. Crabbe makes 2-pt shot from 2 ft
5:24.0,D. Favors misses 2-pt shot from 14 ft,,35-54,,
5:21.0,Offensive rebound by D. Mitchell,,35-54,,
5:21.0,D. Mitchell makes 2-pt shot from 5 ft,2,37-54,,
5:21.0,Shooting foul by A. Crabbe (drawn by D. Mitchell),,37-54,,
5:21.0,,,37-54,,S. Dinwiddie enters the game for C. LeVert
5:21.0,,,37-54,,R. Hollis-Jefferson enters the game for T. Booker
5:21.0,R. Hood enters the game for J. Jerebko,,37-54,,
5:21.0,D. Mitchell makes free throw 1 of 1,1,38-54,,
5:06.0,,,38-54,,Turnover by D. Carroll (lost ball; steal by R. O'Neale)
5:01.0,R. Hood misses 3-pt shot from 22 ft,,38-54,,
4:57.0,,,38-54,,Defensive rebound by S. Dinwiddie
4:51.0,,,38-54,,A. Crabbe misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by R. O'Neale,,38-54,,
4:39.0,R. O'Neale misses 2-pt shot from 8 ft,,38-54,,
4:36.0,Offensive rebound by R. O'Neale,,38-54,,
4:34.0,D. Mitchell misses 3-pt shot from 25 ft,,38-54,,
4:34.0,,,38-54,,Defensive rebound by Q. Acy
4:15.0,,,38-54,,D. Carroll misses 2-pt shot from 9 ft
4:15.0,Defensive rebound by R. O'Neale,,38-54,,
4:05.0,R. Hood makes 2-pt shot from 3 ft (assist by J. Ingles),2,40-54,,
4:04.0,,,40-54,,Brooklyn full timeout
4:04.0,,,40-54,,T. Zeller enters the game for Q. Acy
4:04.0,A. Burks enters the game for R. O'Neale,,40-54,,
3:49.0,,,40-56,2,A. Crabbe makes 2-pt shot from 20 ft (assist by R. Hollis-Jefferson)
3:31.0,,,40-56,,Personal foul by R. Hollis-Jefferson (drawn by J. Ingles)
3:21.0,R. Hood makes 2-pt shot from 13 ft (assist by D. Favors),2,42-56,,
3:03.0,,,42-56,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
2:57.0,,,42-56,,Offensive rebound by T. Zeller
2:57.0,,,42-58,2,T. Zeller makes 2-pt shot at rim
2:49.0,D. Favors misses 2-pt shot from 18 ft,,42-58,,
2:47.0,,,42-58,,Defensive rebound by R. Hollis-Jefferson
2:39.0,,,42-58,,D. Carroll misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by A. Burks,,42-58,,
2:23.0,Turnover by D. Mitchell (step out of bounds),,42-58,,
2:03.0,,,42-58,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by D. Mitchell)
2:01.0,Defensive rebound by D. Mitchell,,42-58,,
1:56.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,44-58,,
1:47.0,,,44-58,,R. Hollis-Jefferson misses 2-pt shot from 8 ft (block by A. Burks)
1:44.0,Defensive rebound by J. Ingles,,44-58,,
1:39.0,Shooting foul by T. Zeller (drawn by D. Favors),,44-58,,
1:39.0,D. Favors makes free throw 1 of 2,1,45-58,,
1:39.0,,,45-58,,Q. Acy enters the game for R. Hollis-Jefferson
1:39.0,D. Favors makes free throw 2 of 2,1,46-58,,
1:23.0,,,46-58,,Offensive foul by T. Zeller (drawn by R. Hood)
1:23.0,,,46-58,,Turnover by T. Zeller (offensive foul)
1:23.0,,,46-58,,J. Harris enters the game for T. Zeller
1:06.0,Turnover by D. Favors (out of bounds lost ball),,46-58,,
0:54.0,,,46-58,,A. Crabbe misses 3-pt shot from 24 ft
0:52.0,,,46-58,,Offensive rebound by Team
0:52.0,E. Udoh enters the game for R. Hood,,46-58,,
0:52.0,R. O'Neale enters the game for D. Favors,,46-58,,
0:43.0,,,46-60,2,Q. Acy makes 2-pt shot at rim (assist by A. Crabbe)
0:33.0,D. Mitchell misses 3-pt shot from 26 ft,,46-60,,
0:31.0,,,46-60,,Defensive rebound by J. Harris
0:21.0,,,46-62,2,S. Dinwiddie makes 2-pt shot from 8 ft
0:05.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,49-62,,
0:01.0,,,49-65,3,S. Dinwiddie makes 3-pt shot from 35 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Favors makes 2-pt shot at rim (assist by D. Mitchell),2,51-65,,
11:34.0,,,51-68,3,S. Dinwiddie makes 3-pt shot from 24 ft
11:29.0,,,51-68,,Personal foul by S. Dinwiddie (drawn by D. Favors)
11:22.0,D. Mitchell misses 2-pt shot from 2 ft,,51-68,,
11:20.0,,,51-68,,Defensive rebound by T. Booker
11:15.0,,,51-71,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
10:55.0,A. Burks misses 2-pt shot from 1 ft,,51-71,,
10:52.0,,,51-71,,Defensive rebound by R. Hollis-Jefferson
10:38.0,,,51-73,2,T. Booker makes 2-pt shot from 5 ft
10:22.0,A. Burks misses 3-pt shot from 25 ft,,51-73,,
10:19.0,,,51-73,,Defensive rebound by A. Crabbe
10:15.0,,,51-73,,D. Carroll misses 2-pt shot from 5 ft (block by J. Ingles)
10:11.0,Defensive rebound by J. Ingles,,51-73,,
9:59.0,D. Favors makes 2-pt shot from 5 ft,2,53-73,,
9:43.0,,,53-73,,Turnover by T. Booker (bad pass)
9:28.0,Turnover by J. Ingles (bad pass; steal by D. Carroll),,53-73,,
9:09.0,,,53-73,,T. Booker misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by A. Burks,,53-73,,
8:58.0,A. Burks misses 2-pt shot from 2 ft,,53-73,,
8:53.0,,,53-73,,Defensive rebound by A. Crabbe
8:45.0,,,53-73,,T. Booker misses 2-pt shot from 2 ft
8:42.0,Defensive rebound by D. Mitchell,,53-73,,
8:39.0,J. Ingles makes 3-pt shot from 22 ft (assist by D. Mitchell),3,56-73,,
8:21.0,,,56-73,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by A. Burks,,56-73,,
8:15.0,R. Hood makes 2-pt shot from 1 ft (assist by A. Burks),2,58-73,,
8:14.0,,,58-73,,Brooklyn full timeout
8:14.0,,,58-73,,T. Zeller enters the game for R. Hollis-Jefferson
7:57.0,,,58-73,,Turnover by T. Zeller (traveling)
7:50.0,J. Ingles makes 3-pt shot from 24 ft,3,61-73,,
7:27.0,,,61-73,,D. Carroll misses 3-pt shot from 25 ft
7:25.0,,,61-73,,Offensive rebound by T. Zeller
7:10.0,,,61-75,2,T. Booker makes 2-pt shot from 7 ft (assist by S. Dinwiddie)
6:57.0,D. Favors misses 2-pt shot at rim,,61-75,,
6:55.0,,,61-75,,Defensive rebound by T. Zeller
6:50.0,,,61-75,,D. Carroll misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by D. Favors,,61-75,,
6:39.0,Turnover by A. Burks (lost ball; steal by T. Zeller),,61-75,,
6:36.0,,,61-75,,Shooting foul by J. Ingles (drawn by D. Carroll)
6:36.0,,,61-76,1,D. Carroll makes free throw 1 of 2
6:36.0,R. O'Neale enters the game for A. Burks,,61-76,,
6:36.0,,,61-77,1,D. Carroll makes free throw 2 of 2
6:26.0,Turnover by D. Favors (out of bounds lost ball),,61-77,,
6:13.0,,,61-77,,A. Crabbe misses 2-pt shot from 22 ft
6:12.0,Defensive rebound by Team,,61-77,,
6:00.0,R. Hood misses 2-pt shot from 10 ft,,61-77,,
5:57.0,,,61-77,,Defensive rebound by T. Booker
5:46.0,,,61-80,3,D. Carroll makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
5:35.0,D. Favors makes 2-pt shot at rim (assist by D. Mitchell),2,63-80,,
5:15.0,,,63-80,,T. Zeller misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by R. O'Neale,,63-80,,
5:09.0,R. Hood misses 3-pt shot from 25 ft,,63-80,,
5:04.0,,,63-80,,Defensive rebound by S. Dinwiddie
4:58.0,,,63-80,,Turnover by D. Carroll (bad pass; steal by D. Mitchell)
4:52.0,Turnover by J. Ingles (bad pass; steal by S. Dinwiddie),,63-80,,
4:52.0,,,63-80,,Technical foul by D. Carroll
4:52.0,D. Mitchell makes technical free throw,1,64-80,,
4:52.0,J. Jerebko enters the game for D. Mitchell,,64-80,,
4:52.0,,,64-80,,J. Harris enters the game for T. Booker
4:52.0,,,64-80,,Q. Acy enters the game for D. Carroll
4:39.0,,,64-80,,Q. Acy misses 2-pt shot from 7 ft
4:36.0,,,64-80,,Offensive rebound by Team
4:36.0,D. Mitchell enters the game for J. Ingles,,64-80,,
4:20.0,,,64-80,,J. Harris misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by Team,,64-80,,
4:04.0,R. Hood misses 2-pt shot from 13 ft,,64-80,,
4:00.0,Offensive rebound by D. Favors,,64-80,,
3:53.0,D. Mitchell makes 2-pt shot from 4 ft,2,66-80,,
3:39.0,,,66-80,,Q. Acy misses 2-pt shot from 2 ft
3:36.0,Defensive rebound by D. Favors,,66-80,,
3:30.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Jerebko),3,69-80,,
3:07.0,,,69-83,3,S. Dinwiddie makes 3-pt shot from 24 ft
2:52.0,D. Mitchell misses 3-pt shot from 24 ft,,69-83,,
2:47.0,,,69-83,,Defensive rebound by A. Crabbe
2:40.0,,,69-83,,A. Crabbe misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by D. Favors,,69-83,,
2:26.0,D. Favors misses 2-pt shot from 14 ft,,69-83,,
2:23.0,,,69-83,,Defensive rebound by J. Harris
2:12.0,,,69-83,,S. Dinwiddie misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by Team,,69-83,,
2:11.0,,,69-83,,Loose ball foul by Q. Acy (drawn by J. Jerebko)
2:11.0,Utah full timeout,,69-83,,
2:11.0,,,69-83,,C. LeVert enters the game for S. Dinwiddie
2:11.0,,,69-83,,I. Whitehead enters the game for A. Crabbe
2:11.0,E. Udoh enters the game for D. Favors,,69-83,,
2:11.0,R. Neto enters the game for D. Mitchell,,69-83,,
2:03.0,R. Neto makes 2-pt shot at rim,2,71-83,,
1:48.0,,,71-85,2,J. Harris makes 2-pt shot at rim
1:27.0,R. Hood misses 2-pt shot from 10 ft,,71-85,,
1:26.0,Offensive rebound by R. Hood,,71-85,,
1:26.0,Shooting foul by J. Harris (drawn by R. Hood),,71-85,,
1:26.0,R. Hood misses free throw 1 of 2,,71-85,,
1:26.0,Offensive rebound by Team,,71-85,,
1:26.0,R. Hood makes free throw 2 of 2,1,72-85,,
1:14.0,,,72-85,,Shooting foul by E. Udoh (drawn by Q. Acy)
1:14.0,,,72-86,1,Q. Acy makes free throw 1 of 2
1:14.0,,,72-87,1,Q. Acy makes free throw 2 of 2
1:02.0,R. Neto makes 3-pt shot from 25 ft (assist by R. Hood),3,75-87,,
0:53.0,,,75-87,,Turnover by I. Whitehead (lost ball; steal by R. Neto)
0:50.0,R. O'Neale makes 2-pt shot at rim (assist by R. Hood),2,77-87,,
0:37.0,,,77-87,,C. LeVert misses 2-pt shot from 7 ft (block by E. Udoh)
0:36.0,,,77-87,,Offensive rebound by Team
0:33.0,Personal foul by E. Udoh (drawn by T. Zeller),,77-87,,
0:33.0,,,77-88,1,T. Zeller makes free throw 1 of 2
0:33.0,,,77-89,1,T. Zeller makes free throw 2 of 2
0:20.0,R. Neto misses 2-pt shot from 4 ft,,77-89,,
0:17.0,Offensive rebound by R. Neto,,77-89,,
0:15.0,J. Jerebko makes 3-pt shot from 22 ft (assist by R. Neto),3,80-89,,
0:01.0,,,80-89,,Turnover by I. Whitehead (lost ball; steal by E. Udoh)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,80-89,,Shooting foul by J. Jerebko (drawn by T. Zeller)
11:39.0,,,80-89,,T. Zeller misses free throw 1 of 2
11:39.0,,,80-89,,Offensive rebound by Team
11:39.0,,,80-90,1,T. Zeller makes free throw 2 of 2
11:25.0,Shooting foul by J. Harris (drawn by R. O'Neale),,80-90,,
11:25.0,R. O'Neale misses free throw 1 of 2,,80-90,,
11:25.0,Offensive rebound by Team,,80-90,,
11:25.0,J. Ingles enters the game for J. Jerebko,,80-90,,
11:25.0,R. O'Neale misses free throw 2 of 2,,80-90,,
11:23.0,,,80-90,,Defensive rebound by R. Hollis-Jefferson
11:11.0,,,80-92,2,S. Dinwiddie makes 2-pt shot from 8 ft
11:11.0,,,80-92,,Shooting foul by R. O'Neale (drawn by S. Dinwiddie)
11:11.0,D. Mitchell enters the game for R. O'Neale,,80-92,,
11:11.0,A. Burks enters the game for R. Hood,,80-92,,
11:11.0,,,80-93,1,S. Dinwiddie makes free throw 1 of 1
10:59.0,R. Neto misses 3-pt shot from 21 ft,,80-93,,
10:56.0,,,80-93,,Defensive rebound by R. Hollis-Jefferson
10:42.0,,,80-93,,S. Dinwiddie misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by D. Mitchell,,80-93,,
10:33.0,A. Burks makes 2-pt shot from 3 ft (assist by D. Mitchell),2,82-93,,
10:14.0,,,82-93,,C. LeVert misses 2-pt shot from 6 ft (block by R. Neto)
10:12.0,Defensive rebound by A. Burks,,82-93,,
10:08.0,A. Burks misses 2-pt shot from 2 ft,,82-93,,
10:08.0,,,82-93,,Defensive rebound by S. Dinwiddie
10:01.0,,,82-93,,C. LeVert misses 2-pt shot from 7 ft
10:01.0,Defensive rebound by J. Ingles,,82-93,,
9:59.0,,,82-93,,Personal foul by C. LeVert (drawn by J. Ingles)
9:59.0,D. Favors enters the game for E. Udoh,,82-93,,
9:45.0,D. Mitchell misses 2-pt shot from 2 ft,,82-93,,
9:41.0,,,82-93,,Defensive rebound by T. Zeller
9:36.0,,,82-93,,J. Harris misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by A. Burks,,82-93,,
9:35.0,,,82-93,,Personal take foul by S. Dinwiddie (drawn by A. Burks)
9:35.0,,,82-93,,T. Booker enters the game for T. Zeller
9:35.0,E. Udoh enters the game for D. Favors,,82-93,,
9:18.0,R. Neto misses 3-pt shot from 22 ft,,82-93,,
9:15.0,,,82-93,,Defensive rebound by S. Dinwiddie
9:11.0,,,82-93,,Shooting foul by J. Ingles (drawn by R. Hollis-Jefferson)
9:11.0,,,82-94,1,R. Hollis-Jefferson makes free throw 1 of 2
9:11.0,,,82-95,1,R. Hollis-Jefferson makes free throw 2 of 2
8:59.0,A. Burks makes 2-pt shot from 17 ft (assist by E. Udoh),2,84-95,,
8:48.0,,,84-95,,C. LeVert misses 3-pt shot from 24 ft
8:48.0,,,84-95,,Offensive rebound by T. Booker
8:42.0,,,84-95,,J. Harris misses 3-pt shot from 22 ft
8:40.0,Defensive rebound by D. Mitchell,,84-95,,
8:35.0,Turnover by R. Neto (bad pass; steal by J. Harris),,84-95,,
8:32.0,,,84-97,2,C. LeVert makes 2-pt shot at rim (assist by S. Dinwiddie)
8:19.0,A. Burks misses 3-pt shot from 24 ft,,84-97,,
8:16.0,Offensive rebound by D. Mitchell,,84-97,,
8:14.0,R. Neto makes 3-pt shot from 24 ft (assist by D. Mitchell),3,87-97,,
8:14.0,,,87-97,,Brooklyn full timeout
8:14.0,,,87-97,,D. Carroll enters the game for S. Dinwiddie
8:14.0,R. Hood enters the game for R. Neto,,87-97,,
8:14.0,D. Favors enters the game for E. Udoh,,87-97,,
7:58.0,,,87-97,,C. LeVert misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by Team,,87-97,,
7:56.0,,,87-97,,Loose ball foul by D. Carroll (drawn by J. Ingles)
7:40.0,D. Favors misses 2-pt shot from 15 ft,,87-97,,
7:36.0,,,87-97,,Defensive rebound by C. LeVert
7:20.0,,,87-99,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Harris)
7:10.0,Turnover by D. Mitchell (lost ball; steal by R. Hollis-Jefferson),,87-99,,
7:05.0,,,87-102,3,D. Carroll makes 3-pt shot from 22 ft (assist by C. LeVert)
6:43.0,R. Hood makes 2-pt shot from 1 ft,2,89-102,,
6:20.0,,,89-102,,Shooting foul by D. Favors (drawn by D. Carroll)
6:20.0,,,89-103,1,D. Carroll makes free throw 1 of 2
6:20.0,,,89-103,,A. Crabbe enters the game for J. Harris
6:20.0,R. Neto enters the game for A. Burks,,89-103,,
6:20.0,,,89-104,1,D. Carroll makes free throw 2 of 2
6:07.0,,,89-104,,Personal foul by T. Booker (drawn by D. Favors)
6:07.0,D. Favors makes free throw 1 of 2,1,90-104,,
6:07.0,D. Favors misses free throw 2 of 2,,90-104,,
6:03.0,Offensive rebound by D. Favors,,90-104,,
6:01.0,R. Neto makes 2-pt shot from 1 ft,2,92-104,,
5:38.0,,,92-107,3,C. LeVert makes 3-pt shot from 24 ft (assist by A. Crabbe)
5:18.0,D. Mitchell misses 2-pt shot from 15 ft,,92-107,,
5:16.0,,,92-107,,Defensive rebound by A. Crabbe
5:08.0,Personal foul by J. Ingles (drawn by T. Booker),,92-107,,
5:08.0,,,92-107,,T. Booker misses free throw 1 of 2
5:08.0,,,92-107,,Offensive rebound by Team
5:08.0,,,92-107,,T. Booker misses free throw 2 of 2
5:06.0,Defensive rebound by D. Mitchell,,92-107,,
4:51.0,R. Neto makes 2-pt shot from 1 ft (assist by D. Mitchell),2,94-107,,
