time,Phoenix,pts.away,score,pts.home,Washington
6:44.0,,,8-14,,Defensive rebound by M. Gortat
6:37.0,,,8-17,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat)
6:30.0,Phoenix full timeout,,8-17,,
6:11.0,Shooting foul by J. Smith (drawn by M. James),,8-17,,
6:11.0,M. James makes free throw 1 of 2,1,9-17,,
6:11.0,M. James makes free throw 2 of 2,1,10-17,,
6:02.0,,,10-17,,Turnover by B. Beal (step out of bounds)
6:02.0,,,10-17,,M. Scott enters the game for J. Smith
5:47.0,T. Warren misses 2-pt shot from 1 ft,,10-17,,
5:45.0,Offensive rebound by T. Warren,,10-17,,
5:44.0,T. Warren misses 2-pt shot from 1 ft (block by M. Gortat),,10-17,,
5:42.0,,,10-17,,Defensive rebound by M. Gortat
5:38.0,,,10-20,3,M. Scott makes 3-pt shot from 26 ft (assist by J. Wall)
5:12.0,T. Warren misses 3-pt shot from 22 ft,,10-20,,
5:10.0,Offensive rebound by T. Warren,,10-20,,
5:10.0,Offensive charge foul by T. Warren (drawn by M. Gortat),,10-20,,
5:10.0,Turnover by T. Warren (offensive foul),,10-20,,
5:10.0,J. Jackson enters the game for M. Chriss,,10-20,,
5:10.0,D. Bender enters the game for T. Warren,,10-20,,
4:54.0,,,10-22,2,T. Satoransky makes 2-pt shot from 8 ft
4:40.0,M. James misses 3-pt shot from 25 ft,,10-22,,
4:37.0,,,10-22,,Defensive rebound by M. Gortat
4:26.0,,,10-24,2,M. Scott makes 2-pt shot from 6 ft
4:01.0,T. Chandler misses 2-pt shot from 3 ft,,10-24,,
3:59.0,,,10-24,,Defensive rebound by B. Beal
3:55.0,,,10-26,2,B. Beal makes 2-pt shot from 15 ft
3:32.0,Shooting foul by B. Beal (drawn by J. Jackson),,10-26,,
3:32.0,J. Jackson makes free throw 1 of 2,1,11-26,,
3:32.0,,,11-26,,I. Mahinmi enters the game for M. Gortat
3:32.0,A. Len enters the game for T. Chandler,,11-26,,
3:32.0,T. Ulis enters the game for M. James,,11-26,,
3:32.0,J. Jackson misses free throw 2 of 2,,11-26,,
3:31.0,,,11-26,,Defensive rebound by Team
3:17.0,,,11-28,2,M. Scott makes 2-pt shot from 17 ft (assist by J. Wall)
2:54.0,D. Booker misses 2-pt shot from 1 ft,,11-28,,
2:51.0,,,11-28,,Defensive rebound by M. Scott
2:46.0,,,11-28,,J. Wall misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by T. Ulis,,11-28,,
2:37.0,D. Booker makes 2-pt shot from 7 ft,2,13-28,,
2:32.0,,,13-28,,Shooting foul by J. Jackson (drawn by T. Satoransky)
2:32.0,,,13-28,,Washington full timeout
2:32.0,,,13-29,1,T. Satoransky makes free throw 1 of 2
2:32.0,,,13-30,1,T. Satoransky makes free throw 2 of 2
2:07.0,T. Ulis misses 2-pt shot from 14 ft,,13-30,,
2:03.0,,,13-30,,Defensive rebound by M. Scott
1:45.0,,,13-30,,M. Scott misses 2-pt shot from 15 ft
1:42.0,Defensive rebound by A. Len,,13-30,,
1:39.0,D. Booker misses 3-pt shot from 26 ft,,13-30,,
1:39.0,,,13-30,,Defensive rebound by I. Mahinmi
1:25.0,,,13-30,,Shooting foul by A. Len (drawn by I. Mahinmi)
1:25.0,,,13-31,1,I. Mahinmi makes free throw 1 of 2
1:25.0,,,13-31,,T. Frazier enters the game for J. Wall
1:25.0,,,13-32,1,I. Mahinmi makes free throw 2 of 2
1:06.0,J. Jackson makes 2-pt shot from 8 ft,2,15-32,,
0:49.0,,,15-32,,I. Mahinmi misses 2-pt shot from 9 ft
0:46.0,,,15-32,,Offensive rebound by M. Scott
0:45.0,,,15-32,,M. Scott misses 2-pt shot from 5 ft
0:45.0,,,15-32,,Offensive rebound by I. Mahinmi
0:44.0,,,15-32,,I. Mahinmi misses 2-pt shot from 4 ft
0:44.0,Defensive rebound by D. Booker,,15-32,,
0:35.0,D. Bender misses 3-pt shot from 25 ft,,15-32,,
0:35.0,,,15-32,,Defensive rebound by T. Frazier
0:29.0,,,15-32,,B. Beal misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by T. Ulis,,15-32,,
0:03.0,D. Booker misses 2-pt shot from 6 ft (block by I. Mahinmi),,15-32,,
0:03.0,,,15-32,,Defensive rebound by I. Mahinmi
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-34,2,T. Frazier makes 2-pt shot from 4 ft
11:27.0,J. Jackson misses 3-pt shot from 24 ft,,15-34,,
11:23.0,,,15-34,,Defensive rebound by I. Mahinmi
11:11.0,,,15-36,2,M. Scott makes 2-pt shot from 14 ft (assist by J. Meeks)
11:00.0,T. Ulis misses 2-pt shot from 19 ft,,15-36,,
10:53.0,Offensive rebound by J. Jackson,,15-36,,
10:53.0,J. Jackson makes 2-pt shot at rim,2,17-36,,
10:50.0,,,17-36,,Shooting foul by A. Len (drawn by T. Frazier)
10:50.0,,,17-37,1,T. Frazier makes free throw 1 of 2
10:50.0,,,17-38,1,T. Frazier makes free throw 2 of 2
10:38.0,Shooting foul by T. Satoransky (drawn by J. Jackson),,17-38,,
10:38.0,J. Jackson makes free throw 1 of 2,1,18-38,,
10:38.0,J. Jackson makes free throw 2 of 2,1,19-38,,
10:30.0,,,19-40,2,J. Meeks makes 2-pt shot from 18 ft (assist by T. Frazier)
10:13.0,A. Len makes 2-pt shot from 1 ft (assist by J. Jackson),2,21-40,,
9:57.0,,,21-40,,T. Satoransky misses 2-pt shot from 3 ft
9:54.0,,,21-40,,Offensive rebound by I. Mahinmi
9:54.0,,,21-40,,I. Mahinmi misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by A. Len,,21-40,,
9:51.0,Turnover by T. Ulis (lost ball; steal by T. Frazier),,21-40,,
9:39.0,,,21-42,2,M. Scott makes 2-pt shot from 2 ft
9:39.0,,,21-42,,Shooting foul by J. Jackson (drawn by M. Scott)
9:39.0,T. Warren enters the game for J. Jackson,,21-42,,
9:39.0,,,21-43,1,M. Scott makes free throw 1 of 1
9:28.0,T. Warren makes 2-pt shot at rim (assist by A. Len),2,23-43,,
9:08.0,,,23-43,,M. Scott misses 2-pt shot from 19 ft
9:05.0,,,23-43,,Offensive rebound by I. Mahinmi
9:03.0,,,23-43,,M. Scott misses 2-pt shot at rim
9:01.0,Defensive rebound by A. Len,,23-43,,
8:44.0,T. Warren makes 2-pt shot at rim,2,25-43,,
8:18.0,,,25-43,,J. Meeks misses 3-pt shot from 26 ft
8:17.0,,,25-43,,Offensive rebound by M. Scott
8:16.0,,,25-43,,M. Scott misses 2-pt shot from 6 ft (block by A. Len)
8:16.0,,,25-43,,Offensive rebound by Team
8:16.0,M. Chriss enters the game for D. Bender,,25-43,,
8:12.0,,,25-43,,T. Frazier misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by T. Warren,,25-43,,
8:01.0,T. Daniels misses 2-pt shot from 18 ft,,25-43,,
7:57.0,,,25-43,,Defensive rebound by M. Scott
7:49.0,,,25-43,,M. Scott misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by T. Daniels,,25-43,,
7:36.0,M. Chriss misses 2-pt shot from 8 ft,,25-43,,
7:34.0,,,25-43,,Defensive rebound by M. Scott
7:30.0,,,25-45,2,J. Meeks makes 2-pt shot from 2 ft (assist by T. Frazier)
7:13.0,T. Warren makes 2-pt shot from 9 ft,2,27-45,,
6:58.0,,,27-45,,Turnover by T. Frazier (bad pass; steal by A. Len)
6:50.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis),3,30-45,,
6:38.0,,,30-45,,T. Frazier misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by Team,,30-45,,
6:37.0,,,30-45,,Washington full timeout
6:37.0,,,30-45,,K. Oubre enters the game for T. Frazier
6:37.0,,,30-45,,J. Wall enters the game for M. Scott
6:37.0,,,30-45,,J. Smith enters the game for T. Satoransky
6:16.0,Shooting foul by I. Mahinmi (drawn by T. Ulis),,30-45,,
6:16.0,T. Ulis makes free throw 1 of 2,1,31-45,,
6:16.0,T. Ulis makes free throw 2 of 2,1,32-45,,
6:11.0,Personal foul by T. Ulis (drawn by J. Wall),,32-45,,
6:11.0,,,32-45,,M. Gortat enters the game for I. Mahinmi
6:01.0,,,32-45,,K. Oubre misses 2-pt shot from 20 ft
5:56.0,Defensive rebound by M. Chriss,,32-45,,
5:45.0,T. Warren makes 2-pt shot at rim (assist by A. Len),2,34-45,,
5:33.0,Technical foul by A. Len (drawn by J. Smith),,34-45,,
5:33.0,,,34-46,1,J. Smith makes free throw 2 of 2
5:33.0,,,34-47,1,J. Smith makes free throw 1 of 2
5:33.0,,,34-47,,B. Beal enters the game for J. Meeks
5:33.0,T. Chandler enters the game for A. Len,,34-47,,
5:29.0,,,34-47,,Turnover by M. Gortat (discontinued dribble)
5:16.0,Shooting foul by J. Smith (drawn by T. Warren),,34-47,,
5:16.0,T. Warren makes free throw 1 of 2,1,35-47,,
5:16.0,,,35-47,,M. Scott enters the game for J. Smith
5:16.0,T. Warren makes free throw 2 of 2,1,36-47,,
5:04.0,,,36-50,3,B. Beal makes 3-pt shot from 24 ft (assist by M. Scott)
4:41.0,,,36-50,,Personal foul by J. Wall (drawn by T. Daniels)
4:41.0,M. James enters the game for T. Ulis,,36-50,,
4:41.0,D. Booker enters the game for T. Daniels,,36-50,,
4:37.0,T. Warren misses 2-pt shot from 19 ft,,36-50,,
4:33.0,,,36-50,,Defensive rebound by J. Wall
4:32.0,,,36-52,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:17.0,Turnover by M. James (bad pass; steal by J. Wall),,36-52,,
4:12.0,,,36-52,,K. Oubre misses 2-pt shot from 2 ft (block by M. Chriss)
4:11.0,,,36-52,,Offensive rebound by M. Gortat
4:11.0,,,36-54,2,M. Gortat makes 2-pt shot from 2 ft
4:11.0,Phoenix full timeout,,36-54,,
4:11.0,D. Bender enters the game for M. Chriss,,36-54,,
3:53.0,D. Booker makes 3-pt shot from 25 ft (assist by M. James),3,39-54,,
3:33.0,,,39-54,,Turnover by K. Oubre (bad pass; steal by T. Warren)
3:16.0,D. Bender misses 3-pt shot from 23 ft,,39-54,,
3:13.0,,,39-54,,Defensive rebound by M. Scott
3:04.0,,,39-54,,J. Wall misses 2-pt shot from 16 ft
3:02.0,,,39-54,,Offensive rebound by M. Gortat
3:02.0,Personal foul by T. Chandler (drawn by M. Gortat),,39-54,,
3:02.0,,,39-54,,M. Gortat misses free throw 1 of 2
3:02.0,,,39-54,,Offensive rebound by Team
3:02.0,,,39-55,1,M. Gortat makes free throw 2 of 2
2:38.0,D. Bender misses 2-pt shot from 2 ft (block by J. Wall),,39-55,,
2:38.0,,,39-55,,Defensive rebound by Team
2:37.0,Turnover by Team (shot clock),,39-55,,
2:27.0,,,39-55,,Offensive foul by M. Gortat (drawn by T. Chandler)
2:27.0,,,39-55,,Turnover by M. Gortat (offensive foul)
2:03.0,D. Bender makes 2-pt shot from 3 ft (assist by D. Booker),2,41-55,,
1:51.0,,,41-57,2,J. Wall makes 2-pt shot at rim
1:44.0,T. Warren misses 2-pt shot from 4 ft,,41-57,,
1:40.0,Offensive rebound by D. Bender,,41-57,,
1:40.0,D. Bender misses 2-pt shot at rim,,41-57,,
1:40.0,,,41-57,,Defensive rebound by M. Gortat
1:36.0,,,41-57,,J. Wall misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by T. Warren,,41-57,,
1:29.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Warren),3,44-57,,
1:15.0,Personal foul by D. Booker (drawn by B. Beal),,44-57,,
1:15.0,,,44-58,1,B. Beal makes free throw 1 of 2
1:15.0,,,44-59,1,B. Beal makes free throw 2 of 2
1:01.0,,,44-59,,Personal foul by J. Wall (drawn by D. Booker)
1:01.0,D. Booker makes free throw 1 of 2,1,45-59,,
1:01.0,D. Booker makes free throw 2 of 2,1,46-59,,
0:51.0,,,46-61,2,J. Wall makes 2-pt shot from 1 ft
0:51.0,,,46-61,,Technical foul by J. Wall
0:51.0,D. Booker makes technical free throw,1,47-61,,
0:44.0,Shooting foul by M. Scott (drawn by D. Booker),,47-61,,
0:44.0,D. Booker makes free throw 1 of 2,1,48-61,,
0:44.0,D. Booker makes free throw 2 of 2,1,49-61,,
0:36.0,,,49-61,,Turnover by J. Wall (bad pass; steal by D. Booker)
0:32.0,Shooting foul by B. Beal (drawn by M. James),,49-61,,
0:32.0,M. James misses free throw 1 of 2,,49-61,,
0:32.0,Offensive rebound by Team,,49-61,,
0:32.0,M. James makes free throw 2 of 2,1,50-61,,
0:12.0,,,50-64,3,B. Beal makes 3-pt shot from 25 ft
0:02.0,D. Booker makes 2-pt shot from 8 ft,2,52-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-64,,Turnover by J. Wall (bad pass; steal by M. Chriss)
11:41.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,54-64,,
11:23.0,,,54-64,,B. Beal misses 2-pt shot from 11 ft
11:21.0,Defensive rebound by M. James,,54-64,,
11:15.0,T. Warren makes 2-pt shot from 1 ft (assist by M. James),2,56-64,,
11:03.0,,,56-64,,B. Beal misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by M. Chriss,,56-64,,
10:39.0,D. Booker makes 3-pt shot from 23 ft (assist by M. James),3,59-64,,
10:33.0,,,59-66,2,J. Wall makes 2-pt shot from 8 ft
10:33.0,,,59-66,,Shooting foul by M. James (drawn by J. Wall)
10:33.0,,,59-66,,J. Wall misses free throw 1 of 1
10:29.0,,,59-66,,Offensive rebound by J. Smith
10:26.0,,,59-66,,Turnover by K. Oubre (bad pass)
10:11.0,T. Warren makes 2-pt shot from 1 ft (assist by M. Chriss),2,61-66,,
10:10.0,,,61-66,,Washington full timeout
9:56.0,,,61-66,,J. Smith misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by T. Warren,,61-66,,
9:36.0,M. Chriss misses 3-pt shot from 23 ft,,61-66,,
9:32.0,,,61-66,,Defensive rebound by J. Wall
9:16.0,,,61-66,,M. Gortat misses 2-pt shot from 8 ft (block by T. Warren)
9:12.0,,,61-66,,Offensive rebound by K. Oubre
9:11.0,,,61-66,,B. Beal misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by M. James,,61-66,,
9:05.0,T. Chandler makes 2-pt shot at rim (assist by M. James),2,63-66,,
8:50.0,,,63-68,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
8:31.0,,,63-68,,Personal foul by K. Oubre (drawn by T. Warren)
8:28.0,D. Booker misses 2-pt shot from 18 ft,,63-68,,
8:27.0,,,63-68,,Defensive rebound by Team
8:27.0,Loose ball foul by T. Chandler (drawn by M. Gortat),,63-68,,
8:16.0,,,63-68,,J. Wall misses 2-pt shot from 14 ft
8:12.0,Defensive rebound by M. Chriss,,63-68,,
8:06.0,M. James misses 2-pt shot from 17 ft,,63-68,,
8:03.0,,,63-68,,Defensive rebound by J. Smith
8:01.0,,,63-70,2,J. Wall makes 2-pt shot at rim (assist by J. Smith)
8:01.0,,,63-70,,Shooting foul by M. James (drawn by J. Wall)
8:01.0,,,63-70,,J. Wall misses free throw 1 of 1
7:57.0,Defensive rebound by T. Warren,,63-70,,
7:51.0,T. Warren makes 2-pt shot from 19 ft (assist by M. Chriss),2,65-70,,
7:37.0,,,65-73,3,B. Beal makes 3-pt shot from 25 ft
7:21.0,D. Booker makes 2-pt shot at rim,2,67-73,,
7:08.0,,,67-73,,B. Beal misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by T. Warren,,67-73,,
7:00.0,T. Warren misses 2-pt shot from 21 ft,,67-73,,
6:57.0,,,67-73,,Defensive rebound by B. Beal
6:50.0,,,67-75,2,B. Beal makes 2-pt shot from 7 ft
6:23.0,M. James makes 3-pt shot from 29 ft,3,70-75,,
6:09.0,,,70-75,,Turnover by J. Wall (bad pass; steal by M. Chriss)
5:56.0,T. Warren makes 2-pt shot from 2 ft (assist by M. Chriss),2,72-75,,
5:56.0,Shooting foul by K. Oubre (drawn by T. Warren),,72-75,,
5:56.0,,,72-75,,T. Satoransky enters the game for K. Oubre
5:56.0,A. Len enters the game for T. Chandler,,72-75,,
5:56.0,T. Warren makes free throw 1 of 1,1,73-75,,
5:37.0,,,73-77,2,J. Smith makes 2-pt shot from 19 ft (assist by T. Satoransky)
5:17.0,Shooting foul by T. Satoransky (drawn by T. Warren),,73-77,,
5:17.0,T. Warren makes free throw 1 of 2,1,74-77,,
5:17.0,T. Warren makes free throw 2 of 2,1,75-77,,
5:00.0,,,75-77,,B. Beal misses 2-pt shot from 14 ft
4:59.0,,,75-77,,Offensive rebound by Team
4:59.0,Personal foul by A. Len (drawn by M. Gortat),,75-77,,
4:46.0,,,75-77,,T. Satoransky misses 3-pt shot from 23 ft
4:41.0,Defensive rebound by M. Chriss,,75-77,,
4:27.0,M. Chriss misses 2-pt shot from 20 ft,,75-77,,
4:25.0,,,75-77,,Defensive rebound by M. Gortat
4:13.0,,,75-77,,J. Wall misses 2-pt shot from 15 ft
4:11.0,Defensive rebound by M. Chriss,,75-77,,
4:09.0,Turnover by M. Chriss (bad pass),,75-77,,
3:49.0,,,75-77,,Shooting foul by A. Len (drawn by B. Beal)
3:49.0,,,75-78,1,B. Beal makes free throw 1 of 2
3:49.0,,,75-78,,M. Scott enters the game for J. Smith
3:49.0,T. Chandler enters the game for M. Chriss,,75-78,,
3:49.0,D. Bender enters the game for A. Len,,75-78,,
3:49.0,,,75-79,1,B. Beal makes free throw 2 of 2
3:31.0,Shooting foul by T. Satoransky (drawn by M. James),,75-79,,
3:31.0,M. James misses free throw 1 of 2,,75-79,,
3:31.0,Offensive rebound by Team,,75-79,,
3:31.0,M. James makes free throw 2 of 2,1,76-79,,
3:13.0,,,76-79,,T. Satoransky misses 2-pt shot from 12 ft
3:10.0,,,76-79,,Offensive rebound by T. Satoransky
3:09.0,,,76-82,3,J. Wall makes 3-pt shot from 25 ft (assist by T. Satoransky)
2:49.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,78-82,,
2:33.0,,,78-84,2,J. Wall makes 2-pt shot at rim
2:21.0,D. Bender makes 3-pt shot from 24 ft (assist by M. James),3,81-84,,
2:05.0,,,81-84,,B. Beal misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by D. Bender,,81-84,,
1:57.0,M. James misses 3-pt shot from 24 ft,,81-84,,
1:53.0,,,81-84,,Defensive rebound by M. Gortat
1:47.0,Def 3 sec tech foul by T. Chandler,,81-84,,
1:47.0,Phoenix full timeout,,81-84,,
1:47.0,,,81-84,,T. Frazier enters the game for J. Wall
1:47.0,T. Daniels enters the game for D. Booker,,81-84,,
1:47.0,T. Ulis enters the game for M. James,,81-84,,
1:47.0,,,81-84,,B. Beal misses technical free throw
1:47.0,,,81-84,,Offensive rebound by Team
1:41.0,,,81-84,,B. Beal misses 2-pt shot from 19 ft
1:37.0,Defensive rebound by T. Warren,,81-84,,
1:16.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,83-84,,
0:59.0,,,83-86,2,T. Satoransky makes 2-pt shot at rim
0:51.0,,,83-86,,Personal foul by T. Frazier (drawn by T. Ulis)
0:51.0,T. Ulis makes free throw 1 of 2,1,84-86,,
0:51.0,T. Ulis makes free throw 2 of 2,1,85-86,,
0:41.0,Personal foul by T. Daniels (drawn by B. Beal),,85-86,,
0:41.0,,,85-87,1,B. Beal makes free throw 1 of 2
0:41.0,,,85-88,1,B. Beal makes free throw 2 of 2
0:32.0,T. Warren makes 2-pt shot from 16 ft,2,87-88,,
0:09.0,,,87-90,2,B. Beal makes 2-pt shot from 8 ft
0:01.0,D. Bender misses 2-pt shot from 17 ft,,87-90,,
0:01.0,Offensive rebound by Team,,87-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis),3,90-90,,
11:24.0,,,90-90,,J. Meeks misses 2-pt shot from 12 ft
11:21.0,Defensive rebound by D. Bender,,90-90,,
11:15.0,T. Ulis misses 2-pt shot from 16 ft,,90-90,,
11:12.0,,,90-90,,Defensive rebound by M. Scott
11:06.0,,,90-90,,T. Frazier misses 2-pt shot from 6 ft (block by D. Bender)
11:02.0,Defensive rebound by T. Daniels,,90-90,,
10:46.0,Shooting foul by I. Mahinmi (drawn by T. Ulis),,90-90,,
10:46.0,T. Ulis makes free throw 1 of 2,1,91-90,,
10:46.0,T. Ulis makes free throw 2 of 2,1,92-90,,
10:30.0,,,92-90,,I. Mahinmi misses 2-pt shot from 9 ft
10:28.0,Defensive rebound by D. Bender,,92-90,,
10:23.0,Turnover by T. Ulis (bad pass; steal by T. Frazier),,92-90,,
10:18.0,,,92-92,2,J. Meeks makes 2-pt shot from 1 ft (assist by T. Frazier)
10:05.0,Turnover by T. Ulis (traveling),,92-92,,
9:50.0,,,92-92,,Turnover by J. Meeks (bad pass)
9:41.0,D. Bender makes 2-pt shot from 1 ft,2,94-92,,
9:41.0,Shooting foul by M. Scott (drawn by D. Bender),,94-92,,
9:41.0,D. Bender makes free throw 1 of 1,1,95-92,,
9:29.0,,,95-94,2,T. Frazier makes 2-pt shot from 15 ft
9:18.0,T. Ulis makes 2-pt shot from 16 ft,2,97-94,,
8:54.0,,,97-94,,T. Frazier misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by D. Bender,,97-94,,
8:42.0,D. Bender misses 3-pt shot from 25 ft,,97-94,,
8:37.0,,,97-94,,Defensive rebound by T. Frazier
8:33.0,,,97-94,,T. Frazier misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by J. Jackson,,97-94,,
8:32.0,,,97-94,,Personal foul by T. Satoransky (drawn by J. Jackson)
8:32.0,,,97-94,,J. Wall enters the game for T. Frazier
8:23.0,T. Chandler makes 2-pt shot at rim (assist by T. Ulis),2,99-94,,
8:21.0,,,99-94,,Washington full timeout
8:21.0,,,99-94,,B. Beal enters the game for T. Satoransky
8:05.0,Personal foul by J. Jackson (drawn by B. Beal),,99-94,,
7:57.0,,,99-94,,B. Beal misses 2-pt shot from 20 ft
7:57.0,,,99-94,,Offensive rebound by Team
7:57.0,Loose ball foul by J. Jackson (drawn by I. Mahinmi),,99-94,,
7:53.0,,,99-96,2,J. Wall makes 2-pt shot from 1 ft (assist by I. Mahinmi)
7:24.0,T. Ulis misses 2-pt shot from 9 ft,,99-96,,
7:18.0,Offensive rebound by T. Chandler,,99-96,,
7:18.0,T. Chandler makes 2-pt shot at rim,2,101-96,,
7:14.0,,,101-96,,Washington full timeout
7:06.0,,,101-98,2,B. Beal makes 2-pt shot from 15 ft (assist by J. Meeks)
6:51.0,Offensive foul by J. Jackson (drawn by J. Wall),,101-98,,
6:51.0,Turnover by J. Jackson (offensive foul),,101-98,,
6:51.0,D. Booker enters the game for J. Jackson,,101-98,,
6:51.0,T. Warren enters the game for T. Daniels,,101-98,,
6:41.0,,,101-98,,M. Gortat enters the game for I. Mahinmi
6:36.0,,,101-98,,Shooting foul by T. Chandler (drawn by B. Beal)
6:36.0,,,101-99,1,B. Beal makes free throw 1 of 2
6:36.0,,,101-100,1,B. Beal makes free throw 2 of 2
6:21.0,T. Ulis misses 2-pt shot from 17 ft,,101-100,,
6:17.0,,,101-100,,Defensive rebound by B. Beal
6:15.0,,,101-100,,Offensive foul by M. Gortat (drawn by T. Ulis)
6:15.0,,,101-100,,Turnover by M. Gortat (offensive foul)
6:15.0,,,101-100,,K. Oubre enters the game for J. Meeks
5:56.0,D. Booker misses 2-pt shot from 19 ft,,101-100,,
5:53.0,,,101-100,,Defensive rebound by J. Wall
5:51.0,,,101-100,,Offensive charge foul by J. Wall (drawn by D. Booker)
5:51.0,,,101-100,,Turnover by J. Wall (offensive foul)
5:35.0,Shooting foul by M. Gortat (drawn by T. Warren),,101-100,,
5:35.0,T. Warren misses free throw 1 of 2,,101-100,,
5:35.0,Offensive rebound by Team,,101-100,,
5:35.0,M. James enters the game for T. Ulis,,101-100,,
5:35.0,T. Warren misses free throw 2 of 2,,101-100,,
5:33.0,,,101-100,,Defensive rebound by M. Gortat
5:24.0,Phoenix full timeout,,101-100,,
5:24.0,M. Chriss enters the game for T. Chandler,,101-100,,
5:24.0,A. Len enters the game for D. Bender,,101-100,,
5:23.0,,,101-102,2,J. Wall makes 2-pt shot at rim
5:13.0,D. Booker misses 3-pt shot from 25 ft,,101-102,,
5:08.0,Offensive rebound by A. Len,,101-102,,
