time,Milwaukee,pts.away,score,pts.home,Denver
3:17.0,,,20-14,,P. Millsap misses 2-pt shot from 6 ft
3:15.0,Defensive rebound by K. Middleton,,20-14,,
3:10.0,K. Middleton misses 2-pt shot from 5 ft,,20-14,,
3:07.0,Offensive rebound by Team,,20-14,,
3:07.0,,,20-14,,J. Hernangomez enters the game for T. Craig
3:07.0,,,20-14,,J. Murray enters the game for P. Millsap
3:07.0,,,20-14,,N. Jokic enters the game for W. Barton
3:01.0,J. Parker makes 3-pt shot from 23 ft (assist by T. Zeller),3,23-14,,
2:59.0,,,23-14,,Denver full timeout
2:59.0,,,23-14,,T. Lyles enters the game for M. Plumlee
2:59.0,G. Antetokounmpo enters the game for K. Middleton,,23-14,,
2:46.0,,,23-14,,N. Jokic misses 2-pt shot from 7 ft
2:44.0,Defensive rebound by G. Antetokounmpo,,23-14,,
2:36.0,E. Bledsoe misses 2-pt shot from 4 ft,,23-14,,
2:34.0,Offensive rebound by E. Bledsoe,,23-14,,
2:29.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,25-14,,
2:13.0,,,25-14,,T. Lyles misses 2-pt shot from 4 ft
2:13.0,,,25-14,,Offensive rebound by J. Hernangomez
2:10.0,,,25-14,,Turnover by J. Hernangomez (bad pass; steal by J. Terry)
2:07.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,27-14,,
1:54.0,,,27-17,3,J. Murray makes 3-pt shot from 25 ft
1:36.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,27-17,,
1:34.0,,,27-17,,Defensive rebound by N. Jokic
1:24.0,,,27-20,3,J. Murray makes 3-pt shot from 25 ft (assist by T. Lyles)
1:03.0,G. Antetokounmpo makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,30-20,,
0:51.0,,,30-20,,J. Hernangomez misses 3-pt shot from 22 ft
0:48.0,,,30-20,,Offensive rebound by T. Lyles
0:47.0,,,30-20,,T. Lyles misses 2-pt shot from 2 ft
0:46.0,Defensive rebound by T. Zeller,,30-20,,
0:31.0,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,32-20,,
0:19.0,,,32-22,2,N. Jokic makes 2-pt shot from 5 ft (assist by J. Murray)
0:05.0,,,32-22,,Personal foul by J. Murray (drawn by E. Bledsoe)
0:05.0,,,32-22,,M. Beasley enters the game for J. Murray
0:05.0,,,32-22,,T. Craig enters the game for T. Lyles
0:05.0,,,32-22,,M. Plumlee enters the game for N. Jokic
0:01.0,J. Parker makes 2-pt shot from 1 ft,2,34-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,36-22,,
11:25.0,,,36-22,,Turnover by D. Harris (bad pass)
11:02.0,J. Terry misses 3-pt shot from 22 ft,,36-22,,
10:59.0,,,36-22,,Defensive rebound by J. Murray
10:49.0,,,36-25,3,J. Hernangomez makes 3-pt shot from 22 ft (assist by N. Jokic)
10:36.0,,,36-25,,Personal foul by J. Hernangomez (drawn by G. Antetokounmpo)
10:25.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,36-25,,
10:22.0,,,36-25,,Defensive rebound by T. Lyles
10:12.0,,,36-25,,D. Harris misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by J. Parker,,36-25,,
10:03.0,T. Zeller misses 2-pt shot from 3 ft (block by N. Jokic),,36-25,,
10:00.0,Offensive rebound by T. Zeller,,36-25,,
9:57.0,J. Parker misses 2-pt shot from 16 ft,,36-25,,
9:55.0,,,36-25,,Defensive rebound by T. Lyles
9:49.0,,,36-25,,Shooting foul by T. Zeller (drawn by N. Jokic)
9:49.0,,,36-26,1,N. Jokic makes free throw 1 of 2
9:49.0,,,36-27,1,N. Jokic makes free throw 2 of 2
9:29.0,B. Jennings misses 3-pt shot from 24 ft,,36-27,,
9:26.0,,,36-27,,Defensive rebound by T. Lyles
9:11.0,,,36-30,3,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray)
8:53.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,38-30,,
8:44.0,,,38-32,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray)
8:44.0,,,38-32,,Shooting foul by J. Terry (drawn by N. Jokic)
8:44.0,,,38-32,,W. Barton enters the game for J. Murray
8:44.0,,,38-33,1,N. Jokic makes free throw 1 of 1
8:33.0,Turnover by G. Antetokounmpo (bad pass),,38-33,,
8:23.0,,,38-35,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
8:23.0,Milwaukee full timeout,,38-35,,
8:23.0,S. Brown enters the game for B. Jennings,,38-35,,
8:23.0,T. Snell enters the game for J. Parker,,38-35,,
8:15.0,,,38-35,,Personal foul by D. Harris (drawn by G. Antetokounmpo)
8:07.0,Shooting foul by J. Hernangomez (drawn by T. Zeller),,38-35,,
8:07.0,T. Zeller makes free throw 1 of 2,1,39-35,,
8:07.0,T. Zeller makes free throw 2 of 2,1,40-35,,
7:51.0,Def 3 sec tech foul by G. Antetokounmpo,,40-35,,
7:51.0,,,40-36,1,W. Barton makes technical free throw
7:38.0,,,40-36,,W. Barton misses 3-pt shot from 24 ft
7:34.0,,,40-36,,Offensive rebound by W. Barton
7:32.0,,,40-38,2,W. Barton makes 2-pt shot from 2 ft
7:22.0,T. Snell misses 3-pt shot from 24 ft,,40-38,,
7:22.0,,,40-38,,Defensive rebound by T. Lyles
7:15.0,,,40-38,,Shooting foul by J. Terry (drawn by D. Harris)
7:15.0,,,40-39,1,D. Harris makes free throw 1 of 2
7:15.0,,,40-39,,P. Millsap enters the game for N. Jokic
7:15.0,K. Middleton enters the game for J. Terry,,40-39,,
7:15.0,,,40-40,1,D. Harris makes free throw 2 of 2
7:01.0,S. Brown misses 2-pt shot from 3 ft,,40-40,,
6:57.0,,,40-40,,Defensive rebound by P. Millsap
6:49.0,,,40-40,,D. Harris misses 3-pt shot from 22 ft
6:44.0,,,40-40,,Offensive rebound by T. Lyles
6:43.0,,,40-43,3,P. Millsap makes 3-pt shot from 22 ft (assist by W. Barton)
6:22.0,K. Middleton misses 2-pt shot from 17 ft,,40-43,,
6:21.0,Offensive rebound by T. Zeller,,40-43,,
6:16.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,40-43,,
6:13.0,Offensive rebound by G. Antetokounmpo,,40-43,,
6:11.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by T. Lyles),,40-43,,
6:09.0,,,40-43,,Defensive rebound by T. Lyles
6:07.0,,,40-43,,J. Hernangomez misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by G. Antetokounmpo,,40-43,,
6:00.0,Shooting foul by J. Hernangomez (drawn by G. Antetokounmpo),,40-43,,
6:00.0,G. Antetokounmpo misses free throw 1 of 2,,40-43,,
6:00.0,Offensive rebound by Team,,40-43,,
6:00.0,,,40-43,,T. Craig enters the game for J. Hernangomez
6:00.0,J. Henson enters the game for T. Zeller,,40-43,,
6:00.0,G. Antetokounmpo makes free throw 2 of 2,1,41-43,,
5:45.0,,,41-43,,Shooting foul by T. Snell (drawn by T. Lyles)
5:45.0,,,41-44,1,T. Lyles makes free throw 1 of 2
5:45.0,,,41-44,,J. Murray enters the game for D. Harris
5:45.0,E. Bledsoe enters the game for S. Brown,,41-44,,
5:45.0,J. Parker enters the game for G. Antetokounmpo,,41-44,,
5:45.0,,,41-45,1,T. Lyles makes free throw 2 of 2
5:32.0,K. Middleton misses 2-pt shot from 1 ft,,41-45,,
5:30.0,,,41-45,,Defensive rebound by T. Lyles
5:27.0,,,41-45,,W. Barton misses 3-pt shot from 24 ft
5:23.0,,,41-45,,Offensive rebound by T. Craig
5:23.0,,,41-45,,Shooting foul by J. Henson (drawn by T. Lyles)
5:23.0,,,41-46,1,T. Lyles makes free throw 1 of 2
5:23.0,T. Zeller enters the game for J. Henson,,41-46,,
5:23.0,,,41-47,1,T. Lyles makes free throw 2 of 2
5:10.0,J. Parker misses 2-pt shot from 2 ft (block by P. Millsap),,41-47,,
5:07.0,,,41-47,,Defensive rebound by W. Barton
4:58.0,,,41-47,,Shooting foul by K. Middleton (drawn by P. Millsap)
4:58.0,,,41-48,1,P. Millsap makes free throw 1 of 2
4:58.0,,,41-49,1,P. Millsap makes free throw 2 of 2
4:48.0,E. Bledsoe misses 2-pt shot at rim,,41-49,,
4:46.0,,,41-49,,Defensive rebound by T. Craig
4:43.0,,,41-49,,J. Murray misses 3-pt shot from 24 ft
4:41.0,,,41-49,,Offensive rebound by P. Millsap
4:40.0,,,41-49,,Shooting foul by K. Middleton (drawn by T. Lyles)
4:40.0,,,41-50,1,T. Lyles makes free throw 1 of 2
4:40.0,,,41-51,1,T. Lyles makes free throw 2 of 2
4:26.0,K. Middleton misses 2-pt shot from 1 ft (block by T. Lyles),,41-51,,
4:23.0,Offensive rebound by T. Zeller,,41-51,,
4:23.0,T. Zeller misses 2-pt shot at rim,,41-51,,
4:22.0,,,41-51,,Defensive rebound by W. Barton
4:19.0,Personal foul by J. Parker (drawn by P. Millsap),,41-51,,
4:19.0,,,41-52,1,P. Millsap makes free throw 1 of 2
4:19.0,,,41-52,,P. Millsap misses free throw 2 of 2
4:19.0,Defensive rebound by J. Parker,,41-52,,
4:19.0,Milwaukee full timeout,,41-52,,
4:19.0,G. Antetokounmpo enters the game for T. Zeller,,41-52,,
4:10.0,,,41-52,,Personal foul by W. Barton (drawn by K. Middleton)
4:10.0,K. Middleton makes free throw 1 of 2,1,42-52,,
4:10.0,K. Middleton makes free throw 2 of 2,1,43-52,,
3:54.0,,,43-54,2,J. Murray makes 2-pt shot from 2 ft (assist by W. Barton)
3:30.0,Shooting foul by T. Craig (drawn by E. Bledsoe),,43-54,,
3:30.0,E. Bledsoe makes free throw 1 of 3,1,44-54,,
3:30.0,E. Bledsoe makes free throw 2 of 3,1,45-54,,
3:30.0,E. Bledsoe makes free throw 3 of 3,1,46-54,,
3:04.0,,,46-56,2,P. Millsap makes 2-pt shot from 2 ft (assist by T. Lyles)
2:47.0,E. Bledsoe makes 2-pt shot from 1 ft,2,48-56,,
2:41.0,Technical foul by E. Bledsoe,,48-56,,
2:41.0,,,48-57,1,J. Murray makes technical free throw
2:41.0,,,48-57,,N. Jokic enters the game for T. Lyles
2:30.0,,,48-57,,N. Jokic misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by J. Parker,,48-57,,
2:07.0,E. Bledsoe misses 3-pt shot from 25 ft,,48-57,,
2:04.0,,,48-57,,Defensive rebound by W. Barton
1:57.0,,,48-59,2,N. Jokic makes 2-pt shot from 5 ft (assist by P. Millsap)
1:57.0,,,48-59,,Shooting foul by G. Antetokounmpo (drawn by N. Jokic)
1:57.0,,,48-59,,D. Harris enters the game for J. Murray
1:57.0,,,48-60,1,N. Jokic makes free throw 1 of 1
1:46.0,E. Bledsoe misses 3-pt shot from 26 ft,,48-60,,
1:43.0,,,48-60,,Defensive rebound by W. Barton
1:28.0,,,48-60,,Turnover by T. Craig (bad pass; steal by J. Parker)
1:21.0,T. Snell misses 2-pt shot from 2 ft,,48-60,,
1:16.0,Offensive rebound by G. Antetokounmpo,,48-60,,
1:16.0,G. Antetokounmpo makes 2-pt shot at rim,2,50-60,,
1:05.0,,,50-60,,Shooting foul by E. Bledsoe (drawn by W. Barton)
1:05.0,,,50-60,,W. Barton misses free throw 1 of 2
1:05.0,,,50-60,,Offensive rebound by Team
1:05.0,,,50-60,,M. Beasley enters the game for T. Craig
1:05.0,,,50-61,1,W. Barton makes free throw 2 of 2
0:52.0,J. Parker makes 2-pt shot from 1 ft,2,52-61,,
0:40.0,,,52-61,,Offensive foul by N. Jokic (drawn by G. Antetokounmpo)
0:40.0,,,52-61,,Turnover by N. Jokic (offensive foul)
0:29.0,Shooting foul by N. Jokic (drawn by J. Parker),,52-61,,
0:29.0,J. Parker makes free throw 1 of 2,1,53-61,,
0:29.0,,,53-61,,T. Lyles enters the game for N. Jokic
0:29.0,J. Parker makes free throw 2 of 2,1,54-61,,
0:05.0,,,54-61,,W. Barton misses 2-pt shot from 5 ft
0:04.0,,,54-61,,Offensive rebound by P. Millsap
0:03.0,,,54-61,,P. Millsap misses 2-pt shot from 3 ft
0:01.0,,,54-61,,Offensive rebound by W. Barton
0:01.0,,,54-61,,Shooting foul by K. Middleton (drawn by W. Barton)
0:01.0,,,54-62,1,W. Barton makes free throw 1 of 2
0:01.0,,,54-63,1,W. Barton makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,K. Middleton misses 3-pt shot from 24 ft,,54-63,,
11:46.0,,,54-63,,Defensive rebound by W. Barton
11:40.0,Personal foul by J. Henson (drawn by N. Jokic),,54-63,,
11:31.0,,,54-63,,Turnover by N. Jokic (bad pass; steal by E. Bledsoe)
11:25.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,56-63,,
11:11.0,,,56-63,,J. Murray misses 2-pt shot from 5 ft
11:11.0,Defensive rebound by G. Antetokounmpo,,56-63,,
11:03.0,,,56-63,,Personal foul by J. Murray (drawn by E. Bledsoe)
10:49.0,Shooting foul by J. Murray (drawn by G. Antetokounmpo),,56-63,,
10:49.0,G. Antetokounmpo makes free throw 1 of 2,1,57-63,,
10:49.0,,,57-63,,D. Harris enters the game for J. Murray
10:49.0,G. Antetokounmpo makes free throw 2 of 2,1,58-63,,
10:34.0,,,58-63,,P. Millsap misses 2-pt shot from 13 ft
10:31.0,,,58-63,,Offensive rebound by P. Millsap
10:31.0,,,58-65,2,P. Millsap makes 2-pt shot from 1 ft
10:21.0,E. Bledsoe misses 3-pt shot from 25 ft,,58-65,,
10:17.0,Offensive rebound by J. Henson,,58-65,,
10:15.0,,,58-65,,Shooting block foul by P. Millsap (drawn by G. Antetokounmpo)
10:15.0,G. Antetokounmpo misses free throw 1 of 2,,58-65,,
10:15.0,Offensive rebound by Team,,58-65,,
10:15.0,G. Antetokounmpo misses free throw 2 of 2,,58-65,,
10:14.0,,,58-65,,Defensive rebound by N. Jokic
10:02.0,,,58-65,,Turnover by D. Harris (bad pass; steal by T. Snell)
9:59.0,Offensive charge foul by G. Antetokounmpo (drawn by P. Millsap),,58-65,,
9:59.0,Turnover by G. Antetokounmpo (offensive foul),,58-65,,
9:46.0,Personal foul by G. Antetokounmpo (drawn by P. Millsap),,58-65,,
9:35.0,,,58-65,,P. Millsap misses 2-pt shot from 10 ft
9:31.0,Defensive rebound by E. Bledsoe,,58-65,,
9:26.0,E. Bledsoe misses 2-pt shot from 17 ft,,58-65,,
9:23.0,,,58-65,,Defensive rebound by N. Jokic
9:15.0,,,58-65,,W. Barton misses 2-pt shot from 2 ft (block by J. Henson)
9:15.0,Defensive rebound by G. Antetokounmpo,,58-65,,
9:07.0,K. Middleton makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,61-65,,
9:07.0,,,61-65,,Denver full timeout
8:56.0,Away from play foul by T. Snell (drawn by W. Barton),,61-65,,
8:46.0,,,61-65,,D. Harris misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by G. Antetokounmpo,,61-65,,
8:37.0,Offensive foul by G. Antetokounmpo (drawn by P. Millsap),,61-65,,
8:37.0,Turnover by G. Antetokounmpo (offensive foul),,61-65,,
8:20.0,,,61-65,,D. Harris misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by K. Middleton,,61-65,,
8:02.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by T. Snell),3,64-65,,
7:41.0,,,64-65,,N. Jokic misses 2-pt shot from 11 ft
7:38.0,Defensive rebound by G. Antetokounmpo,,64-65,,
7:31.0,E. Bledsoe makes 3-pt shot from 24 ft,3,67-65,,
7:29.0,,,67-65,,Denver full timeout
7:29.0,,,67-65,,J. Hernangomez enters the game for T. Craig
7:29.0,T. Zeller enters the game for T. Snell,,67-65,,
7:29.0,J. Parker enters the game for J. Henson,,67-65,,
7:13.0,,,67-68,3,D. Harris makes 3-pt shot from 23 ft (assist by J. Hernangomez)
6:55.0,J. Parker makes 2-pt shot from 13 ft,2,69-68,,
6:44.0,,,69-70,2,W. Barton makes 2-pt shot from 2 ft
6:33.0,Turnover by K. Middleton (out of bounds lost ball),,69-70,,
6:18.0,,,69-70,,D. Harris misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by G. Antetokounmpo,,69-70,,
6:09.0,J. Parker makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,71-70,,
5:47.0,,,71-70,,Turnover by P. Millsap (lost ball; steal by J. Parker)
5:41.0,E. Bledsoe misses 2-pt shot from 2 ft,,71-70,,
5:39.0,,,71-70,,Defensive rebound by N. Jokic
5:35.0,,,71-70,,P. Millsap misses 3-pt shot from 23 ft
5:31.0,Defensive rebound by K. Middleton,,71-70,,
5:25.0,J. Parker misses 2-pt shot from 2 ft (block by N. Jokic),,71-70,,
5:22.0,Offensive rebound by J. Parker,,71-70,,
5:20.0,J. Parker makes 2-pt shot from 1 ft,2,73-70,,
5:07.0,,,73-70,,Turnover by P. Millsap (bad pass; steal by G. Antetokounmpo)
5:02.0,T. Zeller misses 2-pt shot from 2 ft (block by N. Jokic),,73-70,,
5:02.0,Offensive rebound by T. Zeller,,73-70,,
5:02.0,,,73-70,,Personal foul by P. Millsap (drawn by T. Zeller)
4:54.0,E. Bledsoe makes 2-pt shot from 9 ft,2,75-70,,
4:33.0,,,75-72,2,N. Jokic makes 2-pt shot from 2 ft
4:19.0,Shooting foul by N. Jokic (drawn by T. Zeller),,75-72,,
4:19.0,T. Zeller makes free throw 1 of 2,1,76-72,,
4:19.0,,,76-72,,T. Lyles enters the game for N. Jokic
4:19.0,J. Terry enters the game for G. Antetokounmpo,,76-72,,
4:19.0,T. Zeller makes free throw 2 of 2,1,77-72,,
3:57.0,,,77-72,,J. Hernangomez misses 3-pt shot from 22 ft
3:54.0,Defensive rebound by J. Terry,,77-72,,
3:47.0,T. Zeller makes 2-pt shot from 1 ft (assist by J. Terry),2,79-72,,
3:47.0,Shooting foul by W. Barton (drawn by T. Zeller),,79-72,,
3:47.0,T. Zeller makes free throw 1 of 1,1,80-72,,
3:31.0,,,80-72,,P. Millsap misses 2-pt shot from 4 ft
3:29.0,Defensive rebound by J. Parker,,80-72,,
3:25.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by J. Parker),2,82-72,,
3:08.0,,,82-72,,W. Barton misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by E. Bledsoe,,82-72,,
3:05.0,Shooting foul by D. Harris (drawn by K. Middleton),,82-72,,
3:05.0,K. Middleton misses free throw 1 of 2,,82-72,,
3:05.0,Offensive rebound by Team,,82-72,,
3:05.0,,,82-72,,T. Craig enters the game for P. Millsap
3:05.0,,,82-72,,N. Jokic enters the game for W. Barton
3:05.0,K. Middleton makes free throw 2 of 2,1,83-72,,
2:47.0,,,83-74,2,N. Jokic makes 2-pt shot from 11 ft (assist by T. Lyles)
2:37.0,K. Middleton misses 2-pt shot from 12 ft,,83-74,,
2:33.0,,,83-74,,Defensive rebound by T. Craig
2:16.0,,,83-74,,N. Jokic misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by K. Middleton,,83-74,,
2:07.0,J. Parker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,86-74,,
1:51.0,,,86-74,,N. Jokic misses 2-pt shot from 12 ft
1:47.0,Defensive rebound by E. Bledsoe,,86-74,,
1:40.0,E. Bledsoe makes 2-pt shot from 10 ft,2,88-74,,
1:40.0,,,88-74,,Denver full timeout
1:40.0,,,88-74,,J. Murray enters the game for D. Harris
1:23.0,,,88-77,3,J. Hernangomez makes 3-pt shot from 24 ft (assist by J. Murray)
1:05.0,T. Zeller makes 2-pt shot from 2 ft (assist by K. Middleton),2,90-77,,
0:58.0,Personal foul by J. Terry (drawn by J. Murray),,90-77,,
0:50.0,,,90-77,,Shooting foul by T. Zeller (drawn by T. Lyles)
0:50.0,,,90-77,,T. Lyles misses free throw 1 of 2
0:50.0,,,90-77,,Offensive rebound by Team
0:50.0,,,90-77,,T. Lyles misses free throw 2 of 2
0:46.0,Defensive rebound by J. Parker,,90-77,,
0:33.0,,,90-77,,Personal foul by J. Hernangomez (drawn by E. Bledsoe)
0:33.0,E. Bledsoe makes free throw 1 of 2,1,91-77,,
0:33.0,E. Bledsoe makes free throw 2 of 2,1,92-77,,
0:23.0,,,92-79,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Hernangomez)
0:00.0,K. Middleton misses 2-pt shot from 13 ft,,92-79,,
0:00.0,Offensive rebound by Team,,92-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,92-81,2,N. Jokic makes 2-pt shot from 4 ft
11:29.0,J. Parker makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,95-81,,
11:18.0,Personal foul by T. Zeller (drawn by N. Jokic),,95-81,,
11:12.0,,,95-81,,N. Jokic misses 2-pt shot from 16 ft
11:07.0,Defensive rebound by G. Antetokounmpo,,95-81,,
11:02.0,J. Terry misses 3-pt shot from 22 ft,,95-81,,
10:58.0,,,95-81,,Defensive rebound by T. Craig
10:42.0,,,95-81,,T. Craig misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by J. Parker,,95-81,,
10:26.0,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,97-81,,
10:12.0,,,97-83,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
9:58.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,97-83,,
9:55.0,,,97-83,,Defensive rebound by T. Lyles
9:41.0,Personal foul by J. Terry (drawn by T. Lyles),,97-83,,
9:29.0,,,97-83,,T. Lyles misses 3-pt shot from 22 ft
9:28.0,Defensive rebound by Team,,97-83,,
9:28.0,,,97-83,,Loose ball foul by N. Jokic (drawn by T. Zeller)
9:16.0,J. Parker misses 3-pt shot from 24 ft,,97-83,,
9:14.0,,,97-83,,Defensive rebound by N. Jokic
9:09.0,,,97-83,,T. Lyles misses 3-pt shot from 22 ft
9:07.0,Defensive rebound by Team,,97-83,,
9:07.0,,,97-83,,P. Millsap enters the game for T. Craig
8:51.0,J. Terry misses 3-pt shot from 25 ft,,97-83,,
8:50.0,,,97-83,,Defensive rebound by Team
8:43.0,Personal foul by T. Zeller (drawn by N. Jokic),,97-83,,
8:43.0,J. Henson enters the game for T. Zeller,,97-83,,
8:31.0,,,97-83,,Turnover by N. Jokic (bad pass)
8:31.0,T. Snell enters the game for J. Terry,,97-83,,
8:14.0,T. Snell makes 3-pt shot from 23 ft (assist by S. Brown),3,100-83,,
7:56.0,,,100-83,,Shooting foul by S. Brown (drawn by T. Lyles)
7:56.0,,,100-83,,T. Lyles misses free throw 1 of 2
7:56.0,,,100-83,,Offensive rebound by Team
7:56.0,,,100-83,,W. Barton enters the game for J. Hernangomez
7:56.0,,,100-84,1,T. Lyles makes free throw 2 of 2
7:34.0,G. Antetokounmpo makes 2-pt shot from 22 ft,2,102-84,,
