time,Brooklyn,pts.away,score,pts.home,Golden State
5:12.0,,,14-10,,Defensive rebound by K. Durant
5:08.0,,,14-12,2,K. Durant makes 2-pt shot from 15 ft
4:49.0,J. Harris misses 3-pt shot from 28 ft,,14-12,,
4:46.0,,,14-12,,Defensive rebound by A. Iguodala
4:40.0,,,14-15,3,K. Durant makes 3-pt shot from 24 ft (assist by A. Iguodala)
4:17.0,D. Cunningham misses 2-pt shot from 4 ft,,14-15,,
4:14.0,,,14-15,,Defensive rebound by S. Curry
4:07.0,,,14-17,2,J. Bell makes 2-pt shot from 1 ft (assist by S. Curry)
3:52.0,S. Dinwiddie misses 3-pt shot from 24 ft,,14-17,,
3:48.0,,,14-17,,Defensive rebound by K. Durant
3:46.0,,,14-19,2,J. Bell makes 2-pt shot from 1 ft (assist by K. Durant)
3:25.0,D. Carroll misses 2-pt shot from 7 ft,,14-19,,
3:21.0,,,14-19,,Defensive rebound by J. Bell
3:17.0,,,14-21,2,K. Durant makes 2-pt shot at rim
2:51.0,Turnover by S. Dinwiddie (bad pass; steal by A. Iguodala),,14-21,,
2:47.0,,,14-23,2,A. Iguodala makes 2-pt shot from 1 ft
2:47.0,,,14-23,,Shooting foul by D. Cunningham (drawn by J. Bell)
2:47.0,,,14-23,,Golden State full timeout
2:47.0,,,14-23,,D. Green enters the game for K. Thompson
2:47.0,,,14-23,,N. Young enters the game for K. Durant
2:47.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,14-23,,
2:47.0,C. LeVert enters the game for D. Carroll,,14-23,,
2:47.0,D. Russell enters the game for A. Crabbe,,14-23,,
2:47.0,,,14-24,1,J. Bell makes free throw 1 of 1
2:22.0,J. Harris misses 2-pt shot from 4 ft (block by S. Curry),,14-24,,
2:22.0,Offensive rebound by Team,,14-24,,
2:22.0,Turnover by Team (shot clock),,14-24,,
2:12.0,,,14-24,,Shooting foul by C. LeVert (drawn by S. Curry)
2:12.0,,,14-25,1,S. Curry makes free throw 1 of 3
2:12.0,,,14-26,1,S. Curry makes free throw 2 of 3
2:12.0,,,14-27,1,S. Curry makes free throw 3 of 3
2:03.0,Turnover by J. Harris (bad pass; steal by S. Curry),,14-27,,
1:55.0,,,14-29,2,S. Curry makes 2-pt shot from 7 ft
1:39.0,C. LeVert misses 2-pt shot from 3 ft (block by J. Bell),,14-29,,
1:39.0,Offensive rebound by Team,,14-29,,
1:32.0,Turnover by D. Russell (lost ball; steal by A. Iguodala),,14-29,,
1:24.0,,,14-32,3,S. Curry makes 3-pt shot from 28 ft (assist by A. Iguodala)
1:24.0,Brooklyn full timeout,,14-32,,
1:00.0,Turnover by R. Hollis-Jefferson (lost ball; steal by S. Curry),,14-32,,
0:58.0,,,14-35,3,S. Curry makes 3-pt shot from 27 ft
0:39.0,J. Harris misses 2-pt shot from 3 ft,,14-35,,
0:35.0,Offensive rebound by D. Cunningham,,14-35,,
0:35.0,D. Cunningham makes 2-pt shot at rim,2,16-35,,
0:24.0,,,16-35,,Turnover by D. Green (bad pass; steal by D. Russell)
0:20.0,C. LeVert makes 3-pt shot from 26 ft (assist by D. Russell),3,19-35,,
0:04.0,Personal foul by C. LeVert (drawn by S. Curry),,19-35,,
0:04.0,,,19-35,,K. Durant enters the game for J. Bell
0:04.0,,,19-35,,K. Thompson enters the game for A. Iguodala
0:02.0,,,19-35,,N. Young misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by D. Russell,,19-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,19-35,,
11:38.0,,,19-35,,Defensive rebound by K. Durant
11:32.0,,,19-37,2,S. Livingston makes 2-pt shot from 12 ft
11:08.0,D. Cunningham makes 3-pt shot from 25 ft (assist by C. LeVert),3,22-37,,
10:52.0,,,22-37,,Turnover by D. Green (bad pass)
10:36.0,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert),2,24-37,,
10:36.0,Shooting foul by N. Young (drawn by J. Harris),,24-37,,
10:36.0,J. Harris makes free throw 1 of 1,1,25-37,,
10:26.0,,,25-37,,Turnover by D. Green (bad pass)
10:11.0,Turnover by R. Hollis-Jefferson (bad pass; steal by A. Iguodala),,25-37,,
10:03.0,,,25-37,,Turnover by N. Young (bad pass; steal by C. LeVert)
10:01.0,C. LeVert makes 2-pt shot from 1 ft,2,27-37,,
10:01.0,,,27-37,,Golden State full timeout
9:39.0,,,27-37,,K. Durant misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by C. LeVert,,27-37,,
9:27.0,C. LeVert makes 2-pt shot from 2 ft (assist by D. Cunningham),2,29-37,,
9:09.0,,,29-37,,A. Iguodala misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by D. Cunningham,,29-37,,
8:45.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,29-37,,
8:42.0,,,29-37,,Defensive rebound by K. Durant
8:38.0,,,29-37,,K. Durant misses 2-pt shot from 9 ft
8:34.0,Defensive rebound by R. Hollis-Jefferson,,29-37,,
8:29.0,C. LeVert misses 3-pt shot from 26 ft (block by K. Durant),,29-37,,
8:28.0,Offensive rebound by Team,,29-37,,
8:28.0,,,29-37,,K. Thompson enters the game for N. Young
8:16.0,C. LeVert makes 2-pt shot from 1 ft (assist by J. Harris),2,31-37,,
7:51.0,,,31-37,,K. Thompson misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by D. Russell,,31-37,,
7:35.0,D. Russell makes 2-pt shot from 21 ft,2,33-37,,
7:12.0,,,33-39,2,K. Durant makes 2-pt shot from 7 ft
6:50.0,D. Russell misses 2-pt shot from 9 ft,,33-39,,
6:43.0,,,33-39,,Defensive rebound by A. Iguodala
6:41.0,,,33-39,,Turnover by A. Iguodala (bad pass; steal by C. LeVert)
6:40.0,Shooting foul by A. Iguodala (drawn by C. LeVert),,33-39,,
6:40.0,C. LeVert misses free throw 1 of 2,,33-39,,
6:40.0,Offensive rebound by Team,,33-39,,
6:40.0,,,33-39,,K. Looney enters the game for D. Green
6:40.0,J. Allen enters the game for R. Hollis-Jefferson,,33-39,,
6:40.0,C. LeVert makes free throw 2 of 2,1,34-39,,
6:26.0,,,34-39,,K. Durant misses 2-pt shot from 17 ft
6:20.0,Defensive rebound by C. LeVert,,34-39,,
6:16.0,,,34-39,,Violation by S. Livingston (kicked ball)
6:16.0,,,34-39,,S. Curry enters the game for K. Durant
6:01.0,D. Russell makes 3-pt shot from 25 ft,3,37-39,,
5:45.0,,,37-39,,S. Livingston misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by J. Harris,,37-39,,
5:39.0,D. Cunningham makes 2-pt shot from 2 ft (assist by D. Russell),2,39-39,,
5:29.0,,,39-39,,S. Curry misses 2-pt shot from 13 ft
5:24.0,,,39-39,,Offensive rebound by K. Looney
5:16.0,,,39-42,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
4:59.0,J. Allen makes 2-pt shot from 2 ft (assist by D. Russell),2,41-42,,
4:47.0,,,41-42,,K. Looney misses 2-pt shot from 4 ft
4:43.0,Defensive rebound by C. LeVert,,41-42,,
4:41.0,D. Russell makes 3-pt shot from 27 ft,3,44-42,,
4:24.0,,,44-44,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
4:15.0,Brooklyn full timeout,,44-44,,
4:15.0,,,44-44,,D. Green enters the game for A. Iguodala
4:15.0,,,44-44,,K. Durant enters the game for S. Livingston
4:15.0,S. Dinwiddie enters the game for C. LeVert,,44-44,,
4:01.0,J. Harris misses 3-pt shot from 28 ft,,44-44,,
3:56.0,,,44-44,,Defensive rebound by S. Curry
3:54.0,,,44-44,,D. Green misses 2-pt shot from 1 ft (block by J. Harris)
3:54.0,,,44-44,,Offensive rebound by Team
3:54.0,A. Crabbe enters the game for D. Russell,,44-44,,
3:54.0,D. Carroll enters the game for J. Harris,,44-44,,
3:52.0,,,44-44,,K. Thompson misses 2-pt shot from 14 ft
3:47.0,Defensive rebound by D. Carroll,,44-44,,
3:40.0,D. Carroll makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,47-44,,
3:23.0,Personal foul by D. Carroll (drawn by K. Durant),,47-44,,
3:17.0,,,47-44,,Turnover by K. Durant (bad pass; steal by A. Crabbe)
3:12.0,A. Crabbe misses 3-pt shot from 24 ft,,47-44,,
3:08.0,,,47-44,,Defensive rebound by K. Durant
3:04.0,,,47-44,,Turnover by D. Green (bad pass)
2:40.0,S. Dinwiddie misses 2-pt shot from 7 ft,,47-44,,
2:37.0,,,47-44,,Defensive rebound by D. Green
2:30.0,,,47-46,2,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green)
2:07.0,D. Carroll misses 2-pt shot from 6 ft,,47-46,,
2:04.0,,,47-46,,Defensive rebound by D. Green
2:02.0,,,47-48,2,K. Durant makes 2-pt shot from 6 ft
1:40.0,Turnover by D. Cunningham (bad pass; steal by S. Curry),,47-48,,
1:38.0,,,47-48,,Turnover by S. Curry (bad pass)
1:38.0,,,47-48,,A. Iguodala enters the game for K. Looney
1:38.0,R. Hollis-Jefferson enters the game for D. Cunningham,,47-48,,
1:17.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft,2,49-48,,
1:07.0,,,49-48,,Turnover by S. Curry (turnover)
0:52.0,J. Allen makes 2-pt shot from 11 ft (assist by S. Dinwiddie),2,51-48,,
0:45.0,,,51-48,,D. Green misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by S. Dinwiddie,,51-48,,
0:38.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,53-48,,
0:27.0,,,53-48,,S. Curry misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by Team,,53-48,,
0:06.0,,,53-48,,Personal foul by D. Green (drawn by A. Crabbe)
0:06.0,J. Harris enters the game for R. Hollis-Jefferson,,53-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Carroll misses 3-pt shot from 26 ft,,53-48,,
11:36.0,,,53-48,,Defensive rebound by J. McGee
11:16.0,,,53-50,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Thompson)
10:58.0,Offensive foul by J. Allen (drawn by S. Curry),,53-50,,
10:58.0,Turnover by J. Allen (offensive foul),,53-50,,
10:50.0,,,53-52,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Thompson)
10:27.0,D. Carroll makes 2-pt shot from 14 ft (assist by D. Russell),2,55-52,,
10:18.0,Personal foul by D. Carroll (drawn by D. Green),,55-52,,
10:12.0,,,55-54,2,D. Green makes 2-pt shot from 3 ft (assist by S. Curry)
10:12.0,,,55-54,,Shooting foul by D. Carroll (drawn by D. Green)
10:12.0,,,55-55,1,D. Green makes free throw 1 of 1
10:06.0,Turnover by J. Allen (bad pass; steal by J. McGee),,55-55,,
10:00.0,,,55-57,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Durant)
10:00.0,Brooklyn full timeout,,55-57,,
9:43.0,D. Russell makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,58-57,,
9:29.0,,,58-57,,Turnover by S. Curry (bad pass; steal by S. Dinwiddie)
9:24.0,D. Carroll misses 2-pt shot from 4 ft,,58-57,,
9:17.0,,,58-57,,Defensive rebound by K. Thompson
9:13.0,,,58-59,2,S. Curry makes 2-pt shot from 1 ft
8:57.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,60-59,,
8:43.0,,,60-61,2,S. Curry makes 2-pt shot from 5 ft
8:28.0,A. Crabbe makes 2-pt shot from 15 ft (assist by D. Russell),2,62-61,,
8:20.0,,,62-64,3,K. Durant makes 3-pt shot from 25 ft (assist by D. Green)
8:03.0,D. Carroll misses 3-pt shot from 23 ft,,62-64,,
8:00.0,,,62-64,,Defensive rebound by K. Thompson
7:51.0,,,62-64,,Turnover by D. Green (bad pass; steal by D. Carroll)
7:47.0,A. Crabbe makes 2-pt shot at rim (assist by D. Carroll),2,64-64,,
7:18.0,,,64-64,,S. Curry misses 2-pt shot from 4 ft
7:18.0,Defensive rebound by Team,,64-64,,
6:54.0,D. Carroll misses 3-pt shot from 23 ft,,64-64,,
6:50.0,,,64-64,,Defensive rebound by J. McGee
6:41.0,Personal foul by A. Crabbe (drawn by J. McGee),,64-64,,
6:39.0,,,64-64,,K. Thompson misses 3-pt shot from 27 ft
6:37.0,,,64-64,,Offensive rebound by J. McGee
6:35.0,,,64-66,2,J. McGee makes 2-pt shot from 5 ft
6:09.0,J. Allen misses 2-pt shot from 1 ft,,64-66,,
6:05.0,,,64-66,,Defensive rebound by S. Curry
6:05.0,,,64-66,,Turnover by K. Durant (bad pass)
5:51.0,D. Carroll misses 2-pt shot from 8 ft,,64-66,,
5:46.0,Offensive rebound by D. Carroll,,64-66,,
5:45.0,D. Carroll makes 2-pt shot from 9 ft,2,66-66,,
5:31.0,,,66-68,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
5:13.0,D. Carroll misses 3-pt shot from 25 ft,,66-68,,
5:09.0,,,66-68,,Defensive rebound by S. Curry
5:05.0,,,66-68,,D. Green misses 2-pt shot from 2 ft
4:59.0,Defensive rebound by A. Crabbe,,66-68,,
4:56.0,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie),2,68-68,,
4:48.0,,,68-68,,Golden State full timeout
4:48.0,,,68-68,,J. Bell enters the game for D. Green
4:48.0,,,68-68,,A. Iguodala enters the game for J. McGee
4:48.0,C. LeVert enters the game for J. Allen,,68-68,,
4:48.0,J. Harris enters the game for A. Crabbe,,68-68,,
4:48.0,D. Cunningham enters the game for D. Russell,,68-68,,
4:45.0,Personal foul by S. Dinwiddie (drawn by K. Durant),,68-68,,
4:31.0,,,68-68,,K. Durant misses 2-pt shot from 14 ft
4:26.0,,,68-68,,Offensive rebound by S. Curry
4:23.0,,,68-71,3,S. Curry makes 3-pt shot from 23 ft
4:12.0,S. Dinwiddie makes 2-pt shot from 4 ft,2,70-71,,
4:04.0,,,70-71,,S. Curry misses 3-pt shot from 27 ft
4:00.0,Defensive rebound by J. Harris,,70-71,,
3:58.0,D. Carroll misses 3-pt shot from 25 ft,,70-71,,
3:53.0,,,70-71,,Defensive rebound by K. Thompson
3:47.0,,,70-71,,K. Durant misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by J. Harris,,70-71,,
3:39.0,D. Carroll makes 2-pt shot from 1 ft (assist by C. LeVert),2,72-71,,
3:39.0,Shooting foul by K. Thompson (drawn by D. Carroll),,72-71,,
3:39.0,,,72-71,,N. Young enters the game for K. Thompson
3:39.0,D. Carroll misses free throw 1 of 1,,72-71,,
3:36.0,,,72-71,,Defensive rebound by A. Iguodala
3:30.0,,,72-73,2,S. Curry makes 2-pt shot from 17 ft
3:11.0,,,72-73,,Personal foul by S. Curry (drawn by C. LeVert)
3:11.0,D. Russell enters the game for S. Dinwiddie,,72-73,,
3:11.0,R. Hollis-Jefferson enters the game for D. Carroll,,72-73,,
3:00.0,Shooting foul by J. Bell (drawn by J. Harris),,72-73,,
3:00.0,J. Harris makes free throw 1 of 2,1,73-73,,
3:00.0,J. Harris makes free throw 2 of 2,1,74-73,,
2:52.0,,,74-73,,S. Curry misses 3-pt shot from 27 ft
2:48.0,Defensive rebound by D. Cunningham,,74-73,,
2:39.0,D. Russell makes 2-pt shot from 17 ft,2,76-73,,
2:22.0,Personal foul by R. Hollis-Jefferson (drawn by K. Durant),,76-73,,
2:22.0,,,76-74,1,K. Durant makes free throw 1 of 2
2:22.0,,,76-75,1,K. Durant makes free throw 2 of 2
2:14.0,Offensive foul by J. Harris (drawn by A. Iguodala),,76-75,,
2:14.0,Turnover by J. Harris (offensive foul),,76-75,,
1:59.0,,,76-77,2,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant)
1:34.0,Shooting foul by J. Bell (drawn by R. Hollis-Jefferson),,76-77,,
1:34.0,R. Hollis-Jefferson makes free throw 1 of 2,1,77-77,,
1:34.0,,,77-77,,D. Green enters the game for K. Durant
1:34.0,R. Hollis-Jefferson makes free throw 2 of 2,1,78-77,,
1:25.0,,,78-80,3,S. Curry makes 3-pt shot from 25 ft
1:06.0,D. Russell misses 2-pt shot from 7 ft,,78-80,,
1:03.0,,,78-80,,Defensive rebound by D. Green
1:01.0,,,78-83,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
0:45.0,C. LeVert misses 3-pt shot from 24 ft,,78-83,,
0:37.0,,,78-83,,Defensive rebound by J. Bell
0:34.0,Personal foul by D. Russell (drawn by S. Curry),,78-83,,
0:34.0,,,78-83,,S. Curry misses free throw 1 of 2
0:34.0,,,78-83,,Offensive rebound by Team
0:34.0,,,78-84,1,S. Curry makes free throw 2 of 2
0:17.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by J. Bell),,78-84,,
0:16.0,Offensive rebound by D. Russell,,78-84,,
0:14.0,D. Russell makes 2-pt shot from 2 ft,2,80-84,,
0:08.0,,,80-84,,Golden State full timeout
0:08.0,,,80-84,,K. Durant enters the game for J. Bell
0:08.0,S. Dinwiddie enters the game for D. Russell,,80-84,,
0:03.0,,,80-86,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,80-86,,S. Livingston misses 2-pt shot from 17 ft
11:31.0,Defensive rebound by R. Hollis-Jefferson,,80-86,,
11:12.0,Turnover by Team (shot clock),,80-86,,
11:00.0,,,80-86,,K. Thompson misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by D. Cunningham,,80-86,,
10:48.0,Shooting foul by A. Iguodala (drawn by J. Harris),,80-86,,
10:48.0,J. Harris makes free throw 1 of 2,1,81-86,,
10:48.0,J. Harris misses free throw 2 of 2,,81-86,,
10:45.0,,,81-86,,Defensive rebound by D. Green
10:41.0,,,81-88,2,S. Livingston makes 2-pt shot from 2 ft (assist by D. Green)
10:26.0,,,81-88,,Personal foul by A. Iguodala (drawn by R. Hollis-Jefferson)
10:16.0,C. LeVert misses 2-pt shot from 9 ft,,81-88,,
10:12.0,Offensive rebound by R. Hollis-Jefferson,,81-88,,
10:11.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,81-88,,
10:08.0,,,81-88,,Defensive rebound by K. Looney
10:04.0,,,81-90,2,D. Green makes 2-pt shot from 12 ft
9:55.0,,,81-90,,Personal foul by S. Livingston (drawn by R. Hollis-Jefferson)
9:50.0,D. Russell misses 3-pt shot from 25 ft,,81-90,,
9:47.0,,,81-90,,Defensive rebound by A. Iguodala
9:44.0,,,81-93,3,D. Green makes 3-pt shot from 25 ft (assist by A. Iguodala)
9:43.0,Brooklyn full timeout,,81-93,,
9:27.0,Turnover by C. LeVert (out of bounds lost ball),,81-93,,
9:16.0,,,81-95,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
8:56.0,,,81-95,,Personal foul by D. Green (drawn by C. LeVert)
8:56.0,D. Carroll enters the game for D. Cunningham,,81-95,,
8:45.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,81-95,,
8:42.0,,,81-95,,Defensive rebound by A. Iguodala
8:36.0,,,81-95,,Turnover by S. Livingston (bad pass)
8:15.0,D. Russell misses 2-pt shot from 19 ft (block by S. Livingston),,81-95,,
8:12.0,Offensive rebound by J. Harris,,81-95,,
8:12.0,Turnover by Team (shot clock),,81-95,,
7:57.0,A. Crabbe enters the game for D. Russell,,81-95,,
7:57.0,S. Dinwiddie enters the game for J. Harris,,81-95,,
7:53.0,,,81-95,,S. Livingston misses 2-pt shot from 12 ft
7:50.0,Defensive rebound by A. Crabbe,,81-95,,
7:43.0,D. Carroll makes 2-pt shot from 18 ft (assist by S. Dinwiddie),2,83-95,,
7:43.0,Shooting foul by K. Looney (drawn by D. Carroll),,83-95,,
7:43.0,D. Carroll makes free throw 1 of 1,1,84-95,,
7:36.0,,,84-97,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston)
7:23.0,,,84-97,,Def 3 sec tech foul by S. Livingston
7:23.0,A. Crabbe makes technical free throw,1,85-97,,
7:14.0,A. Crabbe misses 3-pt shot from 27 ft,,85-97,,
7:10.0,,,85-97,,Defensive rebound by S. Livingston
6:55.0,,,85-99,2,A. Iguodala makes 2-pt shot from 2 ft
6:39.0,Turnover by S. Dinwiddie (lost ball; steal by K. Thompson),,85-99,,
6:35.0,,,85-101,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Thompson)
6:18.0,C. LeVert misses 3-pt shot from 26 ft,,85-101,,
6:15.0,,,85-101,,Defensive rebound by A. Iguodala
6:13.0,,,85-101,,K. Thompson misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by D. Carroll,,85-101,,
6:04.0,,,85-101,,Personal foul by A. Iguodala (drawn by D. Carroll)
6:04.0,D. Carroll makes free throw 1 of 2,1,86-101,,
6:04.0,,,86-101,,K. Durant enters the game for A. Iguodala
6:04.0,D. Carroll makes free throw 2 of 2,1,87-101,,
5:49.0,,,87-103,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
5:25.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by D. Green),,87-103,,
5:25.0,Offensive rebound by Team,,87-103,,
5:25.0,Turnover by Team (shot clock),,87-103,,
5:25.0,D. Russell enters the game for C. LeVert,,87-103,,
5:04.0,,,87-105,2,D. Green makes 2-pt shot from 3 ft (assist by S. Livingston)
4:59.0,,,87-105,,Personal foul by K. Durant (drawn by D. Russell)
4:59.0,D. Russell misses free throw 1 of 2,,87-105,,
4:59.0,Offensive rebound by Team,,87-105,,
4:59.0,,,87-105,,S. Curry enters the game for S. Livingston
4:59.0,D. Russell makes free throw 2 of 2,1,88-105,,
4:38.0,,,88-105,,K. Durant misses 2-pt shot from 2 ft
4:34.0,,,88-105,,Offensive rebound by K. Looney
4:34.0,,,88-105,,K. Looney misses 2-pt shot at rim
4:33.0,,,88-105,,Offensive rebound by K. Looney
4:31.0,,,88-107,2,K. Durant makes 2-pt shot from 6 ft (assist by K. Looney)
4:18.0,D. Carroll makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,91-107,,
4:07.0,Personal foul by R. Hollis-Jefferson (drawn by K. Durant),,91-107,,
4:07.0,,,91-107,,N. Young enters the game for K. Looney
4:04.0,Personal foul by S. Dinwiddie (drawn by S. Curry),,91-107,,
4:01.0,Personal foul by S. Dinwiddie (drawn by S. Curry),,91-107,,
3:55.0,,,91-110,2,K. Thompson makes 3-pt shot from 25 ft (assist by N. Young)
3:27.0,D. Russell makes 2-pt shot from 19 ft (assist by R. Hollis-Jefferson),2,93-110,,
3:08.0,,,93-110,,K. Durant misses 2-pt shot from 14 ft
3:03.0,Defensive rebound by D. Carroll,,93-110,,
3:00.0,S. Dinwiddie makes 3-pt shot from 27 ft (assist by D. Russell),3,96-110,,
2:47.0,,,96-110,,Golden State full timeout
2:47.0,,,96-110,,K. Looney enters the game for D. Green
2:47.0,Q. Acy enters the game for D. Russell,,96-110,,
2:47.0,C. LeVert enters the game for D. Carroll,,96-110,,
2:40.0,Personal foul by Q. Acy (drawn by K. Thompson),,96-110,,
2:29.0,,,96-110,,S. Curry misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by R. Hollis-Jefferson,,96-110,,
2:17.0,Q. Acy makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,98-110,,
2:04.0,,,98-110,,Turnover by K. Thompson (bad pass)
1:58.0,Q. Acy misses 3-pt shot from 26 ft,,98-110,,
1:56.0,,,98-110,,Defensive rebound by K. Durant
1:56.0,Personal foul by R. Hollis-Jefferson (drawn by K. Durant),,98-110,,
1:56.0,,,98-110,,K. Durant misses free throw 1 of 2
1:56.0,,,98-110,,Offensive rebound by Team
1:56.0,,,98-111,1,K. Durant makes free throw 2 of 2
