time,Oklahoma City,pts.away,score,pts.home,Memphis
10:32.0,,,19-36,,Defensive rebound by D. Davis
10:24.0,A. Roberson enters the game for K. Singler,,19-36,,
10:15.0,Personal foul by A. Roberson (drawn by B. McLemore),,19-36,,
10:04.0,,,19-39,3,B. McLemore makes 3-pt shot from 25 ft
9:46.0,R. Westbrook makes 3-pt shot from 25 ft,3,22-39,,
9:26.0,,,22-39,,B. McLemore misses 3-pt shot from 27 ft
9:21.0,,,22-39,,Offensive rebound by J. Ennis
9:21.0,,,22-39,,J. Green enters the game for J. Martin
9:16.0,Jump ball: J. Ennis vs. R. Felton (D. Davis gains possession),,,,Jump ball: J. Ennis vs. R. Felton (D. Davis gains possession)
9:04.0,,,22-41,2,B. McLemore makes 2-pt shot from 11 ft (assist by T. Evans)
8:53.0,R. Westbrook makes 2-pt shot at rim,2,24-41,,
8:30.0,,,24-41,,B. McLemore misses 2-pt shot from 13 ft
8:30.0,Defensive rebound by Team,,24-41,,
8:30.0,,,24-41,,Loose ball foul by J. Ennis (drawn by R. Westbrook)
8:30.0,,,24-41,,D. Brooks enters the game for J. Ennis
8:30.0,,,24-41,,A. Harrison enters the game for B. McLemore
8:17.0,R. Westbrook misses 2-pt shot from 11 ft,,24-41,,
8:17.0,,,24-41,,Defensive rebound by J. Green
8:17.0,,,24-41,,Turnover by J. Green (lost ball; steal by A. Roberson)
8:08.0,R. Westbrook misses 3-pt shot from 27 ft,,24-41,,
8:04.0,,,24-41,,Defensive rebound by T. Evans
7:58.0,,,24-41,,J. Green misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by A. Roberson,,24-41,,
7:51.0,,,24-41,,Personal foul by A. Harrison (drawn by R. Westbrook)
7:51.0,,,24-41,,M. Gasol enters the game for T. Evans
7:51.0,,,24-41,,M. Chalmers enters the game for D. Davis
7:51.0,S. Adams enters the game for P. Patterson,,24-41,,
7:40.0,A. Roberson makes 2-pt shot from 1 ft,2,26-41,,
7:17.0,,,26-43,2,M. Gasol makes 2-pt shot from 1 ft (assist by D. Brooks)
6:51.0,R. Westbrook misses 3-pt shot from 25 ft,,26-43,,
6:50.0,Offensive rebound by Team,,26-43,,
6:50.0,,,26-43,,Loose ball foul by J. Green (drawn by S. Adams)
6:50.0,,,26-43,,Memphis full timeout
6:50.0,A. Abrines enters the game for R. Felton,,26-43,,
6:50.0,C. Anthony enters the game for J. Grant,,26-43,,
6:50.0,S. Adams makes free throw 1 of 2,1,27-43,,
6:50.0,S. Adams makes free throw 2 of 2,1,28-43,,
6:28.0,,,28-45,2,M. Gasol makes 2-pt shot from 6 ft
6:09.0,S. Adams misses 2-pt shot at rim,,28-45,,
6:05.0,,,28-45,,Defensive rebound by A. Harrison
5:58.0,,,28-45,,Shooting foul by A. Abrines (drawn by M. Gasol)
5:58.0,,,28-45,,M. Gasol misses free throw 1 of 2
5:58.0,,,28-45,,Offensive rebound by Team
5:58.0,,,28-46,1,M. Gasol makes free throw 2 of 2
5:48.0,Turnover by R. Westbrook (bad pass; steal by A. Harrison),,28-46,,
5:45.0,,,28-48,2,A. Harrison makes 2-pt shot at rim (assist by M. Gasol)
5:38.0,C. Anthony misses 3-pt shot from 25 ft,,28-48,,
5:34.0,Offensive rebound by S. Adams,,28-48,,
5:29.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,30-48,,
5:08.0,,,30-50,2,M. Chalmers makes 2-pt shot at rim (assist by M. Gasol)
5:03.0,,,30-50,,Personal foul by M. Chalmers (drawn by R. Westbrook)
5:03.0,R. Westbrook makes free throw 1 of 2,1,31-50,,
5:03.0,R. Westbrook makes free throw 2 of 2,1,32-50,,
4:54.0,,,32-50,,M. Gasol misses 3-pt shot from 25 ft
4:51.0,,,32-50,,Offensive rebound by A. Harrison
4:44.0,,,32-50,,Turnover by A. Harrison (step out of bounds)
4:44.0,Oklahoma City full timeout,,32-50,,
4:34.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,34-50,,
4:15.0,,,34-50,,A. Harrison misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by A. Abrines,,34-50,,
4:06.0,R. Westbrook misses 2-pt shot from 1 ft,,34-50,,
3:59.0,Offensive rebound by S. Adams,,34-50,,
3:59.0,S. Adams makes 2-pt shot at rim,2,36-50,,
3:43.0,,,36-50,,M. Chalmers misses 2-pt shot from 11 ft (block by A. Roberson)
3:40.0,Defensive rebound by A. Roberson,,36-50,,
3:40.0,Shooting foul by D. Brooks (drawn by R. Westbrook),,36-50,,
3:40.0,R. Westbrook misses free throw 1 of 2,,36-50,,
3:40.0,Offensive rebound by Team,,36-50,,
3:40.0,,,36-50,,T. Evans enters the game for M. Chalmers
3:40.0,R. Westbrook makes free throw 2 of 2,1,37-50,,
3:20.0,Personal foul by S. Adams (drawn by M. Gasol),,37-50,,
3:20.0,,,37-50,,J. Martin enters the game for J. Green
3:20.0,,,37-50,,J. Ennis enters the game for D. Brooks
3:07.0,,,37-50,,T. Evans misses 3-pt shot from 25 ft
3:04.0,,,37-50,,Offensive rebound by A. Harrison
2:52.0,,,37-50,,J. Martin misses 2-pt shot from 21 ft
2:49.0,Defensive rebound by S. Adams,,37-50,,
2:44.0,C. Anthony makes 3-pt shot from 26 ft (assist by R. Westbrook),3,40-50,,
2:33.0,,,40-50,,Memphis full timeout
2:27.0,,,40-50,,Offensive foul by A. Harrison (drawn by A. Roberson)
2:27.0,,,40-50,,Turnover by A. Harrison (offensive foul)
2:27.0,,,40-50,,B. McLemore enters the game for A. Harrison
2:17.0,Shooting foul by J. Martin (drawn by C. Anthony),,40-50,,
2:17.0,C. Anthony makes free throw 1 of 2,1,41-50,,
2:17.0,C. Anthony misses free throw 2 of 2,,41-50,,
2:12.0,Offensive rebound by S. Adams,,41-50,,
2:12.0,S. Adams misses 2-pt shot at rim,,41-50,,
2:11.0,,,41-50,,Defensive rebound by B. McLemore
1:54.0,,,41-50,,J. Ennis misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by S. Adams,,41-50,,
1:46.0,C. Anthony misses 2-pt shot from 11 ft,,41-50,,
1:38.0,Offensive rebound by R. Westbrook,,41-50,,
1:38.0,R. Westbrook makes 2-pt shot at rim,2,43-50,,
1:26.0,,,43-50,,M. Gasol misses 2-pt shot from 1 ft
1:24.0,,,43-50,,Offensive rebound by J. Ennis
1:10.0,,,43-52,2,T. Evans makes 2-pt shot at rim
0:54.0,C. Anthony misses 2-pt shot from 9 ft,,43-52,,
0:52.0,Offensive rebound by S. Adams,,43-52,,
0:52.0,S. Adams misses 2-pt shot at rim,,43-52,,
0:52.0,Offensive rebound by Team,,43-52,,
0:52.0,,,43-52,,Loose ball foul by J. Martin (drawn by S. Adams)
0:52.0,S. Adams misses free throw 1 of 2,,43-52,,
0:52.0,Offensive rebound by Team,,43-52,,
0:52.0,,,43-52,,J. Green enters the game for J. Martin
0:52.0,S. Adams makes free throw 2 of 2,1,44-52,,
0:39.0,,,44-55,3,B. McLemore makes 3-pt shot from 25 ft (assist by T. Evans)
0:33.0,R. Westbrook misses 3-pt shot from 25 ft,,44-55,,
0:31.0,Offensive rebound by R. Westbrook,,44-55,,
0:31.0,R. Westbrook makes 2-pt shot at rim,2,46-55,,
0:09.0,,,46-55,,J. Ennis misses 3-pt shot from 23 ft
0:07.0,,,46-55,,Offensive rebound by J. Green
0:06.0,,,46-57,2,J. Green makes 2-pt shot at rim
0:00.0,C. Anthony misses 2-pt shot from 14 ft,,46-57,,
0:00.0,,,46-57,,Defensive rebound by T. Evans
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Personal foul by R. Westbrook (drawn by M. Gasol),,46-57,,
11:39.0,,,46-57,,Turnover by T. Evans (bad pass; steal by A. Abrines)
11:27.0,,,46-57,,Personal foul by M. Gasol (drawn by C. Anthony)
11:21.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,48-57,,
10:57.0,,,48-57,,J. Green misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by R. Westbrook,,48-57,,
10:49.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,51-57,,
10:48.0,,,51-57,,Memphis full timeout
10:25.0,,,51-60,3,T. Evans makes 3-pt shot from 26 ft
10:05.0,C. Anthony misses 2-pt shot from 14 ft,,51-60,,
10:03.0,,,51-60,,Defensive rebound by D. Brooks
9:52.0,,,51-60,,M. Gasol misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by Team,,51-60,,
9:32.0,R. Westbrook misses 3-pt shot from 24 ft,,51-60,,
9:29.0,,,51-60,,Defensive rebound by T. Evans
9:22.0,,,51-60,,T. Evans misses 2-pt shot from 4 ft (block by C. Anthony)
9:19.0,Defensive rebound by A. Abrines,,51-60,,
9:18.0,A. Abrines makes 2-pt shot at rim,2,53-60,,
8:56.0,Personal foul by C. Anthony (drawn by A. Harrison),,53-60,,
8:45.0,Personal foul by S. Adams (drawn by M. Gasol),,53-60,,
8:37.0,,,53-60,,A. Harrison misses 2-pt shot at rim
