time,Indiana,pts.away,score,pts.home,Dallas
2:53.0,,,40-41,,W. Matthews misses 3-pt shot from 23 ft
2:50.0,Defensive rebound by C. Joseph,,40-41,,
2:33.0,T. Young misses 2-pt shot from 10 ft,,40-41,,
2:31.0,,,40-41,,Defensive rebound by S. Mejri
2:13.0,,,40-41,,D. Smith misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by T. Young,,40-41,,
2:04.0,C. Joseph makes 2-pt shot at rim,2,42-41,,
2:04.0,Shooting foul by Y. Ferrell (drawn by C. Joseph),,42-41,,
2:04.0,C. Joseph makes free throw 1 of 1,1,43-41,,
1:50.0,Def 3 sec tech foul by J. Young,,43-41,,
1:50.0,,,43-42,1,H. Barnes makes technical free throw
1:38.0,,,43-44,2,S. Mejri makes 2-pt shot from 1 ft (assist by H. Barnes)
1:21.0,J. Young misses 2-pt shot from 1 ft,,43-44,,
1:19.0,,,43-44,,Defensive rebound by S. Mejri
1:07.0,,,43-47,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith)
0:48.0,Turnover by J. Young (out of bounds lost ball),,43-47,,
0:31.0,,,43-47,,H. Barnes misses 2-pt shot from 20 ft
0:28.0,Defensive rebound by C. Joseph,,43-47,,
0:07.0,T. Young misses 2-pt shot from 5 ft,,43-47,,
0:07.0,,,43-47,,Defensive rebound by S. Mejri
0:01.0,,,43-49,2,D. Smith makes 2-pt shot from 15 ft
0:00.0,C. Joseph misses 3-pt shot from 47 ft,,43-49,,
0:00.0,Offensive rebound by Team,,43-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,V. Oladipo misses 3-pt shot from 25 ft,,43-49,,
11:47.0,,,43-49,,Defensive rebound by D. Nowitzki
11:23.0,,,43-52,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith)
11:03.0,B. Bogdanovic misses 2-pt shot from 6 ft,,43-52,,
11:01.0,,,43-52,,Defensive rebound by D. Powell
10:55.0,,,43-52,,W. Matthews misses 3-pt shot from 28 ft
10:52.0,,,43-52,,Offensive rebound by D. Powell
10:48.0,,,43-52,,D. Nowitzki misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by V. Oladipo,,43-52,,
10:34.0,M. Turner makes 3-pt shot from 25 ft (assist by T. Young),3,46-52,,
10:18.0,,,46-52,,Turnover by D. Smith (bad pass; steal by M. Turner)
10:14.0,V. Oladipo makes 2-pt shot at rim (assist by J. Young),2,48-52,,
10:04.0,,,48-52,,Turnover by H. Barnes (bad pass; steal by J. Young)
10:03.0,J. Young makes 2-pt shot at rim,2,50-52,,
10:03.0,,,50-52,,Dallas full timeout
9:45.0,,,50-52,,H. Barnes misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by M. Turner,,50-52,,
9:43.0,,,50-52,,Personal foul by W. Matthews (drawn by M. Turner)
9:33.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,52-52,,
9:06.0,,,52-52,,D. Powell misses 2-pt shot from 21 ft
9:03.0,Defensive rebound by V. Oladipo,,52-52,,
8:56.0,Shooting foul by W. Matthews (drawn by M. Turner),,52-52,,
8:56.0,M. Turner misses free throw 1 of 2,,52-52,,
8:56.0,Offensive rebound by Team,,52-52,,
8:56.0,M. Turner misses free throw 2 of 2,,52-52,,
8:53.0,,,52-52,,Defensive rebound by D. Powell
8:41.0,Personal foul by V. Oladipo (drawn by D. Powell),,52-52,,
8:41.0,G. Robinson enters the game for V. Oladipo,,52-52,,
8:35.0,,,52-52,,W. Matthews misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by B. Bogdanovic,,52-52,,
8:13.0,T. Young makes 2-pt shot from 20 ft (assist by G. Robinson),2,54-52,,
7:59.0,,,54-54,2,H. Barnes makes 2-pt shot from 1 ft
7:59.0,,,54-54,,Shooting foul by M. Turner (drawn by H. Barnes)
7:59.0,,,54-54,,S. Mejri enters the game for D. Powell
7:59.0,,,54-54,,Y. Ferrell enters the game for D. Nowitzki
7:59.0,,,54-55,1,H. Barnes makes free throw 1 of 1
7:45.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by G. Robinson),2,56-55,,
7:29.0,,,56-55,,W. Matthews misses 2-pt shot from 11 ft
7:25.0,Defensive rebound by T. Young,,56-55,,
7:21.0,,,56-55,,Personal foul by Y. Ferrell (drawn by B. Bogdanovic)
7:08.0,Turnover by B. Bogdanovic (lost ball; steal by D. Smith),,56-55,,
6:52.0,,,56-57,2,H. Barnes makes 2-pt shot from 5 ft
6:36.0,T. Young misses 2-pt shot from 17 ft,,56-57,,
6:33.0,,,56-57,,Defensive rebound by Y. Ferrell
6:15.0,,,56-57,,D. Smith misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by T. Young,,56-57,,
6:08.0,G. Robinson misses 3-pt shot from 25 ft,,56-57,,
6:08.0,,,56-57,,Defensive rebound by W. Matthews
6:01.0,,,56-57,,H. Barnes misses 2-pt shot from 2 ft
6:01.0,,,56-57,,Offensive rebound by S. Mejri
6:00.0,,,56-57,,Turnover by S. Mejri (out of bounds lost ball)
5:47.0,M. Turner makes 2-pt shot from 8 ft (assist by J. Young),2,58-57,,
5:30.0,,,58-57,,H. Barnes misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by B. Bogdanovic,,58-57,,
5:13.0,Turnover by J. Young (bad pass; steal by Y. Ferrell),,58-57,,
5:05.0,,,58-57,,Turnover by D. Smith (traveling)
5:05.0,,,58-57,,J. Barea enters the game for D. Smith
5:05.0,C. Joseph enters the game for J. Young,,58-57,,
4:47.0,G. Robinson makes 2-pt shot from 1 ft (assist by M. Turner),2,60-57,,
4:45.0,,,60-57,,Dallas full timeout
4:45.0,L. Stephenson enters the game for B. Bogdanovic,,60-57,,
4:21.0,,,60-57,,Turnover by J. Barea (bad pass; steal by G. Robinson)
4:13.0,T. Young misses 2-pt shot from 3 ft (block by S. Mejri),,60-57,,
4:09.0,,,60-57,,Defensive rebound by H. Barnes
3:55.0,,,60-57,,J. Barea misses 2-pt shot from 11 ft
3:53.0,Defensive rebound by L. Stephenson,,60-57,,
3:53.0,,,60-57,,Personal foul by S. Mejri (drawn by L. Stephenson)
3:40.0,M. Turner misses 2-pt shot from 3 ft,,60-57,,
3:37.0,,,60-57,,Defensive rebound by S. Mejri
3:18.0,,,60-59,2,W. Matthews makes 2-pt shot from 15 ft
2:54.0,L. Stephenson misses 3-pt shot from 25 ft,,60-59,,
2:52.0,,,60-59,,Defensive rebound by S. Mejri
2:40.0,,,60-59,,W. Matthews misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by L. Stephenson,,60-59,,
2:25.0,G. Robinson makes 2-pt shot from 14 ft,2,62-59,,
2:09.0,,,62-59,,H. Barnes misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by C. Joseph,,62-59,,
2:03.0,Shooting foul by H. Barnes (drawn by G. Robinson),,62-59,,
2:03.0,G. Robinson makes free throw 1 of 2,1,63-59,,
2:03.0,,,63-59,,D. Powell enters the game for W. Matthews
2:03.0,,,63-59,,D. McDermott enters the game for H. Barnes
2:03.0,,,63-59,,D. Nowitzki enters the game for S. Mejri
2:03.0,D. Sabonis enters the game for T. Young,,63-59,,
2:03.0,G. Robinson misses free throw 2 of 2,,63-59,,
2:00.0,,,63-59,,Defensive rebound by D. Nowitzki
1:43.0,,,63-61,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
1:25.0,M. Turner misses 2-pt shot from 5 ft,,63-61,,
1:23.0,,,63-61,,Defensive rebound by Y. Ferrell
1:18.0,,,63-63,2,D. Powell makes 2-pt shot at rim (assist by D. Nowitzki)
1:18.0,Indiana full timeout,,63-63,,
1:18.0,B. Bogdanovic enters the game for M. Turner,,63-63,,
1:07.0,Turnover by D. Sabonis (lost ball; steal by D. Nowitzki),,63-63,,
1:06.0,,,63-63,,Turnover by J. Barea (lost ball; steal by D. Sabonis)
1:06.0,Turnover by D. Sabonis (turnover),,63-63,,
0:53.0,,,63-65,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
0:39.0,L. Stephenson makes 2-pt shot from 4 ft (assist by C. Joseph),2,65-65,,
0:22.0,,,65-65,,J. Barea misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by G. Robinson,,65-65,,
0:06.0,L. Stephenson misses 3-pt shot from 26 ft,,65-65,,
0:03.0,,,65-65,,Defensive rebound by D. Powell
0:00.0,,,65-68,3,D. McDermott makes 3-pt shot from 27 ft (assist by J. Barea)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Personal foul by L. Stephenson (drawn by D. Powell),,65-68,,
11:37.0,,,65-68,,D. McDermott misses 2-pt shot from 3 ft
11:36.0,,,65-68,,Offensive rebound by D. McDermott
11:35.0,,,65-68,,D. McDermott misses 2-pt shot from 2 ft
11:34.0,Defensive rebound by D. Sabonis,,65-68,,
11:27.0,,,65-68,,Personal foul by D. McDermott (drawn by D. Sabonis)
11:19.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by L. Stephenson),3,68-68,,
10:54.0,,,68-71,3,D. McDermott makes 3-pt shot from 22 ft (assist by Y. Ferrell)
10:40.0,C. Joseph makes 2-pt shot from 18 ft,2,70-71,,
10:31.0,Personal foul by C. Joseph (drawn by D. Powell),,70-71,,
10:26.0,,,70-71,,Turnover by D. McDermott (traveling)
10:12.0,D. Sabonis misses 2-pt shot from 3 ft (block by D. McDermott),,70-71,,
10:09.0,,,70-71,,Defensive rebound by D. Nowitzki
10:06.0,,,70-73,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
9:47.0,C. Joseph makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,73-73,,
9:33.0,,,73-75,2,J. Barea makes 2-pt shot from 10 ft
9:24.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by L. Stephenson),2,75-75,,
9:06.0,,,75-77,2,D. Nowitzki makes 2-pt shot from 13 ft
8:51.0,,,75-77,,Personal foul by J. Barea (drawn by C. Joseph)
8:44.0,D. Sabonis misses 2-pt shot from 21 ft,,75-77,,
8:41.0,,,75-77,,Defensive rebound by D. Powell
8:30.0,,,75-80,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. McDermott)
8:29.0,Indiana full timeout,,75-80,,
8:29.0,V. Oladipo enters the game for G. Robinson,,75-80,,
8:29.0,M. Turner enters the game for B. Bogdanovic,,75-80,,
8:22.0,Shooting foul by D. McDermott (drawn by D. Sabonis),,75-80,,
8:22.0,D. Sabonis makes free throw 1 of 2,1,76-80,,
8:22.0,D. Sabonis misses free throw 2 of 2,,76-80,,
8:20.0,,,76-80,,Defensive rebound by D. Nowitzki
8:04.0,,,76-83,3,Y. Ferrell makes 3-pt shot from 24 ft (assist by J. Barea)
7:45.0,V. Oladipo makes 2-pt shot from 19 ft (assist by D. Sabonis),2,78-83,,
7:32.0,,,78-83,,Shooting foul by C. Joseph (drawn by J. Barea)
7:32.0,,,78-84,1,J. Barea makes free throw 1 of 2
7:32.0,,,78-85,1,J. Barea makes free throw 2 of 2
7:19.0,V. Oladipo misses 2-pt shot from 16 ft,,78-85,,
7:17.0,,,78-85,,Defensive rebound by D. Powell
7:06.0,,,78-88,3,D. McDermott makes 3-pt shot from 22 ft (assist by J. Barea)
6:53.0,Shooting foul by D. Nowitzki (drawn by D. Sabonis),,78-88,,
6:53.0,D. Sabonis makes free throw 1 of 2,1,79-88,,
6:53.0,B. Bogdanovic enters the game for L. Stephenson,,79-88,,
6:53.0,D. Sabonis makes free throw 2 of 2,1,80-88,,
6:38.0,,,80-88,,D. Nowitzki misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by V. Oladipo,,80-88,,
6:25.0,B. Bogdanovic misses 2-pt shot from 5 ft,,80-88,,
6:23.0,,,80-88,,Defensive rebound by D. Nowitzki
6:06.0,,,80-91,3,J. Barea makes 3-pt shot from 24 ft
6:04.0,Indiana full timeout,,80-91,,
6:04.0,,,80-91,,D. Smith enters the game for Y. Ferrell
6:04.0,,,80-91,,W. Matthews enters the game for D. McDermott
6:04.0,,,80-91,,H. Barnes enters the game for D. Nowitzki
6:04.0,T. Young enters the game for D. Sabonis,,80-91,,
5:51.0,Turnover by V. Oladipo (bad pass; steal by D. Smith),,80-91,,
5:46.0,,,80-93,2,D. Powell makes 2-pt shot at rim (assist by D. Smith)
5:34.0,V. Oladipo misses 2-pt shot from 17 ft,,80-93,,
5:31.0,Offensive rebound by T. Young,,80-93,,
5:18.0,Shooting foul by D. Powell (drawn by V. Oladipo),,80-93,,
5:18.0,V. Oladipo makes free throw 1 of 2,1,81-93,,
5:18.0,V. Oladipo makes free throw 2 of 2,1,82-93,,
5:01.0,,,82-95,2,H. Barnes makes 2-pt shot from 8 ft
4:46.0,Shooting foul by D. Powell (drawn by T. Young),,82-95,,
4:46.0,T. Young makes free throw 1 of 2,1,83-95,,
4:46.0,T. Young misses free throw 2 of 2,,83-95,,
4:42.0,Offensive rebound by B. Bogdanovic,,83-95,,
4:30.0,T. Young misses 2-pt shot from 5 ft,,83-95,,
4:28.0,Offensive rebound by T. Young,,83-95,,
4:26.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by T. Young),3,86-95,,
4:09.0,,,86-95,,D. Powell misses 2-pt shot from 1 ft (block by V. Oladipo)
4:06.0,,,86-95,,Offensive rebound by D. Powell
4:04.0,,,86-97,2,D. Powell makes 2-pt shot from 1 ft
3:52.0,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo),2,88-97,,
3:29.0,,,88-97,,H. Barnes misses 2-pt shot from 11 ft
3:26.0,Defensive rebound by M. Turner,,88-97,,
3:16.0,M. Turner makes 2-pt shot from 20 ft (assist by V. Oladipo),2,90-97,,
3:15.0,,,90-97,,Dallas full timeout
3:15.0,,,90-97,,Y. Ferrell enters the game for J. Barea
3:03.0,,,90-97,,Turnover by D. Powell (bad pass; steal by V. Oladipo)
2:59.0,V. Oladipo makes 2-pt shot from 2 ft,2,92-97,,
2:39.0,,,92-97,,D. Smith misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by M. Turner,,92-97,,
2:37.0,,,92-97,,Personal foul by D. Powell (drawn by M. Turner)
2:37.0,M. Turner makes free throw 1 of 2,1,93-97,,
2:37.0,,,93-97,,J. Barea enters the game for Y. Ferrell
2:37.0,M. Turner makes free throw 2 of 2,1,94-97,,
2:25.0,Personal foul by C. Joseph (drawn by H. Barnes),,94-97,,
2:12.0,,,94-99,2,J. Barea makes 2-pt shot from 3 ft
1:50.0,V. Oladipo makes 2-pt shot from 4 ft,2,96-99,,
1:33.0,,,96-99,,D. Smith misses 2-pt shot from 2 ft (block by M. Turner)
