time,Houston,pts.away,score,pts.home,Portland
0:20.0,Defensive rebound by J. Harden,,60-62,,
0:18.0,Shooting foul by P. Connaughton (drawn by J. Harden),,60-62,,
0:18.0,J. Harden makes free throw 1 of 2,1,61-62,,
0:18.0,,,61-62,,J. Layman enters the game for Z. Collins
0:18.0,J. Harden makes free throw 2 of 2,1,62-62,,
0:00.0,,,62-62,,C. McCollum misses 3-pt shot from 24 ft
0:00.0,,,62-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,C. Capela misses 2-pt shot from 2 ft,,62-62,,
11:38.0,,,62-62,,Defensive rebound by A. Aminu
11:20.0,,,62-62,,A. Aminu misses 3-pt shot from 22 ft
11:16.0,Defensive rebound by J. Harden,,62-62,,
11:10.0,R. Anderson makes 2-pt shot at rim,2,64-62,,
10:54.0,,,64-62,,C. McCollum misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by C. Capela,,64-62,,
10:37.0,C. Paul misses 2-pt shot from 10 ft,,64-62,,
10:33.0,,,64-62,,Defensive rebound by E. Turner
10:32.0,,,64-64,2,E. Turner makes 2-pt shot from 14 ft
10:13.0,J. Harden makes 2-pt shot from 19 ft,2,66-64,,
9:57.0,,,66-64,,E. Turner misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by C. Capela,,66-64,,
9:46.0,Shooting foul by C. McCollum (drawn by C. Capela),,66-64,,
9:46.0,C. Capela makes free throw 1 of 2,1,67-64,,
9:46.0,C. Capela misses free throw 2 of 2,,67-64,,
9:44.0,,,67-64,,Defensive rebound by A. Aminu
9:36.0,,,67-64,,Turnover by D. Lillard (bad pass; steal by J. Harden)
9:30.0,J. Harden misses 3-pt shot from 24 ft,,67-64,,
9:28.0,,,67-64,,Defensive rebound by M. Leonard
9:24.0,,,67-67,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
9:11.0,Shooting foul by A. Aminu (drawn by T. Ariza),,67-67,,
9:11.0,T. Ariza makes free throw 1 of 2,1,68-67,,
9:11.0,T. Ariza makes free throw 2 of 2,1,69-67,,
8:57.0,,,69-67,,M. Leonard misses 2-pt shot from 4 ft
8:54.0,Defensive rebound by J. Harden,,69-67,,
8:51.0,J. Harden misses 3-pt shot from 24 ft,,69-67,,
8:48.0,Offensive rebound by C. Capela,,69-67,,
8:47.0,T. Ariza makes 3-pt shot from 23 ft (assist by C. Capela),3,72-67,,
8:32.0,Personal foul by T. Ariza (drawn by M. Leonard),,72-67,,
8:20.0,,,72-70,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Leonard)
8:10.0,,,72-70,,Personal foul by E. Turner (drawn by C. Capela)
8:07.0,Turnover by C. Capela (bad pass; steal by C. McCollum),,72-70,,
8:05.0,,,72-72,2,C. McCollum makes 2-pt shot at rim
8:05.0,,,72-72,,Shooting foul by C. Capela (drawn by C. McCollum)
8:05.0,,,72-73,1,C. McCollum makes free throw 1 of 1
7:52.0,C. Paul misses 3-pt shot from 25 ft,,72-73,,
7:49.0,,,72-73,,Defensive rebound by E. Turner
7:34.0,,,72-75,2,M. Leonard makes 2-pt shot at rim (assist by E. Turner)
7:12.0,R. Anderson misses 3-pt shot from 24 ft,,72-75,,
7:09.0,,,72-75,,Defensive rebound by C. McCollum
7:00.0,,,72-78,3,M. Leonard makes 3-pt shot from 26 ft (assist by C. McCollum)
6:42.0,J. Harden makes 2-pt shot from 8 ft,2,74-78,,
6:25.0,,,74-78,,D. Lillard misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by C. Paul,,74-78,,
6:16.0,Shooting foul by C. McCollum (drawn by C. Capela),,74-78,,
6:16.0,,,74-78,,Portland full timeout
6:16.0,E. Gordon enters the game for C. Paul,,74-78,,
6:16.0,P. Tucker enters the game for R. Anderson,,74-78,,
6:16.0,,,74-78,,P. Connaughton enters the game for E. Turner
6:16.0,C. Capela makes free throw 1 of 2,1,75-78,,
6:16.0,C. Capela misses free throw 2 of 2,,75-78,,
6:14.0,,,75-78,,Defensive rebound by M. Leonard
6:01.0,,,75-78,,P. Connaughton misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by J. Harden,,75-78,,
5:39.0,C. Capela makes 2-pt shot at rim (assist by E. Gordon),2,77-78,,
5:28.0,,,77-80,2,C. McCollum makes 2-pt shot from 11 ft
5:19.0,,,77-80,,Personal foul by C. McCollum (drawn by E. Gordon)
5:19.0,E. Gordon makes free throw 1 of 2,1,78-80,,
5:19.0,,,78-80,,Z. Collins enters the game for M. Leonard
5:19.0,,,78-80,,E. Davis enters the game for P. Connaughton
5:19.0,N. Hilario enters the game for T. Ariza,,78-80,,
5:19.0,L. Mbah a Moute enters the game for C. Capela,,78-80,,
5:19.0,E. Gordon makes free throw 2 of 2,1,79-80,,
5:04.0,,,79-82,2,E. Davis makes 2-pt shot from 2 ft (assist by A. Aminu)
4:46.0,E. Gordon misses 3-pt shot from 24 ft,,79-82,,
4:43.0,,,79-82,,Defensive rebound by D. Lillard
4:28.0,,,79-85,3,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard)
4:22.0,Turnover by E. Gordon (bad pass; steal by E. Davis),,79-85,,
4:07.0,,,79-85,,A. Aminu misses 3-pt shot from 29 ft
4:05.0,,,79-85,,Offensive rebound by Team
4:03.0,,,79-85,,Turnover by E. Davis (bad pass; steal by P. Tucker)
4:03.0,,,79-85,,Personal foul by Z. Collins (drawn by P. Tucker)
4:03.0,P. Tucker makes free throw 1 of 2,1,80-85,,
4:03.0,P. Tucker misses free throw 2 of 2,,80-85,,
4:01.0,,,80-85,,Defensive rebound by E. Davis
3:46.0,,,80-88,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
3:22.0,Turnover by E. Gordon (out of bounds lost ball),,80-88,,
3:11.0,,,80-88,,D. Lillard misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by Team,,80-88,,
3:11.0,,,80-88,,Loose ball foul by E. Davis (drawn by J. Harden)
3:11.0,J. Harden misses free throw 1 of 2,,80-88,,
3:11.0,Offensive rebound by Team,,80-88,,
3:11.0,,,80-88,,P. Connaughton enters the game for C. McCollum
3:11.0,J. Harden makes free throw 2 of 2,1,81-88,,
2:56.0,,,81-88,,Turnover by D. Lillard (bad pass; steal by E. Gordon)
2:49.0,J. Harden misses 2-pt shot from 2 ft,,81-88,,
2:47.0,,,81-88,,Defensive rebound by D. Lillard
2:43.0,,,81-88,,P. Connaughton misses 3-pt shot from 24 ft
2:40.0,,,81-88,,Offensive rebound by Team
2:40.0,Houston full timeout,,81-88,,
2:40.0,C. Paul enters the game for J. Harden,,81-88,,
2:28.0,,,81-91,3,D. Lillard makes 3-pt shot from 28 ft
2:04.0,E. Gordon misses 3-pt shot from 24 ft,,81-91,,
2:02.0,,,81-91,,Defensive rebound by E. Davis
1:57.0,Personal foul by N. Hilario (drawn by D. Lillard),,81-91,,
1:57.0,,,81-91,,J. Layman enters the game for A. Aminu
1:51.0,,,81-94,3,D. Lillard makes 3-pt shot from 26 ft
1:34.0,Shooting foul by P. Connaughton (drawn by C. Paul),,81-94,,
1:34.0,C. Paul makes free throw 1 of 2,1,82-94,,
1:34.0,C. Paul makes free throw 2 of 2,1,83-94,,
1:12.0,,,83-94,,D. Lillard misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
1:08.0,Defensive rebound by E. Gordon,,83-94,,
0:57.0,N. Hilario misses 2-pt shot from 1 ft (block by Z. Collins),,83-94,,
0:57.0,Offensive rebound by Team,,83-94,,
0:54.0,,,83-94,,Personal foul by P. Connaughton (drawn by C. Paul)
0:54.0,C. Paul misses free throw 1 of 2,,83-94,,
0:54.0,Offensive rebound by Team,,83-94,,
0:54.0,C. Paul makes free throw 2 of 2,1,84-94,,
0:35.0,,,84-94,,Shooting foul by N. Hilario (drawn by D. Lillard)
0:35.0,,,84-95,1,D. Lillard makes free throw 1 of 2
0:35.0,,,84-96,1,D. Lillard makes free throw 2 of 2
0:29.0,C. Paul misses 2-pt shot from 8 ft,,84-96,,
0:26.0,Offensive rebound by N. Hilario,,84-96,,
0:25.0,Turnover by P. Tucker (bad pass),,84-96,,
0:25.0,,,84-96,,C. McCollum enters the game for D. Lillard
0:06.0,,,84-96,,C. McCollum misses 2-pt shot from 13 ft
0:04.0,,,84-96,,Offensive rebound by Z. Collins
0:04.0,,,84-98,2,Z. Collins makes 2-pt shot at rim
0:00.0,C. Paul misses 2-pt shot from 1 ft,,84-98,,
0:00.0,Offensive rebound by Team,,84-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,84-98,,Turnover by Team (shot clock)
11:24.0,E. Gordon makes 2-pt shot from 1 ft,2,86-98,,
11:08.0,,,86-98,,Turnover by C. McCollum (lost ball; steal by P. Tucker)
11:02.0,L. Mbah a Moute misses 3-pt shot from 23 ft (block by Z. Collins),,86-98,,
10:59.0,Offensive rebound by L. Mbah a Moute,,86-98,,
10:57.0,E. Gordon makes 3-pt shot from 25 ft (assist by C. Paul),3,89-98,,
10:29.0,,,89-98,,Turnover by C. McCollum (bad pass; steal by C. Paul)
10:14.0,E. Gordon misses 3-pt shot from 24 ft,,89-98,,
10:10.0,,,89-98,,Defensive rebound by E. Davis
9:53.0,,,89-98,,P. Connaughton misses 2-pt shot from 5 ft
9:51.0,,,89-98,,Offensive rebound by E. Davis
9:49.0,,,89-100,2,E. Davis makes 2-pt shot at rim
9:39.0,C. Paul makes 2-pt shot at rim,2,91-100,,
9:21.0,,,91-100,,J. Layman misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by P. Tucker,,91-100,,
9:13.0,Turnover by L. Mbah a Moute (traveling),,91-100,,
9:13.0,J. Harden enters the game for E. Gordon,,91-100,,
9:13.0,,,91-100,,A. Aminu enters the game for E. Davis
9:13.0,,,91-100,,N. Vonleh enters the game for Z. Collins
8:52.0,,,91-103,3,A. Aminu makes 3-pt shot from 27 ft (assist by N. Vonleh)
8:24.0,C. Paul makes 2-pt shot at rim,2,93-103,,
8:02.0,,,93-103,,J. Layman misses 2-pt shot from 21 ft
8:00.0,Defensive rebound by L. Mbah a Moute,,93-103,,
7:50.0,P. Tucker makes 3-pt shot from 23 ft (assist by J. Harden),3,96-103,,
7:26.0,,,96-103,,Turnover by J. Layman (bad pass; steal by T. Ariza)
7:02.0,J. Harden makes 2-pt shot at rim,2,98-103,,
7:02.0,,,98-103,,Portland full timeout
7:02.0,,,98-103,,E. Turner enters the game for P. Connaughton
7:02.0,,,98-103,,D. Lillard enters the game for J. Layman
6:44.0,,,98-103,,Shooting foul by P. Tucker (drawn by C. McCollum)
6:44.0,,,98-103,,C. McCollum misses free throw 1 of 2
6:44.0,,,98-103,,Offensive rebound by Team
6:44.0,,,98-104,1,C. McCollum makes free throw 2 of 2
6:33.0,J. Harden makes 2-pt shot at rim,2,100-104,,
6:16.0,,,100-104,,D. Lillard misses 3-pt shot from 30 ft
6:15.0,Defensive rebound by L. Mbah a Moute,,100-104,,
6:07.0,J. Harden makes 3-pt shot from 25 ft,3,103-104,,
5:41.0,,,103-106,2,C. McCollum makes 2-pt shot from 19 ft
5:25.0,J. Harden misses 2-pt shot from 1 ft,,103-106,,
5:22.0,,,103-106,,Defensive rebound by A. Aminu
5:12.0,,,103-106,,Turnover by D. Lillard (bad pass; steal by T. Ariza)
4:55.0,J. Harden makes 2-pt shot from 1 ft,2,105-106,,
4:55.0,,,105-106,,Portland full timeout
4:55.0,E. Gordon enters the game for L. Mbah a Moute,,105-106,,
4:36.0,,,105-109,3,D. Lillard makes 3-pt shot from 26 ft
4:11.0,C. Paul makes 2-pt shot at rim,2,107-109,,
3:44.0,,,107-109,,Turnover by E. Turner (lost ball; steal by C. Paul)
3:40.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,110-109,,
3:22.0,,,110-109,,D. Lillard misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by P. Tucker,,110-109,,
3:12.0,P. Tucker makes 2-pt shot from 1 ft (assist by C. Paul),2,112-109,,
2:46.0,,,112-111,2,N. Vonleh makes 2-pt shot from 17 ft (assist by A. Aminu)
2:17.0,P. Tucker makes 2-pt shot at rim (assist by C. Paul),2,114-111,,
2:06.0,,,114-113,2,C. McCollum makes 2-pt shot from 14 ft
2:06.0,Houston full timeout,,114-113,,
2:06.0,,,114-113,,P. Connaughton enters the game for N. Vonleh
1:46.0,J. Harden makes 2-pt shot from 1 ft,2,116-113,,
1:46.0,Shooting foul by D. Lillard (drawn by J. Harden),,116-113,,
