time,New York,pts.away,score,pts.home,Oklahoma City
8:46.0,,,6-7,,C. Anthony misses 3-pt shot from 24 ft
8:45.0,,,6-7,,Offensive rebound by Team
8:45.0,Loose ball foul by R. Sessions (drawn by A. Roberson),,6-7,,
8:41.0,,,6-7,,R. Westbrook misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by E. Kanter,,6-7,,
8:32.0,K. Porzingis misses 2-pt shot from 5 ft,,6-7,,
8:31.0,Offensive rebound by Team,,6-7,,
8:31.0,,,6-7,,Loose ball foul by S. Adams (drawn by E. Kanter)
8:23.0,T. Hardaway misses 3-pt shot from 22 ft,,6-7,,
8:21.0,Offensive rebound by E. Kanter,,6-7,,
8:20.0,E. Kanter makes 2-pt shot from 1 ft,2,8-7,,
7:54.0,,,8-7,,C. Anthony misses 3-pt shot from 25 ft
7:53.0,,,8-7,,Offensive rebound by Team
7:50.0,,,8-7,,R. Westbrook misses 3-pt shot from 24 ft
7:48.0,,,8-7,,Offensive rebound by Team
7:46.0,Personal foul by T. Hardaway (drawn by P. George),,8-7,,
7:46.0,L. Thomas enters the game for T. Hardaway,,8-7,,
7:34.0,,,8-7,,C. Anthony misses 2-pt shot at rim
7:31.0,Defensive rebound by E. Kanter,,8-7,,
7:26.0,K. Porzingis makes 2-pt shot from 21 ft (assist by L. Thomas),2,10-7,,
7:08.0,,,10-10,3,P. George makes 3-pt shot from 24 ft
6:59.0,Offensive foul by L. Thomas (drawn by P. George),,10-10,,
6:59.0,Turnover by L. Thomas (offensive foul),,10-10,,
6:59.0,,,10-10,,Oklahoma City full timeout
6:59.0,,,10-10,,A. Abrines enters the game for A. Roberson
6:47.0,,,10-13,3,A. Abrines makes 3-pt shot from 23 ft (assist by C. Anthony)
6:25.0,Turnover by E. Kanter (lost ball; steal by C. Anthony),,10-13,,
6:22.0,,,10-13,,A. Abrines misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by R. Sessions,,10-13,,
6:10.0,L. Thomas misses 3-pt shot from 23 ft,,10-13,,
6:10.0,Offensive rebound by E. Kanter,,10-13,,
6:07.0,E. Kanter makes 2-pt shot from 1 ft,2,12-13,,
5:50.0,,,12-13,,P. George misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by K. Porzingis,,12-13,,
5:41.0,K. Porzingis misses 3-pt shot from 24 ft,,12-13,,
5:41.0,,,12-13,,Defensive rebound by Team
5:41.0,,,12-13,,J. Grant enters the game for C. Anthony
5:31.0,,,12-13,,Turnover by R. Westbrook (bad pass; steal by E. Kanter)
5:24.0,Turnover by R. Sessions (bad pass; steal by A. Abrines),,12-13,,
5:18.0,,,12-16,3,P. George makes 3-pt shot from 22 ft
4:54.0,Turnover by K. Porzingis (bad pass; steal by S. Adams),,12-16,,
4:52.0,,,12-16,,Shooting foul by R. Sessions (drawn by P. George)
4:52.0,,,12-17,1,P. George makes free throw 1 of 2
4:52.0,R. Baker enters the game for R. Sessions,,12-17,,
4:52.0,D. McDermott enters the game for K. Porzingis,,12-17,,
4:52.0,,,12-18,1,P. George makes free throw 2 of 2
4:37.0,Turnover by R. Baker (bad pass; steal by S. Adams),,12-18,,
4:31.0,,,12-20,2,R. Westbrook makes 2-pt shot from 1 ft
4:22.0,New York full timeout,,12-20,,
4:17.0,E. Kanter misses 2-pt shot from 2 ft,,12-20,,
4:15.0,,,12-20,,Defensive rebound by S. Adams
4:12.0,,,12-20,,Turnover by J. Grant (offensive goaltending)
3:58.0,Turnover by E. Kanter (traveling),,12-20,,
3:44.0,,,12-20,,Offensive foul by S. Adams (drawn by L. Thomas)
3:44.0,,,12-20,,Turnover by S. Adams (offensive foul)
3:44.0,,,12-20,,T. Ferguson enters the game for S. Adams
3:44.0,,,12-20,,C. Anthony enters the game for P. George
3:44.0,M. Beasley enters the game for E. Kanter,,12-20,,
3:44.0,K. O'Quinn enters the game for L. Thomas,,12-20,,
3:27.0,M. Beasley makes 2-pt shot from 17 ft (assist by D. McDermott),2,14-20,,
3:20.0,,,14-20,,R. Westbrook misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by K. O'Quinn,,14-20,,
3:10.0,K. O'Quinn makes 2-pt shot at rim (assist by R. Baker),2,16-20,,
3:08.0,Personal take foul by R. Baker (drawn by R. Westbrook),,16-20,,
3:08.0,,,16-21,1,R. Westbrook makes free throw 1 of 2
3:08.0,K. Porzingis enters the game for M. Beasley,,16-21,,
3:08.0,,,16-21,,R. Westbrook misses free throw 2 of 2
3:05.0,Defensive rebound by K. O'Quinn,,16-21,,
2:58.0,Turnover by C. Lee (traveling),,16-21,,
2:47.0,,,16-23,2,R. Westbrook makes 2-pt shot from 1 ft
2:37.0,Offensive foul by K. O'Quinn (drawn by C. Anthony),,16-23,,
2:37.0,Turnover by K. O'Quinn (offensive foul),,16-23,,
2:37.0,,,16-23,,R. Felton enters the game for R. Westbrook
2:18.0,,,16-23,,Turnover by T. Ferguson (traveling)
2:06.0,Shooting foul by J. Grant (drawn by K. Porzingis),,16-23,,
2:06.0,K. Porzingis makes free throw 1 of 2,1,17-23,,
2:06.0,,,17-23,,P. George enters the game for T. Ferguson
2:06.0,K. Porzingis makes free throw 2 of 2,1,18-23,,
1:43.0,,,18-23,,Turnover by J. Grant (lost ball; steal by R. Baker)
1:38.0,C. Lee makes 2-pt shot at rim,2,20-23,,
1:18.0,,,20-23,,Turnover by C. Anthony (traveling)
1:18.0,L. Thomas enters the game for C. Lee,,20-23,,
1:05.0,Offensive charge foul by K. Porzingis (drawn by J. Grant),,20-23,,
1:05.0,Turnover by K. Porzingis (offensive foul),,20-23,,
0:50.0,,,20-26,3,P. George makes 3-pt shot from 24 ft (assist by R. Felton)
0:39.0,Turnover by R. Baker (lost ball; steal by R. Felton),,20-26,,
0:35.0,,,20-26,,J. Grant misses 2-pt shot at rim
0:33.0,Defensive rebound by K. Porzingis,,20-26,,
0:30.0,K. Porzingis makes 2-pt shot from 4 ft (assist by D. McDermott),2,22-26,,
0:11.0,,,22-26,,Shooting foul by K. O'Quinn (drawn by C. Anthony)
0:11.0,,,22-26,,C. Anthony misses free throw 1 of 2
0:11.0,,,22-26,,Offensive rebound by Team
0:11.0,,,22-26,,A. Roberson enters the game for A. Abrines
0:11.0,T. Hardaway enters the game for K. O'Quinn,,22-26,,
0:11.0,C. Lee enters the game for L. Thomas,,22-26,,
0:11.0,,,22-27,1,C. Anthony makes free throw 2 of 2
0:05.0,,,22-27,,Personal foul by R. Felton (drawn by R. Baker)
0:02.0,K. Porzingis makes 2-pt shot from 18 ft (assist by D. McDermott),2,24-27,,
0:00.0,,,24-27,,C. Anthony misses 3-pt shot from 36 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-27,,P. George misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by K. Porzingis,,24-27,,
11:36.0,Turnover by D. McDermott (traveling),,24-27,,
11:14.0,,,24-27,,P. George misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by K. Porzingis,,24-27,,
10:55.0,D. McDermott misses 2-pt shot from 3 ft,,24-27,,
10:53.0,,,24-27,,Defensive rebound by A. Roberson
10:48.0,,,24-27,,P. Patterson misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by R. Baker,,24-27,,
10:37.0,,,24-27,,Loose ball foul by R. Felton (drawn by R. Baker)
10:30.0,K. Porzingis makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,27-27,,
10:09.0,,,27-27,,P. George misses 3-pt shot from 22 ft
10:07.0,Defensive rebound by K. Porzingis,,27-27,,
10:02.0,F. Ntilikina enters the game for R. Baker,,27-27,,
9:54.0,K. Porzingis misses 2-pt shot from 12 ft,,27-27,,
9:52.0,Offensive rebound by K. O'Quinn,,27-27,,
9:51.0,K. O'Quinn makes 2-pt shot from 1 ft,2,29-27,,
9:41.0,,,29-27,,C. Anthony misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by K. Porzingis,,29-27,,
9:29.0,K. O'Quinn misses 2-pt shot from 4 ft (block by C. Anthony),,29-27,,
9:26.0,,,29-27,,Defensive rebound by A. Roberson
9:22.0,,,29-27,,Shooting foul by K. Porzingis (drawn by C. Anthony)
9:22.0,,,29-28,1,C. Anthony makes free throw 1 of 2
9:22.0,,,29-28,,C. Anthony misses free throw 2 of 2
9:20.0,Defensive rebound by K. O'Quinn,,29-28,,
9:03.0,K. Porzingis makes 2-pt shot from 1 ft,2,31-28,,
8:45.0,,,31-30,2,C. Anthony makes 2-pt shot from 16 ft
8:34.0,,,31-30,,R. Westbrook enters the game for R. Felton
8:34.0,C. Lee enters the game for D. McDermott,,31-30,,
8:32.0,F. Ntilikina misses 2-pt shot from 11 ft,,31-30,,
8:29.0,,,31-30,,Defensive rebound by P. Patterson
8:23.0,,,31-30,,P. Patterson misses 3-pt shot from 24 ft
8:21.0,,,31-30,,Offensive rebound by R. Westbrook
8:19.0,,,31-30,,C. Anthony misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by C. Lee,,31-30,,
8:12.0,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Lee),3,34-30,,
7:48.0,,,34-30,,C. Anthony misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by K. O'Quinn,,34-30,,
7:34.0,K. Porzingis misses 2-pt shot from 5 ft,,34-30,,
7:32.0,,,34-30,,Defensive rebound by R. Westbrook
7:28.0,,,34-33,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
7:27.0,New York full timeout,,34-33,,
7:27.0,,,34-33,,S. Adams enters the game for C. Anthony
7:27.0,L. Thomas enters the game for K. Porzingis,,34-33,,
7:27.0,E. Kanter enters the game for K. O'Quinn,,34-33,,
7:14.0,Turnover by T. Hardaway (bad pass; steal by S. Adams),,34-33,,
7:09.0,,,34-33,,A. Roberson misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by E. Kanter,,34-33,,
6:59.0,E. Kanter misses 2-pt shot from 2 ft (block by R. Westbrook),,34-33,,
6:59.0,Offensive rebound by Team,,34-33,,
6:52.0,T. Hardaway makes 2-pt shot from 21 ft (assist by F. Ntilikina),2,36-33,,
6:38.0,,,36-33,,Turnover by P. Patterson (turnover)
6:25.0,F. Ntilikina misses 2-pt shot from 14 ft,,36-33,,
6:24.0,,,36-33,,Defensive rebound by P. Patterson
6:20.0,Personal foul by F. Ntilikina (drawn by S. Adams),,36-33,,
6:20.0,,,36-33,,A. Abrines enters the game for A. Roberson
6:12.0,,,36-33,,P. George misses 2-pt shot from 13 ft
6:10.0,Defensive rebound by L. Thomas,,36-33,,
5:58.0,L. Thomas misses 3-pt shot from 24 ft,,36-33,,
5:55.0,,,36-33,,Defensive rebound by P. George
5:53.0,,,36-33,,Turnover by R. Westbrook (bad pass)
5:39.0,T. Hardaway misses 3-pt shot from 25 ft,,36-33,,
5:36.0,,,36-33,,Defensive rebound by P. George
5:32.0,,,36-35,2,R. Westbrook makes 2-pt shot from 1 ft
5:19.0,Turnover by F. Ntilikina (bad pass; steal by S. Adams),,36-35,,
5:18.0,,,36-37,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
5:18.0,,,36-37,,Shooting foul by T. Hardaway (drawn by R. Westbrook)
5:18.0,R. Sessions enters the game for T. Hardaway,,36-37,,
5:18.0,K. Porzingis enters the game for F. Ntilikina,,36-37,,
5:18.0,,,36-38,1,R. Westbrook makes free throw 1 of 1
5:18.0,,,36-38,,C. Anthony enters the game for P. Patterson
5:00.0,K. Porzingis makes 2-pt shot from 7 ft,2,38-38,,
4:41.0,,,38-40,2,C. Anthony makes 2-pt shot from 16 ft (assist by R. Westbrook)
4:22.0,E. Kanter misses 3-pt shot from 24 ft,,38-40,,
4:18.0,,,38-40,,Defensive rebound by A. Abrines
4:09.0,,,38-40,,P. George misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by Team,,38-40,,
3:59.0,Shooting foul by C. Anthony (drawn by K. Porzingis),,38-40,,
3:59.0,K. Porzingis makes free throw 1 of 2,1,39-40,,
3:59.0,K. Porzingis makes free throw 2 of 2,1,40-40,,
3:34.0,,,40-40,,Turnover by Team (shot clock)
3:22.0,Turnover by E. Kanter (traveling),,40-40,,
3:05.0,,,40-40,,Shooting foul by L. Thomas (drawn by S. Adams)
3:05.0,,,40-41,1,S. Adams makes free throw 1 of 2
3:05.0,,,40-42,1,S. Adams makes free throw 2 of 2
2:48.0,C. Lee misses 2-pt shot from 16 ft,,40-42,,
2:44.0,Offensive rebound by K. Porzingis,,40-42,,
2:43.0,K. Porzingis makes 2-pt shot from 1 ft,2,42-42,,
2:28.0,,,42-42,,R. Westbrook misses 2-pt shot from 1 ft
2:26.0,,,42-44,2,S. Adams makes 2-pt shot at rim
2:24.0,,,42-44,,Offensive rebound by S. Adams
2:04.0,R. Sessions misses 3-pt shot from 24 ft,,42-44,,
2:00.0,,,42-44,,Defensive rebound by A. Abrines
1:52.0,,,42-44,,Turnover by R. Westbrook (bad pass; steal by R. Sessions)
1:44.0,K. Porzingis misses 3-pt shot from 25 ft,,42-44,,
1:40.0,,,42-44,,Defensive rebound by S. Adams
1:38.0,,,42-46,2,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:38.0,,,42-46,,Shooting foul by R. Sessions (drawn by C. Anthony)
1:38.0,,,42-46,,Oklahoma City full timeout
1:38.0,K. O'Quinn enters the game for E. Kanter,,42-46,,
1:38.0,,,42-47,1,C. Anthony makes free throw 1 of 1
1:15.0,K. Porzingis misses 2-pt shot from 10 ft,,42-47,,
1:11.0,Offensive rebound by K. O'Quinn,,42-47,,
1:09.0,K. O'Quinn misses 2-pt shot from 2 ft (block by S. Adams),,42-47,,
1:09.0,Offensive rebound by K. Porzingis,,42-47,,
1:08.0,K. Porzingis misses 2-pt shot from 3 ft,,42-47,,
1:07.0,,,42-47,,Defensive rebound by R. Westbrook
0:59.0,,,42-49,2,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook)
0:43.0,C. Lee misses 2-pt shot from 5 ft,,42-49,,
0:43.0,,,42-49,,Defensive rebound by S. Adams
0:39.0,Technical foul by C. Lee,,42-49,,
0:39.0,,,42-49,,R. Westbrook misses technical free throw
0:39.0,,,42-49,,Offensive rebound by Team
0:29.0,,,42-49,,P. George misses 3-pt shot from 24 ft
0:26.0,,,42-49,,Offensive rebound by Team
0:08.0,Personal foul by L. Thomas (drawn by R. Westbrook),,42-49,,
0:08.0,,,42-50,1,R. Westbrook makes free throw 1 of 2
0:08.0,,,42-50,,T. Ferguson enters the game for C. Anthony
0:08.0,,,42-50,,A. Roberson enters the game for A. Abrines
0:08.0,,,42-50,,J. Grant enters the game for S. Adams
0:08.0,T. Hardaway enters the game for L. Thomas,,42-50,,
0:08.0,,,42-51,1,R. Westbrook makes free throw 2 of 2
0:04.0,,,42-51,,Personal take foul by R. Westbrook (drawn by R. Sessions)
0:02.0,Turnover by T. Hardaway (bad pass; steal by P. George),,42-51,,
0:00.0,,,42-53,2,P. George makes 2-pt shot from 1 ft (assist by A. Roberson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,42-54,1,R. Westbrook makes technical free throw
11:50.0,,,42-54,,Turnover by R. Westbrook (bad pass; steal by E. Kanter)
11:44.0,C. Lee makes 2-pt shot from 8 ft,2,44-54,,
11:27.0,,,44-56,2,C. Anthony makes 2-pt shot from 17 ft (assist by R. Westbrook)
11:11.0,T. Hardaway misses 2-pt shot from 16 ft,,44-56,,
11:11.0,,,44-56,,Defensive rebound by Team
10:51.0,,,44-56,,A. Roberson misses 2-pt shot from 3 ft (block by R. Sessions)
10:49.0,,,44-56,,Offensive rebound by A. Roberson
10:46.0,,,44-56,,Turnover by Team (shot clock)
10:33.0,K. Porzingis misses 2-pt shot from 9 ft,,44-56,,
10:30.0,,,44-56,,Defensive rebound by A. Roberson
10:18.0,,,44-56,,Turnover by P. George (out of bounds lost ball)
10:01.0,,,44-56,,Personal foul by R. Westbrook (drawn by K. Porzingis)
9:53.0,Turnover by R. Sessions (bad pass; steal by A. Roberson),,44-56,,
9:50.0,,,44-58,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson)
9:36.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,46-58,,
9:12.0,,,46-60,2,C. Anthony makes 2-pt shot from 13 ft (assist by P. George)
9:00.0,Turnover by R. Sessions (bad pass; steal by S. Adams),,46-60,,
8:56.0,,,46-62,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:32.0,E. Kanter makes 2-pt shot from 12 ft,2,48-62,,
8:07.0,,,48-62,,A. Roberson misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by E. Kanter,,48-62,,
8:05.0,,,48-62,,Personal foul by S. Adams (drawn by E. Kanter)
7:52.0,,,48-62,,Personal foul by P. George (drawn by T. Hardaway)
7:47.0,K. Porzingis makes 2-pt shot from 6 ft (assist by R. Sessions),2,50-62,,
7:33.0,,,50-62,,R. Westbrook misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by R. Sessions,,50-62,,
7:25.0,E. Kanter makes 2-pt shot at rim (assist by C. Lee),2,52-62,,
7:25.0,,,52-62,,Oklahoma City full timeout
7:11.0,,,52-62,,P. George misses 2-pt shot from 13 ft
7:11.0,Defensive rebound by K. Porzingis,,52-62,,
6:55.0,K. Porzingis misses 2-pt shot from 15 ft,,52-62,,
6:54.0,,,52-62,,Defensive rebound by C. Anthony
6:49.0,,,52-62,,Shooting foul by K. Porzingis (drawn by R. Westbrook)
6:49.0,,,52-62,,R. Westbrook misses free throw 1 of 2
6:49.0,,,52-62,,Offensive rebound by Team
6:49.0,,,52-63,1,R. Westbrook makes free throw 2 of 2
6:27.0,T. Hardaway misses 3-pt shot from 24 ft (block by P. George),,52-63,,
6:24.0,,,52-63,,Defensive rebound by R. Westbrook
6:23.0,,,52-65,2,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:02.0,E. Kanter misses 2-pt shot from 4 ft,,52-65,,
6:01.0,,,52-65,,Defensive rebound by Team
6:01.0,,,52-65,,J. Grant enters the game for C. Anthony
5:50.0,,,52-67,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:37.0,,,52-67,,Personal foul by J. Grant (drawn by K. Porzingis)
5:33.0,Turnover by E. Kanter (traveling),,52-67,,
5:25.0,,,52-69,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
5:24.0,New York full timeout,,52-69,,
5:07.0,K. Porzingis misses 3-pt shot from 25 ft,,52-69,,
5:04.0,,,52-69,,Defensive rebound by R. Westbrook
5:02.0,,,52-69,,Turnover by R. Westbrook (bad pass; steal by E. Kanter)
4:59.0,K. Porzingis misses 2-pt shot from 1 ft,,52-69,,
4:57.0,,,52-69,,Defensive rebound by P. George
4:37.0,,,52-71,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:07.0,R. Sessions misses 2-pt shot from 1 ft,,52-71,,
4:04.0,,,52-71,,Defensive rebound by P. George
4:00.0,,,52-71,,P. George misses 2-pt shot from 21 ft
3:57.0,Defensive rebound by E. Kanter,,52-71,,
3:48.0,Turnover by C. Lee (out of bounds lost ball),,52-71,,
3:48.0,,,52-71,,A. Abrines enters the game for S. Adams
3:48.0,,,52-71,,C. Anthony enters the game for P. George
3:48.0,R. Baker enters the game for E. Kanter,,52-71,,
3:48.0,K. O'Quinn enters the game for R. Sessions,,52-71,,
3:32.0,,,52-71,,J. Grant misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by Team,,52-71,,
3:31.0,,,52-71,,Loose ball foul by R. Westbrook (drawn by R. Baker)
3:31.0,R. Baker misses free throw 1 of 2,,52-71,,
3:31.0,Offensive rebound by Team,,52-71,,
3:31.0,D. McDermott enters the game for T. Hardaway,,52-71,,
3:31.0,R. Baker makes free throw 2 of 2,1,53-71,,
3:23.0,,,53-73,2,R. Westbrook makes 2-pt shot at rim
3:03.0,C. Lee misses 3-pt shot from 23 ft,,53-73,,
3:02.0,Offensive rebound by K. O'Quinn,,53-73,,
3:02.0,Shooting foul by A. Abrines (drawn by K. O'Quinn),,53-73,,
3:02.0,K. O'Quinn makes free throw 1 of 2,1,54-73,,
3:02.0,L. Thomas enters the game for K. Porzingis,,54-73,,
3:02.0,K. O'Quinn makes free throw 2 of 2,1,55-73,,
2:45.0,,,55-73,,C. Anthony misses 3-pt shot from 25 ft
2:42.0,,,55-73,,Offensive rebound by A. Roberson
2:41.0,,,55-75,2,A. Roberson makes 2-pt shot from 1 ft
2:27.0,R. Baker misses 3-pt shot from 25 ft,,55-75,,
2:24.0,,,55-75,,Defensive rebound by R. Westbrook
2:18.0,,,55-75,,Turnover by R. Westbrook (bad pass; steal by R. Baker)
2:14.0,,,55-75,,Personal foul by C. Anthony (drawn by R. Baker)
2:14.0,R. Baker misses free throw 1 of 2,,55-75,,
2:14.0,Offensive rebound by Team,,55-75,,
2:14.0,,,55-75,,R. Felton enters the game for R. Westbrook
2:14.0,R. Baker misses free throw 2 of 2,,55-75,,
2:13.0,,,55-75,,Defensive rebound by Team
2:13.0,Loose ball foul by K. O'Quinn (drawn by J. Grant),,55-75,,
2:02.0,Personal foul by L. Thomas (drawn by C. Anthony),,55-75,,
2:02.0,,,55-75,,T. Ferguson enters the game for A. Roberson
1:52.0,,,55-75,,C. Anthony misses 2-pt shot from 6 ft
1:51.0,Defensive rebound by Team,,55-75,,
1:32.0,L. Thomas misses 2-pt shot from 12 ft (block by C. Anthony),,55-75,,
1:30.0,Offensive rebound by L. Thomas,,55-75,,
1:29.0,Turnover by L. Thomas (out of bounds lost ball),,55-75,,
1:13.0,,,55-75,,Turnover by A. Abrines (lost ball; steal by C. Lee)
1:10.0,C. Lee makes 2-pt shot at rim,2,57-75,,
0:47.0,,,57-77,2,R. Felton makes 2-pt shot from 5 ft
0:29.0,C. Lee misses 2-pt shot from 14 ft,,57-77,,
0:28.0,Offensive rebound by L. Thomas,,57-77,,
0:28.0,L. Thomas makes 2-pt shot at rim,2,59-77,,
0:04.0,,,59-77,,C. Anthony misses 3-pt shot from 25 ft
0:01.0,,,59-77,,Offensive rebound by J. Grant
0:00.0,,,59-79,2,J. Grant makes 2-pt shot from 10 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Porzingis makes 2-pt shot at rim (assist by R. Baker),2,61-79,,
11:17.0,,,61-79,,R. Felton misses 2-pt shot from 6 ft
11:14.0,Defensive rebound by K. O'Quinn,,61-79,,
11:03.0,D. McDermott makes 2-pt shot from 8 ft (assist by T. Hardaway),2,63-79,,
10:44.0,,,63-82,3,P. George makes 3-pt shot from 24 ft (assist by J. Grant)
10:31.0,Shooting foul by J. Grant (drawn by R. Baker),,63-82,,
10:31.0,R. Baker misses free throw 1 of 2,,63-82,,
10:31.0,Offensive rebound by Team,,63-82,,
10:31.0,R. Baker makes free throw 2 of 2,1,64-82,,
10:18.0,,,64-82,,Turnover by C. Anthony (bad pass; steal by R. Baker)
10:15.0,Turnover by R. Baker (bad pass; steal by R. Felton),,64-82,,
10:12.0,,,64-85,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Felton)
10:02.0,,,64-85,,Personal foul by T. Ferguson (drawn by D. McDermott)
9:55.0,T. Hardaway misses 3-pt shot from 24 ft,,64-85,,
9:51.0,Offensive rebound by D. McDermott,,64-85,,
9:39.0,T. Hardaway misses 2-pt shot from 5 ft,,64-85,,
9:36.0,,,64-85,,Defensive rebound by P. George
9:32.0,,,64-85,,T. Ferguson misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by D. McDermott,,64-85,,
9:22.0,R. Baker makes 3-pt shot from 24 ft,3,67-85,,
9:04.0,,,67-85,,P. George misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by K. O'Quinn,,67-85,,
8:44.0,Turnover by K. O'Quinn (lost ball; steal by C. Anthony),,67-85,,
8:39.0,,,67-87,2,T. Ferguson makes 2-pt shot from 1 ft (assist by J. Grant)
8:37.0,New York full timeout,,67-87,,
8:37.0,,,67-87,,S. Adams enters the game for J. Grant
8:37.0,,,67-87,,R. Westbrook enters the game for T. Ferguson
8:25.0,Shooting foul by R. Westbrook (drawn by K. Porzingis),,67-87,,
8:25.0,K. Porzingis misses free throw 1 of 2,,67-87,,
8:25.0,Offensive rebound by Team,,67-87,,
8:25.0,K. Porzingis makes free throw 2 of 2,1,68-87,,
8:09.0,,,68-87,,C. Anthony misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by D. McDermott,,68-87,,
7:53.0,K. Porzingis misses 3-pt shot from 24 ft,,68-87,,
7:52.0,Offensive rebound by Team,,68-87,,
7:52.0,,,68-87,,Loose ball foul by C. Anthony (drawn by K. O'Quinn)
7:52.0,,,68-87,,J. Grant enters the game for C. Anthony
7:42.0,K. Porzingis makes 3-pt shot from 25 ft (assist by R. Baker),3,71-87,,
7:27.0,,,71-87,,P. George misses 2-pt shot from 2 ft (block by D. McDermott)
7:27.0,,,71-87,,Offensive rebound by Team
7:27.0,,,71-87,,A. Abrines enters the game for R. Felton
7:17.0,,,71-89,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
7:00.0,D. McDermott misses 2-pt shot from 3 ft (block by S. Adams),,71-89,,
6:57.0,,,71-89,,Defensive rebound by A. Abrines
6:54.0,,,71-91,2,R. Westbrook makes 2-pt shot from 1 ft
6:54.0,,,71-91,,Shooting foul by K. O'Quinn (drawn by R. Westbrook)
6:54.0,,,71-92,1,R. Westbrook makes free throw 1 of 1
