time,Washington,pts.away,score,pts.home,Detroit
4:17.0,,,10-19,,Defensive rebound by A. Bradley
4:09.0,,,10-19,,T. Harris misses 3-pt shot from 25 ft
4:05.0,,,10-19,,Offensive rebound by A. Drummond
4:03.0,,,10-21,2,A. Drummond makes 2-pt shot at rim
3:47.0,M. Morris misses 2-pt shot from 10 ft,,10-21,,
3:46.0,,,10-21,,Defensive rebound by A. Drummond
3:40.0,,,10-23,2,I. Smith makes 2-pt shot from 8 ft
3:39.0,Washington full timeout,,10-23,,
3:39.0,,,10-23,,D. Buycks enters the game for I. Smith
3:39.0,,,10-23,,L. Kennard enters the game for R. Bullock
3:39.0,K. Oubre enters the game for M. Morris,,10-23,,
3:39.0,T. Satoransky enters the game for O. Porter,,10-23,,
3:25.0,Turnover by J. Wall (bad pass; steal by D. Buycks),,10-23,,
3:20.0,,,10-25,2,D. Buycks makes 2-pt shot at rim
3:12.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Satoransky),2,12-25,,
2:51.0,,,12-25,,Turnover by A. Drummond (bad pass; steal by T. Satoransky)
2:42.0,Shooting foul by L. Kennard (drawn by B. Beal),,12-25,,
2:42.0,B. Beal makes free throw 1 of 2,1,13-25,,
2:42.0,B. Beal makes free throw 2 of 2,1,14-25,,
2:42.0,J. Meeks enters the game for J. Wall,,14-25,,
2:26.0,,,14-27,2,A. Bradley makes 2-pt shot from 16 ft (assist by A. Drummond)
1:59.0,J. Meeks misses 3-pt shot from 24 ft,,14-27,,
1:57.0,,,14-27,,Defensive rebound by A. Drummond
1:48.0,,,14-27,,T. Harris misses 2-pt shot from 1 ft (block by I. Mahinmi)
1:47.0,Defensive rebound by Team,,14-27,,
1:37.0,Turnover by I. Mahinmi (bad pass),,14-27,,
1:17.0,,,14-29,2,T. Harris makes 2-pt shot from 6 ft (assist by L. Kennard)
0:58.0,K. Oubre makes 3-pt shot from 22 ft (assist by B. Beal),3,17-29,,
0:47.0,,,17-29,,D. Buycks misses 2-pt shot from 1 ft (block by T. Satoransky)
0:43.0,Defensive rebound by B. Beal,,17-29,,
0:32.0,K. Oubre makes 2-pt shot from 1 ft (assist by J. Meeks),2,19-29,,
0:12.0,,,19-29,,Turnover by T. Harris (lost ball; steal by I. Mahinmi)
0:12.0,,,19-29,,Personal foul by T. Harris (drawn by I. Mahinmi)
0:12.0,,,19-29,,L. Galloway enters the game for A. Bradley
0:01.0,I. Mahinmi misses 2-pt shot from 2 ft,,19-29,,
0:01.0,,,19-29,,Defensive rebound by T. Harris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,19-29,,Turnover by A. Tolliver (lost ball; steal by O. Porter)
11:38.0,J. Meeks makes 2-pt shot from 1 ft,2,21-29,,
11:38.0,,,21-29,,Violation by E. Moreland (def goaltending)
11:23.0,,,21-29,,Shooting foul by K. Oubre (drawn by A. Tolliver)
11:23.0,,,21-30,1,A. Tolliver makes free throw 1 of 2
11:23.0,,,21-31,1,A. Tolliver makes free throw 2 of 2
11:10.0,M. Scott makes 2-pt shot from 14 ft (assist by J. Meeks),2,23-31,,
10:57.0,,,23-31,,Turnover by D. Buycks (bad pass; steal by J. Meeks)
10:53.0,J. Meeks makes 2-pt shot at rim,2,25-31,,
10:35.0,,,25-31,,Turnover by A. Tolliver (bad pass)
10:26.0,J. Meeks misses 3-pt shot from 24 ft,,25-31,,
10:22.0,,,25-31,,Defensive rebound by A. Tolliver
10:12.0,,,25-33,2,E. Moreland makes 2-pt shot from 8 ft
9:51.0,J. Meeks makes 2-pt shot from 2 ft (assist by M. Scott),2,27-33,,
9:41.0,,,27-33,,L. Galloway misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by T. Satoransky,,27-33,,
9:34.0,K. Oubre misses 3-pt shot from 24 ft,,27-33,,
9:29.0,Offensive rebound by O. Porter,,27-33,,
9:22.0,Turnover by M. Scott (bad pass; steal by E. Moreland),,27-33,,
9:11.0,,,27-33,,Turnover by E. Moreland (bad pass; steal by O. Porter)
9:07.0,O. Porter misses 2-pt shot from 1 ft,,27-33,,
9:02.0,Offensive rebound by M. Scott,,27-33,,
9:02.0,M. Scott makes 2-pt shot at rim,2,29-33,,
8:57.0,,,29-33,,Detroit full timeout
8:57.0,,,29-33,,I. Smith enters the game for D. Buycks
8:52.0,,,29-35,2,E. Moreland makes 2-pt shot at rim (assist by L. Kennard)
8:52.0,,,29-35,,Shooting foul by M. Scott (drawn by E. Moreland)
8:52.0,,,29-35,,E. Moreland misses free throw 1 of 1
8:48.0,Defensive rebound by O. Porter,,29-35,,
8:28.0,O. Porter makes 3-pt shot from 23 ft (assist by T. Satoransky),3,32-35,,
8:04.0,,,32-35,,A. Tolliver misses 3-pt shot from 22 ft
8:02.0,,,32-35,,Offensive rebound by Team
7:49.0,,,32-35,,L. Galloway misses 3-pt shot from 28 ft
7:44.0,Defensive rebound by K. Oubre,,32-35,,
7:38.0,Shooting foul by L. Kennard (drawn by K. Oubre),,32-35,,
7:38.0,K. Oubre makes free throw 1 of 2,1,33-35,,
7:38.0,,,33-35,,R. Bullock enters the game for L. Galloway
7:38.0,J. Wall enters the game for T. Satoransky,,33-35,,
7:38.0,K. Oubre makes free throw 2 of 2,1,34-35,,
7:19.0,,,34-35,,L. Kennard misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by M. Scott,,34-35,,
7:06.0,Shooting foul by E. Moreland (drawn by M. Scott),,34-35,,
7:06.0,M. Scott makes free throw 1 of 2,1,35-35,,
7:06.0,,,35-35,,T. Harris enters the game for E. Moreland
7:06.0,,,35-35,,A. Drummond enters the game for A. Tolliver
7:06.0,B. Beal enters the game for J. Meeks,,35-35,,
7:06.0,M. Scott makes free throw 2 of 2,1,36-35,,
6:44.0,,,36-35,,T. Harris misses 2-pt shot from 8 ft
6:42.0,Defensive rebound by M. Scott,,36-35,,
6:27.0,M. Scott misses 3-pt shot from 25 ft,,36-35,,
6:24.0,,,36-35,,Defensive rebound by Team
6:04.0,,,36-35,,I. Smith misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by M. Scott,,36-35,,
5:52.0,K. Oubre misses 3-pt shot from 25 ft,,36-35,,
5:48.0,,,36-35,,Defensive rebound by A. Drummond
5:42.0,,,36-35,,R. Bullock misses 3-pt shot from 23 ft
5:41.0,,,36-35,,Offensive rebound by A. Drummond
5:39.0,,,36-35,,A. Bradley enters the game for L. Kennard
5:39.0,M. Morris enters the game for M. Scott,,36-35,,
5:37.0,,,36-35,,T. Harris misses 3-pt shot from 22 ft
5:34.0,Defensive rebound by M. Morris,,36-35,,
5:10.0,J. Wall misses 2-pt shot from 11 ft,,36-35,,
5:08.0,,,36-35,,Defensive rebound by A. Drummond
5:03.0,,,36-35,,Shooting foul by O. Porter (drawn by I. Smith)
5:03.0,,,36-35,,I. Smith misses free throw 1 of 2
5:03.0,,,36-35,,Offensive rebound by Team
5:03.0,,,36-36,1,I. Smith makes free throw 2 of 2
4:48.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,39-36,,
4:29.0,,,39-36,,A. Bradley misses 2-pt shot from 9 ft
4:27.0,Defensive rebound by M. Morris,,39-36,,
4:24.0,Offensive charge foul by J. Wall (drawn by I. Smith),,39-36,,
4:24.0,Turnover by J. Wall (offensive foul),,39-36,,
4:08.0,,,39-36,,T. Harris misses 3-pt shot from 26 ft
4:06.0,,,39-36,,Offensive rebound by A. Drummond
4:02.0,,,39-38,2,A. Drummond makes 2-pt shot at rim
4:02.0,Washington full timeout,,39-38,,
3:45.0,B. Beal misses 3-pt shot from 24 ft,,39-38,,
3:41.0,Offensive rebound by M. Morris,,39-38,,
3:34.0,M. Morris misses 2-pt shot from 4 ft,,39-38,,
3:32.0,,,39-38,,Defensive rebound by A. Drummond
3:30.0,,,39-38,,A. Bradley misses 2-pt shot from 13 ft
3:30.0,Defensive rebound by K. Oubre,,39-38,,
3:15.0,K. Oubre misses 2-pt shot from 3 ft,,39-38,,
3:15.0,Offensive rebound by Team,,39-38,,
3:15.0,,,39-38,,Loose ball foul by A. Drummond (drawn by M. Morris)
3:09.0,O. Porter misses 3-pt shot from 25 ft,,39-38,,
3:05.0,,,39-38,,Defensive rebound by A. Drummond
2:57.0,,,39-41,3,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith)
2:33.0,K. Oubre makes 2-pt shot from 3 ft,2,41-41,,
2:12.0,,,41-43,2,A. Bradley makes 2-pt shot from 18 ft (assist by A. Drummond)
1:54.0,M. Morris misses 2-pt shot from 18 ft,,41-43,,
1:51.0,,,41-43,,Defensive rebound by I. Smith
1:49.0,,,41-43,,A. Bradley misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by O. Porter,,41-43,,
1:42.0,B. Beal makes 3-pt shot from 22 ft (assist by J. Wall),3,44-43,,
1:19.0,Personal foul by O. Porter (drawn by A. Drummond),,44-43,,
1:17.0,,,44-43,,R. Bullock misses 2-pt shot from 1 ft (block by M. Morris)
1:17.0,,,44-43,,Offensive rebound by Team
1:07.0,,,44-46,3,R. Bullock makes 3-pt shot from 24 ft (assist by I. Smith)
0:55.0,J. Wall misses 2-pt shot from 3 ft,,44-46,,
0:53.0,,,44-46,,Defensive rebound by A. Drummond
0:45.0,,,44-46,,T. Harris misses 2-pt shot from 6 ft
0:43.0,Defensive rebound by J. Wall,,44-46,,
0:41.0,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall),2,46-46,,
0:18.0,,,46-46,,I. Smith misses 2-pt shot from 14 ft
0:15.0,Defensive rebound by M. Morris,,46-46,,
0:01.0,Turnover by J. Wall (lost ball; steal by I. Smith),,46-46,,
0:00.0,,,46-46,,I. Smith misses 3-pt shot from 26 ft
0:00.0,,,46-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,46-48,2,A. Bradley makes 2-pt shot from 3 ft (assist by A. Drummond)
11:30.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,49-48,,
11:13.0,,,49-48,,Offensive charge foul by A. Drummond (drawn by J. Wall)
11:13.0,,,49-48,,Turnover by A. Drummond (offensive foul)
11:02.0,J. Wall makes 2-pt shot from 1 ft,2,51-48,,
10:44.0,,,51-48,,T. Harris misses 2-pt shot from 20 ft
10:41.0,Defensive rebound by J. Wall,,51-48,,
10:37.0,J. Wall makes 2-pt shot at rim,2,53-48,,
10:37.0,Shooting foul by R. Bullock (drawn by J. Wall),,53-48,,
10:37.0,J. Wall makes free throw 1 of 1,1,54-48,,
10:26.0,Personal foul by M. Gortat (drawn by A. Drummond),,54-48,,
10:15.0,Violation by M. Gortat (kicked ball),,54-48,,
10:09.0,,,54-50,2,I. Smith makes 2-pt shot from 8 ft
9:49.0,J. Wall makes 3-pt shot from 26 ft (assist by O. Porter),3,57-50,,
9:32.0,,,57-50,,Shooting foul by M. Morris (drawn by A. Drummond)
9:32.0,,,57-51,1,A. Drummond makes free throw 1 of 2
9:32.0,,,57-52,1,A. Drummond makes free throw 2 of 2
9:18.0,M. Morris makes 3-pt shot from 22 ft (assist by J. Wall),3,60-52,,
8:53.0,Personal foul by M. Gortat (drawn by A. Drummond),,60-52,,
8:43.0,,,60-54,2,T. Harris makes 2-pt shot from 7 ft
8:23.0,Shooting foul by T. Harris (drawn by B. Beal),,60-54,,
8:23.0,B. Beal makes free throw 1 of 2,1,61-54,,
8:23.0,B. Beal makes free throw 2 of 2,1,62-54,,
8:12.0,,,62-54,,Turnover by A. Bradley (bad pass; steal by J. Wall)
8:08.0,J. Wall makes 2-pt shot from 1 ft,2,64-54,,
8:08.0,,,64-54,,Detroit full timeout
7:51.0,,,64-54,,T. Harris misses 3-pt shot from 24 ft
7:50.0,,,64-54,,Offensive rebound by A. Drummond
7:49.0,,,64-54,,A. Drummond misses 2-pt shot from 1 ft
7:48.0,,,64-54,,Offensive rebound by A. Drummond
7:47.0,Personal foul by O. Porter (drawn by A. Drummond),,64-54,,
7:41.0,,,64-54,,A. Bradley misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by M. Morris,,64-54,,
7:26.0,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall),2,66-54,,
7:26.0,,,66-54,,Violation by A. Drummond (def goaltending)
7:15.0,,,66-54,,T. Harris misses 3-pt shot from 23 ft
7:12.0,,,66-54,,Offensive rebound by Team
7:08.0,,,66-54,,A. Bradley misses 2-pt shot from 7 ft
7:03.0,Defensive rebound by O. Porter,,66-54,,
7:00.0,J. Wall misses 2-pt shot from 5 ft (block by R. Bullock),,66-54,,
7:00.0,Offensive rebound by Team,,66-54,,
6:58.0,Shooting foul by R. Bullock (drawn by M. Gortat),,66-54,,
6:58.0,M. Gortat makes free throw 1 of 2,1,67-54,,
6:58.0,M. Gortat makes free throw 2 of 2,1,68-54,,
6:43.0,,,68-57,3,R. Bullock makes 3-pt shot from 27 ft (assist by A. Drummond)
6:25.0,Turnover by M. Morris (bad pass; steal by A. Drummond),,68-57,,
6:18.0,,,68-59,2,I. Smith makes 2-pt shot from 18 ft (assist by R. Bullock)
5:53.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,70-59,,
5:34.0,,,70-59,,A. Bradley misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by M. Morris,,70-59,,
5:31.0,B. Beal makes 3-pt shot from 29 ft (assist by J. Wall),3,73-59,,
5:11.0,,,73-59,,Turnover by A. Drummond (bad pass)
4:58.0,,,73-59,,Def 3 sec tech foul by A. Drummond
4:58.0,B. Beal makes technical free throw,1,74-59,,
4:49.0,M. Morris makes 2-pt shot from 8 ft (assist by J. Wall),2,76-59,,
4:32.0,,,76-59,,I. Smith misses 2-pt shot from 7 ft
4:30.0,Defensive rebound by B. Beal,,76-59,,
4:22.0,,,76-59,,A. Tolliver enters the game for R. Bullock
4:19.0,,,76-59,,Personal foul by A. Drummond (drawn by B. Beal)
4:11.0,J. Wall misses 3-pt shot from 31 ft,,76-59,,
4:06.0,Offensive rebound by O. Porter,,76-59,,
4:04.0,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter),3,79-59,,
3:44.0,,,79-59,,Shooting foul by M. Morris (drawn by T. Harris)
3:44.0,,,79-60,1,T. Harris makes free throw 1 of 2
3:44.0,K. Oubre enters the game for O. Porter,,79-60,,
3:44.0,,,79-61,1,T. Harris makes free throw 2 of 2
3:35.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,81-61,,
3:33.0,,,81-61,,Detroit full timeout
3:33.0,M. Scott enters the game for M. Morris,,81-61,,
3:16.0,,,81-63,2,A. Drummond makes 2-pt shot at rim (assist by A. Bradley)
2:53.0,M. Gortat makes 2-pt shot from 11 ft,2,83-63,,
2:35.0,,,83-65,2,T. Harris makes 2-pt shot from 15 ft
2:16.0,B. Beal misses 2-pt shot from 20 ft,,83-65,,
2:11.0,,,83-65,,Defensive rebound by A. Tolliver
2:06.0,,,83-68,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
1:47.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,85-68,,
1:28.0,,,85-70,2,I. Smith makes 2-pt shot from 15 ft
1:05.0,Shooting foul by I. Smith (drawn by M. Scott),,85-70,,
1:05.0,M. Scott makes free throw 1 of 2,1,86-70,,
1:05.0,T. Satoransky enters the game for J. Wall,,86-70,,
1:05.0,,,86-70,,L. Galloway enters the game for I. Smith
1:05.0,M. Scott misses free throw 2 of 2,,86-70,,
1:02.0,,,86-70,,Defensive rebound by A. Drummond
0:50.0,,,86-70,,A. Bradley misses 2-pt shot from 2 ft (block by B. Beal)
0:49.0,,,86-70,,Offensive rebound by A. Bradley
0:49.0,,,86-72,2,A. Bradley makes 2-pt shot from 2 ft
0:29.0,K. Oubre makes 3-pt shot from 25 ft (assist by M. Gortat),3,89-72,,
0:17.0,,,89-72,,T. Harris misses 3-pt shot from 23 ft
0:13.0,Defensive rebound by K. Oubre,,89-72,,
0:11.0,K. Oubre makes 2-pt shot from 1 ft,2,91-72,,
0:01.0,,,91-74,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
0:00.0,T. Satoransky misses 3-pt shot from 65 ft,,91-74,,
0:00.0,Offensive rebound by Team,,91-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Gortat misses 2-pt shot from 10 ft,,91-74,,
11:43.0,,,91-74,,Defensive rebound by L. Kennard
11:31.0,,,91-76,2,L. Galloway makes 2-pt shot from 10 ft (assist by A. Drummond)
11:09.0,M. Gortat makes 2-pt shot from 3 ft (assist by K. Oubre),2,93-76,,
10:45.0,Personal foul by M. Scott (drawn by A. Drummond),,93-76,,
10:41.0,,,93-78,2,L. Galloway makes 2-pt shot from 19 ft
10:25.0,,,93-78,,Personal foul by L. Kennard (drawn by K. Oubre)
10:19.0,Turnover by B. Beal (bad pass),,93-78,,
10:11.0,,,93-81,3,L. Kennard makes 3-pt shot from 26 ft (assist by L. Galloway)
10:08.0,Washington full timeout,,93-81,,
9:54.0,Turnover by M. Scott (bad pass; steal by S. Johnson),,93-81,,
9:51.0,,,93-83,2,A. Tolliver makes 2-pt shot from 1 ft (assist by S. Johnson)
9:28.0,Shooting foul by S. Johnson (drawn by B. Beal),,93-83,,
9:28.0,B. Beal misses free throw 1 of 2,,93-83,,
9:28.0,Offensive rebound by Team,,93-83,,
9:28.0,J. Wall enters the game for M. Gortat,,93-83,,
9:28.0,M. Morris enters the game for T. Satoransky,,93-83,,
9:28.0,B. Beal makes free throw 2 of 2,1,94-83,,
9:17.0,,,94-83,,L. Galloway misses 3-pt shot from 26 ft
9:15.0,Defensive rebound by Team,,94-83,,
9:15.0,O. Porter enters the game for B. Beal,,94-83,,
9:03.0,K. Oubre misses 3-pt shot from 23 ft,,94-83,,
8:59.0,,,94-83,,Defensive rebound by A. Drummond
8:53.0,,,94-83,,Shooting foul by K. Oubre (drawn by A. Tolliver)
8:53.0,,,94-84,1,A. Tolliver makes free throw 1 of 2
8:53.0,,,94-85,1,A. Tolliver makes free throw 2 of 2
8:29.0,K. Oubre makes 3-pt shot from 22 ft (assist by J. Wall),3,97-85,,
8:05.0,,,97-85,,Shooting foul by M. Morris (drawn by A. Drummond)
8:05.0,,,97-86,1,A. Drummond makes free throw 1 of 2
8:05.0,,,97-87,1,A. Drummond makes free throw 2 of 2
7:56.0,,,97-87,,Personal foul by L. Galloway (drawn by J. Wall)
7:48.0,J. Wall misses 2-pt shot from 4 ft (block by A. Drummond),,97-87,,
7:45.0,,,97-87,,Defensive rebound by L. Galloway
7:41.0,,,97-90,3,S. Johnson makes 3-pt shot from 23 ft (assist by A. Tolliver)
7:18.0,K. Oubre makes 3-pt shot from 26 ft (assist by M. Scott),3,100-90,,
7:00.0,,,100-90,,S. Johnson misses 2-pt shot from 21 ft
6:58.0,Defensive rebound by K. Oubre,,100-90,,
6:47.0,J. Wall misses 2-pt shot from 2 ft,,100-90,,
6:46.0,Offensive rebound by M. Morris,,100-90,,
6:45.0,M. Morris makes 2-pt shot from 6 ft,2,102-90,,
6:29.0,,,102-90,,Offensive foul by A. Drummond (drawn by K. Oubre)
6:29.0,,,102-90,,Turnover by A. Drummond (offensive foul)
6:29.0,B. Beal enters the game for M. Scott,,102-90,,
6:29.0,Technical foul by J. Wall,,102-90,,
6:29.0,,,102-91,1,L. Kennard makes technical free throw
6:29.0,,,102-91,,I. Smith enters the game for L. Galloway
6:19.0,M. Morris misses 3-pt shot from 25 ft,,102-91,,
6:15.0,,,102-91,,Defensive rebound by A. Tolliver
6:06.0,,,102-91,,Shooting foul by J. Wall (drawn by A. Drummond)
6:06.0,,,102-91,,A. Drummond misses free throw 1 of 2
6:06.0,,,102-91,,Offensive rebound by Team
6:06.0,,,102-92,1,A. Drummond makes free throw 2 of 2
5:47.0,M. Morris misses 2-pt shot from 6 ft,,102-92,,
5:45.0,,,102-92,,Defensive rebound by A. Drummond
5:37.0,,,102-94,2,I. Smith makes 2-pt shot from 6 ft
5:20.0,J. Wall makes 2-pt shot from 4 ft,2,104-94,,
5:02.0,,,104-94,,Turnover by A. Tolliver (bad pass; steal by M. Morris)
4:45.0,K. Oubre misses 3-pt shot from 21 ft,,104-94,,
4:42.0,,,104-94,,Defensive rebound by A. Drummond
4:34.0,,,104-94,,Shooting foul by B. Beal (drawn by A. Tolliver)
4:34.0,,,104-95,1,A. Tolliver makes free throw 1 of 2
4:34.0,,,104-96,1,A. Tolliver makes free throw 2 of 2
4:18.0,Turnover by B. Beal (turnover),,104-96,,
4:09.0,Personal foul by K. Oubre (drawn by L. Kennard),,104-96,,
4:09.0,,,104-97,1,L. Kennard makes free throw 1 of 2
4:09.0,,,104-98,1,L. Kennard makes free throw 2 of 2
4:01.0,Turnover by K. Oubre (bad pass; steal by S. Johnson),,104-98,,
3:59.0,,,104-98,,Shooting foul by B. Beal (drawn by S. Johnson)
3:59.0,,,104-99,1,S. Johnson makes free throw 1 of 2
3:59.0,Washington full timeout,,104-99,,
3:59.0,,,104-100,1,S. Johnson makes free throw 2 of 2
3:53.0,,,104-100,,Personal foul by S. Johnson (drawn by B. Beal)
3:45.0,O. Porter misses 2-pt shot from 10 ft,,104-100,,
3:38.0,Offensive rebound by M. Morris,,104-100,,
3:38.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Morris),3,107-100,,
3:24.0,Personal foul by K. Oubre (drawn by L. Kennard),,107-100,,
3:24.0,,,107-101,1,L. Kennard makes free throw 1 of 2
3:24.0,,,107-102,1,L. Kennard makes free throw 2 of 2
3:05.0,B. Beal misses 2-pt shot from 7 ft,,107-102,,
3:04.0,Offensive rebound by Team,,107-102,,
3:04.0,,,107-102,,Loose ball foul by I. Smith (drawn by O. Porter)
3:04.0,O. Porter makes free throw 1 of 2,1,108-102,,
3:04.0,O. Porter makes free throw 2 of 2,1,109-102,,
2:57.0,,,109-104,2,L. Kennard makes 2-pt shot from 17 ft (assist by I. Smith)
2:36.0,K. Oubre makes 3-pt shot from 22 ft (assist by M. Morris),3,112-104,,
2:36.0,Shooting foul by A. Tolliver (drawn by K. Oubre),,112-104,,
2:36.0,K. Oubre makes free throw 1 of 1,1,113-104,,
2:28.0,,,113-107,3,L. Kennard makes 3-pt shot from 25 ft (assist by I. Smith)
2:03.0,M. Morris misses 2-pt shot from 21 ft,,113-107,,
1:59.0,,,113-107,,Defensive rebound by A. Tolliver
1:53.0,,,113-107,,S. Johnson misses 3-pt shot from 26 ft
1:51.0,Defensive rebound by J. Wall,,113-107,,
1:31.0,B. Beal makes 2-pt shot from 20 ft,2,115-107,,
1:31.0,,,115-107,,Detroit full timeout
1:31.0,,,115-107,,L. Galloway enters the game for I. Smith
1:25.0,,,115-107,,L. Kennard misses 2-pt shot from 12 ft
1:22.0,Defensive rebound by Team,,115-107,,
1:22.0,,,115-107,,I. Smith enters the game for L. Galloway
0:59.0,B. Beal misses 3-pt shot from 25 ft,,115-107,,
0:56.0,,,115-107,,Defensive rebound by A. Drummond
0:51.0,,,115-107,,Turnover by S. Johnson (bad pass; steal by O. Porter)
0:46.0,,,115-107,,Personal foul by S. Johnson (drawn by J. Wall)
0:46.0,J. Wall misses free throw 1 of 2,,115-107,,
0:46.0,Offensive rebound by Team,,115-107,,
0:46.0,J. Wall makes free throw 2 of 2,1,116-107,,
0:41.0,,,116-110,3,L. Kennard makes 3-pt shot from 27 ft (assist by I. Smith)
0:38.0,,,116-110,,Personal foul by A. Drummond (drawn by M. Morris)
0:38.0,M. Morris makes free throw 1 of 2,1,117-110,,
0:38.0,M. Morris makes free throw 2 of 2,1,118-110,,
