time,Charlotte,pts.away,score,pts.home,Cleveland
0:29.0,K. Walker misses 3-pt shot from 25 ft,,28-27,,
0:26.0,,,28-27,,Defensive rebound by J. Green
0:06.0,,,28-27,,K. Korver misses 3-pt shot from 22 ft
0:06.0,Defensive rebound by K. Walker,,28-27,,
0:01.0,Turnover by K. Walker (bad pass),,28-27,,
0:00.0,,,28-27,,J. Green misses 3-pt shot from 55 ft
0:00.0,,,28-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-27,,Turnover by D. Wade (out of bounds lost ball)
11:36.0,F. Kaminsky misses 2-pt shot from 14 ft (block by D. Wade),,28-27,,
11:34.0,Offensive rebound by J. Lamb,,28-27,,
11:34.0,Offensive foul by F. Kaminsky (drawn by J. Smith),,28-27,,
11:34.0,Turnover by F. Kaminsky (offensive foul),,28-27,,
11:23.0,,,28-27,,K. Korver misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by D. Bacon,,28-27,,
11:12.0,J. Lamb misses 3-pt shot from 24 ft,,28-27,,
11:09.0,,,28-27,,Defensive rebound by J. Green
10:58.0,,,28-29,2,J. Green makes 2-pt shot at rim (assist by D. Wade)
10:46.0,Shooting foul by K. Korver (drawn by D. Bacon),,28-29,,
10:46.0,D. Bacon misses free throw 1 of 2,,28-29,,
10:46.0,Offensive rebound by Team,,28-29,,
10:46.0,D. Bacon makes free throw 2 of 2,1,29-29,,
10:38.0,,,29-31,2,J. Smith makes 2-pt shot from 21 ft (assist by J. Green)
10:22.0,J. Lamb makes 2-pt shot from 16 ft (assist by M. Carter-Williams),2,31-31,,
10:12.0,,,31-31,,Shooting foul by M. Carter-Williams (drawn by K. Korver)
10:12.0,,,31-32,1,K. Korver makes free throw 1 of 2
10:12.0,M. Monk enters the game for D. Bacon,,31-32,,
10:12.0,,,31-33,1,K. Korver makes free throw 2 of 2
9:53.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,33-33,,
9:42.0,,,33-35,2,J. Green makes 2-pt shot from 17 ft
9:24.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,35-35,,
9:06.0,,,35-37,2,D. Wade makes 2-pt shot from 1 ft
8:54.0,M. Carter-Williams misses 2-pt shot from 13 ft,,35-37,,
8:50.0,Offensive rebound by M. Carter-Williams,,35-37,,
8:45.0,M. Carter-Williams makes 3-pt shot from 22 ft (assist by M. Monk),3,38-37,,
8:26.0,,,38-37,,J. Green misses 2-pt shot from 1 ft
8:21.0,,,38-37,,Offensive rebound by J. Green
8:21.0,,,38-39,2,J. Green makes 2-pt shot at rim
8:13.0,M. Carter-Williams misses 2-pt shot from 4 ft,,38-39,,
8:11.0,,,38-39,,Defensive rebound by C. Frye
8:05.0,,,38-39,,D. Wade misses 2-pt shot at rim
8:01.0,Defensive rebound by C. Zeller,,38-39,,
7:51.0,Turnover by F. Kaminsky (bad pass; steal by J. Smith),,38-39,,
7:45.0,,,38-42,3,K. Korver makes 3-pt shot from 31 ft
7:34.0,J. Lamb misses 3-pt shot from 26 ft,,38-42,,
7:31.0,,,38-42,,Defensive rebound by C. Frye
7:20.0,,,38-44,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Green)
7:11.0,Charlotte full timeout,,38-44,,
7:03.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,40-44,,
6:52.0,,,40-44,,L. James enters the game for J. Smith
6:52.0,D. Howard enters the game for F. Kaminsky,,40-44,,
6:52.0,M. Kidd-Gilchrist enters the game for M. Monk,,40-44,,
6:44.0,,,40-46,2,C. Frye makes 2-pt shot from 1 ft (assist by D. Wade)
6:27.0,M. Carter-Williams makes 3-pt shot from 26 ft (assist by J. Lamb),3,43-46,,
6:13.0,,,43-46,,C. Frye misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by J. Lamb,,43-46,,
6:04.0,J. Lamb misses 2-pt shot from 1 ft,,43-46,,
6:02.0,,,43-46,,Defensive rebound by K. Korver
5:59.0,,,43-46,,J. Green misses 2-pt shot from 2 ft
5:59.0,Defensive rebound by J. Lamb,,43-46,,
5:52.0,C. Zeller misses 2-pt shot from 1 ft,,43-46,,
5:52.0,Offensive rebound by M. Carter-Williams,,43-46,,
5:33.0,J. Lamb misses 3-pt shot from 26 ft,,43-46,,
5:30.0,,,43-46,,Defensive rebound by C. Frye
5:21.0,,,43-46,,K. Korver misses 2-pt shot at rim (block by D. Howard)
5:18.0,Defensive rebound by D. Howard,,43-46,,
5:16.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,43-46,,
5:16.0,Offensive rebound by D. Howard,,43-46,,
5:15.0,Shooting foul by C. Frye (drawn by D. Howard),,43-46,,
5:15.0,D. Howard makes free throw 1 of 2,1,44-46,,
5:15.0,,,44-46,,K. Love enters the game for C. Frye
5:15.0,,,44-46,,J. Calderon enters the game for D. Wade
5:15.0,,,44-46,,J. Crowder enters the game for K. Korver
5:15.0,K. Walker enters the game for J. Lamb,,44-46,,
5:15.0,D. Howard misses free throw 2 of 2,,44-46,,
5:10.0,,,44-46,,Defensive rebound by K. Love
5:02.0,,,44-46,,J. Crowder misses 3-pt shot from 23 ft
4:59.0,,,44-46,,Offensive rebound by K. Love
4:39.0,,,44-46,,K. Love misses 3-pt shot from 27 ft
4:39.0,Defensive rebound by M. Carter-Williams,,44-46,,
4:31.0,D. Howard makes 2-pt shot at rim (assist by M. Carter-Williams),2,46-46,,
4:11.0,,,46-49,3,J. Calderon makes 3-pt shot from 28 ft (assist by J. Green)
3:56.0,D. Howard makes 2-pt shot at rim (assist by K. Walker),2,48-49,,
3:47.0,,,48-49,,Turnover by J. Calderon (out of bounds lost ball)
3:47.0,M. Williams enters the game for M. Carter-Williams,,48-49,,
3:27.0,K. Walker misses 3-pt shot from 25 ft,,48-49,,
3:24.0,Offensive rebound by M. Williams,,48-49,,
3:12.0,D. Howard misses 2-pt shot from 1 ft (block by K. Love),,48-49,,
3:08.0,Offensive rebound by M. Kidd-Gilchrist,,48-49,,
3:06.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,50-49,,
2:52.0,,,50-49,,L. James misses 2-pt shot from 1 ft
2:51.0,Defensive rebound by M. Williams,,50-49,,
2:51.0,,,50-49,,Personal foul by J. Calderon (drawn by K. Walker)
2:51.0,,,50-49,,Cleveland full timeout
2:51.0,,,50-49,,J. Smith enters the game for J. Green
2:51.0,J. Lamb enters the game for C. Zeller,,50-49,,
2:34.0,D. Howard makes 2-pt shot at rim (assist by K. Walker),2,52-49,,
2:19.0,,,52-52,3,J. Crowder makes 3-pt shot from 25 ft (assist by L. James)
2:11.0,Jump ball: J. Calderon vs. K. Walker (J. Lamb gains possession),,,,Jump ball: J. Calderon vs. K. Walker (J. Lamb gains possession)
2:03.0,M. Williams makes 3-pt shot from 24 ft (assist by J. Lamb),3,55-52,,
1:49.0,,,55-54,2,L. James makes 2-pt shot at rim (assist by J. Calderon)
1:23.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,55-54,,
1:21.0,Offensive rebound by M. Kidd-Gilchrist,,55-54,,
1:19.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by L. James),,55-54,,
1:19.0,Offensive rebound by M. Kidd-Gilchrist,,55-54,,
1:17.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,55-54,,
1:17.0,,,55-54,,Defensive rebound by K. Love
0:57.0,,,55-54,,J. Smith misses 3-pt shot from 28 ft
0:55.0,Defensive rebound by D. Howard,,55-54,,
0:42.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,57-54,,
0:32.0,Personal foul by J. Lamb (drawn by J. Calderon),,57-54,,
0:32.0,,,57-54,,C. Frye enters the game for K. Love
0:32.0,C. Zeller enters the game for M. Williams,,57-54,,
0:27.0,,,57-54,,J. Smith misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by D. Howard,,57-54,,
0:03.0,,,57-54,,Personal foul by J. Calderon (drawn by K. Walker)
0:03.0,,,57-54,,C. Osman enters the game for J. Calderon
0:03.0,M. Monk enters the game for M. Kidd-Gilchrist,,57-54,,
0:03.0,F. Kaminsky enters the game for C. Zeller,,57-54,,
0:00.0,J. Lamb misses 2-pt shot from 15 ft,,57-54,,
0:00.0,Offensive rebound by Team,,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
