time,Boston,pts.away,score,pts.home,Atlanta
4:25.0,,,10-25,,M. Delaney enters the game for K. Bazemore
4:25.0,,,10-25,,T. Cavanaugh enters the game for L. Babbitt
4:10.0,,,10-25,,D. Schroder misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by K. Irving,,10-25,,
3:45.0,A. Horford makes 2-pt shot from 11 ft (assist by T. Rozier),2,12-25,,
3:28.0,,,12-27,2,D. Schroder makes 2-pt shot from 15 ft (assist by J. Collins)
3:13.0,,,12-27,,Def 3 sec tech foul by T. Cavanaugh
3:13.0,K. Irving makes technical free throw,1,13-27,,
3:13.0,,,13-27,,T. Waller-Prince enters the game for D. Schroder
3:07.0,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford),2,15-27,,
2:49.0,,,15-29,2,T. Waller-Prince makes 2-pt shot from 1 ft
2:35.0,Turnover by K. Irving (lost ball; steal by J. Collins),,15-29,,
2:33.0,,,15-29,,Shooting foul by J. Brown (drawn by J. Collins)
2:33.0,Boston full timeout,,15-29,,
2:33.0,A. Baynes enters the game for K. Irving,,15-29,,
2:33.0,S. Larkin enters the game for A. Horford,,15-29,,
2:33.0,,,15-30,1,J. Collins makes free throw 1 of 2
2:33.0,,,15-31,1,J. Collins makes free throw 2 of 2
2:16.0,T. Rozier makes 3-pt shot from 24 ft (assist by M. Smart),3,18-31,,
1:57.0,,,18-31,,Turnover by M. Delaney (bad pass; steal by J. Brown)
1:49.0,T. Rozier misses 3-pt shot from 23 ft,,18-31,,
1:48.0,Offensive rebound by Team,,18-31,,
1:48.0,,,18-31,,Loose ball foul by T. Waller-Prince (drawn by A. Baynes)
1:48.0,,,18-31,,D. Bembry enters the game for T. Waller-Prince
1:38.0,J. Brown makes 2-pt shot from 2 ft (assist by S. Larkin),2,20-31,,
1:22.0,Personal foul by S. Larkin (drawn by M. Delaney),,20-31,,
1:22.0,,,20-32,1,M. Delaney makes free throw 1 of 2
1:22.0,,,20-33,1,M. Delaney makes free throw 2 of 2
1:15.0,,,20-33,,Personal foul by D. Bembry (drawn by J. Brown)
1:15.0,J. Brown misses free throw 1 of 2,,20-33,,
1:15.0,Offensive rebound by Team,,20-33,,
1:15.0,J. Brown misses free throw 2 of 2,,20-33,,
1:12.0,,,20-33,,Defensive rebound by M. Belinelli
1:04.0,,,20-33,,M. Belinelli misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by T. Rozier,,20-33,,
0:50.0,J. Brown misses 2-pt shot from 2 ft,,20-33,,
0:50.0,,,20-33,,Defensive rebound by Team
0:50.0,Loose ball foul by A. Baynes (drawn by D. Bembry),,20-33,,
0:50.0,,,20-33,,D. Bembry misses free throw 1 of 2
0:50.0,,,20-33,,Offensive rebound by Team
0:50.0,A. Horford enters the game for J. Brown,,20-33,,
0:50.0,,,20-33,,D. Bembry misses free throw 2 of 2
0:47.0,Defensive rebound by M. Smart,,20-33,,
0:29.0,Offensive foul by A. Baynes (drawn by M. Delaney),,20-33,,
0:29.0,Turnover by A. Baynes (offensive foul),,20-33,,
0:29.0,,,20-33,,L. Babbitt enters the game for D. Bembry
0:08.0,,,20-35,2,L. Babbitt makes 2-pt shot from 15 ft (assist by T. Cavanaugh)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,20-35,,Def 3 sec tech foul by J. Collins
11:51.0,M. Smart makes technical free throw,1,21-35,,
11:41.0,M. Morris makes 2-pt shot from 19 ft (assist by T. Rozier),2,23-35,,
11:26.0,,,23-37,2,M. Delaney makes 2-pt shot from 2 ft (assist by K. Bazemore)
11:10.0,M. Morris makes 3-pt shot from 24 ft (assist by M. Smart),3,26-37,,
10:49.0,,,26-37,,M. Belinelli misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by A. Baynes,,26-37,,
10:31.0,M. Morris makes 2-pt shot from 12 ft (assist by S. Larkin),2,28-37,,
10:31.0,,,28-37,,Shooting block foul by M. Delaney (drawn by M. Morris)
10:31.0,M. Morris makes free throw 1 of 1,1,29-37,,
10:19.0,,,29-37,,M. Delaney misses 2-pt shot from 4 ft (block by A. Baynes)
10:18.0,,,29-37,,Offensive rebound by Team
10:17.0,,,29-37,,L. Babbitt enters the game for T. Cavanaugh
10:15.0,,,29-37,,L. Babbitt misses 2-pt shot from 10 ft (block by M. Morris)
10:11.0,Defensive rebound by M. Smart,,29-37,,
10:07.0,M. Morris misses 3-pt shot from 25 ft,,29-37,,
10:02.0,,,29-37,,Defensive rebound by L. Babbitt
9:53.0,,,29-37,,L. Babbitt misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by M. Morris,,29-37,,
9:41.0,Turnover by A. Baynes (traveling),,29-37,,
9:29.0,,,29-37,,K. Bazemore misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by A. Baynes,,29-37,,
9:19.0,M. Smart makes 3-pt shot from 24 ft,3,32-37,,
9:17.0,,,32-37,,Atlanta full timeout
9:17.0,,,32-37,,D. Dedmon enters the game for M. Delaney
9:17.0,,,32-37,,D. Schroder enters the game for J. Collins
8:59.0,,,32-39,2,M. Belinelli makes 2-pt shot from 18 ft (assist by D. Dedmon)
8:35.0,M. Smart makes 3-pt shot from 25 ft,3,35-39,,
8:29.0,,,35-39,,Turnover by D. Dedmon (bad pass; steal by T. Rozier)
8:24.0,T. Rozier misses 3-pt shot from 25 ft,,35-39,,
8:20.0,,,35-39,,Defensive rebound by K. Bazemore
8:07.0,,,35-41,2,D. Dedmon makes 2-pt shot from 10 ft (assist by M. Belinelli)
7:47.0,M. Morris makes 2-pt shot from 18 ft,2,37-41,,
7:34.0,,,37-41,,Turnover by D. Schroder (traveling)
7:34.0,,,37-41,,T. Waller-Prince enters the game for M. Belinelli
7:34.0,D. Theis enters the game for A. Baynes,,37-41,,
7:10.0,M. Smart misses 3-pt shot from 24 ft,,37-41,,
7:06.0,Offensive rebound by M. Morris,,37-41,,
7:01.0,D. Theis misses 2-pt shot from 15 ft,,37-41,,
6:59.0,,,37-41,,Defensive rebound by K. Bazemore
6:48.0,Personal foul by S. Larkin (drawn by K. Bazemore),,37-41,,
6:41.0,,,37-43,2,D. Schroder makes 2-pt shot from 22 ft
6:23.0,,,37-43,,Def 3 sec tech foul by D. Dedmon
6:23.0,M. Smart makes technical free throw,1,38-43,,
6:23.0,J. Tatum enters the game for M. Morris,,38-43,,
6:20.0,,,38-43,,Personal foul by L. Babbitt (drawn by M. Smart)
6:16.0,M. Smart misses 3-pt shot from 25 ft,,38-43,,
6:13.0,,,38-43,,Defensive rebound by D. Dedmon
6:00.0,,,38-43,,Offensive foul by D. Dedmon (drawn by S. Larkin)
6:00.0,,,38-43,,Turnover by D. Dedmon (offensive foul)
6:00.0,K. Irving enters the game for M. Smart,,38-43,,
5:49.0,Turnover by D. Theis (turnover),,38-43,,
5:37.0,,,38-43,,D. Dedmon misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by D. Theis,,38-43,,
5:28.0,S. Larkin misses 2-pt shot from 20 ft,,38-43,,
5:24.0,Offensive rebound by D. Theis,,38-43,,
5:23.0,Turnover by D. Theis (bad pass; steal by D. Schroder),,38-43,,
5:22.0,Personal foul by K. Irving (drawn by D. Schroder),,38-43,,
5:11.0,,,38-46,3,L. Babbitt makes 3-pt shot from 24 ft (assist by K. Bazemore)
4:46.0,K. Irving misses 2-pt shot from 10 ft,,38-46,,
4:44.0,Offensive rebound by D. Theis,,38-46,,
4:44.0,D. Theis misses 2-pt shot from 1 ft,,38-46,,
4:44.0,,,38-46,,Defensive rebound by D. Dedmon
4:33.0,,,38-46,,L. Babbitt misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by K. Irving,,38-46,,
4:28.0,,,38-46,,Personal foul by K. Bazemore (drawn by K. Irving)
4:28.0,,,38-46,,J. Collins enters the game for L. Babbitt
4:28.0,,,38-46,,M. Delaney enters the game for D. Dedmon
4:28.0,J. Brown enters the game for S. Larkin,,38-46,,
4:28.0,A. Horford enters the game for D. Theis,,38-46,,
4:14.0,J. Tatum misses 2-pt shot from 1 ft,,38-46,,
4:11.0,,,38-46,,Defensive rebound by T. Waller-Prince
3:59.0,,,38-46,,M. Delaney misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by J. Brown,,38-46,,
3:51.0,K. Irving makes 3-pt shot from 27 ft,3,41-46,,
3:26.0,,,41-48,2,J. Collins makes 2-pt shot from 3 ft (assist by D. Schroder)
3:11.0,Turnover by J. Tatum (traveling),,41-48,,
3:11.0,,,41-48,,M. Belinelli enters the game for K. Bazemore
2:58.0,,,41-50,2,D. Schroder makes 2-pt shot from 1 ft
2:48.0,Boston full timeout,,41-50,,
2:48.0,M. Smart enters the game for T. Rozier,,41-50,,
2:38.0,Offensive foul by J. Brown (drawn by M. Belinelli),,41-50,,
2:38.0,Turnover by J. Brown (offensive foul),,41-50,,
2:23.0,Personal foul by J. Tatum (drawn by M. Belinelli),,41-50,,
2:23.0,Turnover by J. Tatum (turnover),,41-50,,
2:12.0,,,41-50,,M. Belinelli misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by M. Smart,,41-50,,
2:10.0,,,41-50,,Personal foul by J. Collins (drawn by M. Smart)
1:57.0,J. Brown makes 3-pt shot from 24 ft (assist by K. Irving),3,44-50,,
1:41.0,,,44-50,,M. Belinelli misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by A. Horford,,44-50,,
1:31.0,Turnover by K. Irving (bad pass; steal by M. Delaney),,44-50,,
1:27.0,,,44-50,,T. Waller-Prince misses 2-pt shot from 2 ft (block by J. Tatum)
1:27.0,,,44-50,,Offensive rebound by Team
1:22.0,,,44-50,,D. Schroder misses 2-pt shot from 18 ft
1:20.0,Defensive rebound by A. Horford,,44-50,,
1:07.0,A. Horford misses 3-pt shot from 25 ft,,44-50,,
1:05.0,,,44-50,,Defensive rebound by M. Delaney
0:56.0,,,44-50,,D. Schroder misses 2-pt shot from 1 ft
0:52.0,Defensive rebound by J. Tatum,,44-50,,
0:41.0,Turnover by A. Horford (turnover),,44-50,,
0:41.0,,,44-50,,L. Babbitt enters the game for M. Delaney
0:25.0,,,44-50,,T. Waller-Prince misses 2-pt shot from 12 ft
0:21.0,Defensive rebound by J. Tatum,,44-50,,
0:02.0,A. Horford misses 3-pt shot from 23 ft,,44-50,,
0:02.0,Offensive rebound by A. Horford,,44-50,,
0:00.0,A. Horford misses 2-pt shot from 10 ft,,44-50,,
0:00.0,Offensive rebound by Team,,44-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,47-50,,
11:25.0,,,47-52,2,D. Schroder makes 2-pt shot from 18 ft
11:07.0,Shooting foul by D. Dedmon (drawn by J. Brown),,47-52,,
11:07.0,J. Brown makes free throw 1 of 2,1,48-52,,
11:07.0,J. Brown makes free throw 2 of 2,1,49-52,,
11:00.0,,,49-52,,D. Schroder misses 2-pt shot from 17 ft
10:55.0,,,49-52,,Offensive rebound by D. Schroder
10:47.0,,,49-52,,K. Bazemore misses 2-pt shot from 12 ft
10:45.0,Defensive rebound by J. Tatum,,49-52,,
10:33.0,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford),2,51-52,,
10:11.0,,,51-55,3,D. Schroder makes 3-pt shot from 22 ft (assist by L. Babbitt)
9:57.0,Turnover by K. Irving (bad pass; steal by K. Bazemore),,51-55,,
9:52.0,,,51-58,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
9:33.0,,,51-58,,Violation by D. Schroder (kicked ball)
9:31.0,K. Irving makes 3-pt shot from 25 ft,3,54-58,,
9:12.0,,,54-60,2,D. Dedmon makes 2-pt shot from 3 ft (assist by K. Bazemore)
9:12.0,,,54-60,,Shooting foul by J. Brown (drawn by D. Dedmon)
9:12.0,,,54-60,,D. Dedmon misses free throw 1 of 1
9:10.0,Defensive rebound by M. Morris,,54-60,,
8:53.0,A. Horford misses 2-pt shot from 7 ft,,54-60,,
8:49.0,,,54-60,,Defensive rebound by K. Bazemore
8:48.0,,,54-60,,Turnover by K. Bazemore (lost ball; steal by J. Tatum)
8:44.0,J. Tatum makes 2-pt shot from 2 ft,2,56-60,,
8:24.0,,,56-60,,Turnover by D. Dedmon (bad pass; steal by J. Tatum)
8:20.0,J. Tatum misses 2-pt shot from 10 ft,,56-60,,
8:15.0,,,56-60,,Defensive rebound by D. Dedmon
8:09.0,,,56-60,,L. Babbitt misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by K. Irving,,56-60,,
7:54.0,J. Brown makes 2-pt shot from 12 ft,2,58-60,,
7:53.0,,,58-60,,Atlanta full timeout
7:44.0,,,58-63,3,K. Bazemore makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
7:18.0,J. Tatum makes 2-pt shot at rim,2,60-63,,
7:03.0,,,60-63,,K. Bazemore misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by M. Morris,,60-63,,
6:52.0,K. Irving makes 2-pt shot from 1 ft (assist by M. Morris),2,62-63,,
6:36.0,,,62-65,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Schroder)
6:20.0,J. Brown makes 3-pt shot from 22 ft (assist by K. Irving),3,65-65,,
6:01.0,,,65-65,,Turnover by T. Waller-Prince (lost ball; steal by J. Tatum)
5:51.0,J. Brown makes 3-pt shot from 22 ft (assist by K. Irving),3,68-65,,
5:49.0,,,68-65,,Atlanta full timeout
5:49.0,,,68-65,,M. Belinelli enters the game for T. Waller-Prince
5:49.0,,,68-65,,M. Delaney enters the game for K. Bazemore
5:49.0,,,68-65,,J. Collins enters the game for D. Dedmon
5:36.0,,,68-67,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
5:22.0,M. Morris misses 2-pt shot from 19 ft,,68-67,,
5:15.0,Offensive rebound by A. Horford,,68-67,,
5:12.0,K. Irving makes 2-pt shot from 10 ft (assist by A. Horford),2,70-67,,
4:51.0,,,70-70,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Schroder)
4:33.0,J. Tatum makes 3-pt shot from 24 ft (assist by M. Morris),3,73-70,,
4:11.0,,,73-70,,M. Delaney misses 2-pt shot from 1 ft
4:08.0,Defensive rebound by A. Horford,,73-70,,
3:52.0,M. Morris misses 2-pt shot from 17 ft,,73-70,,
3:49.0,,,73-70,,Defensive rebound by J. Collins
3:36.0,,,73-70,,J. Collins misses 2-pt shot from 16 ft
3:34.0,Defensive rebound by Team,,73-70,,
3:34.0,,,73-70,,T. Cavanaugh enters the game for L. Babbitt
3:34.0,M. Smart enters the game for K. Irving,,73-70,,
3:34.0,T. Rozier enters the game for M. Morris,,73-70,,
3:17.0,T. Rozier misses 3-pt shot from 22 ft,,73-70,,
3:16.0,Offensive rebound by Team,,73-70,,
3:16.0,,,73-70,,Loose ball foul by M. Delaney (drawn by J. Tatum)
3:03.0,A. Horford misses 2-pt shot from 9 ft,,73-70,,
3:02.0,,,73-70,,Defensive rebound by Team
3:02.0,Loose ball foul by A. Horford (drawn by J. Collins),,73-70,,
2:49.0,,,73-70,,T. Cavanaugh misses 2-pt shot from 2 ft
2:44.0,,,73-70,,Offensive rebound by J. Collins
2:44.0,,,73-72,2,J. Collins makes 2-pt shot at rim
2:33.0,T. Rozier misses 2-pt shot from 11 ft,,73-72,,
2:29.0,,,73-72,,Defensive rebound by J. Collins
2:26.0,,,73-72,,T. Cavanaugh misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by J. Tatum,,73-72,,
2:20.0,J. Tatum makes 2-pt shot from 1 ft,2,75-72,,
2:00.0,,,75-72,,D. Schroder misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by J. Brown,,75-72,,
1:42.0,J. Tatum misses 3-pt shot from 24 ft,,75-72,,
1:39.0,,,75-72,,Defensive rebound by J. Collins
1:31.0,,,75-74,2,J. Collins makes 2-pt shot from 2 ft (assist by D. Schroder)
1:31.0,,,75-74,,Shooting foul by A. Horford (drawn by J. Collins)
1:31.0,,,75-74,,T. Waller-Prince enters the game for D. Schroder
1:31.0,A. Baynes enters the game for J. Brown,,75-74,,
1:31.0,S. Larkin enters the game for A. Horford,,75-74,,
1:31.0,,,75-75,1,J. Collins makes free throw 1 of 1
1:18.0,M. Smart misses 2-pt shot from 1 ft,,75-75,,
1:15.0,Offensive rebound by A. Baynes,,75-75,,
1:14.0,A. Baynes misses 2-pt shot from 1 ft,,75-75,,
1:14.0,,,75-75,,Defensive rebound by M. Belinelli
1:06.0,,,75-75,,M. Delaney misses 2-pt shot from 3 ft
1:02.0,Defensive rebound by J. Tatum,,75-75,,
1:00.0,J. Tatum makes 2-pt shot from 1 ft,2,77-75,,
1:00.0,Shooting foul by J. Collins (drawn by J. Tatum),,77-75,,
1:00.0,J. Tatum makes free throw 1 of 1,1,78-75,,
0:51.0,,,78-77,2,M. Belinelli makes 2-pt shot from 20 ft (assist by M. Delaney)
0:36.0,A. Baynes misses 2-pt shot from 12 ft,,78-77,,
0:34.0,,,78-77,,Defensive rebound by J. Collins
0:11.0,,,78-77,,Turnover by Team (shot clock)
0:11.0,Boston full timeout,,78-77,,
0:11.0,,,78-77,,D. Bembry enters the game for M. Belinelli
0:11.0,K. Irving enters the game for A. Baynes,,78-77,,
0:11.0,,,78-77,,K. Bazemore enters the game for J. Collins
0:03.0,S. Larkin misses 2-pt shot from 19 ft,,78-77,,
0:02.0,Offensive rebound by Team,,78-77,,
0:02.0,,,78-77,,Loose ball foul by T. Waller-Prince (drawn by J. Tatum)
0:02.0,J. Tatum makes free throw 1 of 2,1,79-77,,
0:02.0,,,79-77,,L. Babbitt enters the game for D. Bembry
0:02.0,J. Brown enters the game for K. Irving,,79-77,,
0:02.0,J. Tatum makes free throw 2 of 2,1,80-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,80-77,,M. Belinelli misses 2-pt shot from 20 ft
11:34.0,,,80-77,,Offensive rebound by T. Cavanaugh
11:34.0,Personal foul by S. Ojeleye (drawn by T. Cavanaugh),,80-77,,
11:32.0,,,80-77,,Turnover by M. Belinelli (bad pass; steal by S. Larkin)
11:28.0,S. Larkin misses 2-pt shot from 1 ft (block by M. Delaney),,80-77,,
11:25.0,,,80-77,,Defensive rebound by M. Belinelli
11:24.0,,,80-77,,T. Cavanaugh misses 3-pt shot from 23 ft
11:24.0,,,80-77,,Offensive rebound by J. Collins
11:19.0,,,80-79,2,J. Collins makes 2-pt shot from 2 ft
11:00.0,T. Rozier misses 2-pt shot from 17 ft,,80-79,,
10:56.0,,,80-79,,Defensive rebound by T. Cavanaugh
10:47.0,,,80-79,,M. Belinelli misses 3-pt shot from 26 ft
10:45.0,,,80-79,,Offensive rebound by T. Waller-Prince
10:44.0,,,80-81,2,T. Waller-Prince makes 2-pt shot from 1 ft
10:30.0,M. Smart misses 2-pt shot from 13 ft,,80-81,,
10:23.0,Offensive rebound by A. Baynes,,80-81,,
10:23.0,A. Baynes makes 2-pt shot at rim,2,82-81,,
10:11.0,,,82-83,2,J. Collins makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
10:11.0,,,82-83,,Shooting foul by A. Baynes (drawn by J. Collins)
10:11.0,,,82-84,1,J. Collins makes free throw 1 of 1
9:59.0,M. Smart misses 3-pt shot from 25 ft,,82-84,,
9:56.0,,,82-84,,Defensive rebound by T. Cavanaugh
9:45.0,,,82-84,,M. Belinelli misses 2-pt shot from 2 ft (block by M. Smart)
9:41.0,Defensive rebound by T. Rozier,,82-84,,
9:37.0,S. Ojeleye misses 3-pt shot from 23 ft,,82-84,,
9:34.0,,,82-84,,Defensive rebound by M. Belinelli
9:20.0,,,82-84,,Offensive foul by J. Collins (drawn by M. Smart)
9:20.0,,,82-84,,Turnover by J. Collins (offensive foul)
9:20.0,J. Brown enters the game for S. Ojeleye,,82-84,,
9:05.0,T. Rozier makes 3-pt shot from 24 ft (assist by S. Larkin),3,85-84,,
8:45.0,,,85-84,,M. Belinelli misses 2-pt shot from 14 ft
8:40.0,Defensive rebound by T. Rozier,,85-84,,
8:26.0,Offensive foul by A. Baynes (drawn by J. Collins),,85-84,,
8:26.0,Turnover by A. Baynes (offensive foul),,85-84,,
8:26.0,,,85-84,,D. Dedmon enters the game for M. Delaney
8:26.0,,,85-84,,D. Schroder enters the game for J. Collins
8:06.0,,,85-84,,D. Dedmon misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by T. Rozier,,85-84,,
8:04.0,,,85-84,,Personal foul by T. Cavanaugh (drawn by T. Rozier)
8:04.0,,,85-84,,K. Bazemore enters the game for M. Belinelli
7:49.0,S. Larkin misses 3-pt shot from 24 ft,,85-84,,
7:46.0,,,85-84,,Defensive rebound by D. Dedmon
7:31.0,,,85-86,2,D. Dedmon makes 2-pt shot from 14 ft (assist by D. Schroder)
7:23.0,Boston full timeout,,85-86,,
7:23.0,,,85-86,,L. Babbitt enters the game for T. Cavanaugh
7:23.0,K. Irving enters the game for M. Smart,,85-86,,
7:23.0,A. Horford enters the game for A. Baynes,,85-86,,
7:05.0,S. Larkin misses 2-pt shot from 20 ft,,85-86,,
7:02.0,,,85-86,,Defensive rebound by T. Waller-Prince
6:58.0,Personal foul by T. Rozier (drawn by D. Schroder),,85-86,,
6:58.0,M. Morris enters the game for S. Larkin,,85-86,,
6:52.0,,,85-86,,D. Schroder misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by K. Irving,,85-86,,
6:35.0,A. Horford makes 2-pt shot from 11 ft,2,87-86,,
6:20.0,,,87-86,,L. Babbitt misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by Team,,87-86,,
6:04.0,A. Horford misses 3-pt shot from 24 ft,,87-86,,
5:58.0,Offensive rebound by T. Rozier,,87-86,,
5:56.0,J. Brown makes 2-pt shot from 2 ft (assist by T. Rozier),2,89-86,,
5:56.0,Shooting foul by D. Dedmon (drawn by J. Brown),,89-86,,
5:56.0,J. Brown makes free throw 1 of 1,1,90-86,,
5:34.0,,,90-86,,L. Babbitt misses 3-pt shot from 22 ft
5:31.0,Defensive rebound by A. Horford,,90-86,,
5:28.0,Shooting foul by D. Schroder (drawn by K. Irving),,90-86,,
5:28.0,K. Irving makes free throw 1 of 2,1,91-86,,
5:28.0,,,91-86,,M. Delaney enters the game for L. Babbitt
5:28.0,K. Irving makes free throw 2 of 2,1,92-86,,
5:05.0,,,92-88,2,T. Waller-Prince makes 2-pt shot from 13 ft
4:36.0,K. Irving makes 3-pt shot from 24 ft,3,95-88,,
4:24.0,,,95-88,,Shooting foul by J. Brown (drawn by K. Bazemore)
4:24.0,,,95-88,,K. Bazemore misses free throw 1 of 2
4:24.0,,,95-88,,Offensive rebound by Team
4:24.0,,,95-89,1,K. Bazemore makes free throw 2 of 2
4:06.0,Shooting foul by D. Dedmon (drawn by M. Morris),,95-89,,
4:06.0,M. Morris makes free throw 1 of 2,1,96-89,,
4:06.0,,,96-89,,J. Collins enters the game for D. Dedmon
4:06.0,M. Smart enters the game for T. Rozier,,96-89,,
4:06.0,M. Morris makes free throw 2 of 2,1,97-89,,
3:49.0,,,97-91,2,D. Schroder makes 2-pt shot from 18 ft
