time,Indiana,pts.away,score,pts.home,Houston
9:16.0,,,31-32,2,E. Gordon makes 2-pt shot from 1 ft
9:06.0,,,31-32,,Personal foul by R. Anderson (drawn by D. Sabonis)
9:02.0,B. Bogdanovic misses 3-pt shot from 26 ft,,31-32,,
9:00.0,,,31-32,,Defensive rebound by T. Ariza
8:51.0,,,31-32,,Turnover by C. Paul (lost ball; steal by D. Collison)
8:37.0,Turnover by D. Collison (step out of bounds),,31-32,,
8:20.0,Personal foul by L. Stephenson (drawn by T. Ariza),,31-32,,
8:07.0,,,31-32,,T. Ariza misses 2-pt shot from 1 ft
8:04.0,,,31-32,,Offensive rebound by T. Ariza
8:03.0,,,31-32,,Turnover by T. Ariza (bad pass; steal by C. Joseph)
7:59.0,D. Collison misses 2-pt shot from 2 ft,,31-32,,
7:57.0,,,31-32,,Defensive rebound by C. Paul
7:54.0,,,31-32,,E. Gordon misses 3-pt shot from 25 ft
7:54.0,,,31-32,,Offensive rebound by R. Anderson
7:48.0,,,31-34,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
7:48.0,Indiana full timeout,,31-34,,
7:48.0,T. Young enters the game for B. Bogdanovic,,31-34,,
7:33.0,D. Sabonis misses 2-pt shot from 10 ft,,31-34,,
7:30.0,,,31-34,,Defensive rebound by C. Paul
7:19.0,,,31-34,,L. Mbah a Moute misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by D. Sabonis,,31-34,,
7:05.0,L. Stephenson makes 2-pt shot from 19 ft,2,33-34,,
6:40.0,,,33-36,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
6:26.0,D. Sabonis makes 2-pt shot from 8 ft,2,35-36,,
6:17.0,,,35-36,,Turnover by C. Paul (lost ball; steal by L. Stephenson)
6:07.0,,,35-36,,Turnover by T. Ariza (lost ball; steal by C. Joseph)
6:03.0,T. Young makes 2-pt shot at rim (assist by L. Stephenson),2,37-36,,
6:01.0,,,37-38,2,E. Gordon makes 2-pt shot from 1 ft
6:01.0,,,37-38,,Shooting foul by D. Collison (drawn by E. Gordon)
6:01.0,,,37-38,,P. Tucker enters the game for T. Ariza
6:01.0,,,37-38,,J. Harden enters the game for C. Paul
6:01.0,V. Oladipo enters the game for D. Collison,,37-38,,
6:01.0,,,37-38,,E. Gordon misses free throw 1 of 1
5:45.0,Defensive rebound by D. Sabonis,,37-38,,
5:35.0,L. Stephenson misses 2-pt shot from 19 ft,,37-38,,
5:33.0,,,37-38,,Defensive rebound by L. Mbah a Moute
5:28.0,Personal foul by T. Young (drawn by J. Harden),,37-38,,
5:28.0,,,37-39,1,J. Harden makes free throw 1 of 2
5:28.0,M. Turner enters the game for D. Sabonis,,37-39,,
5:28.0,,,37-40,1,J. Harden makes free throw 2 of 2
5:16.0,,,37-40,,Personal foul by P. Tucker (drawn by T. Young)
5:16.0,,,37-40,,Turnover by P. Tucker (turnover)
5:16.0,,,37-40,,C. Capela enters the game for R. Anderson
5:10.0,M. Turner makes 2-pt shot from 17 ft (assist by C. Joseph),2,39-40,,
4:57.0,,,39-40,,E. Gordon misses 2-pt shot from 2 ft
4:57.0,,,39-40,,Offensive rebound by C. Capela
4:50.0,,,39-42,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
4:37.0,M. Turner misses 3-pt shot from 25 ft,,39-42,,
4:34.0,,,39-42,,Defensive rebound by L. Mbah a Moute
4:29.0,,,39-44,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
4:14.0,V. Oladipo misses 2-pt shot from 20 ft,,39-44,,
4:10.0,,,39-44,,Defensive rebound by J. Harden
4:10.0,Personal foul by C. Joseph (drawn by J. Harden),,39-44,,
4:10.0,,,39-45,1,J. Harden makes free throw 1 of 2
4:10.0,B. Bogdanovic enters the game for L. Stephenson,,39-45,,
4:10.0,D. Collison enters the game for C. Joseph,,39-45,,
4:10.0,,,39-46,1,J. Harden makes free throw 2 of 2
3:54.0,T. Young makes 2-pt shot from 8 ft,2,41-46,,
3:54.0,,,41-46,,Violation by C. Capela (def goaltending)
3:37.0,,,41-48,2,E. Gordon makes 2-pt shot from 6 ft
2:59.0,V. Oladipo makes 2-pt shot at rim (assist by T. Young),2,43-48,,
2:59.0,,,43-48,,C. Capela misses 2-pt shot from 3 ft
2:59.0,Turnover by T. Young (bad pass),,43-48,,
2:59.0,Offensive rebound by M. Turner,,43-48,,
2:59.0,,,43-48,,Houston full timeout
2:59.0,,,43-48,,C. Paul enters the game for E. Gordon
2:47.0,,,43-48,,J. Harden misses 2-pt shot from 4 ft
2:43.0,Defensive rebound by M. Turner,,43-48,,
2:35.0,M. Turner makes 2-pt shot from 2 ft (assist by V. Oladipo),2,45-48,,
2:23.0,,,45-48,,Turnover by C. Capela (lost ball; steal by V. Oladipo)
2:17.0,V. Oladipo makes 2-pt shot from 1 ft,2,47-48,,
2:03.0,,,47-51,3,C. Paul makes 3-pt shot from 25 ft
1:41.0,Jump ball: C. Capela vs. M. Turner (C. Paul gains possession),,,,Jump ball: C. Capela vs. M. Turner (C. Paul gains possession)
1:41.0,Turnover by M. Turner (turnover; steal by C. Capela),,47-51,,
1:29.0,Personal foul by V. Oladipo (drawn by C. Paul),,47-51,,
1:29.0,,,47-51,,C. Paul misses free throw 1 of 2
1:29.0,,,47-51,,Offensive rebound by Team
1:29.0,,,47-52,1,C. Paul makes free throw 2 of 2
1:08.0,T. Young misses 2-pt shot from 19 ft,,47-52,,
1:06.0,Offensive rebound by D. Collison,,47-52,,
0:52.0,M. Turner misses 2-pt shot from 13 ft,,47-52,,
0:49.0,Offensive rebound by T. Young,,47-52,,
0:49.0,T. Young makes 2-pt shot at rim,2,49-52,,
0:34.0,,,49-52,,J. Harden misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by V. Oladipo,,49-52,,
0:13.0,V. Oladipo misses 2-pt shot from 22 ft,,49-52,,
0:10.0,,,49-52,,Defensive rebound by C. Capela
0:01.0,,,49-52,,Shooting foul by B. Bogdanovic (drawn by J. Harden)
0:01.0,,,49-53,1,J. Harden makes free throw 1 of 2
0:01.0,,,49-54,1,J. Harden makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Collison),3,52-54,,
11:24.0,,,52-54,,R. Anderson misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by V. Oladipo,,52-54,,
11:13.0,M. Turner makes 2-pt shot from 9 ft (assist by D. Collison),2,54-54,,
10:46.0,,,54-56,2,C. Capela makes 2-pt shot from 7 ft (assist by T. Ariza)
10:30.0,Shooting foul by J. Harden (drawn by M. Turner),,54-56,,
10:30.0,M. Turner makes free throw 1 of 2,1,55-56,,
10:30.0,M. Turner makes free throw 2 of 2,1,56-56,,
10:17.0,,,56-56,,R. Anderson misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by M. Turner,,56-56,,
10:00.0,V. Oladipo misses 3-pt shot from 24 ft,,56-56,,
9:58.0,,,56-56,,Defensive rebound by C. Paul
9:53.0,,,56-56,,J. Harden misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by M. Turner,,56-56,,
9:39.0,Turnover by T. Young (bad pass; steal by T. Ariza),,56-56,,
9:32.0,,,56-59,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
9:11.0,T. Young makes 2-pt shot from 7 ft,2,58-59,,
8:59.0,,,58-62,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
8:40.0,V. Oladipo misses 2-pt shot from 11 ft,,58-62,,
8:37.0,,,58-62,,Defensive rebound by C. Capela
8:25.0,,,58-62,,C. Paul misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by B. Bogdanovic,,58-62,,
8:12.0,M. Turner misses 2-pt shot from 10 ft,,58-62,,
8:09.0,,,58-62,,Defensive rebound by C. Capela
8:02.0,,,58-65,3,T. Ariza makes 3-pt shot from 23 ft (assist by R. Anderson)
7:45.0,Turnover by D. Collison (bad pass; steal by T. Ariza),,58-65,,
7:41.0,,,58-65,,T. Ariza misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Collison,,58-65,,
7:33.0,T. Young misses 3-pt shot from 23 ft,,58-65,,
7:33.0,,,58-65,,Defensive rebound by J. Harden
7:26.0,,,58-67,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:26.0,Indiana full timeout,,58-67,,
7:13.0,Turnover by M. Turner (bad pass; steal by J. Harden),,58-67,,
6:55.0,,,58-67,,C. Paul misses 2-pt shot from 11 ft
6:55.0,,,58-67,,Offensive rebound by Team
6:55.0,Loose ball foul by M. Turner (drawn by C. Capela),,58-67,,
6:46.0,,,58-67,,Offensive foul by C. Capela (drawn by D. Collison)
6:46.0,,,58-67,,Turnover by C. Capela (offensive foul)
6:36.0,M. Turner makes 2-pt shot from 3 ft (assist by V. Oladipo),2,60-67,,
6:36.0,Shooting foul by J. Harden (drawn by M. Turner),,60-67,,
6:36.0,M. Turner makes free throw 1 of 1,1,61-67,,
6:24.0,,,61-67,,J. Harden misses 2-pt shot from 15 ft
6:20.0,,,61-67,,Offensive rebound by C. Capela
6:14.0,,,61-67,,J. Harden misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by T. Young,,61-67,,
5:59.0,,,61-67,,P. Tucker enters the game for T. Ariza
5:59.0,,,61-67,,L. Mbah a Moute enters the game for R. Anderson
5:57.0,D. Collison misses 2-pt shot from 18 ft,,61-67,,
5:52.0,,,61-67,,Defensive rebound by C. Capela
5:44.0,,,61-67,,P. Tucker misses 3-pt shot from 22 ft
5:41.0,Defensive rebound by D. Collison,,61-67,,
5:35.0,Offensive foul by M. Turner (drawn by C. Paul),,61-67,,
5:35.0,Turnover by M. Turner (offensive foul),,61-67,,
5:35.0,,,61-67,,E. Gordon enters the game for C. Paul
5:35.0,D. Sabonis enters the game for T. Young,,61-67,,
5:24.0,,,61-69,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:02.0,V. Oladipo misses 2-pt shot from 22 ft,,61-69,,
4:59.0,,,61-69,,Defensive rebound by L. Mbah a Moute
4:57.0,,,61-69,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
4:52.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Oladipo),3,64-69,,
4:39.0,,,64-69,,Shooting foul by D. Collison (drawn by E. Gordon)
4:39.0,,,64-69,,E. Gordon misses free throw 1 of 3
4:39.0,,,64-69,,Offensive rebound by Team
4:39.0,,,64-69,,E. Gordon misses free throw 2 of 3
4:39.0,,,64-69,,Offensive rebound by Team
4:39.0,,,64-69,,N. Hilario enters the game for C. Capela
4:39.0,C. Joseph enters the game for D. Collison,,64-69,,
4:39.0,,,64-70,1,E. Gordon makes free throw 3 of 3
4:23.0,Turnover by M. Turner (step out of bounds),,64-70,,
4:16.0,,,64-70,,Turnover by P. Tucker (out of bounds lost ball)
4:10.0,,,64-70,,Violation by E. Gordon (kicked ball)
4:06.0,B. Bogdanovic misses 3-pt shot from 24 ft,,64-70,,
4:02.0,,,64-70,,Defensive rebound by N. Hilario
3:54.0,,,64-72,2,J. Harden makes 2-pt shot from 1 ft
3:36.0,M. Turner makes 2-pt shot from 4 ft,2,66-72,,
3:21.0,,,66-72,,J. Harden misses 2-pt shot from 12 ft
3:16.0,Defensive rebound by D. Sabonis,,66-72,,
3:14.0,V. Oladipo misses 2-pt shot from 2 ft,,66-72,,
3:14.0,,,66-72,,Defensive rebound by N. Hilario
3:08.0,,,66-75,3,J. Harden makes 3-pt shot from 24 ft (assist by N. Hilario)
2:52.0,B. Bogdanovic misses 3-pt shot from 24 ft,,66-75,,
2:52.0,,,66-75,,Defensive rebound by E. Gordon
2:39.0,,,66-75,,Shooting foul by B. Bogdanovic (drawn by J. Harden)
2:39.0,,,66-75,,Houston full timeout
2:39.0,L. Stephenson enters the game for M. Turner,,66-75,,
2:39.0,T. Young enters the game for B. Bogdanovic,,66-75,,
2:39.0,,,66-76,1,J. Harden makes free throw 1 of 2
2:39.0,,,66-77,1,J. Harden makes free throw 2 of 2
2:21.0,V. Oladipo makes 3-pt shot from 25 ft,3,69-77,,
2:02.0,,,69-80,3,P. Tucker makes 3-pt shot from 23 ft (assist by J. Harden)
1:43.0,D. Sabonis makes 2-pt shot from 6 ft,2,71-80,,
1:22.0,,,71-83,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Gordon)
1:05.0,Jump ball: N. Hilario vs. D. Sabonis (P. Tucker gains possession),,,,Jump ball: N. Hilario vs. D. Sabonis (P. Tucker gains possession)
1:05.0,Turnover by V. Oladipo (bad pass; steal by N. Hilario),,71-83,,
0:50.0,,,71-86,3,J. Harden makes 3-pt shot from 24 ft
0:32.0,V. Oladipo misses 3-pt shot from 26 ft,,71-86,,
0:29.0,,,71-86,,Defensive rebound by J. Harden
0:09.0,,,71-89,3,J. Harden makes 3-pt shot from 25 ft
0:04.0,C. Joseph misses 2-pt shot from 2 ft,,71-89,,
0:02.0,,,71-89,,Defensive rebound by N. Hilario
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,71-89,,N. Hilario misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by T. Young,,71-89,,
11:31.0,T. Young makes 2-pt shot from 17 ft (assist by D. Collison),2,73-89,,
11:17.0,,,73-89,,Turnover by E. Gordon (out of bounds lost ball)
11:17.0,,,73-89,,P. Tucker enters the game for N. Hilario
10:59.0,D. Sabonis misses 2-pt shot from 1 ft,,73-89,,
10:57.0,,,73-89,,Defensive rebound by R. Anderson
10:55.0,,,73-89,,Turnover by T. Ariza (bad pass)
10:37.0,T. Young makes 2-pt shot from 5 ft (assist by L. Stephenson),2,75-89,,
10:12.0,,,75-89,,R. Anderson misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by D. Sabonis,,75-89,,
9:59.0,T. Young makes 3-pt shot from 23 ft (assist by D. Collison),3,78-89,,
9:59.0,,,78-89,,Houston full timeout
9:31.0,,,78-92,3,C. Paul makes 3-pt shot from 27 ft (assist by E. Gordon)
9:16.0,T. Young makes 2-pt shot from 5 ft (assist by D. Collison),2,80-92,,
9:02.0,,,80-94,2,R. Anderson makes 2-pt shot from 1 ft (assist by C. Paul)
8:48.0,T. Young misses 2-pt shot from 6 ft,,80-94,,
8:45.0,Offensive rebound by D. Sabonis,,80-94,,
8:41.0,L. Stephenson makes 2-pt shot from 1 ft,2,82-94,,
8:21.0,Personal foul by D. Collison (drawn by C. Paul),,82-94,,
8:21.0,,,82-94,,C. Capela enters the game for E. Gordon
8:21.0,,,82-94,,J. Harden enters the game for P. Tucker
8:07.0,,,82-94,,J. Harden misses 3-pt shot from 29 ft
8:04.0,Defensive rebound by D. Sabonis,,82-94,,
7:54.0,T. Young makes 2-pt shot from 6 ft,2,84-94,,
7:54.0,,,84-94,,Violation by C. Capela (def goaltending)
7:39.0,,,84-94,,Shooting foul by D. Sabonis (drawn by C. Capela)
7:39.0,,,84-95,1,C. Capela makes free throw 1 of 2
7:39.0,,,84-96,1,C. Capela makes free throw 2 of 2
7:24.0,Offensive charge foul by D. Sabonis (drawn by R. Anderson),,84-96,,
7:24.0,Turnover by D. Sabonis (offensive foul),,84-96,,
7:12.0,Personal foul by D. Collison (drawn by C. Capela),,84-96,,
7:12.0,V. Oladipo enters the game for C. Joseph,,84-96,,
7:02.0,Def 3 sec tech foul by V. Oladipo,,84-96,,
7:02.0,,,84-97,1,J. Harden makes technical free throw
7:02.0,B. Bogdanovic enters the game for T. Young,,84-97,,
6:54.0,,,84-100,2,T. Ariza makes 3-pt shot from 24 ft (assist by C. Capela)
6:53.0,Indiana full timeout,,84-100,,
6:53.0,M. Turner enters the game for D. Sabonis,,84-100,,
6:40.0,M. Turner makes 2-pt shot from 2 ft (assist by L. Stephenson),2,86-100,,
6:23.0,,,86-102,2,C. Paul makes 2-pt shot from 2 ft
6:10.0,D. Collison misses 3-pt shot from 23 ft,,86-102,,
6:07.0,,,86-102,,Defensive rebound by C. Capela
6:02.0,,,86-105,3,R. Anderson makes 3-pt shot from 29 ft (assist by J. Harden)
5:45.0,V. Oladipo makes 2-pt shot from 5 ft,2,88-105,,
5:31.0,,,88-107,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
5:09.0,V. Oladipo misses 3-pt shot from 27 ft,,88-107,,
5:06.0,,,88-107,,Defensive rebound by C. Paul
4:48.0,,,88-107,,J. Harden misses 3-pt shot from 28 ft
4:44.0,Defensive rebound by V. Oladipo,,88-107,,
4:31.0,B. Bogdanovic misses 3-pt shot from 23 ft,,88-107,,
4:28.0,Offensive rebound by D. Collison,,88-107,,
4:27.0,D. Collison misses 2-pt shot from 6 ft,,88-107,,
4:27.0,,,88-107,,Defensive rebound by C. Capela
4:17.0,,,88-110,3,R. Anderson makes 3-pt shot from 24 ft (assist by C. Paul)
4:15.0,Indiana full timeout,,88-110,,
4:15.0,,,88-110,,E. Gordon enters the game for T. Ariza
4:15.0,,,88-110,,L. Mbah a Moute enters the game for C. Paul
4:15.0,J. Young enters the game for D. Collison,,88-110,,
4:05.0,L. Stephenson makes 2-pt shot from 2 ft,2,90-110,,
3:50.0,,,90-110,,E. Gordon misses 2-pt shot from 2 ft
3:45.0,,,90-110,,Offensive rebound by C. Capela
3:45.0,,,90-112,2,C. Capela makes 2-pt shot at rim
3:42.0,,,90-112,,Personal foul by E. Gordon (drawn by L. Stephenson)
3:33.0,Turnover by J. Young (lost ball; steal by E. Gordon),,90-112,,
3:22.0,,,90-115,3,E. Gordon makes 3-pt shot from 28 ft (assist by L. Mbah a Moute)
3:03.0,V. Oladipo makes 2-pt shot from 3 ft,2,92-115,,
2:53.0,,,92-115,,Turnover by R. Anderson (traveling)
2:53.0,T. Leaf enters the game for B. Bogdanovic,,92-115,,
2:43.0,V. Oladipo misses 3-pt shot from 26 ft,,92-115,,
2:41.0,,,92-115,,Defensive rebound by L. Mbah a Moute
2:23.0,,,92-118,3,J. Harden makes 3-pt shot from 25 ft
2:22.0,Indiana full timeout,,92-118,,
2:22.0,,,92-118,,B. Weber enters the game for E. Gordon
2:22.0,,,92-118,,B. Brown enters the game for J. Harden
2:22.0,,,92-118,,T. Black enters the game for C. Capela
2:22.0,D. Wilkins enters the game for V. Oladipo,,92-118,,
2:22.0,C. Joseph enters the game for M. Turner,,92-118,,
2:13.0,J. Young misses 2-pt shot from 16 ft,,92-118,,
2:09.0,,,92-118,,Defensive rebound by B. Weber
1:57.0,,,92-118,,R. Anderson misses 2-pt shot from 17 ft
1:55.0,Defensive rebound by L. Stephenson,,92-118,,
1:48.0,J. Young makes 2-pt shot from 2 ft,2,94-118,,
1:48.0,Shooting foul by B. Weber (drawn by J. Young),,94-118,,
1:48.0,J. Young makes free throw 1 of 1,1,95-118,,
