time,LA Clippers,pts.away,score,pts.home,Toronto
5:31.0,,,9-27,,Loose ball foul by J. Valanciunas (drawn by D. Jordan)
5:31.0,M. Teodosic enters the game for A. Rivers,,9-27,,
5:31.0,M. Harrell enters the game for D. Jordan,,9-27,,
5:26.0,M. Teodosic makes 2-pt shot from 16 ft,2,11-27,,
5:20.0,Personal foul by M. Teodosic (drawn by K. Lowry),,11-27,,
5:04.0,,,11-27,,O. Anunoby misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by M. Teodosic,,11-27,,
4:52.0,Shooting foul by J. Valanciunas (drawn by M. Teodosic),,11-27,,
4:52.0,M. Teodosic makes free throw 1 of 2,1,12-27,,
4:52.0,,,12-27,,J. Poeltl enters the game for J. Valanciunas
4:52.0,M. Teodosic makes free throw 2 of 2,1,13-27,,
4:35.0,,,13-27,,O. Anunoby misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by T. Harris,,13-27,,
4:30.0,Shooting foul by S. Ibaka (drawn by T. Harris),,13-27,,
4:30.0,T. Harris makes free throw 1 of 2,1,14-27,,
4:30.0,,,14-27,,P. Siakam enters the game for S. Ibaka
4:30.0,T. Harris misses free throw 2 of 2,,14-27,,
4:23.0,,,14-27,,Defensive rebound by P. Siakam
4:06.0,,,14-30,3,P. Siakam makes 3-pt shot from 25 ft (assist by D. DeRozan)
3:44.0,M. Teodosic misses 2-pt shot from 20 ft,,14-30,,
3:43.0,,,14-30,,Defensive rebound by O. Anunoby
3:43.0,,,14-30,,Turnover by K. Lowry (traveling)
3:43.0,,,14-30,,C. Miles enters the game for O. Anunoby
3:31.0,S. Thornwell misses 2-pt shot from 4 ft (block by J. Poeltl),,14-30,,
3:31.0,Offensive rebound by Team,,14-30,,
3:28.0,L. Williams misses 3-pt shot from 25 ft,,14-30,,
3:24.0,,,14-30,,Defensive rebound by J. Poeltl
3:15.0,,,14-30,,P. Siakam misses 2-pt shot from 10 ft
3:12.0,Defensive rebound by S. Thornwell,,14-30,,
3:02.0,T. Harris makes 2-pt shot from 13 ft (assist by L. Williams),2,16-30,,
2:51.0,Personal foul by L. Williams (drawn by P. Siakam),,16-30,,
2:51.0,,,16-30,,Toronto full timeout
2:51.0,,,16-30,,F. VanVleet enters the game for K. Lowry
2:40.0,,,16-30,,C. Miles misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by T. Harris,,16-30,,
2:35.0,,,16-30,,Personal foul by C. Miles (drawn by M. Harrell)
2:35.0,M. Harrell misses free throw 1 of 2,,16-30,,
2:35.0,Offensive rebound by Team,,16-30,,
2:35.0,M. Harrell makes free throw 2 of 2,1,17-30,,
2:13.0,,,17-30,,P. Siakam misses 2-pt shot from 5 ft
2:07.0,Defensive rebound by S. Thornwell,,17-30,,
2:01.0,M. Harrell makes 2-pt shot at rim (assist by T. Harris),2,19-30,,
1:41.0,,,19-30,,D. DeRozan misses 2-pt shot from 18 ft
1:39.0,Defensive rebound by Team,,19-30,,
1:24.0,T. Harris makes 3-pt shot from 25 ft (assist by L. Williams),3,22-30,,
1:10.0,,,22-30,,C. Miles misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by S. Thornwell,,22-30,,
0:58.0,Shooting foul by P. Siakam (drawn by S. Thornwell),,22-30,,
0:58.0,S. Thornwell makes free throw 1 of 2,1,23-30,,
0:58.0,S. Thornwell makes free throw 2 of 2,1,24-30,,
0:41.0,,,24-30,,Shooting foul by M. Teodosic (drawn by D. DeRozan)
0:41.0,,,24-31,1,D. DeRozan makes free throw 1 of 2
0:41.0,,,24-32,1,D. DeRozan makes free throw 2 of 2
0:32.0,M. Harrell makes 2-pt shot at rim (assist by L. Williams),2,26-32,,
0:12.0,,,26-35,3,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:02.0,L. Williams misses 2-pt shot from 4 ft,,26-35,,
0:02.0,Offensive rebound by M. Harrell,,26-35,,
0:02.0,M. Harrell makes 2-pt shot at rim,2,28-35,,
0:00.0,,,28-35,,F. VanVleet misses 3-pt shot from 44 ft
0:00.0,,,28-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Harris misses 2-pt shot from 6 ft,,28-35,,
11:37.0,Offensive rebound by M. Harrell,,28-35,,
11:37.0,M. Harrell misses 2-pt shot at rim,,28-35,,
11:36.0,,,28-35,,Defensive rebound by D. Wright
11:25.0,,,28-37,2,P. Siakam makes 2-pt shot from 6 ft
11:16.0,L. Williams makes 2-pt shot from 2 ft,2,30-37,,
11:03.0,,,30-37,,Offensive foul by J. Poeltl (drawn by M. Teodosic)
11:03.0,,,30-37,,Turnover by J. Poeltl (offensive foul)
11:03.0,S. Dekker enters the game for T. Harris,,30-37,,
10:49.0,Turnover by S. Dekker (traveling),,30-37,,
10:36.0,,,30-37,,D. Wright misses 2-pt shot from 8 ft (block by L. Williams)
10:26.0,,,30-37,,Offensive rebound by D. Wright
10:26.0,,,30-37,,D. Wright misses 2-pt shot at rim
10:26.0,,,30-37,,Offensive rebound by J. Poeltl
10:23.0,,,30-39,2,J. Poeltl makes 2-pt shot at rim
10:09.0,A. Rivers misses 2-pt shot from 1 ft,,30-39,,
10:06.0,,,30-39,,Defensive rebound by J. Poeltl
10:04.0,,,30-41,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
9:49.0,M. Teodosic misses 2-pt shot from 5 ft,,30-41,,
9:46.0,Offensive rebound by M. Harrell,,30-41,,
9:42.0,M. Harrell makes 2-pt shot from 3 ft,2,32-41,,
9:33.0,,,32-43,2,F. VanVleet makes 2-pt shot at rim (assist by D. Wright)
9:16.0,A. Rivers makes 2-pt shot from 5 ft,2,34-43,,
9:08.0,Personal foul by A. Rivers (drawn by F. VanVleet),,34-43,,
8:55.0,,,34-43,,Turnover by J. Poeltl (bad pass)
8:42.0,L. Williams misses 2-pt shot from 16 ft,,34-43,,
8:38.0,Offensive rebound by M. Harrell,,34-43,,
8:37.0,M. Harrell misses 2-pt shot from 9 ft,,34-43,,
8:33.0,,,34-43,,Defensive rebound by J. Poeltl
8:18.0,,,34-45,2,C. Miles makes 2-pt shot from 4 ft (assist by F. VanVleet)
8:07.0,M. Teodosic makes 3-pt shot from 25 ft,3,37-45,,
7:51.0,,,37-45,,J. Poeltl misses 2-pt shot from 4 ft
7:50.0,,,37-45,,Offensive rebound by P. Siakam
7:50.0,,,37-45,,Shooting foul by M. Harrell (drawn by P. Siakam)
7:50.0,,,37-45,,P. Siakam misses free throw 1 of 2
7:50.0,,,37-45,,Offensive rebound by Team
7:50.0,,,37-46,1,P. Siakam makes free throw 2 of 2
7:50.0,,,37-46,,K. Lowry enters the game for C. Miles
7:50.0,D. Jordan enters the game for M. Harrell,,37-46,,
7:50.0,W. Johnson enters the game for S. Dekker,,37-46,,
7:29.0,A. Rivers misses 2-pt shot from 4 ft (block by J. Poeltl),,37-46,,
7:24.0,,,37-46,,Defensive rebound by J. Poeltl
7:15.0,,,37-49,3,F. VanVleet makes 3-pt shot from 26 ft (assist by D. Wright)
7:07.0,Shooting foul by P. Siakam (drawn by L. Williams),,37-49,,
7:07.0,L. Williams makes free throw 1 of 2,1,38-49,,
7:07.0,L. Williams makes free throw 2 of 2,1,39-49,,
6:48.0,,,39-49,,Turnover by F. VanVleet (bad pass; steal by A. Rivers)
6:36.0,L. Williams misses 3-pt shot from 24 ft,,39-49,,
6:33.0,,,39-49,,Defensive rebound by P. Siakam
6:29.0,,,39-51,2,D. Wright makes 2-pt shot from 1 ft (assist by P. Siakam)
6:04.0,L. Williams misses 2-pt shot from 18 ft,,39-51,,
6:01.0,,,39-51,,Defensive rebound by P. Siakam
5:52.0,,,39-54,3,F. VanVleet makes 3-pt shot from 25 ft (assist by K. Lowry)
5:47.0,LA Clippers full timeout,,39-54,,
5:47.0,,,39-54,,S. Ibaka enters the game for J. Poeltl
5:47.0,,,39-54,,J. Valanciunas enters the game for P. Siakam
5:47.0,T. Harris enters the game for L. Williams,,39-54,,
5:36.0,A. Rivers makes 2-pt shot from 2 ft,2,41-54,,
5:10.0,,,41-54,,Turnover by Team (shot clock)
4:53.0,W. Johnson makes 3-pt shot from 23 ft (assist by M. Teodosic),3,44-54,,
4:39.0,,,44-54,,K. Lowry misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by T. Harris,,44-54,,
4:31.0,T. Harris makes 2-pt shot from 15 ft,2,46-54,,
4:23.0,,,46-54,,Toronto full timeout
4:23.0,,,46-54,,D. DeRozan enters the game for F. VanVleet
4:10.0,,,46-54,,Turnover by J. Valanciunas (bad pass)
3:54.0,Turnover by M. Teodosic (bad pass; steal by D. Wright),,46-54,,
3:40.0,,,46-54,,S. Ibaka misses 2-pt shot from 15 ft
3:36.0,Defensive rebound by M. Teodosic,,46-54,,
3:33.0,W. Johnson misses 2-pt shot from 2 ft,,46-54,,
3:28.0,,,46-54,,Defensive rebound by S. Ibaka
3:25.0,,,46-54,,Turnover by K. Lowry (bad pass; steal by A. Rivers)
3:13.0,M. Teodosic misses 2-pt shot from 6 ft (block by D. Wright),,46-54,,
3:09.0,,,46-54,,Defensive rebound by J. Valanciunas
3:06.0,,,46-54,,D. Wright misses 3-pt shot from 24 ft
3:03.0,,,46-54,,Offensive rebound by S. Ibaka
3:01.0,,,46-54,,S. Ibaka misses 2-pt shot from 6 ft
2:58.0,Defensive rebound by W. Johnson,,46-54,,
2:48.0,Shooting foul by J. Valanciunas (drawn by D. Jordan),,46-54,,
2:48.0,D. Jordan misses free throw 1 of 2,,46-54,,
2:48.0,Offensive rebound by Team,,46-54,,
2:48.0,,,46-54,,O. Anunoby enters the game for J. Valanciunas
2:48.0,,,46-54,,J. Poeltl enters the game for D. Wright
2:48.0,L. Williams enters the game for M. Teodosic,,46-54,,
2:48.0,S. Thornwell enters the game for W. Johnson,,46-54,,
2:48.0,D. Jordan misses free throw 2 of 2,,46-54,,
2:46.0,,,46-54,,Defensive rebound by O. Anunoby
2:26.0,,,46-54,,D. DeRozan misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by D. Jordan,,46-54,,
2:21.0,Turnover by D. Jordan (bad pass; steal by K. Lowry),,46-54,,
2:15.0,,,46-54,,S. Ibaka misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by D. Jordan,,46-54,,
2:06.0,L. Williams makes 2-pt shot from 6 ft,2,48-54,,
1:49.0,Personal block foul by T. Harris (drawn by J. Poeltl),,48-54,,
1:46.0,,,48-54,,Offensive foul by K. Lowry (drawn by L. Williams)
1:46.0,,,48-54,,Turnover by K. Lowry (offensive foul)
1:37.0,Offensive foul by D. Jordan,,48-54,,
1:37.0,Turnover by D. Jordan (offensive foul),,48-54,,
1:37.0,Technical foul by D. Jordan,,48-54,,
1:37.0,,,48-55,1,D. DeRozan makes technical free throw
1:22.0,,,48-57,2,J. Poeltl makes 2-pt shot from 6 ft
1:15.0,,,48-57,,Personal block foul by O. Anunoby (drawn by L. Williams)
1:10.0,Turnover by A. Rivers (bad pass),,48-57,,
1:03.0,,,48-57,,J. Poeltl misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by D. Jordan,,48-57,,
0:57.0,T. Harris misses 2-pt shot from 1 ft (block by S. Ibaka),,48-57,,
0:57.0,Offensive rebound by Team,,48-57,,
0:48.0,A. Rivers misses 3-pt shot from 24 ft,,48-57,,
0:46.0,Offensive rebound by Team,,48-57,,
0:46.0,,,48-57,,Loose ball foul by J. Poeltl (drawn by D. Jordan)
0:46.0,D. Jordan makes free throw 1 of 2,1,49-57,,
0:46.0,D. Jordan makes free throw 2 of 2,1,50-57,,
0:33.0,,,50-60,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:26.0,L. Williams misses 2-pt shot from 2 ft,,50-60,,
0:26.0,Offensive rebound by D. Jordan,,50-60,,
0:26.0,D. Jordan makes 2-pt shot from 3 ft,2,52-60,,
0:26.0,Shooting foul by K. Lowry (drawn by D. Jordan),,52-60,,
0:26.0,D. Jordan makes free throw 1 of 1,1,53-60,,
0:03.0,,,53-60,,D. DeRozan misses 2-pt shot from 19 ft
0:00.0,,,53-60,,Offensive rebound by K. Lowry
0:00.0,,,53-60,,Shooting foul by T. Harris (drawn by O. Anunoby)
0:00.0,W. Johnson enters the game for L. Williams,,53-60,,
0:00.0,,,53-60,,O. Anunoby misses free throw 1 of 2
0:00.0,,,53-60,,Offensive rebound by Team
0:00.0,,,53-60,,O. Anunoby misses free throw 2 of 2
0:00.0,Defensive rebound by D. Jordan,,53-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,T. Harris misses 2-pt shot from 13 ft,,53-60,,
11:43.0,,,53-60,,Defensive rebound by J. Valanciunas
11:29.0,Personal foul by D. Jordan (drawn by J. Valanciunas),,53-60,,
11:23.0,,,53-60,,D. DeRozan misses 2-pt shot from 14 ft
11:19.0,Defensive rebound by D. Jordan,,53-60,,
11:05.0,Turnover by D. Jordan (turnover),,53-60,,
10:49.0,,,53-62,2,J. Valanciunas makes 2-pt shot from 5 ft
10:36.0,M. Teodosic misses 2-pt shot from 15 ft,,53-62,,
10:33.0,,,53-62,,Defensive rebound by J. Valanciunas
10:26.0,,,53-62,,Turnover by D. DeRozan (lost ball; steal by A. Rivers)
10:20.0,M. Teodosic misses 3-pt shot from 25 ft,,53-62,,
10:17.0,,,53-62,,Defensive rebound by S. Ibaka
10:07.0,,,53-62,,J. Valanciunas misses 2-pt shot from 2 ft
10:04.0,Defensive rebound by D. Jordan,,53-62,,
10:02.0,W. Johnson misses 2-pt shot from 16 ft,,53-62,,
10:02.0,Offensive rebound by Team,,53-62,,
10:02.0,,,53-62,,Loose ball foul by J. Valanciunas (drawn by D. Jordan)
9:58.0,A. Rivers makes 2-pt shot from 12 ft,2,55-62,,
9:45.0,,,55-62,,K. Lowry misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by T. Harris,,55-62,,
9:37.0,D. Jordan makes 2-pt shot from 2 ft (assist by T. Harris),2,57-62,,
9:16.0,,,57-64,2,S. Ibaka makes 2-pt shot from 1 ft (assist by D. DeRozan)
9:01.0,W. Johnson makes 3-pt shot from 23 ft (assist by A. Rivers),3,60-64,,
8:49.0,Personal foul by T. Harris (drawn by J. Valanciunas),,60-64,,
8:49.0,,,60-64,,J. Poeltl enters the game for J. Valanciunas
8:40.0,,,60-64,,S. Ibaka misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by Team,,60-64,,
8:21.0,M. Teodosic misses 3-pt shot from 27 ft,,60-64,,
8:17.0,,,60-64,,Defensive rebound by K. Lowry
8:13.0,,,60-64,,S. Ibaka misses 3-pt shot from 24 ft
8:09.0,,,60-64,,Offensive rebound by J. Poeltl
8:06.0,,,60-64,,K. Lowry misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by W. Johnson,,60-64,,
7:55.0,A. Rivers makes 2-pt shot from 10 ft,2,62-64,,
7:45.0,,,62-64,,Technical foul by K. Lowry
7:45.0,T. Harris makes technical free throw,1,63-64,,
7:45.0,,,63-64,,Toronto full timeout
7:35.0,,,63-64,,Turnover by D. DeRozan (lost ball; steal by W. Johnson)
7:23.0,A. Rivers makes 3-pt shot from 25 ft,3,66-64,,
7:05.0,,,66-64,,Turnover by S. Ibaka (turnover)
6:52.0,A. Rivers misses 2-pt shot from 3 ft,,66-64,,
6:48.0,,,66-64,,Defensive rebound by O. Anunoby
6:40.0,,,66-64,,O. Anunoby misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by Team,,66-64,,
6:23.0,T. Harris misses 3-pt shot from 25 ft,,66-64,,
6:16.0,Offensive rebound by D. Jordan,,66-64,,
6:16.0,D. Jordan misses 2-pt shot at rim,,66-64,,
6:15.0,,,66-64,,Defensive rebound by J. Poeltl
6:13.0,,,66-64,,K. Lowry misses 2-pt shot from 3 ft
6:06.0,,,66-64,,Offensive rebound by S. Ibaka
6:06.0,,,66-66,2,S. Ibaka makes 2-pt shot at rim
5:59.0,M. Teodosic makes 2-pt shot from 11 ft,2,68-66,,
5:45.0,L. Williams enters the game for M. Teodosic,,68-66,,
5:41.0,,,68-66,,D. DeRozan misses 2-pt shot from 11 ft
5:41.0,Defensive rebound by Team,,68-66,,
5:41.0,,,68-66,,Loose ball foul by J. Poeltl (drawn by D. Jordan)
5:26.0,T. Harris misses 2-pt shot from 3 ft,,68-66,,
5:23.0,Offensive rebound by A. Rivers,,68-66,,
5:14.0,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers),3,71-66,,
4:47.0,,,71-66,,Turnover by Team (shot clock)
4:47.0,,,71-66,,P. Siakam enters the game for O. Anunoby
4:47.0,,,71-66,,C. Miles enters the game for S. Ibaka
4:36.0,Shooting foul by P. Siakam (drawn by D. Jordan),,71-66,,
4:36.0,D. Jordan makes free throw 1 of 2,1,72-66,,
4:36.0,D. Jordan misses free throw 2 of 2,,72-66,,
4:34.0,,,72-66,,Defensive rebound by P. Siakam
4:20.0,,,72-66,,Shooting foul by T. Harris (drawn by J. Poeltl)
4:20.0,,,72-66,,J. Poeltl misses free throw 1 of 2
4:20.0,,,72-66,,Offensive rebound by Team
4:20.0,M. Harrell enters the game for T. Harris,,72-66,,
4:20.0,,,72-66,,J. Poeltl misses free throw 2 of 2
4:16.0,,,72-66,,Offensive rebound by J. Poeltl
4:13.0,,,72-69,3,C. Miles makes 3-pt shot from 22 ft (assist by K. Lowry)
4:13.0,LA Clippers full timeout,,72-69,,
4:01.0,Turnover by M. Harrell (traveling),,72-69,,
3:51.0,,,72-69,,C. Miles misses 3-pt shot from 23 ft
3:46.0,Defensive rebound by D. Jordan,,72-69,,
3:36.0,M. Harrell makes 2-pt shot from 6 ft (assist by L. Williams),2,74-69,,
3:25.0,,,74-69,,C. Miles misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by W. Johnson,,74-69,,
3:16.0,A. Rivers misses 2-pt shot from 5 ft,,74-69,,
3:12.0,,,74-69,,Defensive rebound by D. DeRozan
3:00.0,,,74-69,,D. DeRozan misses 2-pt shot from 10 ft (block by D. Jordan)
3:00.0,Defensive rebound by Team,,74-69,,
3:00.0,,,74-69,,Personal foul by D. DeRozan (drawn by D. Jordan)
3:00.0,,,74-69,,F. VanVleet enters the game for D. DeRozan
2:36.0,Turnover by Team (shot clock),,74-69,,
2:36.0,M. Teodosic enters the game for A. Rivers,,74-69,,
2:25.0,,,74-69,,J. Poeltl misses 2-pt shot from 5 ft
2:21.0,,,74-69,,Offensive rebound by K. Lowry
2:09.0,,,74-72,3,P. Siakam makes 3-pt shot from 23 ft (assist by J. Poeltl)
1:54.0,W. Johnson misses 2-pt shot from 21 ft,,74-72,,
1:51.0,,,74-72,,Defensive rebound by K. Lowry
1:46.0,,,74-75,3,C. Miles makes 3-pt shot from 23 ft (assist by J. Poeltl)
1:31.0,L. Williams makes 2-pt shot from 21 ft,2,76-75,,
1:19.0,,,76-75,,C. Miles misses 3-pt shot from 25 ft
1:10.0,,,76-75,,Offensive rebound by P. Siakam
1:10.0,,,76-77,2,P. Siakam makes 2-pt shot at rim
0:58.0,L. Williams misses 3-pt shot from 24 ft,,76-77,,
0:54.0,,,76-77,,Defensive rebound by J. Poeltl
0:52.0,,,76-79,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
0:42.0,Shooting foul by K. Lowry (drawn by M. Teodosic),,76-79,,
0:42.0,M. Teodosic makes free throw 1 of 2,1,77-79,,
0:42.0,B. Marjanovic enters the game for D. Jordan,,77-79,,
0:42.0,S. Thornwell enters the game for W. Johnson,,77-79,,
0:42.0,M. Teodosic makes free throw 2 of 2,1,78-79,,
0:32.0,,,78-79,,C. Miles misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by M. Teodosic,,78-79,,
0:11.0,L. Williams misses 2-pt shot from 9 ft,,78-79,,
0:09.0,Offensive rebound by M. Harrell,,78-79,,
0:09.0,M. Harrell makes 2-pt shot at rim,2,80-79,,
0:00.0,,,80-79,,Shooting foul by B. Marjanovic (drawn by J. Poeltl)
0:00.0,,,80-80,1,J. Poeltl makes free throw 1 of 2
0:00.0,,,80-80,,J. Poeltl misses free throw 2 of 2
0:00.0,,,80-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,80-82,2,F. VanVleet makes 2-pt shot from 5 ft
11:28.0,L. Williams makes 2-pt shot from 10 ft,2,82-82,,
11:16.0,,,82-82,,C. Miles misses 2-pt shot from 1 ft (block by B. Marjanovic)
11:15.0,Defensive rebound by Team,,82-82,,
11:02.0,Jump ball: F. VanVleet vs. L. Williams (B. Marjanovic gains possession),,,,Jump ball: F. VanVleet vs. L. Williams (B. Marjanovic gains possession)
10:57.0,L. Williams misses 2-pt shot from 12 ft (block by J. Poeltl),,82-82,,
10:50.0,Offensive rebound by L. Williams,,82-82,,
10:50.0,B. Marjanovic makes 2-pt shot from 1 ft (assist by L. Williams),2,84-82,,
10:42.0,,,84-82,,F. VanVleet misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by S. Thornwell,,84-82,,
10:31.0,M. Harrell makes 2-pt shot from 5 ft,2,86-82,,
10:13.0,,,86-82,,Turnover by P. Siakam (bad pass; steal by L. Williams)
10:07.0,M. Harrell makes 2-pt shot from 2 ft,2,88-82,,
9:56.0,,,88-82,,F. VanVleet misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by S. Thornwell,,88-82,,
9:51.0,L. Williams makes 2-pt shot from 2 ft (assist by S. Thornwell),2,90-82,,
9:51.0,,,90-82,,Toronto full timeout
9:39.0,,,90-82,,J. Poeltl misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by B. Marjanovic,,90-82,,
9:30.0,Shooting foul by F. VanVleet (drawn by L. Williams),,90-82,,
9:30.0,L. Williams makes free throw 1 of 2,1,91-82,,
9:30.0,,,91-82,,S. Ibaka enters the game for J. Poeltl
9:30.0,L. Williams makes free throw 2 of 2,1,92-82,,
9:18.0,,,92-82,,D. Wright misses 2-pt shot from 5 ft
9:14.0,Defensive rebound by M. Harrell,,92-82,,
9:08.0,M. Harrell makes 2-pt shot from 1 ft (assist by B. Marjanovic),2,94-82,,
8:57.0,,,94-82,,S. Ibaka misses 2-pt shot from 17 ft
8:52.0,Defensive rebound by B. Marjanovic,,94-82,,
8:43.0,B. Marjanovic makes 2-pt shot at rim (assist by L. Williams),2,96-82,,
8:39.0,,,96-82,,Toronto full timeout
8:39.0,,,96-82,,D. DeRozan enters the game for F. VanVleet
8:39.0,,,96-82,,J. Valanciunas enters the game for P. Siakam
8:39.0,,,96-82,,K. Lowry enters the game for D. Wright
8:28.0,,,96-84,2,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry)
8:12.0,M. Harrell misses 2-pt shot from 7 ft,,96-84,,
8:11.0,,,96-84,,Defensive rebound by Team
8:02.0,,,96-87,3,K. Lowry makes 3-pt shot from 25 ft
7:46.0,L. Williams misses 2-pt shot from 15 ft,,96-87,,
7:43.0,Offensive rebound by L. Williams,,96-87,,
7:36.0,M. Teodosic makes 2-pt shot from 5 ft,2,98-87,,
7:20.0,,,98-87,,Turnover by C. Miles (bad pass; steal by S. Thornwell)
7:13.0,L. Williams misses 2-pt shot from 4 ft (block by J. Valanciunas),,98-87,,
7:08.0,Offensive rebound by B. Marjanovic,,98-87,,
7:07.0,B. Marjanovic misses 2-pt shot from 2 ft,,98-87,,
7:07.0,,,98-87,,Defensive rebound by C. Miles
6:59.0,,,98-87,,Shooting foul by M. Harrell (drawn by D. DeRozan)
