time,Milwaukee,pts.away,score,pts.home,LA Clippers
6:08.0,E. Bledsoe makes 2-pt shot from 21 ft (assist by G. Antetokounmpo),2,17-24,,
5:51.0,,,17-27,3,A. Rivers makes 3-pt shot from 24 ft (assist by T. Harris)
5:37.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,19-27,,
5:23.0,,,19-27,,Turnover by A. Rivers (lost ball; steal by E. Bledsoe)
5:17.0,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo),2,21-27,,
5:02.0,,,21-29,2,T. Harris makes 2-pt shot from 6 ft
4:55.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Johnson),,21-29,,
4:37.0,,,21-29,,W. Johnson misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by E. Bledsoe,,21-29,,
4:33.0,K. Middleton misses 2-pt shot from 1 ft (block by M. Teodosic),,21-29,,
4:29.0,,,21-29,,Defensive rebound by M. Teodosic
4:19.0,,,21-29,,M. Teodosic misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by E. Bledsoe,,21-29,,
4:11.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,21-29,,
4:07.0,,,21-29,,Defensive rebound by D. Jordan
4:04.0,,,21-29,,LA Clippers full timeout
4:04.0,,,21-29,,S. Thornwell enters the game for W. Johnson
4:04.0,,,21-29,,L. Williams enters the game for M. Teodosic
4:04.0,S. Muhammad enters the game for K. Middleton,,21-29,,
4:04.0,T. Snell enters the game for G. Antetokounmpo,,21-29,,
4:04.0,J. Parker enters the game for J. Terry,,21-29,,
3:47.0,,,21-29,,Turnover by S. Thornwell (bad pass; steal by E. Bledsoe)
3:44.0,Shooting foul by S. Thornwell (drawn by S. Muhammad),,21-29,,
3:44.0,S. Muhammad makes free throw 1 of 2,1,22-29,,
3:44.0,S. Muhammad makes free throw 2 of 2,1,23-29,,
3:30.0,,,23-29,,T. Harris misses 2-pt shot from 13 ft
3:25.0,,,23-29,,Offensive rebound by D. Jordan
3:23.0,,,23-29,,D. Jordan misses 2-pt shot from 6 ft
3:23.0,Defensive rebound by J. Henson,,23-29,,
3:16.0,S. Muhammad makes 2-pt shot from 6 ft,2,25-29,,
2:59.0,,,25-29,,T. Harris misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by S. Muhammad,,25-29,,
2:38.0,S. Muhammad misses 2-pt shot from 4 ft,,25-29,,
2:33.0,,,25-29,,Defensive rebound by T. Harris
2:26.0,,,25-31,2,T. Harris makes 2-pt shot from 17 ft (assist by S. Thornwell)
2:06.0,J. Parker makes 2-pt shot from 1 ft,2,27-31,,
1:40.0,,,27-31,,T. Harris misses 2-pt shot from 12 ft
1:35.0,Defensive rebound by E. Bledsoe,,27-31,,
1:32.0,J. Parker misses 2-pt shot from 1 ft,,27-31,,
1:28.0,,,27-31,,Defensive rebound by A. Rivers
1:28.0,,,27-31,,A. Rivers misses 2-pt shot from 3 ft (block by T. Snell)
1:27.0,,,27-31,,Offensive rebound by Team
1:27.0,,,27-31,,T. Wallace enters the game for D. Jordan
1:27.0,,,27-31,,M. Harrell enters the game for A. Rivers
1:27.0,T. Zeller enters the game for J. Henson,,27-31,,
1:19.0,,,27-31,,S. Thornwell misses 2-pt shot from 2 ft
1:14.0,,,27-31,,Offensive rebound by S. Thornwell
1:14.0,,,27-33,2,S. Thornwell makes 2-pt shot at rim
1:07.0,J. Parker misses 3-pt shot from 25 ft,,27-33,,
1:07.0,Offensive rebound by Team,,27-33,,
1:07.0,,,27-33,,Loose ball foul by T. Harris (drawn by T. Zeller)
1:07.0,,,27-33,,S. Dekker enters the game for T. Harris
1:07.0,B. Jennings enters the game for E. Bledsoe,,27-33,,
1:01.0,S. Muhammad misses 2-pt shot from 3 ft,,27-33,,
0:58.0,,,27-33,,Defensive rebound by T. Wallace
0:48.0,,,27-35,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
0:41.0,T. Snell makes 2-pt shot from 20 ft,2,29-35,,
0:32.0,,,29-35,,M. Harrell misses 2-pt shot from 7 ft
0:28.0,Defensive rebound by S. Muhammad,,29-35,,
0:07.0,J. Parker misses 3-pt shot from 24 ft,,29-35,,
0:04.0,,,29-35,,Defensive rebound by L. Williams
0:00.0,,,29-35,,L. Williams misses 3-pt shot from 28 ft (block by T. Snell)
0:00.0,,,29-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by J. Parker (bad pass; steal by S. Thornwell),,29-35,,
11:35.0,,,29-38,3,S. Dekker makes 3-pt shot from 22 ft (assist by L. Williams)
11:22.0,B. Jennings misses 2-pt shot from 1 ft,,29-38,,
11:20.0,,,29-38,,Defensive rebound by T. Wallace
11:16.0,,,29-40,2,S. Thornwell makes 2-pt shot from 1 ft (assist by T. Wallace)
11:16.0,Milwaukee full timeout,,29-40,,
11:16.0,G. Antetokounmpo enters the game for S. Muhammad,,29-40,,
10:59.0,T. Zeller makes 2-pt shot from 1 ft (assist by J. Parker),2,31-40,,
10:45.0,,,31-40,,Turnover by L. Williams (bad pass; steal by J. Parker)
10:41.0,,,31-40,,Personal foul by T. Wallace (drawn by T. Snell)
10:31.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,31-40,,
10:28.0,,,31-40,,Defensive rebound by T. Wallace
10:26.0,Personal foul by J. Parker (drawn by L. Williams),,31-40,,
10:26.0,,,31-40,,M. Teodosic enters the game for T. Wallace
10:19.0,,,31-42,2,L. Williams makes 2-pt shot from 17 ft
10:01.0,,,31-42,,Personal foul by S. Dekker (drawn by T. Zeller)
9:50.0,T. Snell makes 2-pt shot from 12 ft (assist by T. Zeller),2,33-42,,
9:48.0,,,33-42,,Shooting foul by T. Snell (drawn by L. Williams)
9:48.0,,,33-43,1,L. Williams makes free throw 1 of 2
9:48.0,,,33-44,1,L. Williams makes free throw 2 of 2
9:28.0,J. Parker misses 3-pt shot from 24 ft,,33-44,,
9:28.0,,,33-44,,Defensive rebound by Team
9:12.0,,,33-44,,Shooting foul by T. Snell (drawn by S. Dekker)
9:12.0,,,33-44,,S. Dekker misses free throw 1 of 2
9:12.0,,,33-44,,Offensive rebound by Team
9:12.0,J. Terry enters the game for T. Snell,,33-44,,
9:12.0,,,33-45,1,S. Dekker makes free throw 2 of 2
8:55.0,T. Zeller misses 2-pt shot from 7 ft,,33-45,,
8:52.0,,,33-45,,Defensive rebound by S. Thornwell
8:43.0,,,33-45,,Turnover by L. Williams (bad pass; steal by J. Parker)
8:37.0,B. Jennings misses 3-pt shot from 24 ft,,33-45,,
8:33.0,,,33-45,,Defensive rebound by M. Harrell
8:29.0,,,33-47,2,M. Harrell makes 2-pt shot from 1 ft
8:14.0,,,33-47,,Def 3 sec tech foul by M. Harrell
8:14.0,J. Terry misses technical free throw,,33-47,,
8:14.0,Offensive rebound by Team,,33-47,,
8:14.0,K. Middleton enters the game for J. Parker,,33-47,,
8:03.0,Turnover by K. Middleton (traveling),,33-47,,
7:52.0,,,33-49,2,L. Williams makes 2-pt shot at rim
7:51.0,Milwaukee full timeout,,33-49,,
7:51.0,J. Henson enters the game for T. Zeller,,33-49,,
7:40.0,,,33-49,,Violation by S. Thornwell (kicked ball)
7:32.0,K. Middleton misses 3-pt shot from 26 ft,,33-49,,
7:29.0,,,33-49,,Defensive rebound by L. Williams
7:26.0,,,33-49,,Turnover by L. Williams (bad pass; steal by J. Terry)
7:20.0,Shooting foul by M. Harrell (drawn by K. Middleton),,33-49,,
7:20.0,K. Middleton makes free throw 1 of 2,1,34-49,,
7:20.0,K. Middleton makes free throw 2 of 2,1,35-49,,
6:56.0,,,35-51,2,M. Harrell makes 2-pt shot at rim (assist by S. Thornwell)
6:34.0,J. Henson misses 2-pt shot from 8 ft,,35-51,,
6:32.0,,,35-51,,Defensive rebound by M. Harrell
6:32.0,Personal block foul by K. Middleton (drawn by S. Thornwell),,35-51,,
6:32.0,E. Bledsoe enters the game for B. Jennings,,35-51,,
6:27.0,,,35-51,,L. Williams misses 3-pt shot from 22 ft
6:24.0,Defensive rebound by J. Henson,,35-51,,
6:08.0,J. Terry makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,38-51,,
5:58.0,,,38-53,2,S. Thornwell makes 2-pt shot from 1 ft (assist by M. Teodosic)
5:55.0,,,38-53,,Personal take foul by M. Teodosic (drawn by G. Antetokounmpo)
5:55.0,,,38-53,,T. Harris enters the game for S. Thornwell
5:55.0,,,38-53,,A. Rivers enters the game for M. Harrell
5:55.0,,,38-53,,D. Jordan enters the game for S. Dekker
5:48.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,38-53,,
5:44.0,Offensive rebound by E. Bledsoe,,38-53,,
5:38.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,40-53,,
5:29.0,,,40-53,,Turnover by L. Williams (bad pass; steal by J. Terry)
5:26.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,40-53,,
5:26.0,G. Antetokounmpo misses free throw 1 of 2,,40-53,,
5:26.0,Offensive rebound by Team,,40-53,,
5:26.0,G. Antetokounmpo makes free throw 2 of 2,1,41-53,,
5:07.0,,,41-55,2,D. Jordan makes 2-pt shot at rim (assist by T. Harris)
4:59.0,K. Middleton makes 3-pt shot from 24 ft (assist by J. Terry),3,44-55,,
4:29.0,,,44-55,,T. Harris misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by J. Henson,,44-55,,
4:15.0,K. Middleton misses 2-pt shot from 4 ft,,44-55,,
4:11.0,Offensive rebound by K. Middleton,,44-55,,
4:10.0,K. Middleton misses 2-pt shot from 2 ft (block by D. Jordan),,44-55,,
4:07.0,,,44-55,,Defensive rebound by D. Jordan
3:58.0,,,44-55,,D. Jordan misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
3:58.0,Defensive rebound by E. Bledsoe,,44-55,,
3:53.0,E. Bledsoe makes 2-pt shot from 1 ft,2,46-55,,
3:53.0,Shooting foul by A. Rivers (drawn by E. Bledsoe),,46-55,,
3:53.0,,,46-55,,LA Clippers full timeout
3:53.0,E. Bledsoe makes free throw 1 of 1,1,47-55,,
3:34.0,,,47-57,2,T. Harris makes 2-pt shot from 7 ft
3:34.0,Violation by J. Henson (def goaltending),,47-57,,
3:34.0,,,47-57,,Shooting foul by K. Middleton (drawn by T. Harris)
3:34.0,,,47-57,,T. Harris misses free throw 1 of 1
3:30.0,Defensive rebound by K. Middleton,,47-57,,
3:11.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,47-57,,
3:08.0,,,47-57,,Defensive rebound by D. Jordan
3:01.0,,,47-57,,L. Williams misses 2-pt shot from 3 ft
3:00.0,,,47-57,,Offensive rebound by L. Williams
3:00.0,Personal foul by E. Bledsoe (drawn by L. Williams),,47-57,,
3:00.0,,,47-57,,L. Williams misses free throw 1 of 2
3:00.0,,,47-57,,Offensive rebound by Team
3:00.0,,,47-58,1,L. Williams makes free throw 2 of 2
2:46.0,Turnover by J. Henson (lost ball; steal by T. Harris),,47-58,,
2:26.0,,,47-60,2,D. Jordan makes 2-pt shot from 1 ft (assist by M. Teodosic)
2:12.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,49-60,,
1:55.0,Personal block foul by E. Bledsoe (drawn by M. Teodosic),,49-60,,
1:55.0,,,49-61,1,M. Teodosic makes free throw 1 of 2
1:55.0,,,49-61,,M. Teodosic misses free throw 2 of 2
1:53.0,Defensive rebound by G. Antetokounmpo,,49-61,,
1:53.0,,,49-61,,Personal take foul by M. Teodosic (drawn by G. Antetokounmpo)
1:53.0,G. Antetokounmpo makes free throw 1 of 2,1,50-61,,
1:53.0,,,50-61,,W. Johnson enters the game for M. Teodosic
1:53.0,G. Antetokounmpo makes free throw 2 of 2,1,51-61,,
1:38.0,,,51-61,,W. Johnson misses 2-pt shot from 18 ft
1:33.0,Defensive rebound by G. Antetokounmpo,,51-61,,
1:31.0,J. Terry misses 3-pt shot from 26 ft,,51-61,,
1:26.0,,,51-61,,Defensive rebound by A. Rivers
1:18.0,,,51-61,,Shooting foul by J. Henson (drawn by D. Jordan)
1:18.0,,,51-62,1,D. Jordan makes free throw 1 of 2
1:18.0,,,51-62,,D. Jordan misses free throw 2 of 2
1:14.0,Defensive rebound by G. Antetokounmpo,,51-62,,
1:06.0,Turnover by E. Bledsoe (traveling),,51-62,,
0:54.0,,,51-62,,W. Johnson misses 2-pt shot from 14 ft
0:50.0,Defensive rebound by E. Bledsoe,,51-62,,
0:49.0,Offensive charge foul by E. Bledsoe (drawn by L. Williams),,51-62,,
0:49.0,Turnover by E. Bledsoe (offensive foul),,51-62,,
0:42.0,,,51-62,,A. Rivers misses 2-pt shot from 3 ft (block by J. Henson)
0:39.0,Defensive rebound by K. Middleton,,51-62,,
0:36.0,J. Terry makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,54-62,,
0:31.0,,,54-62,,L. Williams misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
0:27.0,,,54-62,,Offensive rebound by D. Jordan
0:27.0,,,54-62,,D. Jordan misses 2-pt shot from 2 ft (block by K. Middleton)
0:27.0,Defensive rebound by K. Middleton,,54-62,,
0:08.0,K. Middleton makes 2-pt shot from 12 ft (assist by G. Antetokounmpo),2,56-62,,
0:01.0,,,56-62,,T. Harris misses 2-pt shot from 6 ft
0:01.0,,,56-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,56-62,,
11:45.0,,,56-62,,Defensive rebound by D. Jordan
11:29.0,,,56-62,,Shooting foul by K. Middleton (drawn by D. Jordan)
11:29.0,,,56-62,,D. Jordan misses free throw 1 of 2
11:29.0,,,56-62,,Offensive rebound by Team
11:29.0,,,56-63,1,D. Jordan makes free throw 2 of 2
11:11.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,58-63,,
11:11.0,Shooting foul by W. Johnson (drawn by G. Antetokounmpo),,58-63,,
11:11.0,G. Antetokounmpo misses free throw 1 of 1,,58-63,,
11:08.0,,,58-63,,Defensive rebound by D. Jordan
10:57.0,,,58-63,,W. Johnson misses 3-pt shot from 23 ft
10:53.0,Defensive rebound by J. Henson,,58-63,,
10:40.0,K. Middleton misses 2-pt shot from 11 ft,,58-63,,
10:35.0,,,58-63,,Defensive rebound by L. Williams
10:31.0,,,58-65,2,L. Williams makes 2-pt shot from 5 ft
10:03.0,E. Bledsoe makes 2-pt shot from 7 ft,2,60-65,,
9:58.0,,,60-65,,T. Harris misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by J. Terry,,60-65,,
9:44.0,,,60-65,,Violation by L. Williams (kicked ball)
9:39.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,62-65,,
9:25.0,,,62-65,,L. Williams misses 2-pt shot from 14 ft
9:21.0,Defensive rebound by G. Antetokounmpo,,62-65,,
9:18.0,,,62-65,,Personal block foul by W. Johnson (drawn by G. Antetokounmpo)
9:08.0,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,64-65,,
8:47.0,,,64-67,2,L. Williams makes 2-pt shot from 9 ft
8:37.0,E. Bledsoe misses 3-pt shot from 25 ft,,64-67,,
8:33.0,,,64-67,,Defensive rebound by A. Rivers
8:15.0,,,64-67,,T. Harris misses 2-pt shot from 6 ft
8:13.0,Defensive rebound by G. Antetokounmpo,,64-67,,
8:11.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,64-67,,
8:11.0,G. Antetokounmpo misses free throw 1 of 2,,64-67,,
8:11.0,Offensive rebound by Team,,64-67,,
8:11.0,G. Antetokounmpo makes free throw 2 of 2,1,65-67,,
8:02.0,,,65-70,3,T. Harris makes 3-pt shot from 23 ft (assist by D. Jordan)
7:50.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,67-70,,
7:30.0,,,67-72,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
7:14.0,J. Terry makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,69-72,,
6:51.0,,,69-72,,A. Rivers misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by J. Henson,,69-72,,
6:41.0,E. Bledsoe makes 2-pt shot from 16 ft,2,71-72,,
6:23.0,,,71-74,2,D. Jordan makes 2-pt shot from 6 ft (assist by L. Williams)
6:18.0,,,71-74,,Personal foul by D. Jordan (drawn by K. Middleton)
6:18.0,,,71-74,,LA Clippers full timeout
6:18.0,,,71-74,,S. Thornwell enters the game for A. Rivers
6:18.0,,,71-74,,T. Wallace enters the game for W. Johnson
6:18.0,J. Parker enters the game for G. Antetokounmpo,,71-74,,
6:04.0,J. Terry misses 3-pt shot from 25 ft,,71-74,,
5:59.0,,,71-74,,Defensive rebound by T. Harris
5:49.0,,,71-74,,L. Williams misses 3-pt shot from 23 ft
5:46.0,Defensive rebound by E. Bledsoe,,71-74,,
5:37.0,J. Parker misses 2-pt shot from 18 ft,,71-74,,
5:34.0,,,71-74,,Defensive rebound by T. Wallace
5:14.0,,,71-76,2,T. Wallace makes 2-pt shot from 10 ft
4:54.0,E. Bledsoe misses 3-pt shot from 24 ft,,71-76,,
4:51.0,,,71-76,,Defensive rebound by D. Jordan
4:33.0,,,71-76,,T. Wallace misses 2-pt shot from 10 ft
4:31.0,Defensive rebound by K. Middleton,,71-76,,
4:24.0,J. Parker misses 2-pt shot from 5 ft,,71-76,,
4:21.0,,,71-76,,Defensive rebound by D. Jordan
4:14.0,,,71-76,,Turnover by T. Wallace (bad pass; steal by J. Parker)
4:10.0,E. Bledsoe makes 2-pt shot at rim (assist by J. Terry),2,73-76,,
4:10.0,Shooting foul by T. Wallace (drawn by E. Bledsoe),,73-76,,
4:10.0,S. Brown enters the game for J. Terry,,73-76,,
4:10.0,E. Bledsoe misses free throw 1 of 1,,73-76,,
4:10.0,,,73-76,,Defensive rebound by D. Jordan
3:51.0,,,73-76,,T. Wallace misses 2-pt shot from 7 ft
3:49.0,Defensive rebound by E. Bledsoe,,73-76,,
3:31.0,Turnover by E. Bledsoe (bad pass; steal by L. Williams),,73-76,,
3:24.0,,,73-76,,T. Wallace misses 2-pt shot from 1 ft
3:20.0,,,73-76,,Offensive rebound by T. Wallace
3:20.0,,,73-76,,T. Wallace misses 2-pt shot at rim
3:19.0,,,73-76,,Offensive rebound by T. Wallace
3:18.0,,,73-76,,Shooting foul by S. Brown (drawn by L. Williams)
3:18.0,,,73-77,1,L. Williams makes free throw 1 of 2
3:18.0,,,73-78,1,L. Williams makes free throw 2 of 2
3:02.0,Shooting foul by S. Thornwell (drawn by K. Middleton),,73-78,,
3:02.0,K. Middleton makes free throw 1 of 2,1,74-78,,
3:02.0,B. Jennings enters the game for E. Bledsoe,,74-78,,
3:02.0,K. Middleton makes free throw 2 of 2,1,75-78,,
2:41.0,,,75-78,,L. Williams misses 2-pt shot from 3 ft (block by K. Middleton)
2:40.0,,,75-78,,Offensive rebound by S. Thornwell
2:39.0,,,75-78,,S. Thornwell misses 2-pt shot from 1 ft
2:38.0,,,75-78,,Offensive rebound by Team
2:38.0,,,75-78,,Turnover by Team (shot clock)
2:38.0,Milwaukee full timeout,,75-78,,
2:38.0,,,75-78,,M. Harrell enters the game for D. Jordan
2:38.0,,,75-78,,A. Rivers enters the game for L. Williams
2:38.0,T. Zeller enters the game for K. Middleton,,75-78,,
2:38.0,G. Antetokounmpo enters the game for J. Henson,,75-78,,
2:26.0,J. Parker misses 2-pt shot from 14 ft,,75-78,,
2:20.0,Offensive rebound by T. Zeller,,75-78,,
2:20.0,T. Zeller misses 2-pt shot at rim,,75-78,,
2:20.0,Offensive rebound by T. Zeller,,75-78,,
2:17.0,T. Zeller makes 2-pt shot from 6 ft,2,77-78,,
2:04.0,,,77-78,,M. Harrell misses 2-pt shot from 2 ft (block by J. Parker)
2:01.0,Defensive rebound by J. Parker,,77-78,,
1:56.0,T. Zeller makes 2-pt shot at rim (assist by J. Parker),2,79-78,,
1:30.0,,,79-78,,Turnover by Team (shot clock)
1:06.0,J. Parker misses 2-pt shot from 3 ft (block by T. Wallace),,79-78,,
1:06.0,Offensive rebound by Team,,79-78,,
1:06.0,Turnover by Team (shot clock),,79-78,,
0:54.0,,,79-78,,Turnover by A. Rivers (bad pass; steal by T. Zeller)
0:50.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Zeller),2,81-78,,
0:24.0,,,81-78,,A. Rivers misses 3-pt shot from 22 ft
0:22.0,Defensive rebound by T. Zeller,,81-78,,
0:03.0,Shooting foul by A. Rivers (drawn by G. Antetokounmpo),,81-78,,
0:03.0,G. Antetokounmpo misses free throw 1 of 2,,81-78,,
0:03.0,Offensive rebound by Team,,81-78,,
0:03.0,,,81-78,,L. Williams enters the game for S. Thornwell
0:03.0,G. Antetokounmpo makes free throw 2 of 2,1,82-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,82-80,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by M. Harrell)
11:20.0,J. Parker misses 3-pt shot from 24 ft,,82-80,,
11:18.0,,,82-80,,Defensive rebound by L. Williams
11:14.0,,,82-80,,Turnover by L. Williams (bad pass)
11:05.0,Turnover by G. Antetokounmpo (bad pass),,82-80,,
10:56.0,,,82-80,,L. Williams misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
10:54.0,Defensive rebound by T. Zeller,,82-80,,
10:44.0,S. Brown misses 3-pt shot from 23 ft,,82-80,,
10:42.0,,,82-80,,Defensive rebound by M. Harrell
10:36.0,,,82-80,,Shooting foul by T. Zeller (drawn by B. Marjanovic)
10:36.0,,,82-80,,B. Marjanovic misses free throw 1 of 2
10:36.0,,,82-80,,Offensive rebound by Team
10:36.0,,,82-81,1,B. Marjanovic makes free throw 2 of 2
10:25.0,,,82-81,,Personal foul by J. Evans (drawn by B. Jennings)
10:09.0,J. Parker misses 2-pt shot from 7 ft,,82-81,,
10:09.0,Offensive rebound by Team,,82-81,,
10:09.0,,,82-81,,Loose ball foul by M. Harrell (drawn by T. Zeller)
10:09.0,K. Middleton enters the game for S. Brown,,82-81,,
10:06.0,,,82-81,,Personal foul by L. Williams (drawn by K. Middleton)
10:06.0,,,82-81,,A. Rivers enters the game for J. Evans
10:06.0,J. Terry enters the game for B. Jennings,,82-81,,
10:04.0,,,82-81,,Personal foul by T. Wallace (drawn by J. Terry)
9:47.0,T. Zeller misses 2-pt shot from 15 ft,,82-81,,
9:45.0,,,82-81,,Defensive rebound by Team
9:25.0,,,82-81,,Turnover by T. Wallace (bad pass; steal by J. Terry)
9:12.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by K. Middleton),2,84-81,,
8:54.0,,,84-83,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by L. Williams)
8:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,86-83,,
8:25.0,,,86-83,,T. Wallace misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by G. Antetokounmpo,,86-83,,
8:19.0,J. Parker misses 2-pt shot from 2 ft,,86-83,,
8:17.0,Offensive rebound by T. Zeller,,86-83,,
8:17.0,Shooting foul by A. Rivers (drawn by T. Zeller),,86-83,,
8:17.0,T. Zeller makes free throw 1 of 2,1,87-83,,
8:17.0,,,87-83,,T. Harris enters the game for T. Wallace
8:17.0,T. Zeller makes free throw 2 of 2,1,88-83,,
7:56.0,,,88-83,,Turnover by L. Williams (bad pass; steal by T. Zeller)
7:53.0,Turnover by J. Parker (out of bounds lost ball),,88-83,,
7:53.0,,,88-83,,LA Clippers full timeout
7:53.0,,,88-83,,W. Johnson enters the game for B. Marjanovic
7:33.0,,,88-83,,L. Williams misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by K. Middleton,,88-83,,
7:27.0,Turnover by G. Antetokounmpo (bad pass),,88-83,,
7:13.0,,,88-85,2,A. Rivers makes 2-pt shot from 5 ft
7:13.0,,,88-85,,Shooting foul by K. Middleton (drawn by A. Rivers)
7:13.0,,,88-85,,D. Jordan enters the game for M. Harrell
7:13.0,E. Bledsoe enters the game for J. Parker,,88-85,,
7:13.0,,,88-85,,A. Rivers misses free throw 1 of 1
7:13.0,Defensive rebound by G. Antetokounmpo,,88-85,,
6:53.0,K. Middleton misses 2-pt shot from 8 ft,,88-85,,
6:48.0,,,88-85,,Defensive rebound by D. Jordan
6:41.0,J. Henson enters the game for T. Zeller,,88-85,,
6:35.0,,,88-85,,W. Johnson misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by E. Bledsoe,,88-85,,
6:23.0,J. Henson misses 2-pt shot from 17 ft,,88-85,,
6:18.0,,,88-85,,Defensive rebound by D. Jordan
6:05.0,,,88-88,3,A. Rivers makes 3-pt shot from 25 ft
