time,New York,pts.away,score,pts.home,Miami
11:11.0,,,25-26,,Turnover by W. Ellington (lost ball; steal by R. Baker)
11:09.0,Turnover by M. Beasley (out of bounds lost ball),,25-26,,
10:58.0,,,25-26,,Turnover by J. Johnson (lost ball; steal by M. Beasley)
10:48.0,M. Beasley makes 2-pt shot from 3 ft,2,27-26,,
10:48.0,Shooting foul by D. Jones (drawn by M. Beasley),,27-26,,
10:48.0,M. Beasley makes free throw 1 of 1,1,28-26,,
10:32.0,,,28-26,,J. Johnson misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by D. McDermott,,28-26,,
10:25.0,F. Ntilikina misses 2-pt shot from 1 ft,,28-26,,
10:25.0,Offensive rebound by M. Beasley,,28-26,,
10:18.0,M. Beasley makes 2-pt shot at rim,2,30-26,,
10:09.0,,,30-26,,Turnover by B. Adebayo (lost ball; steal by R. Baker)
10:01.0,Turnover by M. Beasley (traveling),,30-26,,
9:48.0,,,30-26,,J. Richardson misses 2-pt shot from 15 ft
9:43.0,Defensive rebound by M. Beasley,,30-26,,
9:31.0,M. Beasley misses 2-pt shot from 12 ft,,30-26,,
9:27.0,,,30-26,,Defensive rebound by D. Jones
9:16.0,,,30-28,2,W. Ellington makes 2-pt shot from 17 ft (assist by B. Adebayo)
9:00.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by F. Ntilikina),2,32-28,,
8:45.0,,,32-28,,Shooting foul by K. O'Quinn (drawn by B. Adebayo)
8:45.0,,,32-29,1,B. Adebayo makes free throw 1 of 2
8:45.0,,,32-30,1,B. Adebayo makes free throw 2 of 2
8:26.0,F. Ntilikina misses 3-pt shot from 25 ft,,32-30,,
8:26.0,,,32-30,,Defensive rebound by B. Adebayo
8:13.0,,,32-30,,D. Jones misses 2-pt shot from 3 ft
8:05.0,,,32-30,,Offensive rebound by D. Jones
8:05.0,,,32-32,2,D. Jones makes 2-pt shot at rim
7:55.0,F. Ntilikina misses 2-pt shot from 4 ft,,32-32,,
7:49.0,Offensive rebound by R. Baker,,32-32,,
7:38.0,D. McDermott misses 2-pt shot from 1 ft,,32-32,,
7:36.0,,,32-32,,Defensive rebound by B. Adebayo
7:28.0,Personal foul by F. Ntilikina (drawn by J. Richardson),,32-32,,
7:28.0,J. Jack enters the game for R. Baker,,32-32,,
7:14.0,,,32-35,3,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo)
6:53.0,M. Beasley makes 2-pt shot from 9 ft,2,34-35,,
6:39.0,,,34-37,2,J. Richardson makes 2-pt shot from 1 ft (assist by J. Johnson)
6:20.0,J. Jack misses 2-pt shot from 19 ft,,34-37,,
6:19.0,,,34-37,,Defensive rebound by Team
6:19.0,Loose ball foul by K. O'Quinn (drawn by B. Adebayo),,34-37,,
6:19.0,,,34-37,,Miami full timeout
6:19.0,,,34-37,,G. Dragic enters the game for J. Richardson
6:19.0,,,34-37,,T. Johnson enters the game for D. Jones
6:19.0,,,34-37,,H. Whiteside enters the game for B. Adebayo
6:19.0,E. Kanter enters the game for M. Beasley,,34-37,,
6:19.0,K. Porzingis enters the game for K. O'Quinn,,34-37,,
6:19.0,C. Lee enters the game for F. Ntilikina,,34-37,,
6:19.0,L. Thomas enters the game for D. McDermott,,34-37,,
6:10.0,Personal foul by C. Lee (drawn by W. Ellington),,34-37,,
5:57.0,,,34-37,,G. Dragic misses 2-pt shot from 1 ft
5:56.0,,,34-37,,Offensive rebound by H. Whiteside
5:55.0,,,34-37,,H. Whiteside misses 2-pt shot from 1 ft (block by K. Porzingis)
5:54.0,Defensive rebound by K. Porzingis,,34-37,,
5:44.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,36-37,,
5:26.0,,,36-37,,J. Johnson misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by L. Thomas,,36-37,,
5:07.0,L. Thomas misses 2-pt shot from 18 ft,,36-37,,
5:05.0,,,36-37,,Defensive rebound by G. Dragic
5:05.0,Personal foul by L. Thomas (drawn by T. Johnson),,36-37,,
5:05.0,,,36-38,1,T. Johnson makes free throw 1 of 2
5:05.0,,,36-38,,K. Olynyk enters the game for J. Johnson
5:05.0,,,36-38,,T. Johnson misses free throw 2 of 2
5:02.0,Defensive rebound by E. Kanter,,36-38,,
4:44.0,C. Lee makes 2-pt shot from 1 ft,2,38-38,,
4:27.0,,,38-38,,Shooting foul by K. Porzingis (drawn by T. Johnson)
4:27.0,Technical foul by K. Porzingis,,38-38,,
4:27.0,,,38-39,1,T. Johnson makes technical free throw
4:27.0,,,38-40,1,T. Johnson makes free throw 1 of 2
4:27.0,,,38-41,1,T. Johnson makes free throw 2 of 2
4:04.0,Turnover by K. Porzingis (lost ball; steal by K. Olynyk),,38-41,,
3:51.0,,,38-41,,Turnover by H. Whiteside (lost ball; steal by C. Lee)
3:37.0,Turnover by J. Jack (lost ball; steal by T. Johnson),,38-41,,
3:36.0,,,38-41,,J. Richardson enters the game for W. Ellington
3:26.0,,,38-41,,T. Johnson misses 2-pt shot from 4 ft
3:25.0,,,38-41,,Offensive rebound by H. Whiteside
3:23.0,,,38-41,,H. Whiteside misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by E. Kanter,,38-41,,
3:14.0,Turnover by C. Lee (lost ball; steal by J. Richardson),,38-41,,
3:09.0,,,38-41,,K. Olynyk misses 2-pt shot from 2 ft (block by K. Porzingis)
3:09.0,Defensive rebound by Team,,38-41,,
2:57.0,Turnover by C. Lee (bad pass; steal by T. Johnson),,38-41,,
2:54.0,,,38-41,,T. Johnson misses 2-pt shot from 2 ft (block by L. Thomas)
2:54.0,Defensive rebound by Team,,38-41,,
2:54.0,New York full timeout,,38-41,,
2:38.0,K. Porzingis makes 2-pt shot from 11 ft (assist by C. Lee),2,40-41,,
2:21.0,,,40-44,3,T. Johnson makes 3-pt shot from 26 ft (assist by G. Dragic)
2:04.0,Shooting foul by K. Olynyk (drawn by L. Thomas),,40-44,,
2:04.0,L. Thomas misses free throw 1 of 2,,40-44,,
2:04.0,Offensive rebound by Team,,40-44,,
2:04.0,,,40-44,,J. Johnson enters the game for K. Olynyk
2:04.0,L. Thomas makes free throw 2 of 2,1,41-44,,
1:47.0,,,41-47,3,G. Dragic makes 3-pt shot from 26 ft (assist by T. Johnson)
1:26.0,,,41-47,,Personal foul by T. Johnson (drawn by L. Thomas)
1:10.0,J. Jack misses 3-pt shot from 26 ft,,41-47,,
1:07.0,,,41-47,,Defensive rebound by H. Whiteside
1:01.0,,,41-49,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
0:49.0,J. Jack makes 2-pt shot from 14 ft,2,43-49,,
0:33.0,,,43-49,,G. Dragic misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by L. Thomas,,43-49,,
0:07.0,K. Porzingis misses 2-pt shot from 4 ft,,43-49,,
0:03.0,,,43-49,,Defensive rebound by J. Johnson
0:02.0,,,43-51,2,G. Dragic makes 2-pt shot from 2 ft
0:01.0,,,43-51,,Personal foul by J. Richardson (drawn by E. Kanter)
0:01.0,E. Kanter makes free throw 1 of 2,1,44-51,,
0:01.0,,,44-51,,W. Ellington enters the game for T. Johnson
0:01.0,E. Kanter makes free throw 2 of 2,1,45-51,,
0:00.0,,,45-51,,G. Dragic misses 3-pt shot from 64 ft
0:00.0,,,45-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,45-51,,K. Olynyk misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by E. Kanter,,45-51,,
11:28.0,Offensive foul by E. Kanter (drawn by K. Olynyk),,45-51,,
11:28.0,Turnover by E. Kanter (offensive foul),,45-51,,
11:13.0,,,45-53,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson)
11:01.0,Offensive charge foul by L. Thomas (drawn by K. Olynyk),,45-53,,
11:01.0,Turnover by L. Thomas (offensive foul),,45-53,,
10:49.0,,,45-55,2,J. Richardson makes 2-pt shot from 21 ft
10:36.0,K. Porzingis misses 3-pt shot from 24 ft,,45-55,,
10:34.0,,,45-55,,Defensive rebound by T. Johnson
10:23.0,,,45-55,,H. Whiteside misses 2-pt shot from 5 ft
10:19.0,,,45-55,,Offensive rebound by K. Olynyk
10:15.0,,,45-55,,T. Johnson misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by E. Kanter,,45-55,,
10:04.0,J. Jack misses 2-pt shot from 4 ft,,45-55,,
10:01.0,Offensive rebound by E. Kanter,,45-55,,
10:00.0,E. Kanter makes 2-pt shot from 1 ft,2,47-55,,
9:46.0,,,47-55,,Turnover by H. Whiteside (bad pass; steal by C. Lee)
9:41.0,C. Lee makes 2-pt shot from 1 ft,2,49-55,,
9:26.0,,,49-55,,H. Whiteside misses 2-pt shot from 4 ft
9:22.0,,,49-55,,Offensive rebound by K. Olynyk
9:20.0,,,49-55,,T. Johnson misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by K. Porzingis,,49-55,,
9:14.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack),3,52-55,,
8:48.0,,,52-57,2,H. Whiteside makes 2-pt shot from 7 ft
8:29.0,Shooting foul by H. Whiteside (drawn by K. Porzingis),,52-57,,
8:29.0,K. Porzingis makes free throw 1 of 2,1,53-57,,
8:29.0,K. Porzingis makes free throw 2 of 2,1,54-57,,
8:13.0,,,54-57,,K. Olynyk misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by E. Kanter,,54-57,,
8:04.0,J. Jack makes 2-pt shot from 16 ft,2,56-57,,
7:48.0,,,56-59,2,H. Whiteside makes 2-pt shot from 18 ft (assist by G. Dragic)
7:34.0,J. Jack makes 2-pt shot from 9 ft,2,58-59,,
7:26.0,Personal foul by K. Porzingis (drawn by K. Olynyk),,58-59,,
7:16.0,,,58-59,,J. Richardson misses 3-pt shot from 23 ft
7:16.0,,,58-59,,Offensive rebound by Team
7:06.0,,,58-61,2,J. Richardson makes 2-pt shot from 6 ft
7:06.0,,,58-61,,Shooting foul by J. Jack (drawn by J. Richardson)
7:06.0,,,58-62,1,J. Richardson makes free throw 1 of 1
6:56.0,Shooting foul by H. Whiteside (drawn by C. Lee),,58-62,,
6:56.0,,,58-62,,Miami full timeout
6:56.0,C. Lee makes free throw 1 of 2,1,59-62,,
6:56.0,C. Lee makes free throw 2 of 2,1,60-62,,
6:36.0,,,60-64,2,G. Dragic makes 2-pt shot from 9 ft
6:25.0,Turnover by L. Thomas (out of bounds lost ball),,60-64,,
6:06.0,,,60-64,,Offensive foul by H. Whiteside (drawn by L. Thomas)
6:06.0,,,60-64,,Turnover by H. Whiteside (offensive foul)
5:56.0,Turnover by E. Kanter (step out of bounds),,60-64,,
5:42.0,,,60-66,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson)
5:28.0,,,60-66,,W. Ellington enters the game for J. Richardson
5:20.0,Shooting foul by W. Ellington (drawn by C. Lee),,60-66,,
5:20.0,C. Lee makes free throw 1 of 2,1,61-66,,
5:20.0,C. Lee makes free throw 2 of 2,1,62-66,,
5:10.0,,,62-66,,G. Dragic misses 2-pt shot from 1 ft (block by E. Kanter)
5:06.0,Defensive rebound by C. Lee,,62-66,,
5:03.0,Turnover by J. Jack (lost ball; steal by W. Ellington),,62-66,,
4:56.0,,,62-66,,W. Ellington misses 3-pt shot from 25 ft
4:52.0,,,62-66,,Offensive rebound by H. Whiteside
4:49.0,,,62-66,,G. Dragic misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by K. Porzingis,,62-66,,
4:30.0,E. Kanter makes 2-pt shot from 1 ft,2,64-66,,
4:13.0,,,64-68,2,H. Whiteside makes 2-pt shot from 20 ft (assist by T. Johnson)
4:01.0,,,64-68,,Personal foul by K. Olynyk (drawn by K. Porzingis)
4:01.0,,,64-68,,B. Adebayo enters the game for K. Olynyk
4:01.0,,,64-68,,J. Johnson enters the game for H. Whiteside
4:01.0,D. McDermott enters the game for L. Thomas,,64-68,,
4:01.0,F. Ntilikina enters the game for J. Jack,,64-68,,
3:55.0,K. Porzingis misses 3-pt shot from 29 ft,,64-68,,
3:51.0,,,64-68,,Defensive rebound by J. Johnson
3:45.0,,,64-71,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
3:32.0,Turnover by C. Lee (bad pass),,64-71,,
3:14.0,,,64-71,,Turnover by G. Dragic (bad pass; steal by E. Kanter)
3:06.0,C. Lee makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,67-71,,
2:57.0,Personal foul by K. Porzingis (drawn by G. Dragic),,67-71,,
2:57.0,New York full timeout,,67-71,,
2:57.0,M. Beasley enters the game for K. Porzingis,,67-71,,
2:46.0,,,67-71,,W. Ellington misses 3-pt shot from 24 ft
2:42.0,,,67-71,,Offensive rebound by B. Adebayo
2:38.0,Personal foul by F. Ntilikina (drawn by B. Adebayo),,67-71,,
2:38.0,K. O'Quinn enters the game for E. Kanter,,67-71,,
2:22.0,,,67-73,2,T. Johnson makes 2-pt shot from 7 ft
2:07.0,K. O'Quinn misses 2-pt shot from 1 ft (block by J. Johnson),,67-73,,
2:07.0,Offensive rebound by Team,,67-73,,
2:02.0,Offensive foul by K. O'Quinn (drawn by T. Johnson),,67-73,,
2:02.0,Turnover by K. O'Quinn (offensive foul),,67-73,,
1:46.0,,,67-73,,T. Johnson misses 2-pt shot from 2 ft (block by F. Ntilikina)
1:41.0,Defensive rebound by K. O'Quinn,,67-73,,
1:30.0,K. O'Quinn misses 2-pt shot from 7 ft,,67-73,,
1:27.0,Offensive rebound by M. Beasley,,67-73,,
1:26.0,K. O'Quinn makes 2-pt shot from 15 ft,2,69-73,,
1:10.0,,,69-73,,Turnover by G. Dragic (bad pass; steal by M. Beasley)
1:06.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Beasley),2,71-73,,
0:48.0,,,71-73,,W. Ellington misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by K. O'Quinn,,71-73,,
0:27.0,M. Beasley misses 2-pt shot from 2 ft,,71-73,,
0:24.0,,,71-73,,Defensive rebound by B. Adebayo
0:14.0,,,71-73,,Shooting foul by M. Beasley (drawn by J. Johnson)
0:14.0,,,71-74,1,J. Johnson makes free throw 1 of 2
0:14.0,,,71-74,,J. Richardson enters the game for G. Dragic
0:14.0,,,71-75,1,J. Johnson makes free throw 2 of 2
0:02.0,C. Lee misses 2-pt shot from 7 ft,,71-75,,
0:01.0,Offensive rebound by Team,,71-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,New York full timeout,,71-75,,
11:42.0,Shooting foul by T. Johnson (drawn by F. Ntilikina),,71-75,,
11:42.0,F. Ntilikina misses free throw 1 of 2,,71-75,,
11:42.0,Offensive rebound by Team,,71-75,,
11:42.0,F. Ntilikina makes free throw 2 of 2,1,72-75,,
11:29.0,,,72-75,,W. Ellington misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by K. O'Quinn,,72-75,,
11:09.0,D. McDermott makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,75-75,,
11:09.0,Shooting foul by W. Ellington (drawn by D. McDermott),,75-75,,
11:09.0,D. McDermott makes free throw 1 of 1,1,76-75,,
10:52.0,Personal foul by F. Ntilikina (drawn by T. Johnson),,76-75,,
10:43.0,,,76-75,,T. Johnson misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by D. McDermott,,76-75,,
10:25.0,K. O'Quinn misses 2-pt shot from 1 ft,,76-75,,
10:21.0,,,76-75,,Defensive rebound by B. Adebayo
10:14.0,,,76-75,,W. Ellington misses 3-pt shot from 23 ft
10:11.0,Defensive rebound by M. Beasley,,76-75,,
9:58.0,K. O'Quinn makes 2-pt shot from 8 ft (assist by M. Beasley),2,78-75,,
9:45.0,,,78-75,,K. Olynyk enters the game for B. Adebayo
9:40.0,,,78-75,,T. Johnson misses 2-pt shot from 19 ft
9:38.0,,,78-75,,Offensive rebound by K. Olynyk
9:37.0,,,78-75,,Turnover by K. Olynyk (out of bounds lost ball)
9:18.0,M. Beasley makes 2-pt shot from 2 ft,2,80-75,,
9:17.0,,,80-75,,Miami full timeout
8:58.0,,,80-75,,J. Johnson misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by M. Beasley,,80-75,,
8:40.0,Turnover by D. McDermott (bad pass),,80-75,,
8:40.0,,,80-75,,G. Dragic enters the game for T. Johnson
8:28.0,,,80-75,,J. Richardson misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by M. Beasley,,80-75,,
8:11.0,K. O'Quinn misses 2-pt shot from 2 ft,,80-75,,
8:10.0,,,80-75,,Defensive rebound by K. Olynyk
7:52.0,,,80-75,,K. Olynyk misses 2-pt shot from 3 ft
7:52.0,,,80-75,,Offensive rebound by Team
7:49.0,,,80-78,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
7:15.0,M. Beasley makes 3-pt shot from 27 ft,3,83-78,,
6:54.0,,,83-78,,G. Dragic misses 2-pt shot from 5 ft
6:50.0,,,83-78,,Offensive rebound by J. Johnson
6:50.0,,,83-78,,G. Dragic misses 3-pt shot from 23 ft
6:50.0,,,83-78,,Offensive rebound by Team
6:50.0,Loose ball foul by F. Ntilikina (drawn by K. Olynyk),,83-78,,
6:44.0,,,83-80,2,K. Olynyk makes 2-pt shot from 18 ft (assist by G. Dragic)
6:28.0,Shooting foul by J. Richardson (drawn by F. Ntilikina),,83-80,,
6:28.0,F. Ntilikina makes free throw 1 of 2,1,84-80,,
6:28.0,K. Porzingis enters the game for K. O'Quinn,,84-80,,
6:28.0,F. Ntilikina misses free throw 2 of 2,,84-80,,
6:23.0,Offensive rebound by M. Beasley,,84-80,,
6:23.0,M. Beasley makes 2-pt shot at rim,2,86-80,,
6:07.0,,,86-82,2,J. Richardson makes 2-pt shot from 17 ft
5:39.0,D. McDermott misses 3-pt shot from 24 ft,,86-82,,
5:36.0,,,86-82,,Defensive rebound by G. Dragic
5:31.0,,,86-84,2,W. Ellington makes 2-pt shot from 1 ft (assist by K. Olynyk)
5:30.0,New York full timeout,,86-84,,
5:30.0,C. Lee enters the game for D. McDermott,,86-84,,
5:30.0,J. Jack enters the game for R. Baker,,86-84,,
5:15.0,Turnover by F. Ntilikina (bad pass; steal by J. Richardson),,86-84,,
4:56.0,,,86-84,,J. Richardson misses 2-pt shot from 2 ft
4:52.0,,,86-84,,Offensive rebound by W. Ellington
4:50.0,,,86-84,,J. Johnson misses 3-pt shot from 34 ft
4:42.0,Defensive rebound by K. Porzingis,,86-84,,
4:27.0,K. Porzingis misses 2-pt shot from 17 ft,,86-84,,
4:23.0,,,86-84,,Defensive rebound by J. Johnson
4:08.0,,,86-86,2,W. Ellington makes 2-pt shot from 19 ft (assist by G. Dragic)
3:54.0,,,86-86,,Personal foul by J. Johnson (drawn by M. Beasley)
3:48.0,K. Porzingis makes 2-pt shot from 12 ft (assist by F. Ntilikina),2,88-86,,
3:48.0,,,88-86,,Miami full timeout
3:34.0,,,88-86,,K. Olynyk misses 3-pt shot from 24 ft
3:31.0,,,88-86,,Offensive rebound by W. Ellington
3:27.0,,,88-88,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Johnson)
3:12.0,K. Porzingis makes 2-pt shot from 16 ft (assist by J. Jack),2,90-88,,
2:51.0,,,90-88,,J. Johnson misses 2-pt shot from 4 ft
2:49.0,,,90-88,,Offensive rebound by J. Richardson
2:48.0,,,90-88,,G. Dragic misses 3-pt shot from 25 ft
2:48.0,,,90-88,,Offensive rebound by K. Olynyk
2:48.0,Personal foul by F. Ntilikina (drawn by K. Olynyk),,90-88,,
2:41.0,,,90-91,3,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk)
2:20.0,K. Porzingis misses 2-pt shot from 11 ft,,90-91,,
2:13.0,,,90-91,,Defensive rebound by K. Olynyk
2:03.0,,,90-91,,W. Ellington misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by M. Beasley,,90-91,,
1:42.0,K. Porzingis misses 2-pt shot from 15 ft,,90-91,,
1:37.0,,,90-91,,Defensive rebound by G. Dragic
1:24.0,,,90-91,,Shooting foul by C. Lee (drawn by J. Richardson)
1:24.0,,,90-92,1,J. Richardson makes free throw 1 of 2
1:24.0,,,90-93,1,J. Richardson makes free throw 2 of 2
1:04.0,M. Beasley makes 2-pt shot from 2 ft (assist by J. Jack),2,92-93,,
0:48.0,,,92-93,,J. Johnson misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by J. Jack,,92-93,,
0:43.0,,,92-93,,Personal foul by G. Dragic (drawn by M. Beasley)
0:43.0,M. Beasley makes free throw 1 of 2,1,93-93,,
0:43.0,L. Thomas enters the game for F. Ntilikina,,93-93,,
0:43.0,M. Beasley makes free throw 2 of 2,1,94-93,,
0:43.0,,,94-93,,Miami full timeout
0:32.0,,,94-93,,Shooting foul by K. Porzingis (drawn by K. Olynyk)
