time,Denver,pts.away,score,pts.home,New Orleans
9:42.0,Defensive rebound by W. Chandler,,68-74,,
9:39.0,,,68-74,,Personal foul by E. Moore (drawn by W. Barton)
9:35.0,G. Harris misses 2-pt shot from 16 ft,,68-74,,
9:32.0,,,68-74,,Defensive rebound by E. Moore
9:27.0,,,68-74,,E. Moore misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by M. Plumlee,,68-74,,
9:18.0,,,68-74,,Personal foul by E. Moore (drawn by M. Plumlee)
9:06.0,W. Barton makes 2-pt shot from 2 ft (assist by G. Harris),2,70-74,,
8:52.0,,,70-74,,Shooting foul by M. Plumlee (drawn by D. Cousins)
8:52.0,,,70-75,1,D. Cousins makes free throw 1 of 2
8:52.0,,,70-75,,D. Cousins misses free throw 2 of 2
8:50.0,Defensive rebound by W. Barton,,70-75,,
8:39.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,72-75,,
8:28.0,,,72-75,,Turnover by J. Holiday (bad pass; steal by G. Harris)
8:27.0,,,72-75,,Technical foul by T. Allen
8:27.0,J. Murray makes technical free throw,1,73-75,,
8:06.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),3,76-75,,
7:48.0,,,76-77,2,R. Rondo makes 2-pt shot from 1 ft
7:37.0,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray),3,79-77,,
7:18.0,,,79-77,,R. Rondo misses 2-pt shot from 2 ft
7:18.0,,,79-77,,Offensive rebound by D. Cousins
7:18.0,,,79-77,,Shooting foul by W. Barton (drawn by D. Cousins)
7:18.0,Technical foul by W. Barton,,79-77,,
7:18.0,,,79-77,,J. Holiday misses technical free throw
7:18.0,,,79-77,,Offensive rebound by Team
7:18.0,,,79-78,1,D. Cousins makes free throw 1 of 2
7:18.0,,,79-79,1,D. Cousins makes free throw 2 of 2
7:07.0,,,79-79,,Def 3 sec tech foul by D. Cunningham
7:07.0,J. Murray makes technical free throw,1,80-79,,
6:57.0,W. Chandler misses 2-pt shot from 6 ft,,80-79,,
6:55.0,,,80-79,,Defensive rebound by D. Cousins
6:42.0,,,80-79,,D. Cousins misses 2-pt shot from 2 ft
6:37.0,,,80-79,,Offensive rebound by D. Cousins
6:37.0,,,80-81,2,D. Cousins makes 2-pt shot at rim
6:29.0,W. Chandler misses 3-pt shot from 27 ft,,80-81,,
6:26.0,,,80-81,,Defensive rebound by R. Rondo
6:18.0,,,80-81,,E. Moore misses 3-pt shot from 23 ft
6:14.0,,,80-81,,Offensive rebound by R. Rondo
6:12.0,,,80-84,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
5:55.0,J. Murray makes 2-pt shot from 6 ft,2,82-84,,
5:45.0,,,82-84,,Turnover by D. Cousins (bad pass; steal by J. Murray)
5:45.0,,,82-84,,Personal foul by D. Cousins (drawn by J. Murray)
5:45.0,,,82-84,,D. Miller enters the game for E. Moore
5:45.0,T. Lyles enters the game for W. Chandler,,82-84,,
5:27.0,Shooting foul by J. Holiday (drawn by G. Harris),,82-84,,
5:27.0,G. Harris misses free throw 1 of 2,,82-84,,
5:27.0,Offensive rebound by Team,,82-84,,
5:27.0,G. Harris makes free throw 2 of 2,1,83-84,,
5:13.0,,,83-87,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
4:47.0,G. Harris misses 3-pt shot from 27 ft,,83-87,,
4:45.0,,,83-87,,Defensive rebound by Team
4:45.0,,,83-87,,O. Asik enters the game for D. Cousins
4:45.0,,,83-87,,J. Nelson enters the game for R. Rondo
4:28.0,,,83-87,,J. Holiday misses 3-pt shot from 24 ft
4:24.0,,,83-87,,Offensive rebound by J. Nelson
4:12.0,,,83-87,,J. Holiday misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by M. Plumlee,,83-87,,
4:02.0,Offensive charge foul by M. Plumlee (drawn by O. Asik),,83-87,,
4:02.0,Turnover by M. Plumlee (offensive foul),,83-87,,
4:02.0,E. Mudiay enters the game for M. Plumlee,,83-87,,
4:02.0,K. Faried enters the game for J. Murray,,83-87,,
3:50.0,,,83-87,,Shooting foul by E. Mudiay (drawn by D. Miller)
3:50.0,,,83-87,,D. Miller misses free throw 1 of 3
3:50.0,,,83-87,,Offensive rebound by Team
3:50.0,,,83-88,1,D. Miller makes free throw 2 of 3
3:50.0,,,83-88,,D. Miller misses free throw 3 of 3
3:47.0,Defensive rebound by T. Lyles,,83-88,,
3:37.0,T. Lyles makes 3-pt shot from 27 ft (assist by G. Harris),3,86-88,,
3:20.0,,,86-88,,J. Nelson misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by T. Lyles,,86-88,,
3:10.0,,,86-88,,Personal foul by J. Nelson (drawn by T. Lyles)
3:10.0,T. Lyles makes free throw 1 of 2,1,87-88,,
3:10.0,T. Lyles misses free throw 2 of 2,,87-88,,
3:08.0,,,87-88,,Defensive rebound by D. Cunningham
2:54.0,,,87-88,,O. Asik misses 2-pt shot from 2 ft
2:52.0,Defensive rebound by K. Faried,,87-88,,
2:50.0,W. Barton misses 2-pt shot from 3 ft (block by D. Cunningham),,87-88,,
2:50.0,Offensive rebound by Team,,87-88,,
2:50.0,,,87-88,,New Orleans full timeout
2:47.0,T. Lyles misses 3-pt shot from 22 ft,,87-88,,
2:44.0,,,87-88,,Defensive rebound by J. Holiday
2:31.0,,,87-90,2,J. Holiday makes 2-pt shot from 2 ft
2:09.0,G. Harris misses 2-pt shot from 8 ft,,87-90,,
2:07.0,,,87-90,,Defensive rebound by J. Nelson
2:00.0,,,87-90,,Turnover by J. Holiday (lost ball; steal by E. Mudiay)
1:55.0,Turnover by E. Mudiay (lost ball; steal by D. Miller),,87-90,,
1:50.0,,,87-90,,D. Cunningham misses 3-pt shot from 22 ft
1:47.0,,,87-90,,Offensive rebound by O. Asik
1:45.0,,,87-90,,D. Miller misses 3-pt shot from 25 ft
1:45.0,,,87-90,,Offensive rebound by D. Cunningham
1:34.0,,,87-92,2,D. Cunningham makes 2-pt shot from 3 ft (assist by J. Nelson)
1:18.0,G. Harris misses 3-pt shot from 25 ft,,87-92,,
1:15.0,,,87-92,,Defensive rebound by O. Asik
0:55.0,,,87-94,2,J. Holiday makes 2-pt shot from 3 ft
0:42.0,E. Mudiay makes 2-pt shot from 18 ft,2,89-94,,
0:34.0,,,89-97,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday)
0:16.0,,,89-97,,Personal foul by J. Nelson (drawn by E. Mudiay)
0:16.0,E. Mudiay makes free throw 1 of 2,1,90-97,,
0:16.0,,,90-97,,D. Cousins enters the game for O. Asik
0:16.0,,,90-97,,E. Moore enters the game for D. Cunningham
0:16.0,M. Beasley enters the game for W. Barton,,90-97,,
0:16.0,W. Chandler enters the game for G. Harris,,90-97,,
0:16.0,E. Mudiay makes free throw 2 of 2,1,91-97,,
0:00.0,,,91-97,,J. Holiday misses 2-pt shot from 4 ft
0:00.0,,,91-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,91-97,,D. Cousins misses 2-pt shot at rim (block by K. Faried)
11:34.0,,,91-97,,Offensive rebound by D. Cousins
11:34.0,,,91-97,,Turnover by Team (shot clock)
11:25.0,M. Beasley makes 3-pt shot from 27 ft,3,94-97,,
10:57.0,,,94-99,2,T. Allen makes 2-pt shot from 1 ft (assist by E. Moore)
10:35.0,W. Chandler misses 3-pt shot from 25 ft,,94-99,,
10:33.0,Offensive rebound by K. Faried,,94-99,,
10:33.0,,,94-99,,Loose ball foul by D. Miller (drawn by K. Faried)
10:25.0,E. Mudiay misses 2-pt shot from 15 ft,,94-99,,
10:20.0,,,94-99,,Defensive rebound by D. Cousins
10:17.0,,,94-99,,Shooting foul by K. Faried (drawn by D. Cousins)
10:17.0,,,94-100,1,D. Cousins makes free throw 1 of 2
10:17.0,,,94-101,1,D. Cousins makes free throw 2 of 2
9:56.0,W. Chandler misses 3-pt shot from 25 ft,,94-101,,
9:51.0,Offensive rebound by T. Lyles,,94-101,,
9:49.0,T. Lyles misses 2-pt shot from 3 ft,,94-101,,
9:42.0,Offensive rebound by T. Lyles,,94-101,,
9:42.0,T. Lyles makes 2-pt shot at rim,2,96-101,,
9:38.0,,,96-103,2,D. Cousins makes 2-pt shot from 1 ft
9:38.0,,,96-103,,Shooting foul by K. Faried (drawn by D. Cousins)
9:38.0,,,96-103,,D. Cousins misses free throw 1 of 1
9:35.0,Defensive rebound by T. Lyles,,96-103,,
9:23.0,E. Mudiay misses 2-pt shot from 1 ft,,96-103,,
9:22.0,Offensive rebound by Team,,96-103,,
9:22.0,,,96-103,,Loose ball foul by D. Cousins (drawn by T. Lyles)
9:13.0,E. Mudiay misses 3-pt shot from 25 ft,,96-103,,
9:10.0,,,96-103,,Defensive rebound by D. Cousins
9:03.0,,,96-106,3,D. Miller makes 3-pt shot from 26 ft (assist by D. Cousins)
9:02.0,Denver full timeout,,96-106,,
9:02.0,G. Harris enters the game for W. Chandler,,96-106,,
9:02.0,M. Plumlee enters the game for M. Beasley,,96-106,,
9:02.0,W. Barton enters the game for K. Faried,,96-106,,
8:48.0,T. Lyles misses 2-pt shot from 1 ft,,96-106,,
8:45.0,,,96-106,,Defensive rebound by D. Cousins
8:31.0,,,96-108,2,D. Cousins makes 2-pt shot from 1 ft (assist by E. Moore)
8:16.0,G. Harris misses 2-pt shot from 2 ft,,96-108,,
8:14.0,Offensive rebound by G. Harris,,96-108,,
8:12.0,G. Harris misses 2-pt shot from 3 ft (block by D. Cousins),,96-108,,
8:12.0,,,96-108,,Defensive rebound by J. Nelson
8:08.0,,,96-110,2,J. Nelson makes 2-pt shot from 22 ft
8:06.0,Denver full timeout,,96-110,,
7:49.0,M. Plumlee misses 2-pt shot from 2 ft (block by D. Cousins),,96-110,,
7:46.0,,,96-110,,Defensive rebound by J. Nelson
7:41.0,,,96-110,,E. Moore misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by M. Plumlee,,96-110,,
7:21.0,E. Mudiay misses 2-pt shot from 12 ft,,96-110,,
7:17.0,,,96-110,,Defensive rebound by D. Miller
6:58.0,,,96-112,2,D. Miller makes 2-pt shot from 3 ft
6:45.0,W. Barton misses 2-pt shot from 5 ft,,96-112,,
6:41.0,,,96-112,,Defensive rebound by E. Moore
6:38.0,,,96-114,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Nelson)
6:38.0,Denver full timeout,,96-114,,
6:38.0,,,96-114,,New Orleans full timeout
6:38.0,J. Murray enters the game for E. Mudiay,,96-114,,
6:24.0,Shooting foul by D. Miller (drawn by G. Harris),,96-114,,
6:24.0,G. Harris misses free throw 1 of 2,,96-114,,
6:24.0,Offensive rebound by Team,,96-114,,
6:24.0,G. Harris makes free throw 2 of 2,1,97-114,,
6:05.0,,,97-117,3,E. Moore makes 3-pt shot from 25 ft (assist by D. Cousins)
5:42.0,,,97-117,,Shooting block foul by J. Nelson (drawn by J. Murray)
5:42.0,J. Murray makes free throw 1 of 2,1,98-117,,
5:42.0,M. Beasley enters the game for W. Barton,,98-117,,
5:42.0,J. Murray makes free throw 2 of 2,1,99-117,,
5:20.0,,,99-117,,D. Cousins misses 2-pt shot from 10 ft
5:17.0,Defensive rebound by T. Lyles,,99-117,,
5:12.0,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Lyles),2,101-117,,
4:48.0,,,101-119,2,T. Allen makes 2-pt shot from 2 ft (assist by J. Nelson)
4:35.0,J. Murray makes 2-pt shot from 7 ft,2,103-119,,
4:10.0,,,103-119,,J. Nelson misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by T. Lyles,,103-119,,
4:01.0,Turnover by T. Lyles (bad pass; steal by T. Allen),,103-119,,
3:47.0,,,103-119,,D. Cousins misses 3-pt shot from 25 ft
3:44.0,,,103-119,,Personal foul by T. Allen (drawn by G. Harris)
