time,Orlando,pts.away,score,pts.home,Milwaukee
8:05.0,,,10-12,,Defensive rebound by E. Bledsoe
7:58.0,,,10-12,,M. Brogdon misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by E. Payton,,10-12,,
7:52.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,12-12,,
7:28.0,,,12-12,,Shooting foul by E. Fournier (drawn by M. Brogdon)
7:28.0,,,12-12,,M. Brogdon misses free throw 1 of 2
7:28.0,,,12-12,,Offensive rebound by Team
7:28.0,,,12-13,1,M. Brogdon makes free throw 2 of 2
7:18.0,J. Simmons misses 2-pt shot from 17 ft,,12-13,,
7:14.0,,,12-13,,Defensive rebound by G. Antetokounmpo
7:03.0,,,12-13,,K. Middleton misses 3-pt shot from 22 ft
7:00.0,Defensive rebound by B. Biyombo,,12-13,,
6:46.0,A. Gordon misses 2-pt shot from 1 ft,,12-13,,
6:43.0,,,12-13,,Defensive rebound by G. Antetokounmpo
6:41.0,,,12-13,,Shooting foul by E. Payton (drawn by G. Antetokounmpo)
6:41.0,,,12-13,,G. Antetokounmpo misses free throw 1 of 2
6:41.0,,,12-13,,Offensive rebound by Team
6:41.0,,,12-13,,T. Snell enters the game for M. Brogdon
6:41.0,,,12-14,1,G. Antetokounmpo makes free throw 2 of 2
6:26.0,E. Payton misses 2-pt shot from 8 ft,,12-14,,
6:23.0,,,12-14,,Defensive rebound by G. Antetokounmpo
6:22.0,,,12-14,,Shooting foul by E. Fournier (drawn by G. Antetokounmpo)
6:22.0,,,12-15,1,G. Antetokounmpo makes free throw 1 of 2
6:22.0,M. Hezonja enters the game for E. Fournier,,12-15,,
6:22.0,,,12-15,,G. Antetokounmpo misses free throw 2 of 2
6:17.0,,,12-15,,Offensive rebound by T. Maker
6:09.0,,,12-17,2,E. Bledsoe makes 2-pt shot from 9 ft
6:01.0,,,12-17,,Personal foul by T. Snell (drawn by M. Hezonja)
5:51.0,B. Biyombo makes 2-pt shot from 12 ft (assist by E. Payton),2,14-17,,
5:40.0,,,14-17,,Shooting foul by B. Biyombo (drawn by T. Snell)
5:40.0,,,14-18,1,T. Snell makes free throw 1 of 2
5:40.0,,,14-19,1,T. Snell makes free throw 2 of 2
5:18.0,Turnover by E. Payton (bad pass; steal by E. Bledsoe),,14-19,,
5:16.0,,,14-19,,Shooting foul by M. Hezonja (drawn by G. Antetokounmpo)
5:16.0,,,14-20,1,G. Antetokounmpo makes free throw 1 of 2
5:16.0,,,14-20,,G. Antetokounmpo misses free throw 2 of 2
5:13.0,Defensive rebound by A. Gordon,,14-20,,
5:05.0,Shooting foul by G. Antetokounmpo (drawn by A. Gordon),,14-20,,
5:05.0,A. Gordon makes free throw 1 of 2,1,15-20,,
5:05.0,,,15-20,,M. Brogdon enters the game for G. Antetokounmpo
5:05.0,A. Gordon makes free throw 2 of 2,1,16-20,,
4:53.0,,,16-20,,T. Maker misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by B. Biyombo,,16-20,,
4:49.0,M. Hezonja makes 2-pt shot from 1 ft (assist by A. Gordon),2,18-20,,
4:37.0,,,18-22,2,K. Middleton makes 2-pt shot from 1 ft
4:20.0,J. Simmons misses 2-pt shot from 13 ft,,18-22,,
4:13.0,Offensive rebound by A. Gordon,,18-22,,
4:13.0,A. Gordon makes 2-pt shot at rim,2,20-22,,
4:04.0,,,20-24,2,K. Middleton makes 2-pt shot from 17 ft
3:49.0,M. Hezonja makes 2-pt shot from 2 ft,2,22-24,,
3:26.0,,,22-24,,Turnover by K. Middleton (lost ball; steal by J. Simmons)
3:20.0,E. Payton misses 3-pt shot from 23 ft,,22-24,,
3:16.0,,,22-24,,Defensive rebound by K. Middleton
3:14.0,,,22-26,2,E. Bledsoe makes 2-pt shot at rim
3:08.0,E. Payton makes 2-pt shot from 1 ft,2,24-26,,
2:49.0,,,24-26,,E. Bledsoe misses 3-pt shot from 23 ft
2:47.0,Defensive rebound by B. Biyombo,,24-26,,
2:34.0,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Simmons),2,26-26,,
2:34.0,,,26-26,,Milwaukee full timeout
2:34.0,,,26-26,,J. Henson enters the game for E. Bledsoe
2:34.0,,,26-26,,M. Dellavedova enters the game for T. Maker
2:34.0,,,26-26,,S. Brown enters the game for T. Snell
2:34.0,M. Speights enters the game for E. Payton,,26-26,,
2:34.0,D. Augustin enters the game for B. Biyombo,,26-26,,
2:34.0,W. Iwundu enters the game for J. Simmons,,26-26,,
2:22.0,,,26-28,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:57.0,A. Gordon misses 2-pt shot from 18 ft,,26-28,,
1:54.0,,,26-28,,Defensive rebound by S. Brown
1:49.0,,,26-28,,Turnover by J. Henson (traveling)
1:31.0,M. Speights makes 3-pt shot from 27 ft (assist by D. Augustin),3,29-28,,
1:18.0,,,29-28,,J. Henson misses 2-pt shot from 4 ft
1:15.0,Defensive rebound by M. Hezonja,,29-28,,
0:58.0,M. Hezonja misses 2-pt shot from 3 ft (block by S. Brown),,29-28,,
0:58.0,Offensive rebound by Team,,29-28,,
0:55.0,D. Augustin misses 3-pt shot from 22 ft,,29-28,,
0:50.0,,,29-28,,Defensive rebound by S. Brown
0:47.0,,,29-28,,M. Brogdon misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by M. Speights,,29-28,,
0:40.0,M. Speights misses 3-pt shot from 28 ft,,29-28,,
0:37.0,,,29-28,,Defensive rebound by K. Middleton
0:30.0,,,29-28,,K. Middleton misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by D. Augustin,,29-28,,
0:05.0,Turnover by Team (shot clock),,29-28,,
0:00.0,,,29-30,2,K. Middleton makes 2-pt shot from 14 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-30,,Shooting foul by M. Hezonja (drawn by G. Antetokounmpo)
11:45.0,,,29-30,,G. Antetokounmpo misses free throw 1 of 2
11:45.0,,,29-30,,Offensive rebound by Team
11:45.0,,,29-31,1,G. Antetokounmpo makes free throw 2 of 2
11:19.0,D. Augustin misses 2-pt shot from 2 ft,,29-31,,
11:14.0,Offensive rebound by W. Iwundu,,29-31,,
11:14.0,W. Iwundu misses 2-pt shot at rim,,29-31,,
11:13.0,,,29-31,,Defensive rebound by S. Brown
11:11.0,,,29-31,,S. Brown misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by A. Afflalo,,29-31,,
10:48.0,Turnover by Team (shot clock),,29-31,,
10:27.0,,,29-31,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Afflalo)
10:26.0,,,29-31,,Offensive rebound by G. Antetokounmpo
10:24.0,,,29-31,,Turnover by Team (shot clock)
10:15.0,,,29-31,,Personal foul by M. Brogdon (drawn by W. Iwundu)
9:59.0,A. Afflalo misses 2-pt shot from 1 ft (block by M. Brogdon),,29-31,,
9:55.0,,,29-31,,Defensive rebound by S. Brown
9:55.0,,,29-31,,Offensive charge foul by S. Brown (drawn by M. Speights)
9:55.0,,,29-31,,Turnover by S. Brown (offensive foul)
9:55.0,E. Fournier enters the game for W. Iwundu,,29-31,,
9:42.0,M. Speights makes 3-pt shot from 28 ft (assist by D. Augustin),3,32-31,,
9:22.0,,,32-31,,J. Henson misses 2-pt shot from 20 ft
9:20.0,Defensive rebound by D. Augustin,,32-31,,
9:13.0,D. Augustin makes 2-pt shot at rim (assist by M. Speights),2,34-31,,
9:03.0,,,34-31,,Offensive foul by M. Dellavedova (drawn by D. Augustin)
9:03.0,,,34-31,,Turnover by M. Dellavedova (offensive foul)
8:53.0,Shooting foul by J. Henson (drawn by M. Speights),,34-31,,
8:53.0,M. Speights makes free throw 1 of 2,1,35-31,,
8:53.0,M. Speights makes free throw 2 of 2,1,36-31,,
8:39.0,,,36-31,,M. Dellavedova misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by Team,,36-31,,
8:19.0,Offensive charge foul by E. Fournier (drawn by M. Dellavedova),,36-31,,
8:19.0,Turnover by E. Fournier (offensive foul),,36-31,,
8:19.0,A. Gordon enters the game for E. Fournier,,36-31,,
8:09.0,,,36-31,,J. Henson misses 2-pt shot from 6 ft (block by M. Speights)
8:05.0,,,36-31,,Offensive rebound by J. Henson
7:58.0,,,36-31,,M. Dellavedova misses 3-pt shot from 25 ft
7:55.0,,,36-31,,Offensive rebound by J. Henson
7:52.0,,,36-31,,M. Dellavedova misses 3-pt shot from 27 ft
7:49.0,,,36-31,,Offensive rebound by J. Henson
7:41.0,,,36-31,,M. Brogdon misses 2-pt shot from 12 ft
7:38.0,,,36-31,,Offensive rebound by M. Brogdon
7:37.0,,,36-31,,M. Brogdon misses 2-pt shot from 8 ft (block by M. Speights)
7:37.0,Defensive rebound by A. Afflalo,,36-31,,
7:32.0,,,36-31,,Personal foul by J. Henson (drawn by D. Augustin)
7:23.0,A. Gordon misses 3-pt shot from 25 ft,,36-31,,
7:20.0,,,36-31,,Defensive rebound by G. Antetokounmpo
7:11.0,,,36-34,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by M. Brogdon)
6:57.0,A. Afflalo misses 2-pt shot from 2 ft (block by M. Brogdon),,36-34,,
6:54.0,,,36-34,,Defensive rebound by S. Brown
6:52.0,,,36-36,2,G. Antetokounmpo makes 2-pt shot at rim
6:30.0,D. Augustin makes 2-pt shot from 1 ft (assist by A. Afflalo),2,38-36,,
6:15.0,,,38-36,,S. Brown misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by A. Gordon,,38-36,,
6:08.0,D. Augustin misses 3-pt shot from 26 ft,,38-36,,
6:06.0,,,38-36,,Defensive rebound by M. Brogdon
5:56.0,,,38-38,2,G. Antetokounmpo makes 2-pt shot at rim
5:56.0,,,38-38,,Shooting foul by M. Speights (drawn by G. Antetokounmpo)
5:56.0,,,38-38,,Milwaukee full timeout
5:56.0,,,38-38,,E. Bledsoe enters the game for M. Dellavedova
5:56.0,,,38-38,,K. Middleton enters the game for S. Brown
5:56.0,E. Payton enters the game for A. Afflalo,,38-38,,
5:56.0,J. Simmons enters the game for D. Augustin,,38-38,,
5:56.0,,,38-39,1,G. Antetokounmpo makes free throw 1 of 1
5:34.0,A. Gordon misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,38-39,,
5:34.0,Offensive rebound by Team,,38-39,,
5:31.0,M. Speights misses 3-pt shot from 26 ft,,38-39,,
5:31.0,Offensive rebound by J. Simmons,,38-39,,
5:26.0,A. Gordon misses 3-pt shot from 26 ft,,38-39,,
5:22.0,,,38-39,,Defensive rebound by J. Henson
5:06.0,,,38-39,,J. Henson misses 2-pt shot at rim
5:05.0,,,38-39,,Offensive rebound by J. Henson
5:05.0,,,38-41,2,J. Henson makes 2-pt shot at rim
4:53.0,E. Payton makes 2-pt shot from 1 ft,2,40-41,,
4:35.0,Personal foul by M. Hezonja (drawn by G. Antetokounmpo),,40-41,,
4:35.0,W. Iwundu enters the game for M. Speights,,40-41,,
4:35.0,B. Biyombo enters the game for M. Hezonja,,40-41,,
4:24.0,,,40-41,,E. Bledsoe misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by B. Biyombo,,40-41,,
4:15.0,J. Simmons makes 2-pt shot from 2 ft (assist by W. Iwundu),2,42-41,,
3:45.0,,,42-43,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
3:37.0,E. Payton misses 3-pt shot from 26 ft,,42-43,,
3:37.0,,,42-43,,Defensive rebound by Team
3:25.0,Def 3 sec tech foul by B. Biyombo,,42-43,,
3:25.0,,,42-43,,K. Middleton misses technical free throw
3:25.0,,,42-43,,Offensive rebound by Team
3:14.0,,,42-43,,G. Antetokounmpo misses 2-pt shot from 15 ft
3:14.0,Defensive rebound by Team,,42-43,,
3:14.0,Orlando full timeout,,42-43,,
3:14.0,D. Augustin enters the game for W. Iwundu,,42-43,,
3:00.0,D. Augustin misses 3-pt shot from 22 ft,,42-43,,
2:57.0,,,42-43,,Defensive rebound by J. Henson
2:39.0,,,42-45,2,G. Antetokounmpo makes 2-pt shot from 6 ft
2:25.0,J. Simmons misses 2-pt shot from 6 ft,,42-45,,
2:22.0,,,42-45,,Defensive rebound by M. Brogdon
2:15.0,,,42-48,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by K. Middleton)
2:07.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,44-48,,
1:55.0,,,44-48,,Turnover by J. Henson (bad pass)
1:38.0,B. Biyombo misses 2-pt shot from 5 ft (block by J. Henson),,44-48,,
1:34.0,,,44-48,,Defensive rebound by M. Brogdon
1:31.0,,,44-48,,E. Bledsoe misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by B. Biyombo,,44-48,,
1:10.0,A. Gordon misses 2-pt shot from 10 ft,,44-48,,
1:07.0,,,44-48,,Defensive rebound by J. Henson
0:59.0,,,44-50,2,M. Brogdon makes 2-pt shot from 1 ft
0:38.0,D. Augustin misses 2-pt shot from 17 ft (block by E. Bledsoe),,44-50,,
0:32.0,Offensive rebound by D. Augustin,,44-50,,
0:31.0,E. Payton misses 2-pt shot from 19 ft,,44-50,,
0:31.0,,,44-50,,Defensive rebound by E. Bledsoe
0:30.0,,,44-52,2,M. Brogdon makes 2-pt shot at rim (assist by E. Bledsoe)
0:07.0,D. Augustin misses 3-pt shot from 27 ft,,44-52,,
0:06.0,Offensive rebound by B. Biyombo,,44-52,,
0:06.0,B. Biyombo makes 2-pt shot at rim,2,46-52,,
0:01.0,,,46-52,,Shooting foul by B. Biyombo (drawn by K. Middleton)
0:01.0,,,46-53,1,K. Middleton makes free throw 1 of 2
0:01.0,M. Speights enters the game for B. Biyombo,,46-53,,
0:01.0,,,46-53,,K. Middleton misses free throw 2 of 2
0:00.0,,,46-53,,Offensive rebound by J. Henson
0:00.0,,,46-53,,K. Middleton misses 2-pt shot from 16 ft
0:00.0,,,46-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-53,,Turnover by G. Antetokounmpo (traveling)
11:27.0,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton),3,49-53,,
11:15.0,,,49-55,2,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe)
11:00.0,A. Gordon misses 2-pt shot from 2 ft,,49-55,,
10:57.0,Offensive rebound by A. Gordon,,49-55,,
10:55.0,A. Gordon misses 2-pt shot from 11 ft,,49-55,,
10:55.0,,,49-55,,Defensive rebound by J. Henson
10:44.0,,,49-57,2,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by E. Bledsoe)
10:34.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,51-57,,
10:16.0,,,51-59,2,G. Antetokounmpo makes 2-pt shot from 16 ft
10:02.0,J. Simmons makes 3-pt shot from 23 ft (assist by E. Fournier),3,54-59,,
9:32.0,,,54-59,,Turnover by E. Bledsoe (bad pass; steal by B. Biyombo)
9:28.0,Shooting foul by K. Middleton (drawn by A. Gordon),,54-59,,
9:28.0,A. Gordon misses free throw 1 of 2,,54-59,,
9:28.0,Offensive rebound by Team,,54-59,,
9:28.0,A. Gordon makes free throw 2 of 2,1,55-59,,
9:17.0,,,55-61,2,E. Bledsoe makes 2-pt shot from 14 ft
8:57.0,J. Simmons misses 3-pt shot from 26 ft,,55-61,,
8:53.0,,,55-61,,Defensive rebound by M. Brogdon
8:52.0,,,55-63,2,K. Middleton makes 2-pt shot from 1 ft (assist by M. Brogdon)
8:43.0,E. Payton makes 2-pt shot from 7 ft,2,57-63,,
8:31.0,Personal foul by A. Gordon (drawn by G. Antetokounmpo),,57-63,,
8:19.0,,,57-63,,E. Bledsoe misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by B. Biyombo,,57-63,,
8:07.0,E. Fournier misses 2-pt shot from 11 ft,,57-63,,
8:03.0,,,57-63,,Defensive rebound by K. Middleton
8:00.0,,,57-63,,E. Bledsoe misses 2-pt shot at rim
7:57.0,,,57-63,,Offensive rebound by G. Antetokounmpo
7:55.0,,,57-65,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:55.0,,,57-65,,Shooting foul by A. Gordon (drawn by G. Antetokounmpo)
7:55.0,,,57-66,1,G. Antetokounmpo makes free throw 1 of 1
7:38.0,A. Gordon misses 2-pt shot from 16 ft,,57-66,,
7:35.0,,,57-66,,Defensive rebound by E. Bledsoe
7:31.0,,,57-66,,E. Bledsoe misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by E. Fournier,,57-66,,
7:24.0,E. Payton misses 2-pt shot from 2 ft,,57-66,,
7:24.0,,,57-66,,Defensive rebound by M. Brogdon
7:16.0,,,57-68,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
7:16.0,Orlando full timeout,,57-68,,
6:52.0,A. Gordon misses 3-pt shot from 32 ft,,57-68,,
6:49.0,,,57-68,,Defensive rebound by E. Bledsoe
6:32.0,,,57-70,2,K. Middleton makes 2-pt shot from 11 ft
6:21.0,A. Gordon misses 3-pt shot from 26 ft,,57-70,,
6:18.0,,,57-70,,Defensive rebound by K. Middleton
6:10.0,,,57-72,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
6:09.0,Orlando full timeout,,57-72,,
6:09.0,M. Hezonja enters the game for E. Payton,,57-72,,
6:09.0,M. Speights enters the game for J. Simmons,,57-72,,
6:09.0,D. Augustin enters the game for B. Biyombo,,57-72,,
5:53.0,A. Gordon misses 3-pt shot from 26 ft,,57-72,,
5:50.0,Offensive rebound by M. Hezonja,,57-72,,
5:34.0,E. Fournier misses 3-pt shot from 26 ft,,57-72,,
5:31.0,,,57-72,,Defensive rebound by J. Henson
5:18.0,,,57-72,,Shooting foul by M. Speights (drawn by K. Middleton)
5:18.0,,,57-73,1,K. Middleton makes free throw 1 of 2
5:18.0,,,57-74,1,K. Middleton makes free throw 2 of 2
5:04.0,Shooting foul by M. Brogdon (drawn by E. Fournier),,57-74,,
5:04.0,E. Fournier makes free throw 1 of 2,1,58-74,,
5:04.0,E. Fournier makes free throw 2 of 2,1,59-74,,
4:42.0,,,59-76,2,J. Henson makes 2-pt shot from 5 ft (assist by M. Brogdon)
4:23.0,M. Speights makes 3-pt shot from 28 ft (assist by D. Augustin),3,62-76,,
4:07.0,,,62-78,2,M. Brogdon makes 2-pt shot from 1 ft
3:53.0,A. Gordon misses 2-pt shot from 1 ft (block by J. Henson),,62-78,,
3:52.0,,,62-78,,Defensive rebound by K. Middleton
3:52.0,Personal take foul by D. Augustin (drawn by K. Middleton),,62-78,,
3:42.0,,,62-80,2,G. Antetokounmpo makes 2-pt shot from 1 ft
3:26.0,M. Speights makes 3-pt shot from 28 ft (assist by E. Fournier),3,65-80,,
3:07.0,,,65-82,2,J. Henson makes 2-pt shot from 1 ft
2:46.0,Turnover by A. Gordon (offensive goaltending),,65-82,,
2:46.0,S. Mack enters the game for A. Gordon,,65-82,,
2:32.0,,,65-84,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson)
2:18.0,D. Augustin misses 2-pt shot from 2 ft,,65-84,,
2:15.0,,,65-84,,Defensive rebound by M. Brogdon
2:13.0,,,65-84,,Turnover by G. Antetokounmpo (out of bounds lost ball)
2:01.0,E. Fournier makes 2-pt shot from 1 ft (assist by D. Augustin),2,67-84,,
2:01.0,,,67-84,,Violation by G. Antetokounmpo (def goaltending)
1:34.0,,,67-87,3,M. Brogdon makes 3-pt shot from 26 ft (assist by K. Middleton)
1:10.0,M. Hezonja makes 2-pt shot at rim (assist by S. Mack),2,69-87,,
0:48.0,,,69-87,,G. Antetokounmpo misses 2-pt shot from 21 ft
0:46.0,Defensive rebound by S. Mack,,69-87,,
0:42.0,M. Speights misses 3-pt shot from 26 ft,,69-87,,
0:39.0,,,69-87,,Defensive rebound by M. Brogdon
0:26.0,,,69-87,,Turnover by E. Bledsoe (bad pass; steal by E. Fournier)
0:23.0,Turnover by E. Fournier (bad pass),,69-87,,
0:23.0,,,69-87,,S. Brown enters the game for M. Brogdon
0:23.0,,,69-87,,T. Snell enters the game for K. Middleton
0:23.0,W. Iwundu enters the game for E. Fournier,,69-87,,
0:04.0,,,69-89,2,E. Bledsoe makes 2-pt shot from 1 ft
0:00.0,D. Augustin misses 3-pt shot from 27 ft (block by E. Bledsoe),,69-89,,
0:00.0,Offensive rebound by Team,,69-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,E. Fournier makes 2-pt shot from 1 ft (assist by W. Iwundu),2,71-89,,
11:48.0,Shooting foul by T. Maker (drawn by E. Fournier),,71-89,,
11:48.0,E. Fournier makes free throw 1 of 1,1,72-89,,
11:32.0,,,72-89,,T. Maker misses 2-pt shot from 18 ft
11:32.0,Defensive rebound by W. Iwundu,,72-89,,
11:13.0,Turnover by M. Hezonja (bad pass; steal by S. Brown),,72-89,,
11:11.0,,,72-89,,G. Antetokounmpo misses 2-pt shot from 2 ft
11:06.0,,,72-89,,Offensive rebound by G. Antetokounmpo
11:00.0,,,72-89,,S. Brown misses 2-pt shot from 6 ft (block by E. Fournier)
11:00.0,Defensive rebound by E. Fournier,,72-89,,
10:53.0,M. Hezonja misses 3-pt shot from 28 ft,,72-89,,
10:53.0,,,72-89,,Defensive rebound by T. Snell
10:35.0,,,72-91,2,M. Dellavedova makes 2-pt shot from 1 ft
10:35.0,Orlando full timeout,,72-91,,
10:14.0,M. Speights misses 3-pt shot from 27 ft,,72-91,,
10:12.0,,,72-91,,Defensive rebound by Team
9:54.0,,,72-91,,T. Maker misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by M. Hezonja,,72-91,,
9:53.0,,,72-91,,Personal take foul by M. Dellavedova (drawn by M. Hezonja)
9:33.0,M. Speights misses 2-pt shot from 5 ft,,72-91,,
9:32.0,,,72-91,,Defensive rebound by Team
9:32.0,Loose ball foul by M. Speights (drawn by G. Antetokounmpo),,72-91,,
9:20.0,,,72-91,,Shooting foul by M. Speights (drawn by M. Dellavedova)
9:20.0,,,72-91,,K. Middleton enters the game for G. Antetokounmpo
9:06.0,,,72-91,,Personal foul by T. Maker (drawn by M. Speights)
9:06.0,,,72-91,,Turnover by T. Maker (turnover)
8:48.0,E. Fournier makes 3-pt shot from 26 ft,3,75-91,,
8:28.0,,,75-91,,Turnover by M. Dellavedova (lost ball; steal by S. Mack)
8:24.0,S. Mack makes 2-pt shot at rim (assist by W. Iwundu),2,77-91,,
8:06.0,,,77-91,,T. Maker misses 2-pt shot from 3 ft
8:06.0,,,77-91,,Offensive rebound by Team
8:01.0,,,77-91,,K. Middleton misses 2-pt shot from 15 ft
7:59.0,Defensive rebound by W. Iwundu,,77-91,,
7:45.0,E. Fournier misses 3-pt shot from 26 ft,,77-91,,
7:42.0,,,77-91,,Defensive rebound by S. Brown
7:39.0,,,77-91,,Shooting foul by S. Mack (drawn by T. Maker)
7:39.0,,,77-92,1,T. Maker makes free throw 1 of 2
7:39.0,,,77-93,1,T. Maker makes free throw 2 of 2
7:16.0,M. Hezonja makes 2-pt shot from 1 ft (assist by E. Fournier),2,79-93,,
6:54.0,,,79-95,2,M. Dellavedova makes 2-pt shot from 7 ft
6:54.0,,,79-95,,Shooting foul by S. Mack (drawn by M. Dellavedova)
6:54.0,,,79-95,,M. Dellavedova misses free throw 1 of 1
6:51.0,Defensive rebound by M. Hezonja,,79-95,,
6:39.0,E. Fournier makes 2-pt shot from 1 ft (assist by M. Hezonja),2,81-95,,
6:19.0,,,81-97,2,S. Brown makes 2-pt shot from 14 ft (assist by M. Dellavedova)
6:02.0,Turnover by E. Fournier (bad pass; steal by M. Dellavedova),,81-97,,
5:48.0,,,81-97,,K. Middleton misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by E. Fournier,,81-97,,
5:37.0,S. Mack makes 2-pt shot at rim,2,83-97,,
5:37.0,Shooting foul by T. Snell (drawn by S. Mack),,83-97,,
5:37.0,,,83-97,,M. Brogdon enters the game for M. Dellavedova
5:37.0,B. Biyombo enters the game for M. Speights,,83-97,,
5:37.0,S. Mack makes free throw 1 of 1,1,84-97,,
5:26.0,,,84-99,2,K. Middleton makes 2-pt shot at rim
5:26.0,,,84-99,,Shooting foul by M. Hezonja (drawn by K. Middleton)
5:26.0,,,84-100,1,K. Middleton makes free throw 1 of 1
5:07.0,M. Hezonja misses 2-pt shot from 19 ft,,84-100,,
5:07.0,Offensive rebound by Team,,84-100,,
5:07.0,,,84-100,,Loose ball foul by T. Maker (drawn by B. Biyombo)
5:07.0,A. Afflalo enters the game for M. Hezonja,,84-100,,
4:57.0,E. Fournier misses 2-pt shot from 6 ft (block by T. Maker),,84-100,,
4:51.0,,,84-100,,Defensive rebound by S. Brown
4:47.0,,,84-102,2,K. Middleton makes 2-pt shot from 14 ft (assist by M. Brogdon)
4:29.0,W. Iwundu makes 2-pt shot at rim,2,86-102,,
4:29.0,Shooting foul by K. Middleton (drawn by W. Iwundu),,86-102,,
4:29.0,W. Iwundu makes free throw 1 of 1,1,87-102,,
4:08.0,,,87-105,3,T. Snell makes 3-pt shot from 27 ft (assist by M. Brogdon)
3:58.0,,,87-105,,Personal foul by T. Maker (drawn by B. Biyombo)
3:58.0,B. Biyombo makes free throw 1 of 2,1,88-105,,
3:58.0,M. Hezonja enters the game for E. Fournier,,88-105,,
